# _root_ Federal National Mortgage Association , a recently hot stock , climbed 4 to 124 on nearly 1.6 million shares .
#goldHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
#predictedHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
(1,9),(9,9),(9,7),0.0810742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,6),0.104826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,5),0.0909528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,4),0.135063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,3),0.134982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,2),0.136213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,1),0.139376 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,9),(9,-1),-0.000538301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,8),(9,7),0.101835 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,6),0.12985 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,5),0.0811572 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,4),0.115709 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,3),0.115711 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,2),0.115701 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,1),0.114774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,8),(9,-1),-0.0526406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,6),0.107391 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,5),0.0974245 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,4),0.102176 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,3),0.102176 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,2),0.102176 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,1),0.102176 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,-1),-0.0630662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,5),0.127168 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,4),0.0995536 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,3),0.0995577 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,2),0.0995573 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,1),0.0995577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,-1),-0.000171396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,4),0.0703428 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,3),0.0703428 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,2),0.0703428 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,1),0.0703428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,-1),-0.0492925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,4),(9,3),0.120473 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,4),(9,2),0.120141 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,4),(9,1),0.120641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,4),(9,-1),-0.0452682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,2),0.120141 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,3),(9,1),0.120641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,-1),-0.0452415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,2),(9,1),0.1201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,2),(9,-1),-0.0448832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,1),(9,-1),-0.0451978 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,10),(10,21),0.0885741 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,10),(10,9),0.118131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,-1),0.0223687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,9),(10,-1),-0.0641515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,2),-0.0791486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.0791486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,5),-0.0651782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,9),-0.0654717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,10),-0.0651782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,21),0.148701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.0642456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,5),-0.0645176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,9),-0.0643654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,10),-0.0645176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,21),-0.0012956 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,5),-0.0645176 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,9),-0.0643654 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,10),-0.0645176 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,21),-0.00490671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,5),(1,9),-0.0673916 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,10),-0.0641818 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,21),-0.013409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,9),(1,10),-0.0647451 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,9),(1,21),-0.0753982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,10),(1,21),-0.013409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),0.138222 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),-0.131118 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),0.0778739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,7),-0.045789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,8),-0.0701452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,9),-0.0236409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,10),0.0778739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,20),0.0348079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,21),0.125687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0195229 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),-0.0468095 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,8),-0.0474648 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,9),-0.0461846 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,10),-0.0195229 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,20),-0.0373361 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,21),0.0301139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,7),-0.051072 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,8),-0.036202 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,9),-0.152927 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,10),-0.0473772 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,20),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,21),-0.0851854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,8),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,9),-0.0405104 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,10),-0.0479184 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,20),-0.042039 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,21),-0.0600443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,8),(3,9),-0.042107 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,10),-0.0448095 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,21),-0.0482591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,9),(3,10),-0.0759715 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,20),-0.0432507 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,21),-0.112662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,10),(3,20),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,21),-0.0851854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,20),(3,21),0.0756916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,2),0.210571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,1),-0.0791486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),0.137231 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,2),(3,1),-0.0642456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,2),(3,-1),-0.00175904 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),0.00493536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,5),0.0779552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),-0.0252706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,7),-0.045789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,8),-0.0701452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,9),-0.0236409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,10),0.0779552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,11),-0.0350375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,12),-0.0200546 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,13),-0.0371222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,14),-0.0284512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,15),-0.0132605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,16),-0.0457478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,18),-0.0284525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,19),-0.0485984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,20),0.0348079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,21),0.110016 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,6),-0.0478592 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,7),-0.051072 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,8),-0.0362037 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,9),-0.15294 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,10),-0.0473772 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,11),-0.0423161 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,12),-0.0231068 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,13),-0.0452533 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,14),-0.0231068 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,15),-0.0663406 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,16),-0.0510309 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,18),-0.0231074 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,19),-0.0327334 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,20),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,21),-0.0857163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,6),(4,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,8),-0.0420155 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,9),-0.042711 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,10),-0.0421469 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,15),-0.0423177 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,19),-0.0420339 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,21),-0.0268067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,7),(4,8),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,9),-0.0405104 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,10),-0.0479184 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,12),-0.0420122 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,13),-0.0420342 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,14),-0.0420122 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,15),-0.0420267 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,16),-0.0420237 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,18),-0.0420122 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,19),-0.0423117 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,20),-0.042039 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,21),-0.0600443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,8),(4,9),-0.042107 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,10),-0.0448095 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,15),-0.0420155 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,16),-0.0432591 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,19),-0.0420143 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,21),-0.0482608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,9),(4,10),-0.0759715 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,11),-0.0420575 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,12),-0.0421286 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,13),-0.043036 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,14),-0.0421286 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,15),-0.0436138 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,16),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,18),-0.0421351 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,19),-0.0420172 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,20),-0.0432507 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,21),-0.112675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,10),(4,11),-0.0423161 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,12),-0.0231068 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,13),-0.0452533 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,14),-0.0231068 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,15),-0.0663406 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,16),-0.0510309 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,18),-0.0231074 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,19),-0.0327334 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,20),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,21),-0.0857163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,11),(4,12),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,14),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,15),-0.0427123 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,18),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,19),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,20),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,21),-0.0418443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,12),(4,13),-0.042017 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,14),-0.0422355 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,15),-0.0441528 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,18),-0.0423275 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,19),-0.0421128 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,20),-0.0433164 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,21),-0.0246118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,13),(4,14),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,21),-0.0415747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,14),(4,15),-0.043989 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,18),-0.0423275 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,19),-0.0421128 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,20),-0.0433164 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,21),-0.0246771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,15),(4,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,15),(4,18),-0.0420287 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,15),(4,19),-0.0421704 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,15),(4,20),-0.0433369 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,15),(4,21),-0.090747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,16),(4,18),-0.042012 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,16),(4,19),-0.0423117 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,16),(4,20),-0.042039 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,16),(4,21),-0.059851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,18),(4,19),-0.0421128 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,18),(4,20),-0.0433164 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,18),(4,21),-0.0247664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,19),(4,20),-0.0420202 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,19),(4,21),-0.03843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,20),(4,21),0.0756881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,3),0.208401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,2),0.21123 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,4),(4,1),-0.0791526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,-1),0.122431 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,3),(4,2),0.0825694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,3),(4,1),-0.0642456 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,-1),-0.0046413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,2),(4,1),-0.0642456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,2),(4,-1),-0.00103019 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,1),(4,-1),0.0056642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,21),0.0954824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,-1),0.0292712 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,9),(9,10),-0.0776802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,11),0.0403195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,12),-0.074308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,13),-0.0310925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,14),-0.074308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,15),-0.0140073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,16),-0.0434112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,19),-0.0332597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,20),-0.0321513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,21),-0.0315863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,10),(9,11),-0.0603979 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,12),-0.0431718 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,13),-0.0636896 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,14),-0.0431718 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,15),-0.0293077 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,16),-0.0188141 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,19),-0.0295234 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,21),-0.0481717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,11),(9,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,15),-0.042045 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,16),-0.0420128 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,20),-0.0420873 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,21),0.05438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,12),(9,13),-0.0436837 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,14),-0.0420117 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,15),-0.0424085 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,16),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,21),-0.0796654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,13),(9,14),-0.0425601 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,15),-0.0537506 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,16),-0.0422008 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,19),-0.0422094 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,20),-0.0420332 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,21),-0.0794756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
