# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,12,22,20,3,0,29,27,28,24,28,24,
(8,9),(9,20),(9,28),-0.0286172 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,20),(9,29),-0.049678 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,20),(9,30),-0.0433031 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,20),(9,31),0.105809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,21),(9,22),-0.0475473 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,21),(9,23),-0.0526025 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,21),(9,24),-0.0418185 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,21),(9,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,21),(9,28),-0.0418918 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,21),(9,29),-0.0390335 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,21),(9,30),-0.0425943 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,21),(9,31),-0.0382644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,22),(9,23),-0.0077573 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,22),(9,24),-0.0391203 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,22),(9,25),-0.0420317 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,22),(9,28),-0.0415257 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,22),(9,29),-0.0466731 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,22),(9,30),-0.0441696 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,22),(9,31),0.0124765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,23),(9,24),-0.0595062 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,23),(9,25),-0.0420553 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,23),(9,28),-0.0582198 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,23),(9,29),-0.0304275 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,23),(9,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,23),(9,31),-0.0625709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,24),(9,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,24),(9,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,24),(9,29),-0.0423283 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,24),(9,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,24),(9,31),-0.0182819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,25),(9,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,25),(9,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,25),(9,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,25),(9,31),-0.0601098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,28),(9,29),-0.0423284 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,28),(9,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,28),(9,31),-0.0147608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,29),(9,30),-0.0423123 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,29),(9,31),0.0232881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,30),(9,31),-0.0575764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,8),0.108152 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,7),-0.0111799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,6),-0.034906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,5),-0.0373253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,4),-0.0642422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,3),-0.0895739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,-1),-0.00867285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,8),(9,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,5),-0.0641461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,-1),-0.0626734 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,7),(9,6),-0.0645395 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,7),(9,5),-0.0655973 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,7),(9,4),-0.0641772 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,7),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,7),(9,-1),-0.0327029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,6),(9,5),-0.0641625 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,6),(9,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,6),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,6),(9,-1),-0.0544307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,5),(9,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,5),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,5),(9,-1),-0.0445056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,4),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,4),(9,-1),-0.0595501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,3),(9,-1),-0.107213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,12),-0.0420239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,13),-0.0422556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,14),-0.0420504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,31),-0.0544851 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,12),(10,13),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,31),-0.042217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,13),(10,14),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,13),(10,31),-0.0423454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,14),(10,31),-0.0420253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),-0.0756601 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,7),(10,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,-1),-0.0645416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,5),(10,-1),-0.0641458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,13),-0.0666874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,14),-0.0452152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,15),-0.0534301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,16),-0.0506468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,17),-0.0510816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,20),-0.0597664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,22),-0.00403003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,23),-0.0374819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,24),-0.053062 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,28),-0.0531068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,29),-0.0652255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,30),-0.0420862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,31),0.020441 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,13),(12,14),-0.0423753 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,15),-0.0433879 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,16),-0.0430454 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,17),-0.0433455 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,20),-0.0512182 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,22),-0.0463782 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,23),-0.0457272 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,24),-0.0420905 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,28),-0.0420939 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,29),-0.0423349 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,30),-0.0421129 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,13),(12,31),-0.0180056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,14),(12,15),-0.0424476 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,16),-0.0422294 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,17),-0.0422294 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,20),-0.0434351 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,22),-0.0406578 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,23),-0.0443883 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,24),-0.0420138 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,28),-0.0420138 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,29),-0.0377189 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,14),(12,31),-0.060978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,15),(12,16),-0.0420126 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,17),-0.0420126 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,20),-0.0429132 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,22),-0.044297 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,23),-0.0444113 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,24),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,28),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,29),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,15),(12,31),-0.0736726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,16),(12,17),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,20),-0.0426222 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,22),-0.0431604 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,23),-0.0440563 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,24),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,28),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,29),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,16),(12,31),-0.0671424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,17),(12,20),-0.0427814 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,22),-0.0431626 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,23),-0.0447103 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,24),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,28),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,29),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,17),(12,31),-0.0695689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,20),(12,22),-0.0452776 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,20),(12,23),-0.0456673 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,20),(12,24),-0.0420601 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,20),(12,28),-0.0420635 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,20),(12,29),-0.0423357 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,20),(12,30),-0.0421127 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,20),(12,31),-0.0233354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,22),(12,23),-0.0463265 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,22),(12,24),-0.0421496 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,22),(12,28),-0.0421496 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,22),(12,29),-0.041579 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,22),(12,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,22),(12,31),-0.0230732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,23),(12,24),-0.0422691 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,23),(12,28),-0.0423199 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,23),(12,29),-0.0420219 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,23),(12,30),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,23),(12,31),-0.0528191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,24),(12,28),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,24),(12,29),-0.0420189 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,24),(12,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,24),(12,31),-0.055995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,28),(12,29),-0.0420189 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,28),(12,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,28),(12,31),-0.0561431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,29),(12,30),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,29),(12,31),-0.0574117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,30),(12,31),-0.0422321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,12),(12,11),0.0989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,10),0.109193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,8),0.106407 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,12),(12,7),-0.0579252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,6),-0.0641793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,3),-0.0644215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,12),(12,-1),-0.199265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,11),(12,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,8),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,11),(12,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,6),-0.0641601 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,11),(12,-1),-0.0444141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,8),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,10),(12,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,10),(12,-1),-0.0641747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,8),(12,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,-1),-0.033583 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,7),(12,6),-0.064147 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,-1),-0.0567072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,6),(12,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,6),(12,-1),-0.0365132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,3),(12,-1),-0.0694608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,14),-0.0281456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,15),-0.0346434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,16),-0.0343939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,18),-0.0544659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,19),-0.0281237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,13),(13,13),(13,31),-0.111057 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,13),(13,14),(13,15),-0.0452122 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,16),-0.0436542 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,18),-0.0420121 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,19),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,14),(13,31),-0.0297471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,15),(13,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,18),-0.0420216 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,19),-0.0420393 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,15),(13,31),-0.0429036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,16),(13,18),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,19),-0.042039 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,16),(13,31),-0.0394807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,18),(13,19),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(8,13),(13,18),(13,31),-0.0454337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,19),(13,31),-0.0297252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,13),(13,13),(13,-1),-0.0864011 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,14),(14,15),-0.0390541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,16),-0.0375378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,17),-0.0331079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,19),-0.0128368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,20),0.00547529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,23),-0.0431942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,24),-0.0319523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,31),0.127348 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,15),(14,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,19),-0.042095 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,20),-0.0422874 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,23),-0.0423423 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,24),-0.0420152 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,15),(14,31),-0.0526295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,16),(14,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,19),-0.0420553 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,20),-0.0421493 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,23),-0.0422903 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,24),-0.0420132 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,16),(14,31),-0.048205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,17),(14,19),-0.0420576 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,20),-0.0421493 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,23),-0.0423757 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,24),-0.0420132 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,17),(14,31),-0.0440984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,19),(14,20),-0.0422166 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,23),-0.0444315 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,24),-0.042013 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,19),(14,31),-0.0153937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,20),(14,23),-0.0466156 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,20),(14,24),-0.0420166 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,20),(14,31),-0.00385973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,23),(14,24),-0.0421289 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,23),(14,31),-0.0508816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,24),(14,31),-0.0497437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,14),(14,12),0.0811064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,11),0.0991532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,14),(14,14),(14,-1),-0.158167 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,14),(14,12),(14,11),0.101065 # DEPENDENCYPART_GRANDSIBL
(8,14),(14,12),(14,-1),-0.0919803 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,14),(14,11),(14,-1),-0.050014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,15),(15,16),-0.0476973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,17),-0.0476989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,18),-0.131579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,19),-0.0880189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,20),-0.0391271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,21),-0.0736567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,22),-0.132032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,24),0.0141262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,25),-0.042255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,27),-0.131579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,28),0.00811982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,29),-0.0942992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,15),(15,15),(15,31),-0.198503 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,15),(15,16),(15,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,19),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,20),-0.0420879 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,22),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,24),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,27),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,28),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,29),-0.0422976 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,16),(15,31),-0.0538506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,15),(15,17),(15,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,19),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(8,15),(15,17),(15,20),-0.0420879 # DEPENDENCYPART_GRANDSIBL
