# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,3,11,9,9,14,12,3,0,18,16,20,21,18,16,24,22,24,31,31,27,28,31,25,31,32,16,
(2,5),(5,7),(5,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,35),-0.043492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,8),(5,9),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,11),-0.0430709 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,14),-0.0396921 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,15),-0.0473089 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,16),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,24),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,35),-0.0789497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,9),(5,11),-0.0420267 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,14),-0.0421174 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,15),-0.0505968 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,35),-0.0447298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,14),-0.0414467 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,15),-0.0674893 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,16),-0.0422312 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,24),-0.0422296 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,35),-0.0278578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,14),(5,15),-0.0799569 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,16),-0.0426795 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,24),-0.0426155 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,35),0.0162111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,15),(5,16),-0.0658932 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,24),-0.0654973 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,35),-0.0532613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,16),(5,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,16),(5,35),-0.0460934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,24),(5,35),-0.0447298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,3),0.0944614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.0884748 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,1),-0.0647815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),-0.0353998 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,3),(5,2),0.0945019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,1),-0.0641573 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.0509034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.0641575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,2),(5,-1),-0.106118 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,1),(5,-1),-0.0899283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,35),-0.0290275 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,6),(6,-1),-0.0456621 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,8),(8,9),-0.0480713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,12),-0.0342843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,35),0.0364448 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,9),(8,12),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,35),-0.054787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,12),(8,35),-0.130461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,7),0.0946286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,-1),-0.119049 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,7),(8,-1),-0.0729825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,9),(9,10),-0.0379088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,11),-0.0342928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,12),-0.00760373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,13),0.00295718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,14),0.00226865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,15),-0.070915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,16),-0.0198764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,17),-0.0677743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,18),-0.0587014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,19),-0.0397126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,20),-0.0862698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,21),-0.0762872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,22),-0.0443011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,23),-0.0677743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,24),-0.0196911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,25),-0.00353043 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,27),0.00302824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,34),-0.0420187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,35),0.0143922 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,10),(9,11),-0.0408789 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,12),-0.0425067 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,13),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,14),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,15),-0.0420435 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,20),-0.042288 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,21),-0.0420165 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,25),-0.0425067 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,27),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,34),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,10),(9,35),-0.0398766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,11),(9,12),-0.0337666 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,13),-0.0477273 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,14),-0.0477273 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,15),-0.0398234 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,16),-0.0443055 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,17),-0.0420358 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,18),-0.0423156 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,19),-0.0420127 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,20),-0.0431351 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,21),-0.045354 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,22),-0.0348852 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,23),-0.0420358 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,24),-0.0443055 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,25),-0.0297091 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,27),-0.0478833 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,34),-0.0428217 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,11),(9,35),-0.0833583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,12),(9,13),-0.0419658 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,14),-0.0419658 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,15),-0.057354 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,16),-0.0458826 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,17),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,18),-0.0420613 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,19),-0.0422003 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,20),-0.0444486 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,21),-0.0432946 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,22),-0.0240449 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,23),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,24),-0.0458826 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,25),-0.0461757 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,27),-0.0419658 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,34),-0.0430935 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,12),(9,35),0.042383 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,13),(9,14),-0.0389899 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,15),-0.0530137 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,16),-0.0400733 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,19),-0.0365544 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,20),-0.0421399 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,21),-0.0424425 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,22),-0.0459025 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,24),-0.0400733 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,25),-0.0417981 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,27),-0.0389899 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,34),-0.0423346 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,13),(9,35),0.0106059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,14),(9,15),-0.0530137 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,16),-0.0400733 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,19),-0.0365544 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,20),-0.0421399 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,21),-0.0424425 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,22),-0.0459025 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,24),-0.0400733 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,25),-0.0417977 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,27),-0.0389899 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,34),-0.0423346 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,14),(9,35),0.00991695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,15),(9,16),-0.0342258 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,17),-0.042071 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,18),-0.0467974 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,19),-0.0436221 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,20),-0.043416 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,21),-0.0423297 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,22),-0.0598913 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,23),-0.042071 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,24),-0.0341497 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,25),-0.0510109 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,27),-0.0438264 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,34),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,15),(9,35),-0.0399302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,16),(9,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,20),-0.0420144 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,21),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,22),-0.0257636 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,24),-0.038895 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,25),-0.0421716 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,27),-0.042015 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,34),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,16),(9,35),-0.0482316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,17),(9,18),-0.0423729 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,20),-0.042729 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,21),-0.0428921 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,22),-0.0451812 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,24),-0.043602 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,25),-0.0436313 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,27),-0.0429925 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,34),-0.0432528 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,35),-0.0570871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,18),(9,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,22),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,24),-0.0420121 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,25),-0.0427622 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,27),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,34),-0.0420337 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,35),-0.0550545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,19),(9,20),-0.0420272 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,19),(9,21),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,19),(9,22),-0.0429405 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,19),(9,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,19),(9,24),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,19),(9,25),-0.0430099 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,19),(9,27),-0.0438678 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,19),(9,34),-0.0420199 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,19),(9,35),-0.0242143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,20),(9,21),-0.0432878 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,20),(9,22),-0.0360511 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,20),(9,23),-0.0421283 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,20),(9,24),-0.0435896 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,20),(9,25),-0.0493812 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,20),(9,27),-0.0389827 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,20),(9,34),-0.0420121 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,20),(9,35),-0.121245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,21),(9,22),-0.04262 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,21),(9,23),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,21),(9,24),-0.0420741 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,21),(9,25),-0.0570435 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,21),(9,27),-0.0425964 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,21),(9,34),-0.0422319 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,21),(9,35),-0.0270266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,22),(9,23),-0.0420786 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,22),(9,24),-0.0424604 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,22),(9,25),-0.0489553 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,22),(9,27),-0.0423283 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,22),(9,34),-0.0430318 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,22),(9,35),-0.055161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,23),(9,24),-0.043602 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,23),(9,25),-0.0436313 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,23),(9,27),-0.0429925 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,23),(9,34),-0.0432528 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,23),(9,35),-0.0570871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,24),(9,25),-0.0421716 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,24),(9,27),-0.042015 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,24),(9,34),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,24),(9,35),-0.0474069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,25),(9,27),-0.0431799 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,25),(9,34),-0.0434305 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,25),(9,35),0.0452145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,27),(9,34),-0.0423346 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,27),(9,35),0.0105205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,34),(9,35),-0.0575832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,9),(9,8),0.0986427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,7),0.163117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,6),0.125893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,5),0.126868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,4),0.108993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,3),0.126873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,2),0.105687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,9),(9,1),-0.0642946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,-1),-0.105647 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,8),(9,7),0.0983836 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,6),0.111429 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,5),0.118273 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,4),0.101074 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,3),0.118273 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,2),0.111515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,8),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,-1),-0.121348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,7),(9,6),0.102555 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,5),0.102613 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,4),0.103039 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,3),0.102613 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,2),0.102884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,7),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,-1),0.0635556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,6),(9,5),0.105595 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,6),(9,4),0.103035 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,6),(9,3),0.105595 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,6),(9,2),0.100567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,6),(9,1),-0.0641598 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,6),(9,-1),-0.108854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,5),(9,4),0.10265 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,5),(9,3),0.0947448 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,5),(9,2),0.1008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,5),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,5),(9,-1),-0.0253374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,4),(9,3),0.102986 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,4),(9,2),0.102718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,4),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,4),(9,-1),-0.0650147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,3),(9,2),0.1008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,3),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,3),(9,-1),-0.0253327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,2),(9,1),-0.0644608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,2),(9,-1),-0.104453 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,1),(9,-1),-0.070893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,11),(11,12),0.0569833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,13),-0.0708763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,14),-0.0708763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,15),0.0392077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,16),0.00534919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,18),0.00949224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,20),-0.0674939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,22),-0.0478694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,25),0.0577727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,35),0.067086 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,12),(11,13),-0.0446425 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,14),-0.0446425 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,15),0.00627032 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,16),-0.0435977 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,18),-0.0456793 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,20),-0.043741 # DEPENDENCYPART_GRANDSIBL
