# _root_ In savings activity , Mr. Sandler said consumer deposits have enjoyed a steady increase throughout 1989 , and topped $ 11 billion at quarter 's end for the first time in the company 's history .
#goldHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
#predictedHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,11,11,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
(7,11),(11,14),0.431378 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),0.326254 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),0.36101 # DEPENDENCYPART_GRANDPAR
(7,11),(11,17),0.943778 # DEPENDENCYPART_GRANDPAR
(7,11),(11,18),0.560067 # DEPENDENCYPART_GRANDPAR
(7,11),(11,19),0.993635 # DEPENDENCYPART_GRANDPAR
(7,11),(11,20),0.175283 # DEPENDENCYPART_GRANDPAR
(7,11),(11,23),0.437954 # DEPENDENCYPART_GRANDPAR
(7,11),(11,24),-0.117459 # DEPENDENCYPART_GRANDPAR
(7,11),(11,25),-0.303344 # DEPENDENCYPART_GRANDPAR
(7,11),(11,26),-0.304118 # DEPENDENCYPART_GRANDPAR
(7,11),(11,27),0.117837 # DEPENDENCYPART_GRANDPAR
(7,11),(11,30),0.0521343 # DEPENDENCYPART_GRANDPAR
(7,11),(11,31),-0.273446 # DEPENDENCYPART_GRANDPAR
(7,11),(11,35),-0.656528 # DEPENDENCYPART_GRANDPAR
(7,11),(11,36),1.55245 # DEPENDENCYPART_GRANDPAR
(7,14),(14,9),0.508099 # DEPENDENCYPART_GRANDPAR
(7,14),(14,11),0.359687 # DEPENDENCYPART_GRANDPAR
(7,14),(14,12),-0.206229 # DEPENDENCYPART_GRANDPAR
(7,14),(14,13),0.106523 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),0.307652 # DEPENDENCYPART_GRANDPAR
(7,14),(14,16),0.380593 # DEPENDENCYPART_GRANDPAR
(7,14),(14,17),0.946087 # DEPENDENCYPART_GRANDPAR
(7,14),(14,18),0.512577 # DEPENDENCYPART_GRANDPAR
(7,14),(14,19),0.968259 # DEPENDENCYPART_GRANDPAR
(7,14),(14,20),0.168674 # DEPENDENCYPART_GRANDPAR
(7,14),(14,23),0.437133 # DEPENDENCYPART_GRANDPAR
(7,14),(14,25),-0.487405 # DEPENDENCYPART_GRANDPAR
(7,14),(14,27),0.1433 # DEPENDENCYPART_GRANDPAR
(7,14),(14,31),-0.247902 # DEPENDENCYPART_GRANDPAR
(7,15),(15,14),0.217434 # DEPENDENCYPART_GRANDPAR
(7,15),(15,16),0.380972 # DEPENDENCYPART_GRANDPAR
(7,15),(15,17),0.881391 # DEPENDENCYPART_GRANDPAR
(7,15),(15,18),0.608604 # DEPENDENCYPART_GRANDPAR
(7,15),(15,19),0.982083 # DEPENDENCYPART_GRANDPAR
(7,15),(15,20),0.138996 # DEPENDENCYPART_GRANDPAR
(7,15),(15,26),-0.335256 # DEPENDENCYPART_GRANDPAR
(7,15),(15,27),-0.011087 # DEPENDENCYPART_GRANDPAR
(7,18),(18,19),1.46526 # DEPENDENCYPART_GRANDPAR
(7,18),(18,20),0.276261 # DEPENDENCYPART_GRANDPAR
(7,18),(18,23),0.577551 # DEPENDENCYPART_GRANDPAR
(7,18),(18,26),-0.237778 # DEPENDENCYPART_GRANDPAR
(7,18),(18,27),0.260809 # DEPENDENCYPART_GRANDPAR
(7,19),(19,1),0.398348 # DEPENDENCYPART_GRANDPAR
(7,19),(19,4),0.515398 # DEPENDENCYPART_GRANDPAR
(7,19),(19,6),0.0583163 # DEPENDENCYPART_GRANDPAR
(7,19),(19,9),0.70501 # DEPENDENCYPART_GRANDPAR
(7,19),(19,10),0.402326 # DEPENDENCYPART_GRANDPAR
(7,19),(19,14),0.396892 # DEPENDENCYPART_GRANDPAR
(7,19),(19,15),0.335248 # DEPENDENCYPART_GRANDPAR
(7,19),(19,16),0.22962 # DEPENDENCYPART_GRANDPAR
(7,19),(19,17),0.797173 # DEPENDENCYPART_GRANDPAR
(7,19),(19,20),0.275356 # DEPENDENCYPART_GRANDPAR
(7,19),(19,21),0.0224569 # DEPENDENCYPART_GRANDPAR
(7,19),(19,22),-0.115375 # DEPENDENCYPART_GRANDPAR
(7,19),(19,23),0.586211 # DEPENDENCYPART_GRANDPAR
(7,19),(19,24),0.0877665 # DEPENDENCYPART_GRANDPAR
(7,19),(19,25),-0.236334 # DEPENDENCYPART_GRANDPAR
(7,19),(19,26),-0.116875 # DEPENDENCYPART_GRANDPAR
(7,19),(19,27),0.231753 # DEPENDENCYPART_GRANDPAR
(7,19),(19,30),0.227617 # DEPENDENCYPART_GRANDPAR
(7,19),(19,31),-0.0891017 # DEPENDENCYPART_GRANDPAR
(7,19),(19,35),-0.474881 # DEPENDENCYPART_GRANDPAR
(7,19),(19,36),1.48773 # DEPENDENCYPART_GRANDPAR
(8,6),(6,1),-0.338908 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),-0.427425 # DEPENDENCYPART_GRANDPAR
(8,6),(6,3),-0.375549 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),0.0791316 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),0.124411 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),-0.0387558 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-1.43794 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),0.296624 # DEPENDENCYPART_GRANDPAR
(8,6),(6,10),-0.405433 # DEPENDENCYPART_GRANDPAR
(8,6),(6,14),-0.508169 # DEPENDENCYPART_GRANDPAR
(8,7),(7,1),-0.385699 # DEPENDENCYPART_GRANDPAR
(8,7),(7,2),-0.512473 # DEPENDENCYPART_GRANDPAR
(8,7),(7,3),-0.455495 # DEPENDENCYPART_GRANDPAR
(8,7),(7,4),-0.0687272 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),-0.184494 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.246666 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.44392 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),0.261311 # DEPENDENCYPART_GRANDPAR
(8,7),(7,10),-0.404186 # DEPENDENCYPART_GRANDPAR
(8,7),(7,11),-0.158185 # DEPENDENCYPART_GRANDPAR
(8,7),(7,14),-0.514142 # DEPENDENCYPART_GRANDPAR
(8,7),(7,15),-0.459268 # DEPENDENCYPART_GRANDPAR
(8,7),(7,17),-0.280345 # DEPENDENCYPART_GRANDPAR
(8,7),(7,18),-0.375851 # DEPENDENCYPART_GRANDPAR
(8,7),(7,19),-0.310715 # DEPENDENCYPART_GRANDPAR
(8,7),(7,36),-1.60433 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-0.976066 # DEPENDENCYPART_GRANDPAR
(8,9),(9,2),-1.09606 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-1.03696 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),-0.646167 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.731968 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-0.789436 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.542622 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.853777 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),0.065618 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),0.331426 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),0.164584 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),0.331725 # DEPENDENCYPART_GRANDPAR
(8,10),(10,1),-1.07754 # DEPENDENCYPART_GRANDPAR
(8,10),(10,2),-1.07714 # DEPENDENCYPART_GRANDPAR
(8,10),(10,3),-1.01813 # DEPENDENCYPART_GRANDPAR
(8,10),(10,4),-0.530224 # DEPENDENCYPART_GRANDPAR
(8,10),(10,5),-0.714385 # DEPENDENCYPART_GRANDPAR
(8,10),(10,6),-0.771956 # DEPENDENCYPART_GRANDPAR
(8,10),(10,7),-0.523828 # DEPENDENCYPART_GRANDPAR
(8,10),(10,8),-0.899193 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,10),(10,9),0.953451 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),0.485497 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),0.172809 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),0.266614 # DEPENDENCYPART_GRANDPAR
(8,10),(10,14),0.165152 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),0.270845 # DEPENDENCYPART_GRANDPAR
(8,10),(10,16),0.213825 # DEPENDENCYPART_GRANDPAR
(8,10),(10,17),0.238698 # DEPENDENCYPART_GRANDPAR
(8,10),(10,18),0.0924497 # DEPENDENCYPART_GRANDPAR
(8,10),(10,19),0.272172 # DEPENDENCYPART_GRANDPAR
(8,10),(10,23),0.195345 # DEPENDENCYPART_GRANDPAR
(8,10),(10,27),0.0721963 # DEPENDENCYPART_GRANDPAR
(8,10),(10,31),-0.0943407 # DEPENDENCYPART_GRANDPAR
(8,10),(10,36),-1.33351 # DEPENDENCYPART_GRANDPAR
(8,11),(11,1),-0.98713 # DEPENDENCYPART_GRANDPAR
(8,11),(11,3),-1.00291 # DEPENDENCYPART_GRANDPAR
(8,11),(11,4),-0.599243 # DEPENDENCYPART_GRANDPAR
(8,11),(11,6),-0.765421 # DEPENDENCYPART_GRANDPAR
(8,11),(11,7),-0.509471 # DEPENDENCYPART_GRANDPAR
(8,11),(11,8),-0.881647 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,11),(11,9),0.808464 # DEPENDENCYPART_GRANDPAR
(8,11),(11,12),0.197283 # DEPENDENCYPART_GRANDPAR
(8,11),(11,13),0.275755 # DEPENDENCYPART_GRANDPAR
(8,11),(11,14),0.0704207 # DEPENDENCYPART_GRANDPAR
(8,11),(11,15),0.187865 # DEPENDENCYPART_GRANDPAR
(8,11),(11,16),0.223876 # DEPENDENCYPART_GRANDPAR
(8,11),(11,17),0.205007 # DEPENDENCYPART_GRANDPAR
(8,11),(11,18),0.0144316 # DEPENDENCYPART_GRANDPAR
(8,11),(11,19),0.189539 # DEPENDENCYPART_GRANDPAR
(8,11),(11,20),0.123245 # DEPENDENCYPART_GRANDPAR
(8,11),(11,23),0.0652879 # DEPENDENCYPART_GRANDPAR
(8,11),(11,24),-0.385084 # DEPENDENCYPART_GRANDPAR
(8,11),(11,25),-0.42025 # DEPENDENCYPART_GRANDPAR
(8,11),(11,26),-0.187689 # DEPENDENCYPART_GRANDPAR
(8,11),(11,27),-0.00148905 # DEPENDENCYPART_GRANDPAR
(8,11),(11,30),-0.832215 # DEPENDENCYPART_GRANDPAR
(8,11),(11,31),-0.154098 # DEPENDENCYPART_GRANDPAR
(8,11),(11,35),-0.284829 # DEPENDENCYPART_GRANDPAR
(8,11),(11,36),-1.27154 # DEPENDENCYPART_GRANDPAR
(8,14),(14,9),0.869094 # DEPENDENCYPART_GRANDPAR
(8,14),(14,11),0.434323 # DEPENDENCYPART_GRANDPAR
(8,14),(14,12),0.610378 # DEPENDENCYPART_GRANDPAR
(8,14),(14,13),0.391523 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),0.293121 # DEPENDENCYPART_GRANDPAR
(8,14),(14,16),0.288371 # DEPENDENCYPART_GRANDPAR
(8,14),(14,17),0.38087 # DEPENDENCYPART_GRANDPAR
(8,14),(14,18),0.188435 # DEPENDENCYPART_GRANDPAR
(8,14),(14,19),0.280035 # DEPENDENCYPART_GRANDPAR
(8,14),(14,20),0.230044 # DEPENDENCYPART_GRANDPAR
(8,14),(14,23),0.17814 # DEPENDENCYPART_GRANDPAR
(8,14),(14,25),-0.478347 # DEPENDENCYPART_GRANDPAR
(8,14),(14,27),0.0934106 # DEPENDENCYPART_GRANDPAR
(8,14),(14,31),-0.0566686 # DEPENDENCYPART_GRANDPAR
(9,1),(1,2),-0.453609 # DEPENDENCYPART_GRANDPAR
(9,1),(1,3),-0.365532 # DEPENDENCYPART_GRANDPAR
(9,1),(1,4),0.216776 # DEPENDENCYPART_GRANDPAR
(9,1),(1,6),-0.194956 # DEPENDENCYPART_GRANDPAR
(9,1),(1,7),-0.0846602 # DEPENDENCYPART_GRANDPAR
(9,1),(1,9),-1.10784 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,1),(1,10),-0.269727 # DEPENDENCYPART_GRANDPAR
(9,1),(1,18),-0.349122 # DEPENDENCYPART_GRANDPAR
(9,2),(2,3),-0.253364 # DEPENDENCYPART_GRANDPAR
(9,2),(2,6),0.00962063 # DEPENDENCYPART_GRANDPAR
(9,2),(2,10),-0.242536 # DEPENDENCYPART_GRANDPAR
(9,3),(3,1),-0.0513078 # DEPENDENCYPART_GRANDPAR
(9,3),(3,2),-0.294242 # DEPENDENCYPART_GRANDPAR
(9,3),(3,4),0.327352 # DEPENDENCYPART_GRANDPAR
(9,3),(3,5),0.0511442 # DEPENDENCYPART_GRANDPAR
(9,3),(3,6),0.0113477 # DEPENDENCYPART_GRANDPAR
(9,3),(3,7),-0.0730899 # DEPENDENCYPART_GRANDPAR
(9,3),(3,8),0.0675323 # DEPENDENCYPART_GRANDPAR
(9,3),(3,9),-1.04238 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,3),(3,10),-0.242571 # DEPENDENCYPART_GRANDPAR
(9,3),(3,11),-0.496725 # DEPENDENCYPART_GRANDPAR
(9,3),(3,14),-0.514426 # DEPENDENCYPART_GRANDPAR
(9,3),(3,17),-0.425032 # DEPENDENCYPART_GRANDPAR
(9,3),(3,18),-0.389488 # DEPENDENCYPART_GRANDPAR
(9,3),(3,19),-0.436072 # DEPENDENCYPART_GRANDPAR
(9,5),(5,1),-0.0811312 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),-0.25517 # DEPENDENCYPART_GRANDPAR
(9,5),(5,4),0.570426 # DEPENDENCYPART_GRANDPAR
(9,5),(5,6),-0.0295065 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),-0.0840683 # DEPENDENCYPART_GRANDPAR
(9,5),(5,9),-0.987828 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,5),(5,10),-0.182648 # DEPENDENCYPART_GRANDPAR
(9,6),(6,1),-0.0834631 # DEPENDENCYPART_GRANDPAR
(9,6),(6,2),-0.348217 # DEPENDENCYPART_GRANDPAR
(9,6),(6,3),-0.253403 # DEPENDENCYPART_GRANDPAR
(9,6),(6,4),0.569348 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),0.311745 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),-0.0837696 # DEPENDENCYPART_GRANDPAR
(9,6),(6,8),0.0656058 # DEPENDENCYPART_GRANDPAR
(9,6),(6,9),-0.987816 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,6),(6,10),-0.182648 # DEPENDENCYPART_GRANDPAR
(9,6),(6,14),-0.42831 # DEPENDENCYPART_GRANDPAR
(9,7),(7,1),-0.158509 # DEPENDENCYPART_GRANDPAR
(9,7),(7,2),-0.504631 # DEPENDENCYPART_GRANDPAR
(9,7),(7,3),-0.407244 # DEPENDENCYPART_GRANDPAR
(9,7),(7,4),0.393527 # DEPENDENCYPART_GRANDPAR
(9,7),(7,5),-0.00861369 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),-0.0748669 # DEPENDENCYPART_GRANDPAR
(9,7),(7,8),0.0512969 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-1.01308 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,7),(7,10),-0.170976 # DEPENDENCYPART_GRANDPAR
(9,7),(7,11),-0.44097 # DEPENDENCYPART_GRANDPAR
(9,7),(7,14),-0.433144 # DEPENDENCYPART_GRANDPAR
(9,7),(7,15),-0.466067 # DEPENDENCYPART_GRANDPAR
(9,7),(7,17),-0.261358 # DEPENDENCYPART_GRANDPAR
(9,7),(7,18),-0.273768 # DEPENDENCYPART_GRANDPAR
(9,7),(7,19),-0.386309 # DEPENDENCYPART_GRANDPAR
(9,7),(7,36),-0.70789 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),0.0659626 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),0.0250703 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-1.04252 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),-0.24288 # DEPENDENCYPART_GRANDPAR
(9,8),(8,11),-0.496865 # DEPENDENCYPART_GRANDPAR
(9,8),(8,14),-0.51456 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),-0.425169 # DEPENDENCYPART_GRANDPAR
(9,10),(10,1),-0.906853 # DEPENDENCYPART_GRANDPAR
(9,10),(10,2),-0.930154 # DEPENDENCYPART_GRANDPAR
(9,10),(10,3),-0.842495 # DEPENDENCYPART_GRANDPAR
(9,10),(10,4),-0.0956027 # DEPENDENCYPART_GRANDPAR
(9,10),(10,5),-0.482403 # DEPENDENCYPART_GRANDPAR
(9,10),(10,6),-0.536513 # DEPENDENCYPART_GRANDPAR
(9,10),(10,7),-0.516662 # DEPENDENCYPART_GRANDPAR
(9,10),(10,8),-0.523778 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-0.448026 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),0.15219 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),0.209213 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),0.0450845 # DEPENDENCYPART_GRANDPAR
(9,10),(10,14),0.117717 # DEPENDENCYPART_GRANDPAR
(9,10),(10,15),0.219331 # DEPENDENCYPART_GRANDPAR
(9,10),(10,16),0.0821151 # DEPENDENCYPART_GRANDPAR
(9,10),(10,17),0.149722 # DEPENDENCYPART_GRANDPAR
(9,10),(10,18),0.162588 # DEPENDENCYPART_GRANDPAR
(9,10),(10,19),0.139273 # DEPENDENCYPART_GRANDPAR
(9,10),(10,23),0.137833 # DEPENDENCYPART_GRANDPAR
(9,10),(10,27),0.0999292 # DEPENDENCYPART_GRANDPAR
(9,10),(10,31),-0.283759 # DEPENDENCYPART_GRANDPAR
(9,10),(10,36),-0.47156 # DEPENDENCYPART_GRANDPAR
(9,11),(11,1),-0.80634 # DEPENDENCYPART_GRANDPAR
(9,11),(11,3),-0.818041 # DEPENDENCYPART_GRANDPAR
(9,11),(11,4),-0.158232 # DEPENDENCYPART_GRANDPAR
(9,11),(11,6),-0.521217 # DEPENDENCYPART_GRANDPAR
(9,11),(11,7),-0.494808 # DEPENDENCYPART_GRANDPAR
(9,11),(11,8),-0.499333 # DEPENDENCYPART_GRANDPAR
(9,11),(11,9),-0.568082 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,11),(11,12),0.2292 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.0572888 # DEPENDENCYPART_GRANDPAR
(9,11),(11,14),-0.00744338 # DEPENDENCYPART_GRANDPAR
(9,11),(11,15),0.164494 # DEPENDENCYPART_GRANDPAR
(9,11),(11,16),0.0955848 # DEPENDENCYPART_GRANDPAR
(9,11),(11,17),0.149313 # DEPENDENCYPART_GRANDPAR
(9,11),(11,18),0.0587085 # DEPENDENCYPART_GRANDPAR
(9,11),(11,19),0.0479827 # DEPENDENCYPART_GRANDPAR
(9,11),(11,20),-0.082587 # DEPENDENCYPART_GRANDPAR
(9,11),(11,23),0.0481576 # DEPENDENCYPART_GRANDPAR
(9,11),(11,24),-0.21734 # DEPENDENCYPART_GRANDPAR
(9,11),(11,25),-0.645799 # DEPENDENCYPART_GRANDPAR
(9,11),(11,26),-0.392006 # DEPENDENCYPART_GRANDPAR
(9,11),(11,27),0.0476846 # DEPENDENCYPART_GRANDPAR
(9,11),(11,30),-0.430413 # DEPENDENCYPART_GRANDPAR
(9,11),(11,31),-0.312018 # DEPENDENCYPART_GRANDPAR
(9,11),(11,35),-0.440217 # DEPENDENCYPART_GRANDPAR
(9,11),(11,36),-0.408186 # DEPENDENCYPART_GRANDPAR
(9,14),(14,9),-0.552532 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,14),(14,11),0.0561241 # DEPENDENCYPART_GRANDPAR
(9,14),(14,12),0.653715 # DEPENDENCYPART_GRANDPAR
(9,14),(14,13),0.184752 # DEPENDENCYPART_GRANDPAR
(9,14),(14,15),0.341846 # DEPENDENCYPART_GRANDPAR
(9,14),(14,16),0.262059 # DEPENDENCYPART_GRANDPAR
(9,14),(14,17),0.351785 # DEPENDENCYPART_GRANDPAR
(9,14),(14,18),0.376524 # DEPENDENCYPART_GRANDPAR
(9,14),(14,19),0.186612 # DEPENDENCYPART_GRANDPAR
(9,14),(14,20),0.0806924 # DEPENDENCYPART_GRANDPAR
(9,14),(14,23),0.22413 # DEPENDENCYPART_GRANDPAR
(9,14),(14,25),-0.644748 # DEPENDENCYPART_GRANDPAR
(9,14),(14,27),0.237295 # DEPENDENCYPART_GRANDPAR
(9,14),(14,31),-0.147782 # DEPENDENCYPART_GRANDPAR
(10,1),(1,2),0.222277 # DEPENDENCYPART_GRANDPAR
(10,1),(1,3),0.0713737 # DEPENDENCYPART_GRANDPAR
(10,1),(1,4),0.122123 # DEPENDENCYPART_GRANDPAR
(10,1),(1,6),-0.0631148 # DEPENDENCYPART_GRANDPAR
(10,1),(1,7),0.55985 # DEPENDENCYPART_GRANDPAR
(10,1),(1,9),0.179632 # DEPENDENCYPART_GRANDPAR
(10,1),(1,10),-1.16394 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,1),(1,18),-0.182274 # DEPENDENCYPART_GRANDPAR
(10,2),(2,3),0.156873 # DEPENDENCYPART_GRANDPAR
(10,2),(2,6),0.0836104 # DEPENDENCYPART_GRANDPAR
(10,2),(2,10),-1.05062 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,3),(3,1),0.668742 # DEPENDENCYPART_GRANDPAR
(10,3),(3,2),0.410722 # DEPENDENCYPART_GRANDPAR
(10,3),(3,4),0.274414 # DEPENDENCYPART_GRANDPAR
(10,3),(3,5),0.383805 # DEPENDENCYPART_GRANDPAR
(10,3),(3,6),0.0799695 # DEPENDENCYPART_GRANDPAR
(10,3),(3,7),0.528939 # DEPENDENCYPART_GRANDPAR
(10,3),(3,8),0.456996 # DEPENDENCYPART_GRANDPAR
(10,3),(3,9),0.0922928 # DEPENDENCYPART_GRANDPAR
(10,3),(3,10),-1.05093 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,3),(3,11),-0.0578443 # DEPENDENCYPART_GRANDPAR
(10,3),(3,14),-0.268905 # DEPENDENCYPART_GRANDPAR
(10,3),(3,17),0.0694699 # DEPENDENCYPART_GRANDPAR
(10,3),(3,18),-0.154723 # DEPENDENCYPART_GRANDPAR
(10,3),(3,19),0.132129 # DEPENDENCYPART_GRANDPAR
(10,5),(5,1),0.651564 # DEPENDENCYPART_GRANDPAR
(10,5),(5,3),0.203912 # DEPENDENCYPART_GRANDPAR
(10,5),(5,4),0.214234 # DEPENDENCYPART_GRANDPAR
(10,5),(5,6),0.17897 # DEPENDENCYPART_GRANDPAR
(10,5),(5,7),0.596218 # DEPENDENCYPART_GRANDPAR
(10,5),(5,9),0.248409 # DEPENDENCYPART_GRANDPAR
(10,5),(5,10),-1.0478 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,6),(6,1),0.649297 # DEPENDENCYPART_GRANDPAR
(10,6),(6,2),0.353689 # DEPENDENCYPART_GRANDPAR
(10,6),(6,3),0.205745 # DEPENDENCYPART_GRANDPAR
(10,6),(6,4),0.213206 # DEPENDENCYPART_GRANDPAR
(10,6),(6,5),0.663249 # DEPENDENCYPART_GRANDPAR
(10,6),(6,7),0.596354 # DEPENDENCYPART_GRANDPAR
(10,6),(6,8),0.515585 # DEPENDENCYPART_GRANDPAR
(10,6),(6,9),0.248502 # DEPENDENCYPART_GRANDPAR
(10,6),(6,10),-1.0478 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,6),(6,14),-0.236951 # DEPENDENCYPART_GRANDPAR
(10,7),(7,1),0.740846 # DEPENDENCYPART_GRANDPAR
(10,7),(7,2),0.38795 # DEPENDENCYPART_GRANDPAR
(10,7),(7,3),0.240987 # DEPENDENCYPART_GRANDPAR
(10,7),(7,4),0.393054 # DEPENDENCYPART_GRANDPAR
(10,7),(7,5),0.45549 # DEPENDENCYPART_GRANDPAR
(10,7),(7,6),0.110082 # DEPENDENCYPART_GRANDPAR
(10,7),(7,8),0.254796 # DEPENDENCYPART_GRANDPAR
(10,7),(7,9),-0.0333727 # DEPENDENCYPART_GRANDPAR
(10,7),(7,10),-0.958627 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,7),(7,11),0.0168952 # DEPENDENCYPART_GRANDPAR
(10,7),(7,14),-0.169287 # DEPENDENCYPART_GRANDPAR
(10,7),(7,15),0.196652 # DEPENDENCYPART_GRANDPAR
(10,7),(7,17),0.275187 # DEPENDENCYPART_GRANDPAR
(10,7),(7,18),-0.0320202 # DEPENDENCYPART_GRANDPAR
(10,7),(7,19),0.201614 # DEPENDENCYPART_GRANDPAR
(10,7),(7,36),-0.302585 # DEPENDENCYPART_GRANDPAR
(10,8),(8,6),0.13907 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),0.576379 # DEPENDENCYPART_GRANDPAR
(10,8),(8,9),0.0925447 # DEPENDENCYPART_GRANDPAR
(10,8),(8,10),-1.05076 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,11),-0.0577426 # DEPENDENCYPART_GRANDPAR
(10,8),(8,14),-0.268798 # DEPENDENCYPART_GRANDPAR
(10,8),(8,17),0.0695737 # DEPENDENCYPART_GRANDPAR
(10,9),(9,1),0.650111 # DEPENDENCYPART_GRANDPAR
(10,9),(9,2),0.438021 # DEPENDENCYPART_GRANDPAR
(10,9),(9,3),0.290304 # DEPENDENCYPART_GRANDPAR
(10,9),(9,4),0.179055 # DEPENDENCYPART_GRANDPAR
(10,9),(9,5),0.544545 # DEPENDENCYPART_GRANDPAR
(10,9),(9,6),0.206922 # DEPENDENCYPART_GRANDPAR
(10,9),(9,7),0.602237 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),0.599751 # DEPENDENCYPART_GRANDPAR
(10,9),(9,10),-1.06596 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,9),(9,11),-0.00878953 # DEPENDENCYPART_GRANDPAR
(10,9),(9,14),-0.19743 # DEPENDENCYPART_GRANDPAR
(10,9),(9,17),0.115435 # DEPENDENCYPART_GRANDPAR
(10,11),(11,1),0.530632 # DEPENDENCYPART_GRANDPAR
(10,11),(11,3),-0.214971 # DEPENDENCYPART_GRANDPAR
(10,11),(11,4),-0.103002 # DEPENDENCYPART_GRANDPAR
(10,11),(11,6),-0.274203 # DEPENDENCYPART_GRANDPAR
(10,11),(11,7),0.164042 # DEPENDENCYPART_GRANDPAR
(10,11),(11,8),0.079755 # DEPENDENCYPART_GRANDPAR
(10,11),(11,9),-0.185167 # DEPENDENCYPART_GRANDPAR
(10,11),(11,12),0.66054 # DEPENDENCYPART_GRANDPAR
(10,11),(11,13),0.692766 # DEPENDENCYPART_GRANDPAR
(10,11),(11,14),0.525454 # DEPENDENCYPART_GRANDPAR
(10,11),(11,15),0.572876 # DEPENDENCYPART_GRANDPAR
(10,11),(11,16),0.42241 # DEPENDENCYPART_GRANDPAR
