# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,17,20,17,22,20,7,
(14,12),(12,15),0.311885 # DEPENDENCYPART_GRANDPAR
(14,12),(12,16),0.243019 # DEPENDENCYPART_GRANDPAR
(14,12),(12,17),-0.11463 # DEPENDENCYPART_GRANDPAR
(14,12),(12,18),-0.0709341 # DEPENDENCYPART_GRANDPAR
(14,12),(12,20),-0.201775 # DEPENDENCYPART_GRANDPAR
(14,12),(12,21),-0.27108 # DEPENDENCYPART_GRANDPAR
(14,12),(12,22),-0.131866 # DEPENDENCYPART_GRANDPAR
(14,13),(13,12),0.112139 # DEPENDENCYPART_GRANDPAR
(14,13),(13,14),-0.915394 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,13),(13,15),0.324065 # DEPENDENCYPART_GRANDPAR
(14,13),(13,16),0.243924 # DEPENDENCYPART_GRANDPAR
(14,13),(13,17),-0.132538 # DEPENDENCYPART_GRANDPAR
(14,13),(13,18),-0.0750021 # DEPENDENCYPART_GRANDPAR
(14,13),(13,20),-0.252436 # DEPENDENCYPART_GRANDPAR
(14,13),(13,21),-0.262527 # DEPENDENCYPART_GRANDPAR
(14,15),(15,16),0.980937 # DEPENDENCYPART_GRANDPAR
(14,15),(15,17),0.421215 # DEPENDENCYPART_GRANDPAR
(14,15),(15,18),0.621442 # DEPENDENCYPART_GRANDPAR
(14,15),(15,19),0.199612 # DEPENDENCYPART_GRANDPAR
(14,15),(15,20),0.376916 # DEPENDENCYPART_GRANDPAR
(14,15),(15,21),0.22615 # DEPENDENCYPART_GRANDPAR
(14,15),(15,22),0.664609 # DEPENDENCYPART_GRANDPAR
(14,16),(16,17),0.340291 # DEPENDENCYPART_GRANDPAR
(14,16),(16,18),0.485917 # DEPENDENCYPART_GRANDPAR
(14,16),(16,20),0.315035 # DEPENDENCYPART_GRANDPAR
(14,17),(17,13),-0.234899 # DEPENDENCYPART_GRANDPAR
(14,17),(17,14),-0.603022 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,17),(17,15),0.780964 # DEPENDENCYPART_GRANDPAR
(14,17),(17,16),0.555767 # DEPENDENCYPART_GRANDPAR
(14,17),(17,18),0.505112 # DEPENDENCYPART_GRANDPAR
(14,17),(17,19),0.194471 # DEPENDENCYPART_GRANDPAR
(14,17),(17,20),0.33109 # DEPENDENCYPART_GRANDPAR
(14,17),(17,21),0.154524 # DEPENDENCYPART_GRANDPAR
(14,17),(17,22),0.380283 # DEPENDENCYPART_GRANDPAR
(14,19),(19,21),0.14644 # DEPENDENCYPART_GRANDPAR
(14,19),(19,22),0.368651 # DEPENDENCYPART_GRANDPAR
(14,20),(20,1),-0.382757 # DEPENDENCYPART_GRANDPAR
(14,20),(20,2),-0.621348 # DEPENDENCYPART_GRANDPAR
(14,20),(20,3),-0.330506 # DEPENDENCYPART_GRANDPAR
(14,20),(20,4),-0.475223 # DEPENDENCYPART_GRANDPAR
(14,20),(20,5),-0.481413 # DEPENDENCYPART_GRANDPAR
(14,20),(20,6),-0.339486 # DEPENDENCYPART_GRANDPAR
(14,20),(20,7),-0.333173 # DEPENDENCYPART_GRANDPAR
(14,20),(20,8),-0.372241 # DEPENDENCYPART_GRANDPAR
(14,20),(20,9),-0.381509 # DEPENDENCYPART_GRANDPAR
(14,20),(20,11),-0.412085 # DEPENDENCYPART_GRANDPAR
(14,20),(20,12),-0.435379 # DEPENDENCYPART_GRANDPAR
(14,20),(20,13),-0.311206 # DEPENDENCYPART_GRANDPAR
(14,20),(20,14),-0.603762 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,20),(20,15),0.68387 # DEPENDENCYPART_GRANDPAR
(14,20),(20,16),0.5597 # DEPENDENCYPART_GRANDPAR
(14,20),(20,17),0.278608 # DEPENDENCYPART_GRANDPAR
(14,20),(20,18),0.255448 # DEPENDENCYPART_GRANDPAR
(14,20),(20,19),0.175998 # DEPENDENCYPART_GRANDPAR
(14,20),(20,21),0.183499 # DEPENDENCYPART_GRANDPAR
(14,20),(20,22),0.443323 # DEPENDENCYPART_GRANDPAR
(14,20),(20,23),0.221716 # DEPENDENCYPART_GRANDPAR
(14,21),(21,19),0.12556 # DEPENDENCYPART_GRANDPAR
(14,21),(21,22),0.335574 # DEPENDENCYPART_GRANDPAR
(14,22),(22,2),-0.627262 # DEPENDENCYPART_GRANDPAR
(14,22),(22,5),-0.481608 # DEPENDENCYPART_GRANDPAR
(14,22),(22,12),-0.44129 # DEPENDENCYPART_GRANDPAR
(14,22),(22,13),-0.25523 # DEPENDENCYPART_GRANDPAR
(14,22),(22,14),-0.574282 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,22),(22,16),0.583871 # DEPENDENCYPART_GRANDPAR
(14,22),(22,17),0.296541 # DEPENDENCYPART_GRANDPAR
(14,22),(22,18),0.322773 # DEPENDENCYPART_GRANDPAR
(14,22),(22,19),0.133035 # DEPENDENCYPART_GRANDPAR
(14,22),(22,20),0.227069 # DEPENDENCYPART_GRANDPAR
(14,22),(22,21),0.214709 # DEPENDENCYPART_GRANDPAR
(15,16),(16,17),0.568611 # DEPENDENCYPART_GRANDPAR
(15,16),(16,18),0.448019 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),0.528487 # DEPENDENCYPART_GRANDPAR
(15,17),(17,13),-0.267689 # DEPENDENCYPART_GRANDPAR
(15,17),(17,14),-0.357986 # DEPENDENCYPART_GRANDPAR
(15,17),(17,15),-0.912426 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,17),(17,16),0.934034 # DEPENDENCYPART_GRANDPAR
(15,17),(17,18),0.452177 # DEPENDENCYPART_GRANDPAR
(15,17),(17,19),0.018238 # DEPENDENCYPART_GRANDPAR
(15,17),(17,20),0.599562 # DEPENDENCYPART_GRANDPAR
(15,17),(17,21),0.0509715 # DEPENDENCYPART_GRANDPAR
(15,17),(17,22),0.421692 # DEPENDENCYPART_GRANDPAR
(15,19),(19,21),0.0934377 # DEPENDENCYPART_GRANDPAR
(15,19),(19,22),0.441696 # DEPENDENCYPART_GRANDPAR
(15,20),(20,1),-0.716776 # DEPENDENCYPART_GRANDPAR
(15,20),(20,2),-0.47281 # DEPENDENCYPART_GRANDPAR
(15,20),(20,3),-0.408108 # DEPENDENCYPART_GRANDPAR
(15,20),(20,4),-0.216639 # DEPENDENCYPART_GRANDPAR
(15,20),(20,5),-0.198755 # DEPENDENCYPART_GRANDPAR
(15,20),(20,6),-0.422348 # DEPENDENCYPART_GRANDPAR
(15,20),(20,7),-0.362754 # DEPENDENCYPART_GRANDPAR
(15,20),(20,8),-0.292927 # DEPENDENCYPART_GRANDPAR
(15,20),(20,9),-0.485287 # DEPENDENCYPART_GRANDPAR
(15,20),(20,11),-0.327415 # DEPENDENCYPART_GRANDPAR
(15,20),(20,12),-0.35027 # DEPENDENCYPART_GRANDPAR
(15,20),(20,13),-0.406907 # DEPENDENCYPART_GRANDPAR
(15,20),(20,14),-0.395226 # DEPENDENCYPART_GRANDPAR
(15,20),(20,15),-1.10564 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,20),(20,16),0.860488 # DEPENDENCYPART_GRANDPAR
(15,20),(20,17),0.519093 # DEPENDENCYPART_GRANDPAR
(15,20),(20,18),0.0644033 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),-0.181129 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),0.241119 # DEPENDENCYPART_GRANDPAR
(15,20),(20,22),0.687549 # DEPENDENCYPART_GRANDPAR
(15,20),(20,23),-0.114943 # DEPENDENCYPART_GRANDPAR
(15,21),(21,19),-0.073582 # DEPENDENCYPART_GRANDPAR
(15,21),(21,22),0.448572 # DEPENDENCYPART_GRANDPAR
(15,22),(22,2),-0.416231 # DEPENDENCYPART_GRANDPAR
(15,22),(22,5),-0.137596 # DEPENDENCYPART_GRANDPAR
(15,22),(22,12),-0.293688 # DEPENDENCYPART_GRANDPAR
(15,22),(22,13),-0.295333 # DEPENDENCYPART_GRANDPAR
(15,22),(22,14),-0.346917 # DEPENDENCYPART_GRANDPAR
(15,22),(22,16),0.990327 # DEPENDENCYPART_GRANDPAR
(15,22),(22,17),0.62927 # DEPENDENCYPART_GRANDPAR
(15,22),(22,18),0.264443 # DEPENDENCYPART_GRANDPAR
(15,22),(22,19),-0.0568856 # DEPENDENCYPART_GRANDPAR
(15,22),(22,20),0.534559 # DEPENDENCYPART_GRANDPAR
(15,22),(22,21),0.161642 # DEPENDENCYPART_GRANDPAR
(16,17),(17,13),-0.757601 # DEPENDENCYPART_GRANDPAR
(16,17),(17,14),-0.959292 # DEPENDENCYPART_GRANDPAR
(16,17),(17,15),-0.888889 # DEPENDENCYPART_GRANDPAR
(16,17),(17,16),-0.749255 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,17),(17,18),0.427397 # DEPENDENCYPART_GRANDPAR
(16,17),(17,19),0.12617 # DEPENDENCYPART_GRANDPAR
(16,17),(17,20),0.1257 # DEPENDENCYPART_GRANDPAR
(16,17),(17,21),0.008721 # DEPENDENCYPART_GRANDPAR
(16,17),(17,22),0.15047 # DEPENDENCYPART_GRANDPAR
(16,20),(20,1),-0.979874 # DEPENDENCYPART_GRANDPAR
(16,20),(20,2),-1.16835 # DEPENDENCYPART_GRANDPAR
(16,20),(20,3),-0.827643 # DEPENDENCYPART_GRANDPAR
(16,20),(20,4),-1.01756 # DEPENDENCYPART_GRANDPAR
(16,20),(20,5),-1.00238 # DEPENDENCYPART_GRANDPAR
(16,20),(20,6),-0.866499 # DEPENDENCYPART_GRANDPAR
(16,20),(20,7),-0.87776 # DEPENDENCYPART_GRANDPAR
(16,20),(20,8),-0.900353 # DEPENDENCYPART_GRANDPAR
(16,20),(20,9),-0.973045 # DEPENDENCYPART_GRANDPAR
(16,20),(20,11),-0.977364 # DEPENDENCYPART_GRANDPAR
(16,20),(20,12),-0.996208 # DEPENDENCYPART_GRANDPAR
(16,20),(20,13),-0.833895 # DEPENDENCYPART_GRANDPAR
(16,20),(20,14),-0.938772 # DEPENDENCYPART_GRANDPAR
(16,20),(20,15),-0.81202 # DEPENDENCYPART_GRANDPAR
(16,20),(20,16),-0.741736 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,20),(20,17),0.394518 # DEPENDENCYPART_GRANDPAR
(16,20),(20,18),0.177634 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),0.107043 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),0.0372946 # DEPENDENCYPART_GRANDPAR
(16,20),(20,22),0.214356 # DEPENDENCYPART_GRANDPAR
(16,20),(20,23),0.0849202 # DEPENDENCYPART_GRANDPAR
(17,13),(13,12),-0.415757 # DEPENDENCYPART_GRANDPAR
(17,13),(13,14),-0.1717 # DEPENDENCYPART_GRANDPAR
(17,13),(13,15),0.297196 # DEPENDENCYPART_GRANDPAR
(17,13),(13,16),-0.141792 # DEPENDENCYPART_GRANDPAR
(17,13),(13,17),-0.805016 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,13),(13,18),0.739382 # DEPENDENCYPART_GRANDPAR
(17,13),(13,20),0.43153 # DEPENDENCYPART_GRANDPAR
(17,13),(13,21),0.252361 # DEPENDENCYPART_GRANDPAR
(17,14),(14,12),-0.205096 # DEPENDENCYPART_GRANDPAR
(17,14),(14,13),0.291809 # DEPENDENCYPART_GRANDPAR
(17,14),(14,15),0.406396 # DEPENDENCYPART_GRANDPAR
(17,14),(14,16),-0.0831368 # DEPENDENCYPART_GRANDPAR
(17,14),(14,17),-0.823119 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,14),(14,18),0.761749 # DEPENDENCYPART_GRANDPAR
(17,14),(14,19),0.661363 # DEPENDENCYPART_GRANDPAR
(17,14),(14,20),0.520732 # DEPENDENCYPART_GRANDPAR
(17,14),(14,21),0.257467 # DEPENDENCYPART_GRANDPAR
(17,14),(14,22),0.183303 # DEPENDENCYPART_GRANDPAR
(17,15),(15,16),-0.247099 # DEPENDENCYPART_GRANDPAR
(17,15),(15,17),-0.823902 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,15),(15,18),0.757516 # DEPENDENCYPART_GRANDPAR
(17,15),(15,19),0.649726 # DEPENDENCYPART_GRANDPAR
(17,15),(15,20),0.506257 # DEPENDENCYPART_GRANDPAR
(17,15),(15,21),0.253242 # DEPENDENCYPART_GRANDPAR
(17,15),(15,22),0.162372 # DEPENDENCYPART_GRANDPAR
(17,16),(16,17),-0.82312 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,16),(16,18),0.761749 # DEPENDENCYPART_GRANDPAR
(17,16),(16,20),0.520728 # DEPENDENCYPART_GRANDPAR
(17,19),(19,21),0.657059 # DEPENDENCYPART_GRANDPAR
(17,19),(19,22),0.597027 # DEPENDENCYPART_GRANDPAR
(17,20),(20,1),-0.73808 # DEPENDENCYPART_GRANDPAR
(17,20),(20,2),-1.01185 # DEPENDENCYPART_GRANDPAR
(17,20),(20,3),-0.624765 # DEPENDENCYPART_GRANDPAR
(17,20),(20,4),-0.77831 # DEPENDENCYPART_GRANDPAR
(17,20),(20,5),-0.808522 # DEPENDENCYPART_GRANDPAR
(17,20),(20,6),-0.617076 # DEPENDENCYPART_GRANDPAR
(17,20),(20,7),-0.44153 # DEPENDENCYPART_GRANDPAR
(17,20),(20,8),-0.563455 # DEPENDENCYPART_GRANDPAR
(17,20),(20,9),-0.502904 # DEPENDENCYPART_GRANDPAR
(17,20),(20,11),-0.81937 # DEPENDENCYPART_GRANDPAR
(17,20),(20,12),-0.731048 # DEPENDENCYPART_GRANDPAR
(17,20),(20,13),-0.477476 # DEPENDENCYPART_GRANDPAR
(17,20),(20,14),-0.559306 # DEPENDENCYPART_GRANDPAR
(17,20),(20,15),-0.131924 # DEPENDENCYPART_GRANDPAR
(17,20),(20,16),-0.520526 # DEPENDENCYPART_GRANDPAR
(17,20),(20,17),-0.388998 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,20),(20,18),1.13195 # DEPENDENCYPART_GRANDPAR
(17,20),(20,19),1.21415 # DEPENDENCYPART_GRANDPAR
(17,20),(20,21),0.949567 # DEPENDENCYPART_GRANDPAR
(17,20),(20,22),0.890067 # DEPENDENCYPART_GRANDPAR
(17,20),(20,23),0.521603 # DEPENDENCYPART_GRANDPAR
(17,21),(21,19),1.09424 # DEPENDENCYPART_GRANDPAR
(17,21),(21,22),0.620297 # DEPENDENCYPART_GRANDPAR
(17,22),(22,2),-0.983025 # DEPENDENCYPART_GRANDPAR
(17,22),(22,5),-0.772151 # DEPENDENCYPART_GRANDPAR
(17,22),(22,12),-0.702218 # DEPENDENCYPART_GRANDPAR
(17,22),(22,13),-0.383757 # DEPENDENCYPART_GRANDPAR
(17,22),(22,14),-0.530144 # DEPENDENCYPART_GRANDPAR
(17,22),(22,16),-0.491361 # DEPENDENCYPART_GRANDPAR
(17,22),(22,17),-0.428955 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,22),(22,18),1.1727 # DEPENDENCYPART_GRANDPAR
(17,22),(22,19),1.09464 # DEPENDENCYPART_GRANDPAR
(17,22),(22,20),1.0287 # DEPENDENCYPART_GRANDPAR
(17,22),(22,21),0.735995 # DEPENDENCYPART_GRANDPAR
(19,21),(21,19),-0.756256 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,21),(21,22),0.0961354 # DEPENDENCYPART_GRANDPAR
(19,22),(22,2),-0.579888 # DEPENDENCYPART_GRANDPAR
(19,22),(22,5),-0.598582 # DEPENDENCYPART_GRANDPAR
(19,22),(22,12),-0.535244 # DEPENDENCYPART_GRANDPAR
(19,22),(22,13),-0.408444 # DEPENDENCYPART_GRANDPAR
(19,22),(22,14),-0.526392 # DEPENDENCYPART_GRANDPAR
(19,22),(22,16),-0.505226 # DEPENDENCYPART_GRANDPAR
(19,22),(22,17),-0.370013 # DEPENDENCYPART_GRANDPAR
(19,22),(22,18),-0.432231 # DEPENDENCYPART_GRANDPAR
(19,22),(22,19),-0.778826 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,22),(22,20),0.378125 # DEPENDENCYPART_GRANDPAR
(19,22),(22,21),0.174113 # DEPENDENCYPART_GRANDPAR
(20,1),(1,2),-0.31352 # DEPENDENCYPART_GRANDPAR
(20,1),(1,3),0.264078 # DEPENDENCYPART_GRANDPAR
(20,1),(1,4),-0.0517111 # DEPENDENCYPART_GRANDPAR
(20,1),(1,5),-0.0612926 # DEPENDENCYPART_GRANDPAR
(20,1),(1,6),0.277077 # DEPENDENCYPART_GRANDPAR
(20,1),(1,7),0.253638 # DEPENDENCYPART_GRANDPAR
(20,1),(1,9),0.0552927 # DEPENDENCYPART_GRANDPAR
(20,2),(2,1),0.175975 # DEPENDENCYPART_GRANDPAR
(20,2),(2,3),0.383013 # DEPENDENCYPART_GRANDPAR
(20,2),(2,4),0.0844509 # DEPENDENCYPART_GRANDPAR
(20,2),(2,5),0.0748694 # DEPENDENCYPART_GRANDPAR
(20,2),(2,6),0.396011 # DEPENDENCYPART_GRANDPAR
(20,2),(2,7),0.310152 # DEPENDENCYPART_GRANDPAR
(20,2),(2,8),-0.148665 # DEPENDENCYPART_GRANDPAR
(20,2),(2,9),0.125831 # DEPENDENCYPART_GRANDPAR
(20,2),(2,11),-0.0308165 # DEPENDENCYPART_GRANDPAR
(20,2),(2,12),-0.146943 # DEPENDENCYPART_GRANDPAR
(20,2),(2,13),0.125174 # DEPENDENCYPART_GRANDPAR
(20,2),(2,14),0.187076 # DEPENDENCYPART_GRANDPAR
(20,2),(2,15),0.117415 # DEPENDENCYPART_GRANDPAR
(20,2),(2,16),0.128272 # DEPENDENCYPART_GRANDPAR
(20,2),(2,23),0.367076 # DEPENDENCYPART_GRANDPAR
(20,3),(3,2),-0.27842 # DEPENDENCYPART_GRANDPAR
(20,4),(4,1),0.0555771 # DEPENDENCYPART_GRANDPAR
(20,4),(4,2),-0.26189 # DEPENDENCYPART_GRANDPAR
(20,4),(4,3),0.383406 # DEPENDENCYPART_GRANDPAR
(20,4),(4,5),0.0965166 # DEPENDENCYPART_GRANDPAR
(20,4),(4,6),0.373053 # DEPENDENCYPART_GRANDPAR
(20,4),(4,7),0.327517 # DEPENDENCYPART_GRANDPAR
(20,4),(4,8),-0.0371828 # DEPENDENCYPART_GRANDPAR
(20,4),(4,9),0.190064 # DEPENDENCYPART_GRANDPAR
(20,4),(4,12),-0.0749807 # DEPENDENCYPART_GRANDPAR
(20,5),(5,1),0.0555771 # DEPENDENCYPART_GRANDPAR
(20,5),(5,2),-0.26189 # DEPENDENCYPART_GRANDPAR
(20,5),(5,3),0.383406 # DEPENDENCYPART_GRANDPAR
(20,5),(5,4),0.0830392 # DEPENDENCYPART_GRANDPAR
(20,5),(5,6),0.373053 # DEPENDENCYPART_GRANDPAR
(20,5),(5,7),0.327517 # DEPENDENCYPART_GRANDPAR
(20,5),(5,8),-0.0371828 # DEPENDENCYPART_GRANDPAR
(20,5),(5,9),0.190064 # DEPENDENCYPART_GRANDPAR
(20,5),(5,12),-0.0749807 # DEPENDENCYPART_GRANDPAR
(20,5),(5,14),0.294597 # DEPENDENCYPART_GRANDPAR
(20,5),(5,15),0.182242 # DEPENDENCYPART_GRANDPAR
(20,6),(6,5),0.0660904 # DEPENDENCYPART_GRANDPAR
(20,7),(7,1),-0.00523532 # DEPENDENCYPART_GRANDPAR
(20,7),(7,2),-0.333657 # DEPENDENCYPART_GRANDPAR
(20,7),(7,3),0.396032 # DEPENDENCYPART_GRANDPAR
(20,7),(7,4),0.000350257 # DEPENDENCYPART_GRANDPAR
(20,7),(7,5),-0.00923123 # DEPENDENCYPART_GRANDPAR
(20,7),(7,6),0.409031 # DEPENDENCYPART_GRANDPAR
(20,7),(7,8),-0.0835825 # DEPENDENCYPART_GRANDPAR
(20,7),(7,9),0.119278 # DEPENDENCYPART_GRANDPAR
(20,7),(7,11),-0.105701 # DEPENDENCYPART_GRANDPAR
(20,7),(7,12),-0.224576 # DEPENDENCYPART_GRANDPAR
(20,7),(7,13),0.239466 # DEPENDENCYPART_GRANDPAR
(20,7),(7,14),0.0929871 # DEPENDENCYPART_GRANDPAR
(20,7),(7,15),-0.00906986 # DEPENDENCYPART_GRANDPAR
(20,7),(7,16),0.0532993 # DEPENDENCYPART_GRANDPAR
(20,7),(7,17),0.153948 # DEPENDENCYPART_GRANDPAR
(20,7),(7,18),0.213961 # DEPENDENCYPART_GRANDPAR
(20,7),(7,20),-0.889842 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,7),(7,21),0.547745 # DEPENDENCYPART_GRANDPAR
(20,7),(7,22),0.18331 # DEPENDENCYPART_GRANDPAR
(20,7),(7,23),0.505485 # DEPENDENCYPART_GRANDPAR
(20,8),(8,5),0.00245435 # DEPENDENCYPART_GRANDPAR
(20,8),(8,7),0.419175 # DEPENDENCYPART_GRANDPAR
(20,8),(8,9),0.0199843 # DEPENDENCYPART_GRANDPAR
(20,9),(9,1),0.0829962 # DEPENDENCYPART_GRANDPAR
(20,9),(9,2),-0.271153 # DEPENDENCYPART_GRANDPAR
(20,9),(9,3),0.337004 # DEPENDENCYPART_GRANDPAR
(20,9),(9,4),0.0658715 # DEPENDENCYPART_GRANDPAR
(20,9),(9,5),0.0562901 # DEPENDENCYPART_GRANDPAR
(20,9),(9,6),0.350002 # DEPENDENCYPART_GRANDPAR
(20,9),(9,7),0.388181 # DEPENDENCYPART_GRANDPAR
(20,9),(9,8),0.0348339 # DEPENDENCYPART_GRANDPAR
(20,9),(9,10),-0.372713 # DEPENDENCYPART_GRANDPAR
(20,9),(9,11),-0.124612 # DEPENDENCYPART_GRANDPAR
(20,9),(9,12),-0.237749 # DEPENDENCYPART_GRANDPAR
(20,9),(9,13),0.259885 # DEPENDENCYPART_GRANDPAR
(20,9),(9,14),0.0990503 # DEPENDENCYPART_GRANDPAR
(20,9),(9,15),0.0555034 # DEPENDENCYPART_GRANDPAR
(20,9),(9,16),0.0545205 # DEPENDENCYPART_GRANDPAR
(20,9),(9,17),0.222815 # DEPENDENCYPART_GRANDPAR
(20,9),(9,18),0.0660427 # DEPENDENCYPART_GRANDPAR
(20,9),(9,19),0.223491 # DEPENDENCYPART_GRANDPAR
(20,9),(9,20),-0.831781 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,9),(9,21),0.619015 # DEPENDENCYPART_GRANDPAR
(20,9),(9,22),0.236462 # DEPENDENCYPART_GRANDPAR
(20,9),(9,23),0.623649 # DEPENDENCYPART_GRANDPAR
(20,11),(11,10),-0.284511 # DEPENDENCYPART_GRANDPAR
(20,11),(11,12),-0.158278 # DEPENDENCYPART_GRANDPAR
(20,11),(11,13),0.121998 # DEPENDENCYPART_GRANDPAR
(20,11),(11,14),0.181207 # DEPENDENCYPART_GRANDPAR
(20,11),(11,15),0.107512 # DEPENDENCYPART_GRANDPAR
(20,11),(11,17),0.129868 # DEPENDENCYPART_GRANDPAR
(20,11),(11,20),-0.979327 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,12),(12,1),0.168712 # DEPENDENCYPART_GRANDPAR
(20,12),(12,2),-0.252029 # DEPENDENCYPART_GRANDPAR
(20,12),(12,3),0.330286 # DEPENDENCYPART_GRANDPAR
(20,12),(12,4),0.0831211 # DEPENDENCYPART_GRANDPAR
(20,12),(12,5),0.0735396 # DEPENDENCYPART_GRANDPAR
(20,12),(12,6),0.343285 # DEPENDENCYPART_GRANDPAR
(20,12),(12,7),0.366239 # DEPENDENCYPART_GRANDPAR
(20,12),(12,8),-0.0251234 # DEPENDENCYPART_GRANDPAR
(20,12),(12,9),0.114654 # DEPENDENCYPART_GRANDPAR
(20,12),(12,10),-0.292127 # DEPENDENCYPART_GRANDPAR
(20,12),(12,11),-0.00221579 # DEPENDENCYPART_GRANDPAR
(20,12),(12,13),0.121756 # DEPENDENCYPART_GRANDPAR
(20,12),(12,14),0.184491 # DEPENDENCYPART_GRANDPAR
(20,12),(12,15),0.114636 # DEPENDENCYPART_GRANDPAR
(20,12),(12,16),0.125688 # DEPENDENCYPART_GRANDPAR
(20,12),(12,17),0.129624 # DEPENDENCYPART_GRANDPAR
(20,12),(12,18),0.198978 # DEPENDENCYPART_GRANDPAR
(20,12),(12,20),-0.981866 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,12),(12,21),0.494417 # DEPENDENCYPART_GRANDPAR
(20,12),(12,22),0.102782 # DEPENDENCYPART_GRANDPAR
(20,13),(13,12),-0.245976 # DEPENDENCYPART_GRANDPAR
(20,13),(13,14),0.0756182 # DEPENDENCYPART_GRANDPAR
(20,13),(13,15),0.149213 # DEPENDENCYPART_GRANDPAR
(20,13),(13,16),0.0311895 # DEPENDENCYPART_GRANDPAR
(20,13),(13,17),0.285256 # DEPENDENCYPART_GRANDPAR
(20,13),(13,18),0.14252 # DEPENDENCYPART_GRANDPAR
(20,13),(13,20),-1.07831 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,13),(13,21),0.46433 # DEPENDENCYPART_GRANDPAR
(20,14),(14,12),-0.325351 # DEPENDENCYPART_GRANDPAR
(20,14),(14,13),0.266793 # DEPENDENCYPART_GRANDPAR
(20,14),(14,15),0.217222 # DEPENDENCYPART_GRANDPAR
(20,14),(14,16),0.0565677 # DEPENDENCYPART_GRANDPAR
(20,14),(14,17),0.233147 # DEPENDENCYPART_GRANDPAR
(20,14),(14,18),0.167634 # DEPENDENCYPART_GRANDPAR
(20,14),(14,19),0.125664 # DEPENDENCYPART_GRANDPAR
(20,14),(14,20),-0.896437 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,14),(14,21),0.540018 # DEPENDENCYPART_GRANDPAR
(20,14),(14,22),0.173087 # DEPENDENCYPART_GRANDPAR
(20,15),(15,16),-0.233245 # DEPENDENCYPART_GRANDPAR
(20,15),(15,17),-0.0697937 # DEPENDENCYPART_GRANDPAR
(20,15),(15,18),-0.0559557 # DEPENDENCYPART_GRANDPAR
(20,15),(15,19),-0.0691959 # DEPENDENCYPART_GRANDPAR
(20,15),(15,20),-0.9547 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,15),(15,21),0.492043 # DEPENDENCYPART_GRANDPAR
(20,15),(15,22),0.111816 # DEPENDENCYPART_GRANDPAR
(20,16),(16,17),0.236748 # DEPENDENCYPART_GRANDPAR
(20,16),(16,18),0.171955 # DEPENDENCYPART_GRANDPAR
(20,16),(16,20),-0.89644 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,17),(17,13),0.331147 # DEPENDENCYPART_GRANDPAR
(20,17),(17,14),0.256716 # DEPENDENCYPART_GRANDPAR
(20,17),(17,15),0.236243 # DEPENDENCYPART_GRANDPAR
(20,17),(17,16),0.225014 # DEPENDENCYPART_GRANDPAR
(20,17),(17,18),0.146446 # DEPENDENCYPART_GRANDPAR
(20,17),(17,19),0.0885373 # DEPENDENCYPART_GRANDPAR
(20,17),(17,20),-1.08791 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,17),(17,21),0.455663 # DEPENDENCYPART_GRANDPAR
(20,17),(17,22),0.0709063 # DEPENDENCYPART_GRANDPAR
(20,19),(19,21),0.618761 # DEPENDENCYPART_GRANDPAR
(20,19),(19,22),0.244531 # DEPENDENCYPART_GRANDPAR
