# _root_ Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .
#goldHeads=2,3,0,3,4,2,6,7,8,9,12,10,3,3,31,15,20,19,15,19,20,19,19,25,23,25,29,29,26,15,14,34,34,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,8,9,12,10,3,3,14,15,19,19,15,19,20,21,21,25,23,25,29,29,26,21,21,34,34,31,3,
(1,6),(1,8),-0.888968 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,36),-1.03564 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,8),(1,36),-0.650221 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.805058 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.255366 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,4),-0.480554 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,5),-0.546055 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,6),-0.446435 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,8),-0.518327 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,9),-0.522771 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,36),-0.783918 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,4),-0.987512 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,5),-1.05018 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,6),-0.664673 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,8),-0.848705 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,9),-0.934413 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,36),-0.954467 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,4),(2,5),-1.19694 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,6),-0.838359 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,8),-0.949993 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,9),-1.0443 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,36),-0.670294 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,5),(2,6),-0.677186 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,8),-0.836424 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,9),-0.935931 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,36),-0.76192 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,6),(2,8),-0.910412 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,9),-0.964718 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,36),-1.07621 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,8),(2,9),-0.754765 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,36),-0.658672 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,9),(2,36),-0.753394 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.56825 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.810462 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.686599 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.183104 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.290867 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.73307 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.320593 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),-0.591472 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,9),-0.67747 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,13),-1.45598 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,14),-0.879174 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,16),-1.29281 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,19),-0.580265 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,20),-0.493305 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,22),-1.32723 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,35),-1.2267 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,36),-1.10272 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-1.02247 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-0.754387 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,7),-0.940171 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-0.855123 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,9),-1.00459 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,13),-0.127763 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,14),-0.335597 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,16),-0.0159328 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,19),-0.894892 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,20),-0.92121 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,22),-0.586909 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,35),-0.209606 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,36),-0.349876 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.620506 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,7),-0.857835 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-0.761677 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,9),-0.917198 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,13),-0.1837 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,14),-0.38845 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,16),-0.134931 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,19),-0.831761 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,20),-0.794394 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,22),-0.479479 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,35),0.0108121 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,36),-0.449539 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,7),-0.779218 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,8),-0.962048 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,9),-1.09005 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,13),-0.697351 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,14),-0.703031 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,16),-0.886703 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,19),-0.79343 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,20),-1.08781 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,22),-0.941096 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,35),-1.07142 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,36),-1.12579 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,8),-0.946213 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,9),-1.11626 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,13),-0.929262 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,14),-1.09178 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,16),-0.82823 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,19),-1.16122 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,20),-1.23962 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,22),-0.917073 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,35),-1.149 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,36),-0.983635 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,9),-0.807176 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,13),-0.556562 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,14),-0.56956 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,16),-0.353921 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,19),-0.860991 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,20),-0.953891 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,22),-0.604625 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,35),0.0219845 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,36),-0.686323 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,9),(3,13),-0.520147 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,14),-0.602019 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,16),-0.689421 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,19),-0.923682 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,20),-0.996405 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,22),-0.593213 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,35),-0.551054 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,36),-0.799047 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,13),(3,14),0.308905 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,16),-0.846187 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,19),-0.419578 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,20),-0.389355 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,22),-1.01865 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,35),-1.06336 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,36),-1.03199 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,14),(3,16),-0.686399 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,19),-0.668945 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,20),-0.801593 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,22),-0.459093 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,35),-0.156746 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,36),-0.761427 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,16),(3,19),-0.40428 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,20),-0.420555 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,22),-1.11543 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,35),-1.06218 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,36),-1.11224 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,19),(3,20),-0.918815 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,22),-0.59183 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,35),-0.388166 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,36),-0.660798 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,20),(3,22),-0.663268 # DEPENDENCYPART_NEXTSIBL
(3,20),(3,35),-0.492847 # DEPENDENCYPART_NEXTSIBL
(3,20),(3,36),-0.865872 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,22),(3,35),-1.07695 # DEPENDENCYPART_NEXTSIBL
(3,22),(3,36),-1.30579 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,35),(3,36),-2.00319 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.339131 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.365932 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-1.24507 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.457831 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.592087 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.657606 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.41468 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,6),-0.56089 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.50118 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,8),-0.475082 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.651241 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,12),-1.011 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,13),-1.4179 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,14),-0.787237 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,36),-1.03794 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,6),-0.58733 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,7),-0.932743 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,8),-0.774235 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,9),-0.938443 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,12),-0.88377 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,13),-0.228494 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,14),-0.500978 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,36),-0.565163 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,6),(4,7),-0.723197 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,8),-0.845611 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,9),-0.996916 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,12),-0.820661 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,13),-0.611996 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,14),-0.619832 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,36),-0.935662 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,8),-0.935532 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,9),-1.0993 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,12),-1.28513 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,13),-0.938918 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,14),-1.14906 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,36),-1.11154 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,8),(4,9),-0.737086 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,12),-0.970513 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,13),-0.498358 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,14),-0.570651 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,36),-0.459946 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,12),-0.95133 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,13),-0.456607 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,14),-0.550144 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,36),-0.810362 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,12),(4,13),-0.821575 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,14),-0.935324 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,36),-0.962061 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,13),(4,14),0.167377 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,36),-0.999998 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,14),(4,36),-0.763015 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.661322 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-0.617261 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,1),-0.626094 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.839869 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),-0.533209 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,1),-0.818002 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),-1.08171 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,1),-0.420933 # DEPENDENCYPART_NEXTSIBL
(4,2),(4,-1),-0.747535 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,1),(4,-1),-0.796831 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.64218 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.504507 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-0.565289 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,9),-0.587482 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,10),-0.855436 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,12),-1.01433 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,13),-1.43054 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,14),-0.764145 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,16),-1.18497 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,22),-1.30179 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,23),-1.50718 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,35),-1.27153 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,36),-0.795205 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.772875 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.926587 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-0.986331 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,10),-0.88162 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,12),-0.87034 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,13),-0.636262 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,14),-0.635423 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,16),-0.843859 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,22),-0.880006 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,23),-1.22665 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,35),-1.02999 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,36),-0.992849 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-0.957451 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,9),-1.05125 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,10),-1.04649 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,12),-1.28381 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,13),-0.918292 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,14),-1.12899 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,16),-0.831189 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,22),-0.906103 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,23),-1.20601 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,35),-1.16926 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,36),-1.13216 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,9),-0.719948 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,10),-0.890277 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,12),-0.994319 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,13),-0.498698 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,14),-0.574437 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,16),-0.303257 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,22),-0.546761 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,23),-0.72736 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,35),-0.0199613 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,36),-0.599042 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,10),-0.931948 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,12),-0.908162 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,13),-0.397166 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,14),-0.488959 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,16),-0.611905 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,22),-0.470232 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,23),-0.823798 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,35),-0.360467 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,36),-0.728468 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,10),(5,12),-0.936423 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,13),-0.583851 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,14),-0.775772 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,16),-0.540642 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,22),-0.606291 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,23),-0.83015 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,35),-1.1192 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,36),-0.918447 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,12),(5,13),-0.800949 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,14),-0.915247 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,16),-0.711138 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,22),-0.677569 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,23),-0.950632 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,35),-0.365408 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,36),-0.98268 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,13),(5,14),0.218295 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,16),-0.761251 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,22),-0.83439 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,23),-0.735608 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,35),-1.03211 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,36),-0.99969 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,14),(5,16),-0.663343 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,22),-0.40891 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,23),-0.621156 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,35),-0.0901579 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,36),-0.718056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,16),(5,22),-1.02581 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,23),-0.627585 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,35),-1.06642 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,36),-1.1892 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,22),(5,23),-0.289868 # DEPENDENCYPART_NEXTSIBL
(5,22),(5,35),-1.0457 # DEPENDENCYPART_NEXTSIBL
(5,22),(5,36),-1.27349 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,23),(5,35),-0.119445 # DEPENDENCYPART_NEXTSIBL
(5,23),(5,36),-0.737079 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,35),(5,36),-2.01272 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.729346 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.719001 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-0.635911 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,1),-0.644744 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.963863 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.688484 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-1.05792 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,1),-1.16764 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-1.02427 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),-0.57815 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,1),-0.862944 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-1.12003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,1),-0.437293 # DEPENDENCYPART_NEXTSIBL
(5,2),(5,-1),-0.752353 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,1),(5,-1),-0.801649 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.398699 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.357373 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.141326 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-0.730116 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,12),-0.88821 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,14),-1.04799 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,19),-0.570017 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,35),-1.23295 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,36),-1.44895 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.963145 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-1.11872 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-1.04389 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,12),-1.26903 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,14),-1.13476 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,19),-1.22979 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,35),-1.22 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,36),-0.797056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.70174 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,10),-0.889545 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,12),-0.984122 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,14),-0.561952 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,19),-0.874891 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,35),-0.0355132 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,36),-0.676186 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,10),-0.906115 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,12),-0.845203 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,14),-0.498638 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,19),-0.886105 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,35),-0.43315 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,36),-0.627548 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,12),-0.910009 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,14),-0.820195 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,19),-1.13117 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,35),-1.12655 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,36),-0.952007 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,12),(6,14),-0.912939 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,19),-0.903568 # DEPENDENCYPART_NEXTSIBL
