# _root_ United Biscuits ( Holdings ) PLC , a British food producer , announced the creation of a European group to bring together its trading interests in the region .
#goldHeads=6,6,6,6,6,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
#predictedHeads=6,6,4,6,4,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
(1,4),(4,11),(4,15),-0.0445218 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,30),-0.113806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,12),(4,15),-0.152927 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,30),-0.0851796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,15),(4,30),-0.112656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,3),0.136225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,2),0.210532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,1),0.211133 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,-1),0.137318 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,3),(4,2),0.0996415 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,3),(4,1),0.0996415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,3),(4,-1),0.0018368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,1),0.0881377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,-1),-0.00315578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,1),(4,-1),-0.00255114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,6),-0.0522164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,7),-0.0477699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,11),-0.0442034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,12),-0.0477699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,15),-0.0442034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,30),0.0545448 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,6),(5,7),-0.042032 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,12),-0.042032 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,30),-0.0523426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,7),(5,11),-0.0442111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,15),-0.0442111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,30),-0.0422188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,11),(5,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,15),-0.0422314 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,30),-0.0471135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,12),(5,15),-0.0442111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,12),(5,30),-0.0422188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,15),(5,30),-0.0471135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,5),(5,4),0.0871358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,3),0.102967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,2),0.0871358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,-1),0.0231342 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,4),(5,3),0.0959483 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,4),(5,2),0.102653 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,4),(5,-1),-0.0716744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,3),(5,2),0.10307 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,3),(5,-1),-0.0800716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,2),(5,-1),-0.0716744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,6),(6,7),0.0801805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,8),-0.0236817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,9),-0.0731142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,10),-0.0233523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,11),-0.023345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,12),0.0801805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,13),-0.0356296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,15),-0.023345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,16),-0.0290963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,19),-0.0191368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,29),0.0343068 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,30),0.123386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,7),(6,8),-0.0478588 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,9),-0.0364996 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,10),-0.15326 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,11),-0.154536 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,12),-0.0473772 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,13),-0.0422115 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,15),-0.152936 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,16),-0.0631635 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,19),-0.155717 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,29),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,7),(6,30),-0.0851794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,8),(6,9),-0.0420155 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,10),-0.042711 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,11),-0.042711 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,12),-0.0421469 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,15),-0.042711 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,16),-0.0426181 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,19),-0.042711 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,8),(6,30),-0.0253502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,9),(6,10),-0.042107 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,11),-0.042107 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,12),-0.0448095 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,15),-0.042107 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,16),-0.0420172 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,19),-0.042107 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,30),-0.052177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,10),(6,11),-0.0445218 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,12),-0.0759621 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,13),-0.0420575 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,15),-0.0445218 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,16),-0.0439536 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,19),-0.0445218 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,29),-0.0432507 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,30),-0.112997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,11),(6,12),-0.0764081 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,13),-0.0420575 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,15),-0.0445218 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,16),-0.0439536 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,19),-0.0445218 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,29),-0.0432507 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,30),-0.113823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,12),(6,13),-0.0422115 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,15),-0.152936 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,16),-0.0631635 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,19),-0.155717 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,29),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,30),-0.0851794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,13),(6,15),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,16),-0.0427142 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,19),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,29),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,13),(6,30),-0.0425712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,15),(6,16),-0.0439536 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,19),-0.0445218 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,29),-0.0432507 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,30),-0.112673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,16),(6,19),-0.044116 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,29),-0.0438525 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,30),-0.128934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,19),(6,29),-0.0432507 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,19),(6,30),-0.111123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,29),(6,30),0.0751865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,6),(6,5),0.0830051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,4),0.209689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,3),0.136226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,2),0.21296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,1),0.213561 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,6),(6,-1),0.134136 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,5),(6,4),0.0910749 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,3),0.102977 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,2),0.0910749 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,1),0.0910749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,5),(6,-1),-0.033725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,4),(6,3),0.127409 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,4),(6,2),0.0894929 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,4),(6,1),0.0904209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,4),(6,-1),-0.00567484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,3),(6,2),0.0996415 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,3),(6,1),0.0996415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,3),(6,-1),0.00184138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,2),(6,1),0.0904732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,2),(6,-1),-0.00348568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,1),(6,-1),-0.00288104 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,7),(7,30),0.0871248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,7),(7,6),0.100676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,-1),0.0209064 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,6),(7,-1),-0.0665393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,11),(11,12),-0.0776836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,13),0.0411863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,15),-0.0610172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,16),0.0404269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,19),-0.0613342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,20),-0.0309564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,29),-0.0321513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,30),-0.0291254 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,11),(11,12),(11,13),-0.0628347 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,15),0.0056447 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,16),-0.0282294 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,19),0.00477214 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,20),-0.0636896 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,29),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,30),-0.0482468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,13),(11,15),-0.0423277 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,16),-0.042045 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,19),-0.0423277 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,29),-0.0420873 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,30),0.057625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,15),(11,16),-0.0377511 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,15),(11,19),-0.0461849 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,15),(11,20),-0.0432516 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,15),(11,29),-0.0420588 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,15),(11,30),-0.0809609 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,16),(11,19),-0.060962 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,16),(11,20),-0.0528719 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,16),(11,29),-0.042221 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,16),(11,30),0.0378707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,19),(11,20),-0.0432516 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,19),(11,29),-0.0420588 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,19),(11,30),-0.081876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,20),(11,29),-0.0420332 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,20),(11,30),-0.0794646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,29),(11,30),-0.0432042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,11),(11,10),0.131783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,9),0.130307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,8),0.106356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,7),0.090953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,6),0.135184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,5),0.114015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,4),0.135178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,3),0.125315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,2),0.135184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,1),0.135184 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,11),(11,11),(11,-1),0.00634154 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,11),(11,10),(11,9),0.110435 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,8),0.0912686 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,7),0.0895063 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,6),0.120112 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,5),0.0988794 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,4),0.120112 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,3),0.0965354 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,2),0.120112 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,1),0.121539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,10),(11,-1),-0.0208865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,9),(11,8),0.128567 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,9),(11,7),0.081161 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,9),(11,6),0.115714 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,9),(11,5),0.102693 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,9),(11,4),0.115708 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,9),(11,3),0.103746 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,9),(11,2),0.115714 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,9),(11,1),0.115714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,9),(11,-1),-0.0518613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,8),(11,7),0.127167 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,6),0.0995556 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,5),0.102034 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,4),0.0995577 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,3),0.0911458 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,2),0.0995577 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,1),0.0995577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,8),(11,-1),0.00397271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,7),(11,6),0.0703433 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,5),0.100754 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,4),0.0702926 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,3),0.102596 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,2),0.0703433 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,1),0.0703433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,7),(11,-1),-0.0492925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,6),(11,5),0.0996395 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,4),0.120487 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,3),0.098887 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,2),0.120516 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,1),0.120492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,6),(11,-1),-0.0462226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,5),(11,4),0.0991126 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,5),(11,3),0.103062 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,5),(11,2),0.0991126 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,5),(11,1),0.0991126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,5),(11,-1),-0.0564554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,4),(11,3),0.098887 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,4),(11,2),0.12051 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,4),(11,1),0.120486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,4),(11,-1),-0.0462515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,3),(11,2),0.101509 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,3),(11,1),0.101509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,3),(11,-1),-0.0805792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,2),(11,1),0.120492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,2),(11,-1),-0.0462169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,1),(11,-1),-0.0448103 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,12),(12,12),(12,30),0.0871248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,12),(12,12),(12,-1),0.0209064 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.0791486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.0641505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,4),-0.0791486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,5),-0.0650424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,6),-0.0791486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,7),-0.0651782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,11),-0.0654717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,12),-0.0651782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,30),0.161101 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.0641928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.0642456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,5),-0.0641479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,6),-0.0642456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,7),-0.0645176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,11),-0.0643654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,12),-0.0645176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,30),-0.00532318 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,30),0.00184138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,4),(1,5),-0.0641479 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,6),-0.0642456 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,7),-0.0645176 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,11),-0.0643654 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,12),-0.0645176 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,30),-0.00751234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,5),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,30),-0.033725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,6),(1,7),-0.0645176 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,11),-0.0643654 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,12),-0.0645176 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,30),-0.00571231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,7),(1,11),-0.0673916 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,12),-0.0641818 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,30),-0.0132543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,11),(1,12),-0.0647451 # DEPENDENCYPART_GRANDSIBL
