# _root_ On the screens , only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .
#goldHeads=10,3,1,10,9,9,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
#predictedHeads=10,3,1,10,9,5,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
(15,9),(9,5),0.669199 # DEPENDENCYPART_GRANDPAR
(15,9),(9,6),0.480514 # DEPENDENCYPART_GRANDPAR
(15,9),(9,7),0.484804 # DEPENDENCYPART_GRANDPAR
(15,9),(9,8),0.461933 # DEPENDENCYPART_GRANDPAR
(15,9),(9,10),0.570875 # DEPENDENCYPART_GRANDPAR
(15,9),(9,11),0.314488 # DEPENDENCYPART_GRANDPAR
(15,9),(9,12),0.529794 # DEPENDENCYPART_GRANDPAR
(15,9),(9,14),0.350512 # DEPENDENCYPART_GRANDPAR
(15,9),(9,15),-1.09841 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,9),(9,16),0.139473 # DEPENDENCYPART_GRANDPAR
(15,9),(9,19),-0.0317577 # DEPENDENCYPART_GRANDPAR
(15,10),(10,1),0.274731 # DEPENDENCYPART_GRANDPAR
(15,10),(10,3),0.538062 # DEPENDENCYPART_GRANDPAR
(15,10),(10,4),0.703039 # DEPENDENCYPART_GRANDPAR
(15,10),(10,5),0.676385 # DEPENDENCYPART_GRANDPAR
(15,10),(10,6),0.445426 # DEPENDENCYPART_GRANDPAR
(15,10),(10,7),0.527695 # DEPENDENCYPART_GRANDPAR
(15,10),(10,8),0.50504 # DEPENDENCYPART_GRANDPAR
(15,10),(10,9),0.532716 # DEPENDENCYPART_GRANDPAR
(15,10),(10,11),0.00683638 # DEPENDENCYPART_GRANDPAR
(15,10),(10,12),0.32818 # DEPENDENCYPART_GRANDPAR
(15,10),(10,14),0.181252 # DEPENDENCYPART_GRANDPAR
(15,10),(10,15),-1.00941 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,10),(10,16),0.215167 # DEPENDENCYPART_GRANDPAR
(15,10),(10,19),0.0241358 # DEPENDENCYPART_GRANDPAR
(15,10),(10,20),0.252437 # DEPENDENCYPART_GRANDPAR
(15,10),(10,21),0.0643559 # DEPENDENCYPART_GRANDPAR
(15,10),(10,22),-0.077069 # DEPENDENCYPART_GRANDPAR
(15,10),(10,23),-0.0471249 # DEPENDENCYPART_GRANDPAR
(15,10),(10,25),0.309701 # DEPENDENCYPART_GRANDPAR
(15,12),(12,13),0.701044 # DEPENDENCYPART_GRANDPAR
(15,12),(12,14),0.00915357 # DEPENDENCYPART_GRANDPAR
(15,12),(12,15),-1.0485 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,12),(12,16),0.164923 # DEPENDENCYPART_GRANDPAR
(15,12),(12,19),-0.00492553 # DEPENDENCYPART_GRANDPAR
(15,12),(12,20),0.170981 # DEPENDENCYPART_GRANDPAR
(15,12),(12,21),0.0346385 # DEPENDENCYPART_GRANDPAR
(15,12),(12,22),-0.154817 # DEPENDENCYPART_GRANDPAR
(15,14),(14,5),0.641144 # DEPENDENCYPART_GRANDPAR
(15,14),(14,7),0.463067 # DEPENDENCYPART_GRANDPAR
(15,14),(14,9),0.455593 # DEPENDENCYPART_GRANDPAR
(15,14),(14,10),0.649648 # DEPENDENCYPART_GRANDPAR
(15,14),(14,11),0.386891 # DEPENDENCYPART_GRANDPAR
(15,14),(14,12),0.576848 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),1.20184 # DEPENDENCYPART_GRANDPAR
(15,14),(14,15),-1.08965 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,14),(14,16),0.146568 # DEPENDENCYPART_GRANDPAR
(15,14),(14,19),-0.00619434 # DEPENDENCYPART_GRANDPAR
(15,14),(14,20),0.118346 # DEPENDENCYPART_GRANDPAR
(15,14),(14,21),-0.000466231 # DEPENDENCYPART_GRANDPAR
(15,16),(16,1),0.0795636 # DEPENDENCYPART_GRANDPAR
(15,16),(16,9),-0.0860629 # DEPENDENCYPART_GRANDPAR
(15,16),(16,10),0.128917 # DEPENDENCYPART_GRANDPAR
(15,16),(16,14),0.0186242 # DEPENDENCYPART_GRANDPAR
(15,16),(16,17),0.518407 # DEPENDENCYPART_GRANDPAR
(15,16),(16,18),0.65125 # DEPENDENCYPART_GRANDPAR
(15,16),(16,19),0.775575 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),0.625812 # DEPENDENCYPART_GRANDPAR
(15,16),(16,21),0.80636 # DEPENDENCYPART_GRANDPAR
(15,16),(16,22),0.571672 # DEPENDENCYPART_GRANDPAR
(15,16),(16,23),0.536675 # DEPENDENCYPART_GRANDPAR
(15,16),(16,24),0.356725 # DEPENDENCYPART_GRANDPAR
(15,16),(16,25),0.521877 # DEPENDENCYPART_GRANDPAR
(15,17),(17,16),0.513654 # DEPENDENCYPART_GRANDPAR
(15,17),(17,18),0.45546 # DEPENDENCYPART_GRANDPAR
(15,17),(17,20),0.589634 # DEPENDENCYPART_GRANDPAR
(15,17),(17,21),0.790118 # DEPENDENCYPART_GRANDPAR
(15,18),(18,16),0.514002 # DEPENDENCYPART_GRANDPAR
(15,18),(18,17),0.235244 # DEPENDENCYPART_GRANDPAR
(15,18),(18,20),0.417224 # DEPENDENCYPART_GRANDPAR
(15,18),(18,21),0.622701 # DEPENDENCYPART_GRANDPAR
(15,18),(18,22),0.244346 # DEPENDENCYPART_GRANDPAR
(15,18),(18,23),0.301758 # DEPENDENCYPART_GRANDPAR
(15,19),(19,5),0.160645 # DEPENDENCYPART_GRANDPAR
(15,19),(19,6),-0.195834 # DEPENDENCYPART_GRANDPAR
(15,19),(19,7),-0.138265 # DEPENDENCYPART_GRANDPAR
(15,19),(19,9),-0.201794 # DEPENDENCYPART_GRANDPAR
(15,19),(19,13),0.379513 # DEPENDENCYPART_GRANDPAR
(15,19),(19,14),-0.104945 # DEPENDENCYPART_GRANDPAR
(15,19),(19,16),0.611465 # DEPENDENCYPART_GRANDPAR
(15,19),(19,17),0.31568 # DEPENDENCYPART_GRANDPAR
(15,19),(19,18),0.458096 # DEPENDENCYPART_GRANDPAR
(15,19),(19,20),0.553551 # DEPENDENCYPART_GRANDPAR
(15,19),(19,21),0.63077 # DEPENDENCYPART_GRANDPAR
(15,19),(19,22),0.289966 # DEPENDENCYPART_GRANDPAR
(15,19),(19,23),0.398632 # DEPENDENCYPART_GRANDPAR
(15,19),(19,24),0.219928 # DEPENDENCYPART_GRANDPAR
(15,19),(19,25),0.36662 # DEPENDENCYPART_GRANDPAR
(15,20),(20,17),0.0439629 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),0.130392 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),1.28489 # DEPENDENCYPART_GRANDPAR
(15,20),(20,22),0.429496 # DEPENDENCYPART_GRANDPAR
(15,20),(20,23),0.41444 # DEPENDENCYPART_GRANDPAR
(15,20),(20,24),0.304581 # DEPENDENCYPART_GRANDPAR
(15,21),(21,1),-0.0269958 # DEPENDENCYPART_GRANDPAR
(15,21),(21,4),0.276251 # DEPENDENCYPART_GRANDPAR
(15,21),(21,10),0.0514917 # DEPENDENCYPART_GRANDPAR
(15,21),(21,14),-0.0535671 # DEPENDENCYPART_GRANDPAR
(15,21),(21,17),0.184097 # DEPENDENCYPART_GRANDPAR
(15,21),(21,19),0.232347 # DEPENDENCYPART_GRANDPAR
(15,21),(21,20),0.368811 # DEPENDENCYPART_GRANDPAR
(15,21),(21,22),0.390045 # DEPENDENCYPART_GRANDPAR
(15,21),(21,23),0.326677 # DEPENDENCYPART_GRANDPAR
(15,21),(21,24),0.220972 # DEPENDENCYPART_GRANDPAR
(15,21),(21,25),0.237943 # DEPENDENCYPART_GRANDPAR
(15,22),(22,23),0.253852 # DEPENDENCYPART_GRANDPAR
(15,22),(22,24),0.029124 # DEPENDENCYPART_GRANDPAR
(15,22),(22,25),0.276868 # DEPENDENCYPART_GRANDPAR
(15,23),(23,22),0.107802 # DEPENDENCYPART_GRANDPAR
(15,23),(23,24),-0.0729402 # DEPENDENCYPART_GRANDPAR
(15,24),(24,6),-0.169101 # DEPENDENCYPART_GRANDPAR
(15,24),(24,17),0.385662 # DEPENDENCYPART_GRANDPAR
(15,24),(24,19),0.446546 # DEPENDENCYPART_GRANDPAR
(15,24),(24,22),0.213247 # DEPENDENCYPART_GRANDPAR
(15,24),(24,23),0.305914 # DEPENDENCYPART_GRANDPAR
(15,24),(24,25),0.330706 # DEPENDENCYPART_GRANDPAR
(15,25),(25,24),0.0118895 # DEPENDENCYPART_GRANDPAR
(16,1),(1,2),0.31364 # DEPENDENCYPART_GRANDPAR
(16,1),(1,3),0.0961757 # DEPENDENCYPART_GRANDPAR
(16,1),(1,4),0.21691 # DEPENDENCYPART_GRANDPAR
(16,1),(1,5),0.322939 # DEPENDENCYPART_GRANDPAR
(16,1),(1,6),0.0432664 # DEPENDENCYPART_GRANDPAR
(16,1),(1,7),0.199608 # DEPENDENCYPART_GRANDPAR
(16,1),(1,9),0.165977 # DEPENDENCYPART_GRANDPAR
(16,1),(1,10),0.328526 # DEPENDENCYPART_GRANDPAR
(16,1),(1,11),0.126144 # DEPENDENCYPART_GRANDPAR
(16,1),(1,12),0.533843 # DEPENDENCYPART_GRANDPAR
(16,1),(1,15),0.371307 # DEPENDENCYPART_GRANDPAR
(16,1),(1,25),-0.159893 # DEPENDENCYPART_GRANDPAR
(16,9),(9,1),0.0933526 # DEPENDENCYPART_GRANDPAR
(16,9),(9,2),0.549176 # DEPENDENCYPART_GRANDPAR
(16,9),(9,3),0.19978 # DEPENDENCYPART_GRANDPAR
(16,9),(9,4),0.390068 # DEPENDENCYPART_GRANDPAR
(16,9),(9,5),0.40352 # DEPENDENCYPART_GRANDPAR
(16,9),(9,6),0.367008 # DEPENDENCYPART_GRANDPAR
(16,9),(9,7),0.382101 # DEPENDENCYPART_GRANDPAR
(16,9),(9,8),0.384456 # DEPENDENCYPART_GRANDPAR
(16,9),(9,10),0.319748 # DEPENDENCYPART_GRANDPAR
(16,9),(9,11),0.212932 # DEPENDENCYPART_GRANDPAR
(16,9),(9,12),0.412245 # DEPENDENCYPART_GRANDPAR
(16,9),(9,14),0.262384 # DEPENDENCYPART_GRANDPAR
(16,9),(9,15),0.367926 # DEPENDENCYPART_GRANDPAR
(16,9),(9,16),-0.996425 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,9),(9,19),-0.0709996 # DEPENDENCYPART_GRANDPAR
(16,10),(10,1),0.111078 # DEPENDENCYPART_GRANDPAR
(16,10),(10,3),0.193857 # DEPENDENCYPART_GRANDPAR
(16,10),(10,4),0.24306 # DEPENDENCYPART_GRANDPAR
(16,10),(10,5),0.322601 # DEPENDENCYPART_GRANDPAR
(16,10),(10,6),0.251525 # DEPENDENCYPART_GRANDPAR
(16,10),(10,7),0.35416 # DEPENDENCYPART_GRANDPAR
(16,10),(10,8),0.357048 # DEPENDENCYPART_GRANDPAR
(16,10),(10,9),0.268634 # DEPENDENCYPART_GRANDPAR
(16,10),(10,11),0.044174 # DEPENDENCYPART_GRANDPAR
(16,10),(10,12),0.386905 # DEPENDENCYPART_GRANDPAR
(16,10),(10,14),0.213613 # DEPENDENCYPART_GRANDPAR
(16,10),(10,15),0.299257 # DEPENDENCYPART_GRANDPAR
(16,10),(10,16),-0.964224 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,10),(10,19),-0.0587362 # DEPENDENCYPART_GRANDPAR
(16,10),(10,20),-0.0854769 # DEPENDENCYPART_GRANDPAR
(16,10),(10,21),0.0780545 # DEPENDENCYPART_GRANDPAR
(16,10),(10,22),-0.0887466 # DEPENDENCYPART_GRANDPAR
(16,10),(10,23),-0.0882419 # DEPENDENCYPART_GRANDPAR
(16,10),(10,25),-0.121117 # DEPENDENCYPART_GRANDPAR
(16,14),(14,5),0.323684 # DEPENDENCYPART_GRANDPAR
(16,14),(14,7),0.332506 # DEPENDENCYPART_GRANDPAR
(16,14),(14,9),0.298594 # DEPENDENCYPART_GRANDPAR
(16,14),(14,10),0.329583 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),0.252483 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),0.405247 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),0.649211 # DEPENDENCYPART_GRANDPAR
(16,14),(14,15),0.358342 # DEPENDENCYPART_GRANDPAR
(16,14),(14,16),-0.997572 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,19),-0.0638682 # DEPENDENCYPART_GRANDPAR
(16,14),(14,20),-0.175008 # DEPENDENCYPART_GRANDPAR
(16,14),(14,21),0.0422451 # DEPENDENCYPART_GRANDPAR
(16,17),(17,16),-0.562923 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,17),(17,18),0.649429 # DEPENDENCYPART_GRANDPAR
(16,17),(17,20),0.300269 # DEPENDENCYPART_GRANDPAR
(16,17),(17,21),0.584169 # DEPENDENCYPART_GRANDPAR
(16,18),(18,16),-0.597155 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,18),(18,17),0.798878 # DEPENDENCYPART_GRANDPAR
(16,18),(18,20),0.208115 # DEPENDENCYPART_GRANDPAR
(16,18),(18,21),0.532331 # DEPENDENCYPART_GRANDPAR
(16,18),(18,22),0.393112 # DEPENDENCYPART_GRANDPAR
(16,18),(18,23),0.408301 # DEPENDENCYPART_GRANDPAR
(16,19),(19,5),-0.18675 # DEPENDENCYPART_GRANDPAR
(16,19),(19,6),-0.265849 # DEPENDENCYPART_GRANDPAR
(16,19),(19,7),-0.224736 # DEPENDENCYPART_GRANDPAR
(16,19),(19,9),-0.271087 # DEPENDENCYPART_GRANDPAR
(16,19),(19,13),-0.0466271 # DEPENDENCYPART_GRANDPAR
(16,19),(19,14),-0.239458 # DEPENDENCYPART_GRANDPAR
(16,19),(19,16),-0.494078 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,19),(19,17),0.829079 # DEPENDENCYPART_GRANDPAR
(16,19),(19,18),0.614432 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),0.321338 # DEPENDENCYPART_GRANDPAR
(16,19),(19,21),0.538567 # DEPENDENCYPART_GRANDPAR
(16,19),(19,22),0.396529 # DEPENDENCYPART_GRANDPAR
(16,19),(19,23),0.475419 # DEPENDENCYPART_GRANDPAR
(16,19),(19,24),0.294779 # DEPENDENCYPART_GRANDPAR
(16,19),(19,25),0.267933 # DEPENDENCYPART_GRANDPAR
(16,20),(20,17),0.748527 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),0.257504 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),0.865903 # DEPENDENCYPART_GRANDPAR
(16,20),(20,22),0.542866 # DEPENDENCYPART_GRANDPAR
(16,20),(20,23),0.497816 # DEPENDENCYPART_GRANDPAR
(16,20),(20,24),0.358604 # DEPENDENCYPART_GRANDPAR
(16,21),(21,1),-0.284122 # DEPENDENCYPART_GRANDPAR
(16,21),(21,4),-0.0753864 # DEPENDENCYPART_GRANDPAR
(16,21),(21,10),-0.136722 # DEPENDENCYPART_GRANDPAR
(16,21),(21,14),-0.194729 # DEPENDENCYPART_GRANDPAR
(16,21),(21,17),0.828882 # DEPENDENCYPART_GRANDPAR
(16,21),(21,19),0.269689 # DEPENDENCYPART_GRANDPAR
(16,21),(21,20),0.258025 # DEPENDENCYPART_GRANDPAR
(16,21),(21,22),0.441983 # DEPENDENCYPART_GRANDPAR
(16,21),(21,23),0.382886 # DEPENDENCYPART_GRANDPAR
(16,21),(21,24),0.230456 # DEPENDENCYPART_GRANDPAR
(16,21),(21,25),0.171805 # DEPENDENCYPART_GRANDPAR
(16,22),(22,23),0.453059 # DEPENDENCYPART_GRANDPAR
(16,22),(22,24),0.192219 # DEPENDENCYPART_GRANDPAR
(16,22),(22,25),0.26007 # DEPENDENCYPART_GRANDPAR
(16,23),(23,22),0.25112 # DEPENDENCYPART_GRANDPAR
(16,23),(23,24),0.119279 # DEPENDENCYPART_GRANDPAR
(16,24),(24,6),-0.232951 # DEPENDENCYPART_GRANDPAR
(16,24),(24,17),0.916686 # DEPENDENCYPART_GRANDPAR
(16,24),(24,19),0.372883 # DEPENDENCYPART_GRANDPAR
(16,24),(24,22),0.301061 # DEPENDENCYPART_GRANDPAR
(16,24),(24,23),0.321471 # DEPENDENCYPART_GRANDPAR
(16,24),(24,25),0.23473 # DEPENDENCYPART_GRANDPAR
(16,25),(25,24),0.0890561 # DEPENDENCYPART_GRANDPAR
(17,16),(16,1),-0.136614 # DEPENDENCYPART_GRANDPAR
(17,16),(16,9),-0.1512 # DEPENDENCYPART_GRANDPAR
(17,16),(16,10),-0.089314 # DEPENDENCYPART_GRANDPAR
(17,16),(16,14),-0.158632 # DEPENDENCYPART_GRANDPAR
(17,16),(16,17),-1.21035 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,16),(16,18),0.144893 # DEPENDENCYPART_GRANDPAR
(17,16),(16,19),0.0247245 # DEPENDENCYPART_GRANDPAR
(17,16),(16,20),0.065779 # DEPENDENCYPART_GRANDPAR
(17,16),(16,21),-0.331043 # DEPENDENCYPART_GRANDPAR
(17,16),(16,22),-0.445122 # DEPENDENCYPART_GRANDPAR
(17,16),(16,23),-0.418443 # DEPENDENCYPART_GRANDPAR
(17,16),(16,24),-0.410926 # DEPENDENCYPART_GRANDPAR
(17,16),(16,25),-0.425037 # DEPENDENCYPART_GRANDPAR
(17,18),(18,16),-0.338103 # DEPENDENCYPART_GRANDPAR
(17,18),(18,17),-0.877232 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,18),(18,20),0.487086 # DEPENDENCYPART_GRANDPAR
(17,18),(18,21),0.10743 # DEPENDENCYPART_GRANDPAR
(17,18),(18,22),0.0321647 # DEPENDENCYPART_GRANDPAR
(17,18),(18,23),0.101712 # DEPENDENCYPART_GRANDPAR
(17,20),(20,17),-0.924683 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,20),(20,19),0.33419 # DEPENDENCYPART_GRANDPAR
(17,20),(20,21),0.180022 # DEPENDENCYPART_GRANDPAR
(17,20),(20,22),0.0319118 # DEPENDENCYPART_GRANDPAR
(17,20),(20,23),0.0564561 # DEPENDENCYPART_GRANDPAR
(17,20),(20,24),0.0957072 # DEPENDENCYPART_GRANDPAR
(17,21),(21,1),-0.57555 # DEPENDENCYPART_GRANDPAR
(17,21),(21,4),-0.372063 # DEPENDENCYPART_GRANDPAR
(17,21),(21,10),-0.48759 # DEPENDENCYPART_GRANDPAR
(17,21),(21,14),-0.566777 # DEPENDENCYPART_GRANDPAR
(17,21),(21,17),-0.883524 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,21),(21,19),0.310107 # DEPENDENCYPART_GRANDPAR
(17,21),(21,20),0.387154 # DEPENDENCYPART_GRANDPAR
(17,21),(21,22),0.0472037 # DEPENDENCYPART_GRANDPAR
(17,21),(21,23),0.0397069 # DEPENDENCYPART_GRANDPAR
(17,21),(21,24),0.0575292 # DEPENDENCYPART_GRANDPAR
(17,21),(21,25),-0.0744384 # DEPENDENCYPART_GRANDPAR
(18,16),(16,1),-0.26575 # DEPENDENCYPART_GRANDPAR
(18,16),(16,9),-0.106811 # DEPENDENCYPART_GRANDPAR
(18,16),(16,10),-0.0477743 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),-0.0123211 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),0.00618434 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.22915 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),0.205343 # DEPENDENCYPART_GRANDPAR
(18,16),(16,20),-0.122124 # DEPENDENCYPART_GRANDPAR
(18,16),(16,21),-0.271094 # DEPENDENCYPART_GRANDPAR
(18,16),(16,22),-0.300711 # DEPENDENCYPART_GRANDPAR
(18,16),(16,23),-0.354582 # DEPENDENCYPART_GRANDPAR
(18,16),(16,24),-0.254021 # DEPENDENCYPART_GRANDPAR
(18,16),(16,25),-0.352944 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),0.0950538 # DEPENDENCYPART_GRANDPAR
(18,17),(17,18),-1.24154 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,17),(17,20),-0.123192 # DEPENDENCYPART_GRANDPAR
(18,17),(17,21),-0.300589 # DEPENDENCYPART_GRANDPAR
(18,20),(20,17),-0.374146 # DEPENDENCYPART_GRANDPAR
(18,20),(20,19),0.526379 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),0.272931 # DEPENDENCYPART_GRANDPAR
(18,20),(20,22),0.271076 # DEPENDENCYPART_GRANDPAR
(18,20),(20,23),0.190018 # DEPENDENCYPART_GRANDPAR
(18,20),(20,24),0.325632 # DEPENDENCYPART_GRANDPAR
(18,21),(21,1),-0.685222 # DEPENDENCYPART_GRANDPAR
(18,21),(21,4),-0.344203 # DEPENDENCYPART_GRANDPAR
(18,21),(21,10),-0.478623 # DEPENDENCYPART_GRANDPAR
(18,21),(21,14),-0.473833 # DEPENDENCYPART_GRANDPAR
(18,21),(21,17),-0.380878 # DEPENDENCYPART_GRANDPAR
(18,21),(21,19),0.516579 # DEPENDENCYPART_GRANDPAR
(18,21),(21,20),0.238803 # DEPENDENCYPART_GRANDPAR
(18,21),(21,22),0.259641 # DEPENDENCYPART_GRANDPAR
(18,21),(21,23),0.163799 # DEPENDENCYPART_GRANDPAR
(18,21),(21,24),0.268897 # DEPENDENCYPART_GRANDPAR
(18,21),(21,25),0.0297922 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),0.169813 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),0.186777 # DEPENDENCYPART_GRANDPAR
(18,22),(22,25),0.096906 # DEPENDENCYPART_GRANDPAR
(18,23),(23,22),0.0894999 # DEPENDENCYPART_GRANDPAR
(18,23),(23,24),0.198273 # DEPENDENCYPART_GRANDPAR
(19,5),(5,1),-0.320715 # DEPENDENCYPART_GRANDPAR
(19,5),(5,3),-0.204998 # DEPENDENCYPART_GRANDPAR
(19,5),(5,4),0.703755 # DEPENDENCYPART_GRANDPAR
(19,5),(5,6),0.543582 # DEPENDENCYPART_GRANDPAR
(19,5),(5,7),0.277945 # DEPENDENCYPART_GRANDPAR
(19,5),(5,8),0.260158 # DEPENDENCYPART_GRANDPAR
(19,5),(5,9),-0.173649 # DEPENDENCYPART_GRANDPAR
(19,5),(5,10),0.0361896 # DEPENDENCYPART_GRANDPAR
(19,5),(5,11),0.529222 # DEPENDENCYPART_GRANDPAR
(19,5),(5,12),0.420839 # DEPENDENCYPART_GRANDPAR
(19,5),(5,14),0.355446 # DEPENDENCYPART_GRANDPAR
(19,5),(5,15),0.236035 # DEPENDENCYPART_GRANDPAR
(19,5),(5,16),0.393953 # DEPENDENCYPART_GRANDPAR
(19,5),(5,20),-0.0846414 # DEPENDENCYPART_GRANDPAR
(19,5),(5,24),-0.365167 # DEPENDENCYPART_GRANDPAR
(19,5),(5,25),-0.417809 # DEPENDENCYPART_GRANDPAR
(19,6),(6,1),-0.167218 # DEPENDENCYPART_GRANDPAR
(19,6),(6,2),0.0507427 # DEPENDENCYPART_GRANDPAR
(19,6),(6,3),-0.178318 # DEPENDENCYPART_GRANDPAR
(19,6),(6,4),0.745758 # DEPENDENCYPART_GRANDPAR
(19,6),(6,5),0.0904632 # DEPENDENCYPART_GRANDPAR
(19,6),(6,7),0.213511 # DEPENDENCYPART_GRANDPAR
(19,6),(6,8),0.195721 # DEPENDENCYPART_GRANDPAR
(19,6),(6,9),-0.233072 # DEPENDENCYPART_GRANDPAR
(19,6),(6,10),-0.0464962 # DEPENDENCYPART_GRANDPAR
(19,6),(6,11),0.518505 # DEPENDENCYPART_GRANDPAR
(19,6),(6,12),0.446718 # DEPENDENCYPART_GRANDPAR
(19,6),(6,14),0.391281 # DEPENDENCYPART_GRANDPAR
(19,6),(6,15),0.156577 # DEPENDENCYPART_GRANDPAR
(19,7),(7,1),-0.176084 # DEPENDENCYPART_GRANDPAR
(19,7),(7,3),-0.179423 # DEPENDENCYPART_GRANDPAR
(19,7),(7,4),0.779272 # DEPENDENCYPART_GRANDPAR
(19,7),(7,5),0.213616 # DEPENDENCYPART_GRANDPAR
(19,7),(7,6),0.106754 # DEPENDENCYPART_GRANDPAR
(19,7),(7,8),0.161615 # DEPENDENCYPART_GRANDPAR
(19,7),(7,11),0.54598 # DEPENDENCYPART_GRANDPAR
(19,7),(7,12),0.464813 # DEPENDENCYPART_GRANDPAR
(19,7),(7,15),0.209305 # DEPENDENCYPART_GRANDPAR
(19,9),(9,1),-0.287118 # DEPENDENCYPART_GRANDPAR
(19,9),(9,2),0.133294 # DEPENDENCYPART_GRANDPAR
(19,9),(9,3),-0.170046 # DEPENDENCYPART_GRANDPAR
(19,9),(9,4),0.81051 # DEPENDENCYPART_GRANDPAR
(19,9),(9,5),0.215574 # DEPENDENCYPART_GRANDPAR
(19,9),(9,6),0.203884 # DEPENDENCYPART_GRANDPAR
(19,9),(9,7),0.176396 # DEPENDENCYPART_GRANDPAR
(19,9),(9,8),0.158995 # DEPENDENCYPART_GRANDPAR
(19,9),(9,10),0.018238 # DEPENDENCYPART_GRANDPAR
(19,9),(9,11),0.558209 # DEPENDENCYPART_GRANDPAR
(19,9),(9,12),0.246537 # DEPENDENCYPART_GRANDPAR
(19,9),(9,14),0.277708 # DEPENDENCYPART_GRANDPAR
(19,9),(9,15),0.233884 # DEPENDENCYPART_GRANDPAR
(19,9),(9,16),0.385948 # DEPENDENCYPART_GRANDPAR
(19,9),(9,19),-0.993065 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,14),(14,5),0.21506 # DEPENDENCYPART_GRANDPAR
(19,14),(14,7),0.233462 # DEPENDENCYPART_GRANDPAR
(19,14),(14,9),0.0678971 # DEPENDENCYPART_GRANDPAR
(19,14),(14,10),0.0945896 # DEPENDENCYPART_GRANDPAR
(19,14),(14,11),0.758901 # DEPENDENCYPART_GRANDPAR
(19,14),(14,12),0.373788 # DEPENDENCYPART_GRANDPAR
(19,14),(14,13),0.359911 # DEPENDENCYPART_GRANDPAR
(19,14),(14,15),0.17227 # DEPENDENCYPART_GRANDPAR
(19,14),(14,16),0.339941 # DEPENDENCYPART_GRANDPAR
(19,14),(14,19),-1.02201 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,14),(14,20),-0.181475 # DEPENDENCYPART_GRANDPAR
(19,14),(14,21),-0.583303 # DEPENDENCYPART_GRANDPAR
(19,16),(16,1),-0.339469 # DEPENDENCYPART_GRANDPAR
(19,16),(16,9),-0.155132 # DEPENDENCYPART_GRANDPAR
(19,16),(16,10),-0.0642033 # DEPENDENCYPART_GRANDPAR
(19,16),(16,14),0.159394 # DEPENDENCYPART_GRANDPAR
(19,16),(16,17),0.268956 # DEPENDENCYPART_GRANDPAR
(19,16),(16,18),0.329986 # DEPENDENCYPART_GRANDPAR
(19,16),(16,19),-0.977861 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,16),(16,20),-0.0967897 # DEPENDENCYPART_GRANDPAR
(19,16),(16,21),-0.503409 # DEPENDENCYPART_GRANDPAR
(19,16),(16,22),-0.186031 # DEPENDENCYPART_GRANDPAR
(19,16),(16,23),-0.437687 # DEPENDENCYPART_GRANDPAR
(19,16),(16,24),-0.367871 # DEPENDENCYPART_GRANDPAR
(19,16),(16,25),-0.43808 # DEPENDENCYPART_GRANDPAR
(19,17),(17,16),0.377195 # DEPENDENCYPART_GRANDPAR
(19,17),(17,18),0.426214 # DEPENDENCYPART_GRANDPAR
