# _root_ `` It 's falling like a stone , '' said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .
#goldHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
#predictedHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
(16,14),(16,26),0.0181411 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0314385 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.021689 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.00629066 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0135485 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.0572727 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.0679681 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.0601185 # DEPENDENCYPART_SIBL
(16,15),(16,25),0.055293 # DEPENDENCYPART_SIBL
(16,15),(16,26),0.0574409 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0250218 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0106634 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0214301 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0136177 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0117024 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.0118301 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.0161545 # DEPENDENCYPART_SIBL
(16,17),(16,26),-0.0173778 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0247952 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.00170067 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.00253012 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.00444541 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.00431656 # DEPENDENCYPART_SIBL
(16,18),(16,25),-6.69621e-06 # DEPENDENCYPART_SIBL
(16,18),(16,26),-0.00128445 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.00184026 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.0222736 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0203584 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.0205047 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.0248103 # DEPENDENCYPART_SIBL
(16,19),(16,26),-0.0260847 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.0148572 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0110924 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0122947 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.0167423 # DEPENDENCYPART_SIBL
(16,20),(16,26),-0.0195182 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.0338362 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0326652 # DEPENDENCYPART_SIBL
(16,22),(16,25),-0.0375303 # DEPENDENCYPART_SIBL
(16,22),(16,26),-0.0400254 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.0323597 # DEPENDENCYPART_SIBL
(16,23),(16,25),-0.0372244 # DEPENDENCYPART_SIBL
(16,23),(16,26),-0.0397195 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.0384401 # DEPENDENCYPART_SIBL
(16,24),(16,26),-0.0409352 # DEPENDENCYPART_SIBL
(16,25),(16,26),-0.0451195 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.00126613 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0110738 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0157962 # DEPENDENCYPART_SIBL
(18,1),(18,3),0.057289 # DEPENDENCYPART_SIBL
(18,1),(18,4),0.00979527 # DEPENDENCYPART_SIBL
(18,1),(18,5),0.0162736 # DEPENDENCYPART_SIBL
(18,1),(18,7),0.0128769 # DEPENDENCYPART_SIBL
(18,1),(18,8),0.0720855 # DEPENDENCYPART_SIBL
(18,1),(18,9),0.495178 # DEPENDENCYPART_SIBL
(18,1),(18,11),0.000729101 # DEPENDENCYPART_SIBL
(18,1),(18,12),0.00158149 # DEPENDENCYPART_SIBL
(18,1),(18,13),0.0720855 # DEPENDENCYPART_SIBL
(18,1),(18,15),0.0127073 # DEPENDENCYPART_SIBL
(18,1),(18,16),0.0354137 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.032416 # DEPENDENCYPART_SIBL
(18,1),(18,19),0.0183815 # DEPENDENCYPART_SIBL
(18,1),(18,20),0.0303584 # DEPENDENCYPART_SIBL
(18,1),(18,22),0.0537197 # DEPENDENCYPART_SIBL
(18,1),(18,23),0.0508792 # DEPENDENCYPART_SIBL
(18,1),(18,24),0.0526413 # DEPENDENCYPART_SIBL
(18,1),(18,25),0.0524294 # DEPENDENCYPART_SIBL
(18,1),(18,26),0.0553613 # DEPENDENCYPART_SIBL
(18,1),(18,27),0.151718 # DEPENDENCYPART_SIBL
(18,3),(18,4),-0.0440043 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.0579136 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.0236264 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.0153763 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.0936348 # DEPENDENCYPART_SIBL
(18,3),(18,11),-0.0525111 # DEPENDENCYPART_SIBL
(18,3),(18,12),-0.0525111 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.0153763 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.0236936 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.0205114 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0541149 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.0427969 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.105274 # DEPENDENCYPART_SIBL
(18,3),(18,22),0.0207959 # DEPENDENCYPART_SIBL
(18,3),(18,23),0.0182156 # DEPENDENCYPART_SIBL
(18,3),(18,24),0.0208959 # DEPENDENCYPART_SIBL
(18,3),(18,25),0.0208205 # DEPENDENCYPART_SIBL
(18,3),(18,26),0.0172336 # DEPENDENCYPART_SIBL
(18,3),(18,27),-0.00224544 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.0281955 # DEPENDENCYPART_SIBL
(18,4),(18,7),-0.0299851 # DEPENDENCYPART_SIBL
(18,4),(18,8),0.00340191 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.0695811 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0356178 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0356178 # DEPENDENCYPART_SIBL
(18,4),(18,13),0.00340191 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0300204 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.0190577 # DEPENDENCYPART_SIBL
(18,4),(18,17),-0.0534736 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.035736 # DEPENDENCYPART_SIBL
(18,4),(18,20),-0.0380552 # DEPENDENCYPART_SIBL
(18,4),(18,22),-0.0628124 # DEPENDENCYPART_SIBL
(18,4),(18,23),-0.0646149 # DEPENDENCYPART_SIBL
(18,4),(18,24),-0.0627135 # DEPENDENCYPART_SIBL
(18,4),(18,25),-0.062773 # DEPENDENCYPART_SIBL
(18,4),(18,26),-0.0675864 # DEPENDENCYPART_SIBL
(18,4),(18,27),0.0224518 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.0284776 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.103476 # DEPENDENCYPART_SIBL
(18,5),(18,9),-0.0208029 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.0346415 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.0346415 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.103476 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.0284432 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.016516 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.0561444 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.0250757 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0419629 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0847787 # DEPENDENCYPART_SIBL
(18,5),(18,23),-0.0884099 # DEPENDENCYPART_SIBL
(18,5),(18,24),-0.0852932 # DEPENDENCYPART_SIBL
(18,5),(18,25),-0.0855201 # DEPENDENCYPART_SIBL
(18,5),(18,26),-0.0843122 # DEPENDENCYPART_SIBL
(18,5),(18,27),0.0155491 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.0444881 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.0752629 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.122412 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.123157 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.0444881 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.124029 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.113994 # DEPENDENCYPART_SIBL
(18,7),(18,17),-0.0814743 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.0214719 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.00951097 # DEPENDENCYPART_SIBL
(18,7),(18,22),-0.0597794 # DEPENDENCYPART_SIBL
(18,7),(18,23),-0.0629548 # DEPENDENCYPART_SIBL
(18,7),(18,24),-0.0599144 # DEPENDENCYPART_SIBL
(18,7),(18,25),-0.0623388 # DEPENDENCYPART_SIBL
(18,7),(18,26),-0.0668779 # DEPENDENCYPART_SIBL
(18,7),(18,27),0.0131924 # DEPENDENCYPART_SIBL
(18,8),(18,9),0.0691666 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.0136936 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0136936 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.0102985 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.00202432 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.017494 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.124236 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.0239339 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.045847 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.0393169 # DEPENDENCYPART_SIBL
(18,8),(18,23),-0.0449767 # DEPENDENCYPART_SIBL
(18,8),(18,24),-0.0396485 # DEPENDENCYPART_SIBL
(18,8),(18,25),-0.0406372 # DEPENDENCYPART_SIBL
(18,8),(18,26),-0.0481528 # DEPENDENCYPART_SIBL
(18,8),(18,27),0.0383973 # DEPENDENCYPART_SIBL
(18,9),(18,11),0.0161536 # DEPENDENCYPART_SIBL
(18,9),(18,12),0.0161536 # DEPENDENCYPART_SIBL
(18,9),(18,13),0.00020062 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.00980797 # DEPENDENCYPART_SIBL
(18,9),(18,16),0.00413282 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.0200864 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.0460237 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.0877492 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.065322 # DEPENDENCYPART_SIBL
(18,9),(18,23),-0.067899 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.0652312 # DEPENDENCYPART_SIBL
(18,9),(18,25),-0.0652923 # DEPENDENCYPART_SIBL
(18,9),(18,26),-0.0691356 # DEPENDENCYPART_SIBL
(18,9),(18,27),0.0179598 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.133082 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.00973589 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.0735877 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0612694 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0932991 # DEPENDENCYPART_SIBL
(18,11),(18,19),0.0252336 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0147329 # DEPENDENCYPART_SIBL
(18,11),(18,22),-0.0290161 # DEPENDENCYPART_SIBL
(18,11),(18,23),-0.04459 # DEPENDENCYPART_SIBL
(18,11),(18,24),-0.0323907 # DEPENDENCYPART_SIBL
(18,11),(18,25),-0.0343795 # DEPENDENCYPART_SIBL
(18,11),(18,26),-0.0374157 # DEPENDENCYPART_SIBL
(18,11),(18,27),0.00544498 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.00973589 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0735877 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.0612694 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.0932991 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0252336 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.0242295 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.0290161 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.04459 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.0323907 # DEPENDENCYPART_SIBL
(18,12),(18,25),-0.0343795 # DEPENDENCYPART_SIBL
(18,12),(18,26),-0.0374157 # DEPENDENCYPART_SIBL
(18,12),(18,27),0.00544498 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.00202432 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.017494 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.124236 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.0239339 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.045847 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0393169 # DEPENDENCYPART_SIBL
(18,13),(18,23),-0.0449767 # DEPENDENCYPART_SIBL
(18,13),(18,24),-0.0396485 # DEPENDENCYPART_SIBL
(18,13),(18,25),-0.0406372 # DEPENDENCYPART_SIBL
(18,13),(18,26),-0.0481528 # DEPENDENCYPART_SIBL
(18,13),(18,27),0.0383973 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.113651 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.0814743 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0195029 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.00541253 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0573895 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0605649 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.0575246 # DEPENDENCYPART_SIBL
(18,15),(18,25),-0.0599489 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.064488 # DEPENDENCYPART_SIBL
(18,15),(18,27),0.00229131 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0807752 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0261035 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.00179098 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0648366 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.068012 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0649716 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0673959 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.071935 # DEPENDENCYPART_SIBL
(18,16),(18,27),-0.00485117 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0103327 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0225087 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0365782 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.0339978 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0355488 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.0326808 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.0445989 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.336977 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0883723 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.10412 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.104483 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.104117 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.110555 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.104514 # DEPENDENCYPART_SIBL
(18,19),(18,27),-0.028341 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0536985 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.052241 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0528603 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.057966 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.0545439 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.00742688 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0700646 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0683805 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.0753787 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.0705576 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0161076 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0734546 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0804524 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.0756314 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.0165053 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.0753203 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.0704993 # DEPENDENCYPART_SIBL
(18,24),(18,27),-0.0143924 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.0513887 # DEPENDENCYPART_SIBL
(18,25),(18,27),0.0207812 # DEPENDENCYPART_SIBL
(18,26),(18,27),-0.021999 # DEPENDENCYPART_SIBL
(19,3),(19,15),0.0210712 # DEPENDENCYPART_SIBL
(19,3),(19,16),0.0132721 # DEPENDENCYPART_SIBL
(19,3),(19,17),0.0022886 # DEPENDENCYPART_SIBL
(19,3),(19,18),0.00315255 # DEPENDENCYPART_SIBL
(19,3),(19,20),-0.0101226 # DEPENDENCYPART_SIBL
(19,3),(19,21),0.00682445 # DEPENDENCYPART_SIBL
(19,3),(19,22),0.067888 # DEPENDENCYPART_SIBL
(19,3),(19,23),0.0680609 # DEPENDENCYPART_SIBL
(19,3),(19,24),0.0680534 # DEPENDENCYPART_SIBL
(19,3),(19,25),0.0680013 # DEPENDENCYPART_SIBL
(19,3),(19,26),0.0675431 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.00956367 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0181503 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.032963 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0122757 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.0145519 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.0130844 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.0135007 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.0130124 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.0105021 # DEPENDENCYPART_SIBL
(19,15),(19,26),0.00975782 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0181461 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0329552 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0130476 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0134493 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.0124863 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0129026 # DEPENDENCYPART_SIBL
(19,16),(19,24),0.0124144 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.00990403 # DEPENDENCYPART_SIBL
(19,16),(19,26),0.00915973 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0104213 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0238193 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0406595 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0259192 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0257464 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0268818 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0278438 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0175499 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.00546762 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.00228055 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0426048 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0427936 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.0427742 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.042759 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.0427251 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.000923317 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.00762129 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.00944238 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.00819337 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.0100992 # DEPENDENCYPART_SIBL
(19,20),(19,26),0.007155 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0533946 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0534202 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.0535189 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.0534071 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.0534267 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0374792 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.036277 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0367087 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.0379971 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.037773 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.0382043 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.0394927 # DEPENDENCYPART_SIBL
(19,24),(19,25),-0.0365064 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.0377948 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.0333705 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0140353 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0897626 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0528301 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.0572056 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.051169 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.0634251 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0455161 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0384538 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0312296 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0348272 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0284414 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0397717 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.0338416 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0798783 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0796648 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0796431 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0800101 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.0832232 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.0908611 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0895385 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.0908211 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.0964696 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0862409 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0875232 # DEPENDENCYPART_SIBL
(20,23),(20,26),-0.0931717 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.0851491 # DEPENDENCYPART_SIBL
(20,24),(20,26),-0.0907975 # DEPENDENCYPART_SIBL
(20,25),(20,26),-0.0962301 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.0882786 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0833736 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0400435 # DEPENDENCYPART_SIBL
(23,21),(23,22),0.0568215 # DEPENDENCYPART_SIBL
(23,21),(23,24),-0.0625589 # DEPENDENCYPART_SIBL
(23,21),(23,25),-0.0629198 # DEPENDENCYPART_SIBL
(23,22),(23,24),0.06613 # DEPENDENCYPART_SIBL
(23,22),(23,25),0.0643575 # DEPENDENCYPART_SIBL
(23,24),(23,25),-0.00729148 # DEPENDENCYPART_SIBL
(24,21),(24,22),0.0594346 # DEPENDENCYPART_SIBL
(24,21),(24,23),0.0703279 # DEPENDENCYPART_SIBL
(24,21),(24,25),-0.0832155 # DEPENDENCYPART_SIBL
(24,21),(24,26),-0.0638145 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.0620746 # DEPENDENCYPART_SIBL
(24,22),(24,25),0.0178975 # DEPENDENCYPART_SIBL
(24,22),(24,26),0.024018 # DEPENDENCYPART_SIBL
(24,23),(24,25),0.110412 # DEPENDENCYPART_SIBL
(24,23),(24,26),0.116536 # DEPENDENCYPART_SIBL
(24,25),(24,26),-0.00980078 # DEPENDENCYPART_SIBL
(25,17),(25,21),-0.0591174 # DEPENDENCYPART_SIBL
(25,17),(25,22),-0.0356071 # DEPENDENCYPART_SIBL
(25,17),(25,23),-0.0385758 # DEPENDENCYPART_SIBL
(25,17),(25,24),-0.0374364 # DEPENDENCYPART_SIBL
(25,17),(25,26),0.0122304 # DEPENDENCYPART_SIBL
(25,21),(25,22),0.0611393 # DEPENDENCYPART_SIBL
(25,21),(25,23),0.0720328 # DEPENDENCYPART_SIBL
(25,21),(25,24),0.0761122 # DEPENDENCYPART_SIBL
(25,21),(25,26),-0.0769972 # DEPENDENCYPART_SIBL
(25,22),(25,23),0.0620976 # DEPENDENCYPART_SIBL
(25,22),(25,24),0.0703493 # DEPENDENCYPART_SIBL
(25,22),(25,26),0.00391741 # DEPENDENCYPART_SIBL
(25,23),(25,24),0.0375173 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.096437 # DEPENDENCYPART_SIBL
(25,24),(25,26),0.0110485 # DEPENDENCYPART_SIBL
(26,1),(26,3),0.0366508 # DEPENDENCYPART_SIBL
(26,1),(26,11),0.0347535 # DEPENDENCYPART_SIBL
(26,1),(26,12),0.0349196 # DEPENDENCYPART_SIBL
(26,1),(26,15),0.0919513 # DEPENDENCYPART_SIBL
(26,1),(26,16),0.100769 # DEPENDENCYPART_SIBL
(26,1),(26,17),0.00087232 # DEPENDENCYPART_SIBL
(26,1),(26,21),-0.00897937 # DEPENDENCYPART_SIBL
(26,1),(26,22),0.0323297 # DEPENDENCYPART_SIBL
(26,1),(26,23),0.031078 # DEPENDENCYPART_SIBL
(26,1),(26,24),0.0288679 # DEPENDENCYPART_SIBL
(26,1),(26,25),0.0250291 # DEPENDENCYPART_SIBL
(26,3),(26,11),-0.00376448 # DEPENDENCYPART_SIBL
(26,3),(26,12),-0.00530312 # DEPENDENCYPART_SIBL
(26,3),(26,15),0.0621252 # DEPENDENCYPART_SIBL
(26,3),(26,16),0.0572322 # DEPENDENCYPART_SIBL
(26,3),(26,17),-0.00708139 # DEPENDENCYPART_SIBL
(26,3),(26,21),0.00619106 # DEPENDENCYPART_SIBL
(26,3),(26,22),-0.00784112 # DEPENDENCYPART_SIBL
(26,3),(26,23),-0.00878996 # DEPENDENCYPART_SIBL
(26,3),(26,24),-0.0153537 # DEPENDENCYPART_SIBL
(26,3),(26,25),-0.00895544 # DEPENDENCYPART_SIBL
(26,11),(26,12),0.0626126 # DEPENDENCYPART_SIBL
(26,11),(26,15),0.166619 # DEPENDENCYPART_SIBL
(26,11),(26,16),0.172655 # DEPENDENCYPART_SIBL
(26,11),(26,17),0.0401187 # DEPENDENCYPART_SIBL
