# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,21,20,25,18,11,
(2,1),(1,2),(1,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,27),-0.0641891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,4),(1,27),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),-0.0867236 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),-0.0421284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),-0.0315134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,9),-0.0420452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,11),-0.0421284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,27),0.0373395 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0420176 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,27),-0.042841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,27),-0.0424715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,9),(3,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,27),-0.0438888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,11),(3,27),-0.042841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,2),0.10307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),0.00839743 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,2),(3,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,2),(3,-1),-0.0641458 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),-0.0641462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,5),-0.0473667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),-0.0421992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,7),-0.0465699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,8),-0.0404224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,9),-0.0427317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,10),-0.0420319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,11),-0.0368638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,13),-0.0439127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,14),-0.0427317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,17),-0.0404224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,18),-0.0474496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,20),-0.0439127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,21),-0.0473667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,25),-0.0404224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,26),-0.0420177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,27),-0.0450128 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,8),-0.040809 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,9),-0.0420389 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,11),-0.0420443 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,13),-0.0420159 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,14),-0.0420389 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,17),-0.040809 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,18),-0.0402345 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,20),-0.0420159 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,21),-0.0402422 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,25),-0.040809 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,26),-0.0420283 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,27),-0.0375812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,6),(4,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,9),-0.0420295 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,14),-0.0420295 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,18),-0.0421715 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,21),-0.0420955 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,27),-0.0420121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,7),(4,8),-0.0420241 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,11),-0.042027 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,17),-0.0420241 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,18),-0.0441371 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,21),-0.0432461 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,25),-0.0420241 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,26),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,27),-0.0433775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,8),(4,9),-0.0430293 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,10),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,11),-0.0420391 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,14),-0.0430293 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,17),-0.04269 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,18),-0.0416942 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,21),-0.0417473 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,25),-0.04269 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,26),-0.042071 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,27),-0.046197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,9),(4,10),-0.042015 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,11),-0.0420317 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,17),-0.0420147 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,18),-0.0420304 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,21),-0.0420295 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,25),-0.0420147 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,27),-0.0421966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,10),(4,11),-0.042012 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,18),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,21),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,27),-0.042084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,11),(4,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,14),-0.0420356 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,21),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,26),-0.0420275 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,27),-0.0369013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,13),(4,14),-0.042014 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,17),-0.0420231 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,18),-0.0420813 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,21),-0.0420813 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,25),-0.0420231 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,27),-0.0437608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,14),(4,17),-0.0420147 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,18),-0.0420304 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,21),-0.0420295 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,25),-0.0420147 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,14),(4,27),-0.0421966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,17),(4,18),-0.0416942 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,17),(4,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,17),(4,21),-0.0417473 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,17),(4,25),-0.04269 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,17),(4,26),-0.042071 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,17),(4,27),-0.046197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,18),(4,20),-0.042017 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,18),(4,21),-0.0403127 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,18),(4,25),-0.0408057 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,18),(4,26),-0.0420283 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,18),(4,27),-0.0384865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,20),(4,21),-0.0420813 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,20),(4,25),-0.0420231 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,20),(4,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,20),(4,27),-0.0437608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,21),(4,25),-0.040809 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,21),(4,26),-0.0420283 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,21),(4,27),-0.0375812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,25),(4,26),-0.042071 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,25),(4,27),-0.046197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,26),(4,27),-0.042613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,3),0.0976306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,2),0.0969062 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,4),(4,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,-1),-0.0527676 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,3),(4,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,3),(4,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,-1),-0.0697162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,2),(4,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,2),(4,-1),-0.0690799 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,1),(4,-1),-0.0641539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,6),-0.0437356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,7),-0.0423817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,8),-0.0400524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,9),-0.0420297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,10),-0.0420408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,11),-0.011512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,13),-0.0577831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,14),-0.0420297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,17),-0.0400524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,27),-0.0650946 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,7),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,9),-0.0420533 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,14),-0.0420533 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,27),-0.043678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,7),(5,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,9),-0.0420291 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,14),-0.0420291 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,27),-0.0423709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,8),(5,9),-0.0420447 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,10),-0.0420117 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,11),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,13),-0.0424438 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,14),-0.0420447 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,17),-0.0420309 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,27),-0.038851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,9),(5,10),-0.0420305 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,11),-0.0420175 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,17),-0.0420176 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,27),-0.0420948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,10),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,27),-0.0420656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,17),-0.0420184 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,27),-0.0114729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,13),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,27),-0.058263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,14),(5,17),-0.0420176 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,27),-0.0420948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,17),(5,27),-0.038851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.103064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.103065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.10307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),-0.0570087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,4),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,-1),-0.0642161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.0641574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,2),(5,-1),-0.0641481 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,1),(5,-1),-0.0641947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,9),-0.0430972 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,10),-0.0420336 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,11),-0.0452335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,12),-0.0422952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,13),-0.0422952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,14),-0.0430972 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,17),-0.0471304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,18),-0.0626413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,20),-0.0422952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,25),-0.0471304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,27),-0.0671571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,9),(8,10),-0.0426784 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,11),-0.0420465 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,12),-0.0420135 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,13),-0.0420135 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,17),-0.0426278 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,18),-0.0421991 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,20),-0.0420135 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,25),-0.0426278 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,27),-0.0423521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,10),(8,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,18),-0.0426958 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,27),-0.0420196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,11),(8,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,14),-0.0420213 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,17),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,18),-0.042014 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,25),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,27),-0.0451498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,12),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,14),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,18),-0.0420123 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,27),-0.0422965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,13),(8,14),-0.0420115 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,18),-0.0420123 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,27),-0.0422965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,14),(8,17),-0.0426278 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,18),-0.0421991 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,20),-0.0420135 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,25),-0.0426278 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,27),-0.0423521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
