# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(28,31),(31,28),-0.509306 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,31),(31,30),0.581231 # DEPENDENCYPART_GRANDPAR
(28,31),(31,32),0.436228 # DEPENDENCYPART_GRANDPAR
(28,31),(31,33),0.709497 # DEPENDENCYPART_GRANDPAR
(28,31),(31,34),0.668177 # DEPENDENCYPART_GRANDPAR
(28,32),(32,33),0.549494 # DEPENDENCYPART_GRANDPAR
(28,32),(32,34),0.458232 # DEPENDENCYPART_GRANDPAR
(28,33),(33,30),0.567596 # DEPENDENCYPART_GRANDPAR
(28,33),(33,34),0.645221 # DEPENDENCYPART_GRANDPAR
(28,34),(34,20),-0.54138 # DEPENDENCYPART_GRANDPAR
(28,34),(34,24),-0.0552302 # DEPENDENCYPART_GRANDPAR
(28,34),(34,25),-0.3797 # DEPENDENCYPART_GRANDPAR
(28,34),(34,26),-0.416292 # DEPENDENCYPART_GRANDPAR
(28,34),(34,27),-0.352189 # DEPENDENCYPART_GRANDPAR
(28,34),(34,28),-0.518393 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,34),(34,30),0.444005 # DEPENDENCYPART_GRANDPAR
(28,34),(34,31),0.380809 # DEPENDENCYPART_GRANDPAR
(28,34),(34,33),0.333793 # DEPENDENCYPART_GRANDPAR
(29,28),(28,1),-0.224915 # DEPENDENCYPART_GRANDPAR
(29,28),(28,3),0.0461611 # DEPENDENCYPART_GRANDPAR
(29,28),(28,8),-0.207273 # DEPENDENCYPART_GRANDPAR
(29,28),(28,12),-0.0386713 # DEPENDENCYPART_GRANDPAR
(29,28),(28,20),0.0494212 # DEPENDENCYPART_GRANDPAR
(29,28),(28,21),-0.271194 # DEPENDENCYPART_GRANDPAR
(29,28),(28,22),-0.249268 # DEPENDENCYPART_GRANDPAR
(29,28),(28,23),0.275004 # DEPENDENCYPART_GRANDPAR
(29,28),(28,24),-0.0119941 # DEPENDENCYPART_GRANDPAR
(29,28),(28,25),-0.178417 # DEPENDENCYPART_GRANDPAR
(29,28),(28,26),-0.0962363 # DEPENDENCYPART_GRANDPAR
(29,28),(28,27),-0.0631675 # DEPENDENCYPART_GRANDPAR
(29,28),(28,29),-1.16977 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,28),(28,31),0.436788 # DEPENDENCYPART_GRANDPAR
(29,28),(28,32),-0.318753 # DEPENDENCYPART_GRANDPAR
(29,28),(28,33),-0.335571 # DEPENDENCYPART_GRANDPAR
(29,28),(28,34),0.432593 # DEPENDENCYPART_GRANDPAR
(29,30),(30,31),1.17196 # DEPENDENCYPART_GRANDPAR
(29,30),(30,32),0.286035 # DEPENDENCYPART_GRANDPAR
(29,30),(30,33),0.38837 # DEPENDENCYPART_GRANDPAR
(29,30),(30,34),1.30623 # DEPENDENCYPART_GRANDPAR
(29,31),(31,3),-0.488063 # DEPENDENCYPART_GRANDPAR
(29,31),(31,20),-0.446297 # DEPENDENCYPART_GRANDPAR
(29,31),(31,21),-0.875293 # DEPENDENCYPART_GRANDPAR
(29,31),(31,22),-0.856146 # DEPENDENCYPART_GRANDPAR
(29,31),(31,24),-0.650028 # DEPENDENCYPART_GRANDPAR
(29,31),(31,25),-0.787737 # DEPENDENCYPART_GRANDPAR
(29,31),(31,26),-0.696518 # DEPENDENCYPART_GRANDPAR
(29,31),(31,27),-0.64865 # DEPENDENCYPART_GRANDPAR
(29,31),(31,28),-0.58867 # DEPENDENCYPART_GRANDPAR
(29,31),(31,30),1.1124 # DEPENDENCYPART_GRANDPAR
(29,31),(31,32),0.277074 # DEPENDENCYPART_GRANDPAR
(29,31),(31,33),0.404146 # DEPENDENCYPART_GRANDPAR
(29,31),(31,34),1.32477 # DEPENDENCYPART_GRANDPAR
(29,32),(32,33),0.132849 # DEPENDENCYPART_GRANDPAR
(29,32),(32,34),0.960704 # DEPENDENCYPART_GRANDPAR
(29,33),(33,30),1.04156 # DEPENDENCYPART_GRANDPAR
(29,33),(33,34),1.3129 # DEPENDENCYPART_GRANDPAR
(29,34),(34,20),-0.446297 # DEPENDENCYPART_GRANDPAR
(29,34),(34,24),-0.65003 # DEPENDENCYPART_GRANDPAR
(29,34),(34,25),-0.791581 # DEPENDENCYPART_GRANDPAR
(29,34),(34,26),-0.700362 # DEPENDENCYPART_GRANDPAR
(29,34),(34,27),-0.652495 # DEPENDENCYPART_GRANDPAR
(29,34),(34,28),-0.592514 # DEPENDENCYPART_GRANDPAR
(29,34),(34,30),0.752273 # DEPENDENCYPART_GRANDPAR
(29,34),(34,31),0.847577 # DEPENDENCYPART_GRANDPAR
(29,34),(34,33),0.110457 # DEPENDENCYPART_GRANDPAR
(30,31),(31,3),-0.84374 # DEPENDENCYPART_GRANDPAR
(30,31),(31,20),-0.806602 # DEPENDENCYPART_GRANDPAR
(30,31),(31,21),-1.11279 # DEPENDENCYPART_GRANDPAR
(30,31),(31,22),-1.05708 # DEPENDENCYPART_GRANDPAR
(30,31),(31,24),-0.846707 # DEPENDENCYPART_GRANDPAR
(30,31),(31,25),-0.96892 # DEPENDENCYPART_GRANDPAR
(30,31),(31,26),-0.963076 # DEPENDENCYPART_GRANDPAR
(30,31),(31,27),-0.921754 # DEPENDENCYPART_GRANDPAR
(30,31),(31,28),-0.872004 # DEPENDENCYPART_GRANDPAR
(30,31),(31,30),-0.946518 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(30,31),(31,32),-0.101923 # DEPENDENCYPART_GRANDPAR
(30,31),(31,33),0.493234 # DEPENDENCYPART_GRANDPAR
(30,31),(31,34),0.192262 # DEPENDENCYPART_GRANDPAR
(30,32),(32,33),0.513066 # DEPENDENCYPART_GRANDPAR
(30,32),(32,34),0.168744 # DEPENDENCYPART_GRANDPAR
(30,33),(33,30),-0.959371 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(30,33),(33,34),0.186886 # DEPENDENCYPART_GRANDPAR
(30,34),(34,20),-0.806548 # DEPENDENCYPART_GRANDPAR
(30,34),(34,24),-0.846655 # DEPENDENCYPART_GRANDPAR
(30,34),(34,25),-0.97271 # DEPENDENCYPART_GRANDPAR
(30,34),(34,26),-0.966866 # DEPENDENCYPART_GRANDPAR
(30,34),(34,27),-0.925543 # DEPENDENCYPART_GRANDPAR
(30,34),(34,28),-0.875793 # DEPENDENCYPART_GRANDPAR
(30,34),(34,30),-1.08126 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(30,34),(34,31),0.204968 # DEPENDENCYPART_GRANDPAR
(30,34),(34,33),0.117629 # DEPENDENCYPART_GRANDPAR
(31,3),(3,1),-0.191832 # DEPENDENCYPART_GRANDPAR
(31,3),(3,2),-0.114941 # DEPENDENCYPART_GRANDPAR
(31,3),(3,4),-0.319238 # DEPENDENCYPART_GRANDPAR
(31,3),(3,5),-0.420197 # DEPENDENCYPART_GRANDPAR
(31,3),(3,6),-0.0798185 # DEPENDENCYPART_GRANDPAR
(31,3),(3,7),-0.145479 # DEPENDENCYPART_GRANDPAR
(31,3),(3,8),-0.380642 # DEPENDENCYPART_GRANDPAR
(31,3),(3,9),-0.691346 # DEPENDENCYPART_GRANDPAR
(31,3),(3,10),-0.630203 # DEPENDENCYPART_GRANDPAR
(31,3),(3,11),-0.399191 # DEPENDENCYPART_GRANDPAR
(31,3),(3,12),-0.225153 # DEPENDENCYPART_GRANDPAR
(31,3),(3,13),-0.310783 # DEPENDENCYPART_GRANDPAR
(31,3),(3,14),0.636897 # DEPENDENCYPART_GRANDPAR
(31,3),(3,15),-0.137782 # DEPENDENCYPART_GRANDPAR
(31,3),(3,16),-0.0899603 # DEPENDENCYPART_GRANDPAR
(31,3),(3,18),-0.183196 # DEPENDENCYPART_GRANDPAR
(31,3),(3,19),0.684234 # DEPENDENCYPART_GRANDPAR
(31,3),(3,22),-0.350471 # DEPENDENCYPART_GRANDPAR
(31,3),(3,23),-0.136084 # DEPENDENCYPART_GRANDPAR
(31,3),(3,28),-0.161156 # DEPENDENCYPART_GRANDPAR
(31,3),(3,29),-0.0468107 # DEPENDENCYPART_GRANDPAR
(31,3),(3,32),0.0350652 # DEPENDENCYPART_GRANDPAR
(31,3),(3,35),0.043202 # DEPENDENCYPART_GRANDPAR
(31,20),(20,18),0.292001 # DEPENDENCYPART_GRANDPAR
(31,20),(20,19),1.13839 # DEPENDENCYPART_GRANDPAR
(31,20),(20,21),-0.221771 # DEPENDENCYPART_GRANDPAR
(31,21),(21,17),0.126054 # DEPENDENCYPART_GRANDPAR
(31,21),(21,20),-0.136329 # DEPENDENCYPART_GRANDPAR
(31,21),(21,23),-0.129655 # DEPENDENCYPART_GRANDPAR
(31,21),(21,29),-0.0141636 # DEPENDENCYPART_GRANDPAR
(31,22),(22,1),-0.17868 # DEPENDENCYPART_GRANDPAR
(31,22),(22,3),-0.0551139 # DEPENDENCYPART_GRANDPAR
(31,22),(22,4),-0.372714 # DEPENDENCYPART_GRANDPAR
(31,22),(22,5),-0.419548 # DEPENDENCYPART_GRANDPAR
(31,22),(22,8),-0.284223 # DEPENDENCYPART_GRANDPAR
(31,22),(22,12),-0.16228 # DEPENDENCYPART_GRANDPAR
(31,22),(22,13),-0.312706 # DEPENDENCYPART_GRANDPAR
(31,22),(22,15),0.0353825 # DEPENDENCYPART_GRANDPAR
(31,22),(22,17),0.112414 # DEPENDENCYPART_GRANDPAR
(31,22),(22,18),0.096919 # DEPENDENCYPART_GRANDPAR
(31,22),(22,19),0.935064 # DEPENDENCYPART_GRANDPAR
(31,22),(22,20),-0.13211 # DEPENDENCYPART_GRANDPAR
(31,22),(22,21),-0.236464 # DEPENDENCYPART_GRANDPAR
(31,22),(22,23),-0.104984 # DEPENDENCYPART_GRANDPAR
(31,22),(22,24),0.278174 # DEPENDENCYPART_GRANDPAR
(31,22),(22,25),0.0195779 # DEPENDENCYPART_GRANDPAR
(31,22),(22,26),0.0805432 # DEPENDENCYPART_GRANDPAR
(31,22),(22,27),0.092598 # DEPENDENCYPART_GRANDPAR
(31,22),(22,28),0.130959 # DEPENDENCYPART_GRANDPAR
(31,22),(22,29),0.00786909 # DEPENDENCYPART_GRANDPAR
(31,22),(22,31),-1.11994 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(31,22),(22,32),-0.00808023 # DEPENDENCYPART_GRANDPAR
(31,22),(22,34),-0.0565352 # DEPENDENCYPART_GRANDPAR
(31,24),(24,25),-0.202989 # DEPENDENCYPART_GRANDPAR
(31,25),(25,24),0.00193436 # DEPENDENCYPART_GRANDPAR
(31,25),(25,26),0.0638039 # DEPENDENCYPART_GRANDPAR
(31,25),(25,29),-0.00682841 # DEPENDENCYPART_GRANDPAR
(31,26),(26,24),0.0210413 # DEPENDENCYPART_GRANDPAR
(31,26),(26,25),-0.194126 # DEPENDENCYPART_GRANDPAR
(31,26),(26,27),0.0987228 # DEPENDENCYPART_GRANDPAR
(31,26),(26,28),0.137084 # DEPENDENCYPART_GRANDPAR
(31,26),(26,29),0.0092885 # DEPENDENCYPART_GRANDPAR
(31,26),(26,31),-1.12005 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(31,27),(27,24),-0.00763978 # DEPENDENCYPART_GRANDPAR
(31,27),(27,25),-0.210849 # DEPENDENCYPART_GRANDPAR
(31,27),(27,26),-0.139704 # DEPENDENCYPART_GRANDPAR
(31,27),(27,29),-0.0104442 # DEPENDENCYPART_GRANDPAR
(31,27),(27,31),-1.11991 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(31,28),(28,1),-0.154154 # DEPENDENCYPART_GRANDPAR
(31,28),(28,3),-0.0340306 # DEPENDENCYPART_GRANDPAR
(31,28),(28,8),-0.262061 # DEPENDENCYPART_GRANDPAR
(31,28),(28,12),-0.142536 # DEPENDENCYPART_GRANDPAR
(31,28),(28,20),-0.112685 # DEPENDENCYPART_GRANDPAR
(31,28),(28,21),-0.230867 # DEPENDENCYPART_GRANDPAR
(31,28),(28,22),-0.273588 # DEPENDENCYPART_GRANDPAR
(31,28),(28,23),-0.134206 # DEPENDENCYPART_GRANDPAR
(31,28),(28,24),0.0527317 # DEPENDENCYPART_GRANDPAR
(31,28),(28,25),-0.188871 # DEPENDENCYPART_GRANDPAR
(31,28),(28,26),-0.11753 # DEPENDENCYPART_GRANDPAR
(31,28),(28,27),-0.124587 # DEPENDENCYPART_GRANDPAR
(31,28),(28,29),-0.00454178 # DEPENDENCYPART_GRANDPAR
(31,28),(28,31),-1.11991 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(31,28),(28,32),-0.00805593 # DEPENDENCYPART_GRANDPAR
(31,28),(28,33),-0.0381488 # DEPENDENCYPART_GRANDPAR
(31,28),(28,34),-0.0565083 # DEPENDENCYPART_GRANDPAR
(31,30),(30,31),-1.14019 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(31,30),(30,32),-0.0291954 # DEPENDENCYPART_GRANDPAR
(31,30),(30,33),-0.0586899 # DEPENDENCYPART_GRANDPAR
(31,30),(30,34),-0.0770007 # DEPENDENCYPART_GRANDPAR
(31,32),(32,33),0.714188 # DEPENDENCYPART_GRANDPAR
(31,32),(32,34),0.705821 # DEPENDENCYPART_GRANDPAR
(31,33),(33,30),-0.396815 # DEPENDENCYPART_GRANDPAR
(31,33),(33,34),0.737104 # DEPENDENCYPART_GRANDPAR
(31,34),(34,20),-0.621859 # DEPENDENCYPART_GRANDPAR
(31,34),(34,24),-0.496576 # DEPENDENCYPART_GRANDPAR
(31,34),(34,25),-0.748435 # DEPENDENCYPART_GRANDPAR
(31,34),(34,26),-0.680872 # DEPENDENCYPART_GRANDPAR
(31,34),(34,27),-0.681051 # DEPENDENCYPART_GRANDPAR
(31,34),(34,28),-0.637243 # DEPENDENCYPART_GRANDPAR
(31,34),(34,30),-0.395969 # DEPENDENCYPART_GRANDPAR
(31,34),(34,31),-0.799538 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(31,34),(34,33),0.304106 # DEPENDENCYPART_GRANDPAR
(32,33),(33,30),0.070874 # DEPENDENCYPART_GRANDPAR
(32,33),(33,34),1.34294 # DEPENDENCYPART_GRANDPAR
(32,34),(34,20),-0.457764 # DEPENDENCYPART_GRANDPAR
(32,34),(34,24),-0.503601 # DEPENDENCYPART_GRANDPAR
(32,34),(34,25),-0.246331 # DEPENDENCYPART_GRANDPAR
(32,34),(34,26),-0.236527 # DEPENDENCYPART_GRANDPAR
(32,34),(34,27),-0.202718 # DEPENDENCYPART_GRANDPAR
(32,34),(34,28),-0.256167 # DEPENDENCYPART_GRANDPAR
(32,34),(34,30),0.0719765 # DEPENDENCYPART_GRANDPAR
(32,34),(34,31),0.2827 # DEPENDENCYPART_GRANDPAR
(32,34),(34,33),1.01095 # DEPENDENCYPART_GRANDPAR
(33,30),(30,31),-0.55647 # DEPENDENCYPART_GRANDPAR
(33,30),(30,32),-0.459026 # DEPENDENCYPART_GRANDPAR
(33,30),(30,33),-1.7311 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(33,30),(30,34),-0.507575 # DEPENDENCYPART_GRANDPAR
(33,34),(34,20),-0.995267 # DEPENDENCYPART_GRANDPAR
(33,34),(34,24),-0.920493 # DEPENDENCYPART_GRANDPAR
(33,34),(34,25),-1.20892 # DEPENDENCYPART_GRANDPAR
(33,34),(34,26),-1.19779 # DEPENDENCYPART_GRANDPAR
(33,34),(34,27),-1.17366 # DEPENDENCYPART_GRANDPAR
(33,34),(34,28),-1.09415 # DEPENDENCYPART_GRANDPAR
(33,34),(34,30),-0.835534 # DEPENDENCYPART_GRANDPAR
(33,34),(34,31),-1.00643 # DEPENDENCYPART_GRANDPAR
(33,34),(34,33),-1.38494 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(34,20),(20,18),0.155822 # DEPENDENCYPART_GRANDPAR
(34,20),(20,19),1.19564 # DEPENDENCYPART_GRANDPAR
(34,20),(20,21),-0.323354 # DEPENDENCYPART_GRANDPAR
(34,24),(24,25),-0.253891 # DEPENDENCYPART_GRANDPAR
(34,25),(25,24),0.152061 # DEPENDENCYPART_GRANDPAR
(34,25),(25,26),-0.0120885 # DEPENDENCYPART_GRANDPAR
(34,25),(25,29),0.196269 # DEPENDENCYPART_GRANDPAR
(34,26),(26,24),0.171168 # DEPENDENCYPART_GRANDPAR
(34,26),(26,25),-0.23791 # DEPENDENCYPART_GRANDPAR
(34,26),(26,27),0.0255247 # DEPENDENCYPART_GRANDPAR
(34,26),(26,28),0.0650123 # DEPENDENCYPART_GRANDPAR
(34,26),(26,29),0.212454 # DEPENDENCYPART_GRANDPAR
(34,26),(26,31),0.0975872 # DEPENDENCYPART_GRANDPAR
(34,27),(27,24),0.142487 # DEPENDENCYPART_GRANDPAR
(34,27),(27,25),-0.254633 # DEPENDENCYPART_GRANDPAR
(34,27),(27,26),-0.210217 # DEPENDENCYPART_GRANDPAR
(34,27),(27,29),0.192654 # DEPENDENCYPART_GRANDPAR
(34,27),(27,31),0.0675773 # DEPENDENCYPART_GRANDPAR
(34,28),(28,1),-0.231655 # DEPENDENCYPART_GRANDPAR
(34,28),(28,3),-0.0831318 # DEPENDENCYPART_GRANDPAR
(34,28),(28,8),-0.296186 # DEPENDENCYPART_GRANDPAR
(34,28),(28,12),-0.11231 # DEPENDENCYPART_GRANDPAR
(34,28),(28,20),-0.0399233 # DEPENDENCYPART_GRANDPAR
(34,28),(28,21),-0.322647 # DEPENDENCYPART_GRANDPAR
(34,28),(28,22),-0.33598 # DEPENDENCYPART_GRANDPAR
(34,28),(28,23),-0.0640709 # DEPENDENCYPART_GRANDPAR
(34,28),(28,24),0.202859 # DEPENDENCYPART_GRANDPAR
(34,28),(28,25),-0.232655 # DEPENDENCYPART_GRANDPAR
(34,28),(28,26),-0.188043 # DEPENDENCYPART_GRANDPAR
(34,28),(28,27),-0.19515 # DEPENDENCYPART_GRANDPAR
(34,28),(28,29),0.200087 # DEPENDENCYPART_GRANDPAR
(34,28),(28,31),0.0617579 # DEPENDENCYPART_GRANDPAR
(34,28),(28,32),0.135009 # DEPENDENCYPART_GRANDPAR
(34,28),(28,33),0.204245 # DEPENDENCYPART_GRANDPAR
(34,28),(28,34),-1.36445 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(34,30),(30,31),-0.0994648 # DEPENDENCYPART_GRANDPAR
(34,30),(30,32),0.0368759 # DEPENDENCYPART_GRANDPAR
(34,30),(30,33),0.0498941 # DEPENDENCYPART_GRANDPAR
(34,30),(30,34),-1.38493 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(34,31),(31,3),-0.140753 # DEPENDENCYPART_GRANDPAR
(34,31),(31,20),-0.131527 # DEPENDENCYPART_GRANDPAR
(34,31),(31,21),-0.444578 # DEPENDENCYPART_GRANDPAR
(34,31),(31,22),-0.44709 # DEPENDENCYPART_GRANDPAR
(34,31),(31,24),0.120527 # DEPENDENCYPART_GRANDPAR
(34,31),(31,25),-0.353048 # DEPENDENCYPART_GRANDPAR
(34,31),(31,26),-0.309315 # DEPENDENCYPART_GRANDPAR
(34,31),(31,27),-0.30356 # DEPENDENCYPART_GRANDPAR
(34,31),(31,28),-0.258849 # DEPENDENCYPART_GRANDPAR
(34,31),(31,30),0.297406 # DEPENDENCYPART_GRANDPAR
(34,31),(31,32),0.0293448 # DEPENDENCYPART_GRANDPAR
(34,31),(31,33),0.0616573 # DEPENDENCYPART_GRANDPAR
(34,31),(31,34),-1.38503 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(34,33),(33,30),0.294793 # DEPENDENCYPART_GRANDPAR
(34,33),(33,34),-1.38578 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(35,34),(34,20),-0.00808648 # DEPENDENCYPART_GRANDPAR
(35,34),(34,24),0.667118 # DEPENDENCYPART_GRANDPAR
(35,34),(34,25),0.79932 # DEPENDENCYPART_GRANDPAR
(35,34),(34,26),0.669219 # DEPENDENCYPART_GRANDPAR
(35,34),(34,27),0.650834 # DEPENDENCYPART_GRANDPAR
(35,34),(34,28),0.616141 # DEPENDENCYPART_GRANDPAR
(35,34),(34,30),0.267134 # DEPENDENCYPART_GRANDPAR
(35,34),(34,31),0.224447 # DEPENDENCYPART_GRANDPAR
(35,34),(34,33),0.0760152 # DEPENDENCYPART_GRANDPAR
(0,3),(3,3),(3,4),-0.0437873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,5),-0.0112253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,6),-0.106678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,7),-0.0486797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,8),-0.0426002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,9),-0.0619243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,10),-0.0619243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,11),-0.125971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,12),-0.0600377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,13),-0.0109567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,14),0.0936525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,15),-0.0501747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,16),-0.0585177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,18),-0.0105006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,19),0.0936525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,22),-0.0619243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,23),-0.125971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,28),-0.0633059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,29),-0.122445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,32),-0.0977464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,35),-0.0563777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,36),-0.0948799 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,5),-0.048395 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,6),-0.0425598 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,7),-0.0422001 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,9),-0.0387139 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,10),-0.0387139 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,11),-0.03754 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,12),-0.0419898 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,13),-0.048395 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,14),-0.0451083 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,16),-0.0281424 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,19),-0.0451083 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,22),-0.0387139 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,23),-0.03754 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,28),-0.0387139 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,29),-0.0327155 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,32),-0.0496284 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,35),-0.063986 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,36),-0.0523539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,5),(3,6),-0.0295226 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,7),-0.0446619 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,9),-0.0485169 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,10),-0.0485169 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,11),-0.0670894 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,12),-0.0347659 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,13),-0.0305322 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,14),-0.0314876 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,15),-0.0340934 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,16),-0.0438238 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,18),-0.0420974 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,19),-0.0314876 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,22),-0.0485169 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,23),-0.0670894 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,28),-0.0485169 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,29),-0.0367552 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,32),-0.0308342 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,35),-0.0243183 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,36),-0.0896908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,6),(3,7),-0.0435433 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,9),-0.042856 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,10),-0.042856 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,11),-0.0559448 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,12),-0.0464461 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,13),-0.0444076 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,14),-0.0435633 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,15),-0.0222377 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,16),-0.0425684 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,18),-0.0425935 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,19),-0.0435633 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,22),-0.042856 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,23),-0.0559448 # DEPENDENCYPART_GRANDSIBL
