# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,12,16,16,12,10,10,18,21,23,21,18,10,
(3,5),(5,10),(5,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,25),-0.0457459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,12),(5,13),-0.042061 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,25),-0.0640563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,13),(5,18),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,25),-0.0439947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,18),(5,25),-0.0429804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,4),0.0738609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,3),0.108565 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,-1),0.0759934 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,4),(5,3),0.103059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,4),(5,-1),-0.0923297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,3),(5,-1),-0.0582831 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,7),-0.00372708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,8),-0.00372675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,10),-0.0435995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,13),0.0500198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,25),0.0603133 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,7),(6,8),-0.0420698 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,13),-0.0436361 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,25),-0.00171024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,8),(6,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,13),-0.0436359 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,25),-0.0017101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,10),(6,13),-0.0420263 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,25),-0.0453351 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,13),(6,25),-0.0344977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,5),0.110401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,4),0.0902164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,3),0.0983148 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,2),-0.0643268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,-1),0.0656174 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,5),(6,4),0.102785 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,3),0.103067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,5),(6,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,-1),-0.0571857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,4),(6,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,4),(6,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,4),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,4),(6,-1),-0.0839337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,3),(6,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,3),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,3),(6,-1),-0.0720811 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,2),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,2),(6,-1),-0.0720811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,1),(6,-1),-0.0571314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,8),0.0101902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,9),-0.0509743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,10),-0.0435986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,11),-0.0476058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,12),-0.0403416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,13),0.0508557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,17),0.0508557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,18),-0.0436844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,25),0.0511636 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,8),(7,9),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,11),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,12),-0.0420422 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,13),-0.0436359 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,17),-0.0436359 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,25),0.0122068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,9),(7,10),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,12),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,13),-0.0420718 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,17),-0.0420718 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,18),-0.0420712 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,25),-0.0501506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,10),(7,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,13),-0.0420263 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,17),-0.0420263 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,25),-0.0453341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,11),(7,12),-0.0420177 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,13),-0.0429465 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,17),-0.0429465 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,11),(7,25),-0.047586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,12),(7,13),-0.0422993 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,17),-0.0422993 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,18),-0.0420135 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,25),-0.0389592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,13),(7,17),-0.0420599 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,13),(7,18),-0.0399557 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,13),(7,25),-0.0344975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,17),(7,18),-0.0399557 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,17),(7,25),-0.0344975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,18),(7,25),-0.0408332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,6),0.120148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,5),0.110401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,4),0.0902383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,3),0.0985005 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,7),(7,2),-0.0643268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,-1),0.0742107 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,6),(7,5),0.103069 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,4),0.103067 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,3),0.103068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,6),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,-1),-0.0592158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,5),(7,4),0.102785 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,5),(7,3),0.103067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,5),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,5),(7,-1),-0.0571857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,4),(7,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,4),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,4),(7,-1),-0.0839337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,3),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,3),(7,-1),-0.071895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,2),(7,-1),-0.071895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,10),-0.0435986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,12),-0.0403416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,25),0.0533779 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,10),(8,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,25),-0.0453341 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,12),(8,25),-0.0389592 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,7),0.120149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,6),0.120149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,5),0.110401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,3),0.0985003 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,8),(8,-1),0.0588418 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,7),(8,6),0.10271 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,5),0.103069 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,3),0.103068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,7),(8,-1),-0.0592158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,6),(8,5),0.103069 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,3),0.103068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,6),(8,-1),-0.0592158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,5),(8,3),0.103067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,5),(8,-1),-0.0571857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,3),(8,-1),-0.0718946 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,9),(9,10),-0.0455661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,11),-0.0545782 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,12),-0.0612762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,13),0.0273381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,16),-0.0611466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,17),0.0273381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,18),-0.0429824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,24),-0.042056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,25),-0.0594087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,10),(9,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,13),-0.0422084 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,17),-0.0422084 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,25),-0.0465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,11),(9,12),-0.0420125 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,13),-0.0340157 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,16),-0.0420125 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,17),-0.0340157 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,25),-0.0647347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,12),(9,13),-0.0478647 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,16),-0.0426275 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,17),-0.0478647 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,18),-0.0421164 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,25),-0.0353013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,13),(9,16),-0.0299163 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,17),-0.0426144 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,18),-0.0516574 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,25),-0.0514671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,16),(9,17),-0.0473803 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,16),(9,18),-0.0421164 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,16),(9,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,16),(9,25),-0.0364906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,17),(9,18),-0.0516574 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,25),-0.0514671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,18),(9,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,18),(9,25),-0.0506632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,24),(9,25),-0.0420452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,8),0.125369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,7),0.125368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,6),0.125369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,5),0.111603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,4),0.117016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,3),0.10459 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,9),(9,2),-0.0642891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,-1),-0.0767493 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,8),(9,7),0.0890314 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,6),0.089024 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,5),0.109201 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,4),0.102639 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,3),0.10172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,8),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,-1),-0.0670202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,7),(9,6),0.089024 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,5),0.109201 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,4),0.102639 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,3),0.10172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,7),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,-1),-0.0670213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,6),(9,5),0.109201 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,4),0.102639 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,3),0.10172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,6),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,-1),-0.0670298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,4),0.10233 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,3),0.104583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,-1),-0.0366553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,4),(9,3),0.102896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,4),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,4),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,4),(9,-1),-0.0565894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,3),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,3),(9,1),-0.0641499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,3),(9,-1),-0.0907762 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,2),(9,1),-0.0641499 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,2),(9,-1),-0.0907752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,1),(9,-1),-0.0214776 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,11),-0.0323562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,12),-0.0216873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,13),-0.0477298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,14),-0.0419363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,15),-0.0526367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,16),-0.0279845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,17),-0.0477298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,18),-0.0466726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,19),-0.0368558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,21),-0.0280059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,22),-0.0422707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,23),-0.0374371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,24),-0.0420996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,25),-0.106296 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,11),(10,12),-0.0426709 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,13),-0.043183 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,16),-0.0424418 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,17),-0.043183 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,21),-0.0424418 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,23),-0.0420124 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,25),-0.0526619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,12),(10,13),-0.0381057 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,15),-0.0427351 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,16),-0.0422559 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,17),-0.0381057 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,18),-0.0400302 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,19),-0.0420936 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,21),-0.0422416 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,22),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,23),-0.0432287 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,24),-0.0504568 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,25),-0.0660803 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,13),(10,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,15),-0.0423467 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,16),-0.0364517 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,17),-0.042589 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,18),-0.0465247 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,21),-0.0364515 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,22),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,23),-0.0421015 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,25),-0.0660475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,14),(10,15),-0.0424398 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,16),-0.0420768 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,17),-0.0421298 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,18),-0.042087 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,21),-0.0420768 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,25),-0.0403956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,15),(10,16),-0.0436319 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,17),-0.0446056 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,18),-0.0375151 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,19),-0.0420126 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,21),-0.0436319 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,23),-0.0422161 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,24),-0.0433169 # DEPENDENCYPART_GRANDSIBL
