# _root_ Security Pacific 's loan-loss provision was down 22 % , or $ 30.4 million , because it added to its foreign-debt reserve the year before .
#goldHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,9,6,18,16,18,22,22,19,24,25,18,6,
#predictedHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,6,6,18,16,18,22,22,19,24,25,18,6,
(5,6),(6,6),(6,22),-0.0419938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,24),-0.0361362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,25),-0.0696598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,26),-0.0420187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,27),0.0153874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,7),(6,8),-0.0425647 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,9),-0.0413258 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,10),-0.0307555 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,11),-0.0403886 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,12),-0.0420194 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,15),-0.0307555 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,16),-0.0474146 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,17),-0.0424665 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,18),-0.0372235 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,19),-0.0422754 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,21),-0.0349576 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,22),-0.0412431 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,24),-0.0376152 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,25),-0.0245446 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,26),-0.0429288 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,27),-0.0691641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,8),(6,9),-0.0422281 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,10),-0.0432197 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,11),-0.0424758 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,15),-0.0432197 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,16),-0.0433617 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,19),-0.0425435 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,21),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,22),-0.0421734 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,24),-0.0421773 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,25),-0.0421208 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,26),-0.0420199 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,27),-0.0250244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,9),(6,10),-0.0326547 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,11),-0.0356637 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,12),-0.0431148 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,15),-0.0326547 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,16),-0.0323344 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,17),-0.0420605 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,18),-0.0446878 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,19),-0.0292927 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,21),-0.0459586 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,22),-0.0343817 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,24),-0.0307028 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,25),-0.0262923 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,26),-0.0428217 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,27),-0.0994549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,10),(6,11),-0.0553494 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,12),-0.0425959 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,15),-0.0423712 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,16),-0.0491861 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,17),-0.042071 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,18),-0.0316598 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,19),-0.0392837 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,21),-0.0423369 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,22),-0.0293467 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,24),-0.0293573 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,25),-0.0300744 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,27),-0.0427879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,11),(6,12),-0.042018 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,15),-0.0309106 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,16),-0.0483592 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,17),-0.0420449 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,18),-0.0423249 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,19),-0.0420515 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,21),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,22),-0.0381984 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,24),-0.0383851 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,25),-0.0394519 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,26),-0.042694 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,27),-0.0531668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,12),(6,15),-0.045948 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,16),-0.0338645 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,17),-0.0364911 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,19),-0.0648594 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,21),-0.0420364 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,22),-0.0439583 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,24),-0.044781 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,25),-0.0383903 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,27),-0.0627871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,15),(6,16),-0.0491861 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,17),-0.042071 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,18),-0.0316598 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,19),-0.0392837 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,21),-0.0423369 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,22),-0.0293467 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,24),-0.0293573 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,25),-0.0300744 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,27),-0.0427879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,16),(6,17),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,18),-0.0456404 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,19),-0.0531085 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,21),-0.0433219 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,22),-0.0350658 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,24),-0.0336283 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,25),-0.0424134 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,26),-0.0432972 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,16),(6,27),0.016258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,17),(6,18),-0.0436099 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,19),-0.0493394 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,21),-0.0431906 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,22),-0.0406767 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,24),-0.0406767 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,25),-0.0443876 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,26),-0.0432528 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,27),-0.0619903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,18),(6,19),-0.0420268 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,21),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,22),-0.0428901 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,24),-0.0428901 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,25),-0.0420355 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,27),-0.0468953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,19),(6,21),-0.0423626 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,22),-0.0509772 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,24),-0.0511302 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,25),-0.0383699 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,26),-0.0459934 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,27),-0.033767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,21),(6,22),-0.0425832 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,24),-0.040235 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,25),-0.0422454 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,26),-0.0423423 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,21),(6,27),-0.00919601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,22),(6,24),-0.030594 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,22),(6,25),-0.0262923 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,22),(6,26),-0.0428217 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,22),(6,27),-0.0894502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,24),(6,25),-0.0269595 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,24),(6,26),-0.0428217 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,24),(6,27),-0.0747849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,25),(6,26),-0.0429288 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,25),(6,27),-0.052174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,26),(6,27),-0.0585553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,5),0.117864 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,6),(6,4),-0.0656844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,3),-0.0643788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,2),-0.0698831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,1),-0.069881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,-1),-0.117095 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,5),(6,4),-0.0643007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,3),-0.0642511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,2),-0.0643681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,1),-0.0643681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,-1),-0.0878372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,4),(6,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,-1),-0.0942012 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,3),(6,2),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,1),-0.0641491 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,-1),-0.068487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,2),(6,1),-0.0642932 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,2),(6,-1),-0.0225712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,1),(6,-1),-0.0223931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,8),-0.0630403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,9),-0.0713991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,10),-0.0264449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,11),-0.0699918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,12),-0.0315618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,13),-0.0630403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,14),-0.0630425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,15),-0.0264449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,16),-0.0227295 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,18),-0.0480657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,19),0.00923116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,22),-0.0698099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,24),-0.0813848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,25),0.0075027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,26),-0.0473925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,27),-0.0210538 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,8),(7,9),-0.0448973 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,10),-0.0427441 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,11),-0.0421419 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,13),-0.0426502 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,14),-0.0426833 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,15),-0.0427441 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,16),-0.0445449 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,19),-0.0420695 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,22),-0.0440574 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,24),-0.0440574 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,25),-0.0336918 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,27),-0.0627468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,9),(7,10),-0.0318924 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,11),-0.0420917 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,12),-0.0420129 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,13),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,14),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,15),-0.0318924 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,16),-0.0414837 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,19),-0.0448487 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,22),-0.0420313 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,24),-0.0420321 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,25),-0.0440054 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,27),0.0631314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,10),(7,11),-0.0414407 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,13),-0.0420734 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,14),-0.0420734 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,16),-0.0545832 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,18),-0.0478267 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,19),-0.044228 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,22),-0.050365 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,24),-0.0503678 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,25),-0.043776 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,27),0.00946179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,11),(7,12),-0.0420166 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,13),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,14),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,15),-0.0364265 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,16),-0.0402709 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,18),-0.0420205 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,19),-0.043031 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,22),-0.0420263 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,24),-0.0420263 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,25),-0.0426526 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,26),-0.0422646 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,11),(7,27),-0.0806308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,12),(7,13),-0.0425682 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,14),-0.0425682 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,15),-0.0420653 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,16),-0.0423543 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,19),-0.0413217 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,22),-0.0318542 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,24),-0.0318555 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,12),(7,27),-0.0470724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,13),(7,14),-0.0426833 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,15),-0.0427441 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,16),-0.0445449 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,19),-0.0420695 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,22),-0.0440574 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,24),-0.0440574 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,25),-0.0336918 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,13),(7,27),-0.0627468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,14),(7,15),-0.0427457 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,14),(7,16),-0.0445474 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,14),(7,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,14),(7,19),-0.0420893 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,14),(7,22),-0.0440574 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,14),(7,24),-0.0440574 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,14),(7,25),-0.0336952 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,14),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,14),(7,27),-0.062762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,15),(7,16),-0.0545832 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,18),-0.0478267 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,19),-0.044228 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,22),-0.050365 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,24),-0.0503678 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,25),-0.043776 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,15),(7,27),0.00946179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,16),(7,18),-0.0427477 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,19),-0.0581488 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,22),0.0240114 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,24),0.0222794 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,25),-0.0498928 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,16),(7,27),-0.121433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,18),(7,19),-0.0420355 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,22),-0.0420126 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,24),-0.0420126 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,25),-0.0420123 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,18),(7,27),-0.0547822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,19),(7,22),-0.04413 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,19),(7,24),-0.0441339 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,19),(7,25),-0.0424191 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,19),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,19),(7,27),-0.0204181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,22),(7,24),-0.0420266 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,22),(7,25),-0.0440054 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,22),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,22),(7,27),0.0646175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,24),(7,25),-0.0440054 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,24),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,24),(7,27),0.0492249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,25),(7,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,25),(7,27),-0.0160552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,26),(7,27),-0.0463378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,5),0.091835 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,7),(7,-1),-0.138183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,5),(7,-1),-0.0554884 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,8),(8,9),-0.0673036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,10),-0.0436057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,11),-0.0593515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,12),-0.0468742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,27),0.0745143 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,9),(8,10),-0.0445799 # DEPENDENCYPART_GRANDSIBL
