# _root_ J.P. Morgan & Co. swung to a loss in the third quarter , while NCNB Corp. reported net income more than doubled , and Security Pacific Corp. net rose 10 % .
#goldHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,17,17,28,28,28,29,24,31,29,5,
#predictedHeads=2,5,2,3,0,5,8,6,5,12,12,9,5,5,17,15,14,19,22,22,20,17,22,22,28,28,28,29,24,31,29,5,
(29,29),(29,12),-0.640542 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,9),-0.624228 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,8),-0.23981 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,5),-0.800181 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,3),-0.462303 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,2),-0.29817 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,1),-0.541291 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,-1),-1.07411 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(29,28),(29,27),-0.267073 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,26),-0.650005 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,25),-0.9558 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,23),-0.862994 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,22),-1.09266 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,21),-0.805384 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,20),-1.04435 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,19),-1.24983 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,18),-1.13294 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,16),-1.24552 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,15),-1.21695 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,14),-0.479908 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,13),-1.6736 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,12),-1.26009 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,9),-0.377631 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,8),-1.34984 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,5),-0.739138 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,3),-1.5774 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,2),-1.36643 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,1),-1.3048 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,-1),-1.53869 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,27),(29,26),-0.520262 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,25),-0.911798 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,23),-1.10708 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,22),-0.871067 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,21),-0.89278 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,20),-1.22063 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,19),-1.32804 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,18),-1.31286 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,16),-1.59261 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,15),-1.28648 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,14),-0.572276 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,13),-1.78111 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,12),-1.48958 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,9),-0.545373 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,8),-1.61049 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,5),-0.528614 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,3),-1.6677 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,2),-1.4906 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,1),-1.2298 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,-1),-1.37856 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,26),(29,25),-0.361061 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,23),-0.900544 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,22),-0.660617 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,21),-0.579793 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,20),-1.03933 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,19),-1.04188 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,18),-1.1024 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,16),-1.34761 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,15),-1.19169 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,14),-0.374607 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,13),-1.57186 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,12),-1.25485 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,9),-0.262205 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,8),-1.3819 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,5),-0.293286 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,3),-1.45861 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,2),-1.24654 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,1),-1.12252 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,-1),-0.852287 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,25),(29,23),-1.12874 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,22),-0.97822 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,21),-0.880463 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,20),-1.19048 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,19),-1.32682 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,18),-1.43798 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,16),-1.87383 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,15),-1.71369 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,14),-0.735756 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,13),-2.06789 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,12),-1.47879 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,9),-0.54852 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,8),-1.6167 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,5),-0.746085 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,3),-1.80417 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,2),-1.85227 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,1),-1.64677 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,-1),-1.23765 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,23),(29,22),-0.770799 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,21),-0.818474 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,20),-1.11391 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,19),-1.16553 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,18),-1.08958 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,16),-1.49006 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,15),-1.37411 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,14),0.357751 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,13),-2.23666 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,12),-1.11563 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,9),-1.22121 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,8),-1.09233 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,5),0.0172052 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,3),-2.1106 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,2),-1.26119 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,1),-1.29439 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,-1),-1.45838 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,22),(29,21),-0.883986 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,20),-1.12184 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,19),-1.0866 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,18),-1.29965 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,16),-1.42275 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,15),-1.32081 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,14),-1.05104 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,13),-1.5393 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,12),-1.17334 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,9),-0.853244 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,8),-1.09782 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,5),-1.10025 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,3),-1.40634 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,2),-1.18832 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,1),-1.11472 # DEPENDENCYPART_NEXTSIBL
(29,22),(29,-1),-1.25532 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,21),(29,20),-0.486759 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,19),-0.752328 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,18),-1.07976 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,16),-1.06712 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,15),-1.14858 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,14),-1.0194 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,13),-1.56423 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,12),-0.887664 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,9),-0.917938 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,8),-0.821441 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,5),-0.920957 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,3),-1.37937 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,2),-1.0913 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,1),-1.16244 # DEPENDENCYPART_NEXTSIBL
(29,21),(29,-1),-1.07409 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,20),(29,19),-0.150398 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,18),-0.880137 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,16),-0.87006 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,15),-0.834741 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,14),-0.759543 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,13),-1.21589 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,12),-0.570469 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,9),-0.576112 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,8),-0.355035 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,5),-0.695802 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,3),-1.08218 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,2),-0.762721 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,1),-0.736848 # DEPENDENCYPART_NEXTSIBL
(29,20),(29,-1),-0.646309 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,19),(29,18),-0.601356 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,16),-1.18502 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,15),-1.17494 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,14),-0.982193 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,13),-1.51879 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,12),-1.45636 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,9),-0.969104 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,8),-1.42214 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,5),-0.976525 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,3),-1.5438 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,2),-1.49277 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,1),-1.45128 # DEPENDENCYPART_NEXTSIBL
(29,19),(29,-1),-0.545332 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,18),(29,16),-1.0334 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,15),-1.35378 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,14),-0.990652 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,13),-1.17155 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,12),-1.52 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,9),-0.893303 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,8),-1.44883 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,5),-1.15159 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,3),-1.63529 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,2),-1.66361 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,1),-1.77848 # DEPENDENCYPART_NEXTSIBL
(29,18),(29,-1),-1.50188 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,16),(29,15),-0.970688 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,14),-0.875225 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,13),-1.0441 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,12),-1.12996 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,9),-0.669792 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,8),-1.4347 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,5),-0.645393 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,3),-1.4839 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,2),-1.59279 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,1),-1.44909 # DEPENDENCYPART_NEXTSIBL
(29,16),(29,-1),-0.859924 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,15),(29,14),-0.923516 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,13),-1.1437 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,12),-1.2804 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,9),-0.909795 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,8),-1.58565 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,5),-0.920603 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,3),-1.73307 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,2),-1.78486 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,1),-1.66554 # DEPENDENCYPART_NEXTSIBL
(29,15),(29,-1),-0.88008 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,14),(29,13),-0.70536 # DEPENDENCYPART_NEXTSIBL
(29,14),(29,12),-0.746219 # DEPENDENCYPART_NEXTSIBL
(29,14),(29,9),-0.863859 # DEPENDENCYPART_NEXTSIBL
(29,14),(29,8),-0.910658 # DEPENDENCYPART_NEXTSIBL
(29,14),(29,5),-0.965531 # DEPENDENCYPART_NEXTSIBL
(29,14),(29,3),-1.38029 # DEPENDENCYPART_NEXTSIBL
(29,14),(29,2),-1.01515 # DEPENDENCYPART_NEXTSIBL
(29,14),(29,1),-1.04632 # DEPENDENCYPART_NEXTSIBL
(29,14),(29,-1),-0.589144 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,13),(29,12),-0.727107 # DEPENDENCYPART_NEXTSIBL
(29,13),(29,9),-1.10701 # DEPENDENCYPART_NEXTSIBL
(29,13),(29,8),-1.28304 # DEPENDENCYPART_NEXTSIBL
(29,13),(29,5),-0.522785 # DEPENDENCYPART_NEXTSIBL
(29,13),(29,3),-2.03659 # DEPENDENCYPART_NEXTSIBL
(29,13),(29,2),-1.19371 # DEPENDENCYPART_NEXTSIBL
(29,13),(29,1),-1.18321 # DEPENDENCYPART_NEXTSIBL
(29,13),(29,-1),-1.43047 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,12),(29,9),-0.727964 # DEPENDENCYPART_NEXTSIBL
(29,12),(29,8),-1.1651 # DEPENDENCYPART_NEXTSIBL
(29,12),(29,5),-0.946632 # DEPENDENCYPART_NEXTSIBL
(29,12),(29,3),-1.21772 # DEPENDENCYPART_NEXTSIBL
(29,12),(29,2),-1.25871 # DEPENDENCYPART_NEXTSIBL
(29,12),(29,1),-1.23404 # DEPENDENCYPART_NEXTSIBL
(29,12),(29,-1),-0.602973 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,9),(29,8),-0.655112 # DEPENDENCYPART_NEXTSIBL
(29,9),(29,5),-0.982757 # DEPENDENCYPART_NEXTSIBL
(29,9),(29,3),-1.32844 # DEPENDENCYPART_NEXTSIBL
(29,9),(29,2),-1.00779 # DEPENDENCYPART_NEXTSIBL
(29,9),(29,1),-1.01532 # DEPENDENCYPART_NEXTSIBL
(29,9),(29,-1),-0.902949 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,8),(29,5),-1.0105 # DEPENDENCYPART_NEXTSIBL
(29,8),(29,3),-1.0189 # DEPENDENCYPART_NEXTSIBL
(29,8),(29,2),-1.3815 # DEPENDENCYPART_NEXTSIBL
(29,8),(29,1),-1.29785 # DEPENDENCYPART_NEXTSIBL
(29,8),(29,-1),-0.834221 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,5),(29,3),-1.05828 # DEPENDENCYPART_NEXTSIBL
(29,5),(29,2),-1.20387 # DEPENDENCYPART_NEXTSIBL
(29,5),(29,1),-1.19434 # DEPENDENCYPART_NEXTSIBL
(29,5),(29,-1),-0.938948 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,3),(29,2),-0.960535 # DEPENDENCYPART_NEXTSIBL
(29,3),(29,1),-1.14752 # DEPENDENCYPART_NEXTSIBL
(29,3),(29,-1),-0.755618 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,2),(29,1),-0.967292 # DEPENDENCYPART_NEXTSIBL
(29,2),(29,-1),-0.689072 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,1),(29,-1),-0.836845 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(30,30),(30,31),-0.318744 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(30,30),(30,33),-0.715527 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(30,31),(30,33),-1.02998 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(30,30),(30,28),-0.124679 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(30,30),(30,-1),-0.662656 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(30,28),(30,-1),-1.62875 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,31),(31,33),-0.588537 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(31,31),(31,30),-0.955928 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,28),0.0627157 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,27),-0.476974 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,26),-0.515623 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,25),-0.506463 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,-1),-0.967005 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(31,30),(31,28),-0.876488 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,27),-1.28153 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,26),-1.3185 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,25),-1.31289 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,-1),-0.611357 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,28),(31,27),-0.117119 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,26),-0.563692 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,25),-0.864541 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,-1),-1.43508 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,27),(31,26),-0.338524 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,25),-0.726069 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,-1),-1.35847 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,26),(31,25),-0.232631 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,-1),-0.995524 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,25),(31,-1),-1.38275 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(32,32),(32,33),-0.372523 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(32,32),(32,-1),-0.174462 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(1,2),1.16736 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.223878 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.0207145 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.79288 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),0.249233 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),0.460495 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.735611 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.216012 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.00743617 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.787187 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.378328 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.247952 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),0.454299 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),0.0725378 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),0.893257 # DEPENDENCYPART_GRANDPAR
(0,2),(2,14),0.515828 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),0.640062 # DEPENDENCYPART_GRANDPAR
(0,2),(2,20),-0.0798556 # DEPENDENCYPART_GRANDPAR
(0,2),(2,23),1.09031 # DEPENDENCYPART_GRANDPAR
(0,2),(2,24),-0.0445921 # DEPENDENCYPART_GRANDPAR
(0,2),(2,32),2.34139 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.811559 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.773899 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.0321218 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.573113 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),0.535763 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),0.238101 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.314241 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),0.563124 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.145569 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),0.839742 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),0.664784 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),-0.0225698 # DEPENDENCYPART_GRANDPAR
(0,5),(5,17),0.65338 # DEPENDENCYPART_GRANDPAR
(0,5),(5,20),-0.0426259 # DEPENDENCYPART_GRANDPAR
(0,5),(5,21),-0.735629 # DEPENDENCYPART_GRANDPAR
(0,5),(5,22),0.450148 # DEPENDENCYPART_GRANDPAR
(0,5),(5,23),1.03679 # DEPENDENCYPART_GRANDPAR
(0,5),(5,24),0.201707 # DEPENDENCYPART_GRANDPAR
(0,5),(5,32),2.46279 # DEPENDENCYPART_GRANDPAR
(0,17),(17,1),0.9359 # DEPENDENCYPART_GRANDPAR
(0,17),(17,2),0.89824 # DEPENDENCYPART_GRANDPAR
(0,17),(17,3),0.0383345 # DEPENDENCYPART_GRANDPAR
(0,17),(17,4),-0.451347 # DEPENDENCYPART_GRANDPAR
(0,17),(17,5),0.641648 # DEPENDENCYPART_GRANDPAR
(0,17),(17,6),0.201671 # DEPENDENCYPART_GRANDPAR
(0,17),(17,8),0.0171614 # DEPENDENCYPART_GRANDPAR
(0,17),(17,9),0.243156 # DEPENDENCYPART_GRANDPAR
(0,17),(17,11),-0.336585 # DEPENDENCYPART_GRANDPAR
(0,17),(17,12),-0.180145 # DEPENDENCYPART_GRANDPAR
(0,17),(17,13),1.16653 # DEPENDENCYPART_GRANDPAR
(0,17),(17,14),0.18849 # DEPENDENCYPART_GRANDPAR
(0,17),(17,15),-0.228433 # DEPENDENCYPART_GRANDPAR
(0,17),(17,16),-0.954983 # DEPENDENCYPART_GRANDPAR
(0,17),(17,18),-0.0505717 # DEPENDENCYPART_GRANDPAR
(0,17),(17,19),0.277433 # DEPENDENCYPART_GRANDPAR
(0,17),(17,20),-0.0969834 # DEPENDENCYPART_GRANDPAR
(0,17),(17,21),-0.820878 # DEPENDENCYPART_GRANDPAR
(0,17),(17,22),0.400311 # DEPENDENCYPART_GRANDPAR
(0,17),(17,23),0.968106 # DEPENDENCYPART_GRANDPAR
(0,17),(17,24),0.151711 # DEPENDENCYPART_GRANDPAR
(0,17),(17,25),0.25538 # DEPENDENCYPART_GRANDPAR
(0,17),(17,26),0.0967854 # DEPENDENCYPART_GRANDPAR
(0,17),(17,27),-1.06657 # DEPENDENCYPART_GRANDPAR
(0,17),(17,28),0.282155 # DEPENDENCYPART_GRANDPAR
(0,17),(17,29),0.0367857 # DEPENDENCYPART_GRANDPAR
(0,17),(17,31),0.108604 # DEPENDENCYPART_GRANDPAR
(0,17),(17,32),2.48891 # DEPENDENCYPART_GRANDPAR
(0,22),(22,1),0.858615 # DEPENDENCYPART_GRANDPAR
(0,22),(22,2),0.820955 # DEPENDENCYPART_GRANDPAR
(0,22),(22,3),0.00714269 # DEPENDENCYPART_GRANDPAR
(0,22),(22,4),-0.526057 # DEPENDENCYPART_GRANDPAR
(0,22),(22,5),0.577137 # DEPENDENCYPART_GRANDPAR
(0,22),(22,6),0.167021 # DEPENDENCYPART_GRANDPAR
(0,22),(22,8),0.0154941 # DEPENDENCYPART_GRANDPAR
(0,22),(22,9),0.220915 # DEPENDENCYPART_GRANDPAR
(0,22),(22,11),-0.369573 # DEPENDENCYPART_GRANDPAR
(0,22),(22,12),-0.18178 # DEPENDENCYPART_GRANDPAR
(0,22),(22,13),1.05965 # DEPENDENCYPART_GRANDPAR
(0,22),(22,14),0.167065 # DEPENDENCYPART_GRANDPAR
(0,22),(22,15),-0.305718 # DEPENDENCYPART_GRANDPAR
(0,22),(22,16),-1.02933 # DEPENDENCYPART_GRANDPAR
(0,22),(22,17),0.379063 # DEPENDENCYPART_GRANDPAR
(0,22),(22,18),-0.333486 # DEPENDENCYPART_GRANDPAR
(0,22),(22,19),0.107705 # DEPENDENCYPART_GRANDPAR
(0,22),(22,20),-0.131313 # DEPENDENCYPART_GRANDPAR
(0,22),(22,21),-0.985363 # DEPENDENCYPART_GRANDPAR
(0,22),(22,23),1.06051 # DEPENDENCYPART_GRANDPAR
(0,22),(22,24),0.225158 # DEPENDENCYPART_GRANDPAR
(0,22),(22,25),0.324003 # DEPENDENCYPART_GRANDPAR
(0,22),(22,26),0.165409 # DEPENDENCYPART_GRANDPAR
(0,22),(22,27),-0.996043 # DEPENDENCYPART_GRANDPAR
(0,22),(22,28),0.36987 # DEPENDENCYPART_GRANDPAR
(0,22),(22,29),0.110545 # DEPENDENCYPART_GRANDPAR
(0,22),(22,31),0.198256 # DEPENDENCYPART_GRANDPAR
