# _root_ For example , Halliburton jumped 3 1\/4 to 38 , Schlumberger rose 2 1\/2 to 43 1\/4 and Baker Hughes rose 1 1\/8 to 22 .
#goldHeads=0,1,1,5,1,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,1,
#predictedHeads=5,1,5,5,0,7,5,5,8,5,12,5,14,12,12,17,15,12,20,21,18,23,21,21,24,5,
(2,5),(5,11),(5,21),-0.0400733 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,23),-0.0365544 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,24),-0.0435619 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,26),-0.0423346 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,27),0.0108384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,12),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,15),-0.0420317 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,18),-0.0257636 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,20),-0.042015 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,21),-0.038895 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,24),-0.0420317 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,27),-0.0443987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,14),(5,15),-0.0439714 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,18),-0.0429405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,20),-0.0442739 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,21),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,23),-0.0422898 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,24),-0.0439714 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,26),-0.0420199 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,27),-0.0246913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,15),(5,18),-0.050655 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,20),-0.0385862 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,21),-0.0410796 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,23),-0.0429708 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,24),-0.0487268 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,26),-0.0459934 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,27),-0.0470171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,18),(5,20),-0.0423283 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,18),(5,21),-0.0424604 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,18),(5,23),-0.0421033 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,18),(5,24),-0.0420917 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,18),(5,26),-0.0430318 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,18),(5,27),-0.0562025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,20),(5,21),-0.0400733 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,20),(5,23),-0.0365544 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,20),(5,24),-0.0435619 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,20),(5,26),-0.0423346 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,20),(5,27),0.0108347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,21),(5,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,21),(5,24),-0.0420317 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,21),(5,26),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,21),(5,27),-0.0443987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,23),(5,24),-0.0438735 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,23),(5,26),-0.0420199 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,23),(5,27),-0.0244723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,24),(5,26),-0.0459934 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,24),(5,27),-0.0470171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,26),(5,27),-0.0575832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.123802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.104618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,1),-0.0722787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),-0.103619 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.0832885 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.100805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,4),(5,1),-0.0649245 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,-1),-0.0285784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.100567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,1),-0.0697336 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.108932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.0643031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,2),(5,-1),-0.105249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,1),(5,-1),-0.00356529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,7),-0.00340856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,8),0.0293397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,9),-0.00341477 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,10),-0.0436166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,11),-0.0115271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,12),-0.0422133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,27),0.0701107 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,7),(6,8),-0.0544878 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,9),-0.042946 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,10),-0.0440979 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,11),-0.0427395 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,27),-0.0479515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,8),(6,9),-0.073331 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,10),-0.043242 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,12),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,27),-0.0192958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,9),(6,10),-0.0440979 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,11),-0.0427395 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,27),-0.0502793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,10),(6,11),-0.0444794 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,12),-0.0435809 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,27),-0.0324721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,11),(6,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,27),-0.0175066 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,12),(6,27),-0.0373291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,5),0.102331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,4),0.0972788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,-1),-0.0167354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,5),(6,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,5),(6,-1),-0.0652702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,4),(6,-1),-0.0770236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,8),0.023912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,9),-0.0104529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,10),-0.0436057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,11),-0.0114823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,12),-0.0422133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,27),0.0751773 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,8),(7,9),-0.0792995 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,10),-0.043242 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,12),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,27),-0.0191793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,9),(7,10),-0.0440979 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,11),-0.0427395 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,27),-0.060614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,10),(7,11),-0.0444794 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,12),-0.0435809 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,27),-0.0324721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,11),(7,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,27),-0.0174618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,12),(7,27),-0.0373291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,6),0.0812822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,5),0.102331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,4),0.0974471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,3),0.078794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,1),-0.0641536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,-1),-0.0200964 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,6),(7,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,3),0.102603 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,1),-0.064147 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,-1),-0.0868029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,5),(7,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,3),0.103068 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,-1),-0.0652702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,4),(7,3),0.100884 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,-1),-0.0768553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,3),(7,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,3),(7,-1),-0.0608526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,1),(7,-1),-0.0952712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,9),-0.069436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,10),-0.0535359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,11),-0.0344296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,12),-0.0445333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,13),-0.0694333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,14),-0.0692238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,15),-0.0588082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,17),-0.0694404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,18),-0.0153061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,23),-0.0699189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,25),-0.0697066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,27),-0.152346 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,9),(8,10),-0.042101 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,11),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,13),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,14),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,15),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,17),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,18),-0.042074 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,23),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,25),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,27),-0.0593666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,10),(8,11),-0.042313 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,13),-0.042032 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,14),-0.042032 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,15),0.000947358 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,17),-0.042032 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,18),-0.0381583 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,23),-0.042032 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,25),-0.042032 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,27),-0.020212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,11),(8,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,13),-0.0420384 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,14),-0.0420384 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,15),-0.0448409 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,17),-0.0420384 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,18),-0.0474623 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,23),-0.0420384 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,25),-0.0420384 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,27),-4.50038e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,12),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,18),-0.0420638 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,27),-0.0441973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,13),(8,14),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,15),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,17),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,18),-0.042074 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,23),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,25),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,27),-0.0593639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,14),(8,15),-0.0420131 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,17),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,18),-0.042074 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,23),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,25),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,27),-0.0589023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,15),(8,17),-0.0420191 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,18),-0.0420297 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,23),-0.0420191 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,25),-0.0420191 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,15),(8,27),-0.0318369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,17),(8,18),-0.042074 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,17),(8,23),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,17),(8,25),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,17),(8,27),-0.0593703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,18),(8,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,18),(8,25),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,18),(8,27),-0.0993608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,23),(8,25),-0.0441757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,23),(8,27),-0.0598461 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,25),(8,27),-0.0596373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,7),0.0542439 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,6),0.0553125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,4),0.0932352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,3),0.120107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,-1),-0.00028262 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,7),(8,6),0.102611 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,3),0.102862 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,-1),-0.113156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,6),(8,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,3),0.102862 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,-1),-0.111875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,4),(8,3),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,4),(8,-1),-0.0855033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,3),(8,-1),-0.0260322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,10),(10,27),-0.0480956 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,-1),-0.0647189 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,12),(12,13),-0.0405303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,14),-0.0404698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,15),-0.0284109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,16),-0.0399467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,17),-0.0399472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,18),-0.0443011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,19),-0.000375878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,20),-0.000374169 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,21),-0.0172974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,23),-0.0400619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,24),-0.0284109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,25),-0.0399467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,26),-0.0420187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,27),0.0133363 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,13),(12,14),-0.0423811 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,15),-0.0429768 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,16),-0.0423811 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,17),-0.0423811 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,18),-0.0429405 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,19),-0.043869 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,20),-0.043869 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,21),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,23),-0.0423811 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,24),-0.0429768 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,25),-0.0423811 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,26),-0.0420199 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,27),-0.0245083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,14),(12,15),-0.0428686 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,16),-0.0422546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,17),-0.0422546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,18),-0.0429405 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,19),-0.043869 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,20),-0.043869 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,21),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,23),-0.0422546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,24),-0.0428686 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,25),-0.0422546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,26),-0.0420199 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,27),-0.0246824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,15),(12,16),-0.0430275 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,17),-0.0430275 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,18),-0.050655 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,19),-0.0385862 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,20),-0.0385862 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,21),-0.0410796 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,23),-0.0430275 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,24),-0.048727 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,25),-0.0430275 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,26),-0.0459934 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,27),-0.0499109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,16),(12,17),-0.0422546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,18),-0.0429405 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,19),-0.043869 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,20),-0.043869 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,21),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,23),-0.0422546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,24),-0.0425841 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,25),-0.0422546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,26),-0.0420199 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,27),-0.0244439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,17),(12,18),-0.0429405 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,19),-0.043869 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,20),-0.043869 # DEPENDENCYPART_GRANDSIBL
