# _root_ But shortly before then , some of Wall Street 's sharpest traders say , they sensed a turn .
#goldHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,13,16,13,18,16,13,
#predictedHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,16,16,13,18,16,13,
(12,3),(3,5),-0.0513082 # DEPENDENCYPART_GRANDPAR
(12,3),(3,6),-0.155302 # DEPENDENCYPART_GRANDPAR
(12,3),(3,7),-0.0388507 # DEPENDENCYPART_GRANDPAR
(12,3),(3,9),-0.174846 # DEPENDENCYPART_GRANDPAR
(12,3),(3,11),0.317246 # DEPENDENCYPART_GRANDPAR
(12,3),(3,12),-1.28234 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,3),(3,13),-0.328506 # DEPENDENCYPART_GRANDPAR
(12,3),(3,14),-0.682338 # DEPENDENCYPART_GRANDPAR
(12,3),(3,16),-0.551364 # DEPENDENCYPART_GRANDPAR
(12,3),(3,19),-0.652832 # DEPENDENCYPART_GRANDPAR
(12,6),(6,1),0.00137283 # DEPENDENCYPART_GRANDPAR
(12,6),(6,2),0.0474572 # DEPENDENCYPART_GRANDPAR
(12,6),(6,3),-0.0617387 # DEPENDENCYPART_GRANDPAR
(12,6),(6,4),0.060889 # DEPENDENCYPART_GRANDPAR
(12,6),(6,5),0.119145 # DEPENDENCYPART_GRANDPAR
(12,6),(6,7),0.0108395 # DEPENDENCYPART_GRANDPAR
(12,6),(6,8),0.014954 # DEPENDENCYPART_GRANDPAR
(12,6),(6,9),-0.02122 # DEPENDENCYPART_GRANDPAR
(12,6),(6,10),1.02309 # DEPENDENCYPART_GRANDPAR
(12,6),(6,11),0.319671 # DEPENDENCYPART_GRANDPAR
(12,6),(6,12),-1.169 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,6),(6,13),-0.261842 # DEPENDENCYPART_GRANDPAR
(12,6),(6,14),-0.641403 # DEPENDENCYPART_GRANDPAR
(12,6),(6,16),-0.471582 # DEPENDENCYPART_GRANDPAR
(12,6),(6,18),-0.693927 # DEPENDENCYPART_GRANDPAR
(12,6),(6,19),-0.625933 # DEPENDENCYPART_GRANDPAR
(12,7),(7,1),-0.100261 # DEPENDENCYPART_GRANDPAR
(12,7),(7,2),-0.0760544 # DEPENDENCYPART_GRANDPAR
(12,7),(7,3),-0.214146 # DEPENDENCYPART_GRANDPAR
(12,7),(7,4),-0.060396 # DEPENDENCYPART_GRANDPAR
(12,7),(7,5),0.0880736 # DEPENDENCYPART_GRANDPAR
(12,7),(7,8),-0.189743 # DEPENDENCYPART_GRANDPAR
(12,7),(7,9),-0.216737 # DEPENDENCYPART_GRANDPAR
(12,7),(7,10),0.951746 # DEPENDENCYPART_GRANDPAR
(12,7),(7,11),0.25326 # DEPENDENCYPART_GRANDPAR
(12,7),(7,12),-1.29523 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,7),(7,13),-0.333063 # DEPENDENCYPART_GRANDPAR
(12,7),(7,14),-0.68499 # DEPENDENCYPART_GRANDPAR
(12,7),(7,16),-0.553286 # DEPENDENCYPART_GRANDPAR
(12,7),(7,18),-0.801483 # DEPENDENCYPART_GRANDPAR
(12,7),(7,19),-0.656364 # DEPENDENCYPART_GRANDPAR
(12,8),(8,6),-0.159624 # DEPENDENCYPART_GRANDPAR
(12,8),(8,9),-0.0194303 # DEPENDENCYPART_GRANDPAR
(12,8),(8,10),1.21142 # DEPENDENCYPART_GRANDPAR
(12,8),(8,14),-0.722568 # DEPENDENCYPART_GRANDPAR
(12,9),(9,1),-0.0452496 # DEPENDENCYPART_GRANDPAR
(12,9),(9,2),-0.0254601 # DEPENDENCYPART_GRANDPAR
(12,9),(9,4),-0.0206182 # DEPENDENCYPART_GRANDPAR
(12,9),(9,5),0.25108 # DEPENDENCYPART_GRANDPAR
(12,9),(9,6),-0.168243 # DEPENDENCYPART_GRANDPAR
(12,9),(9,7),0.239915 # DEPENDENCYPART_GRANDPAR
(12,9),(9,8),0.169964 # DEPENDENCYPART_GRANDPAR
(12,9),(9,10),1.21831 # DEPENDENCYPART_GRANDPAR
(12,9),(9,11),0.266587 # DEPENDENCYPART_GRANDPAR
(12,9),(9,12),-1.1766 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,9),(9,14),-0.721125 # DEPENDENCYPART_GRANDPAR
(12,9),(9,16),-0.471416 # DEPENDENCYPART_GRANDPAR
(12,9),(9,18),-0.716512 # DEPENDENCYPART_GRANDPAR
(12,9),(9,19),-0.620428 # DEPENDENCYPART_GRANDPAR
(12,10),(10,1),0.00683777 # DEPENDENCYPART_GRANDPAR
(12,10),(10,3),-0.108073 # DEPENDENCYPART_GRANDPAR
(12,10),(10,6),-0.0996204 # DEPENDENCYPART_GRANDPAR
(12,10),(10,7),0.249397 # DEPENDENCYPART_GRANDPAR
(12,10),(10,11),0.251145 # DEPENDENCYPART_GRANDPAR
(12,11),(11,1),-0.0486744 # DEPENDENCYPART_GRANDPAR
(12,11),(11,2),-0.0294747 # DEPENDENCYPART_GRANDPAR
(12,11),(11,3),-0.128819 # DEPENDENCYPART_GRANDPAR
(12,11),(11,4),-0.0160316 # DEPENDENCYPART_GRANDPAR
(12,11),(11,5),0.0566235 # DEPENDENCYPART_GRANDPAR
(12,11),(11,6),-0.172733 # DEPENDENCYPART_GRANDPAR
(12,11),(11,7),0.217822 # DEPENDENCYPART_GRANDPAR
(12,11),(11,9),0.000165784 # DEPENDENCYPART_GRANDPAR
(12,11),(11,10),0.88213 # DEPENDENCYPART_GRANDPAR
(12,11),(11,12),-1.16417 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,11),(11,13),-0.246258 # DEPENDENCYPART_GRANDPAR
(12,11),(11,14),-0.63032 # DEPENDENCYPART_GRANDPAR
(12,11),(11,16),-0.449465 # DEPENDENCYPART_GRANDPAR
(12,11),(11,18),-0.686436 # DEPENDENCYPART_GRANDPAR
(12,13),(13,1),-0.490397 # DEPENDENCYPART_GRANDPAR
(12,13),(13,2),-0.499024 # DEPENDENCYPART_GRANDPAR
(12,13),(13,3),-0.823332 # DEPENDENCYPART_GRANDPAR
(12,13),(13,4),-0.474086 # DEPENDENCYPART_GRANDPAR
(12,13),(13,5),-0.420605 # DEPENDENCYPART_GRANDPAR
(12,13),(13,6),-0.605507 # DEPENDENCYPART_GRANDPAR
(12,13),(13,7),-0.481594 # DEPENDENCYPART_GRANDPAR
(12,13),(13,8),-0.484357 # DEPENDENCYPART_GRANDPAR
(12,13),(13,9),-0.520979 # DEPENDENCYPART_GRANDPAR
(12,13),(13,10),0.435753 # DEPENDENCYPART_GRANDPAR
(12,13),(13,11),-0.141595 # DEPENDENCYPART_GRANDPAR
(12,13),(13,12),-0.626 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,13),(13,14),-0.0643014 # DEPENDENCYPART_GRANDPAR
(12,13),(13,15),-0.28835 # DEPENDENCYPART_GRANDPAR
(12,13),(13,16),0.0397605 # DEPENDENCYPART_GRANDPAR
(12,13),(13,18),-0.240803 # DEPENDENCYPART_GRANDPAR
(12,13),(13,19),-0.22659 # DEPENDENCYPART_GRANDPAR
(12,16),(16,1),-0.478354 # DEPENDENCYPART_GRANDPAR
(12,16),(16,2),-0.493627 # DEPENDENCYPART_GRANDPAR
(12,16),(16,3),-0.803816 # DEPENDENCYPART_GRANDPAR
(12,16),(16,4),-0.467645 # DEPENDENCYPART_GRANDPAR
(12,16),(16,5),-0.416214 # DEPENDENCYPART_GRANDPAR
(12,16),(16,6),-0.612366 # DEPENDENCYPART_GRANDPAR
(12,16),(16,7),-0.457799 # DEPENDENCYPART_GRANDPAR
(12,16),(16,9),-0.534613 # DEPENDENCYPART_GRANDPAR
(12,16),(16,10),0.427058 # DEPENDENCYPART_GRANDPAR
(12,16),(16,11),-0.149656 # DEPENDENCYPART_GRANDPAR
(12,16),(16,12),-0.72809 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,16),(16,13),0.169178 # DEPENDENCYPART_GRANDPAR
(12,16),(16,14),-0.27069 # DEPENDENCYPART_GRANDPAR
(12,16),(16,15),-0.0936474 # DEPENDENCYPART_GRANDPAR
(12,16),(16,17),0.00569983 # DEPENDENCYPART_GRANDPAR
(12,16),(16,18),-0.246381 # DEPENDENCYPART_GRANDPAR
(12,16),(16,19),-0.318178 # DEPENDENCYPART_GRANDPAR
(12,18),(18,9),-0.590857 # DEPENDENCYPART_GRANDPAR
(12,18),(18,11),-0.180478 # DEPENDENCYPART_GRANDPAR
(12,18),(18,13),0.15084 # DEPENDENCYPART_GRANDPAR
(12,18),(18,14),-0.169441 # DEPENDENCYPART_GRANDPAR
(12,18),(18,15),-0.237551 # DEPENDENCYPART_GRANDPAR
(12,18),(18,17),0.367838 # DEPENDENCYPART_GRANDPAR
(12,18),(18,19),-0.118406 # DEPENDENCYPART_GRANDPAR
(12,19),(19,18),-0.238178 # DEPENDENCYPART_GRANDPAR
(13,1),(1,2),0.311002 # DEPENDENCYPART_GRANDPAR
(13,1),(1,3),0.137695 # DEPENDENCYPART_GRANDPAR
(13,1),(1,4),0.367444 # DEPENDENCYPART_GRANDPAR
(13,1),(1,5),0.243087 # DEPENDENCYPART_GRANDPAR
(13,1),(1,13),-0.915473 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,1),(1,16),0.116261 # DEPENDENCYPART_GRANDPAR
(13,2),(2,1),0.708963 # DEPENDENCYPART_GRANDPAR
(13,2),(2,3),0.386684 # DEPENDENCYPART_GRANDPAR
(13,2),(2,4),0.589285 # DEPENDENCYPART_GRANDPAR
(13,2),(2,5),0.401804 # DEPENDENCYPART_GRANDPAR
(13,2),(2,6),0.610925 # DEPENDENCYPART_GRANDPAR
(13,2),(2,7),0.785124 # DEPENDENCYPART_GRANDPAR
(13,2),(2,19),1.1231 # DEPENDENCYPART_GRANDPAR
(13,3),(3,1),0.693166 # DEPENDENCYPART_GRANDPAR
(13,3),(3,2),0.558797 # DEPENDENCYPART_GRANDPAR
(13,3),(3,4),0.526804 # DEPENDENCYPART_GRANDPAR
(13,3),(3,5),0.320851 # DEPENDENCYPART_GRANDPAR
(13,3),(3,6),0.464976 # DEPENDENCYPART_GRANDPAR
(13,3),(3,7),0.640441 # DEPENDENCYPART_GRANDPAR
(13,3),(3,9),-0.001239 # DEPENDENCYPART_GRANDPAR
(13,3),(3,11),0.584402 # DEPENDENCYPART_GRANDPAR
(13,3),(3,12),0.229437 # DEPENDENCYPART_GRANDPAR
(13,3),(3,13),-0.989441 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,3),(3,14),0.00647086 # DEPENDENCYPART_GRANDPAR
(13,3),(3,16),0.0305177 # DEPENDENCYPART_GRANDPAR
(13,3),(3,19),1.07946 # DEPENDENCYPART_GRANDPAR
(13,4),(4,1),0.696221 # DEPENDENCYPART_GRANDPAR
(13,4),(4,2),0.525214 # DEPENDENCYPART_GRANDPAR
(13,4),(4,3),0.48974 # DEPENDENCYPART_GRANDPAR
(13,4),(4,5),0.39243 # DEPENDENCYPART_GRANDPAR
(13,4),(4,6),0.596701 # DEPENDENCYPART_GRANDPAR
(13,4),(4,7),0.763477 # DEPENDENCYPART_GRANDPAR
(13,4),(4,9),0.12354 # DEPENDENCYPART_GRANDPAR
(13,4),(4,13),-0.892486 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,4),(4,16),0.142999 # DEPENDENCYPART_GRANDPAR
(13,4),(4,19),1.1231 # DEPENDENCYPART_GRANDPAR
(13,5),(5,4),0.609503 # DEPENDENCYPART_GRANDPAR
(13,6),(6,1),0.736728 # DEPENDENCYPART_GRANDPAR
(13,6),(6,2),0.568415 # DEPENDENCYPART_GRANDPAR
(13,6),(6,3),0.533636 # DEPENDENCYPART_GRANDPAR
(13,6),(6,4),0.640635 # DEPENDENCYPART_GRANDPAR
(13,6),(6,5),0.627918 # DEPENDENCYPART_GRANDPAR
(13,6),(6,7),0.920043 # DEPENDENCYPART_GRANDPAR
(13,6),(6,8),0.374584 # DEPENDENCYPART_GRANDPAR
(13,6),(6,9),0.212141 # DEPENDENCYPART_GRANDPAR
(13,6),(6,10),0.303104 # DEPENDENCYPART_GRANDPAR
(13,6),(6,11),0.667118 # DEPENDENCYPART_GRANDPAR
(13,6),(6,12),0.355044 # DEPENDENCYPART_GRANDPAR
(13,6),(6,13),-0.926003 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,6),(6,14),0.0363029 # DEPENDENCYPART_GRANDPAR
(13,6),(6,16),0.102748 # DEPENDENCYPART_GRANDPAR
(13,6),(6,18),-0.0234667 # DEPENDENCYPART_GRANDPAR
(13,6),(6,19),1.09559 # DEPENDENCYPART_GRANDPAR
(13,7),(7,1),0.649185 # DEPENDENCYPART_GRANDPAR
(13,7),(7,2),0.580365 # DEPENDENCYPART_GRANDPAR
(13,7),(7,3),0.396519 # DEPENDENCYPART_GRANDPAR
(13,7),(7,4),0.659447 # DEPENDENCYPART_GRANDPAR
(13,7),(7,5),0.590092 # DEPENDENCYPART_GRANDPAR
(13,7),(7,8),0.145196 # DEPENDENCYPART_GRANDPAR
(13,7),(7,9),-0.00665363 # DEPENDENCYPART_GRANDPAR
(13,7),(7,10),0.206796 # DEPENDENCYPART_GRANDPAR
(13,7),(7,11),0.555651 # DEPENDENCYPART_GRANDPAR
(13,7),(7,12),0.176021 # DEPENDENCYPART_GRANDPAR
(13,7),(7,13),-0.985796 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,7),(7,14),0.0119888 # DEPENDENCYPART_GRANDPAR
(13,7),(7,16),0.0362904 # DEPENDENCYPART_GRANDPAR
(13,7),(7,18),-0.111954 # DEPENDENCYPART_GRANDPAR
(13,7),(7,19),1.08409 # DEPENDENCYPART_GRANDPAR
(13,8),(8,6),0.655976 # DEPENDENCYPART_GRANDPAR
(13,8),(8,9),0.305977 # DEPENDENCYPART_GRANDPAR
(13,8),(8,10),0.52337 # DEPENDENCYPART_GRANDPAR
(13,8),(8,14),-0.0320462 # DEPENDENCYPART_GRANDPAR
(13,9),(9,1),0.673737 # DEPENDENCYPART_GRANDPAR
(13,9),(9,2),0.534882 # DEPENDENCYPART_GRANDPAR
(13,9),(9,4),0.597455 # DEPENDENCYPART_GRANDPAR
(13,9),(9,5),0.651577 # DEPENDENCYPART_GRANDPAR
(13,9),(9,6),0.653795 # DEPENDENCYPART_GRANDPAR
(13,9),(9,7),0.821591 # DEPENDENCYPART_GRANDPAR
(13,9),(9,8),0.499281 # DEPENDENCYPART_GRANDPAR
(13,9),(9,10),0.530608 # DEPENDENCYPART_GRANDPAR
(13,9),(9,11),0.700577 # DEPENDENCYPART_GRANDPAR
(13,9),(9,12),0.448618 # DEPENDENCYPART_GRANDPAR
(13,9),(9,14),-0.031565 # DEPENDENCYPART_GRANDPAR
(13,9),(9,16),0.113088 # DEPENDENCYPART_GRANDPAR
(13,9),(9,18),-0.0353186 # DEPENDENCYPART_GRANDPAR
(13,9),(9,19),1.11072 # DEPENDENCYPART_GRANDPAR
(13,10),(10,1),0.842635 # DEPENDENCYPART_GRANDPAR
(13,10),(10,3),0.617292 # DEPENDENCYPART_GRANDPAR
(13,10),(10,6),0.804072 # DEPENDENCYPART_GRANDPAR
(13,10),(10,7),0.946728 # DEPENDENCYPART_GRANDPAR
(13,10),(10,11),0.650815 # DEPENDENCYPART_GRANDPAR
(13,11),(11,1),0.753843 # DEPENDENCYPART_GRANDPAR
(13,11),(11,2),0.573961 # DEPENDENCYPART_GRANDPAR
(13,11),(11,3),0.536561 # DEPENDENCYPART_GRANDPAR
(13,11),(11,4),0.646193 # DEPENDENCYPART_GRANDPAR
(13,11),(11,5),0.627961 # DEPENDENCYPART_GRANDPAR
(13,11),(11,6),0.697388 # DEPENDENCYPART_GRANDPAR
(13,11),(11,7),0.855509 # DEPENDENCYPART_GRANDPAR
(13,11),(11,9),0.250639 # DEPENDENCYPART_GRANDPAR
(13,11),(11,10),0.368462 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),0.307847 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-0.894683 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,14),0.0586763 # DEPENDENCYPART_GRANDPAR
(13,11),(11,16),0.135232 # DEPENDENCYPART_GRANDPAR
(13,11),(11,18),-0.00511073 # DEPENDENCYPART_GRANDPAR
(13,12),(12,2),0.47444 # DEPENDENCYPART_GRANDPAR
(13,12),(12,3),0.377155 # DEPENDENCYPART_GRANDPAR
(13,12),(12,6),0.744112 # DEPENDENCYPART_GRANDPAR
(13,12),(12,7),0.76978 # DEPENDENCYPART_GRANDPAR
(13,12),(12,8),0.376574 # DEPENDENCYPART_GRANDPAR
(13,12),(12,9),0.219885 # DEPENDENCYPART_GRANDPAR
(13,12),(12,10),0.185126 # DEPENDENCYPART_GRANDPAR
(13,12),(12,11),0.630812 # DEPENDENCYPART_GRANDPAR
(13,12),(12,13),-0.942122 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,12),(12,14),-0.0152811 # DEPENDENCYPART_GRANDPAR
(13,12),(12,16),0.101928 # DEPENDENCYPART_GRANDPAR
(13,12),(12,18),-0.0443145 # DEPENDENCYPART_GRANDPAR
(13,12),(12,19),1.11092 # DEPENDENCYPART_GRANDPAR
(13,15),(15,18),0.368262 # DEPENDENCYPART_GRANDPAR
(13,16),(16,1),0.529947 # DEPENDENCYPART_GRANDPAR
(13,16),(16,2),0.292545 # DEPENDENCYPART_GRANDPAR
(13,16),(16,3),0.278722 # DEPENDENCYPART_GRANDPAR
(13,16),(16,4),0.354295 # DEPENDENCYPART_GRANDPAR
(13,16),(16,5),0.370551 # DEPENDENCYPART_GRANDPAR
(13,16),(16,6),0.214383 # DEPENDENCYPART_GRANDPAR
(13,16),(16,7),0.557574 # DEPENDENCYPART_GRANDPAR
(13,16),(16,9),-0.163697 # DEPENDENCYPART_GRANDPAR
(13,16),(16,10),-0.0386409 # DEPENDENCYPART_GRANDPAR
(13,16),(16,11),0.294763 # DEPENDENCYPART_GRANDPAR
(13,16),(16,12),-0.00988677 # DEPENDENCYPART_GRANDPAR
(13,16),(16,13),-0.505759 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,16),(16,14),0.258894 # DEPENDENCYPART_GRANDPAR
(13,16),(16,15),0.55923 # DEPENDENCYPART_GRANDPAR
(13,16),(16,17),0.372713 # DEPENDENCYPART_GRANDPAR
(13,16),(16,18),0.570228 # DEPENDENCYPART_GRANDPAR
(13,16),(16,19),1.27357 # DEPENDENCYPART_GRANDPAR
(13,18),(18,9),-0.263541 # DEPENDENCYPART_GRANDPAR
(13,18),(18,11),0.224689 # DEPENDENCYPART_GRANDPAR
(13,18),(18,13),-0.596312 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,18),(18,14),0.232433 # DEPENDENCYPART_GRANDPAR
(13,18),(18,15),0.34427 # DEPENDENCYPART_GRANDPAR
(13,18),(18,17),0.324901 # DEPENDENCYPART_GRANDPAR
(13,18),(18,19),1.27576 # DEPENDENCYPART_GRANDPAR
(13,19),(19,18),0.384902 # DEPENDENCYPART_GRANDPAR
(15,18),(18,9),-0.492478 # DEPENDENCYPART_GRANDPAR
(15,18),(18,11),-0.350639 # DEPENDENCYPART_GRANDPAR
(15,18),(18,13),-0.299419 # DEPENDENCYPART_GRANDPAR
(15,18),(18,14),-0.25719 # DEPENDENCYPART_GRANDPAR
(15,18),(18,15),-0.589099 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,18),(18,17),0.705006 # DEPENDENCYPART_GRANDPAR
(15,18),(18,19),0.434649 # DEPENDENCYPART_GRANDPAR
(16,1),(1,2),-0.00036105 # DEPENDENCYPART_GRANDPAR
(16,1),(1,3),-0.00500295 # DEPENDENCYPART_GRANDPAR
(16,1),(1,4),0.0291414 # DEPENDENCYPART_GRANDPAR
(16,1),(1,5),0.405659 # DEPENDENCYPART_GRANDPAR
(16,1),(1,13),0.134382 # DEPENDENCYPART_GRANDPAR
(16,1),(1,16),-1.00464 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,2),(2,1),0.237741 # DEPENDENCYPART_GRANDPAR
(16,2),(2,3),0.270662 # DEPENDENCYPART_GRANDPAR
(16,2),(2,4),0.308464 # DEPENDENCYPART_GRANDPAR
(16,2),(2,5),0.622782 # DEPENDENCYPART_GRANDPAR
(16,2),(2,6),0.477826 # DEPENDENCYPART_GRANDPAR
(16,2),(2,7),0.486311 # DEPENDENCYPART_GRANDPAR
(16,2),(2,19),0.248444 # DEPENDENCYPART_GRANDPAR
(16,3),(3,1),0.32744 # DEPENDENCYPART_GRANDPAR
(16,3),(3,2),0.410355 # DEPENDENCYPART_GRANDPAR
(16,3),(3,4),0.281729 # DEPENDENCYPART_GRANDPAR
(16,3),(3,5),0.519125 # DEPENDENCYPART_GRANDPAR
(16,3),(3,6),0.375547 # DEPENDENCYPART_GRANDPAR
(16,3),(3,7),0.395088 # DEPENDENCYPART_GRANDPAR
(16,3),(3,9),0.146481 # DEPENDENCYPART_GRANDPAR
(16,3),(3,11),0.260969 # DEPENDENCYPART_GRANDPAR
(16,3),(3,12),0.171551 # DEPENDENCYPART_GRANDPAR
(16,3),(3,13),0.450227 # DEPENDENCYPART_GRANDPAR
(16,3),(3,14),0.493337 # DEPENDENCYPART_GRANDPAR
(16,3),(3,16),-1.10864 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,3),(3,19),0.227728 # DEPENDENCYPART_GRANDPAR
(16,4),(4,1),0.223881 # DEPENDENCYPART_GRANDPAR
(16,4),(4,2),0.298799 # DEPENDENCYPART_GRANDPAR
(16,4),(4,3),0.340358 # DEPENDENCYPART_GRANDPAR
(16,4),(4,5),0.599748 # DEPENDENCYPART_GRANDPAR
(16,4),(4,6),0.453357 # DEPENDENCYPART_GRANDPAR
(16,4),(4,7),0.454743 # DEPENDENCYPART_GRANDPAR
(16,4),(4,9),0.25507 # DEPENDENCYPART_GRANDPAR
(16,4),(4,13),0.352299 # DEPENDENCYPART_GRANDPAR
(16,4),(4,16),-0.980257 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,4),(4,19),0.248444 # DEPENDENCYPART_GRANDPAR
(16,5),(5,4),0.386576 # DEPENDENCYPART_GRANDPAR
(16,6),(6,1),0.300782 # DEPENDENCYPART_GRANDPAR
(16,6),(6,2),0.360615 # DEPENDENCYPART_GRANDPAR
(16,6),(6,3),0.384104 # DEPENDENCYPART_GRANDPAR
(16,6),(6,4),0.414689 # DEPENDENCYPART_GRANDPAR
(16,6),(6,5),0.655623 # DEPENDENCYPART_GRANDPAR
(16,6),(6,7),0.596074 # DEPENDENCYPART_GRANDPAR
(16,6),(6,8),0.430561 # DEPENDENCYPART_GRANDPAR
(16,6),(6,9),0.308973 # DEPENDENCYPART_GRANDPAR
(16,6),(6,10),-0.17759 # DEPENDENCYPART_GRANDPAR
(16,6),(6,11),0.302731 # DEPENDENCYPART_GRANDPAR
(16,6),(6,12),0.211446 # DEPENDENCYPART_GRANDPAR
(16,6),(6,13),0.437028 # DEPENDENCYPART_GRANDPAR
(16,6),(6,14),0.693644 # DEPENDENCYPART_GRANDPAR
(16,6),(6,16),-1.00362 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,6),(6,18),0.222195 # DEPENDENCYPART_GRANDPAR
(16,6),(6,19),0.239278 # DEPENDENCYPART_GRANDPAR
(16,7),(7,1),0.256138 # DEPENDENCYPART_GRANDPAR
(16,7),(7,2),0.393123 # DEPENDENCYPART_GRANDPAR
(16,7),(7,3),0.339095 # DEPENDENCYPART_GRANDPAR
(16,7),(7,4),0.4473 # DEPENDENCYPART_GRANDPAR
(16,7),(7,5),0.71678 # DEPENDENCYPART_GRANDPAR
(16,7),(7,8),0.234468 # DEPENDENCYPART_GRANDPAR
(16,7),(7,9),0.124566 # DEPENDENCYPART_GRANDPAR
(16,7),(7,10),-0.241621 # DEPENDENCYPART_GRANDPAR
(16,7),(7,11),0.217282 # DEPENDENCYPART_GRANDPAR
(16,7),(7,12),0.0838397 # DEPENDENCYPART_GRANDPAR
(16,7),(7,13),0.415555 # DEPENDENCYPART_GRANDPAR
(16,7),(7,14),0.466518 # DEPENDENCYPART_GRANDPAR
(16,7),(7,16),-1.10497 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,7),(7,18),0.115828 # DEPENDENCYPART_GRANDPAR
(16,7),(7,19),0.229304 # DEPENDENCYPART_GRANDPAR
(16,9),(9,1),0.201644 # DEPENDENCYPART_GRANDPAR
(16,9),(9,2),0.320773 # DEPENDENCYPART_GRANDPAR
(16,9),(9,4),0.364636 # DEPENDENCYPART_GRANDPAR
(16,9),(9,5),0.681012 # DEPENDENCYPART_GRANDPAR
(16,9),(9,6),0.472468 # DEPENDENCYPART_GRANDPAR
(16,9),(9,7),0.462667 # DEPENDENCYPART_GRANDPAR
(16,9),(9,8),0.705239 # DEPENDENCYPART_GRANDPAR
(16,9),(9,10),-0.0386452 # DEPENDENCYPART_GRANDPAR
(16,9),(9,11),0.263118 # DEPENDENCYPART_GRANDPAR
(16,9),(9,12),0.24387 # DEPENDENCYPART_GRANDPAR
(16,9),(9,14),0.644989 # DEPENDENCYPART_GRANDPAR
(16,9),(9,16),-1.04209 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,9),(9,18),0.162301 # DEPENDENCYPART_GRANDPAR
(16,9),(9,19),0.221617 # DEPENDENCYPART_GRANDPAR
(16,10),(10,1),0.309113 # DEPENDENCYPART_GRANDPAR
(16,10),(10,3),0.37177 # DEPENDENCYPART_GRANDPAR
(16,10),(10,6),0.529708 # DEPENDENCYPART_GRANDPAR
(16,10),(10,7),0.500986 # DEPENDENCYPART_GRANDPAR
(16,10),(10,11),0.242455 # DEPENDENCYPART_GRANDPAR
(16,11),(11,1),0.28809 # DEPENDENCYPART_GRANDPAR
(16,11),(11,2),0.342747 # DEPENDENCYPART_GRANDPAR
(16,11),(11,3),0.382339 # DEPENDENCYPART_GRANDPAR
(16,11),(11,4),0.396832 # DEPENDENCYPART_GRANDPAR
(16,11),(11,5),0.660424 # DEPENDENCYPART_GRANDPAR
(16,11),(11,6),0.507317 # DEPENDENCYPART_GRANDPAR
(16,11),(11,7),0.493885 # DEPENDENCYPART_GRANDPAR
(16,11),(11,9),0.43205 # DEPENDENCYPART_GRANDPAR
(16,11),(11,10),-0.0999037 # DEPENDENCYPART_GRANDPAR
(16,11),(11,12),0.198457 # DEPENDENCYPART_GRANDPAR
(16,11),(11,13),0.407965 # DEPENDENCYPART_GRANDPAR
(16,11),(11,14),0.662882 # DEPENDENCYPART_GRANDPAR
(16,11),(11,16),-0.991197 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,11),(11,18),0.21891 # DEPENDENCYPART_GRANDPAR
(16,12),(12,2),0.377761 # DEPENDENCYPART_GRANDPAR
(16,12),(12,3),0.320263 # DEPENDENCYPART_GRANDPAR
(16,12),(12,6),0.643722 # DEPENDENCYPART_GRANDPAR
(16,12),(12,7),0.533936 # DEPENDENCYPART_GRANDPAR
(16,12),(12,8),0.631035 # DEPENDENCYPART_GRANDPAR
(16,12),(12,9),0.507567 # DEPENDENCYPART_GRANDPAR
(16,12),(12,10),-0.192159 # DEPENDENCYPART_GRANDPAR
(16,12),(12,11),0.379491 # DEPENDENCYPART_GRANDPAR
(16,12),(12,13),0.43351 # DEPENDENCYPART_GRANDPAR
(16,12),(12,14),0.711097 # DEPENDENCYPART_GRANDPAR
