# _root_ The comparable lead times for the Commerce index , whose components include the stock market , are far shorter -- 10 months before recessions and only three months before recoveries .
#goldHeads=4,4,4,17,4,8,8,5,8,11,12,8,15,15,12,8,0,19,17,17,22,17,22,23,22,28,28,25,28,29,17,
#predictedHeads=4,4,4,17,4,8,8,5,8,11,12,8,15,15,12,8,0,19,17,17,22,23,17,23,24,28,26,25,17,29,17,
(12,18),(18,27),-0.0993312 # DEPENDENCYPART_GRANDPAR
(12,19),(19,4),-0.281674 # DEPENDENCYPART_GRANDPAR
(12,19),(19,5),0.160572 # DEPENDENCYPART_GRANDPAR
(12,19),(19,8),-0.169022 # DEPENDENCYPART_GRANDPAR
(12,19),(19,9),0.00377249 # DEPENDENCYPART_GRANDPAR
(12,19),(19,10),0.294031 # DEPENDENCYPART_GRANDPAR
(12,19),(19,11),-0.189161 # DEPENDENCYPART_GRANDPAR
(12,19),(19,12),-0.372393 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,19),(19,13),0.646461 # DEPENDENCYPART_GRANDPAR
(12,19),(19,14),0.627761 # DEPENDENCYPART_GRANDPAR
(12,19),(19,15),0.475298 # DEPENDENCYPART_GRANDPAR
(12,19),(19,16),0.77744 # DEPENDENCYPART_GRANDPAR
(12,19),(19,17),0.621241 # DEPENDENCYPART_GRANDPAR
(12,19),(19,18),0.449029 # DEPENDENCYPART_GRANDPAR
(12,19),(19,20),0.652121 # DEPENDENCYPART_GRANDPAR
(12,19),(19,21),0.199504 # DEPENDENCYPART_GRANDPAR
(12,19),(19,22),0.37214 # DEPENDENCYPART_GRANDPAR
(12,19),(19,23),0.412576 # DEPENDENCYPART_GRANDPAR
(12,19),(19,24),0.136212 # DEPENDENCYPART_GRANDPAR
(12,19),(19,25),0.669777 # DEPENDENCYPART_GRANDPAR
(12,19),(19,29),0.210544 # DEPENDENCYPART_GRANDPAR
(12,20),(20,18),0.402754 # DEPENDENCYPART_GRANDPAR
(12,20),(20,19),0.287537 # DEPENDENCYPART_GRANDPAR
(12,20),(20,21),0.241244 # DEPENDENCYPART_GRANDPAR
(12,20),(20,22),0.456194 # DEPENDENCYPART_GRANDPAR
(12,21),(21,18),0.463788 # DEPENDENCYPART_GRANDPAR
(12,21),(21,19),0.317235 # DEPENDENCYPART_GRANDPAR
(12,21),(21,20),0.564506 # DEPENDENCYPART_GRANDPAR
(12,21),(21,23),0.451715 # DEPENDENCYPART_GRANDPAR
(12,21),(21,24),0.196268 # DEPENDENCYPART_GRANDPAR
(12,21),(21,25),0.662762 # DEPENDENCYPART_GRANDPAR
(12,22),(22,10),0.301032 # DEPENDENCYPART_GRANDPAR
(12,22),(22,13),0.824125 # DEPENDENCYPART_GRANDPAR
(12,22),(22,15),0.556723 # DEPENDENCYPART_GRANDPAR
(12,22),(22,18),0.493672 # DEPENDENCYPART_GRANDPAR
(12,22),(22,19),0.401398 # DEPENDENCYPART_GRANDPAR
(12,22),(22,20),0.629577 # DEPENDENCYPART_GRANDPAR
(12,22),(22,21),0.264494 # DEPENDENCYPART_GRANDPAR
(12,22),(22,23),0.401482 # DEPENDENCYPART_GRANDPAR
(12,22),(22,24),0.299276 # DEPENDENCYPART_GRANDPAR
(12,22),(22,25),0.761207 # DEPENDENCYPART_GRANDPAR
(12,22),(22,26),0.608386 # DEPENDENCYPART_GRANDPAR
(12,22),(22,27),0.0886457 # DEPENDENCYPART_GRANDPAR
(12,22),(22,28),0.299499 # DEPENDENCYPART_GRANDPAR
(12,22),(22,29),0.19945 # DEPENDENCYPART_GRANDPAR
(12,23),(23,18),0.370883 # DEPENDENCYPART_GRANDPAR
(12,23),(23,21),0.074919 # DEPENDENCYPART_GRANDPAR
(12,23),(23,22),0.332719 # DEPENDENCYPART_GRANDPAR
(12,23),(23,24),0.180489 # DEPENDENCYPART_GRANDPAR
(12,23),(23,25),0.684439 # DEPENDENCYPART_GRANDPAR
(12,23),(23,26),0.486268 # DEPENDENCYPART_GRANDPAR
(12,23),(23,27),-0.00567098 # DEPENDENCYPART_GRANDPAR
(12,23),(23,28),0.182061 # DEPENDENCYPART_GRANDPAR
(12,23),(23,30),0.0440305 # DEPENDENCYPART_GRANDPAR
(12,24),(24,19),0.401201 # DEPENDENCYPART_GRANDPAR
(12,24),(24,21),0.245133 # DEPENDENCYPART_GRANDPAR
(12,24),(24,22),0.386571 # DEPENDENCYPART_GRANDPAR
(12,24),(24,23),0.272711 # DEPENDENCYPART_GRANDPAR
(12,24),(24,25),0.776201 # DEPENDENCYPART_GRANDPAR
(12,24),(24,26),0.609658 # DEPENDENCYPART_GRANDPAR
(12,24),(24,27),0.122908 # DEPENDENCYPART_GRANDPAR
(12,24),(24,28),0.308389 # DEPENDENCYPART_GRANDPAR
(12,24),(24,29),0.210209 # DEPENDENCYPART_GRANDPAR
(12,24),(24,30),0.171512 # DEPENDENCYPART_GRANDPAR
(12,24),(24,31),0.662121 # DEPENDENCYPART_GRANDPAR
(12,25),(25,24),-0.169317 # DEPENDENCYPART_GRANDPAR
(12,25),(25,26),0.550773 # DEPENDENCYPART_GRANDPAR
(12,25),(25,27),0.0769669 # DEPENDENCYPART_GRANDPAR
(12,25),(25,28),0.269205 # DEPENDENCYPART_GRANDPAR
(12,25),(25,29),0.253285 # DEPENDENCYPART_GRANDPAR
(12,25),(25,30),0.127427 # DEPENDENCYPART_GRANDPAR
(12,26),(26,27),-0.171763 # DEPENDENCYPART_GRANDPAR
(12,26),(26,28),0.158742 # DEPENDENCYPART_GRANDPAR
(12,26),(26,29),0.147592 # DEPENDENCYPART_GRANDPAR
(12,26),(26,30),0.0165489 # DEPENDENCYPART_GRANDPAR
(12,28),(28,18),0.493672 # DEPENDENCYPART_GRANDPAR
(12,28),(28,19),0.401398 # DEPENDENCYPART_GRANDPAR
(12,28),(28,21),0.264494 # DEPENDENCYPART_GRANDPAR
(12,28),(28,22),0.380828 # DEPENDENCYPART_GRANDPAR
(12,28),(28,23),0.265652 # DEPENDENCYPART_GRANDPAR
(12,28),(28,24),0.151452 # DEPENDENCYPART_GRANDPAR
(12,28),(28,26),0.433038 # DEPENDENCYPART_GRANDPAR
(12,28),(28,27),-0.0138409 # DEPENDENCYPART_GRANDPAR
(12,28),(28,29),0.19945 # DEPENDENCYPART_GRANDPAR
(12,28),(28,30),0.163211 # DEPENDENCYPART_GRANDPAR
(12,29),(29,26),0.412915 # DEPENDENCYPART_GRANDPAR
(12,29),(29,27),-0.187709 # DEPENDENCYPART_GRANDPAR
(12,29),(29,28),0.0962426 # DEPENDENCYPART_GRANDPAR
(12,29),(29,30),0.0440305 # DEPENDENCYPART_GRANDPAR
(12,30),(30,26),0.415667 # DEPENDENCYPART_GRANDPAR
(12,30),(30,27),-0.0273569 # DEPENDENCYPART_GRANDPAR
(12,30),(30,28),0.150552 # DEPENDENCYPART_GRANDPAR
(12,30),(30,29),0.0710681 # DEPENDENCYPART_GRANDPAR
(12,30),(30,31),0.662643 # DEPENDENCYPART_GRANDPAR
(12,31),(31,30),-0.121701 # DEPENDENCYPART_GRANDPAR
(13,17),(17,1),-0.771423 # DEPENDENCYPART_GRANDPAR
(13,17),(17,2),-0.756316 # DEPENDENCYPART_GRANDPAR
(13,17),(17,4),-0.809715 # DEPENDENCYPART_GRANDPAR
(13,17),(17,5),-0.615056 # DEPENDENCYPART_GRANDPAR
(13,17),(17,8),-0.743355 # DEPENDENCYPART_GRANDPAR
(13,17),(17,9),-0.557854 # DEPENDENCYPART_GRANDPAR
(13,17),(17,10),-0.365638 # DEPENDENCYPART_GRANDPAR
(13,17),(17,11),-0.721143 # DEPENDENCYPART_GRANDPAR
(13,17),(17,12),-0.465539 # DEPENDENCYPART_GRANDPAR
(13,17),(17,13),-0.937738 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,17),(17,14),0.550245 # DEPENDENCYPART_GRANDPAR
(13,17),(17,15),0.334287 # DEPENDENCYPART_GRANDPAR
(13,17),(17,16),0.0509829 # DEPENDENCYPART_GRANDPAR
(13,17),(17,18),-0.0906312 # DEPENDENCYPART_GRANDPAR
(13,17),(17,19),0.230775 # DEPENDENCYPART_GRANDPAR
(13,17),(17,20),0.394232 # DEPENDENCYPART_GRANDPAR
(13,17),(17,21),-0.0343822 # DEPENDENCYPART_GRANDPAR
(13,17),(17,22),0.144151 # DEPENDENCYPART_GRANDPAR
(13,17),(17,23),0.177458 # DEPENDENCYPART_GRANDPAR
(13,17),(17,24),-0.0126931 # DEPENDENCYPART_GRANDPAR
(13,17),(17,25),0.590128 # DEPENDENCYPART_GRANDPAR
(13,17),(17,26),-0.262468 # DEPENDENCYPART_GRANDPAR
(13,17),(17,27),-0.206086 # DEPENDENCYPART_GRANDPAR
(13,17),(17,28),-0.0921993 # DEPENDENCYPART_GRANDPAR
(13,17),(17,29),0.081009 # DEPENDENCYPART_GRANDPAR
(13,17),(17,30),-0.160188 # DEPENDENCYPART_GRANDPAR
(13,17),(17,31),-0.428639 # DEPENDENCYPART_GRANDPAR
(14,13),(13,17),-0.382796 # DEPENDENCYPART_GRANDPAR
(14,17),(17,1),-0.868807 # DEPENDENCYPART_GRANDPAR
(14,17),(17,2),-0.833793 # DEPENDENCYPART_GRANDPAR
(14,17),(17,4),-0.980369 # DEPENDENCYPART_GRANDPAR
(14,17),(17,5),-0.944036 # DEPENDENCYPART_GRANDPAR
(14,17),(17,8),-0.922082 # DEPENDENCYPART_GRANDPAR
(14,17),(17,9),-0.374675 # DEPENDENCYPART_GRANDPAR
(14,17),(17,10),-0.389884 # DEPENDENCYPART_GRANDPAR
(14,17),(17,11),-0.791967 # DEPENDENCYPART_GRANDPAR
(14,17),(17,12),-0.3157 # DEPENDENCYPART_GRANDPAR
(14,17),(17,13),-0.386127 # DEPENDENCYPART_GRANDPAR
(14,17),(17,14),-1.05947 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,17),(17,15),0.297832 # DEPENDENCYPART_GRANDPAR
(14,17),(17,16),-0.365225 # DEPENDENCYPART_GRANDPAR
(14,17),(17,18),0.0932621 # DEPENDENCYPART_GRANDPAR
(14,17),(17,19),0.107099 # DEPENDENCYPART_GRANDPAR
(14,17),(17,20),0.30876 # DEPENDENCYPART_GRANDPAR
(14,17),(17,21),0.0863552 # DEPENDENCYPART_GRANDPAR
(14,17),(17,22),0.0192297 # DEPENDENCYPART_GRANDPAR
(14,17),(17,23),0.283719 # DEPENDENCYPART_GRANDPAR
(14,17),(17,24),-0.0165688 # DEPENDENCYPART_GRANDPAR
(14,17),(17,25),0.0671647 # DEPENDENCYPART_GRANDPAR
(14,17),(17,26),-0.0775641 # DEPENDENCYPART_GRANDPAR
(14,17),(17,27),-0.145226 # DEPENDENCYPART_GRANDPAR
(14,17),(17,28),-0.19997 # DEPENDENCYPART_GRANDPAR
(14,17),(17,29),0.159099 # DEPENDENCYPART_GRANDPAR
(14,17),(17,30),-0.385378 # DEPENDENCYPART_GRANDPAR
(14,17),(17,31),-0.770654 # DEPENDENCYPART_GRANDPAR
(15,4),(4,1),-0.0165011 # DEPENDENCYPART_GRANDPAR
(15,4),(4,2),-0.0356157 # DEPENDENCYPART_GRANDPAR
(15,4),(4,3),-0.152289 # DEPENDENCYPART_GRANDPAR
(15,4),(4,5),-0.286249 # DEPENDENCYPART_GRANDPAR
(15,4),(4,7),0.0489415 # DEPENDENCYPART_GRANDPAR
(15,4),(4,8),-0.227188 # DEPENDENCYPART_GRANDPAR
(15,4),(4,9),0.0960266 # DEPENDENCYPART_GRANDPAR
(15,4),(4,10),0.120316 # DEPENDENCYPART_GRANDPAR
(15,4),(4,11),-0.0933956 # DEPENDENCYPART_GRANDPAR
(15,4),(4,12),0.488757 # DEPENDENCYPART_GRANDPAR
(15,4),(4,15),-1.19721 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,4),(4,16),-0.132242 # DEPENDENCYPART_GRANDPAR
(15,4),(4,17),-0.429511 # DEPENDENCYPART_GRANDPAR
(15,4),(4,20),-0.0480482 # DEPENDENCYPART_GRANDPAR
(15,4),(4,22),-0.314069 # DEPENDENCYPART_GRANDPAR
(15,4),(4,31),-0.930139 # DEPENDENCYPART_GRANDPAR
(15,5),(5,4),-0.239958 # DEPENDENCYPART_GRANDPAR
(15,5),(5,6),0.00895545 # DEPENDENCYPART_GRANDPAR
(15,5),(5,7),-0.0883538 # DEPENDENCYPART_GRANDPAR
(15,5),(5,8),-0.27028 # DEPENDENCYPART_GRANDPAR
(15,5),(5,9),0.149704 # DEPENDENCYPART_GRANDPAR
(15,5),(5,10),0.197876 # DEPENDENCYPART_GRANDPAR
(15,5),(5,11),-0.0698512 # DEPENDENCYPART_GRANDPAR
(15,5),(5,12),0.534515 # DEPENDENCYPART_GRANDPAR
(15,5),(5,15),-1.25863 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,5),(5,16),-0.112447 # DEPENDENCYPART_GRANDPAR
(15,5),(5,20),-0.0566344 # DEPENDENCYPART_GRANDPAR
(15,5),(5,25),-0.205999 # DEPENDENCYPART_GRANDPAR
(15,5),(5,31),-0.942224 # DEPENDENCYPART_GRANDPAR
(15,8),(8,1),-0.220811 # DEPENDENCYPART_GRANDPAR
(15,8),(8,2),-0.159661 # DEPENDENCYPART_GRANDPAR
(15,8),(8,3),-0.182839 # DEPENDENCYPART_GRANDPAR
(15,8),(8,4),-0.237063 # DEPENDENCYPART_GRANDPAR
(15,8),(8,5),-0.050274 # DEPENDENCYPART_GRANDPAR
(15,8),(8,6),-0.0207831 # DEPENDENCYPART_GRANDPAR
(15,8),(8,7),0.259076 # DEPENDENCYPART_GRANDPAR
(15,8),(8,9),0.287865 # DEPENDENCYPART_GRANDPAR
(15,8),(8,10),0.187668 # DEPENDENCYPART_GRANDPAR
(15,8),(8,11),-0.0108176 # DEPENDENCYPART_GRANDPAR
(15,8),(8,12),0.5647 # DEPENDENCYPART_GRANDPAR
(15,8),(8,15),-1.24371 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,8),(8,16),-0.172568 # DEPENDENCYPART_GRANDPAR
(15,8),(8,17),-0.43101 # DEPENDENCYPART_GRANDPAR
(15,8),(8,18),-0.198679 # DEPENDENCYPART_GRANDPAR
(15,8),(8,20),-0.0828254 # DEPENDENCYPART_GRANDPAR
(15,8),(8,31),-0.955426 # DEPENDENCYPART_GRANDPAR
(15,10),(10,4),-0.346649 # DEPENDENCYPART_GRANDPAR
(15,10),(10,5),-0.110513 # DEPENDENCYPART_GRANDPAR
(15,10),(10,8),-0.124698 # DEPENDENCYPART_GRANDPAR
(15,10),(10,9),0.313575 # DEPENDENCYPART_GRANDPAR
(15,10),(10,11),-0.112261 # DEPENDENCYPART_GRANDPAR
(15,10),(10,12),0.462685 # DEPENDENCYPART_GRANDPAR
(15,10),(10,15),-1.13877 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,10),(10,16),-0.0553934 # DEPENDENCYPART_GRANDPAR
(15,10),(10,17),-0.379982 # DEPENDENCYPART_GRANDPAR
(15,11),(11,1),-0.108821 # DEPENDENCYPART_GRANDPAR
(15,11),(11,4),-0.30988 # DEPENDENCYPART_GRANDPAR
(15,11),(11,5),-0.144923 # DEPENDENCYPART_GRANDPAR
(15,11),(11,6),0.0912074 # DEPENDENCYPART_GRANDPAR
(15,11),(11,7),0.250151 # DEPENDENCYPART_GRANDPAR
(15,11),(11,8),-0.0678152 # DEPENDENCYPART_GRANDPAR
(15,11),(11,9),0.404941 # DEPENDENCYPART_GRANDPAR
(15,11),(11,10),0.384185 # DEPENDENCYPART_GRANDPAR
(15,11),(11,12),0.483355 # DEPENDENCYPART_GRANDPAR
(15,11),(11,15),-1.19658 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,11),(11,16),-0.131231 # DEPENDENCYPART_GRANDPAR
(15,11),(11,17),-0.429035 # DEPENDENCYPART_GRANDPAR
(15,11),(11,31),-0.929667 # DEPENDENCYPART_GRANDPAR
(15,12),(12,1),-0.247859 # DEPENDENCYPART_GRANDPAR
(15,12),(12,2),-0.170121 # DEPENDENCYPART_GRANDPAR
(15,12),(12,4),-0.281155 # DEPENDENCYPART_GRANDPAR
(15,12),(12,5),-0.0699585 # DEPENDENCYPART_GRANDPAR
(15,12),(12,6),-0.047831 # DEPENDENCYPART_GRANDPAR
(15,12),(12,7),0.245832 # DEPENDENCYPART_GRANDPAR
(15,12),(12,8),-0.0446645 # DEPENDENCYPART_GRANDPAR
(15,12),(12,9),0.313355 # DEPENDENCYPART_GRANDPAR
(15,12),(12,10),0.279564 # DEPENDENCYPART_GRANDPAR
(15,12),(12,11),-0.0091184 # DEPENDENCYPART_GRANDPAR
(15,12),(12,13),0.311575 # DEPENDENCYPART_GRANDPAR
(15,12),(12,14),0.256057 # DEPENDENCYPART_GRANDPAR
(15,12),(12,15),-1.17968 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,12),(12,16),-0.0322328 # DEPENDENCYPART_GRANDPAR
(15,12),(12,17),-0.406476 # DEPENDENCYPART_GRANDPAR
(15,12),(12,18),-0.136201 # DEPENDENCYPART_GRANDPAR
(15,12),(12,19),-0.200571 # DEPENDENCYPART_GRANDPAR
(15,12),(12,20),-0.0334835 # DEPENDENCYPART_GRANDPAR
(15,12),(12,21),-0.31133 # DEPENDENCYPART_GRANDPAR
(15,12),(12,22),-0.320758 # DEPENDENCYPART_GRANDPAR
(15,12),(12,23),-0.386042 # DEPENDENCYPART_GRANDPAR
(15,12),(12,24),-0.354002 # DEPENDENCYPART_GRANDPAR
(15,12),(12,25),-0.145586 # DEPENDENCYPART_GRANDPAR
(15,12),(12,26),-0.289472 # DEPENDENCYPART_GRANDPAR
(15,12),(12,28),-0.617651 # DEPENDENCYPART_GRANDPAR
(15,12),(12,29),-0.523826 # DEPENDENCYPART_GRANDPAR
(15,12),(12,30),-0.748425 # DEPENDENCYPART_GRANDPAR
(15,12),(12,31),-0.832838 # DEPENDENCYPART_GRANDPAR
(15,13),(13,17),-0.425966 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),0.193449 # DEPENDENCYPART_GRANDPAR
(15,14),(14,17),-0.430823 # DEPENDENCYPART_GRANDPAR
(15,17),(17,1),-0.646228 # DEPENDENCYPART_GRANDPAR
(15,17),(17,2),-0.660903 # DEPENDENCYPART_GRANDPAR
(15,17),(17,4),-0.900911 # DEPENDENCYPART_GRANDPAR
(15,17),(17,5),-0.823485 # DEPENDENCYPART_GRANDPAR
(15,17),(17,8),-0.763507 # DEPENDENCYPART_GRANDPAR
(15,17),(17,9),-0.202589 # DEPENDENCYPART_GRANDPAR
(15,17),(17,10),-0.197116 # DEPENDENCYPART_GRANDPAR
(15,17),(17,11),-0.636535 # DEPENDENCYPART_GRANDPAR
(15,17),(17,12),0.0107014 # DEPENDENCYPART_GRANDPAR
(15,17),(17,13),-0.20392 # DEPENDENCYPART_GRANDPAR
(15,17),(17,14),-0.267459 # DEPENDENCYPART_GRANDPAR
(15,17),(17,15),-0.700489 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,17),(17,16),0.195557 # DEPENDENCYPART_GRANDPAR
(15,17),(17,18),0.321296 # DEPENDENCYPART_GRANDPAR
(15,17),(17,19),0.277357 # DEPENDENCYPART_GRANDPAR
(15,17),(17,20),0.438488 # DEPENDENCYPART_GRANDPAR
(15,17),(17,21),0.169228 # DEPENDENCYPART_GRANDPAR
(15,17),(17,22),0.26021 # DEPENDENCYPART_GRANDPAR
(15,17),(17,23),0.30701 # DEPENDENCYPART_GRANDPAR
(15,17),(17,24),0.228863 # DEPENDENCYPART_GRANDPAR
(15,17),(17,25),0.288083 # DEPENDENCYPART_GRANDPAR
(15,17),(17,26),0.166958 # DEPENDENCYPART_GRANDPAR
(15,17),(17,27),-0.0739215 # DEPENDENCYPART_GRANDPAR
(15,17),(17,28),-0.0366821 # DEPENDENCYPART_GRANDPAR
(15,17),(17,29),0.169226 # DEPENDENCYPART_GRANDPAR
(15,17),(17,30),-0.166136 # DEPENDENCYPART_GRANDPAR
(15,17),(17,31),-0.58498 # DEPENDENCYPART_GRANDPAR
(15,18),(18,15),-0.603259 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,18),(18,19),0.286156 # DEPENDENCYPART_GRANDPAR
(15,18),(18,20),0.514965 # DEPENDENCYPART_GRANDPAR
(15,18),(18,21),0.142954 # DEPENDENCYPART_GRANDPAR
(15,18),(18,22),0.273739 # DEPENDENCYPART_GRANDPAR
(15,18),(18,23),0.375835 # DEPENDENCYPART_GRANDPAR
(15,18),(18,25),0.287628 # DEPENDENCYPART_GRANDPAR
(15,18),(18,27),-0.114536 # DEPENDENCYPART_GRANDPAR
(15,19),(19,4),-0.832345 # DEPENDENCYPART_GRANDPAR
(15,19),(19,5),-0.749994 # DEPENDENCYPART_GRANDPAR
(15,19),(19,8),-0.709297 # DEPENDENCYPART_GRANDPAR
(15,19),(19,9),-0.241583 # DEPENDENCYPART_GRANDPAR
(15,19),(19,10),-0.167781 # DEPENDENCYPART_GRANDPAR
(15,19),(19,11),-0.56797 # DEPENDENCYPART_GRANDPAR
(15,19),(19,12),0.041875 # DEPENDENCYPART_GRANDPAR
(15,19),(19,13),-0.173316 # DEPENDENCYPART_GRANDPAR
(15,19),(19,14),-0.213258 # DEPENDENCYPART_GRANDPAR
(15,19),(19,15),-0.670366 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,19),(19,16),0.31938 # DEPENDENCYPART_GRANDPAR
(15,19),(19,17),0.0504081 # DEPENDENCYPART_GRANDPAR
(15,19),(19,18),0.321276 # DEPENDENCYPART_GRANDPAR
(15,19),(19,20),0.515523 # DEPENDENCYPART_GRANDPAR
(15,19),(19,21),0.217984 # DEPENDENCYPART_GRANDPAR
(15,19),(19,22),0.196901 # DEPENDENCYPART_GRANDPAR
(15,19),(19,23),0.320161 # DEPENDENCYPART_GRANDPAR
(15,19),(19,24),0.171547 # DEPENDENCYPART_GRANDPAR
(15,19),(19,25),0.28822 # DEPENDENCYPART_GRANDPAR
(15,19),(19,29),0.182378 # DEPENDENCYPART_GRANDPAR
(15,20),(20,18),0.236096 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),0.19787 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),0.159583 # DEPENDENCYPART_GRANDPAR
(15,20),(20,22),0.173478 # DEPENDENCYPART_GRANDPAR
(15,22),(22,10),-0.189298 # DEPENDENCYPART_GRANDPAR
(15,22),(22,13),-0.261381 # DEPENDENCYPART_GRANDPAR
(15,22),(22,15),-0.675998 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,22),(22,18),0.238583 # DEPENDENCYPART_GRANDPAR
(15,22),(22,19),0.262923 # DEPENDENCYPART_GRANDPAR
(15,22),(22,20),0.440104 # DEPENDENCYPART_GRANDPAR
(15,22),(22,21),0.139177 # DEPENDENCYPART_GRANDPAR
(15,22),(22,23),0.229218 # DEPENDENCYPART_GRANDPAR
(15,22),(22,24),0.219408 # DEPENDENCYPART_GRANDPAR
(15,22),(22,25),0.400932 # DEPENDENCYPART_GRANDPAR
(15,22),(22,26),0.246485 # DEPENDENCYPART_GRANDPAR
(15,22),(22,27),0.0549793 # DEPENDENCYPART_GRANDPAR
(15,22),(22,28),-0.0516425 # DEPENDENCYPART_GRANDPAR
(15,22),(22,29),0.0914347 # DEPENDENCYPART_GRANDPAR
(15,23),(23,18),0.268799 # DEPENDENCYPART_GRANDPAR
(15,23),(23,21),0.0111247 # DEPENDENCYPART_GRANDPAR
(15,23),(23,22),0.260662 # DEPENDENCYPART_GRANDPAR
(15,23),(23,24),0.161478 # DEPENDENCYPART_GRANDPAR
(15,23),(23,25),0.279688 # DEPENDENCYPART_GRANDPAR
(15,23),(23,26),0.152112 # DEPENDENCYPART_GRANDPAR
(15,23),(23,27),-0.0178687 # DEPENDENCYPART_GRANDPAR
(15,23),(23,28),-0.121587 # DEPENDENCYPART_GRANDPAR
(15,23),(23,30),-0.234308 # DEPENDENCYPART_GRANDPAR
(15,24),(24,19),0.271142 # DEPENDENCYPART_GRANDPAR
(15,24),(24,21),0.12592 # DEPENDENCYPART_GRANDPAR
(15,24),(24,22),0.178474 # DEPENDENCYPART_GRANDPAR
(15,24),(24,23),0.100065 # DEPENDENCYPART_GRANDPAR
(15,24),(24,25),0.411918 # DEPENDENCYPART_GRANDPAR
(15,24),(24,26),0.248346 # DEPENDENCYPART_GRANDPAR
(15,24),(24,27),0.0817057 # DEPENDENCYPART_GRANDPAR
(15,24),(24,28),-0.0443503 # DEPENDENCYPART_GRANDPAR
(15,24),(24,29),0.102708 # DEPENDENCYPART_GRANDPAR
(15,24),(24,30),-0.169023 # DEPENDENCYPART_GRANDPAR
(15,24),(24,31),-0.470175 # DEPENDENCYPART_GRANDPAR
(15,31),(31,30),-0.281437 # DEPENDENCYPART_GRANDPAR
(17,2),(2,1),0.880714 # DEPENDENCYPART_GRANDPAR
(17,2),(2,3),0.511994 # DEPENDENCYPART_GRANDPAR
(17,2),(2,5),0.345214 # DEPENDENCYPART_GRANDPAR
(17,4),(4,1),1.02729 # DEPENDENCYPART_GRANDPAR
(17,4),(4,2),1.00985 # DEPENDENCYPART_GRANDPAR
(17,4),(4,3),0.598981 # DEPENDENCYPART_GRANDPAR
(17,4),(4,5),0.229472 # DEPENDENCYPART_GRANDPAR
(17,4),(4,7),0.297191 # DEPENDENCYPART_GRANDPAR
(17,4),(4,8),0.399869 # DEPENDENCYPART_GRANDPAR
(17,4),(4,9),0.54227 # DEPENDENCYPART_GRANDPAR
(17,4),(4,10),0.664822 # DEPENDENCYPART_GRANDPAR
(17,4),(4,11),0.254782 # DEPENDENCYPART_GRANDPAR
(17,4),(4,12),0.834937 # DEPENDENCYPART_GRANDPAR
(17,4),(4,15),0.457536 # DEPENDENCYPART_GRANDPAR
(17,4),(4,16),0.983357 # DEPENDENCYPART_GRANDPAR
(17,4),(4,17),-0.864647 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,4),(4,20),0.160349 # DEPENDENCYPART_GRANDPAR
(17,4),(4,22),0.0853629 # DEPENDENCYPART_GRANDPAR
(17,4),(4,31),0.207813 # DEPENDENCYPART_GRANDPAR
(17,5),(5,4),0.378824 # DEPENDENCYPART_GRANDPAR
(17,5),(5,6),0.6937 # DEPENDENCYPART_GRANDPAR
(17,5),(5,7),0.198336 # DEPENDENCYPART_GRANDPAR
(17,5),(5,8),0.466307 # DEPENDENCYPART_GRANDPAR
(17,5),(5,9),0.547953 # DEPENDENCYPART_GRANDPAR
(17,5),(5,10),0.818818 # DEPENDENCYPART_GRANDPAR
(17,5),(5,11),0.306339 # DEPENDENCYPART_GRANDPAR
(17,5),(5,12),0.963023 # DEPENDENCYPART_GRANDPAR
(17,5),(5,15),0.46886 # DEPENDENCYPART_GRANDPAR
(17,5),(5,16),0.98904 # DEPENDENCYPART_GRANDPAR
(17,5),(5,20),0.108042 # DEPENDENCYPART_GRANDPAR
(17,5),(5,25),-0.0194767 # DEPENDENCYPART_GRANDPAR
(17,5),(5,31),0.148203 # DEPENDENCYPART_GRANDPAR
(17,8),(8,1),0.894918 # DEPENDENCYPART_GRANDPAR
(17,8),(8,2),0.823526 # DEPENDENCYPART_GRANDPAR
(17,8),(8,3),0.516962 # DEPENDENCYPART_GRANDPAR
(17,8),(8,4),0.360011 # DEPENDENCYPART_GRANDPAR
(17,8),(8,5),0.436418 # DEPENDENCYPART_GRANDPAR
(17,8),(8,6),0.80861 # DEPENDENCYPART_GRANDPAR
(17,8),(8,7),0.381612 # DEPENDENCYPART_GRANDPAR
(17,8),(8,9),0.646873 # DEPENDENCYPART_GRANDPAR
