# _root_ `` It was simply overbought , '' he said , and selling by funds that are computer guided helped depress prices .
#goldHeads=3,3,9,3,3,3,3,9,0,9,3,19,12,13,16,14,16,17,11,19,20,3,
#predictedHeads=9,3,9,3,3,9,9,9,0,9,3,19,12,13,16,14,16,16,11,19,20,3,
(4,9),(9,15),(9,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,23),-0.0397541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,16),(9,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,23),-0.0448962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,19),(9,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,19),(9,23),-0.0326524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,22),(9,23),-0.0440841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,8),0.123832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,7),0.102624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,6),0.0989238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,5),0.102473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,4),0.0987192 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,9),(9,3),-0.0641583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,2),-0.0647368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,-1),-0.141699 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,8),(9,7),0.101739 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,6),0.102462 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,4),0.102778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,8),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,-1),-0.0390417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,7),(9,6),0.101101 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,7),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,-1),-0.0645867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,6),(9,5),0.102951 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,4),0.108889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,6),(9,3),-0.0658198 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,-1),-0.0585822 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,5),(9,4),0.103069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,5),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,5),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,5),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,5),(9,-1),-0.0648631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,4),(9,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,4),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,4),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,4),(9,-1),-0.0745861 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,3),(9,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,3),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,3),(9,-1),-0.0565635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,2),(9,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,2),(9,-1),-0.0489388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,1),(9,-1),-0.0685913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,11),-0.043667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,23),-0.057412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,11),(10,23),-0.043667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,-1),-0.0796486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,11),(11,12),-0.0310985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,13),0.0271959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,14),-0.0825112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,15),-0.0464327 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,16),-0.0861117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,17),-0.0374638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,18),-0.0573944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,19),-0.0676261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,20),-0.058224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,23),-0.0809011 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,12),(11,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,23),-0.0312043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,13),(11,14),-0.0423978 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,17),-0.0420402 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,18),-0.0420306 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,23),0.0434846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,14),(11,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,16),-0.0420826 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,17),-0.0420276 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,20),-0.0422011 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,23),-0.0961333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,15),(11,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,15),(11,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,15),(11,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,15),(11,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,15),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,15),(11,23),-0.0465593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,16),(11,17),-0.0420183 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,18),-0.0421329 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,23),-0.0874067 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,17),(11,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,17),(11,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,17),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,17),(11,23),-0.0477583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,18),(11,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,18),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,18),(11,23),-0.0583026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,19),(11,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,19),(11,23),-0.0681359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,20),(11,23),-0.0589376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,10),0.101045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,9),0.102987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,-1),0.0531472 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,10),(11,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,-1),-0.0660557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,9),(11,-1),-0.0642347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,2),0.103054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,3),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,23),-0.0472909 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,2),(1,3),0.10307 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,3),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,-1),-0.0104061 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,3),0.103064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,4),0.102889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,23),-0.0708413 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,3),(2,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,3),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,23),-0.0641825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,4),(2,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,4),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,23),-0.0641606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,5),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,23),-0.0642151 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,6),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,23),-0.0530197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,11),(2,23),-0.0522542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,2),(2,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,-1),0.0402857 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,1),(2,-1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,4),0.0903822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,5),-0.0658544 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,3),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,8),-0.0647797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,9),-0.0646591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,11),-0.0641719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,12),-0.0645079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,13),-0.0657119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,16),-0.0641755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,18),-0.0658544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,19),-0.064615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,20),-0.0641745 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,23),-0.058413 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,4),(3,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,4),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,23),-0.0709718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,5),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,7),-0.0641459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,23),-0.0508388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,6),(3,7),-0.0641541 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,9),-0.0643342 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,11),-0.0641597 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,12),-0.0641559 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,13),-0.0687772 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,16),-0.0662414 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,18),-0.0641592 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,19),-0.0643252 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,23),-0.0918114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,7),(3,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,12),-0.0641513 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,23),-0.0664032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,8),(3,9),-0.0641494 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,13),-0.0641474 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,19),-0.0641494 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,23),-0.0163738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,9),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,23),-0.066683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,10),(3,11),-0.0641597 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,12),-0.0641559 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,13),-0.0687772 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,16),-0.0662414 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,18),-0.0641592 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,19),-0.0643252 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,23),-0.0918114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,11),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,13),-0.0641463 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,18),-0.064164 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,23),-0.0677251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,12),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,12),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,12),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,12),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,12),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,12),(3,22),-0.0641556 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,12),(3,23),-0.0661983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,13),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,13),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,13),(3,19),-0.0641503 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,13),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,13),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,13),(3,23),-0.0880062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,16),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,16),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,16),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,16),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,16),(3,23),-0.0666628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,18),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,18),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,18),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,18),(3,23),-0.0508388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,19),(3,20),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,19),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,19),(3,23),-0.0666196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,20),(3,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,20),(3,23),-0.0645667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,22),(3,23),-0.0641942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,2),-0.0273126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,1),-0.0427841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,-1),-0.0495754 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,2),(3,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,2),(3,-1),-0.0485735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,1),(3,-1),-0.042209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,5),-0.0644133 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,4),(4,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,9),-0.0641645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
