# _root_ By 10:25 , the Dow had turned up for the day , prompting cheers on trading desks and exchange floors .
#goldHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
#predictedHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,14,17,15,17,20,18,6,
(13,15),(15,14),0.825582 # DEPENDENCYPART_GRANDPAR
(13,15),(15,16),0.723801 # DEPENDENCYPART_GRANDPAR
(13,15),(15,17),0.600916 # DEPENDENCYPART_GRANDPAR
(13,15),(15,18),0.90302 # DEPENDENCYPART_GRANDPAR
(13,15),(15,19),0.576514 # DEPENDENCYPART_GRANDPAR
(13,15),(15,20),0.464154 # DEPENDENCYPART_GRANDPAR
(13,15),(15,21),0.219836 # DEPENDENCYPART_GRANDPAR
(13,16),(16,11),-0.277305 # DEPENDENCYPART_GRANDPAR
(13,16),(16,14),0.916653 # DEPENDENCYPART_GRANDPAR
(13,16),(16,15),0.629872 # DEPENDENCYPART_GRANDPAR
(13,16),(16,17),0.510056 # DEPENDENCYPART_GRANDPAR
(13,16),(16,18),1.00312 # DEPENDENCYPART_GRANDPAR
(13,16),(16,19),0.44651 # DEPENDENCYPART_GRANDPAR
(13,16),(16,20),0.370353 # DEPENDENCYPART_GRANDPAR
(13,17),(17,9),0.00927 # DEPENDENCYPART_GRANDPAR
(13,17),(17,13),-0.509294 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,17),(17,14),0.953137 # DEPENDENCYPART_GRANDPAR
(13,17),(17,15),0.643058 # DEPENDENCYPART_GRANDPAR
(13,17),(17,16),0.546904 # DEPENDENCYPART_GRANDPAR
(13,17),(17,18),0.7746 # DEPENDENCYPART_GRANDPAR
(13,17),(17,19),0.383917 # DEPENDENCYPART_GRANDPAR
(13,17),(17,20),0.323122 # DEPENDENCYPART_GRANDPAR
(13,17),(17,21),0.199102 # DEPENDENCYPART_GRANDPAR
(13,18),(18,19),0.383941 # DEPENDENCYPART_GRANDPAR
(13,18),(18,20),0.377931 # DEPENDENCYPART_GRANDPAR
(13,19),(19,20),0.397596 # DEPENDENCYPART_GRANDPAR
(13,20),(20,2),-0.428336 # DEPENDENCYPART_GRANDPAR
(13,20),(20,11),-0.295312 # DEPENDENCYPART_GRANDPAR
(13,20),(20,13),-0.509305 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,20),(20,14),0.953046 # DEPENDENCYPART_GRANDPAR
(13,20),(20,15),0.644056 # DEPENDENCYPART_GRANDPAR
(13,20),(20,16),0.546822 # DEPENDENCYPART_GRANDPAR
(13,20),(20,17),0.463504 # DEPENDENCYPART_GRANDPAR
(13,20),(20,19),0.35919 # DEPENDENCYPART_GRANDPAR
(13,20),(20,21),0.199102 # DEPENDENCYPART_GRANDPAR
(13,21),(21,20),0.18786 # DEPENDENCYPART_GRANDPAR
(14,2),(2,1),0.105397 # DEPENDENCYPART_GRANDPAR
(14,2),(2,3),0.233572 # DEPENDENCYPART_GRANDPAR
(14,2),(2,4),-0.0411178 # DEPENDENCYPART_GRANDPAR
(14,2),(2,5),-0.0935805 # DEPENDENCYPART_GRANDPAR
(14,2),(2,6),-0.124852 # DEPENDENCYPART_GRANDPAR
(14,2),(2,7),-0.0493366 # DEPENDENCYPART_GRANDPAR
(14,2),(2,8),-0.0677016 # DEPENDENCYPART_GRANDPAR
(14,2),(2,9),0.0187723 # DEPENDENCYPART_GRANDPAR
(14,2),(2,11),0.235047 # DEPENDENCYPART_GRANDPAR
(14,2),(2,12),0.43321 # DEPENDENCYPART_GRANDPAR
(14,2),(2,13),0.0718864 # DEPENDENCYPART_GRANDPAR
(14,5),(5,1),-0.00728444 # DEPENDENCYPART_GRANDPAR
(14,5),(5,2),-0.113587 # DEPENDENCYPART_GRANDPAR
(14,5),(5,3),0.493621 # DEPENDENCYPART_GRANDPAR
(14,5),(5,4),-0.102746 # DEPENDENCYPART_GRANDPAR
(14,5),(5,7),-0.0720281 # DEPENDENCYPART_GRANDPAR
(14,9),(9,8),0.0407606 # DEPENDENCYPART_GRANDPAR
(14,9),(9,10),0.262169 # DEPENDENCYPART_GRANDPAR
(14,9),(9,11),0.086597 # DEPENDENCYPART_GRANDPAR
(14,9),(9,12),0.409712 # DEPENDENCYPART_GRANDPAR
(14,9),(9,13),0.035962 # DEPENDENCYPART_GRANDPAR
(14,9),(9,14),-0.854822 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,9),(9,15),0.0550568 # DEPENDENCYPART_GRANDPAR
(14,9),(9,16),-0.0710206 # DEPENDENCYPART_GRANDPAR
(14,9),(9,17),0.222066 # DEPENDENCYPART_GRANDPAR
(14,9),(9,18),-0.0514568 # DEPENDENCYPART_GRANDPAR
(14,9),(9,21),-0.282833 # DEPENDENCYPART_GRANDPAR
(14,11),(11,1),-0.0199488 # DEPENDENCYPART_GRANDPAR
(14,11),(11,8),0.170364 # DEPENDENCYPART_GRANDPAR
(14,11),(11,9),0.275337 # DEPENDENCYPART_GRANDPAR
(14,11),(11,10),0.291389 # DEPENDENCYPART_GRANDPAR
(14,11),(11,12),0.462951 # DEPENDENCYPART_GRANDPAR
(14,11),(11,13),0.0723511 # DEPENDENCYPART_GRANDPAR
(14,11),(11,14),-0.789566 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,11),(11,15),0.0537259 # DEPENDENCYPART_GRANDPAR
(14,11),(11,16),-0.0701106 # DEPENDENCYPART_GRANDPAR
(14,11),(11,17),0.287321 # DEPENDENCYPART_GRANDPAR
(14,11),(11,18),-0.095208 # DEPENDENCYPART_GRANDPAR
(14,11),(11,20),-0.0176263 # DEPENDENCYPART_GRANDPAR
(14,13),(13,1),-0.13585 # DEPENDENCYPART_GRANDPAR
(14,13),(13,5),-0.0782356 # DEPENDENCYPART_GRANDPAR
(14,13),(13,9),0.142952 # DEPENDENCYPART_GRANDPAR
(14,13),(13,11),0.0544099 # DEPENDENCYPART_GRANDPAR
(14,13),(13,12),0.479255 # DEPENDENCYPART_GRANDPAR
(14,13),(13,14),-0.782996 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,13),(13,15),0.0319575 # DEPENDENCYPART_GRANDPAR
(14,13),(13,16),-0.0551067 # DEPENDENCYPART_GRANDPAR
(14,13),(13,17),0.293892 # DEPENDENCYPART_GRANDPAR
(14,13),(13,18),-0.0496742 # DEPENDENCYPART_GRANDPAR
(14,13),(13,19),-0.244282 # DEPENDENCYPART_GRANDPAR
(14,13),(13,20),-0.0110556 # DEPENDENCYPART_GRANDPAR
(14,13),(13,21),-0.285844 # DEPENDENCYPART_GRANDPAR
(14,15),(15,9),-0.395587 # DEPENDENCYPART_GRANDPAR
(14,15),(15,11),-0.513208 # DEPENDENCYPART_GRANDPAR
(14,15),(15,12),-0.060981 # DEPENDENCYPART_GRANDPAR
(14,15),(15,13),-0.380738 # DEPENDENCYPART_GRANDPAR
(14,15),(15,14),-0.326066 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,15),(15,16),0.423427 # DEPENDENCYPART_GRANDPAR
(14,15),(15,17),1.00538 # DEPENDENCYPART_GRANDPAR
(14,15),(15,18),0.512211 # DEPENDENCYPART_GRANDPAR
(14,15),(15,19),0.303454 # DEPENDENCYPART_GRANDPAR
(14,15),(15,20),0.698853 # DEPENDENCYPART_GRANDPAR
(14,15),(15,21),0.128183 # DEPENDENCYPART_GRANDPAR
(14,16),(16,11),-0.475396 # DEPENDENCYPART_GRANDPAR
(14,16),(16,14),-0.310629 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,16),(16,15),0.464809 # DEPENDENCYPART_GRANDPAR
(14,16),(16,17),0.831277 # DEPENDENCYPART_GRANDPAR
(14,16),(16,18),0.412085 # DEPENDENCYPART_GRANDPAR
(14,16),(16,19),0.262411 # DEPENDENCYPART_GRANDPAR
(14,16),(16,20),0.524959 # DEPENDENCYPART_GRANDPAR
(14,17),(17,9),-0.349188 # DEPENDENCYPART_GRANDPAR
(14,17),(17,13),-0.311814 # DEPENDENCYPART_GRANDPAR
(14,17),(17,14),-0.297411 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,17),(17,15),0.451195 # DEPENDENCYPART_GRANDPAR
(14,17),(17,16),0.361849 # DEPENDENCYPART_GRANDPAR
(14,17),(17,18),0.660513 # DEPENDENCYPART_GRANDPAR
(14,17),(17,19),0.325707 # DEPENDENCYPART_GRANDPAR
(14,17),(17,20),0.672753 # DEPENDENCYPART_GRANDPAR
(14,17),(17,21),0.23405 # DEPENDENCYPART_GRANDPAR
(14,18),(18,19),0.462985 # DEPENDENCYPART_GRANDPAR
(14,18),(18,20),0.801181 # DEPENDENCYPART_GRANDPAR
(14,20),(20,2),-0.736427 # DEPENDENCYPART_GRANDPAR
(14,20),(20,11),-0.448428 # DEPENDENCYPART_GRANDPAR
(14,20),(20,13),-0.311814 # DEPENDENCYPART_GRANDPAR
(14,20),(20,14),-0.297489 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,20),(20,15),0.452203 # DEPENDENCYPART_GRANDPAR
(14,20),(20,16),0.361777 # DEPENDENCYPART_GRANDPAR
(14,20),(20,17),0.780882 # DEPENDENCYPART_GRANDPAR
(14,20),(20,19),0.358778 # DEPENDENCYPART_GRANDPAR
(14,20),(20,21),0.234582 # DEPENDENCYPART_GRANDPAR
(14,21),(21,20),0.400535 # DEPENDENCYPART_GRANDPAR
(15,9),(9,8),0.323678 # DEPENDENCYPART_GRANDPAR
(15,9),(9,10),-0.0105077 # DEPENDENCYPART_GRANDPAR
(15,9),(9,11),0.029052 # DEPENDENCYPART_GRANDPAR
(15,9),(9,12),0.0415546 # DEPENDENCYPART_GRANDPAR
(15,9),(9,13),0.226409 # DEPENDENCYPART_GRANDPAR
(15,9),(9,14),-0.0925285 # DEPENDENCYPART_GRANDPAR
(15,9),(9,15),-1.20394 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,9),(9,16),0.498459 # DEPENDENCYPART_GRANDPAR
(15,9),(9,17),0.157973 # DEPENDENCYPART_GRANDPAR
(15,9),(9,18),0.0259955 # DEPENDENCYPART_GRANDPAR
(15,9),(9,21),-0.643076 # DEPENDENCYPART_GRANDPAR
(15,11),(11,1),0.180173 # DEPENDENCYPART_GRANDPAR
(15,11),(11,8),0.437058 # DEPENDENCYPART_GRANDPAR
(15,11),(11,9),0.420608 # DEPENDENCYPART_GRANDPAR
(15,11),(11,10),0.244064 # DEPENDENCYPART_GRANDPAR
(15,11),(11,12),0.152966 # DEPENDENCYPART_GRANDPAR
(15,11),(11,13),0.307472 # DEPENDENCYPART_GRANDPAR
(15,11),(11,14),-0.0695011 # DEPENDENCYPART_GRANDPAR
(15,11),(11,15),-1.2044 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,11),(11,16),0.482794 # DEPENDENCYPART_GRANDPAR
(15,11),(11,17),0.206109 # DEPENDENCYPART_GRANDPAR
(15,11),(11,18),-0.0261273 # DEPENDENCYPART_GRANDPAR
(15,11),(11,20),-0.176087 # DEPENDENCYPART_GRANDPAR
(15,13),(13,1),0.214033 # DEPENDENCYPART_GRANDPAR
(15,13),(13,5),0.0161197 # DEPENDENCYPART_GRANDPAR
(15,13),(13,9),0.423532 # DEPENDENCYPART_GRANDPAR
(15,13),(13,11),0.12031 # DEPENDENCYPART_GRANDPAR
(15,13),(13,12),0.0515769 # DEPENDENCYPART_GRANDPAR
(15,13),(13,14),0.0482552 # DEPENDENCYPART_GRANDPAR
(15,13),(13,15),-1.1835 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,13),(13,16),0.545472 # DEPENDENCYPART_GRANDPAR
(15,13),(13,17),0.262862 # DEPENDENCYPART_GRANDPAR
(15,13),(13,18),0.0646455 # DEPENDENCYPART_GRANDPAR
(15,13),(13,19),-0.404197 # DEPENDENCYPART_GRANDPAR
(15,13),(13,20),-0.119334 # DEPENDENCYPART_GRANDPAR
(15,13),(13,21),-0.612317 # DEPENDENCYPART_GRANDPAR
(15,14),(14,2),0.137231 # DEPENDENCYPART_GRANDPAR
(15,14),(14,5),0.0401673 # DEPENDENCYPART_GRANDPAR
(15,14),(14,9),0.33386 # DEPENDENCYPART_GRANDPAR
(15,14),(14,10),0.307393 # DEPENDENCYPART_GRANDPAR
(15,14),(14,11),0.0968739 # DEPENDENCYPART_GRANDPAR
(15,14),(14,12),0.123827 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),0.277221 # DEPENDENCYPART_GRANDPAR
(15,14),(14,15),-1.20109 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,14),(14,16),0.50173 # DEPENDENCYPART_GRANDPAR
(15,14),(14,17),0.184018 # DEPENDENCYPART_GRANDPAR
(15,14),(14,18),-0.00603772 # DEPENDENCYPART_GRANDPAR
(15,14),(14,20),-0.198179 # DEPENDENCYPART_GRANDPAR
(15,14),(14,21),-0.687316 # DEPENDENCYPART_GRANDPAR
(15,16),(16,11),-0.522218 # DEPENDENCYPART_GRANDPAR
(15,16),(16,14),-0.623336 # DEPENDENCYPART_GRANDPAR
(15,16),(16,15),-0.730671 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,16),(16,17),0.710611 # DEPENDENCYPART_GRANDPAR
(15,16),(16,18),0.720428 # DEPENDENCYPART_GRANDPAR
(15,16),(16,19),0.21725 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),0.322093 # DEPENDENCYPART_GRANDPAR
(15,17),(17,9),-0.220589 # DEPENDENCYPART_GRANDPAR
(15,17),(17,13),-0.27377 # DEPENDENCYPART_GRANDPAR
(15,17),(17,14),-0.69976 # DEPENDENCYPART_GRANDPAR
(15,17),(17,15),-0.844632 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,17),(17,16),1.03289 # DEPENDENCYPART_GRANDPAR
(15,17),(17,18),0.579477 # DEPENDENCYPART_GRANDPAR
(15,17),(17,19),0.171197 # DEPENDENCYPART_GRANDPAR
(15,17),(17,20),0.359015 # DEPENDENCYPART_GRANDPAR
(15,17),(17,21),-0.173978 # DEPENDENCYPART_GRANDPAR
(15,18),(18,19),-0.00935065 # DEPENDENCYPART_GRANDPAR
(15,18),(18,20),0.155393 # DEPENDENCYPART_GRANDPAR
(15,19),(19,20),0.337867 # DEPENDENCYPART_GRANDPAR
(15,20),(20,2),-0.58717 # DEPENDENCYPART_GRANDPAR
(15,20),(20,11),-0.599866 # DEPENDENCYPART_GRANDPAR
(15,20),(20,13),-0.27377 # DEPENDENCYPART_GRANDPAR
(15,20),(20,14),-0.69976 # DEPENDENCYPART_GRANDPAR
(15,20),(20,15),-0.844013 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,20),(20,16),1.03236 # DEPENDENCYPART_GRANDPAR
(15,20),(20,17),0.84857 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),0.243727 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),-0.157684 # DEPENDENCYPART_GRANDPAR
(15,21),(21,20),0.334457 # DEPENDENCYPART_GRANDPAR
(16,11),(11,1),0.151444 # DEPENDENCYPART_GRANDPAR
(16,11),(11,8),0.286032 # DEPENDENCYPART_GRANDPAR
(16,11),(11,9),0.275228 # DEPENDENCYPART_GRANDPAR
(16,11),(11,10),0.253742 # DEPENDENCYPART_GRANDPAR
(16,11),(11,12),-0.149475 # DEPENDENCYPART_GRANDPAR
(16,11),(11,13),0.115303 # DEPENDENCYPART_GRANDPAR
(16,11),(11,14),-0.185002 # DEPENDENCYPART_GRANDPAR
(16,11),(11,15),0.149333 # DEPENDENCYPART_GRANDPAR
(16,11),(11,16),-0.868942 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,11),(11,17),0.383526 # DEPENDENCYPART_GRANDPAR
(16,11),(11,18),0.109405 # DEPENDENCYPART_GRANDPAR
(16,11),(11,20),-0.0133233 # DEPENDENCYPART_GRANDPAR
(16,14),(14,2),-0.0714958 # DEPENDENCYPART_GRANDPAR
(16,14),(14,5),0.110111 # DEPENDENCYPART_GRANDPAR
(16,14),(14,9),0.185471 # DEPENDENCYPART_GRANDPAR
(16,14),(14,10),0.291864 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),0.125075 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),-0.0602491 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),0.220923 # DEPENDENCYPART_GRANDPAR
(16,14),(14,15),0.176847 # DEPENDENCYPART_GRANDPAR
(16,14),(14,16),-0.818748 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,17),0.39582 # DEPENDENCYPART_GRANDPAR
(16,14),(14,18),0.167133 # DEPENDENCYPART_GRANDPAR
(16,14),(14,20),-0.00102975 # DEPENDENCYPART_GRANDPAR
(16,14),(14,21),-0.279184 # DEPENDENCYPART_GRANDPAR
(16,15),(15,9),0.272001 # DEPENDENCYPART_GRANDPAR
(16,15),(15,11),0.278867 # DEPENDENCYPART_GRANDPAR
(16,15),(15,12),0.0609326 # DEPENDENCYPART_GRANDPAR
(16,15),(15,13),0.343733 # DEPENDENCYPART_GRANDPAR
(16,15),(15,14),0.0618507 # DEPENDENCYPART_GRANDPAR
(16,15),(15,16),-0.82998 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,15),(15,17),0.375385 # DEPENDENCYPART_GRANDPAR
(16,15),(15,18),0.192764 # DEPENDENCYPART_GRANDPAR
(16,15),(15,19),-0.0331154 # DEPENDENCYPART_GRANDPAR
(16,15),(15,20),-0.021465 # DEPENDENCYPART_GRANDPAR
(16,15),(15,21),-0.24487 # DEPENDENCYPART_GRANDPAR
(16,17),(17,9),-0.239834 # DEPENDENCYPART_GRANDPAR
(16,17),(17,13),-0.274769 # DEPENDENCYPART_GRANDPAR
(16,17),(17,14),-0.626667 # DEPENDENCYPART_GRANDPAR
(16,17),(17,15),-0.108675 # DEPENDENCYPART_GRANDPAR
(16,17),(17,16),-0.434883 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,17),(17,18),0.627534 # DEPENDENCYPART_GRANDPAR
(16,17),(17,19),0.61232 # DEPENDENCYPART_GRANDPAR
(16,17),(17,20),0.527148 # DEPENDENCYPART_GRANDPAR
(16,17),(17,21),0.184616 # DEPENDENCYPART_GRANDPAR
(16,18),(18,19),0.620651 # DEPENDENCYPART_GRANDPAR
(16,18),(18,20),0.576828 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),0.57613 # DEPENDENCYPART_GRANDPAR
(16,20),(20,2),-0.607183 # DEPENDENCYPART_GRANDPAR
(16,20),(20,11),-0.507814 # DEPENDENCYPART_GRANDPAR
(16,20),(20,13),-0.274769 # DEPENDENCYPART_GRANDPAR
(16,20),(20,14),-0.626667 # DEPENDENCYPART_GRANDPAR
(16,20),(20,15),-0.108042 # DEPENDENCYPART_GRANDPAR
(16,20),(20,16),-0.434966 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,20),(20,17),0.907853 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),0.543541 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),0.184616 # DEPENDENCYPART_GRANDPAR
(17,9),(9,8),-0.220675 # DEPENDENCYPART_GRANDPAR
(17,9),(9,10),-0.0700739 # DEPENDENCYPART_GRANDPAR
(17,9),(9,11),-0.238003 # DEPENDENCYPART_GRANDPAR
(17,9),(9,12),0.187006 # DEPENDENCYPART_GRANDPAR
(17,9),(9,13),-0.152342 # DEPENDENCYPART_GRANDPAR
(17,9),(9,14),-0.269864 # DEPENDENCYPART_GRANDPAR
(17,9),(9,15),-0.0346112 # DEPENDENCYPART_GRANDPAR
(17,9),(9,16),-0.0457344 # DEPENDENCYPART_GRANDPAR
(17,9),(9,17),-0.87408 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,9),(9,18),0.0416206 # DEPENDENCYPART_GRANDPAR
(17,9),(9,21),-0.331178 # DEPENDENCYPART_GRANDPAR
(17,13),(13,1),-0.39992 # DEPENDENCYPART_GRANDPAR
(17,13),(13,5),-0.165682 # DEPENDENCYPART_GRANDPAR
(17,13),(13,9),-0.241743 # DEPENDENCYPART_GRANDPAR
(17,13),(13,11),-0.265075 # DEPENDENCYPART_GRANDPAR
(17,13),(13,12),0.258786 # DEPENDENCYPART_GRANDPAR
(17,13),(13,14),-0.264094 # DEPENDENCYPART_GRANDPAR
(17,13),(13,15),-0.0925754 # DEPENDENCYPART_GRANDPAR
(17,13),(13,16),-0.0942841 # DEPENDENCYPART_GRANDPAR
(17,13),(13,17),-0.802254 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,13),(13,18),0.0434032 # DEPENDENCYPART_GRANDPAR
(17,13),(13,19),-0.0523117 # DEPENDENCYPART_GRANDPAR
(17,13),(13,20),0.163984 # DEPENDENCYPART_GRANDPAR
(17,13),(13,21),-0.33419 # DEPENDENCYPART_GRANDPAR
(17,14),(14,2),-0.450291 # DEPENDENCYPART_GRANDPAR
(17,14),(14,5),-0.0996859 # DEPENDENCYPART_GRANDPAR
(17,14),(14,9),-0.212428 # DEPENDENCYPART_GRANDPAR
(17,14),(14,10),0.0193631 # DEPENDENCYPART_GRANDPAR
(17,14),(14,11),-0.206422 # DEPENDENCYPART_GRANDPAR
(17,14),(14,12),0.402693 # DEPENDENCYPART_GRANDPAR
(17,14),(14,13),-0.00201959 # DEPENDENCYPART_GRANDPAR
(17,14),(14,15),-0.0977875 # DEPENDENCYPART_GRANDPAR
(17,14),(14,16),-0.0421041 # DEPENDENCYPART_GRANDPAR
(17,14),(14,17),-0.779883 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,14),(14,18),0.0723253 # DEPENDENCYPART_GRANDPAR
(17,14),(14,20),0.186354 # DEPENDENCYPART_GRANDPAR
(17,14),(14,21),-0.31357 # DEPENDENCYPART_GRANDPAR
(17,15),(15,9),-0.241177 # DEPENDENCYPART_GRANDPAR
(17,15),(15,11),-0.262824 # DEPENDENCYPART_GRANDPAR
(17,15),(15,12),0.289611 # DEPENDENCYPART_GRANDPAR
(17,15),(15,13),-0.0304984 # DEPENDENCYPART_GRANDPAR
(17,15),(15,14),-0.0554354 # DEPENDENCYPART_GRANDPAR
(17,15),(15,16),-0.0325511 # DEPENDENCYPART_GRANDPAR
(17,15),(15,17),-0.858475 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,15),(15,18),0.0435307 # DEPENDENCYPART_GRANDPAR
(17,15),(15,19),-0.0905461 # DEPENDENCYPART_GRANDPAR
(17,15),(15,20),0.107762 # DEPENDENCYPART_GRANDPAR
(17,15),(15,21),-0.333204 # DEPENDENCYPART_GRANDPAR
(17,16),(16,11),-0.279121 # DEPENDENCYPART_GRANDPAR
(17,16),(16,14),-0.21309 # DEPENDENCYPART_GRANDPAR
(17,16),(16,15),0.0270374 # DEPENDENCYPART_GRANDPAR
(17,16),(16,17),-0.803846 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,16),(16,18),0.0410419 # DEPENDENCYPART_GRANDPAR
(17,16),(16,19),-0.054629 # DEPENDENCYPART_GRANDPAR
(17,16),(16,20),0.162391 # DEPENDENCYPART_GRANDPAR
(17,18),(18,19),0.66212 # DEPENDENCYPART_GRANDPAR
(17,18),(18,20),0.962575 # DEPENDENCYPART_GRANDPAR
(17,19),(19,20),0.896442 # DEPENDENCYPART_GRANDPAR
(17,20),(20,2),-1.03402 # DEPENDENCYPART_GRANDPAR
(17,20),(20,11),-0.769162 # DEPENDENCYPART_GRANDPAR
(17,20),(20,13),-0.496233 # DEPENDENCYPART_GRANDPAR
(17,20),(20,14),-0.71802 # DEPENDENCYPART_GRANDPAR
(17,20),(20,15),-0.425324 # DEPENDENCYPART_GRANDPAR
(17,20),(20,16),-0.405394 # DEPENDENCYPART_GRANDPAR
(17,20),(20,17),-0.315411 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,20),(20,19),0.55077 # DEPENDENCYPART_GRANDPAR
(17,20),(20,21),0.186238 # DEPENDENCYPART_GRANDPAR
(17,21),(21,20),0.575427 # DEPENDENCYPART_GRANDPAR
(18,19),(19,20),1.12401 # DEPENDENCYPART_GRANDPAR
(18,20),(20,2),-0.771761 # DEPENDENCYPART_GRANDPAR
(18,20),(20,11),-0.371124 # DEPENDENCYPART_GRANDPAR
(18,20),(20,13),-0.38911 # DEPENDENCYPART_GRANDPAR
(18,20),(20,14),-0.610913 # DEPENDENCYPART_GRANDPAR
(18,20),(20,15),-0.261306 # DEPENDENCYPART_GRANDPAR
(18,20),(20,16),-0.366997 # DEPENDENCYPART_GRANDPAR
(18,20),(20,17),-0.561068 # DEPENDENCYPART_GRANDPAR
(18,20),(20,19),1.39276 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),-0.237995 # DEPENDENCYPART_GRANDPAR
(19,20),(20,2),-2.25397 # DEPENDENCYPART_GRANDPAR
(19,20),(20,11),-1.59082 # DEPENDENCYPART_GRANDPAR
(19,20),(20,13),-1.41638 # DEPENDENCYPART_GRANDPAR
(19,20),(20,14),-1.42779 # DEPENDENCYPART_GRANDPAR
(19,20),(20,15),-1.13233 # DEPENDENCYPART_GRANDPAR
(19,20),(20,16),-1.27604 # DEPENDENCYPART_GRANDPAR
(19,20),(20,17),-1.41056 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-0.869179 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,20),(20,21),-0.141911 # DEPENDENCYPART_GRANDPAR
(20,2),(2,1),-0.168314 # DEPENDENCYPART_GRANDPAR
(20,2),(2,3),0.487566 # DEPENDENCYPART_GRANDPAR
(20,2),(2,4),-0.149995 # DEPENDENCYPART_GRANDPAR
(20,2),(2,5),-0.0699837 # DEPENDENCYPART_GRANDPAR
(20,2),(2,6),-0.224941 # DEPENDENCYPART_GRANDPAR
(20,2),(2,7),-0.161917 # DEPENDENCYPART_GRANDPAR
(20,2),(2,8),-0.390445 # DEPENDENCYPART_GRANDPAR
(20,2),(2,9),-0.47596 # DEPENDENCYPART_GRANDPAR
(20,2),(2,11),0.00887669 # DEPENDENCYPART_GRANDPAR
(20,2),(2,12),0.497198 # DEPENDENCYPART_GRANDPAR
(20,2),(2,13),-0.0476237 # DEPENDENCYPART_GRANDPAR
(20,11),(11,1),-0.294724 # DEPENDENCYPART_GRANDPAR
(20,11),(11,8),-0.153387 # DEPENDENCYPART_GRANDPAR
(20,11),(11,9),-0.220401 # DEPENDENCYPART_GRANDPAR
(20,11),(11,10),0.148337 # DEPENDENCYPART_GRANDPAR
(20,11),(11,12),0.526627 # DEPENDENCYPART_GRANDPAR
(20,11),(11,13),-0.0474723 # DEPENDENCYPART_GRANDPAR
(20,11),(11,14),-0.281732 # DEPENDENCYPART_GRANDPAR
(20,11),(11,15),-0.0490015 # DEPENDENCYPART_GRANDPAR
(20,11),(11,16),0.0796857 # DEPENDENCYPART_GRANDPAR
(20,11),(11,17),-0.147839 # DEPENDENCYPART_GRANDPAR
(20,11),(11,18),0.231834 # DEPENDENCYPART_GRANDPAR
(20,11),(11,20),-1.18588 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,13),(13,1),-0.409561 # DEPENDENCYPART_GRANDPAR
(20,13),(13,5),-0.0544894 # DEPENDENCYPART_GRANDPAR
(20,13),(13,9),-0.351723 # DEPENDENCYPART_GRANDPAR
(20,13),(13,11),-0.172073 # DEPENDENCYPART_GRANDPAR
(20,13),(13,12),0.544734 # DEPENDENCYPART_GRANDPAR
(20,13),(13,14),-0.286648 # DEPENDENCYPART_GRANDPAR
