# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(2,18),(18,16),(18,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,16),(18,10),0.103067 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,16),(18,9),0.103067 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,16),(18,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,16),(18,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,16),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,16),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,16),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,16),(18,-1),-0.0641532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,15),(18,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,15),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,15),(18,-1),-0.0655932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,14),(18,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,14),(18,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,14),(18,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,14),(18,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,14),(18,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,14),(18,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,14),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,14),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,14),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,14),(18,-1),-0.0655932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,12),(18,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,12),(18,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,12),(18,9),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,12),(18,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,12),(18,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,12),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,12),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,12),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,12),(18,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,11),(18,10),0.103067 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,11),(18,9),0.103067 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,11),(18,8),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,11),(18,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,11),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,11),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,11),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,11),(18,-1),-0.0641532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,10),(18,9),0.103032 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,10),(18,8),0.103057 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,10),(18,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,10),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,10),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,10),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,10),(18,-1),-0.0712039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,9),(18,8),0.103057 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,9),(18,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,9),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,9),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,9),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,9),(18,-1),-0.0712039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,8),(18,7),0.103063 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,8),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,8),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,8),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,8),(18,-1),-0.0657648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,7),(18,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,7),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,7),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,7),(18,-1),-0.0642805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,6),(18,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,6),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,18),(18,6),(18,-1),-0.0641483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,2),(18,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,18),(18,2),(18,-1),-0.0652082 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,18),(18,1),(18,-1),-0.0648723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,19),(19,20),-0.036466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,21),-0.0364874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,23),-0.118007 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,20),(19,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,20),(19,23),-0.0364492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,21),(19,23),-0.0364734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,19),(19,18),0.101516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,-1),-0.0558801 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,18),(19,-1),-0.0657787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,21),(21,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,23),-0.0544608 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,21),(21,22),(21,23),-0.0420315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,21),(21,20),0.0979826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,19),0.103063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,18),0.102642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,17),0.102642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,16),0.103062 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,15),0.0979826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,14),0.0979826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,2),0.10307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,21),(21,21),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,21),(21,-1),-0.0652977 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,21),(21,20),(21,19),0.103069 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,20),(21,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,20),(21,17),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,20),(21,16),0.102858 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,20),(21,15),0.101365 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,20),(21,14),0.101365 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,20),(21,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,20),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,20),(21,-1),-0.0663999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,19),(21,18),0.103069 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,19),(21,17),0.103069 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,19),(21,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,19),(21,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,19),(21,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,19),(21,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,19),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,19),(21,-1),-0.0641514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,18),(21,17),0.103068 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,18),(21,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,18),(21,15),0.103066 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,18),(21,14),0.103066 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,18),(21,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,18),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,18),(21,-1),-0.0645678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,17),(21,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,17),(21,15),0.103066 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,17),(21,14),0.103066 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,17),(21,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,17),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,17),(21,-1),-0.0645678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,16),(21,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,16),(21,14),0.10307 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,16),(21,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,16),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,16),(21,-1),-0.0644717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,15),(21,14),0.101365 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,15),(21,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,15),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,15),(21,-1),-0.0663999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,14),(21,2),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,14),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(2,21),(21,14),(21,-1),-0.0663999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,21),(21,2),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,21),(21,2),(21,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,21),(21,1),(21,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,2),0.103069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,23),-0.00672324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,2),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,-1),-0.0134554 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.0641469 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,5),-0.0641525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,6),-0.064146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,7),-0.0641465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,10),-0.0641532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,13),-0.064146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,15),-0.0641827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,18),-0.0641525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,19),-0.0641465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,21),-0.0641827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,23),-0.143862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,23),-0.065742 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,4),(2,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,23),-0.0285504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,5),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,23),-0.0650331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,6),(2,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,6),(2,23),-0.0641465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,7),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,23),-0.065611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,10),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,23),-0.0650338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,11),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,23),-0.064241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,12),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,13),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,13),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,13),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,13),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,13),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,13),(2,23),-0.0641463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,15),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,15),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,15),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,15),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,15),(2,23),-0.0642401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,16),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,16),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,16),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,16),(2,23),-0.064241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,18),(2,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,18),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,18),(2,23),-0.0650331 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,19),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,19),(2,23),-0.0656417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,21),(2,23),-0.0642401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,2),(2,1),-0.044304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,-1),-0.0594475 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,1),(2,-1),-0.0423013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,6),-0.0563141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,7),-0.0307806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,23),-0.0111435 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,6),(4,7),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,23),-0.0693056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,7),(4,23),-0.0387963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,-1),-0.18661 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,6),-0.0777659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,7),-0.0694355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,10),-0.0820896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,11),-0.0841688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,12),-0.039665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,23),0.29436 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,6),(5,7),-0.044372 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,10),-0.0424645 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,11),-0.0137265 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,12),-0.0434766 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,23),-0.045442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,7),(5,10),-0.0600042 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,11),-0.0416629 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,12),-0.0376423 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,23),-0.0455981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,10),(5,11),-0.0310446 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,12),-0.0545452 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,23),-0.0613135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,11),(5,12),-0.0197448 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,23),-0.0654685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,12),(5,23),-0.0696338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,4),0.116348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,3),0.0886933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
