# _root_ Like its parent that year , `` Bluefield was not having a good year , '' the judge said .
#goldHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
#predictedHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
(4,1),(1,4),(1,21),-0.0647992 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,5),(1,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,21),-0.0896262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,6),(1,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,11),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,21),-0.064531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,7),(1,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,21),-0.0642846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,8),(1,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,21),-0.0679469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,9),(1,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,21),-0.0645867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,10),(1,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,21),-0.0542255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,11),(1,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,11),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,11),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,11),(1,21),-0.0643535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,15),(1,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,15),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,15),(1,21),-0.064531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,16),(1,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,16),(1,21),-0.0641459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,19),(1,21),-0.0645846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,-1),-0.0239082 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,3),(3,4),-0.06416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,3),(3,5),-0.071798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,8),-0.0641607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,9),-0.0642419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,10),-0.0641513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,11),-0.064154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,14),-0.071798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,16),-0.0641464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,18),-0.0699044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,19),-0.0642419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,21),-0.0645773 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,4),(3,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,21),-0.163352 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,5),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,21),-0.0753003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,6),(3,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,8),-0.0641487 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,14),-0.0641532 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,18),-0.0641532 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,21),-0.0641528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,7),(3,8),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,21),-0.0658136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,8),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,21),-0.0788359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,9),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,21),-0.0576073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,10),(3,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,14),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,18),-0.0641461 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,21),-0.0671386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,11),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,21),-0.0641569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,14),(3,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,14),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,14),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,14),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,14),(3,21),-0.0753003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,15),(3,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,15),(3,18),-0.0641532 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,15),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,15),(3,21),-0.0641528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,16),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,16),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,16),(3,21),-0.0641464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,18),(3,19),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,18),(3,21),-0.0733981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,19),(3,21),-0.0576064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,2),-0.0421862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,1),-0.087165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,-1),-0.206831 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,2),(3,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,2),(3,-1),-0.0422076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,1),(3,-1),-0.0834399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,6),-0.0372428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,7),-0.0420604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,8),-0.0232165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,9),-0.0447174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,10),-0.041505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,11),-0.0420733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,14),-0.0518257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,15),-0.0372428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,16),-0.0439663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,18),-0.0518131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,21),-0.20888 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,6),(5,7),-0.0420144 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,8),-0.0449883 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,9),-0.0430789 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,10),-0.0424282 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,11),-0.0432785 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,14),-0.0319567 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,15),-0.0420148 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,16),-0.0421439 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,18),-0.0319567 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,21),-0.0444466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,7),(5,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,9),-0.0420396 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,14),-0.0420185 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,18),-0.0420185 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,21),-0.0420146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,8),(5,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,11),-0.0420165 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,14),-0.0420244 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,15),-0.0428396 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,18),-0.0420244 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,21),-0.0250034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,9),(5,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,14),-0.0420121 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,15),-0.0420594 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,16),-0.0420127 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,18),-0.0420121 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,21),-0.046605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,10),(5,11),-0.0420154 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,14),-0.0420237 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,15),-0.0420157 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,16),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,18),-0.0420237 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,21),-0.0427035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,11),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,15),-0.0429338 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,21),-0.0430584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,14),(5,15),-0.0422613 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,14),(5,16),-0.0420134 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,14),(5,18),-0.0423473 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,14),(5,21),-0.038076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,15),(5,16),-0.0421439 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,15),(5,18),-0.0319567 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,15),(5,21),-0.0444466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,16),(5,18),-0.0420137 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,16),(5,21),-0.0424038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,18),(5,21),-0.0380632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,4),0.0508635 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,5),(5,3),-0.0699044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,1),-0.0649757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,-1),-0.0663856 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,4),(5,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,-1),-0.164248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,3),(5,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,-1),-0.0734023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,2),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,2),(5,-1),-0.0853134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,1),(5,-1),-0.0667167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,21),-0.0339726 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,-1),-0.0514041 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,7),(7,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,21),-0.0586812 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,8),(7,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,9),(7,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,6),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,5),0.102971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,4),0.10307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,7),(7,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,-1),-0.0821224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,6),(7,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,6),(7,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,4),0.103069 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,-1),-0.0642524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,4),(7,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,4),(7,-1),-0.0643724 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,1),(7,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,10),-0.0651752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,11),-0.0391945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,12),-0.0445767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,13),0.0221093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,14),0.0371491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,15),-0.0375338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,16),-0.044203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,18),0.0342921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,19),-0.0422421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,20),-0.04223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,21),-0.100087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,10),(9,11),-0.0290934 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,12),-0.0421056 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,13),-0.048134 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,14),-0.0459592 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,15),-0.0458756 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,16),-0.0434018 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,18),-0.0459419 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,19),-0.0432078 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,20),-0.0420161 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,21),-0.0403478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,11),(9,12),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,13),-0.0434737 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,14),-0.0428278 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,15),-0.0480107 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,16),-0.0429326 # DEPENDENCYPART_GRANDSIBL
