# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(1,2),(2,3),(2,13),-0.0433907 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,14),-0.0488249 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,16),-0.0474648 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,17),-0.0373361 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,18),-0.0493788 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,3),(2,19),0.0314538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,4),(2,5),-0.152991 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,6),-0.0650739 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,7),0.0973608 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,8),0.0978705 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,9),0.095507 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,10),-0.0473772 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,11),-0.0421725 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,13),-0.0326515 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,14),-0.04365 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,16),-0.036202 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,17),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,18),-0.0419973 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,4),(2,19),-0.0851788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,5),(2,6),-0.0441585 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,7),-0.0440228 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,8),-0.0440228 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,9),-0.0440228 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,10),-0.0759723 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,11),-0.0420575 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,13),-0.0420172 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,16),-0.0420576 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,17),-0.0432507 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,18),-0.0420237 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,5),(2,19),-0.112671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,6),(2,7),-0.0368244 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,8),-0.0368681 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,9),-0.0368246 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,10),-0.0419248 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,11),-0.0421196 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,13),-0.0421704 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,14),-0.0420521 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,16),-0.0425606 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,17),-0.043324 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,18),-0.0373065 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,6),(2,19),-0.102226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,7),(2,8),-0.058745 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,9),-0.0588406 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,10),-0.0193825 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,11),-0.042126 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,13),-0.0433907 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,14),-0.0488249 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,16),-0.0474648 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,17),-0.0373361 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,18),-0.0493788 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,7),(2,19),0.0313051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,8),(2,9),-0.0590629 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,10),-0.0201482 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,11),-0.042126 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,13),-0.0433934 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,14),-0.0488249 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,16),-0.0474648 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,17),-0.0373361 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,18),-0.0493788 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,8),(2,19),0.0320377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,9),(2,10),-0.00870561 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,11),-0.042126 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,13),-0.0433907 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,14),-0.0488249 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,16),-0.0474648 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,17),-0.0373563 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,18),-0.0493788 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,9),(2,19),0.0149125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,10),(2,11),-0.0421725 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,13),-0.0326515 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,14),-0.04365 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,16),-0.036202 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,17),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,18),-0.0419973 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,10),(2,19),-0.0851788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,11),(2,13),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,11),(2,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,11),(2,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,11),(2,17),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,11),(2,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,11),(2,19),-0.0418478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,13),(2,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,13),(2,16),-0.0420189 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,13),(2,17),-0.0420174 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,13),(2,18),-0.0421889 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,13),(2,19),-0.038339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,14),(2,16),-0.0429596 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,14),(2,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,14),(2,18),-0.0445535 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,14),(2,19),-0.0430791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,16),(2,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,16),(2,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,16),(2,19),-0.0482591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,17),(2,18),-0.0492035 # DEPENDENCYPART_GRANDSIBL
(1,2),(2,17),(2,19),0.0756916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,18),(2,19),-0.0563613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,1),0.209384 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,-1),0.145978 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.0031323 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,4),0.0778796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,5),-0.0233482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,6),-0.021878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,7),-0.128939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,8),-0.129633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,9),-0.128854 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,10),0.0778796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,11),-0.0350434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,13),-0.0474373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,14),-0.0341211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,15),-0.0457475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,16),-0.0701452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,17),0.0348079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,18),-0.0219426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,19),0.12699 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,4),(3,5),-0.152991 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,6),-0.0650739 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,7),0.0973608 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,8),0.0978705 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,9),0.095507 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,10),-0.0473772 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,11),-0.0421725 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,13),-0.0326515 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,14),-0.04365 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,15),-0.0510309 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,16),-0.036202 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,17),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,18),-0.0419973 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,19),-0.0851788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,5),(3,6),-0.0441585 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,7),-0.0440228 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,8),-0.0440228 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,9),-0.0440228 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,10),-0.0759723 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,11),-0.0420575 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,13),-0.0420172 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,15),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,16),-0.0420576 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,17),-0.0432507 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,18),-0.0420237 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,19),-0.112671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,6),(3,7),-0.0368244 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,8),-0.0368681 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,9),-0.0368246 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,10),-0.0419248 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,11),-0.0421196 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,13),-0.0421704 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,14),-0.0420521 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,16),-0.0425606 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,17),-0.043324 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,18),-0.0373065 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,19),-0.102226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,7),(3,8),-0.058745 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,9),-0.0588406 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,10),-0.0193825 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,11),-0.042126 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,13),-0.0433907 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,14),-0.0488249 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,15),-0.0466322 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,16),-0.0474648 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,17),-0.0373361 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,18),-0.0493788 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,19),0.0313223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,8),(3,9),-0.0590629 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,10),-0.0201482 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,11),-0.042126 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,13),-0.0433934 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,14),-0.0488249 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,15),-0.0466322 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,16),-0.0474648 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,17),-0.0373361 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,18),-0.0493788 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,8),(3,19),0.0320549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,9),(3,10),-0.00870561 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,11),-0.042126 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,13),-0.0433907 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,14),-0.0488249 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,15),-0.0466322 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,16),-0.0474648 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,17),-0.0373563 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,18),-0.0493788 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,19),0.0149297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,10),(3,11),-0.0421725 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,13),-0.0326515 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,14),-0.04365 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,15),-0.0510309 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,16),-0.036202 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,17),-0.0424034 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,18),-0.0419973 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,19),-0.0851788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,11),(3,13),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,11),(3,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,11),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,11),(3,16),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,11),(3,17),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,11),(3,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,11),(3,19),-0.0418478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,13),(3,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,13),(3,15),-0.0420138 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,13),(3,16),-0.0420189 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,13),(3,17),-0.0420174 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,13),(3,18),-0.0421889 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,13),(3,19),-0.038339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,14),(3,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,14),(3,16),-0.0429596 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,14),(3,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,14),(3,18),-0.0445535 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,14),(3,19),-0.0430791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,15),(3,16),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,17),-0.042039 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,19),-0.059851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,16),(3,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,19),-0.0482591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,17),(3,18),-0.0492035 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,17),(3,19),0.0756916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,18),(3,19),-0.0563613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,3),(3,2),0.213092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,1),0.209391 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,-1),0.139528 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,2),(3,1),0.0885651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,2),(3,-1),-0.00310748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,1),(3,-1),-0.00312561 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,5),-0.0430414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,19),0.0807736 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,5),(4,19),-0.0430414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,-1),0.0145577 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,6),0.0252044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,7),-0.0508178 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,8),-0.052726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,9),-0.051254 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,10),-0.0784736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,11),0.0369109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,13),-0.0332538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,14),-0.0447863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,15),-0.0433973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,16),-0.0604155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,17),-0.0321513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,18),-0.0347812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,19),-0.02432 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,6),(5,7),-0.0690289 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,8),-0.0695475 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,9),-0.0692317 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,10),-0.0462373 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,11),-0.0186736 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,13),-0.0460995 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,14),-0.0429796 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,15),-0.0377222 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,16),-0.0378827 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,17),-0.0421982 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,18),-0.0457274 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,19),0.0799045 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,7),(5,8),-0.0467663 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,9),-0.0467695 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,10),-0.0708014 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,11),-0.0422519 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,13),-0.0421466 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,15),-0.0420966 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,16),-0.0354277 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,17),-0.0420204 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,18),-0.0427622 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,19),-0.113597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,8),(5,9),-0.0467695 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,10),-0.0708876 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,11),-0.0422536 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,13),-0.0421466 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,15),-0.0420971 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,16),-0.0354277 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,17),-0.0420204 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,18),-0.0427622 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,19),-0.116267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,9),(5,10),-0.0709372 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,11),-0.0422519 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,13),-0.0421466 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,15),-0.0420966 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,16),-0.0354277 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,17),-0.0420204 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,18),-0.0427622 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,19),-0.114165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,10),(5,11),-0.0614127 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,13),-0.0295233 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,14),-0.050177 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,15),-0.0188141 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,16),-0.0518142 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,17),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,18),-0.0310739 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,19),-0.0485828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,11),(5,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,14),-0.0423659 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,15),-0.0420128 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,16),-0.0421084 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,17),-0.042151 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,18),-0.0420354 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,19),0.0529245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,13),(5,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,15),-0.0423832 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,16),-0.042025 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,17),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,13),(5,19),-0.0682691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,14),(5,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,14),(5,16),-0.042486 # DEPENDENCYPART_GRANDSIBL
