# _root_ If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on a range of health issues .
#goldHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
#predictedHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
(16,19),(16,28),0.0474545 # DEPENDENCYPART_SIBL
(16,19),(16,38),0.0477816 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.030813 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0148059 # DEPENDENCYPART_SIBL
(16,20),(16,23),0.0127005 # DEPENDENCYPART_SIBL
(16,20),(16,24),0.0109737 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.00162208 # DEPENDENCYPART_SIBL
(16,20),(16,27),-0.0067089 # DEPENDENCYPART_SIBL
(16,20),(16,28),0.0474545 # DEPENDENCYPART_SIBL
(16,20),(16,38),0.0477816 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.020476 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.010905 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.00205253 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.0589939 # DEPENDENCYPART_SIBL
(16,21),(16,27),-0.00793914 # DEPENDENCYPART_SIBL
(16,21),(16,28),0.0578379 # DEPENDENCYPART_SIBL
(16,21),(16,38),-0.00230775 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.0142857 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0174479 # DEPENDENCYPART_SIBL
(16,22),(16,25),-0.0422368 # DEPENDENCYPART_SIBL
(16,22),(16,27),-0.0434523 # DEPENDENCYPART_SIBL
(16,22),(16,28),-0.00872142 # DEPENDENCYPART_SIBL
(16,22),(16,38),-0.0161255 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.0239198 # DEPENDENCYPART_SIBL
(16,23),(16,25),-0.0206042 # DEPENDENCYPART_SIBL
(16,23),(16,27),-0.0445553 # DEPENDENCYPART_SIBL
(16,23),(16,28),0.00305784 # DEPENDENCYPART_SIBL
(16,23),(16,38),0.0276415 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.00639288 # DEPENDENCYPART_SIBL
(16,24),(16,27),-0.00935542 # DEPENDENCYPART_SIBL
(16,24),(16,28),0.0297346 # DEPENDENCYPART_SIBL
(16,24),(16,38),0.0348988 # DEPENDENCYPART_SIBL
(16,25),(16,27),0.0140894 # DEPENDENCYPART_SIBL
(16,25),(16,28),0.0390116 # DEPENDENCYPART_SIBL
(16,25),(16,38),-0.0136136 # DEPENDENCYPART_SIBL
(16,27),(16,28),0.0153023 # DEPENDENCYPART_SIBL
(16,27),(16,38),-0.0101948 # DEPENDENCYPART_SIBL
(16,28),(16,38),0.0252462 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.05745 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.0116348 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0116239 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.0226718 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.0226718 # DEPENDENCYPART_SIBL
(17,1),(17,20),-0.0226718 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.033959 # DEPENDENCYPART_SIBL
(17,1),(17,22),0.0220144 # DEPENDENCYPART_SIBL
(17,1),(17,23),0.0118097 # DEPENDENCYPART_SIBL
(17,1),(17,24),-0.0222145 # DEPENDENCYPART_SIBL
(17,1),(17,25),0.0755439 # DEPENDENCYPART_SIBL
(17,1),(17,26),-0.0222201 # DEPENDENCYPART_SIBL
(17,1),(17,27),0.00339227 # DEPENDENCYPART_SIBL
(17,1),(17,28),0.0483107 # DEPENDENCYPART_SIBL
(17,1),(17,31),-0.0211532 # DEPENDENCYPART_SIBL
(17,1),(17,32),0.0368796 # DEPENDENCYPART_SIBL
(17,1),(17,34),0.0245345 # DEPENDENCYPART_SIBL
(17,1),(17,35),0.0693665 # DEPENDENCYPART_SIBL
(17,1),(17,38),0.264241 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0291823 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0291715 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0880989 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0880989 # DEPENDENCYPART_SIBL
(17,10),(17,20),-0.0880989 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.106421 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.0406626 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.0583991 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.0899015 # DEPENDENCYPART_SIBL
(17,10),(17,25),-0.0152853 # DEPENDENCYPART_SIBL
(17,10),(17,26),-0.0899072 # DEPENDENCYPART_SIBL
(17,10),(17,27),-0.0534701 # DEPENDENCYPART_SIBL
(17,10),(17,28),-0.0539989 # DEPENDENCYPART_SIBL
(17,10),(17,31),-0.0888402 # DEPENDENCYPART_SIBL
(17,10),(17,32),-0.0727032 # DEPENDENCYPART_SIBL
(17,10),(17,34),-0.0752279 # DEPENDENCYPART_SIBL
(17,10),(17,35),-0.0423206 # DEPENDENCYPART_SIBL
(17,10),(17,38),0.0753342 # DEPENDENCYPART_SIBL
(17,14),(17,15),0.0110749 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.00806807 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0080688 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.00806907 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.00992869 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0153235 # DEPENDENCYPART_SIBL
(17,14),(17,23),0.00568723 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0236725 # DEPENDENCYPART_SIBL
(17,14),(17,25),0.07372 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.0241848 # DEPENDENCYPART_SIBL
(17,14),(17,27),0.00183613 # DEPENDENCYPART_SIBL
(17,14),(17,28),-0.00238692 # DEPENDENCYPART_SIBL
(17,14),(17,31),-0.0254673 # DEPENDENCYPART_SIBL
(17,14),(17,32),0.0310548 # DEPENDENCYPART_SIBL
(17,14),(17,34),0.0239506 # DEPENDENCYPART_SIBL
(17,14),(17,35),-0.0264637 # DEPENDENCYPART_SIBL
(17,14),(17,38),0.0718037 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0132977 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0132984 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0132987 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0153276 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.015309 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.00387695 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0232994 # DEPENDENCYPART_SIBL
(17,15),(17,25),0.0731978 # DEPENDENCYPART_SIBL
(17,15),(17,26),-0.0238117 # DEPENDENCYPART_SIBL
(17,15),(17,27),0.00646112 # DEPENDENCYPART_SIBL
(17,15),(17,28),-0.00637918 # DEPENDENCYPART_SIBL
(17,15),(17,31),-0.0250942 # DEPENDENCYPART_SIBL
(17,15),(17,32),0.0270643 # DEPENDENCYPART_SIBL
(17,15),(17,34),0.0258631 # DEPENDENCYPART_SIBL
(17,15),(17,35),-0.03186 # DEPENDENCYPART_SIBL
(17,15),(17,38),0.0728243 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.00505582 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.00505582 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0226504 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.00199801 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0115742 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.0241299 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.0167588 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.0241317 # DEPENDENCYPART_SIBL
(17,18),(17,27),0.0245636 # DEPENDENCYPART_SIBL
(17,18),(17,28),0.0546856 # DEPENDENCYPART_SIBL
(17,18),(17,31),-0.0241299 # DEPENDENCYPART_SIBL
(17,18),(17,32),0.0275253 # DEPENDENCYPART_SIBL
(17,18),(17,34),-0.0116442 # DEPENDENCYPART_SIBL
(17,18),(17,35),0.0248208 # DEPENDENCYPART_SIBL
(17,18),(17,38),-0.0105356 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.00486736 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0249099 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.00199801 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.01157 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.0241299 # DEPENDENCYPART_SIBL
(17,19),(17,25),0.0172226 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.0241317 # DEPENDENCYPART_SIBL
(17,19),(17,27),0.0245653 # DEPENDENCYPART_SIBL
(17,19),(17,28),0.0547022 # DEPENDENCYPART_SIBL
(17,19),(17,31),-0.0241299 # DEPENDENCYPART_SIBL
(17,19),(17,32),0.027542 # DEPENDENCYPART_SIBL
(17,19),(17,34),-0.011643 # DEPENDENCYPART_SIBL
(17,19),(17,35),0.0248456 # DEPENDENCYPART_SIBL
(17,19),(17,38),-0.00881799 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.0249099 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.00199801 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.01157 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.0241299 # DEPENDENCYPART_SIBL
(17,20),(17,25),0.0172226 # DEPENDENCYPART_SIBL
(17,20),(17,26),-0.0241317 # DEPENDENCYPART_SIBL
(17,20),(17,27),0.0245653 # DEPENDENCYPART_SIBL
(17,20),(17,28),0.0547022 # DEPENDENCYPART_SIBL
(17,20),(17,31),-0.0241299 # DEPENDENCYPART_SIBL
(17,20),(17,32),0.027542 # DEPENDENCYPART_SIBL
(17,20),(17,34),-0.011643 # DEPENDENCYPART_SIBL
(17,20),(17,35),0.0248456 # DEPENDENCYPART_SIBL
(17,20),(17,38),-0.00881799 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.00408199 # DEPENDENCYPART_SIBL
(17,21),(17,23),0.0223632 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.0366744 # DEPENDENCYPART_SIBL
(17,21),(17,25),0.0012758 # DEPENDENCYPART_SIBL
(17,21),(17,26),0.0373439 # DEPENDENCYPART_SIBL
(17,21),(17,27),0.0621174 # DEPENDENCYPART_SIBL
(17,21),(17,28),0.0975165 # DEPENDENCYPART_SIBL
(17,21),(17,31),0.0353272 # DEPENDENCYPART_SIBL
(17,21),(17,32),0.0516882 # DEPENDENCYPART_SIBL
(17,21),(17,34),0.0225952 # DEPENDENCYPART_SIBL
(17,21),(17,35),0.0924232 # DEPENDENCYPART_SIBL
(17,21),(17,38),0.00182136 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0361244 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.043556 # DEPENDENCYPART_SIBL
(17,22),(17,25),-0.0169159 # DEPENDENCYPART_SIBL
(17,22),(17,26),-0.043556 # DEPENDENCYPART_SIBL
(17,22),(17,27),-0.0139257 # DEPENDENCYPART_SIBL
(17,22),(17,28),-0.00757777 # DEPENDENCYPART_SIBL
(17,22),(17,31),-0.043556 # DEPENDENCYPART_SIBL
(17,22),(17,32),-0.0127684 # DEPENDENCYPART_SIBL
(17,22),(17,34),-0.0477431 # DEPENDENCYPART_SIBL
(17,22),(17,35),-0.0411315 # DEPENDENCYPART_SIBL
(17,22),(17,38),-0.0202972 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0600031 # DEPENDENCYPART_SIBL
(17,23),(17,25),-0.00488544 # DEPENDENCYPART_SIBL
(17,23),(17,26),-0.0600031 # DEPENDENCYPART_SIBL
(17,23),(17,27),-0.0255963 # DEPENDENCYPART_SIBL
(17,23),(17,28),-0.00592256 # DEPENDENCYPART_SIBL
(17,23),(17,31),-0.0600034 # DEPENDENCYPART_SIBL
(17,23),(17,32),-0.0188494 # DEPENDENCYPART_SIBL
(17,23),(17,34),-0.0634686 # DEPENDENCYPART_SIBL
(17,23),(17,35),-0.0487706 # DEPENDENCYPART_SIBL
(17,23),(17,38),0.017658 # DEPENDENCYPART_SIBL
(17,24),(17,25),0.0332624 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.13254 # DEPENDENCYPART_SIBL
(17,24),(17,27),0.00870649 # DEPENDENCYPART_SIBL
(17,24),(17,28),0.00105245 # DEPENDENCYPART_SIBL
(17,24),(17,31),-0.132626 # DEPENDENCYPART_SIBL
(17,24),(17,32),0.0158974 # DEPENDENCYPART_SIBL
(17,24),(17,34),-0.0883995 # DEPENDENCYPART_SIBL
(17,24),(17,35),-0.0433497 # DEPENDENCYPART_SIBL
(17,24),(17,38),0.00804407 # DEPENDENCYPART_SIBL
(17,25),(17,26),0.0182261 # DEPENDENCYPART_SIBL
(17,25),(17,27),0.0290032 # DEPENDENCYPART_SIBL
(17,25),(17,28),0.00923135 # DEPENDENCYPART_SIBL
(17,25),(17,31),0.0184199 # DEPENDENCYPART_SIBL
(17,25),(17,32),-0.0242259 # DEPENDENCYPART_SIBL
(17,25),(17,34),-0.0100503 # DEPENDENCYPART_SIBL
(17,25),(17,35),-0.0278949 # DEPENDENCYPART_SIBL
(17,25),(17,38),0.0537735 # DEPENDENCYPART_SIBL
(17,26),(17,27),0.00854036 # DEPENDENCYPART_SIBL
(17,26),(17,28),-0.00126451 # DEPENDENCYPART_SIBL
(17,26),(17,31),-0.132793 # DEPENDENCYPART_SIBL
(17,26),(17,32),0.0135805 # DEPENDENCYPART_SIBL
(17,26),(17,34),-0.0885668 # DEPENDENCYPART_SIBL
(17,26),(17,35),-0.0456667 # DEPENDENCYPART_SIBL
(17,26),(17,38),0.0078941 # DEPENDENCYPART_SIBL
(17,27),(17,28),0.0355473 # DEPENDENCYPART_SIBL
(17,27),(17,31),-0.0214141 # DEPENDENCYPART_SIBL
(17,27),(17,32),0.0199741 # DEPENDENCYPART_SIBL
(17,27),(17,34),-0.0483434 # DEPENDENCYPART_SIBL
(17,27),(17,35),-0.0112025 # DEPENDENCYPART_SIBL
(17,27),(17,38),-0.00769995 # DEPENDENCYPART_SIBL
(17,28),(17,31),-0.0359319 # DEPENDENCYPART_SIBL
(17,28),(17,32),0.0724574 # DEPENDENCYPART_SIBL
(17,28),(17,34),0.00583988 # DEPENDENCYPART_SIBL
(17,28),(17,35),-0.0524818 # DEPENDENCYPART_SIBL
(17,28),(17,38),0.0345693 # DEPENDENCYPART_SIBL
(17,31),(17,32),0.0205464 # DEPENDENCYPART_SIBL
(17,31),(17,34),-0.0878477 # DEPENDENCYPART_SIBL
(17,31),(17,35),-0.0388739 # DEPENDENCYPART_SIBL
(17,31),(17,38),0.0163731 # DEPENDENCYPART_SIBL
(17,32),(17,34),-0.0214976 # DEPENDENCYPART_SIBL
(17,32),(17,35),-0.0562406 # DEPENDENCYPART_SIBL
(17,32),(17,38),0.0114222 # DEPENDENCYPART_SIBL
(17,34),(17,35),-0.0355194 # DEPENDENCYPART_SIBL
(17,34),(17,38),-0.0277877 # DEPENDENCYPART_SIBL
(17,35),(17,38),-0.100669 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0286639 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0190177 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.029252 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.0283897 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.061777 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.0454557 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.085131 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0800333 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.0326487 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.00512087 # DEPENDENCYPART_SIBL
(19,11),(19,23),0.212113 # DEPENDENCYPART_SIBL
(19,11),(19,24),0.00234362 # DEPENDENCYPART_SIBL
(19,11),(19,25),0.0255665 # DEPENDENCYPART_SIBL
(19,11),(19,26),0.00272676 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.0745563 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0627581 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.129381 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.00971188 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0491842 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0401445 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0412102 # DEPENDENCYPART_SIBL
(19,14),(19,24),0.0336042 # DEPENDENCYPART_SIBL
(19,14),(19,25),0.075786 # DEPENDENCYPART_SIBL
(19,14),(19,26),0.0324337 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.058675 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.121878 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0280007 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.0658534 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0322402 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.045454 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.0422223 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.0809509 # DEPENDENCYPART_SIBL
(19,15),(19,26),0.0410518 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0389792 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0136964 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0274195 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0276019 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.0105332 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0121717 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.00674245 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.012511 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0413567 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0740922 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0240914 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0545712 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.0458683 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.090517 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.0446977 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.00463368 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.028002 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0472971 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.0083935 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.0011933 # DEPENDENCYPART_SIBL
(19,20),(19,26),0.00825072 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0221394 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0287561 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.0813477 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0432262 # DEPENDENCYPART_SIBL
(19,21),(19,26),0.0818701 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.028796 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.00149036 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0351621 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.00163136 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.00702375 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.00825528 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.00716475 # DEPENDENCYPART_SIBL
(19,24),(19,25),-0.0253871 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.0776113 # DEPENDENCYPART_SIBL
(19,25),(19,26),0.0744271 # DEPENDENCYPART_SIBL
(20,4),(20,6),0.0738554 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.0127682 # DEPENDENCYPART_SIBL
(20,4),(20,12),0.0841131 # DEPENDENCYPART_SIBL
(20,4),(20,14),0.0773035 # DEPENDENCYPART_SIBL
(20,4),(20,15),0.0865934 # DEPENDENCYPART_SIBL
(20,4),(20,16),0.0314059 # DEPENDENCYPART_SIBL
(20,4),(20,17),0.0370296 # DEPENDENCYPART_SIBL
(20,4),(20,18),0.109033 # DEPENDENCYPART_SIBL
(20,4),(20,19),0.0865878 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0289918 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0236535 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.00883171 # DEPENDENCYPART_SIBL
(20,4),(20,24),0.0317796 # DEPENDENCYPART_SIBL
(20,4),(20,25),0.00838776 # DEPENDENCYPART_SIBL
(20,4),(20,26),0.0314394 # DEPENDENCYPART_SIBL
(20,4),(20,27),0.0224912 # DEPENDENCYPART_SIBL
(20,4),(20,28),0.0299121 # DEPENDENCYPART_SIBL
(20,4),(20,31),0.0317768 # DEPENDENCYPART_SIBL
(20,4),(20,38),-0.00534103 # DEPENDENCYPART_SIBL
(20,6),(20,11),-0.0774298 # DEPENDENCYPART_SIBL
(20,6),(20,12),0.0340054 # DEPENDENCYPART_SIBL
(20,6),(20,14),0.0326993 # DEPENDENCYPART_SIBL
(20,6),(20,15),0.0375958 # DEPENDENCYPART_SIBL
(20,6),(20,16),0.040118 # DEPENDENCYPART_SIBL
(20,6),(20,17),0.0509078 # DEPENDENCYPART_SIBL
(20,6),(20,18),0.0952065 # DEPENDENCYPART_SIBL
(20,6),(20,19),0.0375895 # DEPENDENCYPART_SIBL
(20,6),(20,21),0.0204964 # DEPENDENCYPART_SIBL
(20,6),(20,22),-0.0703988 # DEPENDENCYPART_SIBL
(20,6),(20,23),0.0106132 # DEPENDENCYPART_SIBL
(20,6),(20,24),-0.000851114 # DEPENDENCYPART_SIBL
(20,6),(20,25),0.016158 # DEPENDENCYPART_SIBL
(20,6),(20,26),-0.00202432 # DEPENDENCYPART_SIBL
(20,6),(20,27),0.00630449 # DEPENDENCYPART_SIBL
(20,6),(20,28),0.0350173 # DEPENDENCYPART_SIBL
(20,6),(20,31),0.000125151 # DEPENDENCYPART_SIBL
(20,6),(20,38),0.0271786 # DEPENDENCYPART_SIBL
(20,11),(20,12),0.0457305 # DEPENDENCYPART_SIBL
(20,11),(20,14),0.0283897 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.061777 # DEPENDENCYPART_SIBL
(20,11),(20,16),0.0473398 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.0454557 # DEPENDENCYPART_SIBL
(20,11),(20,18),0.085131 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.0617711 # DEPENDENCYPART_SIBL
(20,11),(20,21),0.0326487 # DEPENDENCYPART_SIBL
(20,11),(20,22),-0.00512087 # DEPENDENCYPART_SIBL
(20,11),(20,23),0.212113 # DEPENDENCYPART_SIBL
(20,11),(20,24),0.00234362 # DEPENDENCYPART_SIBL
(20,11),(20,25),0.0255665 # DEPENDENCYPART_SIBL
(20,11),(20,26),0.00272676 # DEPENDENCYPART_SIBL
(20,11),(20,27),0.0793305 # DEPENDENCYPART_SIBL
(20,11),(20,28),-0.0739819 # DEPENDENCYPART_SIBL
(20,11),(20,31),0.00290441 # DEPENDENCYPART_SIBL
(20,11),(20,38),-0.0276378 # DEPENDENCYPART_SIBL
(20,12),(20,14),0.113926 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.118822 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.064975 # DEPENDENCYPART_SIBL
(20,12),(20,17),0.0757247 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.173647 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.118816 # DEPENDENCYPART_SIBL
(20,12),(20,21),0.0205488 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0451328 # DEPENDENCYPART_SIBL
(20,12),(20,23),0.0298601 # DEPENDENCYPART_SIBL
(20,12),(20,24),0.029218 # DEPENDENCYPART_SIBL
(20,12),(20,25),0.0837046 # DEPENDENCYPART_SIBL
(20,12),(20,26),0.0280475 # DEPENDENCYPART_SIBL
(20,12),(20,27),0.0333601 # DEPENDENCYPART_SIBL
(20,12),(20,28),0.0854409 # DEPENDENCYPART_SIBL
(20,12),(20,31),0.0301962 # DEPENDENCYPART_SIBL
(20,12),(20,38),0.0530184 # DEPENDENCYPART_SIBL
(20,14),(20,15),0.0745563 # DEPENDENCYPART_SIBL
(20,14),(20,16),0.0520083 # DEPENDENCYPART_SIBL
(20,14),(20,17),0.0627581 # DEPENDENCYPART_SIBL
(20,14),(20,18),0.129381 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.07455 # DEPENDENCYPART_SIBL
(20,14),(20,21),0.0491842 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0401445 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.0412102 # DEPENDENCYPART_SIBL
(20,14),(20,24),0.0336042 # DEPENDENCYPART_SIBL
(20,14),(20,25),0.075786 # DEPENDENCYPART_SIBL
(20,14),(20,26),0.0324337 # DEPENDENCYPART_SIBL
(20,14),(20,27),0.0299277 # DEPENDENCYPART_SIBL
(20,14),(20,28),0.103625 # DEPENDENCYPART_SIBL
(20,14),(20,31),0.0345824 # DEPENDENCYPART_SIBL
(20,14),(20,38),0.0500345 # DEPENDENCYPART_SIBL
(20,15),(20,16),0.0479251 # DEPENDENCYPART_SIBL
(20,15),(20,17),0.058675 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.121878 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.0670475 # DEPENDENCYPART_SIBL
(20,15),(20,21),0.0658534 # DEPENDENCYPART_SIBL
(20,15),(20,22),-0.0322402 # DEPENDENCYPART_SIBL
(20,15),(20,23),0.045454 # DEPENDENCYPART_SIBL
(20,15),(20,24),0.0422223 # DEPENDENCYPART_SIBL
(20,15),(20,25),0.0809509 # DEPENDENCYPART_SIBL
(20,15),(20,26),0.0410518 # DEPENDENCYPART_SIBL
(20,15),(20,27),0.0470395 # DEPENDENCYPART_SIBL
(20,15),(20,28),0.102699 # DEPENDENCYPART_SIBL
(20,15),(20,31),0.0432005 # DEPENDENCYPART_SIBL
(20,15),(20,38),0.0589341 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.00342102 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.0620829 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0396455 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.0203814 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0239149 # DEPENDENCYPART_SIBL
(20,16),(20,23),0.000247306 # DEPENDENCYPART_SIBL
(20,16),(20,24),0.0290538 # DEPENDENCYPART_SIBL
(20,16),(20,25),0.0200066 # DEPENDENCYPART_SIBL
(20,16),(20,26),0.0287145 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.00326436 # DEPENDENCYPART_SIBL
(20,16),(20,28),0.00762826 # DEPENDENCYPART_SIBL
(20,16),(20,31),0.0290511 # DEPENDENCYPART_SIBL
(20,16),(20,38),-0.00597206 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.0389792 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0165339 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0274195 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0276019 # DEPENDENCYPART_SIBL
