# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,12,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(21,27),(21,29),-1.1233 # DEPENDENCYPART_NEXTSIBL
(21,27),(21,30),-1.14218 # DEPENDENCYPART_NEXTSIBL
(21,27),(21,33),-1.49432 # DEPENDENCYPART_NEXTSIBL
(21,27),(21,34),-1.16765 # DEPENDENCYPART_NEXTSIBL
(21,27),(21,35),-1.10546 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,28),(21,29),-0.747648 # DEPENDENCYPART_NEXTSIBL
(21,28),(21,30),-0.744995 # DEPENDENCYPART_NEXTSIBL
(21,28),(21,33),-1.33024 # DEPENDENCYPART_NEXTSIBL
(21,28),(21,34),-1.04217 # DEPENDENCYPART_NEXTSIBL
(21,28),(21,35),-1.14197 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,29),(21,30),-0.46477 # DEPENDENCYPART_NEXTSIBL
(21,29),(21,33),-0.946881 # DEPENDENCYPART_NEXTSIBL
(21,29),(21,34),-0.693598 # DEPENDENCYPART_NEXTSIBL
(21,29),(21,35),-0.718559 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,30),(21,33),-1.05784 # DEPENDENCYPART_NEXTSIBL
(21,30),(21,34),-0.692261 # DEPENDENCYPART_NEXTSIBL
(21,30),(21,35),-0.930165 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,33),(21,34),-0.795607 # DEPENDENCYPART_NEXTSIBL
(21,33),(21,35),-1.35636 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,34),(21,35),-2.28524 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,20),-2.04124 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,19),-0.217445 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,18),-0.479304 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,17),-0.368206 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,16),-0.877077 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,15),-0.130025 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,14),-0.607051 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,13),-0.477599 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,12),-0.67892 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,11),-0.6628 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,9),-1.00137 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,8),-0.508709 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,7),-0.529604 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,6),-0.458085 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,5),-1.60297 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,4),-0.281893 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,3),-0.679656 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,2),-0.262879 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,1),-0.704215 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-1.21098 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,19),-0.983516 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,18),-0.955373 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,17),-0.881425 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,16),-0.542662 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,15),-1.02827 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,14),-1.23703 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,13),-0.43966 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,12),-0.994048 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,11),-1.27734 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,9),0.0899545 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,8),-0.897106 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,7),-0.275559 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,6),-1.47361 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,5),-1.95875 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,4),-0.788412 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,3),-2.18953 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,2),-0.80539 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,1),-0.595944 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,-1),-1.30743 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,19),(21,18),-0.757301 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,17),-0.967242 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,16),-1.02063 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,15),-1.35894 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,14),-1.39199 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,13),-1.04866 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,12),-1.07173 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,11),-1.45374 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,9),-0.89895 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,8),-0.993669 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,7),-0.892103 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,6),-1.61707 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,5),-1.69031 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,4),-1.47312 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,3),-1.61767 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,2),-1.47974 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,1),-1.32372 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,-1),-0.441564 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,18),(21,17),-0.502203 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,16),-0.936928 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,15),-1.05398 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,14),-1.03934 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,13),-0.988394 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,12),-1.20113 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,11),-1.19831 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,9),-1.08418 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,8),-1.16085 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,7),-0.930073 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,6),-1.34427 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,5),-1.3253 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,4),-1.03901 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,3),-1.48865 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,2),-1.06933 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,1),-1.20653 # DEPENDENCYPART_NEXTSIBL
(21,18),(21,-1),-1.19034 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,17),(21,16),-0.754758 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,15),-1.00522 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,14),-1.10824 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,13),-1.05341 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,12),-1.26584 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,11),-1.34779 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,9),-1.18729 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,8),-1.28262 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,7),-1.07654 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,6),-1.53137 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,5),-1.49093 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,4),-1.15877 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,3),-1.60654 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,2),-1.17739 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,1),-1.42469 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,-1),-0.709764 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,16),(21,15),-0.76431 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,14),-0.768758 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,13),-1.00721 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,12),-1.1965 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,11),-1.2116 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,9),-1.08801 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,8),-1.14516 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,7),-1.09108 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,6),-1.11152 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,5),-1.4601 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,4),-1.13907 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,3),-1.43045 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,2),-1.13943 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,1),-1.18603 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,-1),-0.779733 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,15),(21,14),-0.990612 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,13),-1.03618 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,12),-1.10594 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,11),-1.37596 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,9),-1.0515 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,8),-1.198 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,7),-1.12605 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,6),-1.74006 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,5),-1.65523 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,4),-1.57824 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,3),-1.6881 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,2),-1.53611 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,1),-1.39591 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,-1),-0.757599 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,14),(21,13),-0.7926 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,12),-0.984141 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,11),-1.24135 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,9),-1.2924 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,8),-1.46444 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,7),-1.0764 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,6),-1.58852 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,5),-1.72638 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,4),-1.2568 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,3),-1.70006 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,2),-1.22369 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,1),-1.45609 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,-1),-0.744736 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,13),(21,12),-0.562547 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,11),-0.842192 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,9),-0.928689 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,8),-0.859358 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,7),-0.898131 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,6),-1.30436 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,5),-1.1859 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,4),-0.972285 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,3),-1.24707 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,2),-0.970203 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,1),-1.01344 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,-1),-1.10096 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,12),(21,11),-0.348398 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,9),-1.03245 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,8),-0.895942 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,7),-0.816655 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,6),-1.11712 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,5),-1.47134 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,4),-0.693372 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,3),-1.44701 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,2),-0.612341 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,1),-1.04831 # DEPENDENCYPART_NEXTSIBL
(21,12),(21,-1),-0.736748 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,11),(21,9),-1.1667 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,8),-1.16198 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,7),-1.15267 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,6),-1.44676 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,5),-1.71911 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,4),-1.20769 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,3),-1.50383 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,2),-1.20367 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,1),-1.5001 # DEPENDENCYPART_NEXTSIBL
(21,11),(21,-1),-1.1082 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,9),(21,8),-0.772015 # DEPENDENCYPART_NEXTSIBL
(21,9),(21,7),-1.12036 # DEPENDENCYPART_NEXTSIBL
(21,9),(21,6),-1.29083 # DEPENDENCYPART_NEXTSIBL
(21,9),(21,5),-1.30774 # DEPENDENCYPART_NEXTSIBL
(21,9),(21,4),-1.14376 # DEPENDENCYPART_NEXTSIBL
(21,9),(21,3),-1.37861 # DEPENDENCYPART_NEXTSIBL
(21,9),(21,2),-1.11328 # DEPENDENCYPART_NEXTSIBL
(21,9),(21,1),-1.25072 # DEPENDENCYPART_NEXTSIBL
(21,9),(21,-1),-0.907699 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,8),(21,7),-0.790418 # DEPENDENCYPART_NEXTSIBL
(21,8),(21,6),-1.08255 # DEPENDENCYPART_NEXTSIBL
(21,8),(21,5),-1.30623 # DEPENDENCYPART_NEXTSIBL
(21,8),(21,4),-1.14354 # DEPENDENCYPART_NEXTSIBL
(21,8),(21,3),-1.25636 # DEPENDENCYPART_NEXTSIBL
(21,8),(21,2),-1.16173 # DEPENDENCYPART_NEXTSIBL
(21,8),(21,1),-1.2123 # DEPENDENCYPART_NEXTSIBL
(21,8),(21,-1),-0.894728 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,7),(21,6),-0.707098 # DEPENDENCYPART_NEXTSIBL
(21,7),(21,5),-0.997162 # DEPENDENCYPART_NEXTSIBL
(21,7),(21,4),-0.944149 # DEPENDENCYPART_NEXTSIBL
(21,7),(21,3),-1.10138 # DEPENDENCYPART_NEXTSIBL
(21,7),(21,2),-0.946966 # DEPENDENCYPART_NEXTSIBL
(21,7),(21,1),-1.16476 # DEPENDENCYPART_NEXTSIBL
(21,7),(21,-1),-0.942573 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,6),(21,5),-0.465106 # DEPENDENCYPART_NEXTSIBL
(21,6),(21,4),-0.753279 # DEPENDENCYPART_NEXTSIBL
(21,6),(21,3),-0.942704 # DEPENDENCYPART_NEXTSIBL
(21,6),(21,2),-0.789075 # DEPENDENCYPART_NEXTSIBL
(21,6),(21,1),-1.05961 # DEPENDENCYPART_NEXTSIBL
(21,6),(21,-1),-0.603669 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,5),(21,4),-1.0074 # DEPENDENCYPART_NEXTSIBL
(21,5),(21,3),-1.5348 # DEPENDENCYPART_NEXTSIBL
(21,5),(21,2),-1.15567 # DEPENDENCYPART_NEXTSIBL
(21,5),(21,1),-1.00765 # DEPENDENCYPART_NEXTSIBL
(21,5),(21,-1),-1.72671 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,4),(21,3),-0.564996 # DEPENDENCYPART_NEXTSIBL
(21,4),(21,2),-1.11733 # DEPENDENCYPART_NEXTSIBL
(21,4),(21,1),-1.23433 # DEPENDENCYPART_NEXTSIBL
(21,4),(21,-1),-0.528447 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,3),(21,2),-0.794914 # DEPENDENCYPART_NEXTSIBL
(21,3),(21,1),-1.14155 # DEPENDENCYPART_NEXTSIBL
(21,3),(21,-1),-1.06481 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,2),(21,1),-0.794028 # DEPENDENCYPART_NEXTSIBL
(21,2),(21,-1),-0.516544 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,1),(21,-1),-0.739037 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),-0.307838 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,24),-0.658384 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,26),-0.659694 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,27),-0.772788 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,29),-0.214941 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,35),-0.579791 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,24),-0.378126 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,26),-0.714591 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,27),-0.844792 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,29),-0.852181 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,35),-0.861907 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,24),(22,26),-0.8721 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,27),-0.749417 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,29),-0.779522 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,35),-1.03042 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,26),(22,27),-0.957968 # DEPENDENCYPART_NEXTSIBL
(22,26),(22,29),-1.05294 # DEPENDENCYPART_NEXTSIBL
(22,26),(22,35),-1.04665 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,27),(22,29),-1.08523 # DEPENDENCYPART_NEXTSIBL
(22,27),(22,35),-0.998785 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,29),(22,35),-0.593145 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,-1),-0.706151 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,23),(23,24),-0.598853 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,25),-1.29505 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,26),-0.718998 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,27),-0.879208 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,28),-0.561245 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,29),-0.187187 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,30),-0.355451 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,33),-0.424922 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,35),-0.712842 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,24),(23,25),-0.80994 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,26),-0.908201 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,27),-0.761082 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,28),-0.946012 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,29),-0.811924 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,30),-0.650042 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,33),-0.769884 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,35),-0.990832 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,25),(23,26),-1.23265 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,27),-1.37078 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,28),-1.41067 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,29),-1.38701 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,30),-1.33624 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,33),-1.40459 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,35),-1.54792 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,26),(23,27),-1.00887 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,28),-0.979931 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,29),-1.07604 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,30),-0.616628 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,33),-1.00663 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,35),-1.07659 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,27),(23,28),-0.871372 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,29),-1.12357 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,30),-1.14728 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,33),-1.4789 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,35),-1.00721 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,28),(23,29),-0.776929 # DEPENDENCYPART_NEXTSIBL
(23,28),(23,30),-0.80667 # DEPENDENCYPART_NEXTSIBL
(23,28),(23,33),-1.30033 # DEPENDENCYPART_NEXTSIBL
(23,28),(23,35),-0.957771 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,29),(23,30),-0.540175 # DEPENDENCYPART_NEXTSIBL
(23,29),(23,33),-0.955686 # DEPENDENCYPART_NEXTSIBL
(23,29),(23,35),-0.593995 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,30),(23,33),-1.07284 # DEPENDENCYPART_NEXTSIBL
(23,30),(23,35),-1.0445 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,33),(23,35),-1.2772 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,22),-0.328222 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,19),-0.455847 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,18),-0.478977 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,17),-0.400709 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,13),-0.536057 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,2),-0.543272 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,-1),-0.740164 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,22),(23,19),-0.970779 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,18),-1.15364 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,17),-1.17089 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,13),-0.966492 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,2),-0.625501 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,-1),-0.908201 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,19),(23,18),-0.754928 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,17),-0.974522 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,13),-1.17173 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,2),-1.58297 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,-1),-0.644287 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,18),(23,17),-0.415577 # DEPENDENCYPART_NEXTSIBL
(23,18),(23,13),-0.992194 # DEPENDENCYPART_NEXTSIBL
(23,18),(23,2),-1.10246 # DEPENDENCYPART_NEXTSIBL
(23,18),(23,-1),-1.0673 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,17),(23,13),-1.06729 # DEPENDENCYPART_NEXTSIBL
(23,17),(23,2),-1.22015 # DEPENDENCYPART_NEXTSIBL
(23,17),(23,-1),-0.618736 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,13),(23,2),-1.08896 # DEPENDENCYPART_NEXTSIBL
(23,13),(23,-1),-1.2052 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,2),(23,-1),-0.759541 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,24),(24,25),-1.3749 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,26),-0.62238 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,27),-0.849705 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,28),-0.54434 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,29),-0.114745 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,30),-0.54593 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,33),-0.4846 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,35),-1.35047 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,25),(24,26),-1.25991 # DEPENDENCYPART_NEXTSIBL
(24,25),(24,27),-1.42603 # DEPENDENCYPART_NEXTSIBL
(24,25),(24,28),-1.53531 # DEPENDENCYPART_NEXTSIBL
(24,25),(24,29),-1.48186 # DEPENDENCYPART_NEXTSIBL
(24,25),(24,30),-1.4582 # DEPENDENCYPART_NEXTSIBL
(24,25),(24,33),-1.47464 # DEPENDENCYPART_NEXTSIBL
(24,25),(24,35),-1.56478 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,26),(24,27),-1.04453 # DEPENDENCYPART_NEXTSIBL
(24,26),(24,28),-1.07986 # DEPENDENCYPART_NEXTSIBL
(24,26),(24,29),-1.14618 # DEPENDENCYPART_NEXTSIBL
(24,26),(24,30),-0.719987 # DEPENDENCYPART_NEXTSIBL
(24,26),(24,33),-1.07239 # DEPENDENCYPART_NEXTSIBL
(24,26),(24,35),-1.04563 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,27),(24,28),-1.02362 # DEPENDENCYPART_NEXTSIBL
(24,27),(24,29),-1.23796 # DEPENDENCYPART_NEXTSIBL
(24,27),(24,30),-1.25265 # DEPENDENCYPART_NEXTSIBL
