# _root_ Foreign stock markets , which kicked off Black Monday with a huge selling spree , began the day off by relatively modest amounts .
#goldHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,3,0,18,16,16,19,23,23,20,16,
#predictedHeads=3,3,16,3,6,3,6,9,6,6,14,14,14,10,3,0,18,16,16,19,22,23,20,16,
(3,10),(10,12),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,25),-0.0237836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,13),(10,14),-0.0468854 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,15),-0.055478 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,16),-0.0420348 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,19),-0.0424214 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,20),-0.0183745 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,21),-0.0494237 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,23),-0.0488264 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,24),-0.0420214 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,25),0.00296397 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,14),(10,15),-0.055478 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,16),-0.0420348 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,19),-0.0424214 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,20),-0.018373 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,21),-0.0494237 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,23),-0.0488239 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,24),-0.0420214 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,25),-0.00689582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,15),(10,16),-0.0431068 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,19),-0.0425687 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,20),-0.0588373 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,21),-0.0485415 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,23),-0.0594723 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,25),-0.00891024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,16),(10,19),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,20),-0.0420658 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,23),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,24),-0.0420122 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,16),(10,25),-0.0185342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,19),(10,20),-0.0436698 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,19),(10,21),-0.0420338 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,19),(10,23),-0.0435551 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,19),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,19),(10,25),-0.0244837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,20),(10,21),-0.0420744 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,20),(10,23),-0.0529748 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,20),(10,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,20),(10,25),-0.0250623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,21),(10,23),-0.0434963 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,21),(10,24),-0.0430195 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,21),(10,25),-0.091003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,23),(10,24),-0.0420417 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,23),(10,25),-0.0117961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,24),(10,25),-0.0438811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,9),0.0890177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,7),0.102731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,5),0.151399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,-1),-0.0218627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,9),(10,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,5),0.102481 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,-1),-0.0791148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,7),(10,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,7),(10,-1),-0.0644844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,5),(10,-1),-0.036487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,14),(14,15),0.0684312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,16),-0.0612907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,18),-0.102287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,19),-0.0433801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,20),-0.0309109 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,21),-0.0518853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,23),-0.052915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,24),-0.0454384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,25),0.143587 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,15),(14,16),-0.0440205 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,18),0.0106155 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,19),-0.0487361 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,20),-0.0507491 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,21),-0.0473059 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,23),0.0111677 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,24),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,25),-0.0957583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,16),(14,18),-0.0420371 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,20),-0.0420332 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,21),-0.0420127 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,23),-0.0420138 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,24),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,25),-0.0676448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,18),(14,19),-0.0483026 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,20),-0.0386534 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,21),-0.0421508 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,23),-0.0445934 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,24),-0.0420277 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,25),-0.013032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,19),(14,20),-0.0426737 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,21),-0.0429371 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,23),-0.0425583 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,24),-0.0421649 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,25),-0.0520892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,20),(14,21),-0.0450368 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,23),-0.0444558 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,24),-0.0427647 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,25),-0.121043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,21),(14,23),-0.0420849 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,21),(14,24),-0.0420688 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,21),(14,25),-0.0497064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,23),(14,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,23),(14,25),-0.0105607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,24),(14,25),-0.0481234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,14),(14,13),0.114636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,12),0.0836651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,11),0.192382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,10),0.140475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,9),0.0908903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,8),0.0907302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,7),0.0972908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,6),0.096434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,5),0.0981425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,4),0.150189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,3),0.125767 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,14),(14,1),-0.0689032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,-1),-0.0355363 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,13),(14,12),0.0987421 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,11),0.103179 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,10),0.100864 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,9),0.106666 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,8),0.106666 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,7),0.10243 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,6),0.102667 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,5),0.103038 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,4),0.0987548 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,3),0.100942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,13),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,-1),-0.0756395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,12),(14,11),0.0794021 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,10),0.101573 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,9),0.105133 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,8),0.105139 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,6),0.102925 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,5),0.102261 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,4),0.0858512 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,3),0.101187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,12),(14,1),-0.0643553 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,-1),0.00820221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,11),(14,10),0.0992257 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,9),0.102095 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,8),0.102095 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,6),0.10305 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,5),0.102947 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,4),0.103335 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,3),0.109502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,11),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,-1),-0.0387494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,10),(14,9),0.102853 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,8),0.102857 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,6),0.103057 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,5),0.103066 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,4),0.108947 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,3),0.102629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,10),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,-1),-0.0562972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,9),(14,8),0.113385 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,6),0.103069 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,5),0.103033 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,4),0.101716 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,3),0.10302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,9),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,9),(14,-1),-0.0703911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,8),(14,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,8),(14,6),0.103069 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,8),(14,5),0.103033 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,8),(14,4),0.10171 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,8),(14,3),0.10302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,8),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,8),(14,-1),-0.0705421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,7),(14,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,7),(14,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,7),(14,4),0.103042 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,7),(14,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,7),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,7),(14,-1),-0.0687973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,6),(14,5),0.103042 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,6),(14,4),0.101551 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,6),(14,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,6),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,6),(14,-1),-0.075199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,5),(14,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,5),(14,3),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,5),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,5),(14,-1),-0.0712122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,4),(14,3),0.108416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,4),(14,1),-0.0643503 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,4),(14,-1),-0.115477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,3),(14,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,3),(14,-1),-0.0466248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,1),(14,-1),0.00819664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,15),(15,25),-0.0680729 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,15),(15,-1),-0.116752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,16),(16,16),(16,17),-0.0346168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,18),-0.0744089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,19),-0.0530946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,20),0.0127767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,21),-0.0296708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,22),-0.0503447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,23),-0.0626132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,24),-0.0448784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,25),-0.00695025 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,16),(16,17),(16,18),-0.0422855 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,19),-0.0420864 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,20),-0.0400414 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,21),-0.0420424 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,22),-0.0420864 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,23),-0.0424769 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,25),-0.0362273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,18),(16,19),-0.0421959 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,20),-0.0561883 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,21),-0.0376012 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,22),-0.0421959 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,23),-0.0423901 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,24),-0.0447111 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,25),-0.0473536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,19),(16,20),-0.056294 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,19),(16,21),-0.0439686 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,19),(16,22),-0.0423409 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,19),(16,23),-0.0429673 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,19),(16,24),-0.0425063 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,19),(16,25),-0.0223966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,20),(16,21),-0.0402784 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,20),(16,22),-0.042742 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,20),(16,23),-0.0457964 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,20),(16,24),-0.0479853 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,20),(16,25),0.0239123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,21),(16,22),-0.0365556 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,21),(16,23),-0.0441828 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,21),(16,24),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,21),(16,25),-0.114838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,22),(16,23),-0.0422894 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,22),(16,24),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,22),(16,25),-0.0174121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,23),(16,24),-0.042773 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,23),(16,25),-0.0648275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,24),(16,25),-0.0710618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,16),(16,15),0.0990442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,14),0.0883514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,13),0.0882733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,12),0.0826983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,11),0.12946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,10),0.105046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,9),0.101089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,8),0.101713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,7),0.102867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,6),0.100675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,5),0.17822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,4),0.0990442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,3),0.082616 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,16),(16,16),(16,2),-0.0736502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,1),-0.0642198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,-1),-0.165618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,16),(16,15),(16,14),0.127117 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,13),0.127111 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,12),0.102105 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,11),0.103064 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,10),0.0904776 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,9),0.101527 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,8),0.101576 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,7),0.103065 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,6),0.101274 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,5),0.0987192 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,4),0.103061 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,3),0.101202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,15),(16,2),-0.064184 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,1),-0.064153 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,-1),-0.0805347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,14),(16,13),0.102331 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,12),0.102736 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,11),0.102315 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,10),0.0988279 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,9),0.102256 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,8),0.102261 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,6),0.103016 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,5),0.0946051 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,4),0.101766 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,3),0.102201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,14),(16,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,14),(16,-1),-0.064619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,13),(16,12),0.102736 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,11),0.102315 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,10),0.0988279 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,9),0.102256 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,8),0.102261 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,6),0.103016 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,5),0.0946051 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,4),0.101765 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,3),0.102201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,13),(16,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,13),(16,-1),-0.0646958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,12),(16,11),0.102867 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,12),(16,10),0.103036 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,12),(16,9),0.10305 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,12),(16,8),0.10305 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,12),(16,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,12),(16,6),0.103067 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,12),(16,5),0.10307 # DEPENDENCYPART_GRANDSIBL
