# _root_ A widening of that magnitude , said one New York trader , is `` not a favorable number ... .
#goldHeads=2,13,2,5,3,7,0,11,11,11,7,13,7,18,18,18,18,13,13,13,
#predictedHeads=2,7,2,5,3,7,0,11,11,11,13,7,7,13,13,18,18,13,7,7,
(3,13),(13,8),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,8),(13,-1),-0.0642028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,7),(13,6),0.102929 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,7),(13,5),0.102627 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,7),(13,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,7),(13,3),0.103063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,7),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,7),(13,-1),-0.0745655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,6),(13,5),0.14624 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,6),(13,4),0.0947741 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,6),(13,3),0.149799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,6),(13,2),-0.0643534 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,6),(13,-1),-0.118366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,5),(13,4),0.099579 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,5),(13,3),0.0972615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,5),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,5),(13,-1),-0.0121216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,4),(13,3),0.102374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,4),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,4),(13,-1),-0.108349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,3),(13,2),-0.0652728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,3),(13,-1),-0.0498454 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,2),(13,-1),-0.0121216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,21),-0.0339726 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,-1),-0.0514041 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,7),(7,8),-0.0479815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,9),-0.0531718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,10),-0.0531718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,11),0.0370648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,12),-0.03756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,13),-0.0393106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,14),-0.0314146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,15),-0.054769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,18),0.0370781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,19),-0.0421012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,20),-0.04223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,21),-0.0999642 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,8),(7,9),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,11),-0.0422673 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,12),-0.0420154 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,18),-0.0422673 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,21),-0.0427577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,9),(7,10),-0.0421242 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,11),-0.0409758 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,12),-0.0485917 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,14),-0.0420576 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,15),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,18),-0.0409758 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,20),-0.0421978 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,21),-0.0518455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,10),(7,11),-0.0409794 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,12),-0.0485917 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,14),-0.0420576 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,15),-0.0420114 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,18),-0.0409794 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,20),-0.0421978 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,21),-0.0518455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,11),(7,12),-0.0311145 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,13),-0.0420157 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,14),-0.0450931 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,15),-0.0459869 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,18),-0.0482234 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,19),-0.0415763 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,20),-0.0438337 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,21),0.00130711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,12),(7,13),-0.0440591 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,14),-0.0468207 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,15),-0.0338188 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,18),-0.0449132 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,19),-0.0420269 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,21),-0.0389502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,13),(7,14),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,18),-0.0420493 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,21),-0.0394771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,14),(7,15),-0.0410743 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,14),(7,18),-0.0387452 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,14),(7,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,14),(7,20),-0.0420805 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,14),(7,21),-0.0444586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,15),(7,18),-0.0446098 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,15),(7,19),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,15),(7,20),-0.0420161 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,15),(7,21),-0.036567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,18),(7,19),-0.0415763 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,18),(7,20),-0.0438337 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,18),(7,21),0.00132034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,19),(7,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,19),(7,21),-0.046244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,20),(7,21),-0.0512667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,6),0.0900889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,5),0.203411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,4),0.109905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,7),(7,3),-0.0644541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,2),-0.0654422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,-1),-0.161121 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,6),(7,5),0.0941286 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,4),0.102817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,6),(7,3),-0.0671008 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,2),-0.0641502 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,-1),-0.0657428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,4),0.102931 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,3),-0.0642759 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,2),-0.0642236 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,-1),0.00658364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,4),(7,3),-0.0641537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,4),(7,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,4),(7,-1),-0.059807 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,3),(7,2),-0.0642468 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,3),(7,-1),-0.0604532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,2),(7,-1),0.00658364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,9),-0.0423856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,10),-0.0423856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,11),-0.0472868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,12),-0.0428452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,13),-0.0420285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,14),-0.0420154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,15),-0.0424282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,18),-0.0472868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,19),-0.0446898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,21),-0.0100342 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,9),(8,10),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,12),-0.042015 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,19),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,21),-0.0423923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,10),(8,11),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,12),-0.042015 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,21),-0.0423923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,11),(8,12),-0.042026 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,15),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,18),-0.0420154 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,19),-0.0423734 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,21),-0.0465053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,12),(8,13),-0.0420185 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,14),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,15),-0.0420199 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,18),-0.0421472 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,21),-0.0437198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,13),(8,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,18),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,21),-0.0420298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,14),(8,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,18),-0.0420154 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,21),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,15),(8,18),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,21),-0.0421976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,18),(8,19),-0.0423734 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,18),(8,21),-0.0465053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,19),(8,21),-0.0441249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,7),0.102944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,6),0.103064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,4),0.0981843 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,8),(8,2),-0.064831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,-1),-0.032569 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,7),(8,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,4),0.103068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,7),(8,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,-1),-0.0641469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,-1),-0.0641493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,4),(8,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,-1),-0.0684406 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,2),(8,-1),-0.0649196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,12),(12,21),-0.0339726 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,12),(12,12),(12,-1),-0.0514041 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,13),(13,14),-0.0462167 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,15),0.00199287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,16),-0.0437616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,17),-0.0425403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,18),-0.0188257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,19),-0.0456274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,20),-0.0429005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,21),-0.0239211 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,14),(13,15),-0.0428144 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,16),-0.0426574 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,17),-0.0376254 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,18),-0.0467368 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,19),-0.0421489 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,20),-0.0422944 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,21),-0.0466551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,15),(13,16),-0.042015 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,17),-0.0404211 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,18),-0.0386808 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,19),-0.0425913 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,20),-0.0420155 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,21),-0.0307967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,16),(13,17),-0.0420215 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,18),-0.0421819 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,19),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,20),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,21),-0.0429817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,17),(13,18),-0.0406283 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,19),-0.0427996 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,20),-0.0438633 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,17),(13,21),-0.0261125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,18),(13,19),-0.0451686 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,20),-0.0391609 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,18),(13,21),-0.0259116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,19),(13,20),-0.0435478 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,19),(13,21),-0.0475685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,20),(13,21),-0.0594865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,13),(13,12),0.0903602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,11),0.182867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,10),0.13905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,9),0.13905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,8),0.103414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,7),0.102828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,6),0.0903602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,5),0.182867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,4),0.110896 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,13),(13,3),-0.0650247 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,2),-0.0662225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,-1),-0.140881 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,12),(13,11),0.105006 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,10),0.0998503 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,9),0.0998452 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,8),0.102766 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,7),0.10131 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,5),0.105006 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,4),0.102472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,12),(13,3),-0.067942 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,2),-0.0642151 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,12),(13,-1),-0.0644903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,11),(13,10),0.0923325 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,9),0.0923359 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,8),0.102618 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,7),0.103052 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,6),0.127962 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,5),0.0859141 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,4),0.10249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,11),(13,3),-0.0650062 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,2),-0.0641506 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,11),(13,-1),0.00774221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,10),(13,9),0.0922216 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,8),0.103065 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,7),0.103047 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,6),0.1188 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,5),0.0952013 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,4),0.102665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,10),(13,3),-0.0641888 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,2),-0.0646876 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,10),(13,-1),-0.0154512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,9),(13,8),0.103065 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,7),0.103047 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,6),0.1188 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,5),0.0951961 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,4),0.102665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,9),(13,3),-0.0641888 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,2),-0.0646876 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,9),(13,-1),-0.0154546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,8),(13,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,6),0.103055 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,5),0.103064 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,8),(13,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,8),(13,-1),-0.0634519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,7),(13,6),0.102998 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,5),0.102797 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,4),0.10307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,7),(13,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,7),(13,-1),-0.0661527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,6),(13,5),0.105006 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,4),0.102472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,6),(13,3),-0.067942 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,6),(13,2),-0.0642151 # DEPENDENCYPART_GRANDSIBL
