# _root_ NCNB Texas National , formed from the remnants of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .
#goldHeads=3,3,19,3,3,5,8,6,8,8,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
#predictedHeads=3,3,19,3,3,5,8,6,8,9,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
(4,5),(5,4),(5,3),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,3),(5,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,2),(5,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,2),(5,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,1),(5,-1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,2),0.0938718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,3),0.0935975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,4),0.1341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,5),-0.0641555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,1),(1,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,33),-0.100554 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,2),(1,3),0.0836556 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,4),0.102719 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,2),(1,18),-0.0642156 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,33),-0.0685167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,3),(1,4),0.102726 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,3),(1,18),-0.0642156 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,3),(1,33),-0.0685133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,4),(1,5),-0.0646284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,4),(1,18),-0.0642581 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,33),-0.0431756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,5),(1,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,33),-0.0706008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,18),(1,33),-0.0431756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,-1),0.0319968 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,3),0.0935975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,4),0.134098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,5),-0.0641555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,6),-0.0641607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,8),-0.0641552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,9),-0.0641676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,10),-0.0641676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,15),-0.0644802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,16),-0.0641676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,33),-0.100559 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,3),(2,4),0.102726 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,3),(2,6),-0.0641464 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,8),-0.0641527 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,9),-0.0641464 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,10),-0.0641464 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,15),-0.0643502 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,16),-0.0641464 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,18),-0.0642156 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,33),-0.0685133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,4),(2,5),-0.0646284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,4),(2,6),-0.0641649 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,8),-0.0647879 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,9),-0.0641649 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,10),-0.0641649 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,15),-0.0642986 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,16),-0.0641649 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,18),-0.0642581 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,32),-0.0641507 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,4),(2,33),-0.0431756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,5),(2,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,8),-0.0641638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,15),-0.0641564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,5),(2,33),-0.0706008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,6),(2,8),-0.0641496 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,9),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,10),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,15),-0.0641818 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,16),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,18),-0.0642787 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,32),-0.0641548 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,6),(2,33),-0.0385433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,8),(2,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,16),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,18),-0.0641466 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,32),-0.0646906 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,8),(2,33),-0.068343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,9),(2,10),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,15),-0.0641818 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,16),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,18),-0.0643114 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,32),-0.0641548 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,9),(2,33),-0.0414893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,10),(2,15),-0.0641818 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,16),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,18),-0.0643114 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,32),-0.0641548 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,10),(2,33),-0.0414893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,15),(2,16),-0.0641464 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,15),(2,18),-0.0642156 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,15),(2,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,15),(2,33),-0.0702363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,16),(2,18),-0.0643114 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,16),(2,32),-0.0641548 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,16),(2,33),-0.0414893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,18),(2,32),-0.0641507 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,18),(2,33),-0.0431756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,32),(2,33),-0.0651584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,2),(2,1),-0.0348217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,-1),0.0319846 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,1),(2,-1),-0.00212988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,4),0.1341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,5),-0.0641555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,3),(3,6),-0.0641607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,8),-0.0641552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,9),-0.0641676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,10),-0.0641676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,33),-0.101418 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,4),(3,5),-0.0646284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,4),(3,6),-0.0641649 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,8),-0.0647879 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,9),-0.0641649 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,10),-0.0641649 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,18),-0.0642581 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,32),-0.0641507 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,33),-0.0431756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,5),(3,6),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,8),-0.0641638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,32),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,33),-0.0706008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,6),(3,8),-0.0641496 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,9),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,10),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,18),-0.0642787 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,32),-0.0641548 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,33),-0.0385433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,8),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,18),-0.0641466 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,32),-0.0646906 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,33),-0.068343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,9),(3,10),-0.064146 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,18),-0.0643114 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,32),-0.0641548 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,33),-0.0414893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,10),(3,18),-0.0643114 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,32),-0.0641548 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,10),(3,33),-0.0414893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,18),(3,32),-0.0641507 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,18),(3,33),-0.0431756 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,32),(3,33),-0.0651584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,2),-0.0352169 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,1),-0.0348465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,-1),0.0305147 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,2),(3,1),-0.0363989 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,2),(3,-1),-0.00252281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,1),(3,-1),-0.00215807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,4),(4,33),-0.0935374 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,5),(4,33),-0.0643001 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,4),(4,3),-0.042038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,-1),-0.0799418 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,3),(4,-1),-0.042038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,7),-0.0723433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,8),0.00995682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,9),-0.0732079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,10),-0.0732079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,12),-0.0553948 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,14),0.00362325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,15),-0.00592096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,19),-0.023157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,23),-0.0940486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,32),-0.0420266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,33),-0.112292 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,7),(6,8),-0.0420555 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,9),-0.0423578 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,10),-0.0423578 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,12),-0.0420785 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,14),-0.0420723 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,15),-0.0420723 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,19),-0.0420346 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,32),-0.0420308 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,33),-0.0672658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,8),(6,9),-0.0413028 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,10),-0.0413028 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,12),-0.0431326 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,14),-0.0453576 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,15),-0.0453583 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,19),-0.0425412 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,23),-0.0588666 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,32),-0.0427286 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,33),0.0133068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,9),(6,10),-0.0464948 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,12),-0.0421146 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,14),-0.0423774 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,15),-0.0423774 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,19),-0.0378986 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,23),-0.0285421 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,32),-0.0428611 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,33),0.00371465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,10),(6,12),-0.0421146 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,14),-0.0423774 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,15),-0.0423774 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,19),-0.0378986 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,23),-0.0285421 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,32),-0.0428611 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,33),0.00371465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,12),(6,14),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,15),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,19),-0.0420286 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,23),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,32),-0.0422426 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,33),-0.051079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,14),(6,15),-0.0434953 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,19),-0.0440432 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,23),-0.0126296 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,32),-0.0437224 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,33),-0.0310923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,15),(6,19),-0.0440432 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,23),-0.0126297 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,32),-0.0437224 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,33),-0.040632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,19),(6,23),-0.042088 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,32),-0.0423533 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,33),-0.059287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,23),(6,32),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,23),(6,33),-0.0865051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,32),(6,33),-0.0448757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,3),-0.0649226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,-1),-0.0853751 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,4),(6,3),-0.0641474 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,-1),-0.0780414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,3),(6,-1),-0.0762628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,9),-0.022 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,33),-0.1339 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,9),(7,33),-0.0463146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,-1),-0.189201 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,8),(8,9),-0.0105677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,10),-0.0105677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,11),-0.00295045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,12),-0.0527901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,13),-0.030076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,14),-0.030076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,15),-0.0300773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,16),-0.0105677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,18),-0.021195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,19),-0.05452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,23),-0.0505579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,28),-0.0194941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,32),-0.0389931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,33),0.0303462 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,9),(8,10),-0.0702312 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,11),-0.0420282 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,12),-0.0410157 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,13),-0.0424771 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,14),-0.0424771 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,15),-0.0424771 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,16),-0.0702312 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,18),-0.0330837 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,19),-0.0409488 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,23),-0.0326986 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,28),-0.0710961 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,32),-0.0420148 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,33),-0.0648805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,10),(8,11),-0.0420282 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,12),-0.0410157 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,13),-0.0424771 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,14),-0.0424771 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,15),-0.0424771 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,16),-0.0702312 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,18),-0.0330837 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,19),-0.0409488 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,23),-0.0326986 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,28),-0.0710961 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,32),-0.0420148 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,33),-0.0648805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,11),(8,12),-0.0433232 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,13),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,15),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,16),-0.0444274 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,18),-0.0432563 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,19),-0.0420129 # DEPENDENCYPART_GRANDSIBL
