# _root_ `` Markets in this region are n't so geared to leveraged buy-outs , and their economies generally are in good shape , but there 's no doubt that Asia is still following America 's lead . ''
#goldHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
#predictedHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
(8,12),(12,9),(12,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,9),(12,-1),-0.0567074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,8),(12,7),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,12),(12,8),(12,-1),-0.0653507 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,12),(12,7),(12,5),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,7),(12,-1),-0.0650078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,5),(12,4),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,5),(12,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,5),(12,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,5),(12,-1),-0.0701573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,4),(12,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,4),(12,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,4),(12,-1),-0.0790002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,2),(12,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(8,12),(12,2),(12,-1),-0.0696821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,12),(12,1),(12,-1),-0.0580856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,1),(1,2),0.102855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,1),(1,1),(1,38),-0.0472909 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,1),(1,2),(1,38),-0.0643604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,1),(1,1),(1,-1),-0.0104061 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,2),(2,3),0.123039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,4),0.115579 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,5),0.104273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,6),0.097602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,7),0.112412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,8),0.111475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,9),-0.0663657 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,2),(2,10),-0.0642368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,11),-0.0663657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,12),-0.0647671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,13),-0.0642335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,14),-0.0641458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,18),-0.0641469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,22),-0.0642335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,38),-0.101514 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,3),(2,4),0.102907 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,5),0.101809 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,6),0.101019 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,7),0.102207 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,8),0.102207 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,9),-0.0641468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,3),(2,10),-0.0641683 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,11),-0.0641468 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,12),-0.0641465 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,13),-0.0642199 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,22),-0.0642199 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,3),(2,38),-0.0181281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,4),(2,5),0.103066 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,7),0.0985535 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,8),0.0985535 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,4),(2,10),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,4),(2,38),-0.0433387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,5),(2,6),0.103046 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,7),0.102215 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,8),0.102215 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,9),-0.0641462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,5),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,11),-0.0641462 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,5),(2,38),-0.085431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,6),(2,7),0.103069 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,8),0.103069 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,9),-0.0641477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,6),(2,10),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,11),-0.0641477 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,13),-0.0641572 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,22),-0.0641572 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,6),(2,38),-0.0700353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,7),(2,8),0.100717 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,7),(2,10),-0.0641512 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,12),-0.0642117 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,7),(2,38),-0.0665369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,8),(2,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,8),(2,10),-0.0641512 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,12),-0.0642117 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,8),(2,38),-0.0640937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,9),(2,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,13),-0.0641626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,22),-0.0641626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,9),(2,38),-0.0720673 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,10),(2,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,10),(2,12),-0.0641534 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,10),(2,13),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,10),(2,14),-0.0641527 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,10),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,10),(2,22),-0.0641458 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,10),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,10),(2,38),-0.0713903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,11),(2,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,11),(2,13),-0.0641626 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,11),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,11),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,11),(2,22),-0.0641626 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,11),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,11),(2,38),-0.0720752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,12),(2,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,12),(2,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,12),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,12),(2,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,12),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,12),(2,38),-0.0445703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,13),(2,14),-0.0662208 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,13),(2,18),-0.0642717 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,13),(2,22),-0.0643056 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,13),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,13),(2,38),-0.0724894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,14),(2,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,14),(2,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,14),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,14),(2,38),-0.0678772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,18),(2,22),-0.0641572 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,18),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,18),(2,38),-0.0700353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,22),(2,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,2),(2,22),(2,38),-0.0724894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,36),(2,38),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,2),(2,2),(2,1),-0.048291 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,2),(2,2),(2,-1),0.0324615 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,2),(2,1),(2,-1),-0.0354736 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,3),(3,4),0.112588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,5),0.0790485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,6),0.0721965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,7),0.140095 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,9),-0.0641518 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,3),(3,3),(3,12),-0.0490875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,14),-0.0650421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,38),-0.0309899 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,3),(3,4),(3,5),0.103066 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,4),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,4),(3,38),-0.0580323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,5),(3,6),0.102869 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,7),0.102735 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,5),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,5),(3,38),-0.0886455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,6),(3,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,6),(3,12),-0.0641469 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,14),-0.0643192 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,36),-0.0642018 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,6),(3,38),-0.0975303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,7),(3,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,7),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,7),(3,38),-0.0459846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,9),(3,12),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,9),(3,38),-0.0676064 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,3),(3,12),(3,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,14),-0.0641465 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,12),(3,38),-0.0437037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,13),(3,14),-0.0641478 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,13),(3,36),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,13),(3,38),-0.0786921 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,14),(3,36),-0.0648305 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,14),(3,38),-0.053207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,36),(3,38),-0.0650116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,3),(3,2),0.00391214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,1),-0.0163333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,3),(3,3),(3,-1),-0.0904917 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,3),(3,2),(3,1),-0.0422229 # DEPENDENCYPART_GRANDSIBL
(9,3),(3,2),(3,-1),0.0219975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,3),(3,1),(3,-1),-0.0284747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,4),(4,6),0.102984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,4),(4,4),(4,38),-0.178667 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,4),(4,6),(4,38),-0.0642965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,4),(4,4),(4,-1),-0.120952 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,5),(5,6),0.100818 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,38),-0.120116 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,6),(5,38),-0.0679597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,5),(5,4),-0.0498636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,3),-0.0444084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,2),-0.0411329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,1),-0.0347781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,5),(5,5),(5,-1),0.0169251 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,5),(5,4),(5,3),-0.0448961 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,2),-0.0420126 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,1),-0.0424543 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,4),(5,-1),-0.00140969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,3),(5,2),-0.0287879 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,3),(5,1),-0.0426498 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,3),(5,-1),-0.0133155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,2),(5,1),-0.0420133 # DEPENDENCYPART_GRANDSIBL
(9,5),(5,2),(5,-1),-0.0420054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,5),(5,1),(5,-1),-0.0459997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,6),(6,7),0.0867933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,8),0.0868268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,9),-0.0676572 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,6),(6,10),-0.0714904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,11),-0.0676572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,12),-0.0705641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,15),-0.0641458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,16),-0.0705641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,17),-0.0646724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,18),-0.0642793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,19),-0.0642889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,20),-0.0643622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,21),-0.0668532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,25),-0.0641645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,30),-0.0641602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,31),-0.0646724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,32),-0.0643706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,36),-0.064169 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,37),-0.0641914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(9,6),(6,6),(6,38),0.00024139 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(9,6),(6,7),(6,8),0.102963 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,9),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,6),(6,7),(6,10),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,11),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,12),-0.0641475 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,13),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,14),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,15),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,16),-0.0641475 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,17),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,18),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,19),-0.0641495 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,20),-0.0643574 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,21),-0.0642672 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,24),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(9,6),(6,7),(6,25),-0.0641457 # DEPENDENCYPART_GRANDSIBL
