# _root_ `` When you 're in the groove , you see every ball tremendously , '' he lectured .
#goldHeads=17,4,4,10,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
#predictedHeads=17,4,4,17,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
(7,2),(7,5),-0.202073 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.517968 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.171588 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0476945 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.111489 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0030046 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0567382 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.171588 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0924484 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0973951 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.353756 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00350195 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.000944434 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.276219 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0745506 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0513948 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0325154 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0447329 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0205507 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0745506 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0192202 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0409901 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0916916 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.102793 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.260364 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00841895 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0129889 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0338331 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0138309 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0394749 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00841895 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0297463 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0218489 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.0468714 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.134813 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0311316 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0320037 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00612892 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00282723 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0570771 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0311316 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0136937 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0615806 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0176366 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0514199 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.074435 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.2995 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0022916 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0159217 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0514199 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0713607 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.242415 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.113725 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.18167 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.318518 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.699669 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.329927 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.119574 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.365557 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.5003 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.00473053 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0224577 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0451372 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0285801 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0141292 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.082962 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0284044 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0777433 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0174997 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.00801451 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.214957 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0329805 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0799556 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0982504 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0531431 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0108536 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0268089 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0514012 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0129638 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0418501 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0611999 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0233966 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0395098 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.365557 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.5003 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.00473053 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.0900475 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0535983 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.04593 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0826038 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.198976 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.11886 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.126551 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0320154 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0026031 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0138344 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0316036 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.11886 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0824671 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0568667 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.114127 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0522934 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.309494 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.13728 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.125393 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.0769095 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0561464 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0305517 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0239088 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0863579 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0604865 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0972353 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0561464 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.023685 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.236957 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0240903 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.179644 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.103292 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.00699045 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0324799 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.391371 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0861157 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.00371843 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.150205 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.154698 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0162576 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.532376 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0622652 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0946472 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0348626 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.231988 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.026075 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0396579 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.102211 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.0406275 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0612076 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0745539 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0339276 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.0779752 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0199192 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0285976 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0582651 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0421327 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0510604 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.062536 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0564679 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0628697 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.000819462 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.00555465 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0197827 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.147188 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0620831 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.00448526 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.031786 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00408998 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.039315 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0277247 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0495322 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0311006 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0857383 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.1806 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.230151 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.426886 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.069932 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0174503 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.101071 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0456613 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0281218 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.121339 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0732762 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.155183 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0281319 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.252868 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0248489 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0410129 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0445542 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0129739 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0309811 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.106537 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0230507 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0131367 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0301091 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0662588 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0173256 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0701604 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.00902983 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0493047 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0866416 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0387764 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0945044 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0622652 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0946472 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0348626 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.231988 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.026075 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0396579 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.102211 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0406275 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0708269 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.040472 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.035874 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0775004 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0520011 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0345077 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.017557 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0431142 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0637203 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.00370924 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0548879 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0803871 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0210463 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0476153 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.131332 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.164317 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.125891 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0583113 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0421357 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0927145 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.167447 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0214591 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.111819 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0599834 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.111746 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0825702 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0910805 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0674673 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.00352702 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0487741 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.00404211 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.12105 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0449706 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.00522716 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0696636 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.224333 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.305028 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0453902 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.0477259 # DEPENDENCYPART_SIBL
(12,1),(12,6),-0.0260522 # DEPENDENCYPART_SIBL
(12,1),(12,7),0.135181 # DEPENDENCYPART_SIBL
(12,1),(12,8),0.0857976 # DEPENDENCYPART_SIBL
(12,1),(12,9),0.113856 # DEPENDENCYPART_SIBL
(12,1),(12,10),0.167256 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0231953 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.0407865 # DEPENDENCYPART_SIBL
(12,1),(12,14),0.0902242 # DEPENDENCYPART_SIBL
(12,1),(12,15),0.735699 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0555351 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.00120855 # DEPENDENCYPART_SIBL
(12,1),(12,18),0.193989 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.517968 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.118456 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0804914 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0918858 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.147202 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.381241 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0567382 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.142369 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0848968 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0747352 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0998316 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.351724 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.226701 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.204078 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.0295193 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0953238 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.644945 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0303101 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0636546 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0645239 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0426536 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.227935 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.126081 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.149089 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0927461 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.00681393 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.386741 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0203522 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0335434 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0613202 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.101401 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.000681378 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.0310494 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.120921 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0304535 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0126355 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0456047 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.00469394 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.00994283 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0725789 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0031271 # DEPENDENCYPART_SIBL
(12,8),(12,18),0.0574117 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.010665 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.2074 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0205507 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.103771 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.0267718 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.082206 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0385536 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0937242 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.186412 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.052706 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0149086 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0193075 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0568991 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0334551 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.057299 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0191474 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.00693571 # DEPENDENCYPART_SIBL
(12,11),(12,15),0.0162 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0615162 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.133232 # DEPENDENCYPART_SIBL
(12,11),(12,18),0.0389258 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0698595 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.024887 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0469433 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0198536 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0395098 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.511965 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.239223 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.589346 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0710739 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0487921 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.0995335 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0476554 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.0371817 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.106953 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.0564074 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0587638 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.119463 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0792847 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.0117642 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.075024 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0564449 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0268966 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.131642 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.483984 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.00955876 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0108402 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0657834 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0825421 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.012094 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0195273 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0139575 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.00414065 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0651249 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0404383 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0381295 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.11072 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0924344 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0126719 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.00185465 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.097446 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0101058 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.0307325 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.17014 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.0272465 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0792875 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0351076 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0269488 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0260949 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0333838 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.051227 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.114418 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.102719 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.483768 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.055308 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0357471 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.0127654 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.00190091 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.100807 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0182635 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0306821 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.045842 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0832275 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0246598 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.0657883 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.105575 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.00180241 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.00507205 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.313755 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.405208 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0285477 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.111757 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0421296 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0232897 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0078148 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0458626 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0558832 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.0921023 # DEPENDENCYPART_SIBL
(16,4),(16,12),0.0221544 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0153734 # DEPENDENCYPART_SIBL
(16,4),(16,15),0.140024 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0221087 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.0104978 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.134652 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.0785836 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0160061 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.0520519 # DEPENDENCYPART_SIBL
(17,1),(17,2),-0.134457 # DEPENDENCYPART_SIBL
(17,1),(17,3),-0.0419302 # DEPENDENCYPART_SIBL
(17,1),(17,4),0.0885336 # DEPENDENCYPART_SIBL
(17,1),(17,5),-0.0163493 # DEPENDENCYPART_SIBL
(17,1),(17,7),0.0089817 # DEPENDENCYPART_SIBL
(17,1),(17,8),0.0502673 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0419302 # DEPENDENCYPART_SIBL
(17,1),(17,10),0.0437736 # DEPENDENCYPART_SIBL
(17,1),(17,11),0.0410127 # DEPENDENCYPART_SIBL
(17,1),(17,12),0.00855534 # DEPENDENCYPART_SIBL
(17,1),(17,13),0.00970211 # DEPENDENCYPART_SIBL
(17,1),(17,14),0.0502673 # DEPENDENCYPART_SIBL
(17,1),(17,15),0.458945 # DEPENDENCYPART_SIBL
(17,1),(17,16),0.159002 # DEPENDENCYPART_SIBL
(17,1),(17,18),0.155302 # DEPENDENCYPART_SIBL
(17,2),(17,3),0.041243 # DEPENDENCYPART_SIBL
(17,2),(17,4),-0.0779608 # DEPENDENCYPART_SIBL
(17,2),(17,5),9.14326e-06 # DEPENDENCYPART_SIBL
(17,2),(17,7),0.0619545 # DEPENDENCYPART_SIBL
