# _root_ Dr. Novello , an expert on pediatric kidney diseases , is deputy director of the National Institute of Child Health and Human Development .
#goldHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
#predictedHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
(5,4),(5,13),0.0325351 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.392338 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.105037 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.392338 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0705492 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0690446 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0536433 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.075769 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.081906 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0618759 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0708513 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0872695 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.00726706 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0935343 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.00726706 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.149258 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.161797 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.037548 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0433939 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0564961 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0489301 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0352747 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0129905 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.00661143 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0129905 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0144749 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0405149 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.145157 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.014478 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0451947 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.107686 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0425328 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0574744 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.0425328 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0252992 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.00467598 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00501243 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.114859 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0911997 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0506713 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0698054 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0506713 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0194648 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.0168064 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.579662 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.838198 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.303733 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.65657 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.303733 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.554196 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.012833 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0413683 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0581495 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0326961 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.0581495 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.101177 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.0457118 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0699198 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0444882 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0699198 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0169479 # DEPENDENCYPART_SIBL
(5,13),(5,24),0.00921777 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0450258 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.502293 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.0825926 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.0475257 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.0443733 # DEPENDENCYPART_SIBL
(5,17),(5,21),0.0520486 # DEPENDENCYPART_SIBL
(5,17),(5,24),-0.0393129 # DEPENDENCYPART_SIBL
(5,18),(5,21),0.0825926 # DEPENDENCYPART_SIBL
(5,18),(5,24),-0.0475257 # DEPENDENCYPART_SIBL
(5,21),(5,24),-0.0448648 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0559847 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.144962 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0466638 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0561938 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0572566 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.112406 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00568867 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.000933235 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.101911 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0476033 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.027772 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.0368197 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0511657 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0229762 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0656804 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0728075 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.151769 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.516612 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0723077 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0762667 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.127961 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.129393 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.0483326 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0301569 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0477638 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0115971 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.200628 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.115324 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0551431 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.000551399 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.128926 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.126359 # DEPENDENCYPART_SIBL
(6,4),(6,24),-0.0529537 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0444404 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0211399 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.129198 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0687376 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0556939 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0316253 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0930306 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0841852 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.0442644 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.522506 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.492876 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0166017 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.462254 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.52729 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0702948 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.300804 # DEPENDENCYPART_SIBL
(6,7),(6,24),-0.00844006 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.900273 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0717718 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.619732 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.914016 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0576431 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.51111 # DEPENDENCYPART_SIBL
(6,8),(6,24),0.00836063 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0174453 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.577241 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.712576 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0324606 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.416431 # DEPENDENCYPART_SIBL
(6,9),(6,24),0.0808892 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.18088 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0922013 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.452883 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0796813 # DEPENDENCYPART_SIBL
(6,10),(6,24),0.152733 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.422518 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.121336 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.264814 # DEPENDENCYPART_SIBL
(6,11),(6,24),0.306757 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0433285 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.49621 # DEPENDENCYPART_SIBL
(6,13),(6,24),0.0240947 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0522323 # DEPENDENCYPART_SIBL
(6,14),(6,24),0.0639728 # DEPENDENCYPART_SIBL
(6,17),(6,24),-0.0683026 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.213836 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0624824 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0359815 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0274923 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00418793 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0116999 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.133411 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0588883 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0770633 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0578561 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0142946 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.32678 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.024359 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0182109 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0322729 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0343591 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0151188 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0336366 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.121098 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0811339 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0448057 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.541054 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.848596 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.293337 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0399994 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0527982 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0757823 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.00195062 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0344435 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.231902 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.00655766 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0554724 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0289048 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0258248 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0171064 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0572778 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.102128 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0105511 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.137049 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0151395 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.137049 # DEPENDENCYPART_SIBL
(9,1),(9,24),-0.00940998 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0459234 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.221192 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0174842 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0662533 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0174949 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0367514 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0124807 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.050155 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0873949 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0287522 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.136195 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.00372523 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.136195 # DEPENDENCYPART_SIBL
(9,2),(9,24),0.0060665 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0425416 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0824799 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.156581 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0971335 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0867564 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0184147 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0133893 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0187491 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0369678 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.032039 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0138055 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.032039 # DEPENDENCYPART_SIBL
(9,3),(9,24),0.144518 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0792958 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0936423 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0710194 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0837014 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0462411 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0384166 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0132902 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0778551 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.279937 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0533857 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.279937 # DEPENDENCYPART_SIBL
(9,4),(9,24),-0.0697394 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0423117 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.102547 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.111393 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0296747 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0578335 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0368289 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00905523 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0871206 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0116619 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0871206 # DEPENDENCYPART_SIBL
(9,5),(9,24),-0.0154664 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0649375 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0504227 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0973823 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.074725 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0411988 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0395309 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0320615 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0241549 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0320615 # DEPENDENCYPART_SIBL
(9,6),(9,24),0.017681 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0286278 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0188443 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0178776 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.057813 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.00838126 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0428009 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0608593 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0428009 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.119479 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0168643 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0506796 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0281755 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.00104461 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0804982 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.00737412 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0804982 # DEPENDENCYPART_SIBL
(9,8),(9,24),-0.010028 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.375736 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.317452 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.677731 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.112708 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.52782 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.112708 # DEPENDENCYPART_SIBL
(9,10),(9,24),0.0146034 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.00435005 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.036752 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0228064 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0112892 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0228064 # DEPENDENCYPART_SIBL
(9,11),(9,24),0.133379 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0426661 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.059302 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.000973758 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.059302 # DEPENDENCYPART_SIBL
(9,12),(9,24),0.00904198 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0221798 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0697784 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0221798 # DEPENDENCYPART_SIBL
(9,13),(9,24),0.0404106 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.00716556 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.405736 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.0276148 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.02361 # DEPENDENCYPART_SIBL
(9,17),(9,24),0.0395353 # DEPENDENCYPART_SIBL
(9,18),(9,24),-0.0276148 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.439582 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0109529 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.353732 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.350311 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.00483631 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.2549 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.335495 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.239474 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0109529 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0350495 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.0312352 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.139474 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.116547 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.0225161 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0307359 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.139474 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0313659 # DEPENDENCYPART_SIBL
(11,1),(11,21),0.00894592 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0420795 # DEPENDENCYPART_SIBL
(11,1),(11,24),-0.0121632 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0128527 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.353314 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.349677 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.00532793 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.253781 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.334861 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.239051 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0128527 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0278291 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0383303 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.14583 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.112535 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0113272 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.019384 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.14583 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.0201769 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0111452 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.0308906 # DEPENDENCYPART_SIBL
(11,2),(11,24),-0.00237452 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.0100913 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0121264 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0616344 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.00177389 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0203328 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.0248387 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00890003 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0273229 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0191891 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.180834 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.123999 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.017557 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.00668559 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.180834 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0216576 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0601042 # DEPENDENCYPART_SIBL
(11,3),(11,23),-0.0331054 # DEPENDENCYPART_SIBL
(11,3),(11,24),0.0582691 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.23109 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0694964 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.134893 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.22325 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.202781 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0419937 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0218219 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0340926 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0564672 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.109413 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.116941 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.121297 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0564672 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.116978 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.128421 # DEPENDENCYPART_SIBL
(11,4),(11,23),-0.124695 # DEPENDENCYPART_SIBL
(11,4),(11,24),-0.106111 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0465334 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.500621 # DEPENDENCYPART_SIBL
(11,5),(11,8),-1.00599 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.541175 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0761698 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0594391 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0821637 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.100097 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.126138 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0568588 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0587988 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.100097 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0680645 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.0117057 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.0668751 # DEPENDENCYPART_SIBL
(11,5),(11,24),-0.071816 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.15783 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.049662 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0521779 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.338575 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0113248 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0469717 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.082638 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.104673 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.00978371 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.00841701 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.082638 # DEPENDENCYPART_SIBL
(11,6),(11,20),0.00271586 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0902 # DEPENDENCYPART_SIBL
(11,6),(11,23),-0.0116391 # DEPENDENCYPART_SIBL
(11,6),(11,24),0.011669 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.104444 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0791916 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0838409 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0380283 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0191416 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.10903 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0699019 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0648088 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0665854 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.10903 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0769039 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0768433 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.0841933 # DEPENDENCYPART_SIBL
(11,7),(11,24),0.0199903 # DEPENDENCYPART_SIBL
