# _root_ When he came to Applied , `` I did n't have the power to execute as I do today , '' he says .
#goldHeads=3,3,9,3,4,9,9,9,23,9,9,13,11,13,14,15,18,16,18,9,9,23,0,23,
#predictedHeads=3,3,9,3,4,5,23,9,23,9,9,13,11,13,14,15,18,16,18,23,23,23,0,23,
(13,11),(13,24),0.02943 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0436685 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.138767 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0199098 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.217011 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.46618 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.157863 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.151107 # DEPENDENCYPART_SIBL
(13,12),(13,21),0.148143 # DEPENDENCYPART_SIBL
(13,12),(13,23),0.394741 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.00536066 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0457747 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0918162 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0232374 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0574137 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.264866 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.112843 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0244627 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.0222622 # DEPENDENCYPART_SIBL
(13,14),(13,24),0.0371428 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0174152 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0609682 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0544637 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0634191 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0965914 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.0582117 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0159448 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.0199374 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.00535836 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.00250549 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.188571 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.129619 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.0831058 # DEPENDENCYPART_SIBL
(13,16),(13,23),0.0266452 # DEPENDENCYPART_SIBL
(13,16),(13,24),0.138505 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.0206536 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0520977 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.0276442 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0755781 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.0655396 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.0899462 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0520019 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.273569 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.126418 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.202442 # DEPENDENCYPART_SIBL
(13,18),(13,24),0.139093 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.0249652 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0413492 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.0494842 # DEPENDENCYPART_SIBL
(13,19),(13,24),0.00860837 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.310212 # DEPENDENCYPART_SIBL
(13,20),(13,23),0.29368 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.0439348 # DEPENDENCYPART_SIBL
(13,21),(13,23),0.0523859 # DEPENDENCYPART_SIBL
(13,21),(13,24),-0.0626588 # DEPENDENCYPART_SIBL
(13,23),(13,24),0.103248 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.018439 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0574596 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.0972067 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.00706911 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0514684 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.0122946 # DEPENDENCYPART_SIBL
(14,1),(14,17),0.000507194 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0732369 # DEPENDENCYPART_SIBL
(14,1),(14,19),0.111518 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.111321 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.0273268 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.0825826 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.0216048 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.102027 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.072925 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.0057665 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.00564797 # DEPENDENCYPART_SIBL
(14,7),(14,19),0.0309263 # DEPENDENCYPART_SIBL
(14,7),(14,20),0.0833904 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.0500129 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.0287241 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0607684 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.0926122 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0853141 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0222656 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.0398571 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.0733613 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0690545 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.17306 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.167244 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0453486 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0897163 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.12473 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0780802 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0239765 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0177829 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0330025 # DEPENDENCYPART_SIBL
(14,13),(14,18),0.0123103 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0110719 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0350114 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.15763 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.269999 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.229433 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.713472 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.15494 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.178345 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.11589 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.270411 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.00525611 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.149726 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.424462 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.117892 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.360344 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.16987 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0325258 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.0833578 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0811299 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0815107 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.071324 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.161959 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0132881 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0911813 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0258874 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.0939098 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.103561 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.183677 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.10678 # DEPENDENCYPART_SIBL
(15,1),(15,22),-0.0154444 # DEPENDENCYPART_SIBL
(15,1),(15,23),-0.0568903 # DEPENDENCYPART_SIBL
(15,1),(15,24),-0.346219 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.0336179 # DEPENDENCYPART_SIBL
(15,3),(15,10),0.000366917 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.0250298 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.0204185 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.0255011 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0761976 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0112597 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0203323 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0192532 # DEPENDENCYPART_SIBL
(15,3),(15,20),-0.0390219 # DEPENDENCYPART_SIBL
(15,3),(15,21),0.0156565 # DEPENDENCYPART_SIBL
(15,3),(15,22),-0.0108395 # DEPENDENCYPART_SIBL
(15,3),(15,23),-0.0622098 # DEPENDENCYPART_SIBL
(15,3),(15,24),0.0219474 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.0185113 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0432149 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.0894492 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0853185 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.0196911 # DEPENDENCYPART_SIBL
(15,7),(15,17),0.00657176 # DEPENDENCYPART_SIBL
(15,7),(15,18),0.0471913 # DEPENDENCYPART_SIBL
(15,7),(15,19),0.0266704 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.0137232 # DEPENDENCYPART_SIBL
(15,7),(15,21),0.690497 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0382328 # DEPENDENCYPART_SIBL
(15,7),(15,23),0.0463664 # DEPENDENCYPART_SIBL
(15,7),(15,24),0.109795 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0628093 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.0385324 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.00652523 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.153213 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0670567 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.00728223 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0791176 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.114186 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.0237115 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0717248 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.0448894 # DEPENDENCYPART_SIBL
(15,10),(15,24),0.0430759 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0073992 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.00487091 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0552042 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0154245 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.00147764 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.00853135 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.055354 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0732023 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.0152049 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0106808 # DEPENDENCYPART_SIBL
(15,11),(15,24),0.0491465 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.00917294 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.170872 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.015588 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.154136 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.11649 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0815309 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.00923174 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.0957576 # DEPENDENCYPART_SIBL
(15,12),(15,23),0.0326043 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.117433 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0352332 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0380921 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.00567324 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.00822422 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0865015 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.00428141 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.065638 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.0341999 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0142665 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.203642 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0890928 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0538342 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0363403 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.00801591 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.204982 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.153979 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.0462884 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0225408 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0275279 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0614642 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0324589 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0722812 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.150077 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0435301 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0383561 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.105086 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.185352 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.057784 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.325814 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.171826 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0508845 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0256412 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.0605256 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.142506 # DEPENDENCYPART_SIBL
(15,19),(15,24),0.0167081 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.147376 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.000661547 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.00632596 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.0264811 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.00375563 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.0531834 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.0656642 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.163925 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0753471 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.0217046 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0834187 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0323667 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0803465 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.034498 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0105079 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0827401 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0357283 # DEPENDENCYPART_SIBL
(16,14),(16,23),0.0783678 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.114875 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0690982 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0787711 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0827341 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0328249 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.156668 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.0736333 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.0177018 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.0629077 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.515712 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.507064 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.173434 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.208005 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.278911 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.603527 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.239705 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.418398 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.310295 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.121823 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.139019 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.717036 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.11933 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.020969 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.166234 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.391285 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.788587 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.159978 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.00286226 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.113013 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.238848 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0396172 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.143985 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.448411 # DEPENDENCYPART_SIBL
(16,21),(16,24),-0.14617 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.621515 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.268568 # DEPENDENCYPART_SIBL
(16,23),(16,24),0.152976 # DEPENDENCYPART_SIBL
(18,1),(18,2),-0.0905299 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.0441235 # DEPENDENCYPART_SIBL
(18,1),(18,4),-0.0145327 # DEPENDENCYPART_SIBL
(18,1),(18,5),0.0386348 # DEPENDENCYPART_SIBL
(18,1),(18,6),-0.0816371 # DEPENDENCYPART_SIBL
(18,1),(18,7),0.00904218 # DEPENDENCYPART_SIBL
(18,1),(18,8),-0.014092 # DEPENDENCYPART_SIBL
(18,1),(18,9),-0.047067 # DEPENDENCYPART_SIBL
(18,1),(18,10),-0.0562029 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.0199478 # DEPENDENCYPART_SIBL
(18,1),(18,12),-0.107935 # DEPENDENCYPART_SIBL
(18,1),(18,13),0.0563262 # DEPENDENCYPART_SIBL
(18,1),(18,14),-0.0145327 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.00854358 # DEPENDENCYPART_SIBL
(18,1),(18,16),0.00698729 # DEPENDENCYPART_SIBL
(18,1),(18,17),-0.014092 # DEPENDENCYPART_SIBL
(18,1),(18,19),0.216935 # DEPENDENCYPART_SIBL
(18,1),(18,20),-0.281615 # DEPENDENCYPART_SIBL
(18,1),(18,21),-0.181525 # DEPENDENCYPART_SIBL
(18,1),(18,22),-0.0837067 # DEPENDENCYPART_SIBL
(18,1),(18,23),-0.154698 # DEPENDENCYPART_SIBL
(18,1),(18,24),-0.47996 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.165293 # DEPENDENCYPART_SIBL
(18,2),(18,4),-0.189188 # DEPENDENCYPART_SIBL
(18,2),(18,5),-0.217566 # DEPENDENCYPART_SIBL
(18,2),(18,6),-0.100878 # DEPENDENCYPART_SIBL
(18,2),(18,7),-0.129668 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.642602 # DEPENDENCYPART_SIBL
(18,2),(18,9),-0.167633 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.0134826 # DEPENDENCYPART_SIBL
(18,2),(18,11),-0.205238 # DEPENDENCYPART_SIBL
(18,2),(18,12),-0.239228 # DEPENDENCYPART_SIBL
(18,2),(18,13),-0.237237 # DEPENDENCYPART_SIBL
(18,2),(18,14),-0.189188 # DEPENDENCYPART_SIBL
(18,2),(18,15),-0.193024 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.071608 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.642602 # DEPENDENCYPART_SIBL
(18,2),(18,19),0.116726 # DEPENDENCYPART_SIBL
(18,2),(18,20),0.0265048 # DEPENDENCYPART_SIBL
(18,2),(18,21),-0.0552779 # DEPENDENCYPART_SIBL
(18,2),(18,22),-0.179525 # DEPENDENCYPART_SIBL
(18,2),(18,23),-0.137245 # DEPENDENCYPART_SIBL
(18,2),(18,24),0.0642685 # DEPENDENCYPART_SIBL
(18,3),(18,4),-0.046558 # DEPENDENCYPART_SIBL
(18,3),(18,5),0.0198245 # DEPENDENCYPART_SIBL
(18,3),(18,6),0.25596 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.0160132 # DEPENDENCYPART_SIBL
(18,3),(18,8),-0.025166 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.122773 # DEPENDENCYPART_SIBL
(18,3),(18,10),-0.0566845 # DEPENDENCYPART_SIBL
(18,3),(18,11),-0.0459109 # DEPENDENCYPART_SIBL
(18,3),(18,12),-0.0182157 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.0239948 # DEPENDENCYPART_SIBL
(18,3),(18,14),-0.046558 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.0294449 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.0388951 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.025166 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.0121979 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.0538894 # DEPENDENCYPART_SIBL
(18,3),(18,21),-0.0648119 # DEPENDENCYPART_SIBL
(18,3),(18,22),-0.0842046 # DEPENDENCYPART_SIBL
(18,3),(18,23),-0.15007 # DEPENDENCYPART_SIBL
(18,3),(18,24),-0.0230602 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.00787045 # DEPENDENCYPART_SIBL
(18,4),(18,6),0.1695 # DEPENDENCYPART_SIBL
(18,4),(18,7),-0.0494827 # DEPENDENCYPART_SIBL
(18,4),(18,8),0.0431833 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.0333038 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.00128633 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0346563 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0481712 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.0512968 # DEPENDENCYPART_SIBL
(18,4),(18,14),-0.0882079 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.0245017 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.035419 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.0431833 # DEPENDENCYPART_SIBL
(18,4),(18,19),0.00097362 # DEPENDENCYPART_SIBL
(18,4),(18,20),-0.198846 # DEPENDENCYPART_SIBL
(18,4),(18,21),-0.0801638 # DEPENDENCYPART_SIBL
(18,4),(18,22),-0.0631204 # DEPENDENCYPART_SIBL
(18,4),(18,23),-0.0722513 # DEPENDENCYPART_SIBL
(18,4),(18,24),0.0184703 # DEPENDENCYPART_SIBL
(18,5),(18,6),-0.0611605 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.128312 # DEPENDENCYPART_SIBL
(18,5),(18,8),-0.385025 # DEPENDENCYPART_SIBL
(18,5),(18,9),-0.156423 # DEPENDENCYPART_SIBL
(18,5),(18,10),-0.0914585 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.181861 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.362448 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.170354 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.234191 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.166705 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.0377039 # DEPENDENCYPART_SIBL
(18,5),(18,17),-0.385025 # DEPENDENCYPART_SIBL
(18,5),(18,19),0.0546634 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0453579 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.0199197 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0644911 # DEPENDENCYPART_SIBL
(18,5),(18,23),-0.0695743 # DEPENDENCYPART_SIBL
(18,5),(18,24),0.0433978 # DEPENDENCYPART_SIBL
(18,6),(18,7),0.0668569 # DEPENDENCYPART_SIBL
(18,6),(18,8),0.0763998 # DEPENDENCYPART_SIBL
(18,6),(18,9),-0.0189928 # DEPENDENCYPART_SIBL
(18,6),(18,10),0.0217214 # DEPENDENCYPART_SIBL
(18,6),(18,11),-0.0352984 # DEPENDENCYPART_SIBL
(18,6),(18,12),0.00173483 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.00493906 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.0285828 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.00584567 # DEPENDENCYPART_SIBL
(18,6),(18,16),0.149176 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.0763998 # DEPENDENCYPART_SIBL
(18,6),(18,19),-0.00400604 # DEPENDENCYPART_SIBL
(18,6),(18,20),-0.0330143 # DEPENDENCYPART_SIBL
(18,6),(18,21),-0.0651638 # DEPENDENCYPART_SIBL
(18,6),(18,22),-0.0956582 # DEPENDENCYPART_SIBL
(18,6),(18,23),0.0220116 # DEPENDENCYPART_SIBL
(18,6),(18,24),0.0718786 # DEPENDENCYPART_SIBL
(18,7),(18,8),0.00800633 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.0467175 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.0426727 # DEPENDENCYPART_SIBL
(18,7),(18,11),0.0509311 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.0514735 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.0264115 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.00308911 # DEPENDENCYPART_SIBL
(18,7),(18,15),0.0475839 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.0316742 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.00800633 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.0245963 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.0310286 # DEPENDENCYPART_SIBL
(18,7),(18,21),0.375321 # DEPENDENCYPART_SIBL
(18,7),(18,22),-0.083954 # DEPENDENCYPART_SIBL
(18,7),(18,23),-0.121333 # DEPENDENCYPART_SIBL
(18,7),(18,24),0.135992 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.158333 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.0317337 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.212871 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.229005 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.216201 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.181109 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.200658 # DEPENDENCYPART_SIBL
