# _root_ MRA Staffing Systems signs up nurses for paid travel , promising annual income up to $ 50,000 and free or subsidized housing .
#goldHeads=3,3,4,0,4,4,4,9,7,4,4,13,11,13,14,15,16,13,22,19,20,18,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,4,4,13,11,13,14,15,16,13,18,19,20,21,4,
(4,11),(4,12),-0.231883 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.341306 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.215731 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0661874 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.193664 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.00388103 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.232612 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0863485 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.236807 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.0479804 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.263264 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.048993 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0264631 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.152311 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0241641 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.220309 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.079412 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0495801 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.045901 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.00748287 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0876656 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0764427 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.00837929 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0394541 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0751254 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0567048 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0255332 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.00675842 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.237008 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0215394 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.183223 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.099456 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.0549796 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.00555165 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0805723 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0669666 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.15572 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0793016 # DEPENDENCYPART_SIBL
(4,15),(4,21),-0.0621598 # DEPENDENCYPART_SIBL
(4,15),(4,23),0.035923 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.00218941 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0829183 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.00373577 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.105539 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.0282072 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0794514 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.672073 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.0235208 # DEPENDENCYPART_SIBL
(4,18),(4,23),0.028905 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.100661 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.0670585 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0494616 # DEPENDENCYPART_SIBL
(4,20),(4,21),-0.0719807 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.232512 # DEPENDENCYPART_SIBL
(4,21),(4,23),0.0273786 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0323824 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.014126 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00131115 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.000700282 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0278218 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0279231 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0461229 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.132993 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0430001 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0762907 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00873634 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0628034 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.204189 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.127584 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0485613 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0169384 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00195257 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0383127 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0297772 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0646319 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0153445 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0165019 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.129138 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0812033 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0326133 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.00123682 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.154743 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0622667 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.011002 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0863529 # DEPENDENCYPART_SIBL
(6,1),(6,23),0.0060783 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00195257 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0383127 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0581183 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0744066 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0257982 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00545925 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.139591 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0916569 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.043067 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0271044 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.165202 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0727203 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0215254 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0961277 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.00451758 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0252284 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0433337 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0621078 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0118975 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.056335 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.128986 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0800518 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0291673 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0190958 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.158427 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0655059 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0300392 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0838289 # DEPENDENCYPART_SIBL
(6,3),(6,23),7.69787e-05 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00827557 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0367232 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.033281 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.050711 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0655759 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0308297 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.04443 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0298929 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0650303 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0838975 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0422905 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.053778 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0120009 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0013422 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.114649 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.102535 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0219963 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0685393 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.120702 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0475686 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0219957 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.00712817 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.128975 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0365749 # DEPENDENCYPART_SIBL
(6,7),(6,23),0.137747 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.107957 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.196658 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0686233 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0468145 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.104726 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0423364 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0817805 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.00987654 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.134263 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.270513 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.0107546 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00464432 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0902015 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0248551 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.131954 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0143278 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0364547 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0113942 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0255172 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.0341394 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.0402468 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.480974 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.313781 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.576007 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.529618 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.139205 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.385467 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.465884 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.444454 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.0149635 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0717922 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0673985 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0136141 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0123658 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0131422 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.0818911 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.0732721 # DEPENDENCYPART_SIBL
(6,11),(6,23),0.0624235 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0285123 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0552961 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0318734 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0185889 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.000341662 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0261518 # DEPENDENCYPART_SIBL
(6,12),(6,23),0.0142496 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0189058 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.02664 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0118599 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0434279 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0268346 # DEPENDENCYPART_SIBL
(6,13),(6,23),0.0344911 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0480017 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0327493 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.153283 # DEPENDENCYPART_SIBL
(6,14),(6,21),0.0357215 # DEPENDENCYPART_SIBL
(6,14),(6,23),0.0541693 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.070148 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.153916 # DEPENDENCYPART_SIBL
(6,15),(6,21),0.0493195 # DEPENDENCYPART_SIBL
(6,15),(6,23),0.174924 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0200234 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0482533 # DEPENDENCYPART_SIBL
(6,16),(6,23),0.0569717 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.0170172 # DEPENDENCYPART_SIBL
(6,18),(6,23),-0.0404405 # DEPENDENCYPART_SIBL
(6,21),(6,23),0.0376707 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0443073 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0438803 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.088927 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.013329 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0491657 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.102526 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0897836 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0741328 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.12987 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0536146 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0754462 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.148625 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.152701 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.637116 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0658295 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.421511 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.633963 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.831865 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0496192 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.606688 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.99729 # DEPENDENCYPART_SIBL
(7,9),(7,15),-1.07745 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.197802 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0385173 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.387887 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.670468 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.791301 # DEPENDENCYPART_SIBL
(7,13),(7,15),-1.07715 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0223867 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0399648 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0416 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0800742 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0349517 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0566936 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0453467 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0349014 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0192962 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.00336452 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0187414 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0536659 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0192277 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0137728 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0247317 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0277381 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.027788 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.00521083 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0620342 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.106001 # DEPENDENCYPART_SIBL
(8,6),(8,23),0.12363 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0505536 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.129868 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.076736 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0506571 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0518315 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0218596 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0335648 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.100014 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.0186196 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0183388 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0405711 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0195777 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.242462 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0626064 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0114121 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0159268 # DEPENDENCYPART_SIBL
(8,9),(8,23),0.0267443 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.624356 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.187425 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.125116 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.435083 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.102576 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.303269 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.0449936 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.181089 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.272852 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.140384 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0912465 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0746285 # DEPENDENCYPART_SIBL
(8,11),(8,23),-0.0225991 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.147379 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.00356327 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.00165375 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.00115444 # DEPENDENCYPART_SIBL
(8,12),(8,23),-0.0297343 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0310046 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.000343269 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.00226737 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.025475 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0445589 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.0879312 # DEPENDENCYPART_SIBL
(8,14),(8,23),0.0288092 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.125808 # DEPENDENCYPART_SIBL
(8,15),(8,23),0.0904999 # DEPENDENCYPART_SIBL
(8,18),(8,23),-0.0117571 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0156552 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0227109 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.00619027 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0756865 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0476996 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.107943 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0368338 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0255716 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0489517 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.00315576 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0966304 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.101194 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0270655 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.0097978 # DEPENDENCYPART_SIBL
(9,1),(9,23),-0.00274749 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0227109 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.00619027 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0756865 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0476864 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.107943 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0372447 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0255716 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0489517 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.00315595 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.105576 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.101199 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0271005 # DEPENDENCYPART_SIBL
(9,2),(9,21),-0.00945839 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0028898 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.00774272 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0782911 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0424902 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.108083 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0151058 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0157123 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.041571 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.00697317 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.103259 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0978923 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0377076 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.000531374 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.00248375 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0554193 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0362009 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.000124775 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.132358 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0189677 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0493298 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0360877 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.104286 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0135288 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0620948 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.0174717 # DEPENDENCYPART_SIBL
(9,5),(9,23),0.00103468 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0969355 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.043981 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0879518 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0392991 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0325604 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0150575 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0837622 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0772368 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0671575 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.0270737 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.119103 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0817508 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.167509 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0304771 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0289694 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0407884 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0815504 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.100634 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0883615 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0163077 # DEPENDENCYPART_SIBL
(9,7),(9,23),0.0267318 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0646629 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0144471 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0587565 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0151445 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0766392 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0387192 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0507583 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.0180514 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.0763913 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.482144 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.350366 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.681815 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.425476 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.127667 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.479117 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.574584 # DEPENDENCYPART_SIBL
(9,10),(9,23),-0.0629633 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0722894 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0254476 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0228841 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0212653 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0506854 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0597031 # DEPENDENCYPART_SIBL
(9,11),(9,23),0.049385 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0117648 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0234881 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0458297 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0219417 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.0164723 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.0495115 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0271272 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0345996 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0333959 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.010226 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.00284692 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.147794 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.187327 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.0256105 # DEPENDENCYPART_SIBL
(9,14),(9,23),0.0525431 # DEPENDENCYPART_SIBL
