# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(15,12),(15,19),0.163978 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0221323 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.038661 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.0826426 # DEPENDENCYPART_SIBL
(15,12),(15,24),0.151036 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0514308 # DEPENDENCYPART_SIBL
(15,12),(15,26),0.0873352 # DEPENDENCYPART_SIBL
(15,12),(15,29),-0.0451087 # DEPENDENCYPART_SIBL
(15,12),(15,32),-0.0451547 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0576199 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0251147 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.00907247 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0045324 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0666036 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0286948 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0789945 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.0896158 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0702527 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.0264175 # DEPENDENCYPART_SIBL
(15,13),(15,26),0.0045324 # DEPENDENCYPART_SIBL
(15,13),(15,29),-0.0235527 # DEPENDENCYPART_SIBL
(15,13),(15,32),-0.0235519 # DEPENDENCYPART_SIBL
(15,14),(15,16),-4.01705e-05 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0229844 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0339157 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0188152 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.000778051 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0507964 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.0130699 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.0198507 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.0155435 # DEPENDENCYPART_SIBL
(15,14),(15,26),-0.0339157 # DEPENDENCYPART_SIBL
(15,14),(15,29),-0.0153214 # DEPENDENCYPART_SIBL
(15,14),(15,32),-0.0152297 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0900244 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0342973 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0111804 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0327304 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.039447 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.178346 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.112171 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.204179 # DEPENDENCYPART_SIBL
(15,16),(15,26),-0.0342973 # DEPENDENCYPART_SIBL
(15,16),(15,29),-0.228347 # DEPENDENCYPART_SIBL
(15,16),(15,32),-0.228196 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0375542 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0244988 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.00470799 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0400869 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.17142 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0498156 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.105348 # DEPENDENCYPART_SIBL
(15,17),(15,26),-0.0375542 # DEPENDENCYPART_SIBL
(15,17),(15,29),-0.1286 # DEPENDENCYPART_SIBL
(15,17),(15,32),-0.1286 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.390908 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.75995 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.234421 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.0162525 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.0953288 # DEPENDENCYPART_SIBL
(15,18),(15,25),0.176688 # DEPENDENCYPART_SIBL
(15,18),(15,26),0.00802258 # DEPENDENCYPART_SIBL
(15,18),(15,29),0.152404 # DEPENDENCYPART_SIBL
(15,18),(15,32),0.150191 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0332309 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0473577 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.238056 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.136556 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.10245 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.122792 # DEPENDENCYPART_SIBL
(15,19),(15,29),-0.129726 # DEPENDENCYPART_SIBL
(15,19),(15,32),-0.129408 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0875175 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.261192 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.0953159 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.146611 # DEPENDENCYPART_SIBL
(15,20),(15,26),0.00281714 # DEPENDENCYPART_SIBL
(15,20),(15,29),-0.170782 # DEPENDENCYPART_SIBL
(15,20),(15,32),-0.170782 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.264988 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.111568 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.0815125 # DEPENDENCYPART_SIBL
(15,21),(15,26),-0.0459125 # DEPENDENCYPART_SIBL
(15,21),(15,29),-0.105606 # DEPENDENCYPART_SIBL
(15,21),(15,32),-0.105606 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.0350957 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.00955982 # DEPENDENCYPART_SIBL
(15,23),(15,26),0.0852783 # DEPENDENCYPART_SIBL
(15,23),(15,29),-0.0573848 # DEPENDENCYPART_SIBL
(15,23),(15,32),-0.057335 # DEPENDENCYPART_SIBL
(15,24),(15,25),0.00858462 # DEPENDENCYPART_SIBL
(15,24),(15,26),0.0837912 # DEPENDENCYPART_SIBL
(15,24),(15,29),-0.0172008 # DEPENDENCYPART_SIBL
(15,24),(15,32),-0.0168821 # DEPENDENCYPART_SIBL
(15,25),(15,26),0.0269688 # DEPENDENCYPART_SIBL
(15,25),(15,29),-0.208116 # DEPENDENCYPART_SIBL
(15,25),(15,32),-0.207965 # DEPENDENCYPART_SIBL
(15,26),(15,29),0.152404 # DEPENDENCYPART_SIBL
(15,26),(15,32),0.150191 # DEPENDENCYPART_SIBL
(15,29),(15,32),-0.232946 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.275744 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.115176 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.532246 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0626767 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0267374 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.131951 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.00104428 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.0318305 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0456392 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0593981 # DEPENDENCYPART_SIBL
(16,12),(16,24),0.0871241 # DEPENDENCYPART_SIBL
(16,12),(16,25),-0.0300273 # DEPENDENCYPART_SIBL
(16,12),(16,26),0.0267374 # DEPENDENCYPART_SIBL
(16,12),(16,27),0.0899312 # DEPENDENCYPART_SIBL
(16,12),(16,29),-0.031205 # DEPENDENCYPART_SIBL
(16,12),(16,32),-0.0237653 # DEPENDENCYPART_SIBL
(16,12),(16,33),-0.070873 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.110843 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.100793 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.00126764 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0232474 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0114945 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0194723 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0134196 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.000609782 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.143327 # DEPENDENCYPART_SIBL
(16,13),(16,24),0.0248493 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.0040016 # DEPENDENCYPART_SIBL
(16,13),(16,26),0.0232474 # DEPENDENCYPART_SIBL
(16,13),(16,27),0.0842588 # DEPENDENCYPART_SIBL
(16,13),(16,29),-0.00863844 # DEPENDENCYPART_SIBL
(16,13),(16,32),-0.0011519 # DEPENDENCYPART_SIBL
(16,13),(16,33),-0.0339956 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.0762844 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0251386 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.0521329 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0194913 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.030502 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.00624047 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0269014 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.0268016 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.0159894 # DEPENDENCYPART_SIBL
(16,14),(16,25),0.00855325 # DEPENDENCYPART_SIBL
(16,14),(16,26),-0.0521329 # DEPENDENCYPART_SIBL
(16,14),(16,27),0.129458 # DEPENDENCYPART_SIBL
(16,14),(16,29),0.0011817 # DEPENDENCYPART_SIBL
(16,14),(16,32),0.0088486 # DEPENDENCYPART_SIBL
(16,14),(16,33),0.0118504 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0844365 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.106133 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0324233 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0517286 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0315777 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.0857654 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0696583 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.00610638 # DEPENDENCYPART_SIBL
(16,15),(16,25),-0.0440655 # DEPENDENCYPART_SIBL
(16,15),(16,26),-0.106133 # DEPENDENCYPART_SIBL
(16,15),(16,27),0.0151104 # DEPENDENCYPART_SIBL
(16,15),(16,29),-0.0515757 # DEPENDENCYPART_SIBL
(16,15),(16,32),-0.0440696 # DEPENDENCYPART_SIBL
(16,15),(16,33),-0.0765731 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.169978 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0261845 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0940536 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0220386 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0545408 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0691166 # DEPENDENCYPART_SIBL
(16,17),(16,24),0.0337402 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.00908517 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.169978 # DEPENDENCYPART_SIBL
(16,17),(16,27),-0.000387057 # DEPENDENCYPART_SIBL
(16,17),(16,29),-0.00871712 # DEPENDENCYPART_SIBL
(16,17),(16,32),-0.00801836 # DEPENDENCYPART_SIBL
(16,17),(16,33),-0.081388 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.446936 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.417054 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.353433 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.604639 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.460024 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.243722 # DEPENDENCYPART_SIBL
(16,18),(16,25),0.720692 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.151107 # DEPENDENCYPART_SIBL
(16,18),(16,27),0.289433 # DEPENDENCYPART_SIBL
(16,18),(16,29),0.721508 # DEPENDENCYPART_SIBL
(16,18),(16,32),0.718472 # DEPENDENCYPART_SIBL
(16,18),(16,33),0.0212048 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0102902 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.00126467 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.09745 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0529052 # DEPENDENCYPART_SIBL
(16,19),(16,24),0.086731 # DEPENDENCYPART_SIBL
(16,19),(16,25),0.028182 # DEPENDENCYPART_SIBL
(16,19),(16,26),0.187975 # DEPENDENCYPART_SIBL
(16,19),(16,27),0.0623228 # DEPENDENCYPART_SIBL
(16,19),(16,29),0.0301909 # DEPENDENCYPART_SIBL
(16,19),(16,32),0.0315232 # DEPENDENCYPART_SIBL
(16,19),(16,33),0.146981 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.0299348 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0806291 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0721395 # DEPENDENCYPART_SIBL
(16,20),(16,24),0.157526 # DEPENDENCYPART_SIBL
(16,20),(16,25),0.0706931 # DEPENDENCYPART_SIBL
(16,20),(16,26),0.265431 # DEPENDENCYPART_SIBL
(16,20),(16,27),0.0119588 # DEPENDENCYPART_SIBL
(16,20),(16,29),0.0701427 # DEPENDENCYPART_SIBL
(16,20),(16,32),0.0708414 # DEPENDENCYPART_SIBL
(16,20),(16,33),0.168702 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.0347727 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.0279031 # DEPENDENCYPART_SIBL
(16,21),(16,24),-0.0534872 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.0684192 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0667469 # DEPENDENCYPART_SIBL
(16,21),(16,27),-0.0343616 # DEPENDENCYPART_SIBL
(16,21),(16,29),0.0679457 # DEPENDENCYPART_SIBL
(16,21),(16,32),0.0686445 # DEPENDENCYPART_SIBL
(16,21),(16,33),-0.0208679 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.0581962 # DEPENDENCYPART_SIBL
(16,22),(16,24),0.066066 # DEPENDENCYPART_SIBL
(16,22),(16,25),0.00516933 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.172954 # DEPENDENCYPART_SIBL
(16,22),(16,27),0.00556201 # DEPENDENCYPART_SIBL
(16,22),(16,29),0.00553738 # DEPENDENCYPART_SIBL
(16,22),(16,32),0.00623614 # DEPENDENCYPART_SIBL
(16,22),(16,33),-0.0528664 # DEPENDENCYPART_SIBL
(16,23),(16,24),0.0598985 # DEPENDENCYPART_SIBL
(16,23),(16,25),-0.0152213 # DEPENDENCYPART_SIBL
(16,23),(16,26),0.214841 # DEPENDENCYPART_SIBL
(16,23),(16,27),-0.100546 # DEPENDENCYPART_SIBL
(16,23),(16,29),-0.0275485 # DEPENDENCYPART_SIBL
(16,23),(16,32),-0.02675 # DEPENDENCYPART_SIBL
(16,23),(16,33),0.0831216 # DEPENDENCYPART_SIBL
(16,24),(16,25),0.0322313 # DEPENDENCYPART_SIBL
(16,24),(16,26),0.00146067 # DEPENDENCYPART_SIBL
(16,24),(16,27),0.0400722 # DEPENDENCYPART_SIBL
(16,24),(16,29),0.0357311 # DEPENDENCYPART_SIBL
(16,24),(16,32),0.0370642 # DEPENDENCYPART_SIBL
(16,24),(16,33),-0.00216807 # DEPENDENCYPART_SIBL
(16,25),(16,26),0.0516438 # DEPENDENCYPART_SIBL
(16,25),(16,27),-0.0893986 # DEPENDENCYPART_SIBL
(16,25),(16,29),-0.057898 # DEPENDENCYPART_SIBL
(16,25),(16,32),-0.0569 # DEPENDENCYPART_SIBL
(16,25),(16,33),-0.00619504 # DEPENDENCYPART_SIBL
(16,26),(16,27),0.289433 # DEPENDENCYPART_SIBL
(16,26),(16,29),0.721508 # DEPENDENCYPART_SIBL
(16,26),(16,32),0.718472 # DEPENDENCYPART_SIBL
(16,26),(16,33),0.0212048 # DEPENDENCYPART_SIBL
(16,27),(16,29),0.0385321 # DEPENDENCYPART_SIBL
(16,27),(16,32),0.0392325 # DEPENDENCYPART_SIBL
(16,27),(16,33),0.0750078 # DEPENDENCYPART_SIBL
(16,29),(16,32),-0.0666922 # DEPENDENCYPART_SIBL
(16,29),(16,33),-0.0130538 # DEPENDENCYPART_SIBL
(16,32),(16,33),0.00507265 # DEPENDENCYPART_SIBL
(17,12),(17,13),0.120517 # DEPENDENCYPART_SIBL
(17,12),(17,14),0.0226304 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.348407 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.0306107 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.186431 # DEPENDENCYPART_SIBL
(17,12),(17,19),0.183709 # DEPENDENCYPART_SIBL
(17,12),(17,21),0.038787 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.129076 # DEPENDENCYPART_SIBL
(17,13),(17,15),0.180762 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.228376 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.0863975 # DEPENDENCYPART_SIBL
(17,13),(17,19),0.0730392 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.0348594 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.00459489 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.154378 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.00668698 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0539629 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.0233895 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0403129 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0231545 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.00735601 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0118621 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0997772 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0441529 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0366764 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.363416 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.479787 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.00295968 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0610745 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0379416 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0867902 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0216048 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.00116457 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0428452 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0215522 # DEPENDENCYPART_SIBL
(19,17),(19,27),0.0974019 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0610285 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.142359 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0846117 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.109372 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0508135 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.605858 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.246841 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.11054 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.335279 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.603242 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0760937 # DEPENDENCYPART_SIBL
(19,20),(19,26),0.0525505 # DEPENDENCYPART_SIBL
(19,20),(19,27),-0.593788 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.200798 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.381505 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.098203 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.0187143 # DEPENDENCYPART_SIBL
(19,21),(19,27),-0.391303 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.548768 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0991288 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.0693614 # DEPENDENCYPART_SIBL
(19,22),(19,27),-0.539614 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.132792 # DEPENDENCYPART_SIBL
(19,23),(19,26),0.11233 # DEPENDENCYPART_SIBL
(19,23),(19,27),-0.610648 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.0246023 # DEPENDENCYPART_SIBL
(19,24),(19,27),-0.307757 # DEPENDENCYPART_SIBL
(19,26),(19,27),-0.0469813 # DEPENDENCYPART_SIBL
(20,2),(20,14),-0.202662 # DEPENDENCYPART_SIBL
(20,2),(20,16),-0.107524 # DEPENDENCYPART_SIBL
(20,2),(20,17),-0.00966264 # DEPENDENCYPART_SIBL
(20,2),(20,19),0.0373128 # DEPENDENCYPART_SIBL
(20,2),(20,21),-0.0305538 # DEPENDENCYPART_SIBL
(20,2),(20,22),0.0121184 # DEPENDENCYPART_SIBL
(20,2),(20,23),0.0105521 # DEPENDENCYPART_SIBL
(20,2),(20,24),0.0424645 # DEPENDENCYPART_SIBL
(20,2),(20,25),-0.0155067 # DEPENDENCYPART_SIBL
(20,2),(20,26),0.0463132 # DEPENDENCYPART_SIBL
(20,2),(20,27),-0.0226769 # DEPENDENCYPART_SIBL
(20,2),(20,29),-0.0107209 # DEPENDENCYPART_SIBL
(20,2),(20,31),-0.021533 # DEPENDENCYPART_SIBL
(20,2),(20,32),-0.011012 # DEPENDENCYPART_SIBL
(20,14),(20,16),-0.144906 # DEPENDENCYPART_SIBL
(20,14),(20,17),-0.0624216 # DEPENDENCYPART_SIBL
(20,14),(20,19),0.0507371 # DEPENDENCYPART_SIBL
(20,14),(20,21),-0.0447916 # DEPENDENCYPART_SIBL
(20,14),(20,22),-0.0213694 # DEPENDENCYPART_SIBL
(20,14),(20,23),0.0152438 # DEPENDENCYPART_SIBL
(20,14),(20,24),0.020321 # DEPENDENCYPART_SIBL
(20,14),(20,25),-0.0113854 # DEPENDENCYPART_SIBL
(20,14),(20,26),-0.0377495 # DEPENDENCYPART_SIBL
(20,14),(20,27),0.0126718 # DEPENDENCYPART_SIBL
(20,14),(20,29),-0.0111633 # DEPENDENCYPART_SIBL
(20,14),(20,31),-0.0126719 # DEPENDENCYPART_SIBL
(20,14),(20,32),-0.0110715 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.0167104 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0260215 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0177647 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.0395518 # DEPENDENCYPART_SIBL
(20,16),(20,23),0.0491579 # DEPENDENCYPART_SIBL
(20,16),(20,24),0.0130206 # DEPENDENCYPART_SIBL
(20,16),(20,25),0.0339738 # DEPENDENCYPART_SIBL
(20,16),(20,26),0.0217011 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.0125424 # DEPENDENCYPART_SIBL
(20,16),(20,29),0.0278179 # DEPENDENCYPART_SIBL
(20,16),(20,31),0.0222589 # DEPENDENCYPART_SIBL
(20,16),(20,32),0.033168 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0198422 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.073013 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.00891662 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.0661273 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0301272 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.0227039 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0305386 # DEPENDENCYPART_SIBL
(20,17),(20,27),-0.0466372 # DEPENDENCYPART_SIBL
(20,17),(20,29),-0.0198391 # DEPENDENCYPART_SIBL
(20,17),(20,31),-0.0211563 # DEPENDENCYPART_SIBL
(20,17),(20,32),-0.0198383 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0773184 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0211152 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0808181 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0870015 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.077635 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.06337 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.0941702 # DEPENDENCYPART_SIBL
(20,19),(20,29),-0.0772371 # DEPENDENCYPART_SIBL
(20,19),(20,31),-0.0802948 # DEPENDENCYPART_SIBL
(20,19),(20,32),-0.0764596 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.104096 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.257233 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0819257 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0806357 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.0676193 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.151231 # DEPENDENCYPART_SIBL
(20,21),(20,29),-0.104729 # DEPENDENCYPART_SIBL
(20,21),(20,31),-0.104854 # DEPENDENCYPART_SIBL
(20,21),(20,32),-0.104729 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.156289 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.00289495 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.0951758 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.0483839 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.0969254 # DEPENDENCYPART_SIBL
(20,22),(20,29),-0.118428 # DEPENDENCYPART_SIBL
(20,22),(20,31),-0.118639 # DEPENDENCYPART_SIBL
(20,22),(20,32),-0.118428 # DEPENDENCYPART_SIBL
(20,23),(20,24),0.0207278 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0334114 # DEPENDENCYPART_SIBL
(20,23),(20,26),0.0252502 # DEPENDENCYPART_SIBL
(20,23),(20,27),-0.119739 # DEPENDENCYPART_SIBL
(20,23),(20,29),-0.0812363 # DEPENDENCYPART_SIBL
(20,23),(20,31),-0.0812646 # DEPENDENCYPART_SIBL
(20,23),(20,32),-0.0811866 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.000697806 # DEPENDENCYPART_SIBL
(20,24),(20,26),0.0244745 # DEPENDENCYPART_SIBL
(20,24),(20,27),-0.0167522 # DEPENDENCYPART_SIBL
(20,24),(20,29),-0.0250876 # DEPENDENCYPART_SIBL
(20,24),(20,31),-0.0254505 # DEPENDENCYPART_SIBL
(20,24),(20,32),-0.0247689 # DEPENDENCYPART_SIBL
(20,25),(20,26),0.0428536 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.0901437 # DEPENDENCYPART_SIBL
(20,25),(20,29),-0.182529 # DEPENDENCYPART_SIBL
(20,25),(20,31),-0.182509 # DEPENDENCYPART_SIBL
(20,25),(20,32),-0.182378 # DEPENDENCYPART_SIBL
(20,26),(20,27),0.0778976 # DEPENDENCYPART_SIBL
(20,26),(20,29),0.16094 # DEPENDENCYPART_SIBL
