# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,10,17,10,19,17,17,17,21,22,27,26,27,23,17,10,
(10,11),(10,27),-0.133225 # DEPENDENCYPART_SIBL
(10,11),(10,28),0.0345168 # DEPENDENCYPART_SIBL
(10,11),(10,29),-0.00929815 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.1273 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.04666 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.05155 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0763851 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0232954 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.143955 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0137259 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.0381741 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.0276333 # DEPENDENCYPART_SIBL
(10,12),(10,23),0.0791954 # DEPENDENCYPART_SIBL
(10,12),(10,25),-0.00605851 # DEPENDENCYPART_SIBL
(10,12),(10,26),-0.00494984 # DEPENDENCYPART_SIBL
(10,12),(10,27),-0.127803 # DEPENDENCYPART_SIBL
(10,12),(10,28),0.0399491 # DEPENDENCYPART_SIBL
(10,12),(10,29),0.0240848 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0870908 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0143523 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0862741 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0405895 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.228172 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.15247 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.136229 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.0577035 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.121331 # DEPENDENCYPART_SIBL
(10,13),(10,25),0.0810971 # DEPENDENCYPART_SIBL
(10,13),(10,26),-0.0158428 # DEPENDENCYPART_SIBL
(10,13),(10,27),-0.199212 # DEPENDENCYPART_SIBL
(10,13),(10,28),-0.0347229 # DEPENDENCYPART_SIBL
(10,13),(10,29),0.0358492 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.140413 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.120011 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.155906 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.0913171 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0761135 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.418533 # DEPENDENCYPART_SIBL
(10,14),(10,22),0.523809 # DEPENDENCYPART_SIBL
(10,14),(10,23),0.296764 # DEPENDENCYPART_SIBL
(10,14),(10,25),0.140956 # DEPENDENCYPART_SIBL
(10,14),(10,26),0.109455 # DEPENDENCYPART_SIBL
(10,14),(10,27),0.118361 # DEPENDENCYPART_SIBL
(10,14),(10,28),-0.129 # DEPENDENCYPART_SIBL
(10,14),(10,29),0.0228601 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.12264 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0735723 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.000861456 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0241176 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0141626 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.0321241 # DEPENDENCYPART_SIBL
(10,15),(10,23),0.00758252 # DEPENDENCYPART_SIBL
(10,15),(10,25),-0.0165085 # DEPENDENCYPART_SIBL
(10,15),(10,26),0.0498391 # DEPENDENCYPART_SIBL
(10,15),(10,27),0.0266609 # DEPENDENCYPART_SIBL
(10,15),(10,28),-0.121018 # DEPENDENCYPART_SIBL
(10,15),(10,29),-0.0100187 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0329757 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0824065 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.023803 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0321529 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.0343237 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.0144581 # DEPENDENCYPART_SIBL
(10,16),(10,25),-0.015692 # DEPENDENCYPART_SIBL
(10,16),(10,26),-0.0236874 # DEPENDENCYPART_SIBL
(10,16),(10,27),-0.0702483 # DEPENDENCYPART_SIBL
(10,16),(10,28),-0.0848743 # DEPENDENCYPART_SIBL
(10,16),(10,29),-0.0561064 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.179248 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0836729 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.127078 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.0279173 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0895094 # DEPENDENCYPART_SIBL
(10,17),(10,25),-0.0741975 # DEPENDENCYPART_SIBL
(10,17),(10,26),-0.144022 # DEPENDENCYPART_SIBL
(10,17),(10,27),-0.166535 # DEPENDENCYPART_SIBL
(10,17),(10,28),0.00503441 # DEPENDENCYPART_SIBL
(10,17),(10,29),0.0536329 # DEPENDENCYPART_SIBL
(10,19),(10,20),0.194739 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.141454 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.0894449 # DEPENDENCYPART_SIBL
(10,19),(10,23),0.138218 # DEPENDENCYPART_SIBL
(10,19),(10,25),0.117813 # DEPENDENCYPART_SIBL
(10,19),(10,26),0.0106027 # DEPENDENCYPART_SIBL
(10,19),(10,27),-0.149163 # DEPENDENCYPART_SIBL
(10,19),(10,28),-0.0184688 # DEPENDENCYPART_SIBL
(10,19),(10,29),0.0405395 # DEPENDENCYPART_SIBL
(10,20),(10,21),0.0375453 # DEPENDENCYPART_SIBL
(10,20),(10,22),0.0607586 # DEPENDENCYPART_SIBL
(10,20),(10,23),0.082623 # DEPENDENCYPART_SIBL
(10,20),(10,25),-0.0190742 # DEPENDENCYPART_SIBL
(10,20),(10,26),-0.0480055 # DEPENDENCYPART_SIBL
(10,20),(10,27),-0.0384668 # DEPENDENCYPART_SIBL
(10,20),(10,28),0.0167079 # DEPENDENCYPART_SIBL
(10,20),(10,29),0.0855024 # DEPENDENCYPART_SIBL
(10,21),(10,22),0.0609627 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.0678416 # DEPENDENCYPART_SIBL
(10,21),(10,25),0.0125914 # DEPENDENCYPART_SIBL
(10,21),(10,26),-0.0564839 # DEPENDENCYPART_SIBL
(10,21),(10,27),-0.0688264 # DEPENDENCYPART_SIBL
(10,21),(10,28),0.0753173 # DEPENDENCYPART_SIBL
(10,21),(10,29),0.0761769 # DEPENDENCYPART_SIBL
(10,22),(10,23),-0.222394 # DEPENDENCYPART_SIBL
(10,22),(10,25),-0.16121 # DEPENDENCYPART_SIBL
(10,22),(10,26),-0.248075 # DEPENDENCYPART_SIBL
(10,22),(10,27),-0.317849 # DEPENDENCYPART_SIBL
(10,22),(10,28),-0.0608225 # DEPENDENCYPART_SIBL
(10,22),(10,29),-0.0093045 # DEPENDENCYPART_SIBL
(10,23),(10,25),0.0100238 # DEPENDENCYPART_SIBL
(10,23),(10,26),-0.0865758 # DEPENDENCYPART_SIBL
(10,23),(10,27),-0.0576688 # DEPENDENCYPART_SIBL
(10,23),(10,28),0.0431025 # DEPENDENCYPART_SIBL
(10,23),(10,29),0.0939079 # DEPENDENCYPART_SIBL
(10,25),(10,26),-0.101984 # DEPENDENCYPART_SIBL
(10,25),(10,27),-0.103547 # DEPENDENCYPART_SIBL
(10,25),(10,28),-0.0443491 # DEPENDENCYPART_SIBL
(10,25),(10,29),-0.0742901 # DEPENDENCYPART_SIBL
(10,26),(10,27),-0.232792 # DEPENDENCYPART_SIBL
(10,26),(10,28),-0.0921219 # DEPENDENCYPART_SIBL
(10,26),(10,29),-0.010689 # DEPENDENCYPART_SIBL
(10,27),(10,28),-0.0342296 # DEPENDENCYPART_SIBL
(10,27),(10,29),0.0488359 # DEPENDENCYPART_SIBL
(10,28),(10,29),-0.00431403 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0447004 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0402194 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0380134 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.00245236 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0614771 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.000250274 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0739278 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.22426 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0542545 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.331131 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.00177701 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0582302 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.110051 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0721475 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0714836 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0613948 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.0563137 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.173913 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0035303 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0450917 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.0270678 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.204842 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.00463306 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0542316 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.292783 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.354054 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.322634 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.671469 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.21414 # DEPENDENCYPART_SIBL
(12,15),(12,19),0.131419 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.0225041 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0895464 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.0707168 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.395301 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0183537 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.00362527 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0342833 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.308436 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0083838 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0466181 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0181209 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.025971 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0106795 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.000277251 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.00743296 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0187516 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.0355434 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.135376 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.0129629 # DEPENDENCYPART_SIBL
(13,1),(13,22),-0.0155332 # DEPENDENCYPART_SIBL
(13,1),(13,23),-0.0620766 # DEPENDENCYPART_SIBL
(13,1),(13,27),0.00986033 # DEPENDENCYPART_SIBL
(13,1),(13,28),-0.0229487 # DEPENDENCYPART_SIBL
(13,1),(13,29),0.0686766 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.430241 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.145026 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.0987343 # DEPENDENCYPART_SIBL
(13,2),(13,6),0.0951595 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.0588663 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.117637 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.180831 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.0507219 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0451638 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0500377 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0608119 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.047017 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0824476 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0277442 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0149754 # DEPENDENCYPART_SIBL
(13,2),(13,20),0.0708548 # DEPENDENCYPART_SIBL
(13,2),(13,21),0.105807 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.0803224 # DEPENDENCYPART_SIBL
(13,2),(13,23),-0.00368572 # DEPENDENCYPART_SIBL
(13,2),(13,27),-0.00279436 # DEPENDENCYPART_SIBL
(13,2),(13,28),-0.0569534 # DEPENDENCYPART_SIBL
(13,2),(13,29),0.022737 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.193452 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.083182 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.00126704 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0766424 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.459046 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0809549 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.00933864 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.0587836 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.0478001 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.119025 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0728235 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0624651 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0550264 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0651635 # DEPENDENCYPART_SIBL
(13,3),(13,20),0.0613005 # DEPENDENCYPART_SIBL
(13,3),(13,21),0.403758 # DEPENDENCYPART_SIBL
(13,3),(13,22),0.00368204 # DEPENDENCYPART_SIBL
(13,3),(13,23),-0.0323013 # DEPENDENCYPART_SIBL
(13,3),(13,27),-0.0749867 # DEPENDENCYPART_SIBL
(13,3),(13,28),-0.0305056 # DEPENDENCYPART_SIBL
(13,3),(13,29),0.0496562 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.213938 # DEPENDENCYPART_SIBL
(13,4),(13,6),0.103035 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.133621 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.206134 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0428566 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.00804777 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.14162 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.16982 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0514067 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0204525 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0461292 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.304142 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0675106 # DEPENDENCYPART_SIBL
(13,4),(13,20),0.2499 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.0733091 # DEPENDENCYPART_SIBL
(13,4),(13,22),0.0160259 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.252299 # DEPENDENCYPART_SIBL
(13,4),(13,27),0.00740012 # DEPENDENCYPART_SIBL
(13,4),(13,28),-0.103608 # DEPENDENCYPART_SIBL
(13,4),(13,29),-0.113728 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.00514725 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.232563 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.148424 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.178967 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.038229 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.0934638 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0817783 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0147113 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.00306758 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0174224 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0165973 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0506548 # DEPENDENCYPART_SIBL
(13,5),(13,20),0.250428 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.0103705 # DEPENDENCYPART_SIBL
(13,5),(13,22),0.0409975 # DEPENDENCYPART_SIBL
(13,5),(13,23),-0.0746818 # DEPENDENCYPART_SIBL
(13,5),(13,27),0.0122495 # DEPENDENCYPART_SIBL
(13,5),(13,28),-0.0369791 # DEPENDENCYPART_SIBL
(13,5),(13,29),-0.00796004 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0337296 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.376877 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.111963 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0103705 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.100446 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.106734 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0325482 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.00894577 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0104177 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.00931185 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.036178 # DEPENDENCYPART_SIBL
(13,6),(13,20),0.116526 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.0488008 # DEPENDENCYPART_SIBL
(13,6),(13,22),-0.0251132 # DEPENDENCYPART_SIBL
(13,6),(13,23),-0.0169907 # DEPENDENCYPART_SIBL
(13,6),(13,27),0.0110872 # DEPENDENCYPART_SIBL
(13,6),(13,28),-0.00776524 # DEPENDENCYPART_SIBL
(13,6),(13,29),0.126982 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.264861 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.134526 # DEPENDENCYPART_SIBL
(13,7),(13,10),0.0264025 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0233562 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0350418 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0822447 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0300598 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0631601 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0433866 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0256748 # DEPENDENCYPART_SIBL
(13,7),(13,20),0.185577 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.104057 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.0463249 # DEPENDENCYPART_SIBL
(13,7),(13,23),-0.152504 # DEPENDENCYPART_SIBL
(13,7),(13,27),-0.0131608 # DEPENDENCYPART_SIBL
(13,7),(13,28),-0.0710455 # DEPENDENCYPART_SIBL
(13,7),(13,29),-0.00519455 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.0907411 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0033335 # DEPENDENCYPART_SIBL
(13,8),(13,11),0.0511113 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0787179 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0141713 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0415106 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0160598 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.0137688 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0261345 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.183972 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0372489 # DEPENDENCYPART_SIBL
(13,8),(13,22),0.113276 # DEPENDENCYPART_SIBL
(13,8),(13,23),-0.141083 # DEPENDENCYPART_SIBL
(13,8),(13,27),-0.0247002 # DEPENDENCYPART_SIBL
(13,8),(13,28),-0.0798348 # DEPENDENCYPART_SIBL
(13,8),(13,29),0.0626677 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.120376 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.0624954 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0677175 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0753755 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.103156 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0435976 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0697669 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.155094 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.179325 # DEPENDENCYPART_SIBL
(13,9),(13,21),0.051616 # DEPENDENCYPART_SIBL
(13,9),(13,22),0.00129067 # DEPENDENCYPART_SIBL
(13,9),(13,23),-0.0813946 # DEPENDENCYPART_SIBL
(13,9),(13,27),0.123608 # DEPENDENCYPART_SIBL
(13,9),(13,28),0.0367368 # DEPENDENCYPART_SIBL
(13,9),(13,29),0.194562 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.104864 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.110198 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0613665 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0504095 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0600859 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0768059 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0194316 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.0634907 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.0894409 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.0442885 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.167185 # DEPENDENCYPART_SIBL
(13,10),(13,27),-0.0479918 # DEPENDENCYPART_SIBL
(13,10),(13,28),-0.0494171 # DEPENDENCYPART_SIBL
(13,10),(13,29),0.0348794 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.0371795 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0450953 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0139953 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.024075 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0331091 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0167107 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.167579 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0972339 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.0432011 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.200595 # DEPENDENCYPART_SIBL
(13,11),(13,27),-0.0180354 # DEPENDENCYPART_SIBL
(13,11),(13,28),-0.0322326 # DEPENDENCYPART_SIBL
(13,11),(13,29),-0.0666663 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.027614 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0190473 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0232265 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0236431 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.00540804 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.175999 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0533942 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.0418513 # DEPENDENCYPART_SIBL
(13,12),(13,23),-0.157654 # DEPENDENCYPART_SIBL
(13,12),(13,27),-0.00673278 # DEPENDENCYPART_SIBL
(13,12),(13,28),-0.0250985 # DEPENDENCYPART_SIBL
(13,12),(13,29),-0.0119267 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.300481 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.147157 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.22787 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.671199 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.188126 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.391846 # DEPENDENCYPART_SIBL
(13,14),(13,22),0.40556 # DEPENDENCYPART_SIBL
(13,14),(13,23),0.311084 # DEPENDENCYPART_SIBL
(13,14),(13,27),0.66561 # DEPENDENCYPART_SIBL
(13,14),(13,28),0.0316595 # DEPENDENCYPART_SIBL
(13,14),(13,29),-0.0382362 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0379881 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.16834 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.205336 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.0257012 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.110016 # DEPENDENCYPART_SIBL
(13,15),(13,22),0.0785157 # DEPENDENCYPART_SIBL
(13,15),(13,23),0.0921979 # DEPENDENCYPART_SIBL
(13,15),(13,27),0.192162 # DEPENDENCYPART_SIBL
(13,15),(13,28),0.0182062 # DEPENDENCYPART_SIBL
(13,15),(13,29),0.0928019 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.0663436 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0501138 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0492981 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.0214644 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0199171 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.0229387 # DEPENDENCYPART_SIBL
(13,16),(13,27),0.0285974 # DEPENDENCYPART_SIBL
(13,16),(13,28),-0.0725348 # DEPENDENCYPART_SIBL
(13,16),(13,29),-0.093803 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0360947 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.0231475 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0282368 # DEPENDENCYPART_SIBL
(13,17),(13,22),0.0147302 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.0118738 # DEPENDENCYPART_SIBL
(13,17),(13,27),0.0151203 # DEPENDENCYPART_SIBL
(13,17),(13,28),0.105674 # DEPENDENCYPART_SIBL
(13,17),(13,29),0.0712992 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.0323119 # DEPENDENCYPART_SIBL
(13,19),(13,21),0.0415402 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0151141 # DEPENDENCYPART_SIBL
(13,19),(13,23),0.0482653 # DEPENDENCYPART_SIBL
(13,19),(13,27),-0.0601942 # DEPENDENCYPART_SIBL
(13,19),(13,28),0.000409137 # DEPENDENCYPART_SIBL
(13,19),(13,29),-0.00229852 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.141093 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.0106309 # DEPENDENCYPART_SIBL
(13,20),(13,23),0.0970252 # DEPENDENCYPART_SIBL
(13,20),(13,27),0.0946482 # DEPENDENCYPART_SIBL
(13,20),(13,28),0.0123345 # DEPENDENCYPART_SIBL
(13,20),(13,29),0.015905 # DEPENDENCYPART_SIBL
(13,21),(13,22),-0.0116153 # DEPENDENCYPART_SIBL
