# _root_ Within about six months , `` things will be moving in the right direction , '' he predicts .
#goldHeads=8,4,2,1,8,8,8,18,8,9,10,14,14,11,8,8,18,0,18,
#predictedHeads=18,4,2,1,8,8,8,18,8,9,10,14,14,11,18,18,18,0,18,
(4,14),(4,18),-0.0742645 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0481814 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.315523 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.22646 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0553686 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.0714512 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.000559025 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.143496 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00170384 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0520673 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.100886 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00833188 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00440232 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.107727 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0955882 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.059073 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0104318 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.348116 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0440079 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0471415 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0980346 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0904933 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0107087 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.114372 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0121793 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.00986018 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0346008 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.102435 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0408699 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.120175 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0129741 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.117765 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0403551 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0619818 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0818823 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.000227645 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.02405 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0208704 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0357885 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.1064 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.156799 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.196625 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0942208 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0698134 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.035681 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0604205 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0699632 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00591784 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0362739 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0163575 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.159342 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.185608 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00318359 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0106336 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0516579 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0286784 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0900416 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.035339 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.00249381 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0428414 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.109864 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0218247 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0634167 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.036054 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00597227 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0641495 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0103674 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0383548 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.123969 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.033951 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0511481 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0215816 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.033548 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0282402 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.740986 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0322988 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.014441 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0620878 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0282395 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0174465 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.121148 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.01423 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.129401 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0761557 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0930264 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0268661 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.096631 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.075799 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.00332283 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.132675 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.000129497 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.125241 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0515145 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0187056 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0969023 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0355609 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0544979 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.00420242 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.058112 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.286392 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.213748 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.0299445 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0859445 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.0493372 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.177795 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.106385 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.106822 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.103124 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.181678 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.197094 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0850596 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.149004 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.146167 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.12573 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.121287 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.169639 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0123585 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.103578 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.0443433 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0342214 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0765061 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0171489 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.211623 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0529766 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0440809 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.112326 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0554641 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0419405 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0525634 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.127709 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0497449 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0885695 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.194778 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.00568574 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.161167 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.18431 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.107823 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0547241 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0467281 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0845726 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0395473 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0226763 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0439494 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0114068 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0671823 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0172575 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.788064 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0387482 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.071211 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0722931 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.125605 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0226077 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0110405 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0509003 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0474945 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.178898 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0167278 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0618056 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0637824 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0616268 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0822882 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0642557 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0272143 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0363262 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0362674 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0493732 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.143118 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0316635 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0107037 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.014294 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0287035 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.496512 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0234985 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.234655 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0486177 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0470184 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.015552 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0655285 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.00274046 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0350025 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0213544 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.015098 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.298231 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.143322 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.32091 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0299853 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.029216 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.149245 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0988054 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0527267 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.165495 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.00757274 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.0297728 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0331824 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.0075536 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0313267 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0374574 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.00744444 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.00222702 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0535262 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0228595 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.00304426 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0236593 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0199249 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.0739867 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.298474 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0405891 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.0710767 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.104314 # DEPENDENCYPART_SIBL
(8,18),(8,19),0.0274427 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.000969075 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.000631816 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.218546 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0510626 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.000357283 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.204008 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.166268 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0866106 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.116862 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.130064 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0778098 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0743215 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.051634 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.00833169 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.14747 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.020744 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0089137 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.164259 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.114731 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.143825 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0173934 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.102398 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.048951 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0126901 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0333033 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0664898 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.11382 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.364427 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0899086 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.184127 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0866736 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.118267 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.075746 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0433471 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0150825 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0818346 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.114924 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.129042 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0821606 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.137814 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0859064 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.109218 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0191285 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0591476 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0177624 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.180897 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.112488 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0496088 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0665412 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.132579 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0116708 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.033704 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.635949 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0311332 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.109465 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.108364 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.175963 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0809934 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.102464 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0684323 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0474791 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0280867 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0874775 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.24842 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.362186 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.43638 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.224123 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.147122 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.252304 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.166261 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.111703 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0593709 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0455882 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.00663162 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0918537 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0334994 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.151906 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0501974 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.110792 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0337413 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0288952 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0680084 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.101314 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.196899 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.14488 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.175789 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.198649 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0111222 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0206512 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0783423 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.0105567 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0779456 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.057542 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.297712 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0302996 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0547409 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0620591 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0386758 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0223119 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0603786 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00339404 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0181353 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0663266 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0469364 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0729755 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0643556 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0303946 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0343728 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0410678 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.133693 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0155366 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0108394 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0343534 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0616713 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.00505445 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0515291 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0266922 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0331441 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.020717 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0401347 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0427594 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0559099 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.117496 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.199965 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.39906 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.00599912 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0096295 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0545626 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.01229 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0458568 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.017195 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0282352 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0393401 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0106515 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.00276034 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0555349 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.100536 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0549193 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.016802 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.00134733 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0387207 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0255618 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00464216 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0200647 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0812598 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0401311 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0462469 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.00712153 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.127214 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.00378018 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.100537 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0295563 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.00837639 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0758997 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.110485 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0258086 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.00234249 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.43182 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.108237 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0829476 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0265181 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.00451007 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00814044 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.139033 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0549937 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.131964 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.110318 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.094733 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0952421 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0546021 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.0497857 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.132796 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0147677 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00445891 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0138701 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0410422 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0289869 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0122539 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0329104 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0491258 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0750537 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0504607 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0491014 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0141406 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0266275 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0253067 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0268322 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0834142 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0279476 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0500922 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.000387166 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.00892474 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0247628 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0238812 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0893979 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.00560412 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0677189 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0156939 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.056992 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0120905 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.157982 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0744657 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0946882 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0585287 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.106933 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.107548 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.144992 # DEPENDENCYPART_SIBL
