# _root_ Fidelity , for example , prepared ads several months ago in case of a market plunge .
#goldHeads=6,6,6,3,6,0,6,9,10,6,6,11,12,16,16,13,6,
#predictedHeads=6,1,1,3,1,0,6,9,10,6,6,11,12,16,16,13,6,
(5,6),(5,7),-0.11249 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00661217 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.000209332 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00661255 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00661217 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0396777 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0448599 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0351567 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0178152 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0187004 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0125151 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0268132 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0131101 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.160142 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.163589 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0790491 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0439909 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0199354 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.104957 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0046749 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.095902 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0323185 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0354747 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0610936 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0594725 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0622128 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.01449 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.336844 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0725232 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0563783 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0638325 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0332867 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0764089 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.064869 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.074738 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0715923 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0226521 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0197875 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0543664 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0270988 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0470808 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.016145 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0376553 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.000301426 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.00613194 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0130482 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.136665 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0199354 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.104957 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0046749 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.095902 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0323185 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0354747 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0610936 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0594725 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0622128 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0835803 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.29792 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00423733 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.203029 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.130353 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0218629 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.119648 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.102662 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.184446 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0977261 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0303414 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.18154 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.112975 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.173169 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0504502 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0520893 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0862699 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.181824 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0776386 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.171119 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0797041 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.125787 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0115984 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0386798 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0159885 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00891383 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0171135 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.215997 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.048649 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0313717 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0977791 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.234236 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.00258806 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.107187 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.135136 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.0158007 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0370309 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0545466 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0337267 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0370309 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.082291 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0972349 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0363569 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.147429 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0392125 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00937705 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.163787 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0135929 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.00543445 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.26169 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0715746 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.338328 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.141824 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0340278 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0211452 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.146885 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0291872 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.005338 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0526571 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0249292 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.143757 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0817785 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.444212 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0338749 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00631239 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0312622 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0636058 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0552147 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00608688 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0380144 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00556931 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.034988 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0138214 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0689308 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0288409 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00902791 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.103211 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0219445 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00657366 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.111826 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0147477 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.010102 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.141824 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0340278 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0211452 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.146885 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0291872 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.005338 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0526571 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0249292 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.143757 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0625636 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0174682 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0734185 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0192882 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0310163 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0677596 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0342982 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0158684 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0112157 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0435454 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0470838 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0325321 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0390684 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0345373 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.00321247 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.107147 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0337518 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0870661 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0820396 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0856765 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.00874177 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.00559457 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0768249 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0138598 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0630781 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0430825 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0892574 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0960517 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0524744 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.00888349 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0387936 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.109508 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0291198 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.015972 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0459165 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0411626 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.586867 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.194855 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.586867 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.131915 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0111089 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0327768 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0580119 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0673486 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.351166 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.334277 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.136214 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0865079 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0184565 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0799271 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.042047 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.479687 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0249997 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0165711 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0640488 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0540007 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.00180347 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.136214 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0865079 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0184565 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0799271 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.042047 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.00581038 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00802309 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0483781 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0241734 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0523612 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0214959 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0799243 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.200938 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0030644 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0115318 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0153339 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0271585 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.00178485 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0153339 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0601293 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.00563431 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.195805 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.151804 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00658567 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0101561 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.138319 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.00594031 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.00346614 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.258798 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0612196 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.339448 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.142393 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.138464 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0701191 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.159904 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.00336619 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0164045 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0339996 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0138627 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.144185 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.081775 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.455976 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0226608 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0320184 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.174121 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0814764 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0358274 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0114276 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0499393 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.000228596 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.0306845 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0159778 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0674459 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0867756 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.290538 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.138996 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0254597 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.00864825 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.123776 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.000474229 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0295596 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.142393 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.138464 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0701191 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.159904 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.00336619 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0164045 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0339996 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0138627 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.144185 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0786601 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.153923 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0854032 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.00751649 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0189126 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0480946 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0221945 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0173369 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.187798 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.101017 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.00521844 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0160892 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0210745 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0227117 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0202381 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.199912 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.116513 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0625093 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.00856445 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.052821 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.17496 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0275019 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.050317 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0413422 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0365702 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0572999 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0731739 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.123084 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0363908 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.00305502 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0465989 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.111971 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0351757 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0221804 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0736682 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.0472186 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0683 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.124577 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0665548 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0683 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.044623 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.101707 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0184643 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.106193 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0111967 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0419386 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0429399 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0410345 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0174929 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.295299 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0364313 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0911008 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.124383 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.042451 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.186157 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0407501 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0824713 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0205525 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.129143 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0475033 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.00962006 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0778432 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.308326 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0416795 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0253472 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0150592 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0479008 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0545849 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0748096 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0540949 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0664589 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.038441 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0350607 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0226702 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.228367 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0600781 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.232447 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0694926 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0102924 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0878734 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0211146 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0480551 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.124383 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.042451 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.186157 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0407501 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0824713 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0205525 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.129143 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0475033 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.00962006 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0161612 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.040088 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0201593 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0390747 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0359312 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.00818396 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0359697 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.088648 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0314239 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.427022 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0942484 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0414466 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0669054 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0315251 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0423926 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0281915 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.113442 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.078109 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0561027 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0758324 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0260698 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.138151 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0848559 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.105863 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0749344 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.112771 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.221416 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.111638 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.114337 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.139758 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0394807 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.206232 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0797514 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.232639 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0686154 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0693734 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0588341 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.117308 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0588341 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0695545 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0697274 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.00859461 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0164985 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0167048 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.00838115 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.294505 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0703172 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0878846 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.13875 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0480588 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0257121 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.052099 # DEPENDENCYPART_SIBL
