# _root_ Leery of the costs -- and , critics say , competition -- the airlines have sought to gain leverage over the city of Denver .
#goldHeads=15,1,4,2,9,9,9,9,4,9,9,9,14,15,0,15,16,17,18,19,22,20,22,23,15,
#predictedHeads=9,1,4,2,11,1,9,9,0,9,15,11,14,15,9,15,16,17,18,19,22,20,22,23,9,
(4,9),(4,10),0.513244 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0285395 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.192378 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.125545 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.170223 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0239288 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.0275701 # DEPENDENCYPART_SIBL
(4,9),(4,25),0.0278622 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.574719 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.00927008 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.730991 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.520702 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.455642 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.585655 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0208372 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0432645 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.119159 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0820453 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0569597 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.128661 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0047508 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.452874 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.222431 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0162478 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.433017 # DEPENDENCYPART_SIBL
(4,12),(4,25),0.037968 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0607009 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0459118 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0638964 # DEPENDENCYPART_SIBL
(4,14),(4,25),-0.0228283 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0497867 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0159884 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.0225813 # DEPENDENCYPART_SIBL
(4,16),(4,22),-0.123912 # DEPENDENCYPART_SIBL
(4,16),(4,25),0.000885046 # DEPENDENCYPART_SIBL
(4,22),(4,25),-0.0151494 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0402067 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0240325 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0785413 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0154735 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.044547 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00687513 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0955112 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0638222 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0463682 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0148975 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0408541 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.041366 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.085598 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.970389 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.421471 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0191375 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0228231 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0181582 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0660268 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0865719 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0223851 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0660268 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.012121 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0744044 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0771096 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00998173 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0611837 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.00510957 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00840715 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0127747 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0906893 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.121612 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0407438 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0906893 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0107665 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0528708 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.121694 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0168135 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0230214 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0772441 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0249699 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0262889 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.173025 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0145329 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0262889 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00715981 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0352412 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.158348 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0403931 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0304385 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0483356 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0441824 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0878253 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00465118 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0441824 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.04767 # DEPENDENCYPART_SIBL
(6,5),(6,12),1.55685 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0809499 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0559069 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0836071 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0258117 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0640828 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.107297 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0238671 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.172691 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0751073 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0857268 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0506863 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.297557 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.134492 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.518585 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.309432 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.49308 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.159782 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.71625 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.572612 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0899729 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0429064 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0205241 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.434651 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0942243 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.404988 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.71407 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.236287 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.178657 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.172691 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0751073 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0857268 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0506863 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.297557 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.134492 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.170212 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.604219 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.618277 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.213543 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0169981 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0930391 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.122512 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0870593 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0233039 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.575855 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0912373 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0360048 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.245597 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.184777 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.199505 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.537168 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0173104 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0917251 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0947799 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.298653 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0543665 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.00276784 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.00531792 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0415788 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00253362 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0364421 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0498284 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.087994 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.100319 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.174358 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.236467 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0586943 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0396682 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0443519 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.294259 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.144603 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.000542748 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0141036 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.202568 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.015589 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.038767 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00330871 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.000234386 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.00496306 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0685527 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.717667 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.310913 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0779212 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0149508 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.015047 # DEPENDENCYPART_SIBL
(8,5),(8,12),1.79413 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0503464 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0353156 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.314415 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0597141 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0495353 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0111683 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.258828 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0184176 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00821014 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.23331 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0257087 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00489847 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0361328 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.00700898 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0560266 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.4962 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0375134 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.184745 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.164937 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0116501 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.539576 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.055962 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.484399 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.447566 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0399944 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0729342 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0410913 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.223926 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0240974 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0374978 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0838731 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.351009 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.149794 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.107084 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.222732 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.102232 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.157912 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.096263 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.144347 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.157313 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.117645 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0417332 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.077716 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.124026 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.116915 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.139238 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.22203 # DEPENDENCYPART_SIBL
(9,1),(9,23),-0.120532 # DEPENDENCYPART_SIBL
(9,1),(9,25),-0.0730206 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0921635 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0622408 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0641315 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.250912 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0989203 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0439723 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.184259 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.157748 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.12101 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0786703 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0120818 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.00451864 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.256955 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.116171 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.158726 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.1739 # DEPENDENCYPART_SIBL
(9,2),(9,23),-0.0786407 # DEPENDENCYPART_SIBL
(9,2),(9,25),0.0420869 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.334062 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.262479 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.414609 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.318364 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.343314 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0836858 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.17859 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.209099 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.190042 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.134501 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0831785 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.32842 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.215597 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.188864 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.289888 # DEPENDENCYPART_SIBL
(9,3),(9,23),0.0596809 # DEPENDENCYPART_SIBL
(9,3),(9,25),-0.244628 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.187633 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.352558 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.220161 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.950137 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0432272 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.159487 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0790492 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.175166 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.109702 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0980027 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.140654 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0594028 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.157361 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.144669 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.0658493 # DEPENDENCYPART_SIBL
(9,4),(9,25),0.0391686 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.508468 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0111176 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.00391828 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.129348 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.18789 # DEPENDENCYPART_SIBL
(9,5),(9,12),1.58887 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.139766 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0921899 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.145137 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.192902 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.166524 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.182155 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0850898 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.122322 # DEPENDENCYPART_SIBL
(9,5),(9,25),-0.0720809 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.119494 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0549658 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.205374 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.201737 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0364497 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.119561 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0220981 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0662874 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.183544 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0588988 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.19602 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.132778 # DEPENDENCYPART_SIBL
(9,6),(9,23),-0.077798 # DEPENDENCYPART_SIBL
(9,6),(9,25),0.0189678 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.192032 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.222299 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.095664 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.115377 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0188027 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.032045 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0372395 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.168253 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.10798 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.123468 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.176992 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.114559 # DEPENDENCYPART_SIBL
(9,7),(9,25),-0.0113887 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.02722 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.201598 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.121253 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.217967 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0766679 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.100277 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.184146 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.085077 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.199471 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.199248 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.121027 # DEPENDENCYPART_SIBL
(9,8),(9,25),0.0415876 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0232323 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.110411 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0453451 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.051598 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.217755 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0432794 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0739086 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0238032 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.0663249 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0578953 # DEPENDENCYPART_SIBL
(9,10),(9,25),-0.388354 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0525609 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.378261 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.18704 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.153736 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.092206 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.118174 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.228237 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.167615 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.222789 # DEPENDENCYPART_SIBL
(9,11),(9,25),-0.260469 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0515106 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.340236 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0966718 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0338317 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.143979 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.178325 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.0260779 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.0860483 # DEPENDENCYPART_SIBL
(9,12),(9,25),-0.0687412 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.114639 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.182552 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0102259 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0184646 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.147154 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0217108 # DEPENDENCYPART_SIBL
(9,14),(9,23),-0.0994059 # DEPENDENCYPART_SIBL
(9,14),(9,25),-0.184275 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.122795 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0734686 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0480855 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0964009 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0683009 # DEPENDENCYPART_SIBL
(9,15),(9,23),-0.101746 # DEPENDENCYPART_SIBL
(9,15),(9,25),0.12508 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.308915 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.176994 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.377073 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.25609 # DEPENDENCYPART_SIBL
(9,16),(9,23),-0.357076 # DEPENDENCYPART_SIBL
(9,16),(9,25),-0.0976669 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.109445 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.109544 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.108617 # DEPENDENCYPART_SIBL
(9,17),(9,23),-0.244121 # DEPENDENCYPART_SIBL
(9,17),(9,25),-0.163988 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.283534 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.147914 # DEPENDENCYPART_SIBL
(9,18),(9,23),-0.206116 # DEPENDENCYPART_SIBL
(9,18),(9,25),-0.154715 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.1456 # DEPENDENCYPART_SIBL
(9,19),(9,23),-0.200774 # DEPENDENCYPART_SIBL
(9,19),(9,25),-0.246237 # DEPENDENCYPART_SIBL
(9,20),(9,23),-0.293549 # DEPENDENCYPART_SIBL
(9,20),(9,25),-0.205018 # DEPENDENCYPART_SIBL
(9,23),(9,25),-0.153819 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.0618586 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.60448 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0848723 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.106965 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.118352 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.263649 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0882882 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0255948 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.263649 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.017047 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0108082 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.03179 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.11677 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0891396 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.0230176 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.0423507 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.088668 # DEPENDENCYPART_SIBL
(11,1),(11,22),0.0283692 # DEPENDENCYPART_SIBL
(11,1),(11,23),0.00824643 # DEPENDENCYPART_SIBL
