# _root_ Synchronized circuit breakers would not have halted the slide in prices on Friday , but they probably would have made for smoother , less volatile executions .
#goldHeads=3,3,4,0,4,4,6,9,7,9,10,9,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,7,10,11,12,4,4,18,18,15,18,19,20,26,20,25,26,21,4,
(9,13),(9,17),-0.0223772 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.132709 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.0311158 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.00977182 # DEPENDENCYPART_SIBL
(9,13),(9,27),-0.00697343 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.693444 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.188835 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.335362 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.372596 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.742083 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.213373 # DEPENDENCYPART_SIBL
(9,14),(9,27),0.0131378 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.0128652 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0566044 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.109567 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.0397882 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.2084 # DEPENDENCYPART_SIBL
(9,15),(9,27),0.11617 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0210025 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0721072 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.0348836 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.0980114 # DEPENDENCYPART_SIBL
(9,16),(9,27),-0.118986 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0887021 # DEPENDENCYPART_SIBL
(9,17),(9,20),0.0487536 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.0277327 # DEPENDENCYPART_SIBL
(9,17),(9,27),0.0411845 # DEPENDENCYPART_SIBL
(9,18),(9,20),0.0561965 # DEPENDENCYPART_SIBL
(9,18),(9,21),-0.0232172 # DEPENDENCYPART_SIBL
(9,18),(9,27),0.0270581 # DEPENDENCYPART_SIBL
(9,20),(9,21),-0.00660102 # DEPENDENCYPART_SIBL
(9,20),(9,27),-0.0525013 # DEPENDENCYPART_SIBL
(9,21),(9,27),0.147513 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.114993 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00676357 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.067859 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0398631 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.140797 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0529298 # DEPENDENCYPART_SIBL
(10,9),(10,27),-0.0516085 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.104871 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.439117 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00762127 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0891276 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.339868 # DEPENDENCYPART_SIBL
(10,11),(10,27),0.0331508 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0902415 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0271753 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0766857 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.142948 # DEPENDENCYPART_SIBL
(10,12),(10,27),0.124114 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.125629 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.13349 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.596245 # DEPENDENCYPART_SIBL
(10,13),(10,27),-0.0517492 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.866817 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.4653 # DEPENDENCYPART_SIBL
(10,14),(10,27),0.395117 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.184685 # DEPENDENCYPART_SIBL
(10,15),(10,27),0.182042 # DEPENDENCYPART_SIBL
(10,18),(10,27),0.60938 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.044073 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.116707 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0580666 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0506387 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0591605 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.049672 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.029323 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.161916 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.086563 # DEPENDENCYPART_SIBL
(11,8),(11,23),0.0506387 # DEPENDENCYPART_SIBL
(11,8),(11,26),-0.0500758 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0766438 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0185449 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.121293 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0769348 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0808599 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.053986 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.0232095 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0234311 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.121293 # DEPENDENCYPART_SIBL
(11,9),(11,26),-0.00110656 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.170135 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.206212 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.065691 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0800632 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0259222 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.083977 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0415823 # DEPENDENCYPART_SIBL
(11,12),(11,23),0.206212 # DEPENDENCYPART_SIBL
(11,12),(11,26),0.0388571 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.110246 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0865365 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0392856 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0972642 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.00979726 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.000158451 # DEPENDENCYPART_SIBL
(11,13),(11,23),0.110246 # DEPENDENCYPART_SIBL
(11,13),(11,26),-0.00416388 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.651579 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.229472 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.425613 # DEPENDENCYPART_SIBL
(11,14),(11,20),0.485387 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.1281 # DEPENDENCYPART_SIBL
(11,14),(11,23),0.210235 # DEPENDENCYPART_SIBL
(11,14),(11,26),0.731906 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0747344 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0816002 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0439286 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.162069 # DEPENDENCYPART_SIBL
(11,15),(11,23),0.024038 # DEPENDENCYPART_SIBL
(11,15),(11,26),-0.0191467 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.106097 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0402649 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0630645 # DEPENDENCYPART_SIBL
(11,17),(11,23),0.0543952 # DEPENDENCYPART_SIBL
(11,17),(11,26),0.139241 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.0293217 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.0422524 # DEPENDENCYPART_SIBL
(11,18),(11,23),0.154674 # DEPENDENCYPART_SIBL
(11,18),(11,26),0.0165029 # DEPENDENCYPART_SIBL
(11,20),(11,21),0.0150693 # DEPENDENCYPART_SIBL
(11,20),(11,23),0.291653 # DEPENDENCYPART_SIBL
(11,20),(11,26),-0.00336265 # DEPENDENCYPART_SIBL
(11,21),(11,23),0.139922 # DEPENDENCYPART_SIBL
(11,21),(11,26),0.0450471 # DEPENDENCYPART_SIBL
(11,23),(11,26),0.731906 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.102263 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.160049 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.093142 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0504922 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.123796 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.129435 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0584624 # DEPENDENCYPART_SIBL
(12,9),(12,26),-0.126531 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0660483 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.105062 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0468433 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.1849 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0907286 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0678598 # DEPENDENCYPART_SIBL
(12,10),(12,26),-0.176413 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.108151 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0688723 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.118004 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.129934 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0813202 # DEPENDENCYPART_SIBL
(12,11),(12,26),-0.207053 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.127674 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.109909 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.369098 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.697916 # DEPENDENCYPART_SIBL
(12,13),(12,26),-0.733231 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.905707 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0258029 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.139273 # DEPENDENCYPART_SIBL
(12,14),(12,26),-0.0569238 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0385518 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.309415 # DEPENDENCYPART_SIBL
(12,15),(12,26),-0.193431 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.506007 # DEPENDENCYPART_SIBL
(12,16),(12,26),-0.582309 # DEPENDENCYPART_SIBL
(12,18),(12,26),-0.299329 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.07985 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.165036 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.00313321 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.116762 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0142565 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.572725 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.10826 # DEPENDENCYPART_SIBL
(13,14),(13,18),0.348348 # DEPENDENCYPART_SIBL
(13,14),(13,20),0.431618 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.00887553 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.129618 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0308053 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0926703 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0684898 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0531835 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0386612 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.043296 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0127145 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0256914 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0784793 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.123081 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0690091 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0959878 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0593147 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.353276 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0914418 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0858267 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.0208375 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0616986 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.0594547 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.373097 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.067044 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0310276 # DEPENDENCYPART_SIBL
(15,17),(15,21),0.114293 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0400563 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.00826051 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.244979 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.102751 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0405955 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.115622 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.0876165 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.2144 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.0475747 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.177236 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.146702 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0122244 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.175442 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.136353 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.0521145 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.035 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0768727 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.104276 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.0356353 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.101863 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0615362 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.00284276 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0390549 # DEPENDENCYPART_SIBL
(18,1),(18,2),-0.095267 # DEPENDENCYPART_SIBL
(18,1),(18,3),-0.0799018 # DEPENDENCYPART_SIBL
(18,1),(18,4),0.00120108 # DEPENDENCYPART_SIBL
(18,1),(18,5),-0.0345447 # DEPENDENCYPART_SIBL
(18,1),(18,6),-0.0140268 # DEPENDENCYPART_SIBL
(18,1),(18,7),-0.020893 # DEPENDENCYPART_SIBL
(18,1),(18,8),-0.100892 # DEPENDENCYPART_SIBL
(18,1),(18,9),-0.0943423 # DEPENDENCYPART_SIBL
(18,1),(18,10),-0.0421074 # DEPENDENCYPART_SIBL
(18,1),(18,11),-0.0728183 # DEPENDENCYPART_SIBL
(18,1),(18,12),-0.0654563 # DEPENDENCYPART_SIBL
(18,1),(18,13),-0.0266036 # DEPENDENCYPART_SIBL
(18,1),(18,14),0.213849 # DEPENDENCYPART_SIBL
(18,1),(18,15),-0.0812995 # DEPENDENCYPART_SIBL
(18,1),(18,16),-0.0977688 # DEPENDENCYPART_SIBL
(18,1),(18,17),0.049356 # DEPENDENCYPART_SIBL
(18,1),(18,19),-0.0421685 # DEPENDENCYPART_SIBL
(18,1),(18,20),-0.0939351 # DEPENDENCYPART_SIBL
(18,1),(18,21),-0.0410654 # DEPENDENCYPART_SIBL
(18,1),(18,22),-0.103687 # DEPENDENCYPART_SIBL
(18,1),(18,23),-0.10226 # DEPENDENCYPART_SIBL
(18,1),(18,24),-0.0804083 # DEPENDENCYPART_SIBL
(18,1),(18,26),-0.067991 # DEPENDENCYPART_SIBL
(18,1),(18,27),-0.0879177 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.619102 # DEPENDENCYPART_SIBL
(18,2),(18,4),-0.264079 # DEPENDENCYPART_SIBL
(18,2),(18,5),-0.113245 # DEPENDENCYPART_SIBL
(18,2),(18,6),-0.284109 # DEPENDENCYPART_SIBL
(18,2),(18,7),-0.28268 # DEPENDENCYPART_SIBL
(18,2),(18,8),-0.513595 # DEPENDENCYPART_SIBL
(18,2),(18,9),-0.777266 # DEPENDENCYPART_SIBL
(18,2),(18,10),-0.00241167 # DEPENDENCYPART_SIBL
(18,2),(18,11),-0.60717 # DEPENDENCYPART_SIBL
(18,2),(18,12),-0.0497012 # DEPENDENCYPART_SIBL
(18,2),(18,13),-0.503851 # DEPENDENCYPART_SIBL
(18,2),(18,14),-0.12501 # DEPENDENCYPART_SIBL
(18,2),(18,15),-0.377017 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.606711 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.000660915 # DEPENDENCYPART_SIBL
(18,2),(18,19),0.0475676 # DEPENDENCYPART_SIBL
(18,2),(18,20),-0.0732814 # DEPENDENCYPART_SIBL
(18,2),(18,21),-0.0272808 # DEPENDENCYPART_SIBL
(18,2),(18,22),-0.0794782 # DEPENDENCYPART_SIBL
(18,2),(18,23),0.0095942 # DEPENDENCYPART_SIBL
(18,2),(18,24),-0.0785267 # DEPENDENCYPART_SIBL
(18,2),(18,26),-0.103875 # DEPENDENCYPART_SIBL
(18,2),(18,27),-0.014069 # DEPENDENCYPART_SIBL
(18,3),(18,4),-0.228142 # DEPENDENCYPART_SIBL
(18,3),(18,5),-0.112751 # DEPENDENCYPART_SIBL
(18,3),(18,6),-0.263598 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.213217 # DEPENDENCYPART_SIBL
(18,3),(18,8),-0.297072 # DEPENDENCYPART_SIBL
(18,3),(18,9),-0.599416 # DEPENDENCYPART_SIBL
(18,3),(18,10),-0.0355967 # DEPENDENCYPART_SIBL
(18,3),(18,11),-0.802667 # DEPENDENCYPART_SIBL
(18,3),(18,12),-0.0897514 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.498421 # DEPENDENCYPART_SIBL
(18,3),(18,14),-0.168897 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.328112 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.696088 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.00119419 # DEPENDENCYPART_SIBL
(18,3),(18,19),0.0713216 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.0683585 # DEPENDENCYPART_SIBL
(18,3),(18,21),0.0111353 # DEPENDENCYPART_SIBL
(18,3),(18,22),-0.0406697 # DEPENDENCYPART_SIBL
(18,3),(18,23),0.0136813 # DEPENDENCYPART_SIBL
(18,3),(18,24),-0.0310948 # DEPENDENCYPART_SIBL
(18,3),(18,26),-0.0684622 # DEPENDENCYPART_SIBL
(18,3),(18,27),0.0279638 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.073378 # DEPENDENCYPART_SIBL
(18,4),(18,6),-0.0542775 # DEPENDENCYPART_SIBL
(18,4),(18,7),-0.0388129 # DEPENDENCYPART_SIBL
(18,4),(18,8),-0.074786 # DEPENDENCYPART_SIBL
(18,4),(18,9),-0.126334 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.0332192 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.111756 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0729897 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.0612385 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.139707 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.11636 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.050244 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.00349372 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.0857252 # DEPENDENCYPART_SIBL
(18,4),(18,20),-0.0878344 # DEPENDENCYPART_SIBL
(18,4),(18,21),-0.149787 # DEPENDENCYPART_SIBL
(18,4),(18,22),-0.128354 # DEPENDENCYPART_SIBL
(18,4),(18,23),-0.0556098 # DEPENDENCYPART_SIBL
(18,4),(18,24),-0.108205 # DEPENDENCYPART_SIBL
(18,4),(18,26),-0.0768549 # DEPENDENCYPART_SIBL
(18,4),(18,27),-0.119865 # DEPENDENCYPART_SIBL
(18,5),(18,6),-0.0987469 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.10073 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.0677608 # DEPENDENCYPART_SIBL
(18,5),(18,9),-0.121981 # DEPENDENCYPART_SIBL
(18,5),(18,10),-0.00904094 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.0872566 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.0591994 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.0973807 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0338357 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.134111 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.159494 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.0645072 # DEPENDENCYPART_SIBL
(18,5),(18,19),0.205009 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0170619 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.0246801 # DEPENDENCYPART_SIBL
(18,5),(18,22),0.00319108 # DEPENDENCYPART_SIBL
(18,5),(18,23),0.0930368 # DEPENDENCYPART_SIBL
(18,5),(18,24),0.0572289 # DEPENDENCYPART_SIBL
(18,5),(18,26),0.0849701 # DEPENDENCYPART_SIBL
(18,5),(18,27),0.0821423 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.0406564 # DEPENDENCYPART_SIBL
(18,6),(18,8),-0.0655857 # DEPENDENCYPART_SIBL
(18,6),(18,9),-0.157391 # DEPENDENCYPART_SIBL
(18,6),(18,10),0.00359047 # DEPENDENCYPART_SIBL
(18,6),(18,11),-0.123901 # DEPENDENCYPART_SIBL
(18,6),(18,12),-0.0435557 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.0767876 # DEPENDENCYPART_SIBL
(18,6),(18,14),0.0201234 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.106253 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.159205 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.0209702 # DEPENDENCYPART_SIBL
(18,6),(18,19),-5.18045e-05 # DEPENDENCYPART_SIBL
(18,6),(18,20),-0.0886617 # DEPENDENCYPART_SIBL
(18,6),(18,21),-0.05103 # DEPENDENCYPART_SIBL
(18,6),(18,22),-0.0728899 # DEPENDENCYPART_SIBL
(18,6),(18,23),-0.104005 # DEPENDENCYPART_SIBL
(18,6),(18,24),-0.0685204 # DEPENDENCYPART_SIBL
(18,6),(18,26),-0.102308 # DEPENDENCYPART_SIBL
(18,6),(18,27),-0.0558516 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.10095 # DEPENDENCYPART_SIBL
(18,7),(18,9),-0.094326 # DEPENDENCYPART_SIBL
(18,7),(18,10),-0.0421659 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0729257 # DEPENDENCYPART_SIBL
(18,7),(18,12),-0.0655149 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.0266764 # DEPENDENCYPART_SIBL
(18,7),(18,14),0.216533 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.081358 # DEPENDENCYPART_SIBL
(18,7),(18,16),-0.0978273 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.0507332 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.042229 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.0948693 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.0406649 # DEPENDENCYPART_SIBL
(18,7),(18,22),-0.103714 # DEPENDENCYPART_SIBL
(18,7),(18,23),-0.102288 # DEPENDENCYPART_SIBL
(18,7),(18,24),-0.0804354 # DEPENDENCYPART_SIBL
(18,7),(18,26),-0.0680253 # DEPENDENCYPART_SIBL
(18,7),(18,27),-0.0859948 # DEPENDENCYPART_SIBL
(18,8),(18,9),-0.218026 # DEPENDENCYPART_SIBL
(18,8),(18,10),-0.109313 # DEPENDENCYPART_SIBL
(18,8),(18,11),-0.282111 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.137905 # DEPENDENCYPART_SIBL
(18,8),(18,13),-0.179365 # DEPENDENCYPART_SIBL
(18,8),(18,14),-0.0903111 # DEPENDENCYPART_SIBL
(18,8),(18,15),-0.249611 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.370644 # DEPENDENCYPART_SIBL
(18,8),(18,17),-0.0225913 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.124563 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0512152 # DEPENDENCYPART_SIBL
(18,8),(18,21),-0.0610732 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.189801 # DEPENDENCYPART_SIBL
(18,8),(18,23),-0.103287 # DEPENDENCYPART_SIBL
(18,8),(18,24),-0.137923 # DEPENDENCYPART_SIBL
(18,8),(18,26),-0.174531 # DEPENDENCYPART_SIBL
(18,8),(18,27),-0.174144 # DEPENDENCYPART_SIBL
(18,9),(18,10),-0.00243229 # DEPENDENCYPART_SIBL
(18,9),(18,11),-0.608935 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0497309 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.504538 # DEPENDENCYPART_SIBL
(18,9),(18,14),-0.124441 # DEPENDENCYPART_SIBL
(18,9),(18,15),-0.377018 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.606717 # DEPENDENCYPART_SIBL
(18,9),(18,17),-0.000650372 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.0643497 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.0744485 # DEPENDENCYPART_SIBL
(18,9),(18,21),-0.0235825 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.0746864 # DEPENDENCYPART_SIBL
(18,9),(18,23),-0.00462904 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.0791351 # DEPENDENCYPART_SIBL
(18,9),(18,26),-0.0986424 # DEPENDENCYPART_SIBL
(18,9),(18,27),-0.00739178 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.000723389 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.168602 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.0342125 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.120183 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.188142 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.0104932 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.00747696 # DEPENDENCYPART_SIBL
(18,10),(18,19),0.106558 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0563392 # DEPENDENCYPART_SIBL
(18,10),(18,21),-0.0299463 # DEPENDENCYPART_SIBL
(18,10),(18,22),0.0474642 # DEPENDENCYPART_SIBL
(18,10),(18,23),0.0252713 # DEPENDENCYPART_SIBL
(18,10),(18,24),-0.053698 # DEPENDENCYPART_SIBL
(18,10),(18,26),0.00292615 # DEPENDENCYPART_SIBL
(18,10),(18,27),0.0464095 # DEPENDENCYPART_SIBL
