# _root_ If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on a range of health issues .
#goldHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
#predictedHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,23,23,31,31,28,31,34,32,34,37,35,16,
(16,7),(16,23),-0.0075352 # DEPENDENCYPART_SIBL
(16,7),(16,24),-0.0386173 # DEPENDENCYPART_SIBL
(16,7),(16,25),0.0528835 # DEPENDENCYPART_SIBL
(16,7),(16,27),-0.0138194 # DEPENDENCYPART_SIBL
(16,7),(16,28),-0.00111683 # DEPENDENCYPART_SIBL
(16,7),(16,38),-0.0128953 # DEPENDENCYPART_SIBL
(16,8),(16,9),-0.00164726 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.0952909 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.21848 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0470668 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.158122 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0439804 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.0438843 # DEPENDENCYPART_SIBL
(16,8),(16,17),0.0173045 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0161692 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0161692 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.0161692 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0417467 # DEPENDENCYPART_SIBL
(16,8),(16,22),0.0296805 # DEPENDENCYPART_SIBL
(16,8),(16,23),0.033402 # DEPENDENCYPART_SIBL
(16,8),(16,24),-0.0105706 # DEPENDENCYPART_SIBL
(16,8),(16,25),-0.146769 # DEPENDENCYPART_SIBL
(16,8),(16,27),0.039995 # DEPENDENCYPART_SIBL
(16,8),(16,28),-0.0508902 # DEPENDENCYPART_SIBL
(16,8),(16,38),0.0749963 # DEPENDENCYPART_SIBL
(16,9),(16,10),-0.0462366 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.101149 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.018919 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.216526 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.0151959 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0150679 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.156993 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0316492 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0316492 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0316492 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.10236 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0774033 # DEPENDENCYPART_SIBL
(16,9),(16,23),-0.0862742 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.0680148 # DEPENDENCYPART_SIBL
(16,9),(16,25),-0.0834339 # DEPENDENCYPART_SIBL
(16,9),(16,27),-0.0768707 # DEPENDENCYPART_SIBL
(16,9),(16,28),-0.0992004 # DEPENDENCYPART_SIBL
(16,9),(16,38),-0.0853758 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0140646 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.0538316 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0587171 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0605509 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.0596926 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.00638171 # DEPENDENCYPART_SIBL
(16,10),(16,18),-0.0358425 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0358425 # DEPENDENCYPART_SIBL
(16,10),(16,20),-0.0358425 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.130448 # DEPENDENCYPART_SIBL
(16,10),(16,22),-0.0319775 # DEPENDENCYPART_SIBL
(16,10),(16,23),-0.0184152 # DEPENDENCYPART_SIBL
(16,10),(16,24),-0.0700243 # DEPENDENCYPART_SIBL
(16,10),(16,25),-0.0317768 # DEPENDENCYPART_SIBL
(16,10),(16,27),-0.0475734 # DEPENDENCYPART_SIBL
(16,10),(16,28),-0.0876354 # DEPENDENCYPART_SIBL
(16,10),(16,38),0.0516925 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.266494 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0903111 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.257614 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.230854 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.242995 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.133923 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.133174 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.133172 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.103287 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.155151 # DEPENDENCYPART_SIBL
(16,11),(16,23),0.0673995 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.176625 # DEPENDENCYPART_SIBL
(16,11),(16,25),-0.128344 # DEPENDENCYPART_SIBL
(16,11),(16,27),-0.124438 # DEPENDENCYPART_SIBL
(16,11),(16,28),-0.294253 # DEPENDENCYPART_SIBL
(16,11),(16,38),-0.174144 # DEPENDENCYPART_SIBL
(16,12),(16,13),0.00836774 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.275315 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.273236 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.00568088 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0166552 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.0182106 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.018223 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0216721 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0558914 # DEPENDENCYPART_SIBL
(16,12),(16,23),-0.0107578 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0464344 # DEPENDENCYPART_SIBL
(16,12),(16,25),0.102689 # DEPENDENCYPART_SIBL
(16,12),(16,27),-0.0289694 # DEPENDENCYPART_SIBL
(16,12),(16,28),-0.0205729 # DEPENDENCYPART_SIBL
(16,12),(16,38),-0.0200257 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.00317481 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.00567619 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0202436 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.0106303 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.0149377 # DEPENDENCYPART_SIBL
(16,13),(16,20),0.0149377 # DEPENDENCYPART_SIBL
(16,13),(16,21),0.0188018 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.0119481 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.0112933 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.0211868 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.0338485 # DEPENDENCYPART_SIBL
(16,13),(16,27),0.0298598 # DEPENDENCYPART_SIBL
(16,13),(16,28),-0.0235173 # DEPENDENCYPART_SIBL
(16,13),(16,38),0.0457747 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.299423 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0152213 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0118544 # DEPENDENCYPART_SIBL
(16,14),(16,19),0.0134098 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.0134222 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.0321407 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0560172 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.00535774 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0499934 # DEPENDENCYPART_SIBL
(16,14),(16,25),0.0756415 # DEPENDENCYPART_SIBL
(16,14),(16,27),-0.0461338 # DEPENDENCYPART_SIBL
(16,14),(16,28),-0.00943483 # DEPENDENCYPART_SIBL
(16,14),(16,38),-0.0229719 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0154749 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0200511 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0216065 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.021619 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.016906 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.0560114 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.00881171 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.0478353 # DEPENDENCYPART_SIBL
(16,15),(16,25),0.0748358 # DEPENDENCYPART_SIBL
(16,15),(16,27),-0.0386738 # DEPENDENCYPART_SIBL
(16,15),(16,28),-0.0165827 # DEPENDENCYPART_SIBL
(16,15),(16,38),-0.0179999 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.241219 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.241219 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.241219 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.065316 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.23152 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.224955 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.265424 # DEPENDENCYPART_SIBL
(16,17),(16,25),0.0166829 # DEPENDENCYPART_SIBL
(16,17),(16,27),-0.324004 # DEPENDENCYPART_SIBL
(16,17),(16,28),-0.112607 # DEPENDENCYPART_SIBL
(16,17),(16,38),-0.0576632 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0945214 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0945214 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.0217543 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0133507 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.045751 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.0737858 # DEPENDENCYPART_SIBL
(16,18),(16,25),0.000794041 # DEPENDENCYPART_SIBL
(16,18),(16,27),-0.0155663 # DEPENDENCYPART_SIBL
(16,18),(16,28),0.089841 # DEPENDENCYPART_SIBL
(16,18),(16,38),0.0233486 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0944182 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0255655 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.0133507 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.045751 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.0737858 # DEPENDENCYPART_SIBL
(16,19),(16,25),0.000812983 # DEPENDENCYPART_SIBL
(16,19),(16,27),-0.0154788 # DEPENDENCYPART_SIBL
(16,19),(16,28),0.0901255 # DEPENDENCYPART_SIBL
(16,19),(16,38),0.0298547 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.0255906 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.0133507 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.045751 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0737858 # DEPENDENCYPART_SIBL
(16,20),(16,25),0.000812983 # DEPENDENCYPART_SIBL
(16,20),(16,27),-0.0154788 # DEPENDENCYPART_SIBL
(16,20),(16,28),0.0901255 # DEPENDENCYPART_SIBL
(16,20),(16,38),0.0298547 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.0389035 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.294505 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.221677 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.784472 # DEPENDENCYPART_SIBL
(16,21),(16,27),0.242787 # DEPENDENCYPART_SIBL
(16,21),(16,28),0.465454 # DEPENDENCYPART_SIBL
(16,21),(16,38),-0.00797503 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.0571903 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0705085 # DEPENDENCYPART_SIBL
(16,22),(16,25),-0.0592848 # DEPENDENCYPART_SIBL
(16,22),(16,27),-0.0738882 # DEPENDENCYPART_SIBL
(16,22),(16,28),-0.00849068 # DEPENDENCYPART_SIBL
(16,22),(16,38),-0.0870711 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.108682 # DEPENDENCYPART_SIBL
(16,23),(16,25),-0.0139616 # DEPENDENCYPART_SIBL
(16,23),(16,27),-0.0979371 # DEPENDENCYPART_SIBL
(16,23),(16,28),-0.00820462 # DEPENDENCYPART_SIBL
(16,23),(16,38),0.0217133 # DEPENDENCYPART_SIBL
(16,24),(16,25),0.00850998 # DEPENDENCYPART_SIBL
(16,24),(16,27),0.0244389 # DEPENDENCYPART_SIBL
(16,24),(16,28),0.103981 # DEPENDENCYPART_SIBL
(16,24),(16,38),0.0251295 # DEPENDENCYPART_SIBL
(16,25),(16,27),0.122718 # DEPENDENCYPART_SIBL
(16,25),(16,28),0.0715613 # DEPENDENCYPART_SIBL
(16,25),(16,38),-0.0463974 # DEPENDENCYPART_SIBL
(16,27),(16,28),0.0634108 # DEPENDENCYPART_SIBL
(16,27),(16,38),-0.0294339 # DEPENDENCYPART_SIBL
(16,28),(16,38),-0.00453809 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.195967 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.0110115 # DEPENDENCYPART_SIBL
(17,1),(17,15),-0.0101528 # DEPENDENCYPART_SIBL
(17,1),(17,18),0.00792382 # DEPENDENCYPART_SIBL
(17,1),(17,19),0.00792382 # DEPENDENCYPART_SIBL
(17,1),(17,20),0.00792382 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0269714 # DEPENDENCYPART_SIBL
(17,1),(17,22),0.0227035 # DEPENDENCYPART_SIBL
(17,1),(17,23),-0.00749559 # DEPENDENCYPART_SIBL
(17,1),(17,24),-0.0218138 # DEPENDENCYPART_SIBL
(17,1),(17,25),0.0957256 # DEPENDENCYPART_SIBL
(17,1),(17,26),-0.0218173 # DEPENDENCYPART_SIBL
(17,1),(17,27),0.0150238 # DEPENDENCYPART_SIBL
(17,1),(17,28),0.0493818 # DEPENDENCYPART_SIBL
(17,1),(17,31),-0.0189726 # DEPENDENCYPART_SIBL
(17,1),(17,32),0.0654054 # DEPENDENCYPART_SIBL
(17,1),(17,34),0.0557976 # DEPENDENCYPART_SIBL
(17,1),(17,35),0.0652551 # DEPENDENCYPART_SIBL
(17,1),(17,38),0.313859 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0643521 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0634944 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.104927 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.104927 # DEPENDENCYPART_SIBL
(17,10),(17,20),-0.104927 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.140464 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.0842458 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.112459 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.149801 # DEPENDENCYPART_SIBL
(17,10),(17,25),-0.0641627 # DEPENDENCYPART_SIBL
(17,10),(17,26),-0.149804 # DEPENDENCYPART_SIBL
(17,10),(17,27),-0.0830675 # DEPENDENCYPART_SIBL
(17,10),(17,28),-0.124625 # DEPENDENCYPART_SIBL
(17,10),(17,31),-0.14696 # DEPENDENCYPART_SIBL
(17,10),(17,32),-0.113023 # DEPENDENCYPART_SIBL
(17,10),(17,34),-0.106085 # DEPENDENCYPART_SIBL
(17,10),(17,35),-0.117694 # DEPENDENCYPART_SIBL
(17,10),(17,38),0.0404919 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0476971 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.00597603 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.00442062 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.0044082 # DEPENDENCYPART_SIBL
(17,14),(17,21),0.0260192 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.047599 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0257729 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0403781 # DEPENDENCYPART_SIBL
(17,14),(17,25),0.0281023 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.0404929 # DEPENDENCYPART_SIBL
(17,14),(17,27),-0.0128823 # DEPENDENCYPART_SIBL
(17,14),(17,28),-0.00673196 # DEPENDENCYPART_SIBL
(17,14),(17,31),-0.0434519 # DEPENDENCYPART_SIBL
(17,14),(17,32),0.0752285 # DEPENDENCYPART_SIBL
(17,14),(17,34),0.0138666 # DEPENDENCYPART_SIBL
(17,14),(17,35),-0.039399 # DEPENDENCYPART_SIBL
(17,14),(17,38),0.0560488 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0022149 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0037703 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.00378273 # DEPENDENCYPART_SIBL
(17,15),(17,21),0.0107786 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.047599 # DEPENDENCYPART_SIBL
(17,15),(17,23),-0.0292328 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0382259 # DEPENDENCYPART_SIBL
(17,15),(17,25),0.0272907 # DEPENDENCYPART_SIBL
(17,15),(17,26),-0.0383406 # DEPENDENCYPART_SIBL
(17,15),(17,27),-0.00542822 # DEPENDENCYPART_SIBL
(17,15),(17,28),-0.0138856 # DEPENDENCYPART_SIBL
(17,15),(17,31),-0.0412996 # DEPENDENCYPART_SIBL
(17,15),(17,32),0.0684958 # DEPENDENCYPART_SIBL
(17,15),(17,34),0.0189423 # DEPENDENCYPART_SIBL
(17,15),(17,35),-0.0490559 # DEPENDENCYPART_SIBL
(17,15),(17,38),0.0610143 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.126284 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.126284 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.056009 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.0146974 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0896287 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.194033 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.000129418 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.194034 # DEPENDENCYPART_SIBL
(17,18),(17,27),0.0316855 # DEPENDENCYPART_SIBL
(17,18),(17,28),0.0725442 # DEPENDENCYPART_SIBL
(17,18),(17,31),-0.19408 # DEPENDENCYPART_SIBL
(17,18),(17,32),0.0333743 # DEPENDENCYPART_SIBL
(17,18),(17,34),-0.0840161 # DEPENDENCYPART_SIBL
(17,18),(17,35),0.088158 # DEPENDENCYPART_SIBL
(17,18),(17,38),-0.0173598 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.12618 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0598202 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0146974 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0896287 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.194033 # DEPENDENCYPART_SIBL
(17,19),(17,25),0.00014836 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.194034 # DEPENDENCYPART_SIBL
(17,19),(17,27),0.031773 # DEPENDENCYPART_SIBL
(17,19),(17,28),0.0728288 # DEPENDENCYPART_SIBL
(17,19),(17,31),-0.19408 # DEPENDENCYPART_SIBL
(17,19),(17,32),0.0336588 # DEPENDENCYPART_SIBL
(17,19),(17,34),-0.0839273 # DEPENDENCYPART_SIBL
(17,19),(17,35),0.0886393 # DEPENDENCYPART_SIBL
(17,19),(17,38),-0.0108537 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.0598453 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0146974 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.0896287 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.194033 # DEPENDENCYPART_SIBL
(17,20),(17,25),0.00014836 # DEPENDENCYPART_SIBL
(17,20),(17,26),-0.194034 # DEPENDENCYPART_SIBL
(17,20),(17,27),0.031773 # DEPENDENCYPART_SIBL
(17,20),(17,28),0.0728288 # DEPENDENCYPART_SIBL
(17,20),(17,31),-0.19408 # DEPENDENCYPART_SIBL
(17,20),(17,32),0.0336588 # DEPENDENCYPART_SIBL
(17,20),(17,34),-0.0839273 # DEPENDENCYPART_SIBL
(17,20),(17,35),0.0886393 # DEPENDENCYPART_SIBL
(17,20),(17,38),-0.0108536 # DEPENDENCYPART_SIBL
(17,21),(17,22),0.0609829 # DEPENDENCYPART_SIBL
(17,21),(17,23),0.284069 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.183608 # DEPENDENCYPART_SIBL
(17,21),(17,25),0.437271 # DEPENDENCYPART_SIBL
(17,21),(17,26),0.182713 # DEPENDENCYPART_SIBL
(17,21),(17,27),0.359993 # DEPENDENCYPART_SIBL
(17,21),(17,28),0.557621 # DEPENDENCYPART_SIBL
(17,21),(17,31),0.179956 # DEPENDENCYPART_SIBL
(17,21),(17,32),0.279368 # DEPENDENCYPART_SIBL
(17,21),(17,34),0.225262 # DEPENDENCYPART_SIBL
(17,21),(17,35),0.382605 # DEPENDENCYPART_SIBL
(17,21),(17,38),-0.00977587 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.122992 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.198656 # DEPENDENCYPART_SIBL
(17,22),(17,25),-0.0619205 # DEPENDENCYPART_SIBL
(17,22),(17,26),-0.198657 # DEPENDENCYPART_SIBL
(17,22),(17,27),-0.0506897 # DEPENDENCYPART_SIBL
(17,22),(17,28),-0.0532983 # DEPENDENCYPART_SIBL
(17,22),(17,31),-0.198702 # DEPENDENCYPART_SIBL
(17,22),(17,32),-0.0605923 # DEPENDENCYPART_SIBL
(17,22),(17,34),-0.206238 # DEPENDENCYPART_SIBL
(17,22),(17,35),-0.0892356 # DEPENDENCYPART_SIBL
(17,22),(17,38),-0.0724689 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.242306 # DEPENDENCYPART_SIBL
(17,23),(17,25),-0.0112955 # DEPENDENCYPART_SIBL
(17,23),(17,26),-0.242306 # DEPENDENCYPART_SIBL
(17,23),(17,27),-0.08228 # DEPENDENCYPART_SIBL
(17,23),(17,28),-0.0477212 # DEPENDENCYPART_SIBL
(17,23),(17,31),-0.242355 # DEPENDENCYPART_SIBL
(17,23),(17,32),-0.0692945 # DEPENDENCYPART_SIBL
(17,23),(17,34),-0.216341 # DEPENDENCYPART_SIBL
(17,23),(17,35),-0.100886 # DEPENDENCYPART_SIBL
(17,23),(17,38),0.0504955 # DEPENDENCYPART_SIBL
(17,24),(17,25),0.0185787 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.420821 # DEPENDENCYPART_SIBL
(17,24),(17,27),0.0339191 # DEPENDENCYPART_SIBL
(17,24),(17,28),0.0143301 # DEPENDENCYPART_SIBL
(17,24),(17,31),-0.421381 # DEPENDENCYPART_SIBL
(17,24),(17,32),0.0466762 # DEPENDENCYPART_SIBL
(17,24),(17,34),-0.254562 # DEPENDENCYPART_SIBL
(17,24),(17,35),-0.0444362 # DEPENDENCYPART_SIBL
(17,24),(17,38),-0.00875522 # DEPENDENCYPART_SIBL
(17,25),(17,26),0.039266 # DEPENDENCYPART_SIBL
(17,25),(17,27),0.110277 # DEPENDENCYPART_SIBL
(17,25),(17,28),-0.0551071 # DEPENDENCYPART_SIBL
(17,25),(17,31),0.0390264 # DEPENDENCYPART_SIBL
(17,25),(17,32),-0.108853 # DEPENDENCYPART_SIBL
(17,25),(17,34),-0.0154829 # DEPENDENCYPART_SIBL
(17,25),(17,35),0.00250986 # DEPENDENCYPART_SIBL
(17,25),(17,38),0.0817033 # DEPENDENCYPART_SIBL
(17,26),(17,27),0.0297425 # DEPENDENCYPART_SIBL
(17,26),(17,28),-0.00721402 # DEPENDENCYPART_SIBL
(17,26),(17,31),-0.426227 # DEPENDENCYPART_SIBL
(17,26),(17,32),0.0251322 # DEPENDENCYPART_SIBL
(17,26),(17,34),-0.259404 # DEPENDENCYPART_SIBL
(17,26),(17,35),-0.0659804 # DEPENDENCYPART_SIBL
(17,26),(17,38),-0.0137669 # DEPENDENCYPART_SIBL
(17,27),(17,28),0.0317 # DEPENDENCYPART_SIBL
(17,27),(17,31),-0.139882 # DEPENDENCYPART_SIBL
(17,27),(17,32),0.0501058 # DEPENDENCYPART_SIBL
(17,27),(17,34),-0.185022 # DEPENDENCYPART_SIBL
(17,27),(17,35),-0.0620853 # DEPENDENCYPART_SIBL
(17,27),(17,38),-0.0286001 # DEPENDENCYPART_SIBL
(17,28),(17,31),-0.229508 # DEPENDENCYPART_SIBL
(17,28),(17,32),0.135136 # DEPENDENCYPART_SIBL
(17,28),(17,34),-0.0886532 # DEPENDENCYPART_SIBL
(17,28),(17,35),-0.158645 # DEPENDENCYPART_SIBL
(17,28),(17,38),0.00907452 # DEPENDENCYPART_SIBL
(17,31),(17,32),0.0544469 # DEPENDENCYPART_SIBL
(17,31),(17,34),-0.248637 # DEPENDENCYPART_SIBL
(17,31),(17,35),-0.0306734 # DEPENDENCYPART_SIBL
(17,31),(17,38),0.00638057 # DEPENDENCYPART_SIBL
(17,32),(17,34),-0.128987 # DEPENDENCYPART_SIBL
(17,32),(17,35),-0.163255 # DEPENDENCYPART_SIBL
(17,32),(17,38),-0.00563107 # DEPENDENCYPART_SIBL
(17,34),(17,35),-0.0370152 # DEPENDENCYPART_SIBL
(17,34),(17,38),-0.0626271 # DEPENDENCYPART_SIBL
(17,35),(17,38),-0.205915 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0413063 # DEPENDENCYPART_SIBL
(18,14),(18,21),0.0480373 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0481148 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.0419145 # DEPENDENCYPART_SIBL
(19,11),(19,15),0.125804 # DEPENDENCYPART_SIBL
(19,11),(19,17),0.117702 # DEPENDENCYPART_SIBL
(19,11),(19,18),0.167553 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0177591 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.0338447 # DEPENDENCYPART_SIBL
(19,11),(19,22),-0.0509035 # DEPENDENCYPART_SIBL
(19,11),(19,23),0.183743 # DEPENDENCYPART_SIBL
(19,11),(19,24),-0.00576726 # DEPENDENCYPART_SIBL
(19,11),(19,25),0.0115399 # DEPENDENCYPART_SIBL
(19,11),(19,26),-0.00378744 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.137391 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.152437 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.256626 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.0235233 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.118152 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.056236 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0340106 # DEPENDENCYPART_SIBL
(19,14),(19,24),0.0496908 # DEPENDENCYPART_SIBL
(19,14),(19,25),0.0946394 # DEPENDENCYPART_SIBL
(19,14),(19,26),0.0493174 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.14412 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.235209 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0346588 # DEPENDENCYPART_SIBL
