# _root_ `` It 's a problem that clearly has to be resolved , '' said David Cooke , executive director of the RTC .
#goldHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
#predictedHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
(5,8),(5,12),0.261861 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0677205 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.196531 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.00441189 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.261861 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.00307067 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.109426 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.00441195 # DEPENDENCYPART_SIBL
(5,8),(5,23),0.110171 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0129224 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0933311 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0153115 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0154421 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0325979 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0933311 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.111777 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0188444 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.0325979 # DEPENDENCYPART_SIBL
(5,9),(5,23),0.0335426 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.227319 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.153804 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0523647 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0526515 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.227319 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.119394 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0728722 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0526516 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.0038674 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.339057 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.286267 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.607893 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.113485 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.786517 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.256762 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.604473 # DEPENDENCYPART_SIBL
(5,12),(5,23),-0.0219855 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0330613 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.123905 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.065159 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.281523 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.498538 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.123905 # DEPENDENCYPART_SIBL
(5,13),(5,23),-0.0416915 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0114548 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.316873 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.0444248 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.0601598 # DEPENDENCYPART_SIBL
(5,14),(5,22),-0.0114551 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.0906123 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0789965 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0872315 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.04516 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.130137 # DEPENDENCYPART_SIBL
(5,16),(5,23),-0.0271958 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.786517 # DEPENDENCYPART_SIBL
(5,17),(5,20),0.256762 # DEPENDENCYPART_SIBL
(5,17),(5,22),0.604473 # DEPENDENCYPART_SIBL
(5,17),(5,23),-0.0219855 # DEPENDENCYPART_SIBL
(5,19),(5,20),0.0657487 # DEPENDENCYPART_SIBL
(5,19),(5,22),-0.0499777 # DEPENDENCYPART_SIBL
(5,19),(5,23),0.0174071 # DEPENDENCYPART_SIBL
(5,20),(5,22),0.0762241 # DEPENDENCYPART_SIBL
(5,20),(5,23),-0.00909001 # DEPENDENCYPART_SIBL
(5,22),(5,23),-0.0275679 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0466782 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0218718 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0376584 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0297107 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.054263 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0319554 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0400731 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0878613 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0271545 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0703764 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0392869 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.134551 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0559087 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0223193 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.160783 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.135271 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0864819 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.440391 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0267218 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.16155 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0402618 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.122618 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00249598 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0208876 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0762879 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0374844 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.10622 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.166461 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.095645 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0369889 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0902151 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.118412 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0470936 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0658794 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0386896 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0756994 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0367314 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.200711 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.11032 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0508026 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0367314 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0132964 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.106644 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.0517557 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.146771 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0478715 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.213981 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.219803 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.264917 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.167949 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0521086 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0783958 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.141464 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0528721 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0143693 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0175398 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.153744 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0528721 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0798562 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.135354 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.153472 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.014056 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0194844 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0602316 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.179719 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0991287 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.153634 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0765996 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0644613 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0524146 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0227701 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0577511 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0108508 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0524146 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0273266 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.108183 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.0111233 # DEPENDENCYPART_SIBL
(8,3),(8,23),0.00901754 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.215765 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.285903 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.124086 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00747475 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.104062 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0985464 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0299335 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0354691 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.120805 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.13171 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0299335 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0481149 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0106836 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.130221 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.0541973 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.601545 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0244237 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0386795 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0144318 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0117722 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0490571 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.075864 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.031431 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.065587 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0490571 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0127775 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0180556 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0611596 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.119073 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.118522 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0589029 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.122399 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0101907 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0883688 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0460634 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0580374 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0391526 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0883688 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.0961862 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0564884 # DEPENDENCYPART_SIBL
(8,6),(8,22),0.0406508 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.28238 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0719175 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0617147 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0561671 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.042354 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0648985 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.00967744 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0767208 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.042354 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.00353958 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.14335 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.0752227 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.00629086 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.227022 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0896311 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.00259364 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0395052 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0734685 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.141161 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.00259364 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.234779 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.12718 # DEPENDENCYPART_SIBL
(8,9),(8,22),-0.141161 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.039945 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.232696 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0411706 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0719426 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.206473 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.290288 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0411706 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.408859 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.185322 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.290288 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.0898894 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.00973214 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0276209 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.306819 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.371143 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.00973214 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.568145 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.415407 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.371143 # DEPENDENCYPART_SIBL
(8,11),(8,23),0.117234 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0900863 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0573279 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0994019 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0971298 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.198133 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.27049 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.0959825 # DEPENDENCYPART_SIBL
(8,12),(8,23),-0.000682224 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0924742 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0790174 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.168564 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0350034 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.185433 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.0790174 # DEPENDENCYPART_SIBL
(8,13),(8,23),-0.0689642 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.15099 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.144205 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.241241 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.133597 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.150991 # DEPENDENCYPART_SIBL
(8,14),(8,23),0.153812 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.00661096 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.220683 # DEPENDENCYPART_SIBL
(8,16),(8,20),0.0214093 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.238295 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.0196722 # DEPENDENCYPART_SIBL
(8,17),(8,19),0.198133 # DEPENDENCYPART_SIBL
(8,17),(8,20),0.27049 # DEPENDENCYPART_SIBL
(8,17),(8,22),0.0959825 # DEPENDENCYPART_SIBL
(8,17),(8,23),-0.000682224 # DEPENDENCYPART_SIBL
(8,19),(8,20),0.0145495 # DEPENDENCYPART_SIBL
(8,19),(8,22),-0.190176 # DEPENDENCYPART_SIBL
(8,19),(8,23),-0.0526861 # DEPENDENCYPART_SIBL
(8,20),(8,22),-0.152871 # DEPENDENCYPART_SIBL
(8,20),(8,23),-0.0979322 # DEPENDENCYPART_SIBL
(8,22),(8,23),-0.0166609 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0683354 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0238378 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.181999 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.112453 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.125612 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.14562 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.149024 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.132599 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0534221 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0120378 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.211226 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0357222 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0613563 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0558739 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0896913 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.188331 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0116886 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.217837 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0153291 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00104539 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0268524 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0443313 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0183261 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0258251 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.270875 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.141915 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.00730497 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.28859 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.554965 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.749875 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.120233 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.14112 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.122234 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.298661 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.490732 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.244958 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.151847 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.100589 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.184392 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0758334 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.159616 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.115743 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.190265 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.324392 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.615874 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.140015 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0206883 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0856689 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.155189 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.033704 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.635949 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0595313 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0276944 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.033704 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.00722562 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.011778 # DEPENDENCYPART_SIBL
(10,1),(10,23),0.109465 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.159258 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.132226 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0825434 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0696782 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.033974 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0231383 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0142195 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0696782 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0103373 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0266451 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.0591957 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0120539 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.251156 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.298699 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.285865 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.304007 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.179053 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.298699 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.310934 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.270001 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.448075 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0661951 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0863972 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0268909 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0624807 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0350308 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0863972 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.024881 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.145617 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.141195 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.249547 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.133701 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.428391 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.395988 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.249547 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.639347 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.486047 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.118597 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.175789 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0742882 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.219298 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0614823 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.283386 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.445193 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0111222 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0810007 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0779015 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0467188 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.087448 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.293529 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.0783423 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.149063 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0316929 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.277681 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.163304 # DEPENDENCYPART_SIBL
(10,14),(10,23),0.0272113 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.133517 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.211973 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0505131 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.105301 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.283386 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.445193 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0111222 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.110779 # DEPENDENCYPART_SIBL
(10,19),(10,23),-0.136927 # DEPENDENCYPART_SIBL
(10,20),(10,23),-0.265706 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0964096 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0796227 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.0717218 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.023652 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.171992 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.022498 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.0123715 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.101274 # DEPENDENCYPART_SIBL
(11,1),(11,13),0.518326 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0633592 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0633684 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0653926 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.101274 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.0106825 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.111526 # DEPENDENCYPART_SIBL
(11,1),(11,22),0.0629413 # DEPENDENCYPART_SIBL
(11,1),(11,23),0.0773687 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0778677 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0229954 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0766972 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0851008 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.00738662 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.00614974 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0248891 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0425313 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0735529 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0246058 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0259569 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0248891 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0373909 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.0424403 # DEPENDENCYPART_SIBL
(11,3),(11,22),0.0247313 # DEPENDENCYPART_SIBL
