# _root_ Among those sighing with relief was John H. Gutfreund , chairman of Salomon Brothers , who took to the firm 's trading floor to monitor yesterday 's events .
#goldHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
#predictedHeads=6,1,2,3,4,0,9,9,6,9,9,11,14,12,9,17,9,17,20,23,20,23,18,17,24,28,26,25,6,
(11,14),(11,15),0.0852642 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0750416 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0688522 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0107218 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0936512 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.136007 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.0872115 # DEPENDENCYPART_SIBL
(11,14),(11,24),-0.0107218 # DEPENDENCYPART_SIBL
(11,14),(11,29),-0.0715958 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.150225 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.496362 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.122772 # DEPENDENCYPART_SIBL
(11,15),(11,20),0.71138 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.00362063 # DEPENDENCYPART_SIBL
(11,15),(11,23),0.772945 # DEPENDENCYPART_SIBL
(11,15),(11,24),0.122772 # DEPENDENCYPART_SIBL
(11,15),(11,29),-0.00601366 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.066099 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0338885 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0570936 # DEPENDENCYPART_SIBL
(11,16),(11,21),-0.074713 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.0376697 # DEPENDENCYPART_SIBL
(11,16),(11,24),-0.0338885 # DEPENDENCYPART_SIBL
(11,16),(11,29),-0.0916442 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0430737 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0483411 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0614691 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.0288867 # DEPENDENCYPART_SIBL
(11,17),(11,24),-0.0430737 # DEPENDENCYPART_SIBL
(11,17),(11,29),0.00341942 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.0922345 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.112021 # DEPENDENCYPART_SIBL
(11,18),(11,23),0.112576 # DEPENDENCYPART_SIBL
(11,18),(11,24),-0.313148 # DEPENDENCYPART_SIBL
(11,18),(11,29),0.00245705 # DEPENDENCYPART_SIBL
(11,20),(11,21),-0.101928 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.12986 # DEPENDENCYPART_SIBL
(11,20),(11,24),-0.066844 # DEPENDENCYPART_SIBL
(11,20),(11,29),-0.0603609 # DEPENDENCYPART_SIBL
(11,21),(11,23),-0.143562 # DEPENDENCYPART_SIBL
(11,21),(11,24),-0.130087 # DEPENDENCYPART_SIBL
(11,21),(11,29),-0.180147 # DEPENDENCYPART_SIBL
(11,23),(11,24),-0.0547171 # DEPENDENCYPART_SIBL
(11,23),(11,29),-0.0378195 # DEPENDENCYPART_SIBL
(11,24),(11,29),0.00245705 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.847675 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0788355 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.373162 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.580278 # DEPENDENCYPART_SIBL
(12,13),(12,22),-0.984383 # DEPENDENCYPART_SIBL
(12,13),(12,28),-0.854713 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0890499 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.374478 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.582377 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.985708 # DEPENDENCYPART_SIBL
(12,14),(12,28),-0.856109 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.149421 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.48848 # DEPENDENCYPART_SIBL
(12,15),(12,22),-0.0705705 # DEPENDENCYPART_SIBL
(12,15),(12,28),0.0279171 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.274692 # DEPENDENCYPART_SIBL
(12,16),(12,22),-0.591608 # DEPENDENCYPART_SIBL
(12,16),(12,28),-0.507392 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.552721 # DEPENDENCYPART_SIBL
(12,17),(12,28),-0.473535 # DEPENDENCYPART_SIBL
(12,22),(12,28),-1.17075 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.00915994 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0940208 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.135445 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.485768 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.0206104 # DEPENDENCYPART_SIBL
(13,17),(13,21),0.00397447 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.129201 # DEPENDENCYPART_SIBL
(14,2),(14,7),0.000647438 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0184411 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.00142862 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.0846876 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.208351 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0293979 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.072248 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0514401 # DEPENDENCYPART_SIBL
(14,2),(14,17),0.104287 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.0565479 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0439919 # DEPENDENCYPART_SIBL
(14,2),(14,21),0.0267313 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.0044414 # DEPENDENCYPART_SIBL
(14,2),(14,23),-0.0135239 # DEPENDENCYPART_SIBL
(14,2),(14,24),-0.0565479 # DEPENDENCYPART_SIBL
(14,2),(14,27),0.0267313 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.223878 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.190038 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.163401 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.0890319 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.29078 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.189266 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.0192126 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.0778227 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.00211679 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0678651 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0308573 # DEPENDENCYPART_SIBL
(14,5),(14,21),-0.099498 # DEPENDENCYPART_SIBL
(14,5),(14,22),0.00135381 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.00996105 # DEPENDENCYPART_SIBL
(14,5),(14,24),-0.0678651 # DEPENDENCYPART_SIBL
(14,5),(14,27),-0.099498 # DEPENDENCYPART_SIBL
(14,7),(14,8),0.250705 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.182057 # DEPENDENCYPART_SIBL
(14,7),(14,10),0.497811 # DEPENDENCYPART_SIBL
(14,7),(14,11),0.665993 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.194479 # DEPENDENCYPART_SIBL
(14,7),(14,15),0.37057 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.00691932 # DEPENDENCYPART_SIBL
(14,7),(14,17),0.0474759 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0400029 # DEPENDENCYPART_SIBL
(14,7),(14,20),0.132147 # DEPENDENCYPART_SIBL
(14,7),(14,21),0.114647 # DEPENDENCYPART_SIBL
(14,7),(14,22),0.222709 # DEPENDENCYPART_SIBL
(14,7),(14,23),0.145292 # DEPENDENCYPART_SIBL
(14,7),(14,24),-0.0400029 # DEPENDENCYPART_SIBL
(14,7),(14,27),0.114647 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.0848463 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.456599 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.627425 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0972668 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.244658 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0289233 # DEPENDENCYPART_SIBL
(14,8),(14,17),0.0201377 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0713371 # DEPENDENCYPART_SIBL
(14,8),(14,20),0.0638226 # DEPENDENCYPART_SIBL
(14,8),(14,21),0.0862431 # DEPENDENCYPART_SIBL
(14,8),(14,22),0.155832 # DEPENDENCYPART_SIBL
(14,8),(14,23),0.0766192 # DEPENDENCYPART_SIBL
(14,8),(14,24),-0.0713371 # DEPENDENCYPART_SIBL
(14,8),(14,27),0.0862431 # DEPENDENCYPART_SIBL
(14,9),(14,10),0.477398 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.646908 # DEPENDENCYPART_SIBL
(14,9),(14,13),0.152715 # DEPENDENCYPART_SIBL
(14,9),(14,15),0.12814 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.0653898 # DEPENDENCYPART_SIBL
(14,9),(14,17),-0.0174024 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.112743 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.0211773 # DEPENDENCYPART_SIBL
(14,9),(14,21),0.0486206 # DEPENDENCYPART_SIBL
(14,9),(14,22),0.111663 # DEPENDENCYPART_SIBL
(14,9),(14,23),0.0324506 # DEPENDENCYPART_SIBL
(14,9),(14,24),-0.112743 # DEPENDENCYPART_SIBL
(14,9),(14,27),0.0486206 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.193876 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.0663296 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0402017 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.109104 # DEPENDENCYPART_SIBL
(14,10),(14,17),0.0562143 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.109765 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.144618 # DEPENDENCYPART_SIBL
(14,10),(14,21),-0.575942 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.124284 # DEPENDENCYPART_SIBL
(14,10),(14,23),-0.128787 # DEPENDENCYPART_SIBL
(14,10),(14,24),-0.109765 # DEPENDENCYPART_SIBL
(14,10),(14,27),-0.575942 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.250833 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.179502 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.125309 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0220351 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.103511 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.107491 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.155753 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0770714 # DEPENDENCYPART_SIBL
(14,11),(14,23),-0.0865946 # DEPENDENCYPART_SIBL
(14,11),(14,24),-0.103511 # DEPENDENCYPART_SIBL
(14,11),(14,27),-0.155753 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.148664 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0437717 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0159071 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0863327 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.050632 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.0865995 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.141143 # DEPENDENCYPART_SIBL
(14,13),(14,23),0.0620645 # DEPENDENCYPART_SIBL
(14,13),(14,24),-0.0863327 # DEPENDENCYPART_SIBL
(14,13),(14,27),0.0865995 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0888142 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.482825 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.139024 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.641931 # DEPENDENCYPART_SIBL
(14,15),(14,21),0.0334675 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.618257 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.677137 # DEPENDENCYPART_SIBL
(14,15),(14,24),0.139024 # DEPENDENCYPART_SIBL
(14,15),(14,27),0.0334675 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0397896 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0211492 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0801316 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0124342 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.0869975 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0860796 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.0211492 # DEPENDENCYPART_SIBL
(14,16),(14,27),-0.0124342 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0363368 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0909323 # DEPENDENCYPART_SIBL
(14,17),(14,21),0.00266301 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0981644 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.0968501 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.0363368 # DEPENDENCYPART_SIBL
(14,17),(14,27),0.00266301 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.0153738 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.0714899 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.0178135 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.0205036 # DEPENDENCYPART_SIBL
(14,18),(14,24),-0.266394 # DEPENDENCYPART_SIBL
(14,18),(14,27),-0.0714899 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.0268419 # DEPENDENCYPART_SIBL
(14,20),(14,22),-0.323808 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.306883 # DEPENDENCYPART_SIBL
(14,20),(14,24),-0.0218189 # DEPENDENCYPART_SIBL
(14,20),(14,27),-0.0268419 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.227237 # DEPENDENCYPART_SIBL
(14,21),(14,23),-0.226319 # DEPENDENCYPART_SIBL
(14,21),(14,24),0.00853572 # DEPENDENCYPART_SIBL
(14,21),(14,27),-0.200451 # DEPENDENCYPART_SIBL
(14,22),(14,23),-0.258376 # DEPENDENCYPART_SIBL
(14,22),(14,24),-0.0227725 # DEPENDENCYPART_SIBL
(14,22),(14,27),-0.018069 # DEPENDENCYPART_SIBL
(14,23),(14,24),-0.0157202 # DEPENDENCYPART_SIBL
(14,23),(14,27),-0.0282869 # DEPENDENCYPART_SIBL
(14,24),(14,27),-0.0714899 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.089551 # DEPENDENCYPART_SIBL
(17,1),(17,3),-0.0922908 # DEPENDENCYPART_SIBL
(17,1),(17,4),-0.165152 # DEPENDENCYPART_SIBL
(17,1),(17,5),-0.0848196 # DEPENDENCYPART_SIBL
(17,1),(17,6),-0.101852 # DEPENDENCYPART_SIBL
(17,1),(17,8),-0.0652312 # DEPENDENCYPART_SIBL
(17,1),(17,9),-0.0633501 # DEPENDENCYPART_SIBL
(17,1),(17,10),0.224759 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.0888382 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.0669225 # DEPENDENCYPART_SIBL
(17,1),(17,14),-0.0780102 # DEPENDENCYPART_SIBL
(17,1),(17,15),0.224759 # DEPENDENCYPART_SIBL
(17,1),(17,16),-0.236895 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.0286056 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.0796469 # DEPENDENCYPART_SIBL
(17,1),(17,20),-0.0322573 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0722638 # DEPENDENCYPART_SIBL
(17,1),(17,22),-0.0381075 # DEPENDENCYPART_SIBL
(17,1),(17,23),-0.00524928 # DEPENDENCYPART_SIBL
(17,1),(17,24),-0.0286056 # DEPENDENCYPART_SIBL
(17,1),(17,25),-0.0511793 # DEPENDENCYPART_SIBL
(17,1),(17,26),-0.0669755 # DEPENDENCYPART_SIBL
(17,1),(17,27),-0.0722638 # DEPENDENCYPART_SIBL
(17,1),(17,28),0.0409643 # DEPENDENCYPART_SIBL
(17,1),(17,29),0.118264 # DEPENDENCYPART_SIBL
(17,3),(17,4),-0.0430556 # DEPENDENCYPART_SIBL
(17,3),(17,5),-0.0464141 # DEPENDENCYPART_SIBL
(17,3),(17,6),-0.0725973 # DEPENDENCYPART_SIBL
(17,3),(17,8),-0.0486174 # DEPENDENCYPART_SIBL
(17,3),(17,9),-0.0469465 # DEPENDENCYPART_SIBL
(17,3),(17,10),0.485415 # DEPENDENCYPART_SIBL
(17,3),(17,11),-0.0619131 # DEPENDENCYPART_SIBL
(17,3),(17,13),-0.047486 # DEPENDENCYPART_SIBL
(17,3),(17,14),-0.0647943 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.485415 # DEPENDENCYPART_SIBL
(17,3),(17,16),-0.129467 # DEPENDENCYPART_SIBL
(17,3),(17,18),-0.0758091 # DEPENDENCYPART_SIBL
(17,3),(17,19),-0.0603682 # DEPENDENCYPART_SIBL
(17,3),(17,20),0.0459627 # DEPENDENCYPART_SIBL
(17,3),(17,21),-0.0633654 # DEPENDENCYPART_SIBL
(17,3),(17,22),0.034163 # DEPENDENCYPART_SIBL
(17,3),(17,23),0.0577931 # DEPENDENCYPART_SIBL
(17,3),(17,24),-0.0758091 # DEPENDENCYPART_SIBL
(17,3),(17,25),-0.0357049 # DEPENDENCYPART_SIBL
(17,3),(17,26),0.0780178 # DEPENDENCYPART_SIBL
(17,3),(17,27),-0.0633654 # DEPENDENCYPART_SIBL
(17,3),(17,28),0.0251258 # DEPENDENCYPART_SIBL
(17,3),(17,29),0.0698784 # DEPENDENCYPART_SIBL
(17,4),(17,5),-0.0184971 # DEPENDENCYPART_SIBL
(17,4),(17,6),-0.0692565 # DEPENDENCYPART_SIBL
(17,4),(17,8),-0.0356152 # DEPENDENCYPART_SIBL
(17,4),(17,9),-0.0337342 # DEPENDENCYPART_SIBL
(17,4),(17,10),0.280669 # DEPENDENCYPART_SIBL
(17,4),(17,11),-0.0226527 # DEPENDENCYPART_SIBL
(17,4),(17,13),-0.0373066 # DEPENDENCYPART_SIBL
(17,4),(17,14),-0.0483943 # DEPENDENCYPART_SIBL
(17,4),(17,15),0.280669 # DEPENDENCYPART_SIBL
(17,4),(17,16),-0.204123 # DEPENDENCYPART_SIBL
(17,4),(17,18),-0.0191828 # DEPENDENCYPART_SIBL
(17,4),(17,19),-0.0371699 # DEPENDENCYPART_SIBL
(17,4),(17,20),0.00540511 # DEPENDENCYPART_SIBL
(17,4),(17,21),-0.00878419 # DEPENDENCYPART_SIBL
(17,4),(17,22),-0.000863917 # DEPENDENCYPART_SIBL
(17,4),(17,23),0.0325428 # DEPENDENCYPART_SIBL
(17,4),(17,24),-0.0191828 # DEPENDENCYPART_SIBL
(17,4),(17,25),-0.00753209 # DEPENDENCYPART_SIBL
(17,4),(17,26),-0.0361644 # DEPENDENCYPART_SIBL
(17,4),(17,27),-0.00878419 # DEPENDENCYPART_SIBL
(17,4),(17,28),0.0732795 # DEPENDENCYPART_SIBL
(17,4),(17,29),0.0813046 # DEPENDENCYPART_SIBL
(17,5),(17,6),-0.177267 # DEPENDENCYPART_SIBL
(17,5),(17,8),-0.389805 # DEPENDENCYPART_SIBL
(17,5),(17,9),-0.391249 # DEPENDENCYPART_SIBL
(17,5),(17,10),-0.0400151 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.525802 # DEPENDENCYPART_SIBL
(17,5),(17,13),-0.387741 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.410237 # DEPENDENCYPART_SIBL
(17,5),(17,15),-0.0400151 # DEPENDENCYPART_SIBL
(17,5),(17,16),-0.324181 # DEPENDENCYPART_SIBL
(17,5),(17,18),-0.0192323 # DEPENDENCYPART_SIBL
(17,5),(17,19),-0.118046 # DEPENDENCYPART_SIBL
(17,5),(17,20),-0.0149603 # DEPENDENCYPART_SIBL
(17,5),(17,21),0.00120787 # DEPENDENCYPART_SIBL
(17,5),(17,22),-0.0238541 # DEPENDENCYPART_SIBL
(17,5),(17,23),-0.000843321 # DEPENDENCYPART_SIBL
(17,5),(17,24),-0.0192323 # DEPENDENCYPART_SIBL
(17,5),(17,25),-0.0444833 # DEPENDENCYPART_SIBL
(17,5),(17,26),0.0249822 # DEPENDENCYPART_SIBL
(17,5),(17,27),0.00120787 # DEPENDENCYPART_SIBL
(17,5),(17,28),0.0178557 # DEPENDENCYPART_SIBL
(17,5),(17,29),0.0270813 # DEPENDENCYPART_SIBL
(17,6),(17,8),-0.0143 # DEPENDENCYPART_SIBL
(17,6),(17,9),-0.0126716 # DEPENDENCYPART_SIBL
(17,6),(17,10),0.168309 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.019862 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.00718738 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.031768 # DEPENDENCYPART_SIBL
(17,6),(17,15),0.168309 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.1803 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.00584065 # DEPENDENCYPART_SIBL
(17,6),(17,19),-0.0463967 # DEPENDENCYPART_SIBL
(17,6),(17,20),0.0543336 # DEPENDENCYPART_SIBL
(17,6),(17,21),-0.0275615 # DEPENDENCYPART_SIBL
(17,6),(17,22),0.0474897 # DEPENDENCYPART_SIBL
(17,6),(17,23),0.0686228 # DEPENDENCYPART_SIBL
(17,6),(17,24),-0.00584065 # DEPENDENCYPART_SIBL
(17,6),(17,25),-0.0120554 # DEPENDENCYPART_SIBL
(17,6),(17,26),0.0682556 # DEPENDENCYPART_SIBL
(17,6),(17,27),-0.0275615 # DEPENDENCYPART_SIBL
(17,6),(17,28),0.0356761 # DEPENDENCYPART_SIBL
(17,6),(17,29),0.0860468 # DEPENDENCYPART_SIBL
(17,8),(17,9),-0.492393 # DEPENDENCYPART_SIBL
(17,8),(17,10),-0.0560044 # DEPENDENCYPART_SIBL
(17,8),(17,11),-0.151541 # DEPENDENCYPART_SIBL
(17,8),(17,13),-0.496173 # DEPENDENCYPART_SIBL
(17,8),(17,14),-0.510186 # DEPENDENCYPART_SIBL
(17,8),(17,15),-0.0560044 # DEPENDENCYPART_SIBL
(17,8),(17,16),-0.319048 # DEPENDENCYPART_SIBL
(17,8),(17,18),-0.0649797 # DEPENDENCYPART_SIBL
(17,8),(17,19),-0.114462 # DEPENDENCYPART_SIBL
(17,8),(17,20),-0.00564635 # DEPENDENCYPART_SIBL
(17,8),(17,21),-0.0186882 # DEPENDENCYPART_SIBL
(17,8),(17,22),0.0149611 # DEPENDENCYPART_SIBL
(17,8),(17,23),0.00505941 # DEPENDENCYPART_SIBL
(17,8),(17,24),-0.0649797 # DEPENDENCYPART_SIBL
(17,8),(17,25),-0.0547079 # DEPENDENCYPART_SIBL
(17,8),(17,26),0.0448868 # DEPENDENCYPART_SIBL
(17,8),(17,27),-0.0186882 # DEPENDENCYPART_SIBL
(17,8),(17,28),-0.0363409 # DEPENDENCYPART_SIBL
(17,8),(17,29),-0.0209903 # DEPENDENCYPART_SIBL
(17,9),(17,10),-0.0496723 # DEPENDENCYPART_SIBL
(17,9),(17,11),-0.147918 # DEPENDENCYPART_SIBL
(17,9),(17,13),-0.475565 # DEPENDENCYPART_SIBL
(17,9),(17,14),-0.489578 # DEPENDENCYPART_SIBL
(17,9),(17,15),-0.0496723 # DEPENDENCYPART_SIBL
(17,9),(17,16),-0.317172 # DEPENDENCYPART_SIBL
(17,9),(17,18),-0.0737534 # DEPENDENCYPART_SIBL
(17,9),(17,19),-0.113361 # DEPENDENCYPART_SIBL
(17,9),(17,20),-0.00454453 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.018156 # DEPENDENCYPART_SIBL
(17,9),(17,22),0.0153012 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.00539952 # DEPENDENCYPART_SIBL
(17,9),(17,24),-0.0737534 # DEPENDENCYPART_SIBL
(17,9),(17,25),-0.0526266 # DEPENDENCYPART_SIBL
(17,9),(17,26),0.0452269 # DEPENDENCYPART_SIBL
(17,9),(17,27),-0.018156 # DEPENDENCYPART_SIBL
(17,9),(17,28),-0.0341298 # DEPENDENCYPART_SIBL
(17,9),(17,29),0.000804112 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0589671 # DEPENDENCYPART_SIBL
(17,10),(17,13),0.00297258 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.00647794 # DEPENDENCYPART_SIBL
(17,10),(17,15),0.00836431 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.313891 # DEPENDENCYPART_SIBL
(17,10),(17,18),0.036392 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0286374 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.0290072 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.208766 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.013588 # DEPENDENCYPART_SIBL
(17,10),(17,23),0.0468154 # DEPENDENCYPART_SIBL
(17,10),(17,24),0.036392 # DEPENDENCYPART_SIBL
(17,10),(17,25),-0.0608377 # DEPENDENCYPART_SIBL
(17,10),(17,26),-0.0364111 # DEPENDENCYPART_SIBL
(17,10),(17,27),-0.208766 # DEPENDENCYPART_SIBL
(17,10),(17,28),0.0520582 # DEPENDENCYPART_SIBL
(17,10),(17,29),0.140932 # DEPENDENCYPART_SIBL
(17,11),(17,13),-0.374626 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.397343 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.071156 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.303362 # DEPENDENCYPART_SIBL
(17,11),(17,18),0.00707642 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.114873 # DEPENDENCYPART_SIBL
(17,11),(17,20),-0.0191386 # DEPENDENCYPART_SIBL
(17,11),(17,21),0.00240442 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.028928 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.00502139 # DEPENDENCYPART_SIBL
(17,11),(17,24),0.00707642 # DEPENDENCYPART_SIBL
(17,11),(17,25),-0.0343328 # DEPENDENCYPART_SIBL
(17,11),(17,26),0.0195665 # DEPENDENCYPART_SIBL
(17,11),(17,27),0.00240442 # DEPENDENCYPART_SIBL
(17,11),(17,28),0.0197536 # DEPENDENCYPART_SIBL
(17,11),(17,29),-0.00619674 # DEPENDENCYPART_SIBL
(17,13),(17,14),-0.506971 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0430179 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.317657 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.0167375 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0659637 # DEPENDENCYPART_SIBL
(17,13),(17,20),0.0509472 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.0369738 # DEPENDENCYPART_SIBL
(17,13),(17,22),0.0707335 # DEPENDENCYPART_SIBL
(17,13),(17,23),0.0609657 # DEPENDENCYPART_SIBL
