# _root_ On Oct. 16 , 1987 -- the Friday before the Black Monday crash -- the New York market dropped 4.6 % , and Tokyo followed on Monday with a 2.4 % drop .
#goldHeads=19,1,2,2,2,8,8,2,8,13,13,13,9,8,18,18,18,19,0,21,19,19,19,25,23,25,26,25,32,31,32,28,19,
#predictedHeads=19,1,2,2,2,9,8,9,19,13,13,13,9,9,18,18,18,19,0,21,19,19,19,25,23,25,26,25,32,31,32,28,19,
(18,15),(18,21),-0.245079 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0388687 # DEPENDENCYPART_SIBL
(18,15),(18,25),0.0651346 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.186007 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.125943 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0614801 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.23263 # DEPENDENCYPART_SIBL
(18,16),(18,25),0.171843 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0347795 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.102635 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.000241621 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.0806124 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0306962 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.279254 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.218182 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.00204412 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.0241855 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.629464 # DEPENDENCYPART_SIBL
(19,1),(19,2),-0.0811492 # DEPENDENCYPART_SIBL
(19,1),(19,3),-0.0711486 # DEPENDENCYPART_SIBL
(19,1),(19,4),0.26173 # DEPENDENCYPART_SIBL
(19,1),(19,5),-0.0820276 # DEPENDENCYPART_SIBL
(19,1),(19,6),-0.0572479 # DEPENDENCYPART_SIBL
(19,1),(19,7),-0.0693516 # DEPENDENCYPART_SIBL
(19,1),(19,8),0.120315 # DEPENDENCYPART_SIBL
(19,1),(19,9),-0.169457 # DEPENDENCYPART_SIBL
(19,1),(19,11),-0.0598218 # DEPENDENCYPART_SIBL
(19,1),(19,12),0.0904109 # DEPENDENCYPART_SIBL
(19,1),(19,13),-0.0727964 # DEPENDENCYPART_SIBL
(19,1),(19,14),-0.0572479 # DEPENDENCYPART_SIBL
(19,1),(19,15),-0.0693516 # DEPENDENCYPART_SIBL
(19,1),(19,16),-0.0379405 # DEPENDENCYPART_SIBL
(19,1),(19,17),-0.0858788 # DEPENDENCYPART_SIBL
(19,1),(19,18),-0.0797513 # DEPENDENCYPART_SIBL
(19,1),(19,20),0.0376625 # DEPENDENCYPART_SIBL
(19,1),(19,21),0.0165872 # DEPENDENCYPART_SIBL
(19,1),(19,22),0.118997 # DEPENDENCYPART_SIBL
(19,1),(19,23),0.0604835 # DEPENDENCYPART_SIBL
(19,1),(19,24),0.00810843 # DEPENDENCYPART_SIBL
(19,1),(19,25),-0.0293794 # DEPENDENCYPART_SIBL
(19,1),(19,26),0.0509831 # DEPENDENCYPART_SIBL
(19,1),(19,27),0.0234273 # DEPENDENCYPART_SIBL
(19,1),(19,28),0.162849 # DEPENDENCYPART_SIBL
(19,1),(19,32),0.00249505 # DEPENDENCYPART_SIBL
(19,1),(19,33),0.128786 # DEPENDENCYPART_SIBL
(19,2),(19,3),-0.152159 # DEPENDENCYPART_SIBL
(19,2),(19,4),-0.00372335 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.182647 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.0731063 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.298784 # DEPENDENCYPART_SIBL
(19,2),(19,8),-0.303734 # DEPENDENCYPART_SIBL
(19,2),(19,9),0.00452636 # DEPENDENCYPART_SIBL
(19,2),(19,11),-0.363822 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.343599 # DEPENDENCYPART_SIBL
(19,2),(19,13),-0.193005 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.0731063 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.298784 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.404928 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.393856 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.200883 # DEPENDENCYPART_SIBL
(19,2),(19,20),0.00355849 # DEPENDENCYPART_SIBL
(19,2),(19,21),-0.112818 # DEPENDENCYPART_SIBL
(19,2),(19,22),0.0408302 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.00603218 # DEPENDENCYPART_SIBL
(19,2),(19,24),-0.0480702 # DEPENDENCYPART_SIBL
(19,2),(19,25),-0.00436914 # DEPENDENCYPART_SIBL
(19,2),(19,26),0.0762119 # DEPENDENCYPART_SIBL
(19,2),(19,27),-0.0512574 # DEPENDENCYPART_SIBL
(19,2),(19,28),0.0564749 # DEPENDENCYPART_SIBL
(19,2),(19,32),-0.0294043 # DEPENDENCYPART_SIBL
(19,2),(19,33),-0.0859249 # DEPENDENCYPART_SIBL
(19,3),(19,4),-0.10426 # DEPENDENCYPART_SIBL
(19,3),(19,5),-0.186357 # DEPENDENCYPART_SIBL
(19,3),(19,6),-0.096802 # DEPENDENCYPART_SIBL
(19,3),(19,7),-0.277999 # DEPENDENCYPART_SIBL
(19,3),(19,8),-0.0437724 # DEPENDENCYPART_SIBL
(19,3),(19,9),-0.0792248 # DEPENDENCYPART_SIBL
(19,3),(19,11),-0.102044 # DEPENDENCYPART_SIBL
(19,3),(19,12),-0.0535384 # DEPENDENCYPART_SIBL
(19,3),(19,13),-0.152926 # DEPENDENCYPART_SIBL
(19,3),(19,14),-0.096802 # DEPENDENCYPART_SIBL
(19,3),(19,15),-0.277999 # DEPENDENCYPART_SIBL
(19,3),(19,16),-0.0907869 # DEPENDENCYPART_SIBL
(19,3),(19,17),-0.126487 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.189549 # DEPENDENCYPART_SIBL
(19,3),(19,20),-0.0471017 # DEPENDENCYPART_SIBL
(19,3),(19,21),0.069315 # DEPENDENCYPART_SIBL
(19,3),(19,22),0.0371077 # DEPENDENCYPART_SIBL
(19,3),(19,23),0.0179634 # DEPENDENCYPART_SIBL
(19,3),(19,24),-0.0374211 # DEPENDENCYPART_SIBL
(19,3),(19,25),-0.049185 # DEPENDENCYPART_SIBL
(19,3),(19,26),-0.0111858 # DEPENDENCYPART_SIBL
(19,3),(19,27),-0.0170164 # DEPENDENCYPART_SIBL
(19,3),(19,28),-0.0692495 # DEPENDENCYPART_SIBL
(19,3),(19,32),0.0116876 # DEPENDENCYPART_SIBL
(19,3),(19,33),-0.0506065 # DEPENDENCYPART_SIBL
(19,4),(19,5),0.0318583 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.0727692 # DEPENDENCYPART_SIBL
(19,4),(19,7),-0.0912681 # DEPENDENCYPART_SIBL
(19,4),(19,8),0.0126261 # DEPENDENCYPART_SIBL
(19,4),(19,9),0.035511 # DEPENDENCYPART_SIBL
(19,4),(19,11),0.0448171 # DEPENDENCYPART_SIBL
(19,4),(19,12),0.001193 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.00839134 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.0727692 # DEPENDENCYPART_SIBL
(19,4),(19,15),-0.0912681 # DEPENDENCYPART_SIBL
(19,4),(19,16),0.00369127 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.0516195 # DEPENDENCYPART_SIBL
(19,4),(19,18),-0.0404448 # DEPENDENCYPART_SIBL
(19,4),(19,20),-0.036902 # DEPENDENCYPART_SIBL
(19,4),(19,21),0.0346725 # DEPENDENCYPART_SIBL
(19,4),(19,22),0.102783 # DEPENDENCYPART_SIBL
(19,4),(19,23),-0.0648668 # DEPENDENCYPART_SIBL
(19,4),(19,24),-0.0214414 # DEPENDENCYPART_SIBL
(19,4),(19,25),-0.0577509 # DEPENDENCYPART_SIBL
(19,4),(19,26),0.0417894 # DEPENDENCYPART_SIBL
(19,4),(19,27),0.0115446 # DEPENDENCYPART_SIBL
(19,4),(19,28),0.0560224 # DEPENDENCYPART_SIBL
(19,4),(19,32),-0.00883336 # DEPENDENCYPART_SIBL
(19,4),(19,33),0.0873045 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.0969952 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.280164 # DEPENDENCYPART_SIBL
(19,5),(19,8),-0.0757771 # DEPENDENCYPART_SIBL
(19,5),(19,9),-0.0818625 # DEPENDENCYPART_SIBL
(19,5),(19,11),-0.131863 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.0833571 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.140327 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.0969952 # DEPENDENCYPART_SIBL
(19,5),(19,15),-0.280164 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.121896 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.156306 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.182696 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.0526186 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.0532073 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.00162651 # DEPENDENCYPART_SIBL
(19,5),(19,23),-0.0383475 # DEPENDENCYPART_SIBL
(19,5),(19,24),-0.0570975 # DEPENDENCYPART_SIBL
(19,5),(19,25),-0.0540927 # DEPENDENCYPART_SIBL
(19,5),(19,26),-0.0361227 # DEPENDENCYPART_SIBL
(19,5),(19,27),-0.0440874 # DEPENDENCYPART_SIBL
(19,5),(19,28),-0.0941586 # DEPENDENCYPART_SIBL
(19,5),(19,32),-0.0123317 # DEPENDENCYPART_SIBL
(19,5),(19,33),-0.0618301 # DEPENDENCYPART_SIBL
(19,6),(19,7),0.154552 # DEPENDENCYPART_SIBL
(19,6),(19,8),0.108478 # DEPENDENCYPART_SIBL
(19,6),(19,9),0.0477432 # DEPENDENCYPART_SIBL
(19,6),(19,11),0.0600104 # DEPENDENCYPART_SIBL
(19,6),(19,12),0.0969827 # DEPENDENCYPART_SIBL
(19,6),(19,13),0.00560407 # DEPENDENCYPART_SIBL
(19,6),(19,14),0.104004 # DEPENDENCYPART_SIBL
(19,6),(19,15),0.154552 # DEPENDENCYPART_SIBL
(19,6),(19,16),0.0641489 # DEPENDENCYPART_SIBL
(19,6),(19,17),0.0308304 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.0291941 # DEPENDENCYPART_SIBL
(19,6),(19,20),-0.0562307 # DEPENDENCYPART_SIBL
(19,6),(19,21),-0.0407993 # DEPENDENCYPART_SIBL
(19,6),(19,22),-0.0379568 # DEPENDENCYPART_SIBL
(19,6),(19,23),-0.120353 # DEPENDENCYPART_SIBL
(19,6),(19,24),-0.0544314 # DEPENDENCYPART_SIBL
(19,6),(19,25),-0.135933 # DEPENDENCYPART_SIBL
(19,6),(19,26),-0.0196522 # DEPENDENCYPART_SIBL
(19,6),(19,27),-0.0262378 # DEPENDENCYPART_SIBL
(19,6),(19,28),0.0251179 # DEPENDENCYPART_SIBL
(19,6),(19,32),-0.0237714 # DEPENDENCYPART_SIBL
(19,6),(19,33),-0.0590422 # DEPENDENCYPART_SIBL
(19,7),(19,8),-0.0944746 # DEPENDENCYPART_SIBL
(19,7),(19,9),-0.133296 # DEPENDENCYPART_SIBL
(19,7),(19,11),-0.192524 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.180901 # DEPENDENCYPART_SIBL
(19,7),(19,13),-0.172227 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.160395 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.582821 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.170142 # DEPENDENCYPART_SIBL
(19,7),(19,17),-0.248716 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.154691 # DEPENDENCYPART_SIBL
(19,7),(19,20),-0.176826 # DEPENDENCYPART_SIBL
(19,7),(19,21),-0.217139 # DEPENDENCYPART_SIBL
(19,7),(19,22),-0.107261 # DEPENDENCYPART_SIBL
(19,7),(19,23),-0.15358 # DEPENDENCYPART_SIBL
(19,7),(19,24),-0.192202 # DEPENDENCYPART_SIBL
(19,7),(19,25),0.0188761 # DEPENDENCYPART_SIBL
(19,7),(19,26),-0.0498958 # DEPENDENCYPART_SIBL
(19,7),(19,27),-0.129124 # DEPENDENCYPART_SIBL
(19,7),(19,28),-0.31566 # DEPENDENCYPART_SIBL
(19,7),(19,32),-0.152521 # DEPENDENCYPART_SIBL
(19,7),(19,33),-0.214881 # DEPENDENCYPART_SIBL
(19,8),(19,9),0.104021 # DEPENDENCYPART_SIBL
(19,8),(19,11),-0.280981 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.262238 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.0804305 # DEPENDENCYPART_SIBL
(19,8),(19,14),0.00266401 # DEPENDENCYPART_SIBL
(19,8),(19,15),-0.206808 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.321465 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.3103 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.0864817 # DEPENDENCYPART_SIBL
(19,8),(19,20),-0.00892647 # DEPENDENCYPART_SIBL
(19,8),(19,21),-0.107388 # DEPENDENCYPART_SIBL
(19,8),(19,22),0.0495817 # DEPENDENCYPART_SIBL
(19,8),(19,23),-0.0115054 # DEPENDENCYPART_SIBL
(19,8),(19,24),-0.0329288 # DEPENDENCYPART_SIBL
(19,8),(19,25),0.030558 # DEPENDENCYPART_SIBL
(19,8),(19,26),0.0145368 # DEPENDENCYPART_SIBL
(19,8),(19,27),-0.0388032 # DEPENDENCYPART_SIBL
(19,8),(19,28),0.0291086 # DEPENDENCYPART_SIBL
(19,8),(19,32),-0.0216837 # DEPENDENCYPART_SIBL
(19,8),(19,33),0.0608401 # DEPENDENCYPART_SIBL
(19,9),(19,11),-0.00150522 # DEPENDENCYPART_SIBL
(19,9),(19,12),0.146937 # DEPENDENCYPART_SIBL
(19,9),(19,13),-0.0668199 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.00883673 # DEPENDENCYPART_SIBL
(19,9),(19,15),-0.0647034 # DEPENDENCYPART_SIBL
(19,9),(19,16),0.00874384 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0392529 # DEPENDENCYPART_SIBL
(19,9),(19,18),-0.0783129 # DEPENDENCYPART_SIBL
(19,9),(19,20),0.0335382 # DEPENDENCYPART_SIBL
(19,9),(19,21),0.0397735 # DEPENDENCYPART_SIBL
(19,9),(19,22),0.00944127 # DEPENDENCYPART_SIBL
(19,9),(19,23),0.0284064 # DEPENDENCYPART_SIBL
(19,9),(19,24),-0.044554 # DEPENDENCYPART_SIBL
(19,9),(19,25),-0.0534521 # DEPENDENCYPART_SIBL
(19,9),(19,26),-0.0354093 # DEPENDENCYPART_SIBL
(19,9),(19,27),-0.021287 # DEPENDENCYPART_SIBL
(19,9),(19,28),0.0419436 # DEPENDENCYPART_SIBL
(19,9),(19,32),0.0135507 # DEPENDENCYPART_SIBL
(19,9),(19,33),0.0351882 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.432504 # DEPENDENCYPART_SIBL
(19,11),(19,13),-0.22666 # DEPENDENCYPART_SIBL
(19,11),(19,14),-0.123585 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.349146 # DEPENDENCYPART_SIBL
(19,11),(19,16),-0.492733 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.481664 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.244645 # DEPENDENCYPART_SIBL
(19,11),(19,20),0.00654883 # DEPENDENCYPART_SIBL
(19,11),(19,21),-0.107544 # DEPENDENCYPART_SIBL
(19,11),(19,22),0.0401086 # DEPENDENCYPART_SIBL
(19,11),(19,23),0.0359433 # DEPENDENCYPART_SIBL
(19,11),(19,24),-0.0260597 # DEPENDENCYPART_SIBL
(19,11),(19,25),0.00998095 # DEPENDENCYPART_SIBL
(19,11),(19,26),0.0759922 # DEPENDENCYPART_SIBL
(19,11),(19,27),-0.0292469 # DEPENDENCYPART_SIBL
(19,11),(19,28),0.0898726 # DEPENDENCYPART_SIBL
(19,11),(19,32),-0.0235307 # DEPENDENCYPART_SIBL
(19,11),(19,33),-0.0278411 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.0962673 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.0451044 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.274362 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.423459 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.410289 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.113651 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0446851 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.115646 # DEPENDENCYPART_SIBL
(19,12),(19,22),0.0604338 # DEPENDENCYPART_SIBL
(19,12),(19,23),-0.015659 # DEPENDENCYPART_SIBL
(19,12),(19,24),-0.0362427 # DEPENDENCYPART_SIBL
(19,12),(19,25),-0.00475284 # DEPENDENCYPART_SIBL
(19,12),(19,26),0.0265302 # DEPENDENCYPART_SIBL
(19,12),(19,27),-0.0394299 # DEPENDENCYPART_SIBL
(19,12),(19,28),0.0199379 # DEPENDENCYPART_SIBL
(19,12),(19,32),-0.0303325 # DEPENDENCYPART_SIBL
(19,12),(19,33),0.0129847 # DEPENDENCYPART_SIBL
(19,13),(19,14),-0.0823619 # DEPENDENCYPART_SIBL
(19,13),(19,15),-0.423683 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.385256 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.402522 # DEPENDENCYPART_SIBL
(19,13),(19,18),-0.539028 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0599688 # DEPENDENCYPART_SIBL
(19,13),(19,21),0.0148101 # DEPENDENCYPART_SIBL
(19,13),(19,22),0.0183263 # DEPENDENCYPART_SIBL
(19,13),(19,23),-0.0457861 # DEPENDENCYPART_SIBL
(19,13),(19,24),-0.042206 # DEPENDENCYPART_SIBL
(19,13),(19,25),-0.0418655 # DEPENDENCYPART_SIBL
(19,13),(19,26),0.0100307 # DEPENDENCYPART_SIBL
(19,13),(19,27),0.0127332 # DEPENDENCYPART_SIBL
(19,13),(19,28),-0.0286428 # DEPENDENCYPART_SIBL
(19,13),(19,32),0.0189254 # DEPENDENCYPART_SIBL
(19,13),(19,33),-0.0195561 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.154552 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0641489 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0308304 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.0291941 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0562307 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.0407993 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0379568 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.120353 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.0544314 # DEPENDENCYPART_SIBL
(19,14),(19,25),-0.135933 # DEPENDENCYPART_SIBL
(19,14),(19,26),-0.0196522 # DEPENDENCYPART_SIBL
(19,14),(19,27),-0.0262378 # DEPENDENCYPART_SIBL
(19,14),(19,28),0.0251179 # DEPENDENCYPART_SIBL
(19,14),(19,32),-0.0237714 # DEPENDENCYPART_SIBL
(19,14),(19,33),-0.0590422 # DEPENDENCYPART_SIBL
(19,15),(19,16),-0.170142 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.248716 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.154691 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.176826 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.217139 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.107261 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.15358 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.192202 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.0188761 # DEPENDENCYPART_SIBL
(19,15),(19,26),-0.0498958 # DEPENDENCYPART_SIBL
(19,15),(19,27),-0.129124 # DEPENDENCYPART_SIBL
(19,15),(19,28),-0.31566 # DEPENDENCYPART_SIBL
(19,15),(19,32),-0.152521 # DEPENDENCYPART_SIBL
(19,15),(19,33),-0.214881 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.346742 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.238579 # DEPENDENCYPART_SIBL
(19,16),(19,20),3.75435e-05 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.155814 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.0272564 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0475946 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0262865 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.0109026 # DEPENDENCYPART_SIBL
(19,16),(19,26),0.0794253 # DEPENDENCYPART_SIBL
(19,16),(19,27),-0.0315514 # DEPENDENCYPART_SIBL
(19,16),(19,28),0.00568513 # DEPENDENCYPART_SIBL
(19,16),(19,32),-0.0696492 # DEPENDENCYPART_SIBL
(19,16),(19,33),-0.0804126 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.237286 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0383456 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.155878 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.00824853 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0668994 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0854344 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0413951 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0215486 # DEPENDENCYPART_SIBL
(19,17),(19,27),-0.089421 # DEPENDENCYPART_SIBL
(19,17),(19,28),-0.0148871 # DEPENDENCYPART_SIBL
(19,17),(19,32),-0.0665735 # DEPENDENCYPART_SIBL
(19,17),(19,33),-0.158114 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.038325 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.00669165 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0780902 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0588597 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.00444062 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.0487487 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.0907413 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.0626556 # DEPENDENCYPART_SIBL
(19,18),(19,28),0.0126273 # DEPENDENCYPART_SIBL
(19,18),(19,32),0.019596 # DEPENDENCYPART_SIBL
(19,18),(19,33),-0.0446041 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.193272 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.0335597 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.0644147 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0863934 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.0675457 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.0196824 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.0280757 # DEPENDENCYPART_SIBL
(19,20),(19,28),-0.0488539 # DEPENDENCYPART_SIBL
(19,20),(19,32),-0.120275 # DEPENDENCYPART_SIBL
(19,20),(19,33),-0.0309236 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0357405 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0433377 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.111347 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0365279 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.00776293 # DEPENDENCYPART_SIBL
(19,21),(19,27),0.0212017 # DEPENDENCYPART_SIBL
(19,21),(19,28),-0.04654 # DEPENDENCYPART_SIBL
(19,21),(19,32),-0.034215 # DEPENDENCYPART_SIBL
(19,21),(19,33),-0.0482321 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.553236 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.025732 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.527338 # DEPENDENCYPART_SIBL
(19,22),(19,26),0.172176 # DEPENDENCYPART_SIBL
(19,22),(19,27),0.0390945 # DEPENDENCYPART_SIBL
(19,22),(19,28),0.405029 # DEPENDENCYPART_SIBL
(19,22),(19,32),0.237165 # DEPENDENCYPART_SIBL
(19,22),(19,33),0.0709822 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.128483 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.0560305 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.169467 # DEPENDENCYPART_SIBL
(19,23),(19,27),-0.0191421 # DEPENDENCYPART_SIBL
(19,23),(19,28),-0.17968 # DEPENDENCYPART_SIBL
(19,23),(19,32),-0.109743 # DEPENDENCYPART_SIBL
(19,23),(19,33),-0.0189778 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.00291863 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.0365745 # DEPENDENCYPART_SIBL
(19,24),(19,27),-0.115096 # DEPENDENCYPART_SIBL
(19,24),(19,28),0.0338946 # DEPENDENCYPART_SIBL
(19,24),(19,32),-0.0856109 # DEPENDENCYPART_SIBL
(19,24),(19,33),-0.024656 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.192025 # DEPENDENCYPART_SIBL
(19,25),(19,27),-0.0971299 # DEPENDENCYPART_SIBL
(19,25),(19,28),-0.164291 # DEPENDENCYPART_SIBL
(19,25),(19,32),-0.186272 # DEPENDENCYPART_SIBL
(19,25),(19,33),0.0116579 # DEPENDENCYPART_SIBL
(19,26),(19,27),0.130331 # DEPENDENCYPART_SIBL
(19,26),(19,28),-0.141809 # DEPENDENCYPART_SIBL
(19,26),(19,32),-0.0510231 # DEPENDENCYPART_SIBL
(19,26),(19,33),0.0108896 # DEPENDENCYPART_SIBL
(19,27),(19,28),0.175124 # DEPENDENCYPART_SIBL
(19,27),(19,32),-0.0444856 # DEPENDENCYPART_SIBL
(19,27),(19,33),0.038992 # DEPENDENCYPART_SIBL
(19,28),(19,32),-0.0541744 # DEPENDENCYPART_SIBL
(19,28),(19,33),0.000104661 # DEPENDENCYPART_SIBL
(19,32),(19,33),-0.0277858 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0418436 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0455601 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.0293593 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.142168 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.00688491 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0543634 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0565131 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0157194 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.00140293 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.000714906 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0549707 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.0721042 # DEPENDENCYPART_SIBL
(20,21),(20,23),0.0973857 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.00672593 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0209642 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.445627 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.499541 # DEPENDENCYPART_SIBL
