# _root_ `` It was simply overbought , '' he said , and selling by funds that are computer guided helped depress prices .
#goldHeads=3,3,9,3,3,3,3,9,0,9,3,19,12,13,16,14,16,17,11,19,20,3,
#predictedHeads=9,3,9,3,3,9,9,9,0,9,9,11,12,13,16,14,16,16,18,19,20,3,
(5,6),(5,13),0.245787 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.178514 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.263769 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.182836 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0429233 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0667712 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0498304 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0134347 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.396165 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.322445 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.458505 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0732268 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.128744 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.17656 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.00231158 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0125777 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0440359 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0421392 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0905348 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.103626 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0757891 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0337596 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0302701 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0172635 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0899649 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0346345 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0194041 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0363457 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.194623 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.202331 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.187787 # DEPENDENCYPART_SIBL
(5,9),(5,22),0.036004 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.391544 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.752325 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.245787 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.178514 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.263769 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.182836 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.0429233 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0236261 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0768394 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.000306052 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.111959 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0982892 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0229812 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0829564 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.266559 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.134387 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.265997 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0160759 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.238911 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.129741 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.029048 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.0910744 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0335344 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.130537 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.137097 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.162566 # DEPENDENCYPART_SIBL
(5,16),(5,22),0.0450026 # DEPENDENCYPART_SIBL
(5,17),(5,22),0.0220516 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0104286 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0182579 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00223025 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0466515 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.027546 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.251886 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0133874 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0357967 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00587975 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.137572 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0356245 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0955058 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0486424 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.011412 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00648152 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.21092 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.276617 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0259789 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0301861 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0306078 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.138127 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0078148 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.236078 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.142587 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.097662 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.060558 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0423957 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.103118 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.160256 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00935251 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.291948 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0865087 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.042011 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0102503 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0419258 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.66644 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0917643 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.00505523 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0449369 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0261102 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.141754 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0853578 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0718848 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0509207 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0366994 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0225318 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0520519 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0606397 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.000118082 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.166163 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0056501 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0487132 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0461608 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.308466 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.604635 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00897347 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0851324 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.096369 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.394528 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0314527 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0582379 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0595811 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0525911 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0743268 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.312413 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0597658 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.132649 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0367653 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.121771 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.067893 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.100168 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.045081 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.131068 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.100023 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.415924 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.148431 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.252527 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.027515 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0478413 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0675517 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.639803 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0163318 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0545929 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.153984 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.122634 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.101846 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.00302226 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0878155 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.00219171 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.00798525 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.194105 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.18068 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0957881 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.102487 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0686261 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0592985 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0749772 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0371078 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0901852 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.13172 # DEPENDENCYPART_SIBL
(9,3),(9,15),0.0126797 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.08201 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0985772 # DEPENDENCYPART_SIBL
(9,3),(9,22),0.0585087 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0151038 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.105158 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.169563 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.134226 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.143075 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0651639 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.00640915 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.00453221 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.137412 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.104697 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0535729 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0869198 # DEPENDENCYPART_SIBL
(9,4),(9,22),0.0727368 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.205803 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.146969 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.18667 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0339539 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0487103 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.00858646 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0810624 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0780371 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0280179 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0537763 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.00181106 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.074463 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.568542 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0995676 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0972144 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.147313 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0427538 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.141016 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.136816 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0758663 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0562985 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.10265 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.01006 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.220488 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.180908 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.139247 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.186243 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0396917 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.127657 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0300762 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.016698 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0468013 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.163678 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.171028 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0664138 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0795153 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.229373 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.235412 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0807063 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.00386726 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0404599 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.0419108 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.789216 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.793736 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0848482 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.089221 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0774119 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.311423 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.127808 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.220475 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0224437 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0722936 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0792984 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.127104 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.224209 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.331303 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0244056 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.160715 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.293078 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0506697 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.163443 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.304125 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.11549 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.225997 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.187079 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.24809 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.337417 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.151911 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.329811 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.268718 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.391068 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.354221 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.498355 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.636411 # DEPENDENCYPART_SIBL
(9,15),(9,22),0.0705287 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.431384 # DEPENDENCYPART_SIBL
(9,16),(9,22),0.0572953 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.047118 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0649303 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.111614 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0304809 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.164051 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.053904 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0758016 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.0876203 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0189477 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.0705091 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.0311435 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.00718975 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0992034 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0462642 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0887873 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0588286 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0344859 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0851143 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0580612 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0725122 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0792997 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.407595 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.320138 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.473676 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.445237 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.204215 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.567229 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.303857 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.352188 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.239959 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.513001 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.208672 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0561896 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.521542 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.261582 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.589572 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.617183 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.509106 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0822694 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.680815 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.296616 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.49093 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.464831 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0906116 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.515293 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.216845 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.438791 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.243014 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.711505 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.391025 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.206096 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.681998 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.35078 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.59378 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.346562 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.465944 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0871539 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.0878887 # DEPENDENCYPART_SIBL
(12,9),(12,14),0.0180683 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0394422 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0138188 # DEPENDENCYPART_SIBL
(12,9),(12,17),0.0675908 # DEPENDENCYPART_SIBL
(12,9),(12,18),0.0148889 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.0262435 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.016646 # DEPENDENCYPART_SIBL
(12,9),(12,21),-0.00286407 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.00874784 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0340626 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0571066 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0445001 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0628088 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.00731504 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0587791 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0468626 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0511252 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.212749 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.140436 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.12845 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0386166 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0317146 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0433076 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0352174 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.239455 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.335724 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0574952 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0788991 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0156899 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0172922 # DEPENDENCYPART_SIBL
(12,14),(12,20),0.120069 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.37418 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.258197 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.479552 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.159748 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.232796 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.137967 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.454485 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.165182 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0869733 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.2075 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.090957 # DEPENDENCYPART_SIBL
(12,16),(12,21),-0.227904 # DEPENDENCYPART_SIBL
(12,17),(12,18),0.0285872 # DEPENDENCYPART_SIBL
(12,17),(12,19),-0.0656075 # DEPENDENCYPART_SIBL
(12,17),(12,20),0.00199827 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.367664 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.207926 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.170521 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.365467 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.052595 # DEPENDENCYPART_SIBL
(12,19),(12,21),-0.216736 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.235952 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.095246 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0488577 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0388242 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.0355576 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0510513 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0152727 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0136342 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0697512 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.572615 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.550603 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.717888 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.319254 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.590741 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.321567 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.873087 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.465918 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.689291 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.206449 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.438395 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.230319 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.553374 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.451439 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.198912 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.523401 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.272425 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.421496 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.383845 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.670307 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.460088 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.906396 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.414415 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.255325 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.446115 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.233999 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.399051 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.345782 # DEPENDENCYPART_SIBL
(14,7),(14,12),-6.64249e-05 # DEPENDENCYPART_SIBL
(14,7),(14,13),0.0265991 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.220745 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.0828906 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.00851246 # DEPENDENCYPART_SIBL
(14,7),(14,18),0.0183904 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0447048 # DEPENDENCYPART_SIBL
(14,7),(14,20),0.0125385 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.0201906 # DEPENDENCYPART_SIBL
(14,7),(14,22),0.152737 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0422871 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.175818 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0170397 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0434584 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0512546 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0718095 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0508653 # DEPENDENCYPART_SIBL
