# _root_ But prices of junk bonds , which were battered Friday in near standstill trading , rebounded to post small gains after a volatile trading session .
#goldHeads=16,16,2,5,3,5,8,5,8,9,9,13,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
#predictedHeads=16,16,2,5,3,5,8,5,8,9,9,14,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
(5,9),(5,26),-0.031294 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0115788 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.041861 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0359709 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0753554 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.00166144 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.00311934 # DEPENDENCYPART_SIBL
(5,10),(5,25),-0.014782 # DEPENDENCYPART_SIBL
(5,10),(5,26),0.0332165 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0108327 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0544137 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.135718 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0765068 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.102095 # DEPENDENCYPART_SIBL
(5,11),(5,25),0.106136 # DEPENDENCYPART_SIBL
(5,11),(5,26),-0.00316537 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0118739 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.154518 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0261739 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.018251 # DEPENDENCYPART_SIBL
(5,12),(5,25),0.0126231 # DEPENDENCYPART_SIBL
(5,12),(5,26),-0.0264921 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0203414 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0733964 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.109959 # DEPENDENCYPART_SIBL
(5,14),(5,25),-0.0571234 # DEPENDENCYPART_SIBL
(5,14),(5,26),0.0103847 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.451788 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.696345 # DEPENDENCYPART_SIBL
(5,15),(5,25),0.587104 # DEPENDENCYPART_SIBL
(5,15),(5,26),-0.0469876 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.0199163 # DEPENDENCYPART_SIBL
(5,16),(5,25),-0.00416595 # DEPENDENCYPART_SIBL
(5,16),(5,26),0.0267714 # DEPENDENCYPART_SIBL
(5,20),(5,25),-0.0656652 # DEPENDENCYPART_SIBL
(5,20),(5,26),-0.00522042 # DEPENDENCYPART_SIBL
(5,25),(5,26),0.00942339 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00548934 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00523745 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00552871 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0172358 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0245113 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0813024 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0520375 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.041522 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.059037 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0584631 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.155358 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0434008 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0192179 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.201542 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.00864558 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0183879 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00916197 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0269696 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.205404 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0397021 # DEPENDENCYPART_SIBL
(8,1),(8,21),-0.0692029 # DEPENDENCYPART_SIBL
(8,1),(8,25),0.00410534 # DEPENDENCYPART_SIBL
(8,1),(8,26),0.347198 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.00326986 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.902374 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.153177 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.50724 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.10297 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0139106 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.119594 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0313687 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0175566 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0128678 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0324923 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.37887 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0574589 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.0965029 # DEPENDENCYPART_SIBL
(8,2),(8,25),-0.0134852 # DEPENDENCYPART_SIBL
(8,2),(8,26),0.0396322 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0826325 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0944683 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.149839 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0173833 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0152311 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0650678 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.106961 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0214912 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0441551 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0305494 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.190595 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0793245 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0340942 # DEPENDENCYPART_SIBL
(8,3),(8,25),0.018384 # DEPENDENCYPART_SIBL
(8,3),(8,26),0.0154248 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0100324 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.476183 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00589146 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.030325 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0396993 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0306782 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0594446 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.133865 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0582781 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.324931 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0568061 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0220975 # DEPENDENCYPART_SIBL
(8,5),(8,25),-0.0491303 # DEPENDENCYPART_SIBL
(8,5),(8,26),-0.0053585 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.183906 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0357625 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0422141 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0433106 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0880194 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0667727 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0366146 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0360758 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.149807 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0488634 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.102593 # DEPENDENCYPART_SIBL
(8,6),(8,25),-0.0139791 # DEPENDENCYPART_SIBL
(8,6),(8,26),0.055833 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.111088 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.186573 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.042503 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.104328 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0591209 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.124844 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0989184 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.118697 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0964301 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0875208 # DEPENDENCYPART_SIBL
(8,7),(8,25),0.0772978 # DEPENDENCYPART_SIBL
(8,7),(8,26),-0.539761 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.227198 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.218868 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.308203 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.493111 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0332986 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.135144 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.238995 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.314367 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.206799 # DEPENDENCYPART_SIBL
(8,9),(8,25),-0.444489 # DEPENDENCYPART_SIBL
(8,9),(8,26),0.0394395 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0484048 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0151008 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.145702 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.054435 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0172082 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0058975 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.134237 # DEPENDENCYPART_SIBL
(8,10),(8,21),0.151941 # DEPENDENCYPART_SIBL
(8,10),(8,25),-0.0833662 # DEPENDENCYPART_SIBL
(8,10),(8,26),0.0362711 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.065708 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.00212578 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0836631 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0361681 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0241056 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.0205605 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.0335198 # DEPENDENCYPART_SIBL
(8,11),(8,25),0.0882917 # DEPENDENCYPART_SIBL
(8,11),(8,26),-0.0614175 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0628724 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.0509119 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0191749 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0310063 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.172651 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0953127 # DEPENDENCYPART_SIBL
(8,12),(8,25),-0.00533658 # DEPENDENCYPART_SIBL
(8,12),(8,26),0.077164 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0978141 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.125714 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.107426 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.426256 # DEPENDENCYPART_SIBL
(8,14),(8,21),0.00456419 # DEPENDENCYPART_SIBL
(8,14),(8,25),-0.227527 # DEPENDENCYPART_SIBL
(8,14),(8,26),-0.168786 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.31895 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.113627 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.0706876 # DEPENDENCYPART_SIBL
(8,15),(8,21),0.46004 # DEPENDENCYPART_SIBL
(8,15),(8,25),0.139981 # DEPENDENCYPART_SIBL
(8,15),(8,26),0.00167636 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.172721 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.24898 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.11304 # DEPENDENCYPART_SIBL
(8,16),(8,25),-0.215334 # DEPENDENCYPART_SIBL
(8,16),(8,26),0.00339857 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.235514 # DEPENDENCYPART_SIBL
(8,17),(8,21),-0.0290925 # DEPENDENCYPART_SIBL
(8,17),(8,25),-0.0668209 # DEPENDENCYPART_SIBL
(8,17),(8,26),-0.0502432 # DEPENDENCYPART_SIBL
(8,20),(8,21),0.061553 # DEPENDENCYPART_SIBL
(8,20),(8,25),-0.1121 # DEPENDENCYPART_SIBL
(8,20),(8,26),0.088948 # DEPENDENCYPART_SIBL
(8,21),(8,25),-0.0393789 # DEPENDENCYPART_SIBL
(8,21),(8,26),0.078474 # DEPENDENCYPART_SIBL
(8,25),(8,26),-0.0630102 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0359108 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0169543 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0252187 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.060326 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.00748249 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0664172 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.12384 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0550311 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0614567 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0531263 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.00798627 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0405148 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0555211 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0347686 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0128163 # DEPENDENCYPART_SIBL
(9,1),(9,25),-0.0647528 # DEPENDENCYPART_SIBL
(9,1),(9,26),0.194341 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0651523 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0402877 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.117617 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0393456 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0543614 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.00120084 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.00813349 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0106793 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0156455 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0530865 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0103273 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.108626 # DEPENDENCYPART_SIBL
(9,2),(9,20),0.0490611 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.060679 # DEPENDENCYPART_SIBL
(9,2),(9,25),-0.0107776 # DEPENDENCYPART_SIBL
(9,2),(9,26),0.163415 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.173307 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0104614 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0470288 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.106266 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.192296 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.139289 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.131276 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0773751 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.132721 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.126896 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.17604 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0805203 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.108701 # DEPENDENCYPART_SIBL
(9,3),(9,25),-0.0862107 # DEPENDENCYPART_SIBL
(9,3),(9,26),-0.0193782 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0693592 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0303468 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0430765 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.00939259 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0770754 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0573429 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0137218 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0319378 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.00195876 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.000685225 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.040341 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.0435585 # DEPENDENCYPART_SIBL
(9,6),(9,25),-0.0188681 # DEPENDENCYPART_SIBL
(9,6),(9,26),0.144443 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0284448 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0332515 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0478541 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0403602 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0373483 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0244059 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.137508 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.126284 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.00387573 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0117064 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.0377525 # DEPENDENCYPART_SIBL
(9,7),(9,25),0.00870486 # DEPENDENCYPART_SIBL
(9,7),(9,26),-0.377734 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0198819 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.109946 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0711359 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0682449 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0209254 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0322453 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0947856 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0728689 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.0458507 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0229414 # DEPENDENCYPART_SIBL
(9,8),(9,25),-0.0335369 # DEPENDENCYPART_SIBL
(9,8),(9,26),1.54259e-05 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.103323 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.00765956 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.019156 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.124809 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0583849 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.000941827 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0107383 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.139462 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.202392 # DEPENDENCYPART_SIBL
(9,10),(9,25),-0.0967945 # DEPENDENCYPART_SIBL
(9,10),(9,26),0.0885699 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.165148 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.096776 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.120611 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.00316386 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0187352 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0343355 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.112269 # DEPENDENCYPART_SIBL
(9,11),(9,21),0.0657559 # DEPENDENCYPART_SIBL
(9,11),(9,25),-0.0636964 # DEPENDENCYPART_SIBL
(9,11),(9,26),-0.0191154 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.131526 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.182356 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0762329 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0717079 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.0435314 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.175356 # DEPENDENCYPART_SIBL
(9,12),(9,21),0.124663 # DEPENDENCYPART_SIBL
(9,12),(9,25),-0.14595 # DEPENDENCYPART_SIBL
(9,12),(9,26),-0.0347207 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.199649 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0318412 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0824446 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0206879 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.172784 # DEPENDENCYPART_SIBL
(9,13),(9,21),0.117427 # DEPENDENCYPART_SIBL
(9,13),(9,25),-0.163656 # DEPENDENCYPART_SIBL
(9,13),(9,26),-0.0323471 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.013693 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0692521 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.0530851 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.295247 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.194033 # DEPENDENCYPART_SIBL
(9,14),(9,25),-0.183469 # DEPENDENCYPART_SIBL
(9,14),(9,26),0.041905 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.325843 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.233938 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.176478 # DEPENDENCYPART_SIBL
(9,15),(9,21),0.608164 # DEPENDENCYPART_SIBL
(9,15),(9,25),0.255202 # DEPENDENCYPART_SIBL
(9,15),(9,26),0.0849867 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0812529 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.188043 # DEPENDENCYPART_SIBL
(9,16),(9,21),0.0385501 # DEPENDENCYPART_SIBL
(9,16),(9,25),-0.179079 # DEPENDENCYPART_SIBL
(9,16),(9,26),9.24538e-05 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.174864 # DEPENDENCYPART_SIBL
(9,17),(9,21),0.233687 # DEPENDENCYPART_SIBL
(9,17),(9,25),-0.105633 # DEPENDENCYPART_SIBL
(9,17),(9,26),0.032964 # DEPENDENCYPART_SIBL
(9,20),(9,21),0.132371 # DEPENDENCYPART_SIBL
(9,20),(9,25),-0.121266 # DEPENDENCYPART_SIBL
(9,20),(9,26),0.142949 # DEPENDENCYPART_SIBL
(9,21),(9,25),-0.0909436 # DEPENDENCYPART_SIBL
(9,21),(9,26),0.0880053 # DEPENDENCYPART_SIBL
(9,25),(9,26),0.0406168 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0787814 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.051978 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0935034 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0708564 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0682566 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0594221 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.131119 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0802434 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0740511 # DEPENDENCYPART_SIBL
(10,6),(10,26),-0.118721 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0887329 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0475616 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.106655 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0579533 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0500892 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.035492 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.23443 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0619354 # DEPENDENCYPART_SIBL
(10,7),(10,26),-0.459943 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0150951 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0547975 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0386005 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0306156 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0200753 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0741845 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.00586708 # DEPENDENCYPART_SIBL
(10,8),(10,26),-0.0160637 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0758908 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00321908 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0118753 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.00732667 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.129786 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0164619 # DEPENDENCYPART_SIBL
(10,9),(10,26),-0.027167 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.016727 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0448194 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.00994537 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0381746 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.058614 # DEPENDENCYPART_SIBL
(10,11),(10,26),0.0522779 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0220791 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0855189 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0819751 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0410258 # DEPENDENCYPART_SIBL
(10,12),(10,26),0.0734815 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.110957 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0262461 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.057554 # DEPENDENCYPART_SIBL
(10,13),(10,26),0.0711125 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.209228 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0376232 # DEPENDENCYPART_SIBL
(10,14),(10,26),0.148215 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.471768 # DEPENDENCYPART_SIBL
(10,15),(10,26),0.0836794 # DEPENDENCYPART_SIBL
(10,16),(10,26),0.0649552 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.151791 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.102145 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0855291 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0882001 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.155794 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.171921 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0885517 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.203792 # DEPENDENCYPART_SIBL
(11,7),(11,26),-0.499328 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0532287 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0677526 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0102896 # DEPENDENCYPART_SIBL
