# _root_ But analysts , while applauding the acquisition , say Applied 's chief executive faces a tough challenge in integrating the two companies .
#goldHeads=9,9,9,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
#predictedHeads=9,9,2,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
(7,1),(7,17),-0.100715 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.125708 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.105371 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.123111 # DEPENDENCYPART_SIBL
(7,1),(7,23),0.101584 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0468913 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0394165 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00518787 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.222063 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0319563 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0599899 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0338268 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0476387 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.039641 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0813982 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0643358 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.110139 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0396392 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0115552 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0909695 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.116182 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0793777 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.00396419 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0883323 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0155416 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.113744 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0445487 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.251338 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0475506 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0360187 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0283812 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0326076 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0251154 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0722789 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0935186 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.0554755 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0701342 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.153583 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.176672 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0123234 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0924971 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.121475 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0423741 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0275509 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0166649 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0255058 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0485619 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0655502 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0508841 # DEPENDENCYPART_SIBL
(7,4),(7,23),0.0496416 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.225799 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0318542 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0932164 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.00284355 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0479946 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0303976 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.039378 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0150935 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0355534 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0704383 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0300656 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.0375563 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.024269 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.113335 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.397592 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0505749 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.474307 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0563828 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.00301393 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.30548 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.010473 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0565535 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0542835 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.0419094 # DEPENDENCYPART_SIBL
(7,6),(7,23),-0.096284 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.13974 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.593365 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0403892 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.382836 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.735955 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.519357 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.667628 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.13781 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.51681 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.59708 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.0396984 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0255557 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0163987 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0237616 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0226952 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.139604 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0156357 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0617167 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.0279293 # DEPENDENCYPART_SIBL
(7,9),(7,22),0.0690079 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.0574236 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.165088 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0589534 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0984382 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0380751 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.104024 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0471881 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0923913 # DEPENDENCYPART_SIBL
(7,10),(7,22),-0.0853349 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.0805461 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0466107 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.137563 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.146682 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.144736 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.147913 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0459918 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.110849 # DEPENDENCYPART_SIBL
(7,11),(7,23),-0.176052 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0359213 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0216167 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0431334 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.0760119 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0329347 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.0536516 # DEPENDENCYPART_SIBL
(7,12),(7,23),-0.080232 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0486375 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.124106 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.00816209 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0492479 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.157402 # DEPENDENCYPART_SIBL
(7,13),(7,23),-0.0343783 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.0463053 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0879065 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.0719918 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.0260765 # DEPENDENCYPART_SIBL
(7,14),(7,23),0.0857978 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0262834 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0401829 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.145082 # DEPENDENCYPART_SIBL
(7,17),(7,23),-0.020589 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.045428 # DEPENDENCYPART_SIBL
(7,18),(7,22),0.14605 # DEPENDENCYPART_SIBL
(7,18),(7,23),0.0340505 # DEPENDENCYPART_SIBL
(7,19),(7,22),-0.0531579 # DEPENDENCYPART_SIBL
(7,19),(7,23),0.0317483 # DEPENDENCYPART_SIBL
(7,22),(7,23),-0.0529133 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0494148 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0305605 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0953149 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0366865 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0147838 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0458969 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0305605 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.114935 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.138768 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.123575 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.140777 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.033796 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.138815 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0979694 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0947365 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.140465 # DEPENDENCYPART_SIBL
(9,1),(9,23),0.265291 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.311172 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.122426 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.178782 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.289841 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.405493 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.311172 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.144385 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0880334 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.164133 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.259582 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.207762 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.291895 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.15163 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0689377 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.210976 # DEPENDENCYPART_SIBL
(9,2),(9,23),0.106308 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0676578 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.140602 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.026331 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0211985 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.148263 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.110076 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.285808 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.147519 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.125383 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.107378 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.125557 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0948546 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0308386 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0794295 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.0113887 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0374289 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0429919 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0547582 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.71666 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0781601 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0558994 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0538108 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0660933 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.0964235 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0676996 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0674822 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0540155 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0623964 # DEPENDENCYPART_SIBL
(9,4),(9,23),0.145734 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.107413 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0621513 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.301643 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0914209 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.089551 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.117779 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0907554 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.000114478 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0905138 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.062241 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0836457 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0741579 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.0154386 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.197857 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.318364 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.226771 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.16465 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.254615 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.191987 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0766998 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.189944 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.160579 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.202864 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.166757 # DEPENDENCYPART_SIBL
(9,6),(9,23),-0.244628 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.146943 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0654267 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0187788 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.132445 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0367962 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.00375052 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0458404 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.100542 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0341241 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0642011 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.0352145 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.110076 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.285808 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.147519 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.125383 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.107378 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.125557 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0948546 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0308386 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0794295 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.0113887 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.13411 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0963552 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.177348 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.153768 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.175634 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.143102 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.133863 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.254864 # DEPENDENCYPART_SIBL
(9,10),(9,23),-0.18163 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0442781 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.275665 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.203094 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.275538 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0308123 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0417802 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.261089 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.270293 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.189851 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.152797 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.189774 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0132702 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.157013 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.266461 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.194377 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.160502 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.237876 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.156679 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0517386 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.370484 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.253988 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.115724 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.108375 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0425618 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.191494 # DEPENDENCYPART_SIBL
(9,14),(9,23),0.018132 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.135255 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0535563 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.369042 # DEPENDENCYPART_SIBL
(9,17),(9,23),-0.251512 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.0463981 # DEPENDENCYPART_SIBL
(9,18),(9,22),-0.12565 # DEPENDENCYPART_SIBL
(9,18),(9,23),-0.130513 # DEPENDENCYPART_SIBL
(9,19),(9,22),-0.288392 # DEPENDENCYPART_SIBL
(9,19),(9,23),-0.0507387 # DEPENDENCYPART_SIBL
(9,22),(9,23),-0.209036 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.108031 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0134025 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0297305 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0578172 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0752936 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.116022 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0134025 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0680759 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.232417 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.000738736 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.051609 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.00280419 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0576264 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0094321 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.114996 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0778535 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0301936 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.146018 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0094321 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0690322 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.081154 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0468607 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0324273 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0966865 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.072467 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.00930107 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0311341 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0516185 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.110778 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0727036 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.044515 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.587208 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.112268 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.149603 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0136175 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.15727 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0692054 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0499582 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0853177 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.685721 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.056347 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.184307 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0133604 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.00462073 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0298393 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.014193 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0462829 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.218739 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.366014 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0395725 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.167298 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.00827722 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0406498 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.03234 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0483878 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.276594 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.00718325 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.155539 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.506716 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0206089 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0212702 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.176603 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0100895 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.079665 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0714652 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0722345 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0383874 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0211358 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0209852 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.00348906 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.044515 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.587208 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.112268 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.149603 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0136175 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.15727 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.161246 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0313348 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0113253 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0527295 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0170071 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.135571 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.230771 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.117838 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.233499 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.102212 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0596631 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.105143 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0696264 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.313055 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0525827 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.145601 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.182864 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0953439 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0603446 # DEPENDENCYPART_SIBL
(11,1),(11,12),0.122502 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0913716 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.00909203 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0329338 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.00232005 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.831245 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.0424904 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0636384 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.0334898 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0173366 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0349572 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.857469 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0639814 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.0550367 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0241017 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.00757022 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.025556 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.170956 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.107345 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.111398 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.031495 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.111522 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0526025 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0235616 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.00693501 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0260553 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0375683 # DEPENDENCYPART_SIBL
