# _root_ Burmah Oil PLC , a British independent oil and specialty chemicals marketing concern , said SHV Holdings N.V. of the Netherlands has built up a 6.7 % stake in the company .
#goldHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
#predictedHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
(15,8),(15,20),-0.14281 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.124492 # DEPENDENCYPART_SIBL
(15,8),(15,22),0.0392598 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.105291 # DEPENDENCYPART_SIBL
(15,8),(15,24),0.017915 # DEPENDENCYPART_SIBL
(15,8),(15,29),-0.11934 # DEPENDENCYPART_SIBL
(15,8),(15,32),0.0788368 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.0118093 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.00450722 # DEPENDENCYPART_SIBL
(15,9),(15,12),0.00763134 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0102646 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0395403 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.153578 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.152532 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.152221 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.101098 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.222998 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.150937 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.00453044 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.107303 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.00326519 # DEPENDENCYPART_SIBL
(15,9),(15,29),-0.0401537 # DEPENDENCYPART_SIBL
(15,9),(15,32),0.116008 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.615324 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.597537 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.630803 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.223209 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.160974 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.163053 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.160312 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.132295 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.174089 # DEPENDENCYPART_SIBL
(15,10),(15,21),-0.158342 # DEPENDENCYPART_SIBL
(15,10),(15,22),0.019794 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.137332 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0137057 # DEPENDENCYPART_SIBL
(15,10),(15,29),-0.0320608 # DEPENDENCYPART_SIBL
(15,10),(15,32),0.051783 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.598665 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.615898 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.220224 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.175703 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.170345 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.17434 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.134353 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.108626 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.173063 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.0277904 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0969526 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.0122701 # DEPENDENCYPART_SIBL
(15,11),(15,29),0.0015846 # DEPENDENCYPART_SIBL
(15,11),(15,32),-0.00333063 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.643557 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.232385 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.172359 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.174438 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.171697 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.137599 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.178674 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.169727 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.0170702 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.146939 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.0180582 # DEPENDENCYPART_SIBL
(15,12),(15,29),-0.0399974 # DEPENDENCYPART_SIBL
(15,12),(15,32),0.0359927 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.276748 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.217315 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.219393 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.216653 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.184637 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.233538 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.214683 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.00389475 # DEPENDENCYPART_SIBL
(15,13),(15,23),-0.20822 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0659589 # DEPENDENCYPART_SIBL
(15,13),(15,29),-0.0922052 # DEPENDENCYPART_SIBL
(15,13),(15,32),-7.92773e-06 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.00529177 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.00873401 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.00666199 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.183606 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.094654 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.00793224 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.144152 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.181643 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.143143 # DEPENDENCYPART_SIBL
(15,14),(15,29),-0.0239132 # DEPENDENCYPART_SIBL
(15,14),(15,32),0.01006 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.2818 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.281471 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0143382 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0720544 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.28146 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.132442 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.206195 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.101577 # DEPENDENCYPART_SIBL
(15,16),(15,29),-0.0130501 # DEPENDENCYPART_SIBL
(15,16),(15,32),-0.0703389 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.274763 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0189511 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.0646081 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.274752 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.120717 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.198768 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0941309 # DEPENDENCYPART_SIBL
(15,17),(15,29),-0.037342 # DEPENDENCYPART_SIBL
(15,17),(15,32),-0.0506279 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0752081 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.0745217 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.283927 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.127438 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.208667 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.104045 # DEPENDENCYPART_SIBL
(15,18),(15,29),0.0274278 # DEPENDENCYPART_SIBL
(15,18),(15,32),-0.0611792 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0937425 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.134467 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.27855 # DEPENDENCYPART_SIBL
(15,19),(15,23),-0.113497 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.113558 # DEPENDENCYPART_SIBL
(15,19),(15,29),-0.0368616 # DEPENDENCYPART_SIBL
(15,19),(15,32),-0.105475 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.232771 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.203553 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.160741 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.0981651 # DEPENDENCYPART_SIBL
(15,20),(15,29),-0.18209 # DEPENDENCYPART_SIBL
(15,20),(15,32),-0.323275 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.130177 # DEPENDENCYPART_SIBL
(15,21),(15,23),-0.20393 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.0993121 # DEPENDENCYPART_SIBL
(15,21),(15,29),-0.0062802 # DEPENDENCYPART_SIBL
(15,21),(15,32),-0.0642185 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.32363 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.201121 # DEPENDENCYPART_SIBL
(15,22),(15,29),-0.207126 # DEPENDENCYPART_SIBL
(15,22),(15,32),0.0122249 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.294539 # DEPENDENCYPART_SIBL
(15,23),(15,29),-0.281622 # DEPENDENCYPART_SIBL
(15,23),(15,32),-0.0874115 # DEPENDENCYPART_SIBL
(15,24),(15,29),0.241649 # DEPENDENCYPART_SIBL
(15,24),(15,32),-0.0283889 # DEPENDENCYPART_SIBL
(15,29),(15,32),0.00363171 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0220794 # DEPENDENCYPART_SIBL
(17,13),(17,16),0.159587 # DEPENDENCYPART_SIBL
(17,13),(17,18),0.157463 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.0122305 # DEPENDENCYPART_SIBL
(17,13),(17,20),-0.083218 # DEPENDENCYPART_SIBL
(17,13),(17,21),0.0564062 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.0235065 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.00944052 # DEPENDENCYPART_SIBL
(17,13),(17,24),0.00868659 # DEPENDENCYPART_SIBL
(17,13),(17,28),-0.0158528 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.600709 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.120239 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0205862 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.27265 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0754769 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.0731546 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.109458 # DEPENDENCYPART_SIBL
(17,16),(17,28),0.0392578 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.240304 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.0402566 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.0515853 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.0804747 # DEPENDENCYPART_SIBL
(17,18),(17,23),-2.54693e-05 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.097915 # DEPENDENCYPART_SIBL
(17,18),(17,28),0.0392913 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0274293 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0426438 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0429078 # DEPENDENCYPART_SIBL
(17,19),(17,23),0.0442001 # DEPENDENCYPART_SIBL
(17,19),(17,24),0.0297817 # DEPENDENCYPART_SIBL
(17,19),(17,28),0.151243 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.0123237 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0410828 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.0306714 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.0235999 # DEPENDENCYPART_SIBL
(17,20),(17,28),-0.0649056 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0287319 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0892542 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.00867911 # DEPENDENCYPART_SIBL
(17,21),(17,28),-0.0504979 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0881667 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.030682 # DEPENDENCYPART_SIBL
(17,22),(17,28),-0.0817625 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0693883 # DEPENDENCYPART_SIBL
(17,23),(17,28),-0.197477 # DEPENDENCYPART_SIBL
(17,24),(17,28),0.125806 # DEPENDENCYPART_SIBL
(18,2),(18,3),-0.141825 # DEPENDENCYPART_SIBL
(18,2),(18,5),0.0396589 # DEPENDENCYPART_SIBL
(18,2),(18,7),-0.0132359 # DEPENDENCYPART_SIBL
(18,2),(18,8),0.283861 # DEPENDENCYPART_SIBL
(18,2),(18,10),0.302019 # DEPENDENCYPART_SIBL
(18,2),(18,11),0.155712 # DEPENDENCYPART_SIBL
(18,2),(18,12),0.296207 # DEPENDENCYPART_SIBL
(18,2),(18,13),0.275246 # DEPENDENCYPART_SIBL
(18,2),(18,14),0.377477 # DEPENDENCYPART_SIBL
(18,2),(18,15),0.0171009 # DEPENDENCYPART_SIBL
(18,2),(18,16),-0.120242 # DEPENDENCYPART_SIBL
(18,2),(18,17),-0.0778725 # DEPENDENCYPART_SIBL
(18,2),(18,19),-0.281423 # DEPENDENCYPART_SIBL
(18,2),(18,20),-0.160134 # DEPENDENCYPART_SIBL
(18,2),(18,21),-0.0866903 # DEPENDENCYPART_SIBL
(18,2),(18,22),-0.156544 # DEPENDENCYPART_SIBL
(18,2),(18,23),-0.0815538 # DEPENDENCYPART_SIBL
(18,2),(18,24),-0.0716428 # DEPENDENCYPART_SIBL
(18,2),(18,26),-0.108714 # DEPENDENCYPART_SIBL
(18,2),(18,27),-0.131185 # DEPENDENCYPART_SIBL
(18,2),(18,28),-0.103449 # DEPENDENCYPART_SIBL
(18,3),(18,5),0.0451053 # DEPENDENCYPART_SIBL
(18,3),(18,7),-0.00278564 # DEPENDENCYPART_SIBL
(18,3),(18,8),0.30352 # DEPENDENCYPART_SIBL
(18,3),(18,10),0.320236 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.158534 # DEPENDENCYPART_SIBL
(18,3),(18,12),0.317712 # DEPENDENCYPART_SIBL
(18,3),(18,13),0.293463 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.379136 # DEPENDENCYPART_SIBL
(18,3),(18,15),0.0225133 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.116667 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0742978 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.195325 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.157331 # DEPENDENCYPART_SIBL
(18,3),(18,21),-0.0946082 # DEPENDENCYPART_SIBL
(18,3),(18,22),-0.13886 # DEPENDENCYPART_SIBL
(18,3),(18,23),-0.0810874 # DEPENDENCYPART_SIBL
(18,3),(18,24),-0.07368 # DEPENDENCYPART_SIBL
(18,3),(18,26),-0.10642 # DEPENDENCYPART_SIBL
(18,3),(18,27),-0.14411 # DEPENDENCYPART_SIBL
(18,3),(18,28),-0.116391 # DEPENDENCYPART_SIBL
(18,5),(18,7),0.449831 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.161319 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.191089 # DEPENDENCYPART_SIBL
(18,5),(18,11),0.147932 # DEPENDENCYPART_SIBL
(18,5),(18,12),0.197915 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.157469 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.144584 # DEPENDENCYPART_SIBL
(18,5),(18,15),0.0982028 # DEPENDENCYPART_SIBL
(18,5),(18,16),0.0293339 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.0497907 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.102748 # DEPENDENCYPART_SIBL
(18,5),(18,20),0.0206876 # DEPENDENCYPART_SIBL
(18,5),(18,21),0.00905241 # DEPENDENCYPART_SIBL
(18,5),(18,22),0.260914 # DEPENDENCYPART_SIBL
(18,5),(18,23),0.329745 # DEPENDENCYPART_SIBL
(18,5),(18,24),-0.0559604 # DEPENDENCYPART_SIBL
(18,5),(18,26),0.0762221 # DEPENDENCYPART_SIBL
(18,5),(18,27),-0.0625544 # DEPENDENCYPART_SIBL
(18,5),(18,28),-0.00620124 # DEPENDENCYPART_SIBL
(18,7),(18,8),0.308427 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.304362 # DEPENDENCYPART_SIBL
(18,7),(18,11),0.164421 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.317636 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.288323 # DEPENDENCYPART_SIBL
(18,7),(18,14),0.249443 # DEPENDENCYPART_SIBL
(18,7),(18,15),0.0267026 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.0819679 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.0924718 # DEPENDENCYPART_SIBL
(18,7),(18,19),-0.0825377 # DEPENDENCYPART_SIBL
(18,7),(18,20),0.0173275 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.00274887 # DEPENDENCYPART_SIBL
(18,7),(18,22),-0.0190747 # DEPENDENCYPART_SIBL
(18,7),(18,23),0.0216278 # DEPENDENCYPART_SIBL
(18,7),(18,24),-0.0156996 # DEPENDENCYPART_SIBL
(18,7),(18,26),-0.079142 # DEPENDENCYPART_SIBL
(18,7),(18,27),-0.12169 # DEPENDENCYPART_SIBL
(18,7),(18,28),-0.0711404 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.19139 # DEPENDENCYPART_SIBL
(18,8),(18,11),0.0949805 # DEPENDENCYPART_SIBL
(18,8),(18,12),0.188403 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.166701 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.0778635 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0675082 # DEPENDENCYPART_SIBL
(18,8),(18,16),0.0669446 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.0770937 # DEPENDENCYPART_SIBL
(18,8),(18,19),-0.176867 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0780445 # DEPENDENCYPART_SIBL
(18,8),(18,21),-0.0031988 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.0655805 # DEPENDENCYPART_SIBL
(18,8),(18,23),0.0234052 # DEPENDENCYPART_SIBL
(18,8),(18,24),0.0100409 # DEPENDENCYPART_SIBL
(18,8),(18,26),-0.0949896 # DEPENDENCYPART_SIBL
(18,8),(18,27),-0.0051024 # DEPENDENCYPART_SIBL
(18,8),(18,28),-0.00158246 # DEPENDENCYPART_SIBL
(18,10),(18,11),0.102748 # DEPENDENCYPART_SIBL
(18,10),(18,12),0.220099 # DEPENDENCYPART_SIBL
(18,10),(18,13),0.195109 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.115427 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.076663 # DEPENDENCYPART_SIBL
(18,10),(18,16),0.0912419 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.101391 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.102607 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0675889 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.00684694 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.0466181 # DEPENDENCYPART_SIBL
(18,10),(18,23),0.0308546 # DEPENDENCYPART_SIBL
(18,10),(18,24),0.0201529 # DEPENDENCYPART_SIBL
(18,10),(18,26),-0.084872 # DEPENDENCYPART_SIBL
(18,10),(18,27),0.00315708 # DEPENDENCYPART_SIBL
(18,10),(18,28),0.00667926 # DEPENDENCYPART_SIBL
(18,11),(18,12),0.161025 # DEPENDENCYPART_SIBL
(18,11),(18,13),0.139941 # DEPENDENCYPART_SIBL
(18,11),(18,14),0.0576318 # DEPENDENCYPART_SIBL
(18,11),(18,15),0.0031898 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.0721588 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.0615454 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0695305 # DEPENDENCYPART_SIBL
(18,11),(18,20),-0.0134434 # DEPENDENCYPART_SIBL
(18,11),(18,21),0.0166308 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.0456228 # DEPENDENCYPART_SIBL
(18,11),(18,23),0.0654509 # DEPENDENCYPART_SIBL
(18,11),(18,24),0.0339566 # DEPENDENCYPART_SIBL
(18,11),(18,26),-0.0109908 # DEPENDENCYPART_SIBL
(18,11),(18,27),-0.00876408 # DEPENDENCYPART_SIBL
(18,11),(18,28),-0.00715119 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.19458 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.12551 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0865946 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.11226 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.122409 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.114657 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.0805278 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.0180546 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.0564901 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.0152041 # DEPENDENCYPART_SIBL
(18,12),(18,24),0.00744667 # DEPENDENCYPART_SIBL
(18,12),(18,26),-0.0975718 # DEPENDENCYPART_SIBL
(18,12),(18,27),-0.0244232 # DEPENDENCYPART_SIBL
(18,12),(18,28),-0.0209038 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.0779709 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.0622849 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0553774 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0655266 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.112295 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0882378 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.0177032 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0490325 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.00102883 # DEPENDENCYPART_SIBL
(18,13),(18,24),0.00305705 # DEPENDENCYPART_SIBL
(18,13),(18,26),-0.0954557 # DEPENDENCYPART_SIBL
(18,13),(18,27),-0.00928218 # DEPENDENCYPART_SIBL
(18,13),(18,28),-0.00363422 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.0827859 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.0337512 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0322755 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.151904 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0850957 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.119084 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0312188 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.0865563 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.0234826 # DEPENDENCYPART_SIBL
(18,14),(18,26),-0.0261385 # DEPENDENCYPART_SIBL
(18,14),(18,27),-0.136156 # DEPENDENCYPART_SIBL
(18,14),(18,28),-0.153551 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.00438836 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.00592805 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.035887 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0314826 # DEPENDENCYPART_SIBL
(18,15),(18,21),0.019394 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0508334 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0175517 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.00950896 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.0333089 # DEPENDENCYPART_SIBL
(18,15),(18,27),-0.0381894 # DEPENDENCYPART_SIBL
(18,15),(18,28),-0.0260409 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.200965 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.23633 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.161629 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.054253 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.149258 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0857303 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.073365 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.110432 # DEPENDENCYPART_SIBL
(18,16),(18,27),-0.145721 # DEPENDENCYPART_SIBL
(18,16),(18,28),-0.117986 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.280224 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.167307 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0891012 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.154913 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.0593182 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.0791558 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.117339 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.133326 # DEPENDENCYPART_SIBL
(18,17),(18,28),-0.113265 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.000332706 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0674114 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0316491 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.0779063 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.0575367 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.0611048 # DEPENDENCYPART_SIBL
(18,19),(18,27),0.0855183 # DEPENDENCYPART_SIBL
(18,19),(18,28),0.180652 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.00898523 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0575415 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.0247202 # DEPENDENCYPART_SIBL
(18,20),(18,24),0.0235999 # DEPENDENCYPART_SIBL
(18,20),(18,26),0.0402177 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.0957186 # DEPENDENCYPART_SIBL
(18,20),(18,28),-0.0660429 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0525796 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0869536 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.00208032 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0168184 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.0662236 # DEPENDENCYPART_SIBL
(18,21),(18,28),-0.0594235 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0776039 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.0352935 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0504106 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.0720618 # DEPENDENCYPART_SIBL
(18,22),(18,28),-0.0782882 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0645435 # DEPENDENCYPART_SIBL
(18,23),(18,26),0.00716229 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.212311 # DEPENDENCYPART_SIBL
(18,23),(18,28),-0.193769 # DEPENDENCYPART_SIBL
(18,24),(18,26),0.00611884 # DEPENDENCYPART_SIBL
