# _root_ A Fidelity spokesman says the 800-line , which already was operating but which many clients did n't know about , received about double the usual volume of calls over the weekend .
#goldHeads=3,3,4,0,6,21,6,10,10,6,10,10,19,15,16,12,16,16,18,6,4,23,26,26,26,21,26,27,21,31,29,4,
#predictedHeads=3,3,4,0,6,4,6,10,10,6,10,10,16,15,16,12,16,16,18,19,19,23,26,26,26,21,26,27,28,31,29,4,
(15,5),(15,16),0.103715 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.00108906 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.0157097 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.09879 # DEPENDENCYPART_SIBL
(15,5),(15,20),0.0575081 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.157817 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.00921587 # DEPENDENCYPART_SIBL
(15,6),(15,10),0.0584259 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.147572 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0657588 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.157817 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.15099 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0084694 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0189821 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0247743 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.161795 # DEPENDENCYPART_SIBL
(15,6),(15,20),0.0590481 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.033321 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.0406014 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.00978898 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.0813318 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.123102 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.222743 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0635122 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0163119 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.0361604 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.104328 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0583908 # DEPENDENCYPART_SIBL
(15,9),(15,10),0.0141026 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.00383651 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0463909 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.0816553 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.0230307 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0630074 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0382302 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.00394675 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.00891891 # DEPENDENCYPART_SIBL
(15,9),(15,20),0.0339796 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.037487 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.00593957 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.00171883 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0356124 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0679168 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.030567 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.010179 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0226038 # DEPENDENCYPART_SIBL
(15,10),(15,20),0.0225655 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.00740593 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.00611431 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.0909313 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.00151833 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0295672 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0265985 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0330576 # DEPENDENCYPART_SIBL
(15,11),(15,20),0.140491 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0193746 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0421899 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0106548 # DEPENDENCYPART_SIBL
(15,12),(15,17),0.0430552 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.000963168 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.108447 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.043986 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.222743 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0635122 # DEPENDENCYPART_SIBL
(15,13),(15,17),0.0163119 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.0361604 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.104328 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0583908 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.117608 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.116109 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.181657 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.236994 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.240805 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.00522787 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0207403 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0759033 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.336093 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.189077 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0107922 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.033201 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0426992 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0639902 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0908901 # DEPENDENCYPART_SIBL
(16,2),(16,3),-0.249871 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.242387 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.248809 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.00911608 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.330133 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.0124902 # DEPENDENCYPART_SIBL
(16,2),(16,10),-0.154306 # DEPENDENCYPART_SIBL
(16,2),(16,11),0.0245116 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.214507 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.330133 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.228766 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.319258 # DEPENDENCYPART_SIBL
(16,2),(16,17),0.13039 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.0338726 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.0787354 # DEPENDENCYPART_SIBL
(16,2),(16,20),0.0207515 # DEPENDENCYPART_SIBL
(16,2),(16,21),-0.103002 # DEPENDENCYPART_SIBL
(16,2),(16,22),0.0425063 # DEPENDENCYPART_SIBL
(16,2),(16,23),0.0584958 # DEPENDENCYPART_SIBL
(16,2),(16,26),-0.0125353 # DEPENDENCYPART_SIBL
(16,2),(16,29),-0.0409925 # DEPENDENCYPART_SIBL
(16,2),(16,31),-0.00129183 # DEPENDENCYPART_SIBL
(16,2),(16,32),-0.0284181 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.239428 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.526553 # DEPENDENCYPART_SIBL
(16,3),(16,7),-0.00912271 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.428198 # DEPENDENCYPART_SIBL
(16,3),(16,9),-0.00924171 # DEPENDENCYPART_SIBL
(16,3),(16,10),-0.187368 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.027886 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.240525 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.428198 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.269481 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.501074 # DEPENDENCYPART_SIBL
(16,3),(16,17),0.168794 # DEPENDENCYPART_SIBL
(16,3),(16,18),0.085582 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0897788 # DEPENDENCYPART_SIBL
(16,3),(16,20),0.0153189 # DEPENDENCYPART_SIBL
(16,3),(16,21),-0.00827381 # DEPENDENCYPART_SIBL
(16,3),(16,22),0.000134014 # DEPENDENCYPART_SIBL
(16,3),(16,23),0.0624382 # DEPENDENCYPART_SIBL
(16,3),(16,26),-0.00303054 # DEPENDENCYPART_SIBL
(16,3),(16,29),-0.0428995 # DEPENDENCYPART_SIBL
(16,3),(16,31),0.00846199 # DEPENDENCYPART_SIBL
(16,3),(16,32),0.27781 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.0662016 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.121504 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.192155 # DEPENDENCYPART_SIBL
(16,4),(16,9),-0.0928905 # DEPENDENCYPART_SIBL
(16,4),(16,10),-0.149939 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0965862 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.118192 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.192155 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.100176 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.0888592 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.052861 # DEPENDENCYPART_SIBL
(16,4),(16,18),-0.0438942 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.195481 # DEPENDENCYPART_SIBL
(16,4),(16,20),-0.072156 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.139063 # DEPENDENCYPART_SIBL
(16,4),(16,22),-0.0911406 # DEPENDENCYPART_SIBL
(16,4),(16,23),-0.0695721 # DEPENDENCYPART_SIBL
(16,4),(16,26),-0.0737515 # DEPENDENCYPART_SIBL
(16,4),(16,29),-0.137865 # DEPENDENCYPART_SIBL
(16,4),(16,31),-0.0653105 # DEPENDENCYPART_SIBL
(16,4),(16,32),-0.0667072 # DEPENDENCYPART_SIBL
(16,6),(16,7),0.037294 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.426618 # DEPENDENCYPART_SIBL
(16,6),(16,9),-0.00926856 # DEPENDENCYPART_SIBL
(16,6),(16,10),-0.18578 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0334376 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.238944 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.426618 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.26689 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.497885 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.136739 # DEPENDENCYPART_SIBL
(16,6),(16,18),0.0348698 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.117202 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.00528875 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.0625915 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.0333372 # DEPENDENCYPART_SIBL
(16,6),(16,23),0.028967 # DEPENDENCYPART_SIBL
(16,6),(16,26),-0.012189 # DEPENDENCYPART_SIBL
(16,6),(16,29),-0.0703222 # DEPENDENCYPART_SIBL
(16,6),(16,31),-0.000696461 # DEPENDENCYPART_SIBL
(16,6),(16,32),-0.016417 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.147864 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.0951883 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.115361 # DEPENDENCYPART_SIBL
(16,7),(16,11),0.177397 # DEPENDENCYPART_SIBL
(16,7),(16,12),0.0166031 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.147864 # DEPENDENCYPART_SIBL
(16,7),(16,14),0.0650366 # DEPENDENCYPART_SIBL
(16,7),(16,15),0.107587 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0514872 # DEPENDENCYPART_SIBL
(16,7),(16,18),-0.0624117 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.0701903 # DEPENDENCYPART_SIBL
(16,7),(16,20),-0.101472 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.153694 # DEPENDENCYPART_SIBL
(16,7),(16,22),-0.00415018 # DEPENDENCYPART_SIBL
(16,7),(16,23),-0.0388567 # DEPENDENCYPART_SIBL
(16,7),(16,26),-0.0347659 # DEPENDENCYPART_SIBL
(16,7),(16,29),-0.0860612 # DEPENDENCYPART_SIBL
(16,7),(16,31),-0.0187314 # DEPENDENCYPART_SIBL
(16,7),(16,32),0.0672807 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.110196 # DEPENDENCYPART_SIBL
(16,8),(16,10),-0.0456739 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.0227937 # DEPENDENCYPART_SIBL
(16,8),(16,12),-0.0487268 # DEPENDENCYPART_SIBL
(16,8),(16,13),-0.162449 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.0948489 # DEPENDENCYPART_SIBL
(16,8),(16,15),-0.217025 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0160939 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.00206311 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.313759 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.226074 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.261783 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.17338 # DEPENDENCYPART_SIBL
(16,8),(16,23),0.0398955 # DEPENDENCYPART_SIBL
(16,8),(16,26),-0.00238373 # DEPENDENCYPART_SIBL
(16,8),(16,29),-0.0337898 # DEPENDENCYPART_SIBL
(16,8),(16,31),0.00588516 # DEPENDENCYPART_SIBL
(16,8),(16,32),-0.621981 # DEPENDENCYPART_SIBL
(16,9),(16,10),0.00151216 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.0169141 # DEPENDENCYPART_SIBL
(16,9),(16,12),-0.0356624 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.139073 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.0188491 # DEPENDENCYPART_SIBL
(16,9),(16,15),0.0179723 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.11516 # DEPENDENCYPART_SIBL
(16,9),(16,18),0.0381195 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0100694 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.00131584 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0263584 # DEPENDENCYPART_SIBL
(16,9),(16,22),0.0679799 # DEPENDENCYPART_SIBL
(16,9),(16,23),0.0340624 # DEPENDENCYPART_SIBL
(16,9),(16,26),0.0662308 # DEPENDENCYPART_SIBL
(16,9),(16,29),0.00880146 # DEPENDENCYPART_SIBL
(16,9),(16,31),0.0716932 # DEPENDENCYPART_SIBL
(16,9),(16,32),0.0766201 # DEPENDENCYPART_SIBL
(16,10),(16,11),-0.0779873 # DEPENDENCYPART_SIBL
(16,10),(16,12),-0.11069 # DEPENDENCYPART_SIBL
(16,10),(16,13),-0.143707 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.0662011 # DEPENDENCYPART_SIBL
(16,10),(16,15),0.110206 # DEPENDENCYPART_SIBL
(16,10),(16,17),0.111209 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.0369059 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0710898 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.0165715 # DEPENDENCYPART_SIBL
(16,10),(16,21),-0.0889441 # DEPENDENCYPART_SIBL
(16,10),(16,22),0.0572144 # DEPENDENCYPART_SIBL
(16,10),(16,23),0.0628412 # DEPENDENCYPART_SIBL
(16,10),(16,26),0.0565212 # DEPENDENCYPART_SIBL
(16,10),(16,29),-0.038248 # DEPENDENCYPART_SIBL
(16,10),(16,31),0.0701987 # DEPENDENCYPART_SIBL
(16,10),(16,32),0.0174265 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.0565333 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0795409 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.0663427 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0967731 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0611073 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.00862427 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0751239 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.120539 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.151852 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0171506 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.00517073 # DEPENDENCYPART_SIBL
(16,11),(16,26),0.00029856 # DEPENDENCYPART_SIBL
(16,11),(16,29),-0.00439154 # DEPENDENCYPART_SIBL
(16,11),(16,31),0.0160801 # DEPENDENCYPART_SIBL
(16,11),(16,32),-0.0283479 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0742821 # DEPENDENCYPART_SIBL
(16,12),(16,14),0.0683846 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0889352 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.203361 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.0334464 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.0488383 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0767968 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0334492 # DEPENDENCYPART_SIBL
(16,12),(16,22),0.064761 # DEPENDENCYPART_SIBL
(16,12),(16,23),0.100811 # DEPENDENCYPART_SIBL
(16,12),(16,26),0.0341005 # DEPENDENCYPART_SIBL
(16,12),(16,29),0.0329315 # DEPENDENCYPART_SIBL
(16,12),(16,31),0.0428221 # DEPENDENCYPART_SIBL
(16,12),(16,32),0.365297 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0948489 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.217025 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0160939 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.00206311 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.313759 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.226074 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.261783 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.17338 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.0398955 # DEPENDENCYPART_SIBL
(16,13),(16,26),-0.00238373 # DEPENDENCYPART_SIBL
(16,13),(16,29),-0.0337898 # DEPENDENCYPART_SIBL
(16,13),(16,31),0.00588516 # DEPENDENCYPART_SIBL
(16,13),(16,32),-0.621981 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.235576 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0258651 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0254816 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.030703 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.037476 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.0900188 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0188173 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.039442 # DEPENDENCYPART_SIBL
(16,14),(16,26),0.0243353 # DEPENDENCYPART_SIBL
(16,14),(16,29),-0.0465085 # DEPENDENCYPART_SIBL
(16,14),(16,31),0.0392976 # DEPENDENCYPART_SIBL
(16,14),(16,32),-0.0795718 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.0724783 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0129007 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.228495 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.120233 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.111201 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.10394 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0180363 # DEPENDENCYPART_SIBL
(16,15),(16,26),-0.0206906 # DEPENDENCYPART_SIBL
(16,15),(16,29),-0.126203 # DEPENDENCYPART_SIBL
(16,15),(16,31),-0.0107532 # DEPENDENCYPART_SIBL
(16,15),(16,32),-0.0210785 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.471036 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.355197 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0213809 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0768465 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0615469 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0723079 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.00151108 # DEPENDENCYPART_SIBL
(16,17),(16,29),-0.363934 # DEPENDENCYPART_SIBL
(16,17),(16,31),0.0123073 # DEPENDENCYPART_SIBL
(16,17),(16,32),0.0404049 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.234623 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.00030639 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.216358 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.187101 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.202708 # DEPENDENCYPART_SIBL
(16,18),(16,26),-0.369504 # DEPENDENCYPART_SIBL
(16,18),(16,29),-0.22784 # DEPENDENCYPART_SIBL
(16,18),(16,31),-0.362441 # DEPENDENCYPART_SIBL
(16,18),(16,32),0.063574 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.144022 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.222621 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.163086 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.240106 # DEPENDENCYPART_SIBL
(16,19),(16,26),-0.387433 # DEPENDENCYPART_SIBL
(16,19),(16,29),-0.307184 # DEPENDENCYPART_SIBL
(16,19),(16,31),-0.380715 # DEPENDENCYPART_SIBL
(16,19),(16,32),-0.133259 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.28008 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0511682 # DEPENDENCYPART_SIBL
(16,20),(16,23),0.133484 # DEPENDENCYPART_SIBL
(16,20),(16,26),0.0193815 # DEPENDENCYPART_SIBL
(16,20),(16,29),-0.00615264 # DEPENDENCYPART_SIBL
(16,20),(16,31),0.0527451 # DEPENDENCYPART_SIBL
(16,20),(16,32),0.00149823 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.352915 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.361711 # DEPENDENCYPART_SIBL
(16,21),(16,26),-0.487313 # DEPENDENCYPART_SIBL
(16,21),(16,29),-0.348569 # DEPENDENCYPART_SIBL
(16,21),(16,31),-0.475601 # DEPENDENCYPART_SIBL
(16,21),(16,32),-0.0389501 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.139567 # DEPENDENCYPART_SIBL
(16,22),(16,26),-0.285646 # DEPENDENCYPART_SIBL
(16,22),(16,29),-0.247097 # DEPENDENCYPART_SIBL
(16,22),(16,31),-0.274841 # DEPENDENCYPART_SIBL
(16,22),(16,32),-0.0599503 # DEPENDENCYPART_SIBL
(16,23),(16,26),-0.11253 # DEPENDENCYPART_SIBL
(16,23),(16,29),-0.138206 # DEPENDENCYPART_SIBL
(16,23),(16,31),-0.101734 # DEPENDENCYPART_SIBL
(16,23),(16,32),-0.00249773 # DEPENDENCYPART_SIBL
(16,26),(16,29),-0.128152 # DEPENDENCYPART_SIBL
(16,26),(16,31),-0.214941 # DEPENDENCYPART_SIBL
(16,26),(16,32),-0.00247158 # DEPENDENCYPART_SIBL
(16,29),(16,31),-0.192301 # DEPENDENCYPART_SIBL
(16,29),(16,32),-0.163362 # DEPENDENCYPART_SIBL
(16,31),(16,32),0.0296845 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0788831 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0757939 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0603799 # DEPENDENCYPART_SIBL
(18,3),(18,4),0.0693417 # DEPENDENCYPART_SIBL
(18,3),(18,7),0.103678 # DEPENDENCYPART_SIBL
(18,3),(18,8),-0.099929 # DEPENDENCYPART_SIBL
(18,3),(18,9),0.170371 # DEPENDENCYPART_SIBL
(18,3),(18,11),0.0998053 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.099929 # DEPENDENCYPART_SIBL
(18,3),(18,14),0.00651585 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.145127 # DEPENDENCYPART_SIBL
(18,3),(18,17),0.134564 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.104151 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.131892 # DEPENDENCYPART_SIBL
(18,3),(18,21),0.0341676 # DEPENDENCYPART_SIBL
(18,3),(18,22),-0.0876396 # DEPENDENCYPART_SIBL
(18,3),(18,23),-0.0606181 # DEPENDENCYPART_SIBL
(18,3),(18,26),-0.0342025 # DEPENDENCYPART_SIBL
(18,3),(18,27),-0.0820499 # DEPENDENCYPART_SIBL
(18,3),(18,28),-0.0964452 # DEPENDENCYPART_SIBL
(18,3),(18,29),-0.0887325 # DEPENDENCYPART_SIBL
(18,3),(18,32),0.163413 # DEPENDENCYPART_SIBL
(18,4),(18,7),0.0729343 # DEPENDENCYPART_SIBL
(18,4),(18,8),-0.0184559 # DEPENDENCYPART_SIBL
(18,4),(18,9),0.0429735 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0445973 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.0184559 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.0380734 # DEPENDENCYPART_SIBL
(18,4),(18,15),0.010001 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.046548 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.0461747 # DEPENDENCYPART_SIBL
(18,4),(18,20),-0.0986355 # DEPENDENCYPART_SIBL
(18,4),(18,21),0.0237109 # DEPENDENCYPART_SIBL
(18,4),(18,22),-0.0059063 # DEPENDENCYPART_SIBL
(18,4),(18,23),-0.0258256 # DEPENDENCYPART_SIBL
(18,4),(18,26),-0.024707 # DEPENDENCYPART_SIBL
(18,4),(18,27),-0.0667838 # DEPENDENCYPART_SIBL
(18,4),(18,28),-0.0575751 # DEPENDENCYPART_SIBL
(18,4),(18,29),-0.0465654 # DEPENDENCYPART_SIBL
(18,4),(18,32),0.0961712 # DEPENDENCYPART_SIBL
(18,7),(18,8),-0.079933 # DEPENDENCYPART_SIBL
(18,7),(18,9),0.0567 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.00367605 # DEPENDENCYPART_SIBL
(18,7),(18,13),-0.079933 # DEPENDENCYPART_SIBL
(18,7),(18,14),0.186094 # DEPENDENCYPART_SIBL
(18,7),(18,15),0.0469065 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.0468607 # DEPENDENCYPART_SIBL
(18,7),(18,19),0.0276694 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.0152308 # DEPENDENCYPART_SIBL
(18,7),(18,21),0.0393302 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.030922 # DEPENDENCYPART_SIBL
(18,7),(18,23),-0.017835 # DEPENDENCYPART_SIBL
(18,7),(18,26),-0.0448477 # DEPENDENCYPART_SIBL
(18,7),(18,27),-0.0601405 # DEPENDENCYPART_SIBL
(18,7),(18,28),-0.0196648 # DEPENDENCYPART_SIBL
(18,7),(18,29),-0.0295858 # DEPENDENCYPART_SIBL
