# _root_ The 7 1\/8 % issue of Triborough Bridge and Tunnel Authority of New York , due 2019 , was off 5\/8 at 98 1\/8 bid .
#goldHeads=5,3,5,3,19,5,8,6,8,11,9,8,14,12,5,5,16,5,0,19,20,19,24,25,22,19,
#predictedHeads=5,3,5,3,19,5,8,6,8,11,9,11,14,12,5,5,16,19,0,19,20,19,24,22,24,19,
(14,10),(14,18),-0.00383719 # DEPENDENCYPART_SIBL
(14,10),(14,19),0.0848338 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.0123183 # DEPENDENCYPART_SIBL
(14,10),(14,24),0.0320608 # DEPENDENCYPART_SIBL
(14,10),(14,26),0.0518667 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0173797 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.20013 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0147426 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0316002 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0268947 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0147426 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.0832903 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.00870727 # DEPENDENCYPART_SIBL
(14,11),(14,24),0.0291349 # DEPENDENCYPART_SIBL
(14,11),(14,26),0.0361288 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.143926 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.106452 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0433417 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.051726 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.106452 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.0114303 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.00325739 # DEPENDENCYPART_SIBL
(14,12),(14,24),0.0428521 # DEPENDENCYPART_SIBL
(14,12),(14,26),-0.0590121 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0972602 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0158802 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.018317 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0972602 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.0874313 # DEPENDENCYPART_SIBL
(14,13),(14,20),-0.0137709 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.0205485 # DEPENDENCYPART_SIBL
(14,13),(14,26),-0.0196882 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.280901 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.600593 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.10509 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.489062 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.37321 # DEPENDENCYPART_SIBL
(14,15),(14,24),0.561381 # DEPENDENCYPART_SIBL
(14,15),(14,26),0.0047466 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0316948 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.0990683 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0789096 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.114819 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.0422706 # DEPENDENCYPART_SIBL
(14,16),(14,26),0.0160825 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.188648 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.00777476 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0547899 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.00227709 # DEPENDENCYPART_SIBL
(14,17),(14,26),-0.0536549 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.489062 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.37321 # DEPENDENCYPART_SIBL
(14,18),(14,24),0.561381 # DEPENDENCYPART_SIBL
(14,18),(14,26),0.0047466 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.068766 # DEPENDENCYPART_SIBL
(14,19),(14,24),-0.0206729 # DEPENDENCYPART_SIBL
(14,19),(14,26),0.00964471 # DEPENDENCYPART_SIBL
(14,20),(14,24),-0.0384117 # DEPENDENCYPART_SIBL
(14,20),(14,26),0.0522864 # DEPENDENCYPART_SIBL
(14,24),(14,26),-0.046377 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.0504837 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.0121614 # DEPENDENCYPART_SIBL
(16,8),(16,14),0.0669054 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.551319 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0482247 # DEPENDENCYPART_SIBL
(16,8),(16,18),-0.0139455 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0376981 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.077788 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.0458267 # DEPENDENCYPART_SIBL
(16,8),(16,22),-0.114396 # DEPENDENCYPART_SIBL
(16,8),(16,23),-0.0465898 # DEPENDENCYPART_SIBL
(16,8),(16,24),-0.0447759 # DEPENDENCYPART_SIBL
(16,8),(16,25),-0.0337363 # DEPENDENCYPART_SIBL
(16,8),(16,26),0.0279209 # DEPENDENCYPART_SIBL
(16,11),(16,13),0.00503633 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.0597804 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.565082 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0498436 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0607102 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.037541 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0803681 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0474457 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0925707 # DEPENDENCYPART_SIBL
(16,11),(16,23),-0.0482087 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.0463948 # DEPENDENCYPART_SIBL
(16,11),(16,25),-0.0300653 # DEPENDENCYPART_SIBL
(16,11),(16,26),-0.000435569 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.214647 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.680098 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.023915 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0580837 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.00808827 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.0659531 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0215171 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.0751189 # DEPENDENCYPART_SIBL
(16,13),(16,23),-0.0222802 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.0204749 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.0632565 # DEPENDENCYPART_SIBL
(16,13),(16,26),0.000299855 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.541826 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0358039 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.07575 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.00646854 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0663751 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.033406 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.101922 # DEPENDENCYPART_SIBL
(16,14),(16,23),-0.034169 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.0323551 # DEPENDENCYPART_SIBL
(16,14),(16,25),-0.0303748 # DEPENDENCYPART_SIBL
(16,14),(16,26),-0.0173954 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0882473 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0382439 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0752583 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.10399 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0994654 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.0530874 # DEPENDENCYPART_SIBL
(16,15),(16,23),-0.0872635 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.117746 # DEPENDENCYPART_SIBL
(16,15),(16,25),-0.125568 # DEPENDENCYPART_SIBL
(16,15),(16,26),0.0401109 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.132124 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0956904 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.113136 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.129713 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.128906 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.117776 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.121763 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.116364 # DEPENDENCYPART_SIBL
(16,17),(16,26),-0.0916458 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.342619 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.608573 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.0203777 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.0450511 # DEPENDENCYPART_SIBL
(16,18),(16,23),0.0338043 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.0280674 # DEPENDENCYPART_SIBL
(16,18),(16,25),0.416342 # DEPENDENCYPART_SIBL
(16,18),(16,26),0.00406825 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0308204 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.07454 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.0392364 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0709328 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.0716897 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.0826521 # DEPENDENCYPART_SIBL
(16,19),(16,26),0.0797823 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.103437 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.118108 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.10315 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.102979 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.0600634 # DEPENDENCYPART_SIBL
(16,20),(16,26),0.0487989 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.119383 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.119179 # DEPENDENCYPART_SIBL
(16,21),(16,24),-0.123166 # DEPENDENCYPART_SIBL
(16,21),(16,25),-0.117844 # DEPENDENCYPART_SIBL
(16,21),(16,26),-0.0954636 # DEPENDENCYPART_SIBL
(16,22),(16,23),0.0269505 # DEPENDENCYPART_SIBL
(16,22),(16,24),0.0248721 # DEPENDENCYPART_SIBL
(16,22),(16,25),0.101856 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.0806311 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.120981 # DEPENDENCYPART_SIBL
(16,23),(16,25),-0.115097 # DEPENDENCYPART_SIBL
(16,23),(16,26),-0.0909186 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.119058 # DEPENDENCYPART_SIBL
(16,24),(16,26),-0.0768468 # DEPENDENCYPART_SIBL
(16,25),(16,26),-0.00920423 # DEPENDENCYPART_SIBL
(17,2),(17,3),0.257834 # DEPENDENCYPART_SIBL
(17,2),(17,5),0.23053 # DEPENDENCYPART_SIBL
(17,2),(17,12),0.616114 # DEPENDENCYPART_SIBL
(17,2),(17,15),0.53775 # DEPENDENCYPART_SIBL
(17,2),(17,16),0.289334 # DEPENDENCYPART_SIBL
(17,2),(17,18),0.0397793 # DEPENDENCYPART_SIBL
(17,2),(17,19),0.0100355 # DEPENDENCYPART_SIBL
(17,2),(17,20),0.0781568 # DEPENDENCYPART_SIBL
(17,2),(17,21),0.0437123 # DEPENDENCYPART_SIBL
(17,2),(17,22),0.110648 # DEPENDENCYPART_SIBL
(17,2),(17,24),0.0461367 # DEPENDENCYPART_SIBL
(17,2),(17,25),0.329431 # DEPENDENCYPART_SIBL
(17,3),(17,5),0.210837 # DEPENDENCYPART_SIBL
(17,3),(17,12),0.5964 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.520137 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.275224 # DEPENDENCYPART_SIBL
(17,3),(17,18),0.0272164 # DEPENDENCYPART_SIBL
(17,3),(17,19),-0.0276681 # DEPENDENCYPART_SIBL
(17,3),(17,20),0.0618447 # DEPENDENCYPART_SIBL
(17,3),(17,21),0.0233615 # DEPENDENCYPART_SIBL
(17,3),(17,22),0.0921085 # DEPENDENCYPART_SIBL
(17,3),(17,24),0.0249707 # DEPENDENCYPART_SIBL
(17,3),(17,25),0.224484 # DEPENDENCYPART_SIBL
(17,5),(17,12),0.288497 # DEPENDENCYPART_SIBL
(17,5),(17,15),0.276462 # DEPENDENCYPART_SIBL
(17,5),(17,16),-0.0258752 # DEPENDENCYPART_SIBL
(17,5),(17,18),-0.00833189 # DEPENDENCYPART_SIBL
(17,5),(17,19),-0.0189495 # DEPENDENCYPART_SIBL
(17,5),(17,20),0.0701461 # DEPENDENCYPART_SIBL
(17,5),(17,21),-0.0281352 # DEPENDENCYPART_SIBL
(17,5),(17,22),0.0453298 # DEPENDENCYPART_SIBL
(17,5),(17,24),-0.014107 # DEPENDENCYPART_SIBL
(17,5),(17,25),0.0334213 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.227409 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0369068 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0880965 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.0980143 # DEPENDENCYPART_SIBL
(17,12),(17,20),-0.00955902 # DEPENDENCYPART_SIBL
(17,12),(17,21),-0.0205113 # DEPENDENCYPART_SIBL
(17,12),(17,22),-0.0513292 # DEPENDENCYPART_SIBL
(17,12),(17,24),-0.0268793 # DEPENDENCYPART_SIBL
(17,12),(17,25),-0.0325105 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.337265 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0334404 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0971628 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.0793776 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.11009 # DEPENDENCYPART_SIBL
(17,15),(17,22),0.00177424 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.128346 # DEPENDENCYPART_SIBL
(17,15),(17,25),-0.081224 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0269781 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0311809 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0095637 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.072981 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0973145 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.0728149 # DEPENDENCYPART_SIBL
(17,16),(17,25),0.172891 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.527351 # DEPENDENCYPART_SIBL
(17,18),(17,20),0.536947 # DEPENDENCYPART_SIBL
(17,18),(17,21),0.543568 # DEPENDENCYPART_SIBL
(17,18),(17,22),0.129919 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.550028 # DEPENDENCYPART_SIBL
(17,18),(17,25),0.630822 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0487185 # DEPENDENCYPART_SIBL
(17,19),(17,21),0.0306717 # DEPENDENCYPART_SIBL
(17,19),(17,22),0.00183357 # DEPENDENCYPART_SIBL
(17,19),(17,24),0.0330478 # DEPENDENCYPART_SIBL
(17,19),(17,25),-0.0137954 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.0508118 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.12482 # DEPENDENCYPART_SIBL
(17,20),(17,24),0.0507952 # DEPENDENCYPART_SIBL
(17,20),(17,25),0.0704141 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0917696 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.00448898 # DEPENDENCYPART_SIBL
(17,21),(17,25),-0.0109141 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.0770414 # DEPENDENCYPART_SIBL
(17,22),(17,25),0.131857 # DEPENDENCYPART_SIBL
(17,24),(17,25),-0.0125677 # DEPENDENCYPART_SIBL
(19,2),(19,3),-0.22971 # DEPENDENCYPART_SIBL
(19,2),(19,4),-0.391279 # DEPENDENCYPART_SIBL
(19,2),(19,5),-0.200281 # DEPENDENCYPART_SIBL
(19,2),(19,6),-0.0514532 # DEPENDENCYPART_SIBL
(19,2),(19,7),-0.141204 # DEPENDENCYPART_SIBL
(19,2),(19,8),-0.137811 # DEPENDENCYPART_SIBL
(19,2),(19,9),-0.0533198 # DEPENDENCYPART_SIBL
(19,2),(19,10),-0.141204 # DEPENDENCYPART_SIBL
(19,2),(19,11),-0.138421 # DEPENDENCYPART_SIBL
(19,2),(19,12),-0.0514532 # DEPENDENCYPART_SIBL
(19,2),(19,13),-0.136887 # DEPENDENCYPART_SIBL
(19,2),(19,14),-0.172686 # DEPENDENCYPART_SIBL
(19,2),(19,15),-0.117302 # DEPENDENCYPART_SIBL
(19,2),(19,16),-0.0736525 # DEPENDENCYPART_SIBL
(19,2),(19,17),-0.21634 # DEPENDENCYPART_SIBL
(19,2),(19,18),-0.117302 # DEPENDENCYPART_SIBL
(19,2),(19,20),0.031472 # DEPENDENCYPART_SIBL
(19,2),(19,21),-0.0764613 # DEPENDENCYPART_SIBL
(19,2),(19,22),-0.103135 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.0694393 # DEPENDENCYPART_SIBL
(19,2),(19,24),-0.0813002 # DEPENDENCYPART_SIBL
(19,2),(19,25),0.0304663 # DEPENDENCYPART_SIBL
(19,2),(19,26),-0.0591333 # DEPENDENCYPART_SIBL
(19,3),(19,4),-0.38595 # DEPENDENCYPART_SIBL
(19,3),(19,5),-0.202716 # DEPENDENCYPART_SIBL
(19,3),(19,6),-0.0519575 # DEPENDENCYPART_SIBL
(19,3),(19,7),-0.140336 # DEPENDENCYPART_SIBL
(19,3),(19,8),-0.136943 # DEPENDENCYPART_SIBL
(19,3),(19,9),-0.0522817 # DEPENDENCYPART_SIBL
(19,3),(19,10),-0.140336 # DEPENDENCYPART_SIBL
(19,3),(19,11),-0.137553 # DEPENDENCYPART_SIBL
(19,3),(19,12),-0.0519575 # DEPENDENCYPART_SIBL
(19,3),(19,13),-0.136018 # DEPENDENCYPART_SIBL
(19,3),(19,14),-0.171818 # DEPENDENCYPART_SIBL
(19,3),(19,15),-0.116825 # DEPENDENCYPART_SIBL
(19,3),(19,16),-0.0694872 # DEPENDENCYPART_SIBL
(19,3),(19,17),-0.230972 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.116825 # DEPENDENCYPART_SIBL
(19,3),(19,20),0.0495961 # DEPENDENCYPART_SIBL
(19,3),(19,21),-0.0622459 # DEPENDENCYPART_SIBL
(19,3),(19,22),-0.0867659 # DEPENDENCYPART_SIBL
(19,3),(19,23),-0.0552445 # DEPENDENCYPART_SIBL
(19,3),(19,24),-0.0679346 # DEPENDENCYPART_SIBL
(19,3),(19,25),-0.0050526 # DEPENDENCYPART_SIBL
(19,3),(19,26),-0.0567021 # DEPENDENCYPART_SIBL
(19,4),(19,5),-0.777629 # DEPENDENCYPART_SIBL
(19,4),(19,6),-0.165733 # DEPENDENCYPART_SIBL
(19,4),(19,7),-0.617233 # DEPENDENCYPART_SIBL
(19,4),(19,8),-0.605781 # DEPENDENCYPART_SIBL
(19,4),(19,9),-0.379905 # DEPENDENCYPART_SIBL
(19,4),(19,10),-0.617233 # DEPENDENCYPART_SIBL
(19,4),(19,11),-0.613056 # DEPENDENCYPART_SIBL
(19,4),(19,12),-0.165733 # DEPENDENCYPART_SIBL
(19,4),(19,13),-0.624029 # DEPENDENCYPART_SIBL
(19,4),(19,14),-0.642693 # DEPENDENCYPART_SIBL
(19,4),(19,15),-0.17675 # DEPENDENCYPART_SIBL
(19,4),(19,16),-0.409887 # DEPENDENCYPART_SIBL
(19,4),(19,17),-0.437568 # DEPENDENCYPART_SIBL
(19,4),(19,18),-0.17675 # DEPENDENCYPART_SIBL
(19,4),(19,20),0.144095 # DEPENDENCYPART_SIBL
(19,4),(19,21),-0.0252577 # DEPENDENCYPART_SIBL
(19,4),(19,22),0.0234844 # DEPENDENCYPART_SIBL
(19,4),(19,23),-0.0160195 # DEPENDENCYPART_SIBL
(19,4),(19,24),-0.0142647 # DEPENDENCYPART_SIBL
(19,4),(19,25),-0.00915906 # DEPENDENCYPART_SIBL
(19,4),(19,26),0.0247892 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.0455843 # DEPENDENCYPART_SIBL
(19,5),(19,7),-0.508056 # DEPENDENCYPART_SIBL
(19,5),(19,8),-0.496604 # DEPENDENCYPART_SIBL
(19,5),(19,9),-0.330067 # DEPENDENCYPART_SIBL
(19,5),(19,10),-0.508056 # DEPENDENCYPART_SIBL
(19,5),(19,11),-0.503879 # DEPENDENCYPART_SIBL
(19,5),(19,12),-0.0455843 # DEPENDENCYPART_SIBL
(19,5),(19,13),-0.513576 # DEPENDENCYPART_SIBL
(19,5),(19,14),-0.532228 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.0468052 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.351958 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.346983 # DEPENDENCYPART_SIBL
(19,5),(19,18),0.0468052 # DEPENDENCYPART_SIBL
(19,5),(19,20),0.20731 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.00211829 # DEPENDENCYPART_SIBL
(19,5),(19,22),0.0827563 # DEPENDENCYPART_SIBL
(19,5),(19,23),0.0162394 # DEPENDENCYPART_SIBL
(19,5),(19,24),0.0208047 # DEPENDENCYPART_SIBL
(19,5),(19,25),-0.0224838 # DEPENDENCYPART_SIBL
(19,5),(19,26),0.0238149 # DEPENDENCYPART_SIBL
(19,6),(19,7),0.0117651 # DEPENDENCYPART_SIBL
(19,6),(19,8),0.0143416 # DEPENDENCYPART_SIBL
(19,6),(19,9),-0.156213 # DEPENDENCYPART_SIBL
(19,6),(19,10),0.0117651 # DEPENDENCYPART_SIBL
(19,6),(19,11),0.0120939 # DEPENDENCYPART_SIBL
(19,6),(19,12),-0.166578 # DEPENDENCYPART_SIBL
(19,6),(19,13),0.0155732 # DEPENDENCYPART_SIBL
(19,6),(19,14),-0.0349734 # DEPENDENCYPART_SIBL
(19,6),(19,15),0.161123 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.0796758 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.120941 # DEPENDENCYPART_SIBL
(19,6),(19,18),0.161123 # DEPENDENCYPART_SIBL
(19,6),(19,20),0.0426312 # DEPENDENCYPART_SIBL
(19,6),(19,21),-0.0343104 # DEPENDENCYPART_SIBL
(19,6),(19,22),-0.099287 # DEPENDENCYPART_SIBL
(19,6),(19,23),-0.0257141 # DEPENDENCYPART_SIBL
(19,6),(19,24),-0.0543506 # DEPENDENCYPART_SIBL
(19,6),(19,25),-0.088784 # DEPENDENCYPART_SIBL
(19,6),(19,26),-0.0254047 # DEPENDENCYPART_SIBL
(19,7),(19,8),-0.485127 # DEPENDENCYPART_SIBL
(19,7),(19,9),-0.254039 # DEPENDENCYPART_SIBL
(19,7),(19,10),-0.484534 # DEPENDENCYPART_SIBL
(19,7),(19,11),-0.468195 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.128102 # DEPENDENCYPART_SIBL
(19,7),(19,13),-0.508621 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.498941 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.007729 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.201445 # DEPENDENCYPART_SIBL
(19,7),(19,17),-0.229655 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.007729 # DEPENDENCYPART_SIBL
(19,7),(19,20),0.0723118 # DEPENDENCYPART_SIBL
(19,7),(19,21),0.00278198 # DEPENDENCYPART_SIBL
(19,7),(19,22),-0.0391944 # DEPENDENCYPART_SIBL
(19,7),(19,23),0.00450738 # DEPENDENCYPART_SIBL
(19,7),(19,24),-0.00352413 # DEPENDENCYPART_SIBL
(19,7),(19,25),-0.0167921 # DEPENDENCYPART_SIBL
(19,7),(19,26),-0.0159933 # DEPENDENCYPART_SIBL
(19,8),(19,9),-0.254667 # DEPENDENCYPART_SIBL
(19,8),(19,10),-0.486444 # DEPENDENCYPART_SIBL
(19,8),(19,11),-0.470104 # DEPENDENCYPART_SIBL
(19,8),(19,12),-0.130282 # DEPENDENCYPART_SIBL
(19,8),(19,13),-0.510531 # DEPENDENCYPART_SIBL
(19,8),(19,14),-0.50085 # DEPENDENCYPART_SIBL
(19,8),(19,15),-0.0175995 # DEPENDENCYPART_SIBL
(19,8),(19,16),-0.202094 # DEPENDENCYPART_SIBL
(19,8),(19,17),-0.231171 # DEPENDENCYPART_SIBL
(19,8),(19,18),-0.0175995 # DEPENDENCYPART_SIBL
(19,8),(19,20),0.0767989 # DEPENDENCYPART_SIBL
(19,8),(19,21),0.00693154 # DEPENDENCYPART_SIBL
(19,8),(19,22),-0.0531016 # DEPENDENCYPART_SIBL
(19,8),(19,23),0.00865694 # DEPENDENCYPART_SIBL
(19,8),(19,24),0.000625424 # DEPENDENCYPART_SIBL
(19,8),(19,25),-0.00898299 # DEPENDENCYPART_SIBL
(19,8),(19,26),0.0103617 # DEPENDENCYPART_SIBL
(19,9),(19,10),0.0224252 # DEPENDENCYPART_SIBL
(19,9),(19,11),0.00701288 # DEPENDENCYPART_SIBL
(19,9),(19,12),0.00181862 # DEPENDENCYPART_SIBL
(19,9),(19,13),0.0303531 # DEPENDENCYPART_SIBL
(19,9),(19,14),-0.00332125 # DEPENDENCYPART_SIBL
(19,9),(19,15),0.274195 # DEPENDENCYPART_SIBL
(19,9),(19,16),-0.0118084 # DEPENDENCYPART_SIBL
(19,9),(19,17),-0.0238732 # DEPENDENCYPART_SIBL
(19,9),(19,18),0.274195 # DEPENDENCYPART_SIBL
(19,9),(19,20),0.0579383 # DEPENDENCYPART_SIBL
(19,9),(19,21),-0.0543638 # DEPENDENCYPART_SIBL
(19,9),(19,22),-0.097304 # DEPENDENCYPART_SIBL
(19,9),(19,23),-0.050918 # DEPENDENCYPART_SIBL
(19,9),(19,24),-0.0613548 # DEPENDENCYPART_SIBL
(19,9),(19,25),-0.0340335 # DEPENDENCYPART_SIBL
(19,9),(19,26),0.0419273 # DEPENDENCYPART_SIBL
(19,10),(19,11),-0.468195 # DEPENDENCYPART_SIBL
(19,10),(19,12),-0.128154 # DEPENDENCYPART_SIBL
(19,10),(19,13),-0.508621 # DEPENDENCYPART_SIBL
(19,10),(19,14),-0.498941 # DEPENDENCYPART_SIBL
(19,10),(19,15),-0.00773031 # DEPENDENCYPART_SIBL
(19,10),(19,16),-0.201445 # DEPENDENCYPART_SIBL
(19,10),(19,17),-0.229655 # DEPENDENCYPART_SIBL
(19,10),(19,18),-0.00773031 # DEPENDENCYPART_SIBL
(19,10),(19,20),0.0723118 # DEPENDENCYPART_SIBL
(19,10),(19,21),0.00278135 # DEPENDENCYPART_SIBL
(19,10),(19,22),-0.0392335 # DEPENDENCYPART_SIBL
(19,10),(19,23),0.00450675 # DEPENDENCYPART_SIBL
(19,10),(19,24),-0.00352476 # DEPENDENCYPART_SIBL
(19,10),(19,25),-0.0168 # DEPENDENCYPART_SIBL
(19,10),(19,26),-0.0143808 # DEPENDENCYPART_SIBL
(19,11),(19,12),-0.122867 # DEPENDENCYPART_SIBL
(19,11),(19,13),-0.512444 # DEPENDENCYPART_SIBL
