# _root_ In the first nine months of 1988 , net was $ 85 million , or $ 3.76 a share .
#goldHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
#predictedHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
(6,8),(6,10),0.553103 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0302822 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0302822 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.407798 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.397076 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.378183 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.378183 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0187229 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.242331 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.242331 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.50192 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.757704 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.119145 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.119145 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0991985 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.52506 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00989842 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0298964 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0151844 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0958525 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00989842 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0777718 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.263434 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0527121 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0258184 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0904054 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.017316 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0527121 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0400407 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0464266 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0228571 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.082577 # DEPENDENCYPART_SIBL
(7,6),(7,11),-4.76208e-05 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0464266 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.109859 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.457902 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.668024 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.361367 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.395678 # DEPENDENCYPART_SIBL
(7,8),(7,15),1.04041 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0171703 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0622948 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0954204 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0535824 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0672521 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.34399 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.098578 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.108354 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0608889 # DEPENDENCYPART_SIBL
(7,14),(7,15),1.04041 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.00831514 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0365867 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0234805 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.311966 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0361715 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.026402 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.00857104 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0683529 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0281491 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.140499 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0877794 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.132398 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.128034 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0272804 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.000255522 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0631963 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.028931 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0061857 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.221055 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0425327 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.00761854 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0531273 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0617638 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0810131 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.134041 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0929101 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0962027 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0881662 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.123781 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0774212 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0551915 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0867785 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0329363 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.232203 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.146733 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0921211 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0713064 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0994165 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0619091 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.160137 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.295835 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.117999 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.943962 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.343473 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.00458577 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0112812 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.020442 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.07271 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.057524 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0817051 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.102361 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.43076 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0817443 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0246322 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0402623 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0258517 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.027964 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0658722 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0246322 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.124932 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.0586463 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0451853 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.138201 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.303458 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.201325 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.120092 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.134155 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.046368 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.191311 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.137378 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.140181 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.132034 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.150677 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.191311 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.120238 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.186214 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.122218 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.157696 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0981897 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.133102 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.256419 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.00995112 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0844785 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0559711 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.103121 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0572183 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.030795 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0844785 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.00977614 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0166679 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.248571 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.045232 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.222331 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.116133 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.00193449 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.052778 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0574052 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0745202 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.125352 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0325445 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.052778 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.017402 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0239393 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0446495 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.362978 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0257552 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.236867 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.290291 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.239867 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.253483 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.268928 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.268149 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.290291 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.292822 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.352244 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.143149 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.161123 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0101354 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0690147 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0265133 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0190076 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.047475 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.073683 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0690147 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.126663 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0254047 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.13709 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00507135 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0918585 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0870432 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.104159 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.111402 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0650692 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0918585 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0862574 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0937221 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0685151 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0239403 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00621939 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0143602 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.00268046 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0470964 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0239403 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.116609 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.0636823 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.144878 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0258708 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0206931 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.00862689 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0213189 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.144878 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.085865 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0723718 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0290941 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00787175 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0913932 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0556526 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.208455 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.128527 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.00421127 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0688105 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0399964 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.113053 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0709734 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.189726 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0632264 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0115897 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0592863 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0725444 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.255247 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0808147 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.661936 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0248513 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0842209 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.0041776 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.200566 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.196717 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.264122 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.128527 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.00421127 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.103118 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.0213172 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.00378493 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0512542 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.131818 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0657769 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0759289 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0731979 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0874136 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.141156 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.156153 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0496323 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.0218879 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.136787 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.260655 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0569953 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0313201 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0389212 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0131836 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0566761 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0204927 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.00956002 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.07305 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0238809 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0113468 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0770767 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.033407 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0236824 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.0560446 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0699331 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.0817012 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0519072 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0474693 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.157651 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0436365 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00430151 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.121812 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0830476 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.149595 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0763206 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.16583 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0920895 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0480413 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.09174 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0638081 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0199791 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.190951 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.16917 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.117884 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.210232 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0628719 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.186599 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.145546 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.107156 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.126401 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.096193 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.124883 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.317416 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.138197 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.16022 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0730064 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.114189 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.0924581 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.164885 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.250917 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0966036 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.379969 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.20973 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0267153 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.128333 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.0181216 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0818435 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.554726 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.194148 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0154023 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.013037 # DEPENDENCYPART_SIBL
(11,13),(11,20),0.0384997 # DEPENDENCYPART_SIBL
(11,14),(11,15),1.85856 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.409187 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0370808 # DEPENDENCYPART_SIBL
(11,14),(11,19),0.141639 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0206467 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0234788 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.213359 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.187216 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.250618 # DEPENDENCYPART_SIBL
(11,16),(11,17),0.313319 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.107285 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.0518855 # DEPENDENCYPART_SIBL
(11,17),(11,19),0.112575 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.00620132 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.0461866 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.260006 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0210762 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0657606 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.099683 # DEPENDENCYPART_SIBL
(12,7),(12,19),0.273732 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.102615 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.135675 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0738016 # DEPENDENCYPART_SIBL
(12,9),(12,19),0.123735 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0423044 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0668037 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0484215 # DEPENDENCYPART_SIBL
(12,15),(12,16),0.0544217 # DEPENDENCYPART_SIBL
(12,15),(12,19),0.107839 # DEPENDENCYPART_SIBL
(12,16),(12,19),0.0583911 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0454588 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0353823 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0997287 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.283343 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.00991615 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0865902 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.0234041 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0205086 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.0759617 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.0993333 # DEPENDENCYPART_SIBL
(13,5),(13,6),0.245589 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0283173 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.118075 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0530675 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.000701134 # DEPENDENCYPART_SIBL
(13,5),(13,14),0.0262665 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.00630755 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.0262463 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0916332 # DEPENDENCYPART_SIBL
(13,6),(13,7),0.086571 # DEPENDENCYPART_SIBL
(13,6),(13,8),0.175789 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.000196826 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0691115 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0232352 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0120352 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0417888 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.0364641 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.295065 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.195413 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0801015 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0487736 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0151534 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.143386 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.319997 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.24009 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.426112 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0577423 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.182148 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.042807 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0438914 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0274974 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0130784 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.111914 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.076942 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.100591 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0374863 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.00364934 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.153199 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.326807 # DEPENDENCYPART_SIBL
(13,14),(13,15),1.01122 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.337832 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.463929 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0656304 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0907601 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0537271 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0559384 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0583393 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.0938605 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.00882871 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0682245 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.336057 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0770115 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.355739 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.120777 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.14176 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.00378493 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0649497 # DEPENDENCYPART_SIBL
(16,1),(16,14),0.131818 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0649314 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0496323 # DEPENDENCYPART_SIBL
(16,1),(16,18),-0.103077 # DEPENDENCYPART_SIBL
(16,1),(16,19),0.0218879 # DEPENDENCYPART_SIBL
(16,1),(16,20),-0.136787 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.0430395 # DEPENDENCYPART_SIBL
(16,6),(16,14),0.0236824 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0597021 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.0436365 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0985055 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.00430151 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.121812 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0762855 # DEPENDENCYPART_SIBL
