# _root_ Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off the auction block .
#goldHeads=13,1,4,1,4,5,8,6,6,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
#predictedHeads=13,1,4,1,4,5,8,6,8,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
(5,2),(5,22),-0.0195528 # DEPENDENCYPART_SIBL
(5,2),(5,26),0.196482 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.014254 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.117463 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00972165 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0376303 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0708261 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00380113 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.134378 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.114034 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0066691 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0280371 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.129616 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.130005 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0162927 # DEPENDENCYPART_SIBL
(5,3),(5,26),-0.292721 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0096295 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0431605 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0702242 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00580217 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0247919 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0869958 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.000248279 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0489903 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0029997 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.0265992 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.00265069 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0663918 # DEPENDENCYPART_SIBL
(5,4),(5,26),0.230821 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.386177 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.298129 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.265027 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.389843 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.213712 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.242021 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.370997 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.285969 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.234333 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.249739 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.328209 # DEPENDENCYPART_SIBL
(5,6),(5,26),-0.142773 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00533812 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00572519 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.319128 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00966863 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0714704 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.273621 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0689946 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.0362833 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0797183 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.000822881 # DEPENDENCYPART_SIBL
(5,8),(5,26),-0.0344311 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.093922 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.165922 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0185795 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0885898 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0113212 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0330078 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0316361 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0968028 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0968 # DEPENDENCYPART_SIBL
(5,9),(5,26),-0.00687221 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.144694 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.06094 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0518823 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.113851 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0706511 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0173211 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0462391 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.00284929 # DEPENDENCYPART_SIBL
(5,10),(5,26),-0.0410344 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0814697 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.093027 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.201374 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0112862 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0906253 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.102091 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0375075 # DEPENDENCYPART_SIBL
(5,11),(5,26),-0.00159479 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.29328 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.236223 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.190083 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.320452 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.327859 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.495066 # DEPENDENCYPART_SIBL
(5,12),(5,26),0.019167 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.188111 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.134205 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0717293 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.344411 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.115861 # DEPENDENCYPART_SIBL
(5,13),(5,26),-0.0387694 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0193986 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0509797 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0848607 # DEPENDENCYPART_SIBL
(5,16),(5,22),0.0346516 # DEPENDENCYPART_SIBL
(5,16),(5,26),-0.0241423 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.0439326 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.00312385 # DEPENDENCYPART_SIBL
(5,17),(5,22),-0.0773075 # DEPENDENCYPART_SIBL
(5,17),(5,26),-0.0259361 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.0731093 # DEPENDENCYPART_SIBL
(5,19),(5,22),-0.136576 # DEPENDENCYPART_SIBL
(5,19),(5,26),-0.0362818 # DEPENDENCYPART_SIBL
(5,20),(5,22),-0.0902469 # DEPENDENCYPART_SIBL
(5,20),(5,26),-0.0437629 # DEPENDENCYPART_SIBL
(5,22),(5,26),0.137323 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.157584 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0618347 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0159012 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0303812 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00121808 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0243872 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0433175 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0458961 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.01571 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0147791 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.00968098 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.025623 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0293146 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.021835 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0156825 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.034175 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.016902 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.00579086 # DEPENDENCYPART_SIBL
(6,1),(6,22),-0.0351093 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.0280031 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0428863 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0184083 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0985898 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00359502 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0314689 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0115432 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.055577 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.00159733 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0676889 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0105111 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0421049 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0281228 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0162158 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0107073 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.105082 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0306971 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.00077127 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0302393 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.0359851 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00346773 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0168596 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0954138 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.101013 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.11424 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0790666 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0990829 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0479306 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0015139 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.0976515 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.103264 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.184602 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.124129 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0133093 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0242347 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.113966 # DEPENDENCYPART_SIBL
(6,3),(6,22),0.116203 # DEPENDENCYPART_SIBL
(6,3),(6,25),0.100989 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0130724 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0074042 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0234151 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0235767 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0130271 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.023233 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00805306 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.03268 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.019052 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0284523 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0153833 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0442205 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.010465 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0396857 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0125852 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0229677 # DEPENDENCYPART_SIBL
(6,4),(6,25),0.0233689 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00575545 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0169574 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0185163 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0440416 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0176038 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0223511 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0408528 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0195736 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0100607 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0306817 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0292615 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.00358815 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.047607 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0232573 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0392364 # DEPENDENCYPART_SIBL
(6,5),(6,25),-0.0169334 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0985429 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0166916 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0749327 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.124338 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.064462 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0636819 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.101147 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0919258 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0597477 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.119025 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.105284 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0635212 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0474435 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0431128 # DEPENDENCYPART_SIBL
(6,7),(6,25),-0.097519 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0690806 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00450671 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.339018 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0318255 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.105636 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.236882 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.248328 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0356323 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.109678 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0364664 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.106915 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.0910896 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.00103132 # DEPENDENCYPART_SIBL
(6,8),(6,25),-0.234644 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.11365 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.139653 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.00783747 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0876581 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0235512 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0122199 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0463017 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.132995 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0326059 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.0963965 # DEPENDENCYPART_SIBL
(6,9),(6,21),-0.180519 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.160147 # DEPENDENCYPART_SIBL
(6,9),(6,25),-0.0284922 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.173957 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0241424 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.103585 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.114564 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.120199 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.158912 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.072541 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0601313 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.101435 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0447417 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0554945 # DEPENDENCYPART_SIBL
(6,10),(6,25),-0.124386 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00626506 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0531263 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.103071 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.102384 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.163651 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0901358 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0167045 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.0604782 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.00452767 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.111224 # DEPENDENCYPART_SIBL
(6,11),(6,25),-0.102426 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.277004 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.217261 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.185547 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.21531 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.177356 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.348942 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.30956 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0308604 # DEPENDENCYPART_SIBL
(6,12),(6,22),0.416103 # DEPENDENCYPART_SIBL
(6,12),(6,25),0.193952 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.151911 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.146332 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0151008 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0969584 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0113295 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.321937 # DEPENDENCYPART_SIBL
(6,13),(6,21),-0.0610868 # DEPENDENCYPART_SIBL
(6,13),(6,22),-0.0254979 # DEPENDENCYPART_SIBL
(6,13),(6,25),-0.151467 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.258252 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0140632 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.118089 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.000294283 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.117437 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.0994888 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.0166334 # DEPENDENCYPART_SIBL
(6,15),(6,25),-0.244455 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.0378154 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0919693 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.027428 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.0974238 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.076303 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.0582886 # DEPENDENCYPART_SIBL
(6,16),(6,25),-0.204772 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0492334 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.00145366 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.0111686 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.121163 # DEPENDENCYPART_SIBL
(6,17),(6,22),-0.0875572 # DEPENDENCYPART_SIBL
(6,17),(6,25),-0.0178443 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0559044 # DEPENDENCYPART_SIBL
(6,18),(6,20),-0.105915 # DEPENDENCYPART_SIBL
(6,18),(6,21),-0.0638246 # DEPENDENCYPART_SIBL
(6,18),(6,22),0.028974 # DEPENDENCYPART_SIBL
(6,18),(6,25),-0.158754 # DEPENDENCYPART_SIBL
(6,19),(6,20),-0.106797 # DEPENDENCYPART_SIBL
(6,19),(6,21),0.0613681 # DEPENDENCYPART_SIBL
(6,19),(6,22),-0.0968177 # DEPENDENCYPART_SIBL
(6,19),(6,25),-0.0290739 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.0615381 # DEPENDENCYPART_SIBL
(6,20),(6,22),-0.0110409 # DEPENDENCYPART_SIBL
(6,20),(6,25),-0.150742 # DEPENDENCYPART_SIBL
(6,21),(6,22),0.0889308 # DEPENDENCYPART_SIBL
(6,21),(6,25),-0.0412513 # DEPENDENCYPART_SIBL
(6,22),(6,25),-0.0861137 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0964516 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0867081 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0773416 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.43437 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0204321 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0432361 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0186031 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0929629 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0912046 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0542081 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.00169591 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.137543 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.15091 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.0155585 # DEPENDENCYPART_SIBL
(8,3),(8,26),-0.427345 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0084339 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00401843 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0567295 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.049138 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0179646 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0259281 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0694076 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.000901065 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0166202 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.00932399 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.040006 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0363251 # DEPENDENCYPART_SIBL
(8,4),(8,22),0.0216338 # DEPENDENCYPART_SIBL
(8,4),(8,26),0.0779579 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0266079 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.318407 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0610075 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0723317 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0122909 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0352195 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.00151011 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0170321 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.000735034 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0552613 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0393173 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0694032 # DEPENDENCYPART_SIBL
(8,5),(8,26),0.0291649 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0555477 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0356313 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0439992 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0179544 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.018415 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0250899 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0504283 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.00519218 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0163796 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0207678 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.0263824 # DEPENDENCYPART_SIBL
(8,6),(8,26),0.0285486 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.151561 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.120128 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.00842189 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0433368 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.322719 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0364613 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.1461 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0838788 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.233376 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.0850284 # DEPENDENCYPART_SIBL
(8,7),(8,26),-0.00711272 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0732162 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.13815 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.075536 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0187227 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.171707 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.320097 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.208691 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.000175423 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.070459 # DEPENDENCYPART_SIBL
(8,9),(8,26),0.119546 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0369087 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.048687 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0735231 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0200533 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.0830844 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0067113 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0771477 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.0303018 # DEPENDENCYPART_SIBL
(8,10),(8,26),-0.065354 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.104126 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.151044 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.169348 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0197289 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.063424 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.164329 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.0827273 # DEPENDENCYPART_SIBL
(8,11),(8,26),-0.06478 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.468423 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.739804 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.14783 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.544115 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.491161 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.382306 # DEPENDENCYPART_SIBL
