# _root_ Under the agreement , Intel will invest $ 3 million to acquire a 4 % stake in Alliant , a maker of minisupercomputers for scientists and engineers .
#goldHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
#predictedHeads=6,3,1,6,6,0,6,7,8,8,7,11,16,15,16,12,16,17,18,21,18,21,22,23,24,25,26,6,
(6,8),(6,11),0.0852957 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0327458 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.08412 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0673212 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0237652 # DEPENDENCYPART_SIBL
(6,8),(6,24),0.129945 # DEPENDENCYPART_SIBL
(6,8),(6,26),-0.00265365 # DEPENDENCYPART_SIBL
(6,8),(6,28),-0.0361714 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0246859 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0213429 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.125304 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0348931 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0489716 # DEPENDENCYPART_SIBL
(6,10),(6,24),0.0248061 # DEPENDENCYPART_SIBL
(6,10),(6,26),0.0158688 # DEPENDENCYPART_SIBL
(6,10),(6,28),-0.0765863 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.112977 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0747312 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.00415847 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0744907 # DEPENDENCYPART_SIBL
(6,11),(6,24),0.0265441 # DEPENDENCYPART_SIBL
(6,11),(6,26),0.0343247 # DEPENDENCYPART_SIBL
(6,11),(6,28),-0.0206582 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.343177 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.20316 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.0717431 # DEPENDENCYPART_SIBL
(6,12),(6,24),-0.111553 # DEPENDENCYPART_SIBL
(6,12),(6,26),0.0413525 # DEPENDENCYPART_SIBL
(6,12),(6,28),-0.00286311 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.056571 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.0200402 # DEPENDENCYPART_SIBL
(6,16),(6,24),0.0665428 # DEPENDENCYPART_SIBL
(6,16),(6,26),0.0291617 # DEPENDENCYPART_SIBL
(6,16),(6,28),-0.0347143 # DEPENDENCYPART_SIBL
(6,17),(6,19),0.0374574 # DEPENDENCYPART_SIBL
(6,17),(6,24),0.0301419 # DEPENDENCYPART_SIBL
(6,17),(6,26),-0.0369468 # DEPENDENCYPART_SIBL
(6,17),(6,28),-0.0535262 # DEPENDENCYPART_SIBL
(6,19),(6,24),0.158243 # DEPENDENCYPART_SIBL
(6,19),(6,26),0.765686 # DEPENDENCYPART_SIBL
(6,19),(6,28),-0.0405891 # DEPENDENCYPART_SIBL
(6,24),(6,26),-0.0808577 # DEPENDENCYPART_SIBL
(6,24),(6,28),-0.0417477 # DEPENDENCYPART_SIBL
(6,26),(6,28),0.00344136 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0436471 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.147298 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00061579 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0249198 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00204748 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0683171 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0713801 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0531372 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00458006 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0872971 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0166862 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0234071 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0265153 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0388555 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0851697 # DEPENDENCYPART_SIBL
(7,1),(7,21),-4.45161e-05 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.017683 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.00544935 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0112178 # DEPENDENCYPART_SIBL
(7,1),(7,28),0.130013 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0986798 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.069396 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.100413 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0144476 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.020908 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0265771 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.150612 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0337851 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0195062 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0218562 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0275882 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0312206 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0271488 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0641987 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.00245689 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0344163 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.00483687 # DEPENDENCYPART_SIBL
(7,3),(7,26),0.0500105 # DEPENDENCYPART_SIBL
(7,3),(7,28),-0.0120944 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0378452 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00605533 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0321886 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0442712 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0418236 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0244784 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0217261 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0479877 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0698268 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0407368 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0518558 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0213453 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0195286 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0463006 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0590422 # DEPENDENCYPART_SIBL
(7,4),(7,24),0.0152074 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.0478245 # DEPENDENCYPART_SIBL
(7,4),(7,28),0.187763 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0596383 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0154306 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.052062 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.051964 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.105105 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00344061 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0311693 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.031293 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.040472 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.022443 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.000309954 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.01063 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.0431504 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.051168 # DEPENDENCYPART_SIBL
(7,5),(7,24),-0.0489338 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.0469661 # DEPENDENCYPART_SIBL
(7,5),(7,28),0.0475443 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0194451 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00560382 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00274481 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0903075 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0462677 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0056451 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0747114 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0238766 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0704825 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0257698 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0386829 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0373286 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.0480441 # DEPENDENCYPART_SIBL
(7,6),(7,24),-0.0475569 # DEPENDENCYPART_SIBL
(7,6),(7,26),-0.00353024 # DEPENDENCYPART_SIBL
(7,6),(7,28),0.00882354 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0603374 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0316233 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.109742 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0438455 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0633223 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.185333 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.141007 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0423721 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0679801 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.141163 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.131169 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0525587 # DEPENDENCYPART_SIBL
(7,8),(7,24),0.0464245 # DEPENDENCYPART_SIBL
(7,8),(7,26),-0.0666797 # DEPENDENCYPART_SIBL
(7,8),(7,28),-0.0499825 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0343088 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0524638 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0413463 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0943799 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.23343 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.228812 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0228496 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.156007 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.00561537 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.220661 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0643739 # DEPENDENCYPART_SIBL
(7,9),(7,24),-0.070513 # DEPENDENCYPART_SIBL
(7,9),(7,26),-0.0946785 # DEPENDENCYPART_SIBL
(7,9),(7,28),-0.114616 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.00932785 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0227336 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0922815 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.2326 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.235024 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0383078 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0964884 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.041098 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.226806 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.00567667 # DEPENDENCYPART_SIBL
(7,10),(7,24),-0.0224435 # DEPENDENCYPART_SIBL
(7,10),(7,26),-0.0232303 # DEPENDENCYPART_SIBL
(7,10),(7,28),-0.0815967 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.126483 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0960991 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.322155 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.180286 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.016223 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.157075 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0552224 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.17596 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.176692 # DEPENDENCYPART_SIBL
(7,11),(7,24),-0.0826758 # DEPENDENCYPART_SIBL
(7,11),(7,26),0.0671081 # DEPENDENCYPART_SIBL
(7,11),(7,28),-0.126815 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0676132 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.221833 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.204153 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0323018 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.142592 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.0602904 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.196987 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.0702088 # DEPENDENCYPART_SIBL
(7,12),(7,24),-0.0581266 # DEPENDENCYPART_SIBL
(7,12),(7,26),-0.0439798 # DEPENDENCYPART_SIBL
(7,12),(7,28),-0.0196932 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.22857 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.221361 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0788763 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.146441 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.0328477 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.213211 # DEPENDENCYPART_SIBL
(7,14),(7,22),-0.0797732 # DEPENDENCYPART_SIBL
(7,14),(7,24),-0.076702 # DEPENDENCYPART_SIBL
(7,14),(7,26),-0.0903329 # DEPENDENCYPART_SIBL
(7,14),(7,28),-0.0969599 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.177515 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.128964 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0989599 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.0744856 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.160363 # DEPENDENCYPART_SIBL
(7,15),(7,22),-0.108632 # DEPENDENCYPART_SIBL
(7,15),(7,24),-0.0667064 # DEPENDENCYPART_SIBL
(7,15),(7,26),0.0697244 # DEPENDENCYPART_SIBL
(7,15),(7,28),-0.0475616 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0966726 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.0152137 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.237394 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.156777 # DEPENDENCYPART_SIBL
(7,16),(7,22),0.0582185 # DEPENDENCYPART_SIBL
(7,16),(7,24),0.103572 # DEPENDENCYPART_SIBL
(7,16),(7,26),0.121231 # DEPENDENCYPART_SIBL
(7,16),(7,28),0.003043 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.122868 # DEPENDENCYPART_SIBL
(7,17),(7,19),0.0533903 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.0864274 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.259897 # DEPENDENCYPART_SIBL
(7,17),(7,24),-0.142829 # DEPENDENCYPART_SIBL
(7,17),(7,26),-0.00146985 # DEPENDENCYPART_SIBL
(7,17),(7,28),-0.0580296 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.00404915 # DEPENDENCYPART_SIBL
(7,18),(7,21),-0.100466 # DEPENDENCYPART_SIBL
(7,18),(7,22),0.0313103 # DEPENDENCYPART_SIBL
(7,18),(7,24),-0.04205 # DEPENDENCYPART_SIBL
(7,18),(7,26),-0.0421412 # DEPENDENCYPART_SIBL
(7,18),(7,28),-0.0508465 # DEPENDENCYPART_SIBL
(7,19),(7,21),0.170762 # DEPENDENCYPART_SIBL
(7,19),(7,22),0.368955 # DEPENDENCYPART_SIBL
(7,19),(7,24),0.145983 # DEPENDENCYPART_SIBL
(7,19),(7,26),0.426302 # DEPENDENCYPART_SIBL
(7,19),(7,28),-0.0209974 # DEPENDENCYPART_SIBL
(7,21),(7,22),-0.0773493 # DEPENDENCYPART_SIBL
(7,21),(7,24),-0.0704518 # DEPENDENCYPART_SIBL
(7,21),(7,26),-0.0327391 # DEPENDENCYPART_SIBL
(7,21),(7,28),-0.0741221 # DEPENDENCYPART_SIBL
(7,22),(7,24),-0.340506 # DEPENDENCYPART_SIBL
(7,22),(7,26),-0.153042 # DEPENDENCYPART_SIBL
(7,22),(7,28),-0.232249 # DEPENDENCYPART_SIBL
(7,24),(7,26),0.0601968 # DEPENDENCYPART_SIBL
(7,24),(7,28),0.0123178 # DEPENDENCYPART_SIBL
(7,26),(7,28),0.0836248 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0337128 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.14759 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0282925 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0283057 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.00298207 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0904083 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0146085 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0416517 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0709247 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0880039 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0557721 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.134187 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0426385 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.00201816 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.10966 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.102011 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.0353898 # DEPENDENCYPART_SIBL
(8,1),(8,22),0.0109839 # DEPENDENCYPART_SIBL
(8,1),(8,24),-0.0598525 # DEPENDENCYPART_SIBL
(8,1),(8,26),-0.255018 # DEPENDENCYPART_SIBL
(8,1),(8,28),-0.0572141 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0736833 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0487839 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0729035 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0624357 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0832396 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0526298 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0851426 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.00237018 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.027057 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0471068 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.107233 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0461751 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0022437 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0134179 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.0650761 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.034902 # DEPENDENCYPART_SIBL
(8,3),(8,22),0.0292687 # DEPENDENCYPART_SIBL
(8,3),(8,24),0.0400782 # DEPENDENCYPART_SIBL
(8,3),(8,26),0.0375838 # DEPENDENCYPART_SIBL
(8,3),(8,28),-0.0510902 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0578663 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0167458 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.000593654 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0750908 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.210232 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.122984 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.111794 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.101999 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0988035 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0176903 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.102213 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.053589 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.136219 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0628719 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.0919561 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.0886953 # DEPENDENCYPART_SIBL
(8,4),(8,24),-0.0325115 # DEPENDENCYPART_SIBL
(8,4),(8,26),-0.269587 # DEPENDENCYPART_SIBL
(8,4),(8,28),-0.096193 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0234694 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0126047 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.132316 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.272185 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.215915 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.138799 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.157102 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.186271 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0850926 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.124446 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.149382 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.159408 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.104418 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.10802 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.161246 # DEPENDENCYPART_SIBL
(8,5),(8,24),-0.150384 # DEPENDENCYPART_SIBL
(8,5),(8,26),-0.15468 # DEPENDENCYPART_SIBL
(8,5),(8,28),-0.189478 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0102494 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0466973 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0647008 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0882284 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0526728 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0360536 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0193368 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0357886 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0245426 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0355498 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.000520303 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.00771768 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0250498 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.0226892 # DEPENDENCYPART_SIBL
(8,6),(8,24),-0.0284854 # DEPENDENCYPART_SIBL
(8,6),(8,26),-0.087987 # DEPENDENCYPART_SIBL
(8,6),(8,28),-0.0469634 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00625309 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.12554 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0983965 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0645391 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0642147 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0338129 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0100936 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0510909 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0291509 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0487435 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0931175 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.0525223 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.0457508 # DEPENDENCYPART_SIBL
(8,7),(8,24),-0.0113459 # DEPENDENCYPART_SIBL
(8,7),(8,26),-0.137671 # DEPENDENCYPART_SIBL
(8,7),(8,28),-0.13136 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.364829 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.101336 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0609495 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0144063 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0899948 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.171878 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0808395 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.393897 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0615445 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0938941 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.0680712 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.337191 # DEPENDENCYPART_SIBL
(8,9),(8,24),0.131152 # DEPENDENCYPART_SIBL
(8,9),(8,26),0.000388117 # DEPENDENCYPART_SIBL
(8,9),(8,28),0.0400728 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.140801 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0251428 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0284204 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0373492 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0872506 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0173667 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.398089 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.0458989 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.0818435 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0299972 # DEPENDENCYPART_SIBL
(8,10),(8,22),0.335477 # DEPENDENCYPART_SIBL
(8,10),(8,24),0.0618217 # DEPENDENCYPART_SIBL
(8,10),(8,26),0.123784 # DEPENDENCYPART_SIBL
(8,10),(8,28),0.0384997 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.188684 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.208844 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.926273 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.196335 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.258012 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.273454 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.193289 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.0471894 # DEPENDENCYPART_SIBL
(8,11),(8,21),0.243107 # DEPENDENCYPART_SIBL
(8,11),(8,22),0.155206 # DEPENDENCYPART_SIBL
(8,11),(8,24),0.173931 # DEPENDENCYPART_SIBL
(8,11),(8,26),0.285306 # DEPENDENCYPART_SIBL
(8,11),(8,28),0.31529 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.123478 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0847586 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.107845 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.13786 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0243475 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.175644 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.0829631 # DEPENDENCYPART_SIBL
