# _root_ The new offer , which seeks 50.3 % of the cellular and broadcasting concern , is for $ 125 a share for 22 million LIN shares .
#goldHeads=3,3,16,3,6,3,8,6,8,14,14,11,12,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
#predictedHeads=3,3,16,3,6,3,8,6,8,14,14,11,14,9,3,0,16,17,18,21,18,18,24,26,26,22,16,
(6,5),(6,18),0.0979435 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.125812 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.22234 # DEPENDENCYPART_SIBL
(6,5),(6,27),-0.474647 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.183983 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0578347 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0585824 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.150997 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0524101 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.185761 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.187727 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.081344 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0588609 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0643248 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0704654 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0643248 # DEPENDENCYPART_SIBL
(6,7),(6,26),-0.32748 # DEPENDENCYPART_SIBL
(6,7),(6,27),-0.0583242 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0295828 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00394293 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.083725 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0689943 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.179469 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.191891 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.00734481 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0791641 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0267334 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.116577 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.0267334 # DEPENDENCYPART_SIBL
(6,8),(6,26),-0.361006 # DEPENDENCYPART_SIBL
(6,8),(6,27),-0.0339806 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0563945 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0821288 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0100744 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0108274 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0107582 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0315993 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.113807 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.069755 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.168511 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.069755 # DEPENDENCYPART_SIBL
(6,9),(6,26),-0.101767 # DEPENDENCYPART_SIBL
(6,9),(6,27),-0.0301297 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0858962 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.124163 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.201003 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.203172 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.109746 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.101799 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0773912 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.181269 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0773912 # DEPENDENCYPART_SIBL
(6,10),(6,26),-0.169204 # DEPENDENCYPART_SIBL
(6,10),(6,27),-0.155555 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0208978 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.255065 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.261832 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0262091 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0289958 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0192957 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.145457 # DEPENDENCYPART_SIBL
(6,11),(6,22),-0.0192957 # DEPENDENCYPART_SIBL
(6,11),(6,26),-0.252659 # DEPENDENCYPART_SIBL
(6,11),(6,27),-0.0512931 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.0582876 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0763127 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0719141 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0552638 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.055166 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.175064 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.055166 # DEPENDENCYPART_SIBL
(6,12),(6,26),-0.0275305 # DEPENDENCYPART_SIBL
(6,12),(6,27),-0.00420191 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.25085 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.00544793 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0387826 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0530012 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0660335 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.0530012 # DEPENDENCYPART_SIBL
(6,13),(6,26),-0.317907 # DEPENDENCYPART_SIBL
(6,13),(6,27),-0.0270447 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0458956 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0381401 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.0228135 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.0510014 # DEPENDENCYPART_SIBL
(6,14),(6,22),0.0228135 # DEPENDENCYPART_SIBL
(6,14),(6,26),-0.311076 # DEPENDENCYPART_SIBL
(6,14),(6,27),0.0274649 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.369971 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.0921547 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.0121989 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.0921547 # DEPENDENCYPART_SIBL
(6,15),(6,26),-0.0845719 # DEPENDENCYPART_SIBL
(6,15),(6,27),-0.0549312 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.073256 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.142118 # DEPENDENCYPART_SIBL
(6,16),(6,22),-0.073256 # DEPENDENCYPART_SIBL
(6,16),(6,26),-0.240404 # DEPENDENCYPART_SIBL
(6,16),(6,27),0.00272087 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.165667 # DEPENDENCYPART_SIBL
(6,17),(6,22),-0.10013 # DEPENDENCYPART_SIBL
(6,17),(6,26),-0.190857 # DEPENDENCYPART_SIBL
(6,17),(6,27),0.0197762 # DEPENDENCYPART_SIBL
(6,18),(6,22),0.177794 # DEPENDENCYPART_SIBL
(6,18),(6,26),-0.330892 # DEPENDENCYPART_SIBL
(6,18),(6,27),-0.0464674 # DEPENDENCYPART_SIBL
(6,22),(6,26),-0.190857 # DEPENDENCYPART_SIBL
(6,22),(6,27),0.0197762 # DEPENDENCYPART_SIBL
(6,26),(6,27),0.0475282 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.179416 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0888353 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0445933 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.113065 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00146461 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.06442 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0437408 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00494009 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.12236 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.173662 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0163825 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00547369 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.128925 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0453767 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.00193773 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00849934 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.158191 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0408535 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.06219 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.096975 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0413725 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0717901 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.021599 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0317365 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00169386 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0394799 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0212903 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0973878 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0721063 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0323806 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.132778 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.127961 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.119299 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.0311358 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0657073 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.530361 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0418313 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.135635 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.016609 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.127064 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0742887 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0589017 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.372034 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.10539 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.114169 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0276279 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0749769 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0996434 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0644478 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0849263 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.074628 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.198079 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.0195838 # DEPENDENCYPART_SIBL
(8,1),(8,22),-0.074628 # DEPENDENCYPART_SIBL
(8,1),(8,26),-0.11207 # DEPENDENCYPART_SIBL
(8,1),(8,27),-0.163968 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.201302 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.359969 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0298581 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0106332 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0873077 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0106035 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.00641592 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0205588 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00261577 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0506908 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0439712 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.143011 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.115621 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0103233 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.103639 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.00895581 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.0103233 # DEPENDENCYPART_SIBL
(8,2),(8,26),0.0671611 # DEPENDENCYPART_SIBL
(8,2),(8,27),0.00376217 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0807406 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.228557 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0779653 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.246197 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.112862 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.157346 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0851057 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0491532 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0533257 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.0569939 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0632412 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0526223 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.148272 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.142903 # DEPENDENCYPART_SIBL
(8,3),(8,21),-0.0768932 # DEPENDENCYPART_SIBL
(8,3),(8,22),-0.148272 # DEPENDENCYPART_SIBL
(8,3),(8,26),-0.0472223 # DEPENDENCYPART_SIBL
(8,3),(8,27),-0.112108 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0359996 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0298818 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0408328 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0658402 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0456999 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.000602905 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0219707 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0246561 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0360622 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.127688 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0493599 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.130595 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0295243 # DEPENDENCYPART_SIBL
(8,4),(8,21),-0.0206275 # DEPENDENCYPART_SIBL
(8,4),(8,22),-0.130595 # DEPENDENCYPART_SIBL
(8,4),(8,26),-0.0409565 # DEPENDENCYPART_SIBL
(8,4),(8,27),0.0835784 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.104562 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.251036 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0666021 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.102312 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0469008 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.111316 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.108567 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0908134 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.151722 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.111748 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0832182 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.109345 # DEPENDENCYPART_SIBL
(8,5),(8,21),-0.0607164 # DEPENDENCYPART_SIBL
(8,5),(8,22),-0.0832182 # DEPENDENCYPART_SIBL
(8,5),(8,26),-0.0510001 # DEPENDENCYPART_SIBL
(8,5),(8,27),-0.453325 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.080238 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0930988 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0996959 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0716755 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0209536 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0775129 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0810112 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0238892 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0724806 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.153116 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0875996 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0453178 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.153116 # DEPENDENCYPART_SIBL
(8,6),(8,26),-0.0627611 # DEPENDENCYPART_SIBL
(8,6),(8,27),-0.00476657 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0279587 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.037492 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0134704 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0699462 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0753392 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0787544 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.00734573 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.00103806 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0130682 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0475347 # DEPENDENCYPART_SIBL
(8,7),(8,21),0.0104606 # DEPENDENCYPART_SIBL
(8,7),(8,22),-0.0130682 # DEPENDENCYPART_SIBL
(8,7),(8,26),-0.0223961 # DEPENDENCYPART_SIBL
(8,7),(8,27),-0.00618444 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0695427 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0864295 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.335872 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.22356 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.185598 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.310191 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.179381 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0277922 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.0777312 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.19464 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.0277922 # DEPENDENCYPART_SIBL
(8,9),(8,26),0.0504778 # DEPENDENCYPART_SIBL
(8,9),(8,27),0.0388245 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0501323 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0999727 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0740708 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0888371 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0483254 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.142205 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.150279 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.11687 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.0501227 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.150279 # DEPENDENCYPART_SIBL
(8,10),(8,26),-0.0765958 # DEPENDENCYPART_SIBL
(8,10),(8,27),-0.18377 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0242032 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0404695 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.059673 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.030607 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0844193 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.107992 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0673601 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.0146511 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.107992 # DEPENDENCYPART_SIBL
(8,11),(8,26),-0.139111 # DEPENDENCYPART_SIBL
(8,11),(8,27),-0.0584212 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0655587 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0349327 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.219086 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0955804 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.103679 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.00529903 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0855805 # DEPENDENCYPART_SIBL
(8,12),(8,22),0.103679 # DEPENDENCYPART_SIBL
(8,12),(8,26),0.059603 # DEPENDENCYPART_SIBL
(8,12),(8,27),0.110772 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.103368 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.00754181 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0550595 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.100289 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0106137 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.0720551 # DEPENDENCYPART_SIBL
(8,13),(8,22),-0.100289 # DEPENDENCYPART_SIBL
(8,13),(8,26),-0.215409 # DEPENDENCYPART_SIBL
(8,13),(8,27),-0.0009219 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.009001 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0662176 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.141349 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.00861831 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.0855916 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.141349 # DEPENDENCYPART_SIBL
(8,14),(8,26),-0.221614 # DEPENDENCYPART_SIBL
(8,14),(8,27),0.0153615 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.605903 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.225321 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.283197 # DEPENDENCYPART_SIBL
(8,15),(8,21),0.691619 # DEPENDENCYPART_SIBL
(8,15),(8,22),0.225321 # DEPENDENCYPART_SIBL
(8,15),(8,26),0.596897 # DEPENDENCYPART_SIBL
(8,15),(8,27),0.124336 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0507328 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.000318675 # DEPENDENCYPART_SIBL
(8,16),(8,21),0.0774225 # DEPENDENCYPART_SIBL
(8,16),(8,22),-0.0507328 # DEPENDENCYPART_SIBL
(8,16),(8,26),-0.0598729 # DEPENDENCYPART_SIBL
(8,16),(8,27),0.0456665 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.126447 # DEPENDENCYPART_SIBL
(8,17),(8,21),0.284082 # DEPENDENCYPART_SIBL
(8,17),(8,22),-0.0291199 # DEPENDENCYPART_SIBL
(8,17),(8,26),0.0723001 # DEPENDENCYPART_SIBL
(8,17),(8,27),0.186932 # DEPENDENCYPART_SIBL
(8,18),(8,21),0.237999 # DEPENDENCYPART_SIBL
(8,18),(8,22),0.058724 # DEPENDENCYPART_SIBL
(8,18),(8,26),-0.158534 # DEPENDENCYPART_SIBL
(8,18),(8,27),0.0730673 # DEPENDENCYPART_SIBL
(8,21),(8,22),-0.15831 # DEPENDENCYPART_SIBL
(8,21),(8,26),-0.226819 # DEPENDENCYPART_SIBL
(8,21),(8,27),-0.0056814 # DEPENDENCYPART_SIBL
(8,22),(8,26),0.0723001 # DEPENDENCYPART_SIBL
(8,22),(8,27),0.186932 # DEPENDENCYPART_SIBL
(8,26),(8,27),0.0474636 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.100065 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.122593 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0498594 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.213955 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.183416 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.137901 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.220856 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.207506 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.163768 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0911275 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0330699 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.100641 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0675606 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0397787 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0205324 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0602823 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0518348 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.156966 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.133982 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.624141 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.626186 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.00482386 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.51876 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.381192 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.109186 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.627194 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.633838 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0115071 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.503148 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.382654 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.198479 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.21638 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0472712 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.223551 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.211449 # DEPENDENCYPART_SIBL
(9,13),(9,14),-1.15524 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.00356422 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.769156 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.612171 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0352788 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.777165 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.606978 # DEPENDENCYPART_SIBL
(9,15),(9,16),0.27263 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.0302822 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.345555 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.08598 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0573152 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0291889 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.184837 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.187102 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0426372 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.119837 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00218767 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.00236252 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.033335 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0265034 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0612397 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.00103018 # DEPENDENCYPART_SIBL
(11,3),(11,23),0.00425297 # DEPENDENCYPART_SIBL
(11,3),(11,24),0.0222393 # DEPENDENCYPART_SIBL
