# _root_ In a stark lesson in the power of the appropriations committees , the House deliberately killed a handful of projects backed by lawmakers in Florida , Illinois and Pennsylvania who had voted against the panel leadership on the House floor .
#goldHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,32,40,40,37,16,
#predictedHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,36,40,40,37,16,
(18,19),(18,23),0.0540679 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.200316 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.056506 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0233885 # DEPENDENCYPART_SIBL
(18,19),(18,27),0.0568222 # DEPENDENCYPART_SIBL
(18,19),(18,28),0.0510338 # DEPENDENCYPART_SIBL
(18,19),(18,31),-0.178588 # DEPENDENCYPART_SIBL
(18,19),(18,32),0.0180767 # DEPENDENCYPART_SIBL
(18,19),(18,33),0.0978816 # DEPENDENCYPART_SIBL
(18,19),(18,37),0.114458 # DEPENDENCYPART_SIBL
(18,19),(18,41),-0.0451423 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0605295 # DEPENDENCYPART_SIBL
(18,20),(18,22),0.0488388 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.257146 # DEPENDENCYPART_SIBL
(18,20),(18,24),0.0784942 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0783225 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.0411212 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.0744237 # DEPENDENCYPART_SIBL
(18,20),(18,28),-0.0534099 # DEPENDENCYPART_SIBL
(18,20),(18,31),-0.0982293 # DEPENDENCYPART_SIBL
(18,20),(18,32),-0.0596825 # DEPENDENCYPART_SIBL
(18,20),(18,33),-0.0161331 # DEPENDENCYPART_SIBL
(18,20),(18,37),0.0521852 # DEPENDENCYPART_SIBL
(18,20),(18,41),-0.037267 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0782392 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0372455 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0547343 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.0543423 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.152791 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.054319 # DEPENDENCYPART_SIBL
(18,21),(18,28),0.0595043 # DEPENDENCYPART_SIBL
(18,21),(18,31),-0.00611406 # DEPENDENCYPART_SIBL
(18,21),(18,32),-0.23473 # DEPENDENCYPART_SIBL
(18,21),(18,33),-0.0301954 # DEPENDENCYPART_SIBL
(18,21),(18,37),-0.00468878 # DEPENDENCYPART_SIBL
(18,21),(18,41),-0.0203108 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0158954 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.366087 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.0537721 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0547193 # DEPENDENCYPART_SIBL
(18,22),(18,27),0.0537132 # DEPENDENCYPART_SIBL
(18,22),(18,28),0.209049 # DEPENDENCYPART_SIBL
(18,22),(18,31),-0.00532984 # DEPENDENCYPART_SIBL
(18,22),(18,32),0.113934 # DEPENDENCYPART_SIBL
(18,22),(18,33),0.316959 # DEPENDENCYPART_SIBL
(18,22),(18,37),0.273265 # DEPENDENCYPART_SIBL
(18,22),(18,41),0.0824895 # DEPENDENCYPART_SIBL
(18,23),(18,24),0.0583196 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.077391 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.047547 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.0734922 # DEPENDENCYPART_SIBL
(18,23),(18,28),-0.0440706 # DEPENDENCYPART_SIBL
(18,23),(18,31),-0.0949552 # DEPENDENCYPART_SIBL
(18,23),(18,32),-0.0551101 # DEPENDENCYPART_SIBL
(18,23),(18,33),-0.028324 # DEPENDENCYPART_SIBL
(18,23),(18,37),0.0478113 # DEPENDENCYPART_SIBL
(18,23),(18,41),-0.0235318 # DEPENDENCYPART_SIBL
(18,24),(18,25),0.0895007 # DEPENDENCYPART_SIBL
(18,24),(18,26),0.0482694 # DEPENDENCYPART_SIBL
(18,24),(18,27),0.0889826 # DEPENDENCYPART_SIBL
(18,24),(18,28),0.230095 # DEPENDENCYPART_SIBL
(18,24),(18,31),-0.0239817 # DEPENDENCYPART_SIBL
(18,24),(18,32),0.0632581 # DEPENDENCYPART_SIBL
(18,24),(18,33),0.167862 # DEPENDENCYPART_SIBL
(18,24),(18,37),0.234789 # DEPENDENCYPART_SIBL
(18,24),(18,41),0.0179342 # DEPENDENCYPART_SIBL
(18,25),(18,26),0.0470041 # DEPENDENCYPART_SIBL
(18,25),(18,27),-0.128582 # DEPENDENCYPART_SIBL
(18,25),(18,28),0.0211631 # DEPENDENCYPART_SIBL
(18,25),(18,31),-0.0304646 # DEPENDENCYPART_SIBL
(18,25),(18,32),-0.0468715 # DEPENDENCYPART_SIBL
(18,25),(18,33),-0.0294718 # DEPENDENCYPART_SIBL
(18,25),(18,37),-0.046625 # DEPENDENCYPART_SIBL
(18,25),(18,41),-0.0419686 # DEPENDENCYPART_SIBL
(18,26),(18,27),0.618289 # DEPENDENCYPART_SIBL
(18,26),(18,28),0.478756 # DEPENDENCYPART_SIBL
(18,26),(18,31),0.41086 # DEPENDENCYPART_SIBL
(18,26),(18,32),0.607677 # DEPENDENCYPART_SIBL
(18,26),(18,33),0.278087 # DEPENDENCYPART_SIBL
(18,26),(18,37),0.232029 # DEPENDENCYPART_SIBL
(18,26),(18,41),-0.0272937 # DEPENDENCYPART_SIBL
(18,27),(18,28),0.0214469 # DEPENDENCYPART_SIBL
(18,27),(18,31),-0.0304486 # DEPENDENCYPART_SIBL
(18,27),(18,32),-0.0468567 # DEPENDENCYPART_SIBL
(18,27),(18,33),-0.0317568 # DEPENDENCYPART_SIBL
(18,27),(18,37),-0.0489096 # DEPENDENCYPART_SIBL
(18,27),(18,41),-0.0415201 # DEPENDENCYPART_SIBL
(18,28),(18,31),-0.0244619 # DEPENDENCYPART_SIBL
(18,28),(18,32),0.0895686 # DEPENDENCYPART_SIBL
(18,28),(18,33),-0.0134969 # DEPENDENCYPART_SIBL
(18,28),(18,37),-0.0371422 # DEPENDENCYPART_SIBL
(18,28),(18,41),-0.0495153 # DEPENDENCYPART_SIBL
(18,31),(18,32),-0.033165 # DEPENDENCYPART_SIBL
(18,31),(18,33),0.0135658 # DEPENDENCYPART_SIBL
(18,31),(18,37),0.00946848 # DEPENDENCYPART_SIBL
(18,31),(18,41),0.0887899 # DEPENDENCYPART_SIBL
(18,32),(18,33),-0.0345307 # DEPENDENCYPART_SIBL
(18,32),(18,37),-0.00901047 # DEPENDENCYPART_SIBL
(18,32),(18,41),-0.0289029 # DEPENDENCYPART_SIBL
(18,33),(18,37),0.211946 # DEPENDENCYPART_SIBL
(18,33),(18,41),0.105816 # DEPENDENCYPART_SIBL
(18,37),(18,41),0.158261 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.433118 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.122073 # DEPENDENCYPART_SIBL
(19,20),(19,23),-1.12306 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0700097 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.559398 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.377083 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.00903097 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.142775 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.000117171 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.025102 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.00751743 # DEPENDENCYPART_SIBL
(20,18),(20,26),0.0107889 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.00881443 # DEPENDENCYPART_SIBL
(20,18),(20,28),0.00866962 # DEPENDENCYPART_SIBL
(20,18),(20,31),0.00641023 # DEPENDENCYPART_SIBL
(20,18),(20,32),-0.02087 # DEPENDENCYPART_SIBL
(20,18),(20,37),-0.122619 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.014137 # DEPENDENCYPART_SIBL
(20,21),(20,23),0.0374576 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0148625 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.00071946 # DEPENDENCYPART_SIBL
(20,21),(20,26),0.273955 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.0109116 # DEPENDENCYPART_SIBL
(20,21),(20,28),0.0916281 # DEPENDENCYPART_SIBL
(20,21),(20,31),0.0360269 # DEPENDENCYPART_SIBL
(20,21),(20,32),-0.242435 # DEPENDENCYPART_SIBL
(20,21),(20,37),0.00219713 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.0744535 # DEPENDENCYPART_SIBL
(20,22),(20,24),0.308044 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.103364 # DEPENDENCYPART_SIBL
(20,22),(20,26),0.138917 # DEPENDENCYPART_SIBL
(20,22),(20,27),0.0930992 # DEPENDENCYPART_SIBL
(20,22),(20,28),0.214964 # DEPENDENCYPART_SIBL
(20,22),(20,31),0.0842542 # DEPENDENCYPART_SIBL
(20,22),(20,32),0.192624 # DEPENDENCYPART_SIBL
(20,22),(20,37),0.237404 # DEPENDENCYPART_SIBL
(20,23),(20,24),0.0961775 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0596449 # DEPENDENCYPART_SIBL
(20,23),(20,26),0.0159144 # DEPENDENCYPART_SIBL
(20,23),(20,27),-0.0659645 # DEPENDENCYPART_SIBL
(20,23),(20,28),-0.0674795 # DEPENDENCYPART_SIBL
(20,23),(20,31),-0.0613424 # DEPENDENCYPART_SIBL
(20,23),(20,32),-0.0244736 # DEPENDENCYPART_SIBL
(20,23),(20,37),0.0103766 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0646229 # DEPENDENCYPART_SIBL
(20,24),(20,26),0.106958 # DEPENDENCYPART_SIBL
(20,24),(20,27),0.0539056 # DEPENDENCYPART_SIBL
(20,24),(20,28),0.0669035 # DEPENDENCYPART_SIBL
(20,24),(20,31),0.0791453 # DEPENDENCYPART_SIBL
(20,24),(20,32),0.0634859 # DEPENDENCYPART_SIBL
(20,24),(20,37),0.131849 # DEPENDENCYPART_SIBL
(20,25),(20,26),0.0699374 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.0976714 # DEPENDENCYPART_SIBL
(20,25),(20,28),-0.0402129 # DEPENDENCYPART_SIBL
(20,25),(20,31),-0.0343092 # DEPENDENCYPART_SIBL
(20,25),(20,32),-0.0400519 # DEPENDENCYPART_SIBL
(20,25),(20,37),-0.0531865 # DEPENDENCYPART_SIBL
(20,26),(20,27),0.569445 # DEPENDENCYPART_SIBL
(20,26),(20,28),0.489416 # DEPENDENCYPART_SIBL
(20,26),(20,31),0.510086 # DEPENDENCYPART_SIBL
(20,26),(20,32),0.524694 # DEPENDENCYPART_SIBL
(20,26),(20,37),0.238973 # DEPENDENCYPART_SIBL
(20,27),(20,28),-0.0402939 # DEPENDENCYPART_SIBL
(20,27),(20,31),-0.0346504 # DEPENDENCYPART_SIBL
(20,27),(20,32),-0.0403945 # DEPENDENCYPART_SIBL
(20,27),(20,37),-0.055831 # DEPENDENCYPART_SIBL
(20,28),(20,31),-0.0184377 # DEPENDENCYPART_SIBL
(20,28),(20,32),0.0197289 # DEPENDENCYPART_SIBL
(20,28),(20,37),-0.0963275 # DEPENDENCYPART_SIBL
(20,31),(20,32),0.00843885 # DEPENDENCYPART_SIBL
(20,31),(20,37),0.0179389 # DEPENDENCYPART_SIBL
(20,32),(20,37),0.00553809 # DEPENDENCYPART_SIBL
(21,1),(21,4),0.00778343 # DEPENDENCYPART_SIBL
(21,1),(21,5),-0.124006 # DEPENDENCYPART_SIBL
(21,1),(21,8),-0.134289 # DEPENDENCYPART_SIBL
(21,1),(21,11),0.0270283 # DEPENDENCYPART_SIBL
(21,1),(21,13),0.0297731 # DEPENDENCYPART_SIBL
(21,1),(21,14),0.0583399 # DEPENDENCYPART_SIBL
(21,1),(21,15),-0.0865772 # DEPENDENCYPART_SIBL
(21,1),(21,16),-0.0419084 # DEPENDENCYPART_SIBL
(21,1),(21,18),0.0132003 # DEPENDENCYPART_SIBL
(21,1),(21,19),-0.134289 # DEPENDENCYPART_SIBL
(21,1),(21,20),0.0430976 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.138494 # DEPENDENCYPART_SIBL
(21,1),(21,23),-0.00926364 # DEPENDENCYPART_SIBL
(21,1),(21,24),-0.086993 # DEPENDENCYPART_SIBL
(21,1),(21,25),-0.0397182 # DEPENDENCYPART_SIBL
(21,1),(21,26),0.0101459 # DEPENDENCYPART_SIBL
(21,1),(21,27),-0.0384362 # DEPENDENCYPART_SIBL
(21,1),(21,28),0.0136566 # DEPENDENCYPART_SIBL
(21,1),(21,29),-0.0384349 # DEPENDENCYPART_SIBL
(21,1),(21,33),0.0520707 # DEPENDENCYPART_SIBL
(21,1),(21,37),-0.0556557 # DEPENDENCYPART_SIBL
(21,1),(21,41),0.068652 # DEPENDENCYPART_SIBL
(21,4),(21,5),-0.0157602 # DEPENDENCYPART_SIBL
(21,4),(21,8),0.015147 # DEPENDENCYPART_SIBL
(21,4),(21,11),-0.131451 # DEPENDENCYPART_SIBL
(21,4),(21,13),-0.2126 # DEPENDENCYPART_SIBL
(21,4),(21,14),-0.0631009 # DEPENDENCYPART_SIBL
(21,4),(21,15),0.0127036 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.000362762 # DEPENDENCYPART_SIBL
(21,4),(21,18),-0.11708 # DEPENDENCYPART_SIBL
(21,4),(21,19),0.015147 # DEPENDENCYPART_SIBL
(21,4),(21,20),-0.130025 # DEPENDENCYPART_SIBL
(21,4),(21,22),-0.125086 # DEPENDENCYPART_SIBL
(21,4),(21,23),0.0217127 # DEPENDENCYPART_SIBL
(21,4),(21,24),-0.102036 # DEPENDENCYPART_SIBL
(21,4),(21,25),-0.0304292 # DEPENDENCYPART_SIBL
(21,4),(21,26),0.00250229 # DEPENDENCYPART_SIBL
(21,4),(21,27),-0.0301448 # DEPENDENCYPART_SIBL
(21,4),(21,28),0.0856995 # DEPENDENCYPART_SIBL
(21,4),(21,29),-0.0303883 # DEPENDENCYPART_SIBL
(21,4),(21,33),0.0102157 # DEPENDENCYPART_SIBL
(21,4),(21,37),-0.00769334 # DEPENDENCYPART_SIBL
(21,4),(21,41),0.158819 # DEPENDENCYPART_SIBL
(21,5),(21,8),-0.134289 # DEPENDENCYPART_SIBL
(21,5),(21,11),0.0270283 # DEPENDENCYPART_SIBL
(21,5),(21,13),0.0297731 # DEPENDENCYPART_SIBL
(21,5),(21,14),0.0583399 # DEPENDENCYPART_SIBL
(21,5),(21,15),-0.0865772 # DEPENDENCYPART_SIBL
(21,5),(21,16),-0.0419084 # DEPENDENCYPART_SIBL
(21,5),(21,18),0.0132003 # DEPENDENCYPART_SIBL
(21,5),(21,19),-0.134289 # DEPENDENCYPART_SIBL
(21,5),(21,20),0.0430976 # DEPENDENCYPART_SIBL
(21,5),(21,22),-0.138494 # DEPENDENCYPART_SIBL
(21,5),(21,23),-0.00926364 # DEPENDENCYPART_SIBL
(21,5),(21,24),-0.086993 # DEPENDENCYPART_SIBL
(21,5),(21,25),-0.0397182 # DEPENDENCYPART_SIBL
(21,5),(21,26),0.0101459 # DEPENDENCYPART_SIBL
(21,5),(21,27),-0.0384362 # DEPENDENCYPART_SIBL
(21,5),(21,28),0.0136566 # DEPENDENCYPART_SIBL
(21,5),(21,29),-0.0384349 # DEPENDENCYPART_SIBL
(21,5),(21,33),0.0520707 # DEPENDENCYPART_SIBL
(21,5),(21,37),-0.0556557 # DEPENDENCYPART_SIBL
(21,5),(21,41),0.068652 # DEPENDENCYPART_SIBL
(21,8),(21,11),-0.0199763 # DEPENDENCYPART_SIBL
(21,8),(21,13),0.00919213 # DEPENDENCYPART_SIBL
(21,8),(21,14),0.0546974 # DEPENDENCYPART_SIBL
(21,8),(21,15),-0.0639695 # DEPENDENCYPART_SIBL
(21,8),(21,16),-0.040346 # DEPENDENCYPART_SIBL
(21,8),(21,18),-0.018697 # DEPENDENCYPART_SIBL
(21,8),(21,19),-0.137111 # DEPENDENCYPART_SIBL
(21,8),(21,20),-0.0110078 # DEPENDENCYPART_SIBL
(21,8),(21,22),-0.333096 # DEPENDENCYPART_SIBL
(21,8),(21,23),-0.0918765 # DEPENDENCYPART_SIBL
(21,8),(21,24),-0.233873 # DEPENDENCYPART_SIBL
(21,8),(21,25),-0.116053 # DEPENDENCYPART_SIBL
(21,8),(21,26),-0.143553 # DEPENDENCYPART_SIBL
(21,8),(21,27),-0.114771 # DEPENDENCYPART_SIBL
(21,8),(21,28),-0.076619 # DEPENDENCYPART_SIBL
(21,8),(21,29),-0.11477 # DEPENDENCYPART_SIBL
(21,8),(21,33),-0.0941968 # DEPENDENCYPART_SIBL
(21,8),(21,37),-0.193214 # DEPENDENCYPART_SIBL
(21,8),(21,41),-0.00916804 # DEPENDENCYPART_SIBL
(21,11),(21,13),-0.0498839 # DEPENDENCYPART_SIBL
(21,11),(21,14),-0.137726 # DEPENDENCYPART_SIBL
(21,11),(21,15),0.0434881 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.0393131 # DEPENDENCYPART_SIBL
(21,11),(21,18),-0.119907 # DEPENDENCYPART_SIBL
(21,11),(21,19),0.0459329 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.369689 # DEPENDENCYPART_SIBL
(21,11),(21,22),-0.177775 # DEPENDENCYPART_SIBL
(21,11),(21,23),0.0234809 # DEPENDENCYPART_SIBL
(21,11),(21,24),-0.101658 # DEPENDENCYPART_SIBL
(21,11),(21,25),-0.00522794 # DEPENDENCYPART_SIBL
(21,11),(21,26),0.0221412 # DEPENDENCYPART_SIBL
(21,11),(21,27),-0.00506752 # DEPENDENCYPART_SIBL
(21,11),(21,28),0.158654 # DEPENDENCYPART_SIBL
(21,11),(21,29),-0.00508443 # DEPENDENCYPART_SIBL
(21,11),(21,33),0.00260293 # DEPENDENCYPART_SIBL
(21,11),(21,37),-0.0740169 # DEPENDENCYPART_SIBL
(21,11),(21,41),0.147712 # DEPENDENCYPART_SIBL
(21,13),(21,14),0.00434804 # DEPENDENCYPART_SIBL
(21,13),(21,15),-0.0336756 # DEPENDENCYPART_SIBL
(21,13),(21,16),-0.000239632 # DEPENDENCYPART_SIBL
(21,13),(21,18),0.0816847 # DEPENDENCYPART_SIBL
(21,13),(21,19),-0.0928755 # DEPENDENCYPART_SIBL
(21,13),(21,20),-0.0153426 # DEPENDENCYPART_SIBL
(21,13),(21,22),-0.113474 # DEPENDENCYPART_SIBL
(21,13),(21,23),-0.0354781 # DEPENDENCYPART_SIBL
(21,13),(21,24),-0.0338055 # DEPENDENCYPART_SIBL
(21,13),(21,25),-0.043743 # DEPENDENCYPART_SIBL
(21,13),(21,26),0.0636472 # DEPENDENCYPART_SIBL
(21,13),(21,27),-0.0436738 # DEPENDENCYPART_SIBL
(21,13),(21,28),0.174667 # DEPENDENCYPART_SIBL
(21,13),(21,29),-0.044603 # DEPENDENCYPART_SIBL
(21,13),(21,33),0.0193609 # DEPENDENCYPART_SIBL
(21,13),(21,37),0.0364277 # DEPENDENCYPART_SIBL
(21,13),(21,41),-0.0378335 # DEPENDENCYPART_SIBL
(21,14),(21,15),0.00826941 # DEPENDENCYPART_SIBL
(21,14),(21,16),-0.0127293 # DEPENDENCYPART_SIBL
(21,14),(21,18),-0.00544684 # DEPENDENCYPART_SIBL
(21,14),(21,19),-0.0722575 # DEPENDENCYPART_SIBL
(21,14),(21,20),-0.046659 # DEPENDENCYPART_SIBL
(21,14),(21,22),-0.234879 # DEPENDENCYPART_SIBL
(21,14),(21,23),0.0114775 # DEPENDENCYPART_SIBL
(21,14),(21,24),-0.142501 # DEPENDENCYPART_SIBL
(21,14),(21,25),-0.0307023 # DEPENDENCYPART_SIBL
(21,14),(21,26),-0.0666735 # DEPENDENCYPART_SIBL
(21,14),(21,27),-0.0305215 # DEPENDENCYPART_SIBL
(21,14),(21,28),0.13987 # DEPENDENCYPART_SIBL
(21,14),(21,29),-0.0247286 # DEPENDENCYPART_SIBL
(21,14),(21,33),-0.0325285 # DEPENDENCYPART_SIBL
(21,14),(21,37),-0.024632 # DEPENDENCYPART_SIBL
(21,14),(21,41),0.16561 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.0030624 # DEPENDENCYPART_SIBL
(21,15),(21,18),0.0513391 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.0326178 # DEPENDENCYPART_SIBL
(21,15),(21,20),0.0573415 # DEPENDENCYPART_SIBL
(21,15),(21,22),-0.00965659 # DEPENDENCYPART_SIBL
(21,15),(21,23),-0.0099822 # DEPENDENCYPART_SIBL
(21,15),(21,24),-0.0614804 # DEPENDENCYPART_SIBL
(21,15),(21,25),-0.0519982 # DEPENDENCYPART_SIBL
(21,15),(21,26),0.0348183 # DEPENDENCYPART_SIBL
(21,15),(21,27),-0.0510526 # DEPENDENCYPART_SIBL
(21,15),(21,28),0.127126 # DEPENDENCYPART_SIBL
(21,15),(21,29),-0.0551363 # DEPENDENCYPART_SIBL
(21,15),(21,33),0.108751 # DEPENDENCYPART_SIBL
(21,15),(21,37),0.0375788 # DEPENDENCYPART_SIBL
(21,15),(21,41),0.109009 # DEPENDENCYPART_SIBL
(21,16),(21,18),0.0514027 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.0730529 # DEPENDENCYPART_SIBL
(21,16),(21,20),0.114183 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.122675 # DEPENDENCYPART_SIBL
(21,16),(21,23),-0.0291027 # DEPENDENCYPART_SIBL
(21,16),(21,24),-0.112006 # DEPENDENCYPART_SIBL
(21,16),(21,25),0.0107028 # DEPENDENCYPART_SIBL
(21,16),(21,26),-0.0106467 # DEPENDENCYPART_SIBL
(21,16),(21,27),0.0107913 # DEPENDENCYPART_SIBL
(21,16),(21,28),0.023319 # DEPENDENCYPART_SIBL
(21,16),(21,29),0.0107912 # DEPENDENCYPART_SIBL
(21,16),(21,33),-0.00852858 # DEPENDENCYPART_SIBL
(21,16),(21,37),-0.0220223 # DEPENDENCYPART_SIBL
(21,16),(21,41),0.0564077 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.014115 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.130375 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.125339 # DEPENDENCYPART_SIBL
(21,18),(21,23),0.0190228 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.101528 # DEPENDENCYPART_SIBL
(21,18),(21,25),-0.0321239 # DEPENDENCYPART_SIBL
(21,18),(21,26),0.00813623 # DEPENDENCYPART_SIBL
(21,18),(21,27),-0.0318395 # DEPENDENCYPART_SIBL
(21,18),(21,28),0.0818566 # DEPENDENCYPART_SIBL
(21,18),(21,29),-0.032083 # DEPENDENCYPART_SIBL
(21,18),(21,33),0.0107283 # DEPENDENCYPART_SIBL
(21,18),(21,37),-0.00718078 # DEPENDENCYPART_SIBL
(21,18),(21,41),0.164617 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0110078 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.333096 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.0918765 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.233873 # DEPENDENCYPART_SIBL
(21,19),(21,25),-0.116053 # DEPENDENCYPART_SIBL
(21,19),(21,26),-0.143553 # DEPENDENCYPART_SIBL
(21,19),(21,27),-0.114771 # DEPENDENCYPART_SIBL
(21,19),(21,28),-0.076619 # DEPENDENCYPART_SIBL
(21,19),(21,29),-0.11477 # DEPENDENCYPART_SIBL
(21,19),(21,33),-0.0941968 # DEPENDENCYPART_SIBL
(21,19),(21,37),-0.193214 # DEPENDENCYPART_SIBL
(21,19),(21,41),-0.00916804 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.170258 # DEPENDENCYPART_SIBL
(21,20),(21,23),0.00156689 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.079876 # DEPENDENCYPART_SIBL
(21,20),(21,25),-0.0120245 # DEPENDENCYPART_SIBL
(21,20),(21,26),0.0525392 # DEPENDENCYPART_SIBL
(21,20),(21,27),-0.0118641 # DEPENDENCYPART_SIBL
(21,20),(21,28),0.156636 # DEPENDENCYPART_SIBL
(21,20),(21,29),-0.011881 # DEPENDENCYPART_SIBL
(21,20),(21,33),0.0101293 # DEPENDENCYPART_SIBL
(21,20),(21,37),-0.063946 # DEPENDENCYPART_SIBL
(21,20),(21,41),0.173523 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.21044 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.0186798 # DEPENDENCYPART_SIBL
(21,22),(21,25),-0.0615645 # DEPENDENCYPART_SIBL
(21,22),(21,26),0.114437 # DEPENDENCYPART_SIBL
(21,22),(21,27),-0.06165 # DEPENDENCYPART_SIBL
(21,22),(21,28),0.284584 # DEPENDENCYPART_SIBL
(21,22),(21,29),-0.0614356 # DEPENDENCYPART_SIBL
(21,22),(21,33),0.0795702 # DEPENDENCYPART_SIBL
(21,22),(21,37),0.021383 # DEPENDENCYPART_SIBL
(21,22),(21,41),-0.0713496 # DEPENDENCYPART_SIBL
(21,23),(21,24),0.13111 # DEPENDENCYPART_SIBL
(21,23),(21,25),-0.0851113 # DEPENDENCYPART_SIBL
(21,23),(21,26),0.127242 # DEPENDENCYPART_SIBL
(21,23),(21,27),-0.0812359 # DEPENDENCYPART_SIBL
(21,23),(21,28),0.107885 # DEPENDENCYPART_SIBL
(21,23),(21,29),-0.0812369 # DEPENDENCYPART_SIBL
(21,23),(21,33),0.0393054 # DEPENDENCYPART_SIBL
(21,23),(21,37),0.0783182 # DEPENDENCYPART_SIBL
(21,23),(21,41),0.11204 # DEPENDENCYPART_SIBL
(21,24),(21,25),-0.0530435 # DEPENDENCYPART_SIBL
(21,24),(21,26),0.0457885 # DEPENDENCYPART_SIBL
(21,24),(21,27),-0.0535878 # DEPENDENCYPART_SIBL
(21,24),(21,28),0.141509 # DEPENDENCYPART_SIBL
(21,24),(21,29),-0.0529151 # DEPENDENCYPART_SIBL
(21,24),(21,33),-0.0110148 # DEPENDENCYPART_SIBL
(21,24),(21,37),-0.0125542 # DEPENDENCYPART_SIBL
(21,24),(21,41),-0.00457099 # DEPENDENCYPART_SIBL
(21,25),(21,26),0.0448881 # DEPENDENCYPART_SIBL
(21,25),(21,27),-0.191595 # DEPENDENCYPART_SIBL
(21,25),(21,28),0.105782 # DEPENDENCYPART_SIBL
(21,25),(21,29),-0.193073 # DEPENDENCYPART_SIBL
(21,25),(21,33),-0.000262627 # DEPENDENCYPART_SIBL
(21,25),(21,37),-0.0504568 # DEPENDENCYPART_SIBL
(21,25),(21,41),0.0474492 # DEPENDENCYPART_SIBL
(21,26),(21,27),0.136538 # DEPENDENCYPART_SIBL
(21,26),(21,28),0.467053 # DEPENDENCYPART_SIBL
(21,26),(21,29),0.128999 # DEPENDENCYPART_SIBL
(21,26),(21,33),0.292041 # DEPENDENCYPART_SIBL
(21,26),(21,37),0.212582 # DEPENDENCYPART_SIBL
(21,26),(21,41),0.0398729 # DEPENDENCYPART_SIBL
(21,27),(21,28),0.106169 # DEPENDENCYPART_SIBL
