# _root_ `` Because Tokyo did n't collapse , let 's pick up a little stock , '' Mr. Smith said .
#goldHeads=19,8,4,2,4,4,8,19,8,8,10,14,14,10,19,19,18,19,0,19,
#predictedHeads=19,19,4,2,4,4,6,6,8,8,10,14,14,10,19,19,18,19,0,19,
(6,3),(6,10),-0.00704198 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.040808 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.00410056 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.000175943 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0361795 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0138679 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0414077 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0106953 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0436338 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0570422 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0571488 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0602399 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.020306 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0354459 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0436338 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0263179 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.00545403 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0765399 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.079966 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.111292 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.177076 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.100563 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0287759 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0667074 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.079966 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0234048 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0473406 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0808986 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.543315 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0182898 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.619313 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.332407 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.238684 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0113465 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.164993 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.207047 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0705072 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0584593 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.325646 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0206324 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.212359 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0472726 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0793805 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.1279 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.134296 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0404861 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.00468943 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.266637 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.125999 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0149426 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.111505 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.134631 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0197936 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.210249 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0105965 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0701942 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.125526 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.132359 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0300275 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.00497415 # DEPENDENCYPART_SIBL
(6,11),(6,16),0.0276669 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.031792 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.140269 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0992028 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0322286 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.0713415 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.170837 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.164993 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.207047 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0705072 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.0802871 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.0730396 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.138585 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0263406 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0269885 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0435309 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0640735 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0158451 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.018473 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0322838 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0877566 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0467523 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0679258 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0642851 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0104771 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0109364 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.621044 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.00373061 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.0945266 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.0336265 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0375657 # DEPENDENCYPART_SIBL
(8,2),(8,4),-0.0458003 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0256703 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0323741 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.518321 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0314803 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0900302 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0407627 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.00666763 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0228982 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0449829 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0374317 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0267459 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.081602 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.145047 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0426109 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.130244 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0149641 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.152534 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0821861 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0765921 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0455847 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0585348 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0400876 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0478011 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0296504 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0077855 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0539197 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0342832 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0108604 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0297238 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.174945 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0571971 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.00215185 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0377119 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0699645 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.028082 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0365379 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0549889 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0337224 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.104883 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.0230876 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0531155 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0835582 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.156614 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.019144 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0463899 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0576199 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0501682 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0503377 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0421162 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0641973 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0978301 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0166757 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0429534 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00126735 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0534035 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.00963861 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0343202 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0168007 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0173291 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0766552 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0105782 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.057716 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.00589961 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0593777 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.187168 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.205661 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0610967 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0329106 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.144608 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0331391 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0537332 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.221374 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.236574 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.145659 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.01036 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0156471 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.218763 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.116539 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.023884 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0790631 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.116255 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.050027 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0245803 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.104624 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.114186 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0682273 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.126622 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.079013 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0851314 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.106691 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.10992 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0652428 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.00802633 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0349476 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.0331513 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.131829 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0447482 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.221794 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0267549 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.000873801 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0991407 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.219104 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0483313 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.130593 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.0542797 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0526591 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.150871 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.00922846 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.151782 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.182436 # DEPENDENCYPART_SIBL
(8,15),(8,19),0.0511249 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.013459 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.069332 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0808951 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0538654 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0933184 # DEPENDENCYPART_SIBL
(8,18),(8,20),0.0184632 # DEPENDENCYPART_SIBL
(8,19),(8,20),0.0686224 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0029595 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0391652 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0169608 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0145008 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0713826 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0857466 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0359441 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0351984 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0076163 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0316923 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0641659 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0481734 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0565156 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0178743 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0859184 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.00802893 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.716281 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0642238 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.0772258 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0191932 # DEPENDENCYPART_SIBL
(10,1),(10,20),0.17355 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.023591 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0386116 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0250023 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0301124 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.43693 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0320253 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0106712 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0606249 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0934706 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0053883 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0151513 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.130242 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0362734 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0453139 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0394814 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.09066 # DEPENDENCYPART_SIBL
(10,2),(10,20),0.171133 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0518718 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.132454 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0192983 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.101632 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0173479 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0255631 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0789692 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0420891 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0476786 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0382304 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.034466 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.04294 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.00910268 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.0130616 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0479567 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0740344 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.000159459 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0165949 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.137476 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.018484 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.018534 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0108853 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0907177 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0432524 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0105378 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.09045 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0258879 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0218778 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0173141 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0852753 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.0440101 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0519003 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0240253 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.052718 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0239122 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0925331 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0490261 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.00937507 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0251921 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.087715 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.025036 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0251096 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.012042 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.042585 # DEPENDENCYPART_SIBL
(10,5),(10,20),0.131461 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0147208 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0163826 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0139202 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0475554 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0441782 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0189312 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0106288 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0498267 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0589095 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0152817 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.0156635 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0494311 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.0546722 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0292725 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0249438 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.168357 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.033073 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.021625 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0086701 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00399484 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.00770892 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0460598 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0022616 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.174489 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.241459 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0278823 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0332282 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0563448 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0311546 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0346444 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0718524 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0773606 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0043419 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.00472367 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0637113 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.0391016 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0130407 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0742167 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0420211 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0449683 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.11009 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.00949125 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0745176 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0677664 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0897428 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.114998 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0255417 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0863571 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0634025 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0177712 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.069881 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.0406881 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0407667 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.124553 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0112265 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.164924 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.165407 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.046387 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.109471 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.144007 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.143953 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.159224 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0819923 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.23419 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0305016 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0225102 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0978085 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0977521 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.210728 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0188725 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0857643 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0583353 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0702634 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0702255 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.161022 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.0171516 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.127477 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.118677 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.158356 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0357575 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0187374 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.0576455 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.0581054 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0852071 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.046433 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.194408 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.150229 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.0505157 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.142298 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.0174291 # DEPENDENCYPART_SIBL
(10,19),(10,20),0.0844478 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.00511933 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0231101 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.035627 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0621296 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0494455 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0225754 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0395222 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0459381 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.00667035 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0698408 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0624313 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.106472 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.222389 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.00946204 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.102199 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0897501 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.00657602 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0527762 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0611717 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.065855 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.245206 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.0114991 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.0971535 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.162157 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.0394945 # DEPENDENCYPART_SIBL
(14,1),(14,6),0.05042 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.0560689 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0474213 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.12526 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.0481846 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.0194459 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.000435633 # DEPENDENCYPART_SIBL
