# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,13,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(13,14),(13,31),0.000543362 # DEPENDENCYPART_SIBL
(13,14),(13,32),0.351459 # DEPENDENCYPART_SIBL
(13,14),(13,33),0.185966 # DEPENDENCYPART_SIBL
(13,14),(13,34),-0.0508627 # DEPENDENCYPART_SIBL
(13,14),(13,36),0.104885 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.044324 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0341902 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0854805 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.0496593 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.02565 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.0990302 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.092787 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0495592 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.0541919 # DEPENDENCYPART_SIBL
(13,15),(13,25),-0.0156018 # DEPENDENCYPART_SIBL
(13,15),(13,26),-0.183845 # DEPENDENCYPART_SIBL
(13,15),(13,27),-0.102779 # DEPENDENCYPART_SIBL
(13,15),(13,28),0.0644292 # DEPENDENCYPART_SIBL
(13,15),(13,29),-0.0275812 # DEPENDENCYPART_SIBL
(13,15),(13,30),0.0759185 # DEPENDENCYPART_SIBL
(13,15),(13,31),0.0341902 # DEPENDENCYPART_SIBL
(13,15),(13,32),0.17378 # DEPENDENCYPART_SIBL
(13,15),(13,33),0.0644292 # DEPENDENCYPART_SIBL
(13,15),(13,34),-0.0275812 # DEPENDENCYPART_SIBL
(13,15),(13,36),-0.044324 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0863399 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0580579 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.152191 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0588999 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.150938 # DEPENDENCYPART_SIBL
(13,16),(13,22),-0.0996354 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.0772159 # DEPENDENCYPART_SIBL
(13,16),(13,24),-0.211719 # DEPENDENCYPART_SIBL
(13,16),(13,25),-0.260531 # DEPENDENCYPART_SIBL
(13,16),(13,26),-0.171272 # DEPENDENCYPART_SIBL
(13,16),(13,27),-0.0925181 # DEPENDENCYPART_SIBL
(13,16),(13,28),0.0100027 # DEPENDENCYPART_SIBL
(13,16),(13,29),-0.185095 # DEPENDENCYPART_SIBL
(13,16),(13,30),-0.127278 # DEPENDENCYPART_SIBL
(13,16),(13,31),0.0863399 # DEPENDENCYPART_SIBL
(13,16),(13,32),0.0994696 # DEPENDENCYPART_SIBL
(13,16),(13,33),0.0100027 # DEPENDENCYPART_SIBL
(13,16),(13,34),-0.185095 # DEPENDENCYPART_SIBL
(13,16),(13,36),-0.25197 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.241717 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.29264 # DEPENDENCYPART_SIBL
(13,17),(13,20),0.366231 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.0680537 # DEPENDENCYPART_SIBL
(13,17),(13,22),-0.0302739 # DEPENDENCYPART_SIBL
(13,17),(13,23),0.31389 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.014402 # DEPENDENCYPART_SIBL
(13,17),(13,25),0.215824 # DEPENDENCYPART_SIBL
(13,17),(13,26),0.04938 # DEPENDENCYPART_SIBL
(13,17),(13,27),0.0436771 # DEPENDENCYPART_SIBL
(13,17),(13,28),0.409187 # DEPENDENCYPART_SIBL
(13,17),(13,29),-0.0370808 # DEPENDENCYPART_SIBL
(13,17),(13,30),-0.0654498 # DEPENDENCYPART_SIBL
(13,17),(13,31),0.00239937 # DEPENDENCYPART_SIBL
(13,17),(13,32),1.85856 # DEPENDENCYPART_SIBL
(13,17),(13,33),0.409187 # DEPENDENCYPART_SIBL
(13,17),(13,34),-0.0370808 # DEPENDENCYPART_SIBL
(13,17),(13,36),0.141639 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0565647 # DEPENDENCYPART_SIBL
(13,18),(13,20),0.0156983 # DEPENDENCYPART_SIBL
(13,18),(13,21),-0.141528 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.118776 # DEPENDENCYPART_SIBL
(13,18),(13,23),-0.00821318 # DEPENDENCYPART_SIBL
(13,18),(13,24),-0.101065 # DEPENDENCYPART_SIBL
(13,18),(13,25),0.0973543 # DEPENDENCYPART_SIBL
(13,18),(13,26),0.0536573 # DEPENDENCYPART_SIBL
(13,18),(13,27),-0.153209 # DEPENDENCYPART_SIBL
(13,18),(13,28),0.0718765 # DEPENDENCYPART_SIBL
(13,18),(13,29),-0.0736919 # DEPENDENCYPART_SIBL
(13,18),(13,30),0.000465609 # DEPENDENCYPART_SIBL
(13,18),(13,31),-0.0794303 # DEPENDENCYPART_SIBL
(13,18),(13,32),0.0523647 # DEPENDENCYPART_SIBL
(13,18),(13,33),0.0718765 # DEPENDENCYPART_SIBL
(13,18),(13,34),-0.0736919 # DEPENDENCYPART_SIBL
(13,18),(13,36),0.0377452 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0606888 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0842673 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.115481 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.075855 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.115845 # DEPENDENCYPART_SIBL
(13,19),(13,25),-0.0399686 # DEPENDENCYPART_SIBL
(13,19),(13,26),-0.147636 # DEPENDENCYPART_SIBL
(13,19),(13,27),-0.0923599 # DEPENDENCYPART_SIBL
(13,19),(13,28),0.015346 # DEPENDENCYPART_SIBL
(13,19),(13,29),-0.0876181 # DEPENDENCYPART_SIBL
(13,19),(13,30),-0.0235581 # DEPENDENCYPART_SIBL
(13,19),(13,31),0.0648635 # DEPENDENCYPART_SIBL
(13,19),(13,32),0.0687325 # DEPENDENCYPART_SIBL
(13,19),(13,33),0.015346 # DEPENDENCYPART_SIBL
(13,19),(13,34),-0.0876181 # DEPENDENCYPART_SIBL
(13,19),(13,36),-0.0769901 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.143593 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.122727 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.170955 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.175928 # DEPENDENCYPART_SIBL
(13,20),(13,25),-0.110747 # DEPENDENCYPART_SIBL
(13,20),(13,26),-0.115305 # DEPENDENCYPART_SIBL
(13,20),(13,27),-0.0746595 # DEPENDENCYPART_SIBL
(13,20),(13,28),0.00915462 # DEPENDENCYPART_SIBL
(13,20),(13,29),-0.149298 # DEPENDENCYPART_SIBL
(13,20),(13,30),-0.0784788 # DEPENDENCYPART_SIBL
(13,20),(13,31),0.134473 # DEPENDENCYPART_SIBL
(13,20),(13,32),0.101529 # DEPENDENCYPART_SIBL
(13,20),(13,33),0.00915462 # DEPENDENCYPART_SIBL
(13,20),(13,34),-0.149298 # DEPENDENCYPART_SIBL
(13,20),(13,36),-0.113698 # DEPENDENCYPART_SIBL
(13,21),(13,22),0.184472 # DEPENDENCYPART_SIBL
(13,21),(13,23),0.155697 # DEPENDENCYPART_SIBL
(13,21),(13,24),0.852695 # DEPENDENCYPART_SIBL
(13,21),(13,25),0.229284 # DEPENDENCYPART_SIBL
(13,21),(13,26),0.198052 # DEPENDENCYPART_SIBL
(13,21),(13,27),0.155206 # DEPENDENCYPART_SIBL
(13,21),(13,28),0.896422 # DEPENDENCYPART_SIBL
(13,21),(13,29),0.879411 # DEPENDENCYPART_SIBL
(13,21),(13,30),1.16129 # DEPENDENCYPART_SIBL
(13,21),(13,31),0.0471894 # DEPENDENCYPART_SIBL
(13,21),(13,32),0.436502 # DEPENDENCYPART_SIBL
(13,21),(13,33),0.896422 # DEPENDENCYPART_SIBL
(13,21),(13,34),0.879411 # DEPENDENCYPART_SIBL
(13,21),(13,36),0.438208 # DEPENDENCYPART_SIBL
(13,22),(13,23),-0.00509035 # DEPENDENCYPART_SIBL
(13,22),(13,24),-0.090446 # DEPENDENCYPART_SIBL
(13,22),(13,25),-0.000958874 # DEPENDENCYPART_SIBL
(13,22),(13,26),-0.181499 # DEPENDENCYPART_SIBL
(13,22),(13,27),-0.105662 # DEPENDENCYPART_SIBL
(13,22),(13,28),0.0347942 # DEPENDENCYPART_SIBL
(13,22),(13,29),-0.0638412 # DEPENDENCYPART_SIBL
(13,22),(13,30),0.0232855 # DEPENDENCYPART_SIBL
(13,22),(13,31),0.0222965 # DEPENDENCYPART_SIBL
(13,22),(13,32),0.148703 # DEPENDENCYPART_SIBL
(13,22),(13,33),0.0347942 # DEPENDENCYPART_SIBL
(13,22),(13,34),-0.0638412 # DEPENDENCYPART_SIBL
(13,22),(13,36),-0.0898927 # DEPENDENCYPART_SIBL
(13,23),(13,24),-0.17625 # DEPENDENCYPART_SIBL
(13,23),(13,25),-0.113234 # DEPENDENCYPART_SIBL
(13,23),(13,26),-0.117824 # DEPENDENCYPART_SIBL
(13,23),(13,27),-0.0650698 # DEPENDENCYPART_SIBL
(13,23),(13,28),0.0164996 # DEPENDENCYPART_SIBL
(13,23),(13,29),-0.14962 # DEPENDENCYPART_SIBL
(13,23),(13,30),-0.0773365 # DEPENDENCYPART_SIBL
(13,23),(13,31),0.0896208 # DEPENDENCYPART_SIBL
(13,23),(13,32),0.10184 # DEPENDENCYPART_SIBL
(13,23),(13,33),0.0164996 # DEPENDENCYPART_SIBL
(13,23),(13,34),-0.14962 # DEPENDENCYPART_SIBL
(13,23),(13,36),-0.112929 # DEPENDENCYPART_SIBL
(13,24),(13,25),-0.109614 # DEPENDENCYPART_SIBL
(13,24),(13,26),-0.120968 # DEPENDENCYPART_SIBL
(13,24),(13,27),0.171651 # DEPENDENCYPART_SIBL
(13,24),(13,28),0.187445 # DEPENDENCYPART_SIBL
(13,24),(13,29),-0.0514279 # DEPENDENCYPART_SIBL
(13,24),(13,30),0.225918 # DEPENDENCYPART_SIBL
(13,24),(13,31),-0.0399107 # DEPENDENCYPART_SIBL
(13,24),(13,32),0.351926 # DEPENDENCYPART_SIBL
(13,24),(13,33),0.187445 # DEPENDENCYPART_SIBL
(13,24),(13,34),-0.0514279 # DEPENDENCYPART_SIBL
(13,24),(13,36),0.0971821 # DEPENDENCYPART_SIBL
(13,25),(13,26),-0.157393 # DEPENDENCYPART_SIBL
(13,25),(13,27),-0.127025 # DEPENDENCYPART_SIBL
(13,25),(13,28),0.0485315 # DEPENDENCYPART_SIBL
(13,25),(13,29),-0.134573 # DEPENDENCYPART_SIBL
(13,25),(13,30),-0.0649092 # DEPENDENCYPART_SIBL
(13,25),(13,31),-0.0369091 # DEPENDENCYPART_SIBL
(13,25),(13,32),0.158457 # DEPENDENCYPART_SIBL
(13,25),(13,33),0.0485315 # DEPENDENCYPART_SIBL
(13,25),(13,34),-0.134573 # DEPENDENCYPART_SIBL
(13,25),(13,36),-0.133706 # DEPENDENCYPART_SIBL
(13,26),(13,27),0.185718 # DEPENDENCYPART_SIBL
(13,26),(13,28),0.0496502 # DEPENDENCYPART_SIBL
(13,26),(13,29),-0.0177806 # DEPENDENCYPART_SIBL
(13,26),(13,30),0.056403 # DEPENDENCYPART_SIBL
(13,26),(13,31),-0.0746113 # DEPENDENCYPART_SIBL
(13,26),(13,32),0.327687 # DEPENDENCYPART_SIBL
(13,26),(13,33),0.0496502 # DEPENDENCYPART_SIBL
(13,26),(13,34),-0.0177806 # DEPENDENCYPART_SIBL
(13,26),(13,36),0.0891242 # DEPENDENCYPART_SIBL
(13,27),(13,28),0.314993 # DEPENDENCYPART_SIBL
(13,27),(13,29),0.0468339 # DEPENDENCYPART_SIBL
(13,27),(13,30),0.140877 # DEPENDENCYPART_SIBL
(13,27),(13,31),0.314595 # DEPENDENCYPART_SIBL
(13,27),(13,32),0.374032 # DEPENDENCYPART_SIBL
(13,27),(13,33),0.314993 # DEPENDENCYPART_SIBL
(13,27),(13,34),0.0468339 # DEPENDENCYPART_SIBL
(13,27),(13,36),0.19867 # DEPENDENCYPART_SIBL
(13,28),(13,29),0.313319 # DEPENDENCYPART_SIBL
(13,28),(13,30),0.38727 # DEPENDENCYPART_SIBL
(13,28),(13,31),-0.0197475 # DEPENDENCYPART_SIBL
(13,28),(13,32),0.195883 # DEPENDENCYPART_SIBL
(13,28),(13,33),-0.090547 # DEPENDENCYPART_SIBL
(13,28),(13,34),0.313319 # DEPENDENCYPART_SIBL
(13,28),(13,36),0.107285 # DEPENDENCYPART_SIBL
(13,29),(13,30),0.234261 # DEPENDENCYPART_SIBL
(13,29),(13,31),0.00829002 # DEPENDENCYPART_SIBL
(13,29),(13,32),0.359292 # DEPENDENCYPART_SIBL
(13,29),(13,33),0.193712 # DEPENDENCYPART_SIBL
(13,29),(13,34),-0.043116 # DEPENDENCYPART_SIBL
(13,29),(13,36),0.112575 # DEPENDENCYPART_SIBL
(13,30),(13,31),0.0818435 # DEPENDENCYPART_SIBL
(13,30),(13,32),0.554726 # DEPENDENCYPART_SIBL
(13,30),(13,33),0.194148 # DEPENDENCYPART_SIBL
(13,30),(13,34),-0.0154023 # DEPENDENCYPART_SIBL
(13,30),(13,36),-0.013037 # DEPENDENCYPART_SIBL
(13,31),(13,32),1.85856 # DEPENDENCYPART_SIBL
(13,31),(13,33),0.409187 # DEPENDENCYPART_SIBL
(13,31),(13,34),-0.0370808 # DEPENDENCYPART_SIBL
(13,31),(13,36),0.141639 # DEPENDENCYPART_SIBL
(13,32),(13,33),-0.0234788 # DEPENDENCYPART_SIBL
(13,32),(13,34),-0.213359 # DEPENDENCYPART_SIBL
(13,32),(13,36),-0.187216 # DEPENDENCYPART_SIBL
(13,33),(13,34),0.313319 # DEPENDENCYPART_SIBL
(13,33),(13,36),0.107285 # DEPENDENCYPART_SIBL
(13,34),(13,36),0.112575 # DEPENDENCYPART_SIBL
(14,10),(14,12),0.554926 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.275564 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0354035 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.00130392 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0796642 # DEPENDENCYPART_SIBL
(14,16),(14,17),0.11571 # DEPENDENCYPART_SIBL
(16,9),(16,13),0.461514 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.250604 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.795711 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0525912 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0444692 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.103894 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0430522 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.172571 # DEPENDENCYPART_SIBL
(16,9),(16,25),-0.0691957 # DEPENDENCYPART_SIBL
(16,13),(16,14),0.00869384 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.388992 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0780541 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0433362 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.045694 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.00167483 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0165396 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.0138464 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.394932 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0766965 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0231304 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0375724 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.126753 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.0208162 # DEPENDENCYPART_SIBL
(16,14),(16,25),0.0433453 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.192615 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0608428 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.217531 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0506999 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0574347 # DEPENDENCYPART_SIBL
(16,15),(16,25),-0.176445 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.317539 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.254477 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.390472 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.142335 # DEPENDENCYPART_SIBL
(16,17),(16,25),0.541413 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0197655 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.128099 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.0691227 # DEPENDENCYPART_SIBL
(16,18),(16,25),0.228875 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.0573744 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0899823 # DEPENDENCYPART_SIBL
(16,19),(16,25),0.0358152 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.0139119 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.0687427 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.0379371 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0566718 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.000317966 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0228383 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0566781 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.0953032 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.117456 # DEPENDENCYPART_SIBL
(19,18),(19,28),0.0164106 # DEPENDENCYPART_SIBL
(19,18),(19,30),0.102488 # DEPENDENCYPART_SIBL
(19,18),(19,32),0.0875251 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.165208 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.03662 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0259735 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0408766 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.132566 # DEPENDENCYPART_SIBL
(19,20),(19,28),-0.0490593 # DEPENDENCYPART_SIBL
(19,20),(19,30),0.0385944 # DEPENDENCYPART_SIBL
(19,20),(19,32),0.0514362 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0583412 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0480705 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.350125 # DEPENDENCYPART_SIBL
(19,21),(19,27),-0.00689469 # DEPENDENCYPART_SIBL
(19,21),(19,28),0.0264304 # DEPENDENCYPART_SIBL
(19,21),(19,30),0.528865 # DEPENDENCYPART_SIBL
(19,21),(19,32),0.0946711 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.10569 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.0386851 # DEPENDENCYPART_SIBL
(19,22),(19,27),0.187339 # DEPENDENCYPART_SIBL
(19,22),(19,28),-0.0648425 # DEPENDENCYPART_SIBL
(19,22),(19,30),0.146172 # DEPENDENCYPART_SIBL
(19,22),(19,32),0.0138847 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0377599 # DEPENDENCYPART_SIBL
(19,23),(19,27),0.14665 # DEPENDENCYPART_SIBL
(19,23),(19,28),-0.042688 # DEPENDENCYPART_SIBL
(19,23),(19,30),0.0424434 # DEPENDENCYPART_SIBL
(19,23),(19,32),0.0566508 # DEPENDENCYPART_SIBL
(19,24),(19,27),0.0326763 # DEPENDENCYPART_SIBL
(19,24),(19,28),-0.0459622 # DEPENDENCYPART_SIBL
(19,24),(19,30),0.220425 # DEPENDENCYPART_SIBL
(19,24),(19,32),-0.0208817 # DEPENDENCYPART_SIBL
(19,27),(19,28),0.028341 # DEPENDENCYPART_SIBL
(19,27),(19,30),0.225218 # DEPENDENCYPART_SIBL
(19,27),(19,32),0.059768 # DEPENDENCYPART_SIBL
(19,28),(19,30),0.138325 # DEPENDENCYPART_SIBL
(19,28),(19,32),0.144567 # DEPENDENCYPART_SIBL
(19,30),(19,32),0.0950849 # DEPENDENCYPART_SIBL
(20,13),(20,16),-0.0605415 # DEPENDENCYPART_SIBL
(20,13),(20,17),0.131806 # DEPENDENCYPART_SIBL
(20,13),(20,18),0.0473706 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.0289312 # DEPENDENCYPART_SIBL
(20,13),(20,21),-0.0140765 # DEPENDENCYPART_SIBL
(20,13),(20,22),-0.0113046 # DEPENDENCYPART_SIBL
(20,13),(20,23),-0.0180508 # DEPENDENCYPART_SIBL
(20,13),(20,24),0.0294784 # DEPENDENCYPART_SIBL
(20,13),(20,25),0.044514 # DEPENDENCYPART_SIBL
(20,13),(20,26),-0.00707552 # DEPENDENCYPART_SIBL
(20,13),(20,27),0.0584801 # DEPENDENCYPART_SIBL
(20,13),(20,28),-0.00889077 # DEPENDENCYPART_SIBL
(20,13),(20,30),0.063847 # DEPENDENCYPART_SIBL
(20,13),(20,31),0.00914799 # DEPENDENCYPART_SIBL
(20,13),(20,32),0.101316 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.310646 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.203793 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.175579 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0252402 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.051378 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.00941298 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.00753261 # DEPENDENCYPART_SIBL
(20,16),(20,25),0.0695707 # DEPENDENCYPART_SIBL
(20,16),(20,26),0.0515558 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.00503412 # DEPENDENCYPART_SIBL
(20,16),(20,28),0.00797495 # DEPENDENCYPART_SIBL
(20,16),(20,30),0.0215226 # DEPENDENCYPART_SIBL
(20,16),(20,31),-0.0279938 # DEPENDENCYPART_SIBL
(20,16),(20,32),0.0766641 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.114778 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.152735 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0649907 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.103095 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.0844129 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0769418 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.0485513 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0719736 # DEPENDENCYPART_SIBL
(20,17),(20,27),-0.0366114 # DEPENDENCYPART_SIBL
(20,17),(20,28),-0.074692 # DEPENDENCYPART_SIBL
(20,17),(20,30),-0.0455166 # DEPENDENCYPART_SIBL
(20,17),(20,31),0.0327058 # DEPENDENCYPART_SIBL
(20,17),(20,32),-0.203709 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0938295 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0375112 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.00328501 # DEPENDENCYPART_SIBL
(20,18),(20,23),0.0919011 # DEPENDENCYPART_SIBL
(20,18),(20,24),0.106694 # DEPENDENCYPART_SIBL
(20,18),(20,25),0.0125625 # DEPENDENCYPART_SIBL
(20,18),(20,26),0.613423 # DEPENDENCYPART_SIBL
(20,18),(20,27),0.112662 # DEPENDENCYPART_SIBL
(20,18),(20,28),0.000558988 # DEPENDENCYPART_SIBL
(20,18),(20,30),0.141354 # DEPENDENCYPART_SIBL
(20,18),(20,31),0.0571089 # DEPENDENCYPART_SIBL
(20,18),(20,32),0.201197 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.128382 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0403768 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.0240503 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.041227 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.0169102 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.0239044 # DEPENDENCYPART_SIBL
(20,19),(20,27),0.133946 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.0499785 # DEPENDENCYPART_SIBL
(20,19),(20,30),0.0933807 # DEPENDENCYPART_SIBL
(20,19),(20,31),0.0275615 # DEPENDENCYPART_SIBL
(20,19),(20,32),0.0078616 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.052499 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0020684 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.232515 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.0264259 # DEPENDENCYPART_SIBL
(20,21),(20,26),0.135951 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.0796906 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.0113811 # DEPENDENCYPART_SIBL
(20,21),(20,30),0.349347 # DEPENDENCYPART_SIBL
(20,21),(20,31),0.0633638 # DEPENDENCYPART_SIBL
(20,21),(20,32),0.172888 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.0473369 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0308875 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.0158225 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.0359093 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.0419478 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.132586 # DEPENDENCYPART_SIBL
(20,22),(20,30),0.0170976 # DEPENDENCYPART_SIBL
(20,22),(20,31),-0.0558716 # DEPENDENCYPART_SIBL
(20,22),(20,32),0.00549831 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0733549 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0839991 # DEPENDENCYPART_SIBL
(20,23),(20,26),0.0351106 # DEPENDENCYPART_SIBL
(20,23),(20,27),0.00404238 # DEPENDENCYPART_SIBL
(20,23),(20,28),-0.109526 # DEPENDENCYPART_SIBL
(20,23),(20,30),-0.0384101 # DEPENDENCYPART_SIBL
(20,23),(20,31),-0.0273294 # DEPENDENCYPART_SIBL
(20,23),(20,32),0.0201285 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.194096 # DEPENDENCYPART_SIBL
(20,24),(20,26),-0.000338045 # DEPENDENCYPART_SIBL
(20,24),(20,27),-0.00679982 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.0507566 # DEPENDENCYPART_SIBL
(20,24),(20,30),0.144664 # DEPENDENCYPART_SIBL
(20,24),(20,31),-0.103737 # DEPENDENCYPART_SIBL
(20,24),(20,32),0.00182744 # DEPENDENCYPART_SIBL
(20,25),(20,26),0.0593812 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.0131407 # DEPENDENCYPART_SIBL
(20,25),(20,28),-0.0705042 # DEPENDENCYPART_SIBL
(20,25),(20,30),0.0105901 # DEPENDENCYPART_SIBL
(20,25),(20,31),0.0608073 # DEPENDENCYPART_SIBL
(20,25),(20,32),0.0985777 # DEPENDENCYPART_SIBL
