# _root_ Two years ago when the NAHB lobbied for the $ 19 billion omnibus housing bill , the organization `` basically dropped out of the taxpayers ' coalition , '' says Ms. MacDonald .
#goldHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,22,25,27,25,23,30,30,0,32,30,30,
#predictedHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,21,25,27,25,23,30,30,0,32,30,30,
(18,10),(18,28),0.0294161 # DEPENDENCYPART_SIBL
(18,10),(18,29),0.00688518 # DEPENDENCYPART_SIBL
(18,10),(18,30),0.145234 # DEPENDENCYPART_SIBL
(18,10),(18,32),-0.0486818 # DEPENDENCYPART_SIBL
(18,10),(18,33),-0.00492458 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.112701 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.518829 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.00898945 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0437583 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.028922 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0644429 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0404676 # DEPENDENCYPART_SIBL
(18,15),(18,25),-0.00818505 # DEPENDENCYPART_SIBL
(18,15),(18,26),0.0413188 # DEPENDENCYPART_SIBL
(18,15),(18,27),-0.0114454 # DEPENDENCYPART_SIBL
(18,15),(18,28),-0.0911371 # DEPENDENCYPART_SIBL
(18,15),(18,29),0.0491859 # DEPENDENCYPART_SIBL
(18,15),(18,30),0.0230451 # DEPENDENCYPART_SIBL
(18,15),(18,32),0.0558168 # DEPENDENCYPART_SIBL
(18,15),(18,33),-0.0174065 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.0930896 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0421837 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0368578 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0164286 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0576039 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0396742 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.054189 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.200537 # DEPENDENCYPART_SIBL
(18,16),(18,27),-0.033068 # DEPENDENCYPART_SIBL
(18,16),(18,28),-0.0660879 # DEPENDENCYPART_SIBL
(18,16),(18,29),0.0248192 # DEPENDENCYPART_SIBL
(18,16),(18,30),0.174534 # DEPENDENCYPART_SIBL
(18,16),(18,32),-0.049114 # DEPENDENCYPART_SIBL
(18,16),(18,33),0.0546884 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0561486 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.0317489 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.212668 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.314108 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.430605 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.046631 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.248347 # DEPENDENCYPART_SIBL
(18,17),(18,27),0.0433926 # DEPENDENCYPART_SIBL
(18,17),(18,28),0.0545652 # DEPENDENCYPART_SIBL
(18,17),(18,29),0.13873 # DEPENDENCYPART_SIBL
(18,17),(18,30),0.260621 # DEPENDENCYPART_SIBL
(18,17),(18,32),0.0919185 # DEPENDENCYPART_SIBL
(18,17),(18,33),-0.0841377 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0286173 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.252414 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0467833 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.000951458 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.244542 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.0271653 # DEPENDENCYPART_SIBL
(18,19),(18,27),0.19572 # DEPENDENCYPART_SIBL
(18,19),(18,28),0.019623 # DEPENDENCYPART_SIBL
(18,19),(18,29),0.37977 # DEPENDENCYPART_SIBL
(18,19),(18,30),0.0890196 # DEPENDENCYPART_SIBL
(18,19),(18,32),0.207149 # DEPENDENCYPART_SIBL
(18,19),(18,33),0.0907062 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0268621 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0591811 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0277275 # DEPENDENCYPART_SIBL
(18,20),(18,25),0.089721 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.00877306 # DEPENDENCYPART_SIBL
(18,20),(18,27),0.0573023 # DEPENDENCYPART_SIBL
(18,20),(18,28),0.000557982 # DEPENDENCYPART_SIBL
(18,20),(18,29),-0.0552668 # DEPENDENCYPART_SIBL
(18,20),(18,30),-0.066551 # DEPENDENCYPART_SIBL
(18,20),(18,32),0.0505396 # DEPENDENCYPART_SIBL
(18,20),(18,33),-0.0514621 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0316473 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0222389 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.020508 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0285381 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.0191639 # DEPENDENCYPART_SIBL
(18,21),(18,28),0.253238 # DEPENDENCYPART_SIBL
(18,21),(18,29),0.0609392 # DEPENDENCYPART_SIBL
(18,21),(18,30),-0.151326 # DEPENDENCYPART_SIBL
(18,21),(18,32),0.0191093 # DEPENDENCYPART_SIBL
(18,21),(18,33),0.0215738 # DEPENDENCYPART_SIBL
(18,22),(18,23),0.0649676 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.399293 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0593736 # DEPENDENCYPART_SIBL
(18,22),(18,27),0.322126 # DEPENDENCYPART_SIBL
(18,22),(18,28),0.27148 # DEPENDENCYPART_SIBL
(18,22),(18,29),0.143867 # DEPENDENCYPART_SIBL
(18,22),(18,30),0.0852359 # DEPENDENCYPART_SIBL
(18,22),(18,32),0.179431 # DEPENDENCYPART_SIBL
(18,22),(18,33),0.0678827 # DEPENDENCYPART_SIBL
(18,23),(18,25),0.0621406 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.0583306 # DEPENDENCYPART_SIBL
(18,23),(18,27),0.058505 # DEPENDENCYPART_SIBL
(18,23),(18,28),0.0162006 # DEPENDENCYPART_SIBL
(18,23),(18,29),-0.126439 # DEPENDENCYPART_SIBL
(18,23),(18,30),-0.111568 # DEPENDENCYPART_SIBL
(18,23),(18,32),0.0721424 # DEPENDENCYPART_SIBL
(18,23),(18,33),-0.0404282 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.0931001 # DEPENDENCYPART_SIBL
(18,25),(18,27),-0.0858768 # DEPENDENCYPART_SIBL
(18,25),(18,28),-0.0350622 # DEPENDENCYPART_SIBL
(18,25),(18,29),0.00554279 # DEPENDENCYPART_SIBL
(18,25),(18,30),-0.0876217 # DEPENDENCYPART_SIBL
(18,25),(18,32),-0.0653312 # DEPENDENCYPART_SIBL
(18,25),(18,33),-0.0232705 # DEPENDENCYPART_SIBL
(18,26),(18,27),-0.108048 # DEPENDENCYPART_SIBL
(18,26),(18,28),-0.150537 # DEPENDENCYPART_SIBL
(18,26),(18,29),-0.0543953 # DEPENDENCYPART_SIBL
(18,26),(18,30),-0.103786 # DEPENDENCYPART_SIBL
(18,26),(18,32),-0.0775034 # DEPENDENCYPART_SIBL
(18,26),(18,33),-0.197585 # DEPENDENCYPART_SIBL
(18,27),(18,28),-0.0138738 # DEPENDENCYPART_SIBL
(18,27),(18,29),-0.00757253 # DEPENDENCYPART_SIBL
(18,27),(18,30),-0.0575159 # DEPENDENCYPART_SIBL
(18,27),(18,32),-0.0540391 # DEPENDENCYPART_SIBL
(18,27),(18,33),-0.0111552 # DEPENDENCYPART_SIBL
(18,28),(18,29),0.444464 # DEPENDENCYPART_SIBL
(18,28),(18,30),0.377586 # DEPENDENCYPART_SIBL
(18,28),(18,32),0.694117 # DEPENDENCYPART_SIBL
(18,28),(18,33),0.0323535 # DEPENDENCYPART_SIBL
(18,29),(18,30),0.0672119 # DEPENDENCYPART_SIBL
(18,29),(18,32),0.148113 # DEPENDENCYPART_SIBL
(18,29),(18,33),-0.0398213 # DEPENDENCYPART_SIBL
(18,30),(18,32),0.00881811 # DEPENDENCYPART_SIBL
(18,30),(18,33),0.100401 # DEPENDENCYPART_SIBL
(18,32),(18,33),-0.038247 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.18027 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.183454 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0125852 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.00952538 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.00476351 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.00744125 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.112937 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.00296862 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.00182892 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0172205 # DEPENDENCYPART_SIBL
(20,17),(20,18),-0.0242163 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.322929 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.150024 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.234785 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.244918 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.091454 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.125514 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0210974 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0416198 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0453583 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.041347 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0950198 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.015501 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.198119 # DEPENDENCYPART_SIBL
(20,19),(20,25),0.0518833 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.0194091 # DEPENDENCYPART_SIBL
(20,21),(20,23),0.0577265 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.00636233 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.0178565 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.221337 # DEPENDENCYPART_SIBL
(20,23),(20,25),0.222559 # DEPENDENCYPART_SIBL
(21,1),(21,2),-0.220174 # DEPENDENCYPART_SIBL
(21,1),(21,3),-0.0056109 # DEPENDENCYPART_SIBL
(21,1),(21,4),-0.132983 # DEPENDENCYPART_SIBL
(21,1),(21,5),-0.290258 # DEPENDENCYPART_SIBL
(21,1),(21,6),-0.116886 # DEPENDENCYPART_SIBL
(21,1),(21,7),-0.081861 # DEPENDENCYPART_SIBL
(21,1),(21,8),-0.040763 # DEPENDENCYPART_SIBL
(21,1),(21,9),-0.290258 # DEPENDENCYPART_SIBL
(21,1),(21,10),-0.01392 # DEPENDENCYPART_SIBL
(21,1),(21,12),-0.201444 # DEPENDENCYPART_SIBL
(21,1),(21,13),-0.109693 # DEPENDENCYPART_SIBL
(21,1),(21,14),-0.107239 # DEPENDENCYPART_SIBL
(21,1),(21,15),-0.1117 # DEPENDENCYPART_SIBL
(21,1),(21,16),-0.12196 # DEPENDENCYPART_SIBL
(21,1),(21,17),-0.290258 # DEPENDENCYPART_SIBL
(21,1),(21,18),-0.10412 # DEPENDENCYPART_SIBL
(21,1),(21,19),0.0462831 # DEPENDENCYPART_SIBL
(21,1),(21,20),0.0166097 # DEPENDENCYPART_SIBL
(21,1),(21,22),-0.0204784 # DEPENDENCYPART_SIBL
(21,1),(21,23),-0.0305498 # DEPENDENCYPART_SIBL
(21,1),(21,24),-0.0173749 # DEPENDENCYPART_SIBL
(21,1),(21,25),0.0149086 # DEPENDENCYPART_SIBL
(21,1),(21,26),-0.0982759 # DEPENDENCYPART_SIBL
(21,1),(21,27),0.0157138 # DEPENDENCYPART_SIBL
(21,1),(21,28),0.0278197 # DEPENDENCYPART_SIBL
(21,1),(21,29),-0.0321337 # DEPENDENCYPART_SIBL
(21,1),(21,30),-0.0381131 # DEPENDENCYPART_SIBL
(21,1),(21,31),0.0384056 # DEPENDENCYPART_SIBL
(21,1),(21,32),0.0576618 # DEPENDENCYPART_SIBL
(21,1),(21,33),0.0379534 # DEPENDENCYPART_SIBL
(21,2),(21,3),-0.0800684 # DEPENDENCYPART_SIBL
(21,2),(21,4),-0.265903 # DEPENDENCYPART_SIBL
(21,2),(21,5),-0.243063 # DEPENDENCYPART_SIBL
(21,2),(21,6),-0.450283 # DEPENDENCYPART_SIBL
(21,2),(21,7),-0.204303 # DEPENDENCYPART_SIBL
(21,2),(21,8),-0.000908962 # DEPENDENCYPART_SIBL
(21,2),(21,9),-0.243063 # DEPENDENCYPART_SIBL
(21,2),(21,10),-0.210568 # DEPENDENCYPART_SIBL
(21,2),(21,12),-0.307189 # DEPENDENCYPART_SIBL
(21,2),(21,13),-0.498326 # DEPENDENCYPART_SIBL
(21,2),(21,14),-0.493667 # DEPENDENCYPART_SIBL
(21,2),(21,15),-0.502843 # DEPENDENCYPART_SIBL
(21,2),(21,16),0.0212755 # DEPENDENCYPART_SIBL
(21,2),(21,17),-0.243063 # DEPENDENCYPART_SIBL
(21,2),(21,18),-0.493182 # DEPENDENCYPART_SIBL
(21,2),(21,19),0.0896906 # DEPENDENCYPART_SIBL
(21,2),(21,20),-0.0042061 # DEPENDENCYPART_SIBL
(21,2),(21,22),-0.02539 # DEPENDENCYPART_SIBL
(21,2),(21,23),-0.102948 # DEPENDENCYPART_SIBL
(21,2),(21,24),-0.112634 # DEPENDENCYPART_SIBL
(21,2),(21,25),-0.0448201 # DEPENDENCYPART_SIBL
(21,2),(21,26),-0.0935224 # DEPENDENCYPART_SIBL
(21,2),(21,27),-0.110832 # DEPENDENCYPART_SIBL
(21,2),(21,28),0.00169223 # DEPENDENCYPART_SIBL
(21,2),(21,29),-0.109518 # DEPENDENCYPART_SIBL
(21,2),(21,30),-0.106381 # DEPENDENCYPART_SIBL
(21,2),(21,31),-0.123229 # DEPENDENCYPART_SIBL
(21,2),(21,32),-0.104036 # DEPENDENCYPART_SIBL
(21,2),(21,33),-0.0994435 # DEPENDENCYPART_SIBL
(21,3),(21,4),0.092102 # DEPENDENCYPART_SIBL
(21,3),(21,5),0.0104484 # DEPENDENCYPART_SIBL
(21,3),(21,6),-0.00877083 # DEPENDENCYPART_SIBL
(21,3),(21,7),0.0602361 # DEPENDENCYPART_SIBL
(21,3),(21,8),0.0257419 # DEPENDENCYPART_SIBL
(21,3),(21,9),0.0104484 # DEPENDENCYPART_SIBL
(21,3),(21,10),0.0581252 # DEPENDENCYPART_SIBL
(21,3),(21,12),0.00450026 # DEPENDENCYPART_SIBL
(21,3),(21,13),0.072704 # DEPENDENCYPART_SIBL
(21,3),(21,14),0.0716868 # DEPENDENCYPART_SIBL
(21,3),(21,15),0.0809781 # DEPENDENCYPART_SIBL
(21,3),(21,16),0.279353 # DEPENDENCYPART_SIBL
(21,3),(21,17),0.0104484 # DEPENDENCYPART_SIBL
(21,3),(21,18),0.0768876 # DEPENDENCYPART_SIBL
(21,3),(21,19),0.145977 # DEPENDENCYPART_SIBL
(21,3),(21,20),0.0541421 # DEPENDENCYPART_SIBL
(21,3),(21,22),0.0861126 # DEPENDENCYPART_SIBL
(21,3),(21,23),-0.0533853 # DEPENDENCYPART_SIBL
(21,3),(21,24),-0.0209391 # DEPENDENCYPART_SIBL
(21,3),(21,25),0.0200952 # DEPENDENCYPART_SIBL
(21,3),(21,26),-0.139206 # DEPENDENCYPART_SIBL
(21,3),(21,27),0.0411817 # DEPENDENCYPART_SIBL
(21,3),(21,28),0.0245795 # DEPENDENCYPART_SIBL
(21,3),(21,29),0.00564735 # DEPENDENCYPART_SIBL
(21,3),(21,30),-0.00561339 # DEPENDENCYPART_SIBL
(21,3),(21,31),-0.0616894 # DEPENDENCYPART_SIBL
(21,3),(21,32),-0.0398415 # DEPENDENCYPART_SIBL
(21,3),(21,33),0.0626479 # DEPENDENCYPART_SIBL
(21,4),(21,5),-0.0714576 # DEPENDENCYPART_SIBL
(21,4),(21,6),0.103809 # DEPENDENCYPART_SIBL
(21,4),(21,7),-0.0276454 # DEPENDENCYPART_SIBL
(21,4),(21,8),0.0420462 # DEPENDENCYPART_SIBL
(21,4),(21,9),-0.0714576 # DEPENDENCYPART_SIBL
(21,4),(21,10),0.0974332 # DEPENDENCYPART_SIBL
(21,4),(21,12),0.0177528 # DEPENDENCYPART_SIBL
(21,4),(21,13),0.0522468 # DEPENDENCYPART_SIBL
(21,4),(21,14),0.0520798 # DEPENDENCYPART_SIBL
(21,4),(21,15),0.0460097 # DEPENDENCYPART_SIBL
(21,4),(21,16),-0.00229245 # DEPENDENCYPART_SIBL
(21,4),(21,17),-0.0714576 # DEPENDENCYPART_SIBL
(21,4),(21,18),0.0577492 # DEPENDENCYPART_SIBL
(21,4),(21,19),0.135964 # DEPENDENCYPART_SIBL
(21,4),(21,20),0.058637 # DEPENDENCYPART_SIBL
(21,4),(21,22),0.126412 # DEPENDENCYPART_SIBL
(21,4),(21,23),0.032417 # DEPENDENCYPART_SIBL
(21,4),(21,24),-0.0259584 # DEPENDENCYPART_SIBL
(21,4),(21,25),0.221343 # DEPENDENCYPART_SIBL
(21,4),(21,26),-0.0600216 # DEPENDENCYPART_SIBL
(21,4),(21,27),0.155496 # DEPENDENCYPART_SIBL
(21,4),(21,28),-0.0767862 # DEPENDENCYPART_SIBL
(21,4),(21,29),-0.0902935 # DEPENDENCYPART_SIBL
(21,4),(21,30),-0.0433875 # DEPENDENCYPART_SIBL
(21,4),(21,31),0.0567005 # DEPENDENCYPART_SIBL
(21,4),(21,32),0.0759816 # DEPENDENCYPART_SIBL
(21,4),(21,33),-0.664767 # DEPENDENCYPART_SIBL
(21,5),(21,6),-0.209701 # DEPENDENCYPART_SIBL
(21,5),(21,7),-0.134562 # DEPENDENCYPART_SIBL
(21,5),(21,8),-0.0863712 # DEPENDENCYPART_SIBL
(21,5),(21,9),-0.582821 # DEPENDENCYPART_SIBL
(21,5),(21,10),0.0732407 # DEPENDENCYPART_SIBL
(21,5),(21,12),-0.1488 # DEPENDENCYPART_SIBL
(21,5),(21,13),-0.147647 # DEPENDENCYPART_SIBL
(21,5),(21,14),-0.0979722 # DEPENDENCYPART_SIBL
(21,5),(21,15),-0.176839 # DEPENDENCYPART_SIBL
(21,5),(21,16),-0.111454 # DEPENDENCYPART_SIBL
(21,5),(21,17),-0.582821 # DEPENDENCYPART_SIBL
(21,5),(21,18),-0.167395 # DEPENDENCYPART_SIBL
(21,5),(21,19),0.324304 # DEPENDENCYPART_SIBL
(21,5),(21,20),-0.047042 # DEPENDENCYPART_SIBL
(21,5),(21,22),-0.313255 # DEPENDENCYPART_SIBL
(21,5),(21,23),0.121399 # DEPENDENCYPART_SIBL
(21,5),(21,24),-0.195649 # DEPENDENCYPART_SIBL
(21,5),(21,25),-0.109674 # DEPENDENCYPART_SIBL
(21,5),(21,26),0.146083 # DEPENDENCYPART_SIBL
(21,5),(21,27),-0.169941 # DEPENDENCYPART_SIBL
(21,5),(21,28),-0.107261 # DEPENDENCYPART_SIBL
(21,5),(21,29),-0.0676616 # DEPENDENCYPART_SIBL
(21,5),(21,30),-0.0601947 # DEPENDENCYPART_SIBL
(21,5),(21,31),-0.210653 # DEPENDENCYPART_SIBL
(21,5),(21,32),-0.191662 # DEPENDENCYPART_SIBL
(21,5),(21,33),-0.214881 # DEPENDENCYPART_SIBL
(21,6),(21,7),-0.140579 # DEPENDENCYPART_SIBL
(21,6),(21,8),0.00959032 # DEPENDENCYPART_SIBL
(21,6),(21,9),-0.340221 # DEPENDENCYPART_SIBL
(21,6),(21,10),-0.145325 # DEPENDENCYPART_SIBL
(21,6),(21,12),-0.212866 # DEPENDENCYPART_SIBL
(21,6),(21,13),-0.218549 # DEPENDENCYPART_SIBL
(21,6),(21,14),-0.221928 # DEPENDENCYPART_SIBL
(21,6),(21,15),-0.207867 # DEPENDENCYPART_SIBL
(21,6),(21,16),-0.0368778 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.340221 # DEPENDENCYPART_SIBL
(21,6),(21,18),-0.204639 # DEPENDENCYPART_SIBL
(21,6),(21,19),0.0296538 # DEPENDENCYPART_SIBL
(21,6),(21,20),0.0230623 # DEPENDENCYPART_SIBL
(21,6),(21,22),-0.0034719 # DEPENDENCYPART_SIBL
(21,6),(21,23),-0.0445829 # DEPENDENCYPART_SIBL
(21,6),(21,24),-0.0770189 # DEPENDENCYPART_SIBL
(21,6),(21,25),0.0138325 # DEPENDENCYPART_SIBL
(21,6),(21,26),0.0219816 # DEPENDENCYPART_SIBL
(21,6),(21,27),-0.0295487 # DEPENDENCYPART_SIBL
(21,6),(21,28),0.0599338 # DEPENDENCYPART_SIBL
(21,6),(21,29),-0.0227348 # DEPENDENCYPART_SIBL
(21,6),(21,30),-0.0109014 # DEPENDENCYPART_SIBL
(21,6),(21,31),-0.0662637 # DEPENDENCYPART_SIBL
(21,6),(21,32),-0.0376529 # DEPENDENCYPART_SIBL
(21,6),(21,33),-0.0456309 # DEPENDENCYPART_SIBL
(21,7),(21,8),-0.103665 # DEPENDENCYPART_SIBL
(21,7),(21,9),-0.0583442 # DEPENDENCYPART_SIBL
(21,7),(21,10),-0.0477509 # DEPENDENCYPART_SIBL
(21,7),(21,12),-0.0676391 # DEPENDENCYPART_SIBL
(21,7),(21,13),-0.0305382 # DEPENDENCYPART_SIBL
(21,7),(21,14),-0.0308795 # DEPENDENCYPART_SIBL
(21,7),(21,15),-0.033255 # DEPENDENCYPART_SIBL
(21,7),(21,16),0.252916 # DEPENDENCYPART_SIBL
(21,7),(21,17),-0.0583442 # DEPENDENCYPART_SIBL
(21,7),(21,18),-0.0164195 # DEPENDENCYPART_SIBL
(21,7),(21,19),0.0221614 # DEPENDENCYPART_SIBL
(21,7),(21,20),-0.0643422 # DEPENDENCYPART_SIBL
(21,7),(21,22),-0.00140781 # DEPENDENCYPART_SIBL
(21,7),(21,23),-0.0407019 # DEPENDENCYPART_SIBL
(21,7),(21,24),-0.0698897 # DEPENDENCYPART_SIBL
(21,7),(21,25),-0.0184952 # DEPENDENCYPART_SIBL
(21,7),(21,26),-0.0651025 # DEPENDENCYPART_SIBL
(21,7),(21,27),-0.013736 # DEPENDENCYPART_SIBL
(21,7),(21,28),0.037802 # DEPENDENCYPART_SIBL
(21,7),(21,29),0.0029452 # DEPENDENCYPART_SIBL
(21,7),(21,30),-0.10602 # DEPENDENCYPART_SIBL
(21,7),(21,31),0.0043667 # DEPENDENCYPART_SIBL
(21,7),(21,32),0.0252532 # DEPENDENCYPART_SIBL
(21,7),(21,33),0.0164384 # DEPENDENCYPART_SIBL
(21,8),(21,9),-0.0754625 # DEPENDENCYPART_SIBL
(21,8),(21,10),-0.065164 # DEPENDENCYPART_SIBL
(21,8),(21,12),-0.091403 # DEPENDENCYPART_SIBL
(21,8),(21,13),-0.0400665 # DEPENDENCYPART_SIBL
(21,8),(21,14),-0.0406619 # DEPENDENCYPART_SIBL
(21,8),(21,15),-0.0418565 # DEPENDENCYPART_SIBL
(21,8),(21,16),0.407287 # DEPENDENCYPART_SIBL
(21,8),(21,17),-0.0754625 # DEPENDENCYPART_SIBL
(21,8),(21,18),-0.0408778 # DEPENDENCYPART_SIBL
(21,8),(21,19),0.0781531 # DEPENDENCYPART_SIBL
(21,8),(21,20),-0.0512979 # DEPENDENCYPART_SIBL
(21,8),(21,22),-0.0133244 # DEPENDENCYPART_SIBL
(21,8),(21,23),-0.0405331 # DEPENDENCYPART_SIBL
(21,8),(21,24),-0.0481521 # DEPENDENCYPART_SIBL
(21,8),(21,25),0.0357407 # DEPENDENCYPART_SIBL
(21,8),(21,26),-0.0603036 # DEPENDENCYPART_SIBL
(21,8),(21,27),-0.0199965 # DEPENDENCYPART_SIBL
(21,8),(21,28),0.0164088 # DEPENDENCYPART_SIBL
(21,8),(21,29),0.0137676 # DEPENDENCYPART_SIBL
(21,8),(21,30),-0.0270494 # DEPENDENCYPART_SIBL
(21,8),(21,31),-0.0709272 # DEPENDENCYPART_SIBL
(21,8),(21,32),-0.0513775 # DEPENDENCYPART_SIBL
(21,8),(21,33),0.0416979 # DEPENDENCYPART_SIBL
(21,9),(21,10),0.0732407 # DEPENDENCYPART_SIBL
(21,9),(21,12),-0.1488 # DEPENDENCYPART_SIBL
(21,9),(21,13),-0.147647 # DEPENDENCYPART_SIBL
(21,9),(21,14),-0.0979722 # DEPENDENCYPART_SIBL
(21,9),(21,15),-0.176839 # DEPENDENCYPART_SIBL
(21,9),(21,16),-0.111454 # DEPENDENCYPART_SIBL
(21,9),(21,17),-0.582821 # DEPENDENCYPART_SIBL
(21,9),(21,18),-0.167395 # DEPENDENCYPART_SIBL
(21,9),(21,19),0.324304 # DEPENDENCYPART_SIBL
(21,9),(21,20),-0.047042 # DEPENDENCYPART_SIBL
(21,9),(21,22),-0.313255 # DEPENDENCYPART_SIBL
(21,9),(21,23),0.121399 # DEPENDENCYPART_SIBL
(21,9),(21,24),-0.195649 # DEPENDENCYPART_SIBL
(21,9),(21,25),-0.109674 # DEPENDENCYPART_SIBL
(21,9),(21,26),0.146083 # DEPENDENCYPART_SIBL
(21,9),(21,27),-0.169941 # DEPENDENCYPART_SIBL
(21,9),(21,28),-0.107261 # DEPENDENCYPART_SIBL
(21,9),(21,29),-0.0676616 # DEPENDENCYPART_SIBL
(21,9),(21,30),-0.0601947 # DEPENDENCYPART_SIBL
(21,9),(21,31),-0.210653 # DEPENDENCYPART_SIBL
(21,9),(21,32),-0.191662 # DEPENDENCYPART_SIBL
(21,9),(21,33),-0.214881 # DEPENDENCYPART_SIBL
(21,10),(21,12),-0.0683633 # DEPENDENCYPART_SIBL
(21,10),(21,13),-0.127955 # DEPENDENCYPART_SIBL
(21,10),(21,14),-0.132602 # DEPENDENCYPART_SIBL
(21,10),(21,15),-0.130001 # DEPENDENCYPART_SIBL
(21,10),(21,16),-0.0153055 # DEPENDENCYPART_SIBL
(21,10),(21,17),-0.187435 # DEPENDENCYPART_SIBL
(21,10),(21,18),-0.122387 # DEPENDENCYPART_SIBL
(21,10),(21,19),0.0566572 # DEPENDENCYPART_SIBL
(21,10),(21,20),-0.00251677 # DEPENDENCYPART_SIBL
(21,10),(21,22),0.0356673 # DEPENDENCYPART_SIBL
(21,10),(21,23),-0.120068 # DEPENDENCYPART_SIBL
(21,10),(21,24),-0.0784048 # DEPENDENCYPART_SIBL
(21,10),(21,25),0.008103 # DEPENDENCYPART_SIBL
(21,10),(21,26),-0.0757185 # DEPENDENCYPART_SIBL
(21,10),(21,27),-0.0107293 # DEPENDENCYPART_SIBL
(21,10),(21,28),0.0429976 # DEPENDENCYPART_SIBL
(21,10),(21,29),-0.100218 # DEPENDENCYPART_SIBL
(21,10),(21,30),-0.017129 # DEPENDENCYPART_SIBL
(21,10),(21,31),-0.0869413 # DEPENDENCYPART_SIBL
(21,10),(21,32),-0.0676851 # DEPENDENCYPART_SIBL
(21,10),(21,33),-0.115016 # DEPENDENCYPART_SIBL
(21,12),(21,13),-0.16519 # DEPENDENCYPART_SIBL
(21,12),(21,14),-0.162737 # DEPENDENCYPART_SIBL
(21,12),(21,15),-0.167198 # DEPENDENCYPART_SIBL
(21,12),(21,16),-0.105901 # DEPENDENCYPART_SIBL
