# _root_ That should stop a lot of account-churning , and produce a stock market driven only by professional concern , careful thought and good sense .
#goldHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
#predictedHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,16,14,18,16,18,21,18,21,24,22,2,
(5,1),(5,25),-0.0192114 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.176309 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0307152 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0369937 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.100922 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0774904 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00377892 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.103172 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.433191 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0229677 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.125305 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0127361 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0369937 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0880947 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.100922 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0234419 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.0337931 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0330553 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.137014 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.046962 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.157884 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0646073 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.00643396 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0558216 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.102019 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.13158 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0710673 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.137014 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0239897 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.046962 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0139835 # DEPENDENCYPART_SIBL
(5,6),(5,25),-0.116833 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0270644 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0132497 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0199347 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.100909 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0905632 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0196813 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0704863 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0160518 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.116962 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0270644 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0887897 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0132497 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0906923 # DEPENDENCYPART_SIBL
(5,7),(5,25),0.025445 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.538211 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.322619 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.722683 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.70292 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.639901 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.261959 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.11989 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.599281 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0829042 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.731469 # DEPENDENCYPART_SIBL
(5,8),(5,22),0.538211 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.710272 # DEPENDENCYPART_SIBL
(5,8),(5,25),0.0359829 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.127155 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0474799 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0296863 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.08949 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0175193 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0440604 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.095521 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0525728 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0502651 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.993123 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.0582941 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.0296684 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0920941 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0701615 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0532615 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0898721 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0662926 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.100212 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0920866 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0734474 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.0303818 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0806184 # DEPENDENCYPART_SIBL
(5,10),(5,25),-0.0278372 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.083183 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0111626 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.037839 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0519619 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.109567 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.030867 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.0813942 # DEPENDENCYPART_SIBL
(5,12),(5,22),0.00917133 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.0832968 # DEPENDENCYPART_SIBL
(5,12),(5,25),0.0125841 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0226634 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0655583 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.00172138 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0917553 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.0181744 # DEPENDENCYPART_SIBL
(5,13),(5,21),-0.0635907 # DEPENDENCYPART_SIBL
(5,13),(5,22),0.0388879 # DEPENDENCYPART_SIBL
(5,13),(5,24),-0.0654853 # DEPENDENCYPART_SIBL
(5,13),(5,25),0.0068602 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.133 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.108661 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.125276 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.183992 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.0850508 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.113131 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.103477 # DEPENDENCYPART_SIBL
(5,14),(5,25),-0.00325835 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0441706 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0375403 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.0565729 # DEPENDENCYPART_SIBL
(5,15),(5,21),0.0487565 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.00909493 # DEPENDENCYPART_SIBL
(5,15),(5,24),0.0475065 # DEPENDENCYPART_SIBL
(5,15),(5,25),0.00130797 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.0678643 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.000433035 # DEPENDENCYPART_SIBL
(5,16),(5,21),0.108251 # DEPENDENCYPART_SIBL
(5,16),(5,22),0.244188 # DEPENDENCYPART_SIBL
(5,16),(5,24),0.109052 # DEPENDENCYPART_SIBL
(5,16),(5,25),0.068251 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.00459414 # DEPENDENCYPART_SIBL
(5,18),(5,21),-0.100751 # DEPENDENCYPART_SIBL
(5,18),(5,22),-0.00318986 # DEPENDENCYPART_SIBL
(5,18),(5,24),-0.102654 # DEPENDENCYPART_SIBL
(5,18),(5,25),0.0316994 # DEPENDENCYPART_SIBL
(5,19),(5,21),0.731469 # DEPENDENCYPART_SIBL
(5,19),(5,22),0.538211 # DEPENDENCYPART_SIBL
(5,19),(5,24),0.710272 # DEPENDENCYPART_SIBL
(5,19),(5,25),0.0359829 # DEPENDENCYPART_SIBL
(5,21),(5,22),0.0069329 # DEPENDENCYPART_SIBL
(5,21),(5,24),-0.0938948 # DEPENDENCYPART_SIBL
(5,21),(5,25),0.0563681 # DEPENDENCYPART_SIBL
(5,22),(5,24),-0.0582941 # DEPENDENCYPART_SIBL
(5,22),(5,25),-0.0296684 # DEPENDENCYPART_SIBL
(5,24),(5,25),0.0329232 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.270348 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.204109 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.282995 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.108818 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.310244 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00399222 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.171121 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.553402 # DEPENDENCYPART_SIBL
(6,7),(6,13),-1.17296 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.636202 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.225748 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0107145 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.169132 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.177834 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.572714 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.179383 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0548478 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0278466 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0877852 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0839837 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0670677 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.441335 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0519909 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0257725 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0106904 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0196618 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0256789 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0177151 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.00941792 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.00488414 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0533978 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0566133 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0882789 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0592769 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.000967811 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0512629 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.536637 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.325254 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.704705 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.643802 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.733254 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.120366 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0258554 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0983827 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0464342 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0724952 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0507906 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0757811 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0284597 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.0741926 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.0861566 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.105359 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0408135 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0938845 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0919196 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0992034 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0744177 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.493121 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.518316 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.235445 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0102199 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.521661 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.578042 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.19705 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.204475 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.578227 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.194001 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.193626 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.546576 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0318939 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.537511 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.224846 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.11573 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0393038 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.19381 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.136669 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.251693 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.22753 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.099284 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.166717 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.123816 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.12231 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.247597 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.141655 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.123195 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.205251 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.210498 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.125806 # DEPENDENCYPART_SIBL
(10,1),(10,24),-0.239349 # DEPENDENCYPART_SIBL
(10,1),(10,25),-0.146443 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0470124 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.088703 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0775166 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0124575 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0137012 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0380964 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0475528 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.00105242 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0137284 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0129383 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0213111 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0136444 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.00151235 # DEPENDENCYPART_SIBL
(10,5),(10,22),0.089083 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0237923 # DEPENDENCYPART_SIBL
(10,5),(10,24),0.0181426 # DEPENDENCYPART_SIBL
(10,5),(10,25),0.0240204 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0573516 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.131185 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0973877 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.135701 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0926486 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.128523 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.178938 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0798458 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.12842 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.122545 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0823554 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.128608 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0887537 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.106272 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.120704 # DEPENDENCYPART_SIBL
(10,6),(10,25),0.0339716 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0492395 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0504249 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.101041 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0116946 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.00428596 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0634938 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0565428 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.082817 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0126946 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0640445 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.0623208 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0668071 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0496988 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0496988 # DEPENDENCYPART_SIBL
(10,8),(10,25),0.182878 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.174452 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.16664 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0818214 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0874003 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0563252 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.104362 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.160588 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0146798 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.104366 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.168236 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.0845803 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.110236 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.16718 # DEPENDENCYPART_SIBL
(10,11),(10,25),-0.116814 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.269908 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.00296315 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0328383 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.107314 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0224738 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.252629 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.132506 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0224652 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.262799 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.0398688 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0078435 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.253848 # DEPENDENCYPART_SIBL
(10,12),(10,25),-0.0670882 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0147331 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.00107361 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0561204 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0323096 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.223151 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0752225 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.032301 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.233329 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.0739961 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.01768 # DEPENDENCYPART_SIBL
(10,13),(10,24),-0.22437 # DEPENDENCYPART_SIBL
(10,13),(10,25),-0.0748299 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.272098 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.199815 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.253854 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.448441 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0106878 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.253854 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.451426 # DEPENDENCYPART_SIBL
(10,14),(10,22),0.0106509 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.257175 # DEPENDENCYPART_SIBL
(10,14),(10,24),-0.454723 # DEPENDENCYPART_SIBL
(10,14),(10,25),-0.00750184 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.00982896 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0273428 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.174403 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0162304 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0275727 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.212678 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.00544248 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.0139821 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.205417 # DEPENDENCYPART_SIBL
(10,15),(10,25),-0.047122 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.105267 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.136703 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0867276 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.102818 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.135681 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.139364 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.105537 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.13104 # DEPENDENCYPART_SIBL
(10,16),(10,25),-0.112959 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.213729 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.0288158 # DEPENDENCYPART_SIBL
(10,17),(10,20),-0.177233 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.217625 # DEPENDENCYPART_SIBL
(10,17),(10,22),0.0394325 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.177024 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.220898 # DEPENDENCYPART_SIBL
(10,17),(10,25),-0.0433875 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.040253 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.0743297 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.321108 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.0122525 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.0597081 # DEPENDENCYPART_SIBL
(10,18),(10,24),-0.312157 # DEPENDENCYPART_SIBL
(10,18),(10,25),-0.0878789 # DEPENDENCYPART_SIBL
(10,19),(10,20),0.259029 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.195193 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.459071 # DEPENDENCYPART_SIBL
(10,19),(10,23),0.269889 # DEPENDENCYPART_SIBL
(10,19),(10,24),0.185955 # DEPENDENCYPART_SIBL
(10,19),(10,25),-0.042867 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.189736 # DEPENDENCYPART_SIBL
(10,20),(10,22),0.068861 # DEPENDENCYPART_SIBL
(10,20),(10,23),-0.149136 # DEPENDENCYPART_SIBL
(10,20),(10,24),-0.193008 # DEPENDENCYPART_SIBL
(10,20),(10,25),-0.01836 # DEPENDENCYPART_SIBL
(10,21),(10,22),0.0205081 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.0399845 # DEPENDENCYPART_SIBL
(10,21),(10,24),-0.278954 # DEPENDENCYPART_SIBL
(10,21),(10,25),-0.0428725 # DEPENDENCYPART_SIBL
(10,22),(10,23),-0.0381119 # DEPENDENCYPART_SIBL
(10,22),(10,24),-0.0434867 # DEPENDENCYPART_SIBL
(10,22),(10,25),0.0546136 # DEPENDENCYPART_SIBL
(10,23),(10,24),-0.203776 # DEPENDENCYPART_SIBL
(10,23),(10,25),-0.0459114 # DEPENDENCYPART_SIBL
(10,24),(10,25),-0.0540816 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.488185 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.143125 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0690691 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.324417 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.106317 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0599683 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.74772 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.375808 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.353851 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0982018 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.0151343 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0699281 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.0480028 # DEPENDENCYPART_SIBL
(13,4),(13,21),0.00543044 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.131169 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.0771018 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.147399 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.00443978 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0400558 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.037118 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.124112 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.0403979 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0157641 # DEPENDENCYPART_SIBL
(13,8),(13,21),0.00789878 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.0400605 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.069263 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.0397195 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.00669499 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.04003 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0881906 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0343344 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.0296529 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.00851707 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.256483 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0162143 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.063481 # DEPENDENCYPART_SIBL
