# _root_ Mr. Eskandarian , who resigned his Della Femina post in September , becomes chairman and chief executive of Arnold .
#goldHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
#predictedHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
(5,6),(5,11),-0.135846 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.114663 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.123396 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.198155 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.11115 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.188796 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.240671 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.145965 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.156516 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.200571 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.153663 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0730928 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.190661 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00945067 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0707645 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.147021 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0492589 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.149099 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0364618 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.20059 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0167062 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.151126 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0758456 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.191469 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00903687 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0715824 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.144484 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0497896 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.146562 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0392139 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.201398 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0201036 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.136809 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0926712 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.033464 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0965589 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.259024 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0115103 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.24405 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.161718 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.116019 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.00179666 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0233174 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.142243 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0366114 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0137958 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.127074 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.00829476 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.207008 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0258356 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.090764 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0474239 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.056076 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.135591 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.048341 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.137669 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0133782 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.185774 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.0486799 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.140561 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0403731 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.466731 # DEPENDENCYPART_SIBL
(5,12),(5,17),0.0792758 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0754236 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.028135 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.0343667 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.261556 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0764464 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.24943 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.252208 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.23613 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.00633179 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0028583 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.260012 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0770599 # DEPENDENCYPART_SIBL
(5,14),(5,19),-0.105065 # DEPENDENCYPART_SIBL
(5,14),(5,20),0.0586178 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.16375 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.120151 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.107752 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.0309685 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.154092 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.13226 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.012351 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.110974 # DEPENDENCYPART_SIBL
(5,18),(5,20),0.0316144 # DEPENDENCYPART_SIBL
(5,19),(5,20),0.0173851 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0644739 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0342955 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0195219 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0038198 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00505196 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0223329 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.110217 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00971123 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0387673 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0387673 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00918183 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0097273 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0102451 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0102451 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00437423 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0185609 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0185582 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0280658 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.161975 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0496963 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0508348 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0933253 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.120551 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0245947 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.030309 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0970328 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0297471 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0781217 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0420063 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.204139 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0836993 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0927514 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.118876 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.015155 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0295044 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0153437 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.109579 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0735169 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0553655 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0954709 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.035453 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0488971 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0638872 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0479762 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.047429 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.00595523 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0383572 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0239198 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.00374947 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.182831 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.004146 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0770954 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0352565 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.042886 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.12633 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0311815 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0580358 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.00570754 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0272891 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.00980779 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0122314 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0284929 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0259499 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0207686 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.081684 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.190846 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0138014 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0283689 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0023213 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0252242 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.465148 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.806304 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.449308 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0209822 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0442317 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.115435 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0999437 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.127169 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0312131 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.168976 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.00536533 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0869669 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0139024 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0506518 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0394793 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.191518 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0785825 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0438618 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0927514 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.118876 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0725397 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0107282 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.029474 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0182522 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.118303 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0675925 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.054037 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0917242 # DEPENDENCYPART_SIBL
(8,4),(8,20),-0.426352 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.035453 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.151602 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00615931 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0638568 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0450677 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0387041 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0118796 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0370287 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0276665 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.000683419 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.224182 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0080881 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.1828 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00705455 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0858202 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0411809 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0415576 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.130076 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0426546 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00551393 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0877101 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.00832787 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0762275 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0437578 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.191666 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0794069 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0424928 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0174499 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0153147 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.221838 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0367717 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.279394 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0489979 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0595967 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0284847 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.028658 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0202763 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0813731 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.188601 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.00170273 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.00870758 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0299899 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.000889717 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0289914 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.0108673 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.462004 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.803159 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.441335 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.0015946 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0213502 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0419215 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.161797 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.11284 # DEPENDENCYPART_SIBL
(8,14),(8,20),0.0921345 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.175924 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.132078 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.0759905 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0493193 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0692972 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.355383 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.123334 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.129283 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.152037 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.019754 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.000476113 # DEPENDENCYPART_SIBL
(9,1),(9,13),-4.91322e-05 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0342589 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0666927 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0811267 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.143257 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.0185979 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0936328 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.109581 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0273774 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0902733 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.336601 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0120944 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0105036 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0632301 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.022566 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.0499469 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0205047 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.0264235 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.00924938 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0194893 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0878585 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0237218 # DEPENDENCYPART_SIBL
(9,2),(9,20),0.0178216 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0966159 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0410848 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.176821 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0673013 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0773645 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0049416 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0468805 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.00456667 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0156731 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0460533 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0682844 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0426244 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0251027 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.045831 # DEPENDENCYPART_SIBL
(9,3),(9,20),0.0848158 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.096477 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.39511 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.159972 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.159572 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0686959 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0145527 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0953864 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0988476 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0305304 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.148129 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0404297 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0805944 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0140365 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.337408 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.214469 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.124531 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.124941 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0314193 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0599347 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0512593 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0102444 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0218494 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0168851 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0118167 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.148002 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.061127 # DEPENDENCYPART_SIBL
(9,5),(9,20),0.106563 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.147477 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.147876 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.187994 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.274897 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.258602 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0701934 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0415876 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0309798 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0491967 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0649734 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.275974 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.147369 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0180841 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.052294 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0216794 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0649746 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0235525 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0279029 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.00706339 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0180098 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0858695 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0228352 # DEPENDENCYPART_SIBL
(9,7),(9,20),0.0167942 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0471136 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0268927 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0493378 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0218924 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0252426 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.00977955 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0206701 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0806746 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0280485 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.0264812 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0939114 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0220251 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.00634824 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0755768 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.234465 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0922678 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0206378 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.102154 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.0112038 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0810297 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.00885565 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0797706 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.0624749 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0572013 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0876912 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.0208792 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0256217 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.560781 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.661301 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.545249 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.762345 # DEPENDENCYPART_SIBL
(9,12),(9,18),0.329094 # DEPENDENCYPART_SIBL
(9,12),(9,19),0.700195 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.0384835 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.00320451 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.0845426 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0300959 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.0601125 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.0404206 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.0856555 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0185488 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.157519 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0447914 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0364646 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.00946897 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.0751376 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.154623 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0717696 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0308943 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.00643585 # DEPENDENCYPART_SIBL
(9,17),(9,19),-0.0360162 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.00624955 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.0535429 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.067525 # DEPENDENCYPART_SIBL
(9,19),(9,20),0.0190928 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.103269 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.135878 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0949522 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.201306 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0867297 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.281704 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0973277 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0948298 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0307762 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0710408 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.00641453 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0319277 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0243218 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.114371 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.646729 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.974968 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.123707 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.98361 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.212223 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0217871 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.480329 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.00990449 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.57469 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0319068 # DEPENDENCYPART_SIBL
