# _root_ In 1989 , Regatta will have sales `` in excess of $ 10 million '' and will show a profit , Mr. Parker said .
#goldHeads=5,1,5,5,24,5,6,9,6,9,10,11,12,12,9,5,16,17,20,18,24,23,24,0,24,
#predictedHeads=5,1,5,5,24,5,6,7,7,9,10,11,12,12,5,5,16,17,20,18,24,23,24,0,24,
(6,2),(6,17),-0.0585428 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.0570274 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0265431 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0193703 # DEPENDENCYPART_SIBL
(6,2),(6,23),-0.0199063 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0335513 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.11253 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0756791 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0773702 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.149248 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0845622 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0600414 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0235328 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.00502318 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0713834 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0606128 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.142631 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.0118455 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0420484 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0521425 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.032682 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00912459 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0178156 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0443447 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0139833 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0390796 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0748202 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.05641 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0104752 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0143729 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.0518662 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.0149602 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0829662 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00428112 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.300618 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.150678 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.201973 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.122867 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0901274 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.225428 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0814165 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.319504 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0496217 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.157354 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.147942 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0364789 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0549057 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.188957 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.136557 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.161538 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0464721 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.132463 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0544678 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.053517 # DEPENDENCYPART_SIBL
(6,8),(6,23),-0.0307234 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0930091 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.207997 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.288307 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0384712 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0257539 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.282409 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0544666 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.129207 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.0209102 # DEPENDENCYPART_SIBL
(6,9),(6,23),-0.101918 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0424213 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.104127 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.00185011 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0442348 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.334456 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.00314988 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.367124 # DEPENDENCYPART_SIBL
(6,10),(6,21),-0.0249394 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.104961 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.394312 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.329077 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.195177 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.48379 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.198751 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.289793 # DEPENDENCYPART_SIBL
(6,11),(6,21),-0.133077 # DEPENDENCYPART_SIBL
(6,11),(6,23),-0.218763 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.139369 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.119067 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.234996 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0844966 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.221575 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0551133 # DEPENDENCYPART_SIBL
(6,12),(6,23),-0.0932113 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.218665 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0769926 # DEPENDENCYPART_SIBL
(6,15),(6,18),0.0448153 # DEPENDENCYPART_SIBL
(6,15),(6,20),0.0292188 # DEPENDENCYPART_SIBL
(6,15),(6,21),-0.0628449 # DEPENDENCYPART_SIBL
(6,15),(6,23),0.0445442 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.135524 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0714075 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.044149 # DEPENDENCYPART_SIBL
(6,16),(6,21),-0.0509134 # DEPENDENCYPART_SIBL
(6,16),(6,23),0.0312634 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0661134 # DEPENDENCYPART_SIBL
(6,17),(6,20),-0.210591 # DEPENDENCYPART_SIBL
(6,17),(6,21),-0.0115508 # DEPENDENCYPART_SIBL
(6,17),(6,23),-0.0988814 # DEPENDENCYPART_SIBL
(6,18),(6,20),-0.299739 # DEPENDENCYPART_SIBL
(6,18),(6,21),0.00872499 # DEPENDENCYPART_SIBL
(6,18),(6,23),-0.169457 # DEPENDENCYPART_SIBL
(6,20),(6,21),-0.0346029 # DEPENDENCYPART_SIBL
(6,20),(6,23),-0.0935529 # DEPENDENCYPART_SIBL
(6,21),(6,23),0.232088 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0840567 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.200221 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0506266 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.00626677 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.110172 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.11277 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0132255 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0406006 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0141272 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0533471 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0510112 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0212216 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0375578 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.00313055 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.026636 # DEPENDENCYPART_SIBL
(7,2),(7,24),-0.0302503 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.120579 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0195724 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00172163 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0772934 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00650743 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0481752 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0566582 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0219827 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.000493275 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.0127571 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.00195364 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0549417 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.0112486 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.0184607 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.215958 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.00447807 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0119947 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0930197 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0358768 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.025177 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.109252 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0230617 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0476168 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0647148 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0104086 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.00836015 # DEPENDENCYPART_SIBL
(7,4),(7,21),0.0554602 # DEPENDENCYPART_SIBL
(7,4),(7,23),0.0558107 # DEPENDENCYPART_SIBL
(7,4),(7,24),-0.0446477 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0398588 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0350535 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0127546 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0336859 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0352021 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0149587 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0132348 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0213323 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0605128 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0412268 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.0388384 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.069886 # DEPENDENCYPART_SIBL
(7,5),(7,24),-0.0616182 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0807384 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0321193 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0365244 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0579301 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00339724 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0849436 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.00904577 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0132024 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0441059 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0410285 # DEPENDENCYPART_SIBL
(7,6),(7,23),0.0540939 # DEPENDENCYPART_SIBL
(7,6),(7,24),-0.0596767 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.133347 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.179888 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0166775 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0623335 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.270864 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0426862 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.325466 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.171588 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0317652 # DEPENDENCYPART_SIBL
(7,8),(7,23),0.154541 # DEPENDENCYPART_SIBL
(7,8),(7,24),0.237821 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0488525 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.00982868 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0808608 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0282188 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0305272 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0944991 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.0332193 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0721134 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.0166592 # DEPENDENCYPART_SIBL
(7,9),(7,24),0.0358654 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0331282 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.00044096 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0357868 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0325821 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.167145 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.119812 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0381018 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.0605332 # DEPENDENCYPART_SIBL
(7,10),(7,24),-0.08243 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.161123 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.290071 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.109618 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.287037 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.0577163 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.212436 # DEPENDENCYPART_SIBL
(7,11),(7,23),-0.0710323 # DEPENDENCYPART_SIBL
(7,11),(7,24),-0.269715 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0252261 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.00712013 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0201481 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.0823034 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.0635891 # DEPENDENCYPART_SIBL
(7,12),(7,23),0.0859088 # DEPENDENCYPART_SIBL
(7,12),(7,24),-0.0279769 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.286748 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.141727 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.275214 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.053582 # DEPENDENCYPART_SIBL
(7,15),(7,23),0.161685 # DEPENDENCYPART_SIBL
(7,15),(7,24),0.100115 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0672181 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.0567206 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.00139705 # DEPENDENCYPART_SIBL
(7,16),(7,23),0.0997847 # DEPENDENCYPART_SIBL
(7,16),(7,24),0.0362222 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.00463065 # DEPENDENCYPART_SIBL
(7,17),(7,21),0.0887619 # DEPENDENCYPART_SIBL
(7,17),(7,23),0.00342593 # DEPENDENCYPART_SIBL
(7,17),(7,24),-0.192971 # DEPENDENCYPART_SIBL
(7,20),(7,21),-0.0339358 # DEPENDENCYPART_SIBL
(7,20),(7,23),-0.0611029 # DEPENDENCYPART_SIBL
(7,20),(7,24),-0.0829064 # DEPENDENCYPART_SIBL
(7,21),(7,23),0.521694 # DEPENDENCYPART_SIBL
(7,21),(7,24),0.323986 # DEPENDENCYPART_SIBL
(7,23),(7,24),-0.030731 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.159278 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0269059 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0403197 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.020402 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0366054 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0565241 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0442389 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0436418 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.045288 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0752344 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00988199 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.0173311 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0103838 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0313681 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0237899 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0108859 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.00664227 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0351161 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0160809 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0206139 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.256122 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.157745 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0365455 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0416922 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.105594 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0717569 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0263448 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.059583 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.0117191 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.11432 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0144785 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.138293 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.00559058 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.115643 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.102204 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0168991 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.00887695 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.412772 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.464818 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0455754 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.586133 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.391857 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.169672 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.153265 # DEPENDENCYPART_SIBL
(9,11),(9,16),0.0406719 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.331694 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.101994 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.26915 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.07116 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.409339 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.32055 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0758369 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.470522 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.389141 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.116412 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.119189 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.178207 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.119853 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.196746 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0453299 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0681901 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0438714 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0197877 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0120942 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0409247 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0103896 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0268395 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0253532 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.239458 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0272234 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0992728 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0604197 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0117487 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0139833 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0224633 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.100011 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0559984 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.071401 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.168759 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0701463 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.12206 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.70829 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0580747 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0073052 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.0271121 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.0502615 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0291475 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0254033 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.168084 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.102534 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.128999 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.244505 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.0871338 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.0511476 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.145353 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.234031 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.00120192 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.141823 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0222615 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.130152 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.195452 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.0102907 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.00504478 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0380713 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0116388 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.00210422 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.0544415 # DEPENDENCYPART_SIBL
(10,14),(10,24),-0.0308732 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.316772 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.0749066 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.280168 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0431198 # DEPENDENCYPART_SIBL
(10,15),(10,24),0.0297911 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0244954 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0491539 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0121089 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.0397287 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.010982 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.0662859 # DEPENDENCYPART_SIBL
(10,17),(10,24),-0.190909 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.0104783 # DEPENDENCYPART_SIBL
(10,20),(10,24),-0.0866785 # DEPENDENCYPART_SIBL
(10,21),(10,24),0.314222 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.336445 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.381796 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.26449 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.245344 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.642184 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.467833 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.888416 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.579116 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.305271 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.196639 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.181053 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.586995 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.417478 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.802482 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.548202 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.150317 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.101939 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.536046 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.371156 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.770247 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.416783 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.195243 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.342301 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.184216 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.305641 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.252547 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.25278 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.169525 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.197664 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.0403181 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.230551 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.520246 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.313843 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.533348 # DEPENDENCYPART_SIBL
(11,18),(11,23),-0.299434 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.735284 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.0239555 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.0513595 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.00378493 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.0288923 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.0731979 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.128554 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.314422 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.043575 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.072438 # DEPENDENCYPART_SIBL
(12,1),(12,20),0.0116177 # DEPENDENCYPART_SIBL
(12,1),(12,21),-0.0874136 # DEPENDENCYPART_SIBL
