# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,19,22,20,24,0,29,27,28,24,28,24,
(12,16),(12,30),-0.182192 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.0365428 # DEPENDENCYPART_SIBL
(12,17),(12,22),-0.068249 # DEPENDENCYPART_SIBL
(12,17),(12,23),0.0929009 # DEPENDENCYPART_SIBL
(12,17),(12,24),-0.137151 # DEPENDENCYPART_SIBL
(12,17),(12,28),-0.114471 # DEPENDENCYPART_SIBL
(12,17),(12,29),-0.0464435 # DEPENDENCYPART_SIBL
(12,17),(12,30),-0.244888 # DEPENDENCYPART_SIBL
(12,20),(12,22),0.127624 # DEPENDENCYPART_SIBL
(12,20),(12,23),0.0337703 # DEPENDENCYPART_SIBL
(12,20),(12,24),-0.062172 # DEPENDENCYPART_SIBL
(12,20),(12,28),-0.0279394 # DEPENDENCYPART_SIBL
(12,20),(12,29),0.0716045 # DEPENDENCYPART_SIBL
(12,20),(12,30),0.0159753 # DEPENDENCYPART_SIBL
(12,22),(12,23),-0.00201089 # DEPENDENCYPART_SIBL
(12,22),(12,24),-0.0461634 # DEPENDENCYPART_SIBL
(12,22),(12,28),-0.0198843 # DEPENDENCYPART_SIBL
(12,22),(12,29),-0.0291568 # DEPENDENCYPART_SIBL
(12,22),(12,30),0.00269701 # DEPENDENCYPART_SIBL
(12,23),(12,24),0.428146 # DEPENDENCYPART_SIBL
(12,23),(12,28),0.469424 # DEPENDENCYPART_SIBL
(12,23),(12,29),0.601854 # DEPENDENCYPART_SIBL
(12,23),(12,30),-0.0415586 # DEPENDENCYPART_SIBL
(12,24),(12,28),-0.278716 # DEPENDENCYPART_SIBL
(12,24),(12,29),-0.0301366 # DEPENDENCYPART_SIBL
(12,24),(12,30),0.0382818 # DEPENDENCYPART_SIBL
(12,28),(12,29),-0.0942552 # DEPENDENCYPART_SIBL
(12,28),(12,30),-0.0243786 # DEPENDENCYPART_SIBL
(12,29),(12,30),-0.0137632 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.182593 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.233707 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.969634 # DEPENDENCYPART_SIBL
(13,14),(13,19),-1.09587 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.402933 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.198921 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.167577 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.335554 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.262627 # DEPENDENCYPART_SIBL
(13,18),(13,19),-1.1466 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0835528 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.149422 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0225045 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.261221 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.00214227 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.106365 # DEPENDENCYPART_SIBL
(14,11),(14,23),0.065992 # DEPENDENCYPART_SIBL
(14,11),(14,24),0.0136007 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0927665 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0656181 # DEPENDENCYPART_SIBL
(14,12),(14,17),0.0605366 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.00707664 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0431078 # DEPENDENCYPART_SIBL
(14,12),(14,23),0.0271895 # DEPENDENCYPART_SIBL
(14,12),(14,24),-0.0395805 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.547814 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.57422 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0369984 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.155931 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.0851812 # DEPENDENCYPART_SIBL
(14,15),(14,24),0.111324 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.38546 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0136018 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.00635951 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.00384964 # DEPENDENCYPART_SIBL
(14,16),(14,24),-0.00327039 # DEPENDENCYPART_SIBL
(14,17),(14,19),0.0673855 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.112894 # DEPENDENCYPART_SIBL
(14,17),(14,23),0.210586 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.0387815 # DEPENDENCYPART_SIBL
(14,19),(14,20),0.0822811 # DEPENDENCYPART_SIBL
(14,19),(14,23),0.0373729 # DEPENDENCYPART_SIBL
(14,19),(14,24),-0.0800742 # DEPENDENCYPART_SIBL
(14,20),(14,23),0.0584383 # DEPENDENCYPART_SIBL
(14,20),(14,24),0.033268 # DEPENDENCYPART_SIBL
(14,23),(14,24),0.598606 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0135692 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.00506796 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0160774 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.20061 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.0269644 # DEPENDENCYPART_SIBL
(15,14),(15,21),-0.0248826 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0299489 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.000112441 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.0306171 # DEPENDENCYPART_SIBL
(15,14),(15,27),0.0010659 # DEPENDENCYPART_SIBL
(15,14),(15,28),0.000903827 # DEPENDENCYPART_SIBL
(15,14),(15,29),-0.0201701 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.248492 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.11771 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.102736 # DEPENDENCYPART_SIBL
(15,16),(15,20),0.0985766 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.03982 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.118671 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.394211 # DEPENDENCYPART_SIBL
(15,16),(15,25),0.0247546 # DEPENDENCYPART_SIBL
(15,16),(15,27),-0.113966 # DEPENDENCYPART_SIBL
(15,16),(15,28),-0.41852 # DEPENDENCYPART_SIBL
(15,16),(15,29),0.0625447 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0226998 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0171453 # DEPENDENCYPART_SIBL
(15,17),(15,20),0.184355 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0271853 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.0315496 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.409496 # DEPENDENCYPART_SIBL
(15,17),(15,25),0.0300127 # DEPENDENCYPART_SIBL
(15,17),(15,27),-0.0268177 # DEPENDENCYPART_SIBL
(15,17),(15,28),-0.429809 # DEPENDENCYPART_SIBL
(15,17),(15,29),0.0476733 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.569254 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0717903 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.269472 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.547612 # DEPENDENCYPART_SIBL
(15,18),(15,24),-0.69959 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.211915 # DEPENDENCYPART_SIBL
(15,18),(15,27),-0.528991 # DEPENDENCYPART_SIBL
(15,18),(15,28),-0.730566 # DEPENDENCYPART_SIBL
(15,18),(15,29),-0.175718 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0513048 # DEPENDENCYPART_SIBL
(15,19),(15,21),-0.203569 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.490893 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.760725 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.203385 # DEPENDENCYPART_SIBL
(15,19),(15,27),-0.484524 # DEPENDENCYPART_SIBL
(15,19),(15,28),-0.791454 # DEPENDENCYPART_SIBL
(15,19),(15,29),-0.05927 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.211979 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.234619 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.575411 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.13719 # DEPENDENCYPART_SIBL
(15,20),(15,27),-0.21907 # DEPENDENCYPART_SIBL
(15,20),(15,28),-0.590363 # DEPENDENCYPART_SIBL
(15,20),(15,29),-0.102118 # DEPENDENCYPART_SIBL
(15,21),(15,22),-0.595983 # DEPENDENCYPART_SIBL
(15,21),(15,24),-0.789735 # DEPENDENCYPART_SIBL
(15,21),(15,25),-0.300924 # DEPENDENCYPART_SIBL
(15,21),(15,27),-0.59811 # DEPENDENCYPART_SIBL
(15,21),(15,28),-0.823721 # DEPENDENCYPART_SIBL
(15,21),(15,29),-0.273964 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.728459 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.243517 # DEPENDENCYPART_SIBL
(15,22),(15,27),-0.547138 # DEPENDENCYPART_SIBL
(15,22),(15,28),-0.759392 # DEPENDENCYPART_SIBL
(15,22),(15,29),-0.209079 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.296144 # DEPENDENCYPART_SIBL
(15,24),(15,27),-0.529903 # DEPENDENCYPART_SIBL
(15,24),(15,28),-1.15033 # DEPENDENCYPART_SIBL
(15,24),(15,29),-0.343857 # DEPENDENCYPART_SIBL
(15,25),(15,27),-0.305593 # DEPENDENCYPART_SIBL
(15,25),(15,28),-0.523057 # DEPENDENCYPART_SIBL
(15,25),(15,29),-0.0718707 # DEPENDENCYPART_SIBL
(15,27),(15,28),-0.766586 # DEPENDENCYPART_SIBL
(15,27),(15,29),-0.216171 # DEPENDENCYPART_SIBL
(15,28),(15,29),-0.358925 # DEPENDENCYPART_SIBL
(16,17),(16,18),0.0243881 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0602628 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.109678 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.017565 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0128882 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.237385 # DEPENDENCYPART_SIBL
(16,17),(16,28),-0.25206 # DEPENDENCYPART_SIBL
(16,17),(16,29),0.0290902 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.426794 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.00565374 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.188978 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.424654 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.429497 # DEPENDENCYPART_SIBL
(16,18),(16,28),-0.450338 # DEPENDENCYPART_SIBL
(16,18),(16,29),-0.130957 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0104878 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.139151 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.362695 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.488793 # DEPENDENCYPART_SIBL
(16,19),(16,28),-0.511393 # DEPENDENCYPART_SIBL
(16,19),(16,29),-0.0724178 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.127228 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.124754 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.320365 # DEPENDENCYPART_SIBL
(16,20),(16,28),-0.331286 # DEPENDENCYPART_SIBL
(16,20),(16,29),-0.0466878 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.380797 # DEPENDENCYPART_SIBL
(16,21),(16,24),-0.466718 # DEPENDENCYPART_SIBL
(16,21),(16,28),-0.496296 # DEPENDENCYPART_SIBL
(16,21),(16,29),-0.158673 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.442341 # DEPENDENCYPART_SIBL
(16,22),(16,28),-0.46314 # DEPENDENCYPART_SIBL
(16,22),(16,29),-0.148294 # DEPENDENCYPART_SIBL
(16,24),(16,28),-0.825963 # DEPENDENCYPART_SIBL
(16,24),(16,29),-0.242752 # DEPENDENCYPART_SIBL
(16,28),(16,29),-0.255966 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.496718 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.116483 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.22748 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.528531 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.467469 # DEPENDENCYPART_SIBL
(17,18),(17,27),-0.51002 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0976601 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.163461 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.443188 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.524342 # DEPENDENCYPART_SIBL
(17,19),(17,27),-0.436876 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.149757 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.21095 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.35186 # DEPENDENCYPART_SIBL
(17,20),(17,27),-0.19551 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.452244 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.484721 # DEPENDENCYPART_SIBL
(17,21),(17,27),-0.454516 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.479859 # DEPENDENCYPART_SIBL
(17,22),(17,27),-0.511223 # DEPENDENCYPART_SIBL
(17,24),(17,27),-0.428628 # DEPENDENCYPART_SIBL
(19,7),(19,12),-0.0947719 # DEPENDENCYPART_SIBL
(19,7),(19,14),-0.0954007 # DEPENDENCYPART_SIBL
(19,7),(19,16),-0.0613277 # DEPENDENCYPART_SIBL
(19,7),(19,17),-0.0703555 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.0930064 # DEPENDENCYPART_SIBL
(19,7),(19,20),-0.0151961 # DEPENDENCYPART_SIBL
(19,7),(19,21),-0.0256519 # DEPENDENCYPART_SIBL
(19,7),(19,22),-0.00186416 # DEPENDENCYPART_SIBL
(19,7),(19,23),-0.0244304 # DEPENDENCYPART_SIBL
(19,7),(19,24),-0.0545382 # DEPENDENCYPART_SIBL
(19,7),(19,25),-0.0592579 # DEPENDENCYPART_SIBL
(19,7),(19,27),0.00708381 # DEPENDENCYPART_SIBL
(19,7),(19,28),-0.036632 # DEPENDENCYPART_SIBL
(19,7),(19,29),-0.0158405 # DEPENDENCYPART_SIBL
(19,7),(19,30),-0.00649185 # DEPENDENCYPART_SIBL
(19,12),(19,14),-0.0728675 # DEPENDENCYPART_SIBL
(19,12),(19,16),-0.0387945 # DEPENDENCYPART_SIBL
(19,12),(19,17),-0.0478223 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.0704823 # DEPENDENCYPART_SIBL
(19,12),(19,20),0.0299554 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.00717711 # DEPENDENCYPART_SIBL
(19,12),(19,22),0.0286573 # DEPENDENCYPART_SIBL
(19,12),(19,23),-0.00494844 # DEPENDENCYPART_SIBL
(19,12),(19,24),-0.0331523 # DEPENDENCYPART_SIBL
(19,12),(19,25),-0.0399182 # DEPENDENCYPART_SIBL
(19,12),(19,27),0.0376052 # DEPENDENCYPART_SIBL
(19,12),(19,28),-0.0150259 # DEPENDENCYPART_SIBL
(19,12),(19,29),0.00618805 # DEPENDENCYPART_SIBL
(19,12),(19,30),0.0254986 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.052399 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.0424077 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0494867 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0316512 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.0650813 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0434668 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.0218936 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.0250766 # DEPENDENCYPART_SIBL
(19,14),(19,25),-0.0888212 # DEPENDENCYPART_SIBL
(19,14),(19,27),-0.0656822 # DEPENDENCYPART_SIBL
(19,14),(19,28),-0.0188251 # DEPENDENCYPART_SIBL
(19,14),(19,29),-0.0780104 # DEPENDENCYPART_SIBL
(19,14),(19,30),-0.0207328 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.075565 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.0692686 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.000123662 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0200802 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.0279435 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0253584 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.00440553 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.000477258 # DEPENDENCYPART_SIBL
(19,16),(19,27),0.0119432 # DEPENDENCYPART_SIBL
(19,16),(19,28),-0.0154063 # DEPENDENCYPART_SIBL
(19,16),(19,29),-0.0123643 # DEPENDENCYPART_SIBL
(19,16),(19,30),0.0943009 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0686314 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0334697 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0226556 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0312801 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0291521 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.00449203 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.00546747 # DEPENDENCYPART_SIBL
(19,17),(19,27),0.0152799 # DEPENDENCYPART_SIBL
(19,17),(19,28),-0.0083531 # DEPENDENCYPART_SIBL
(19,17),(19,29),-0.0207292 # DEPENDENCYPART_SIBL
(19,17),(19,30),0.143696 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0230204 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0223434 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0121262 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0614216 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0560775 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.0581212 # DEPENDENCYPART_SIBL
(19,18),(19,27),-0.00317821 # DEPENDENCYPART_SIBL
(19,18),(19,28),-0.0384138 # DEPENDENCYPART_SIBL
(19,18),(19,29),0.00113495 # DEPENDENCYPART_SIBL
(19,18),(19,30),-9.21279e-05 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0777345 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.0888841 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.0391016 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.0641658 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0117774 # DEPENDENCYPART_SIBL
(19,20),(19,27),0.0933521 # DEPENDENCYPART_SIBL
(19,20),(19,28),0.0116289 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.0341968 # DEPENDENCYPART_SIBL
(19,20),(19,30),0.0466355 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.00337233 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0832067 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.000407614 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.012213 # DEPENDENCYPART_SIBL
(19,21),(19,27),-0.0149797 # DEPENDENCYPART_SIBL
(19,21),(19,28),-0.066692 # DEPENDENCYPART_SIBL
(19,21),(19,29),0.039986 # DEPENDENCYPART_SIBL
(19,21),(19,30),0.0508307 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.0250537 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0294133 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0777625 # DEPENDENCYPART_SIBL
(19,22),(19,27),-0.0962212 # DEPENDENCYPART_SIBL
(19,22),(19,28),-0.0782199 # DEPENDENCYPART_SIBL
(19,22),(19,29),-0.0502901 # DEPENDENCYPART_SIBL
(19,22),(19,30),0.0424268 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.519319 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.11952 # DEPENDENCYPART_SIBL
(19,23),(19,27),0.512145 # DEPENDENCYPART_SIBL
(19,23),(19,28),0.406944 # DEPENDENCYPART_SIBL
(19,23),(19,29),0.411167 # DEPENDENCYPART_SIBL
(19,23),(19,30),-0.0217793 # DEPENDENCYPART_SIBL
(19,24),(19,25),-0.0708237 # DEPENDENCYPART_SIBL
(19,24),(19,27),-0.0645251 # DEPENDENCYPART_SIBL
(19,24),(19,28),-0.400265 # DEPENDENCYPART_SIBL
(19,24),(19,29),-0.101633 # DEPENDENCYPART_SIBL
(19,24),(19,30),0.00402328 # DEPENDENCYPART_SIBL
(19,25),(19,27),-0.0163635 # DEPENDENCYPART_SIBL
(19,25),(19,28),-0.0507837 # DEPENDENCYPART_SIBL
(19,25),(19,29),-0.0350711 # DEPENDENCYPART_SIBL
(19,25),(19,30),0.0122727 # DEPENDENCYPART_SIBL
(19,27),(19,28),-0.0761771 # DEPENDENCYPART_SIBL
(19,27),(19,29),-0.048112 # DEPENDENCYPART_SIBL
(19,27),(19,30),0.0473611 # DEPENDENCYPART_SIBL
(19,28),(19,29),-0.0523191 # DEPENDENCYPART_SIBL
(19,28),(19,30),0.0799396 # DEPENDENCYPART_SIBL
(19,29),(19,30),0.0330899 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0701597 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0333975 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0116017 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.116447 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0755599 # DEPENDENCYPART_SIBL
(20,19),(20,27),0.0379857 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.634167 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0377212 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.395567 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.179418 # DEPENDENCYPART_SIBL
(20,21),(20,27),-0.620167 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.106376 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.465537 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.277191 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.994515 # DEPENDENCYPART_SIBL
(20,23),(20,24),0.307816 # DEPENDENCYPART_SIBL
(20,23),(20,25),0.114116 # DEPENDENCYPART_SIBL
(20,23),(20,27),-0.0312402 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.124729 # DEPENDENCYPART_SIBL
(20,24),(20,27),-0.587861 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.520648 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.0283301 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.0557472 # DEPENDENCYPART_SIBL
(22,18),(22,23),-0.0152504 # DEPENDENCYPART_SIBL
(22,18),(22,24),-0.0729031 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.0970679 # DEPENDENCYPART_SIBL
(22,18),(22,27),-0.0302917 # DEPENDENCYPART_SIBL
(22,18),(22,28),0.0153405 # DEPENDENCYPART_SIBL
(22,18),(22,29),0.00273309 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.0824581 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.024523 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.0013564 # DEPENDENCYPART_SIBL
(22,19),(22,25),-0.0847473 # DEPENDENCYPART_SIBL
(22,19),(22,27),-0.0626212 # DEPENDENCYPART_SIBL
(22,19),(22,28),0.0253052 # DEPENDENCYPART_SIBL
(22,19),(22,29),-0.0149882 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0662034 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.0160757 # DEPENDENCYPART_SIBL
(22,21),(22,25),-0.0584384 # DEPENDENCYPART_SIBL
(22,21),(22,27),0.0335718 # DEPENDENCYPART_SIBL
(22,21),(22,28),0.0228673 # DEPENDENCYPART_SIBL
(22,21),(22,29),0.0289429 # DEPENDENCYPART_SIBL
(22,23),(22,24),0.505344 # DEPENDENCYPART_SIBL
(22,23),(22,25),0.199724 # DEPENDENCYPART_SIBL
(22,23),(22,27),0.676944 # DEPENDENCYPART_SIBL
(22,23),(22,28),0.546505 # DEPENDENCYPART_SIBL
(22,23),(22,29),0.677668 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0135241 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.0173882 # DEPENDENCYPART_SIBL
(22,24),(22,28),-0.270323 # DEPENDENCYPART_SIBL
(22,24),(22,29),-0.0155894 # DEPENDENCYPART_SIBL
(22,25),(22,27),-0.0456388 # DEPENDENCYPART_SIBL
(22,25),(22,28),-0.0374337 # DEPENDENCYPART_SIBL
(22,25),(22,29),-0.0186684 # DEPENDENCYPART_SIBL
(22,27),(22,28),-0.0176748 # DEPENDENCYPART_SIBL
(22,27),(22,29),-0.0200905 # DEPENDENCYPART_SIBL
(22,28),(22,29),-0.0797088 # DEPENDENCYPART_SIBL
(24,3),(24,4),-0.123672 # DEPENDENCYPART_SIBL
(24,3),(24,5),-0.364306 # DEPENDENCYPART_SIBL
(24,3),(24,7),-0.592001 # DEPENDENCYPART_SIBL
(24,3),(24,8),-0.355896 # DEPENDENCYPART_SIBL
(24,3),(24,9),-0.294815 # DEPENDENCYPART_SIBL
(24,3),(24,10),-0.267713 # DEPENDENCYPART_SIBL
(24,3),(24,12),-0.600281 # DEPENDENCYPART_SIBL
(24,3),(24,13),-0.0553687 # DEPENDENCYPART_SIBL
(24,3),(24,14),-0.915034 # DEPENDENCYPART_SIBL
(24,3),(24,15),-0.328274 # DEPENDENCYPART_SIBL
(24,3),(24,16),-0.285953 # DEPENDENCYPART_SIBL
(24,3),(24,17),-0.299133 # DEPENDENCYPART_SIBL
(24,3),(24,18),-0.583149 # DEPENDENCYPART_SIBL
(24,3),(24,19),-0.906587 # DEPENDENCYPART_SIBL
(24,3),(24,20),-0.0358302 # DEPENDENCYPART_SIBL
(24,3),(24,21),-0.34853 # DEPENDENCYPART_SIBL
(24,3),(24,22),-0.597645 # DEPENDENCYPART_SIBL
(24,3),(24,23),-0.123672 # DEPENDENCYPART_SIBL
(24,3),(24,25),-0.0593259 # DEPENDENCYPART_SIBL
(24,3),(24,26),-0.0570403 # DEPENDENCYPART_SIBL
(24,3),(24,27),-0.026773 # DEPENDENCYPART_SIBL
(24,3),(24,28),-0.0235827 # DEPENDENCYPART_SIBL
(24,3),(24,29),0.0837462 # DEPENDENCYPART_SIBL
(24,3),(24,30),0.0208216 # DEPENDENCYPART_SIBL
(24,4),(24,5),-0.254164 # DEPENDENCYPART_SIBL
(24,4),(24,7),0.0100188 # DEPENDENCYPART_SIBL
(24,4),(24,8),-0.130226 # DEPENDENCYPART_SIBL
(24,4),(24,9),-0.0426324 # DEPENDENCYPART_SIBL
