# _root_ DPC Acquisition Partners , a hostile suitor for Dataproducts Corp. , said it intends to launch a tender offer for the computer printer maker 's common stock .
#goldHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
#predictedHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
(7,6),(7,9),0.0229383 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.000616673 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0270099 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0178542 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.051069 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0165508 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0341392 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.00384341 # DEPENDENCYPART_SIBL
(7,6),(7,27),-0.0145011 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0273041 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0145482 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0330381 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0462584 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0154664 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0219856 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0788142 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0413548 # DEPENDENCYPART_SIBL
(7,8),(7,27),0.134551 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.203007 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.00865438 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0190765 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0367391 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0380443 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0116298 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.116289 # DEPENDENCYPART_SIBL
(7,9),(7,27),-0.0996762 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0795317 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0607879 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0670625 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0667022 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0334551 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.193898 # DEPENDENCYPART_SIBL
(7,10),(7,27),-0.111987 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.356937 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.176939 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.511247 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.145611 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.198452 # DEPENDENCYPART_SIBL
(7,11),(7,27),0.728378 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0109379 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.159395 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0199867 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0876265 # DEPENDENCYPART_SIBL
(7,12),(7,27),-0.0462772 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0312644 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0172684 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.105859 # DEPENDENCYPART_SIBL
(7,13),(7,27),0.0721453 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0398868 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.00903514 # DEPENDENCYPART_SIBL
(7,14),(7,27),0.0361134 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.0352274 # DEPENDENCYPART_SIBL
(7,15),(7,27),0.102685 # DEPENDENCYPART_SIBL
(7,20),(7,27),0.134551 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0294626 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0210487 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0121945 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.791994 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.240754 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0375088 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0571258 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0596882 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0796139 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0878792 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0293017 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0165464 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.165518 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0368275 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.129717 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.748514 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0472423 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.56265 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.371287 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.663413 # DEPENDENCYPART_SIBL
(8,9),(8,15),-1.0295 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0789248 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.584263 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.381516 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.674262 # DEPENDENCYPART_SIBL
(8,10),(8,15),-1.05449 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.137613 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0255929 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0645013 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.387887 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0752828 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.510243 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.677044 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.570969 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.946961 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.761708 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.187522 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.118007 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0468846 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0288201 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0738198 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.00897677 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0612074 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0138231 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.0471894 # DEPENDENCYPART_SIBL
(9,7),(9,25),-0.0878634 # DEPENDENCYPART_SIBL
(9,7),(9,27),-0.0325723 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0277991 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0770764 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0243178 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0173952 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.00463713 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0404848 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0343585 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.076659 # DEPENDENCYPART_SIBL
(9,8),(9,25),-0.162312 # DEPENDENCYPART_SIBL
(9,8),(9,27),-0.0354888 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0842904 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0443657 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0440963 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0186408 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0167834 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.015807 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0488076 # DEPENDENCYPART_SIBL
(9,10),(9,25),-0.106186 # DEPENDENCYPART_SIBL
(9,10),(9,27),0.0175931 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.273585 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0532356 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.41276 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.10578 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.607203 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0945969 # DEPENDENCYPART_SIBL
(9,11),(9,25),0.000207269 # DEPENDENCYPART_SIBL
(9,11),(9,27),0.668835 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0360471 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.154655 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0166246 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0987958 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0113817 # DEPENDENCYPART_SIBL
(9,12),(9,25),0.0190738 # DEPENDENCYPART_SIBL
(9,12),(9,27),-0.0912811 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0624671 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0283655 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0270754 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.108235 # DEPENDENCYPART_SIBL
(9,13),(9,25),0.0646324 # DEPENDENCYPART_SIBL
(9,13),(9,27),-0.0126874 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0303079 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0562583 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0287952 # DEPENDENCYPART_SIBL
(9,14),(9,25),0.0171576 # DEPENDENCYPART_SIBL
(9,14),(9,27),-0.0479212 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0408384 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.0336518 # DEPENDENCYPART_SIBL
(9,15),(9,25),-0.0714538 # DEPENDENCYPART_SIBL
(9,15),(9,27),-0.0340586 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.0441932 # DEPENDENCYPART_SIBL
(9,19),(9,25),-0.0253812 # DEPENDENCYPART_SIBL
(9,19),(9,27),-0.310577 # DEPENDENCYPART_SIBL
(9,20),(9,25),0.230783 # DEPENDENCYPART_SIBL
(9,20),(9,27),0.202022 # DEPENDENCYPART_SIBL
(9,25),(9,27),-0.230598 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.400258 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.142308 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.256561 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0620643 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0346202 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.200821 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.301218 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.129727 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.135833 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.032919 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00126428 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.223809 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.197606 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0339603 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0363383 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.04731 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0642134 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0181316 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.166718 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.143972 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.331574 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.530676 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.551171 # DEPENDENCYPART_SIBL
(12,1),(12,4),-0.0998557 # DEPENDENCYPART_SIBL
(12,1),(12,7),-0.307617 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.00767021 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.53405 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.598092 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0998557 # DEPENDENCYPART_SIBL
(12,1),(12,13),-0.00971355 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.0251262 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.268196 # DEPENDENCYPART_SIBL
(12,1),(12,16),-0.0175006 # DEPENDENCYPART_SIBL
(12,1),(12,20),-0.181149 # DEPENDENCYPART_SIBL
(12,1),(12,28),0.0231131 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.564955 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0804204 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.326742 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0178515 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.547792 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.609664 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0804204 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.00953264 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0149114 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.24041 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.00683645 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.177809 # DEPENDENCYPART_SIBL
(12,2),(12,28),0.042021 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.122231 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.333276 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0208547 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.54765 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.611691 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.122231 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0123259 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0209216 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.254871 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0165044 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.174799 # DEPENDENCYPART_SIBL
(12,3),(12,28),0.0513323 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0463653 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.436917 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.168328 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.00669037 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.324472 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.141513 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.13587 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.248478 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0991799 # DEPENDENCYPART_SIBL
(12,4),(12,20),-0.166607 # DEPENDENCYPART_SIBL
(12,4),(12,28),0.01006 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0394196 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.479815 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.556847 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.240998 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.120613 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0564082 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.201312 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.00637985 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.0555681 # DEPENDENCYPART_SIBL
(12,7),(12,28),0.0671109 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.015409 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0817153 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.294935 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0775689 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.00345279 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.191026 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.00191598 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.0915586 # DEPENDENCYPART_SIBL
(12,8),(12,28),0.0804207 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.619326 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.117257 # DEPENDENCYPART_SIBL
(12,9),(12,13),0.00167894 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.00343163 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.231793 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.00410558 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.158824 # DEPENDENCYPART_SIBL
(12,9),(12,28),0.0441607 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0802405 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.180801 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.183408 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.511093 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.204724 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.353813 # DEPENDENCYPART_SIBL
(12,10),(12,28),-0.35812 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.141513 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.13587 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.248478 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0991799 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.166607 # DEPENDENCYPART_SIBL
(12,11),(12,28),0.01006 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.0269931 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.055336 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.0952852 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0191558 # DEPENDENCYPART_SIBL
(12,13),(12,28),0.00540514 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.38662 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.277657 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.255827 # DEPENDENCYPART_SIBL
(12,14),(12,28),-0.0182392 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.326815 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.186955 # DEPENDENCYPART_SIBL
(12,15),(12,28),-0.237974 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.0901364 # DEPENDENCYPART_SIBL
(12,16),(12,28),0.00534732 # DEPENDENCYPART_SIBL
(12,20),(12,28),-0.126603 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0843462 # DEPENDENCYPART_SIBL
(14,1),(14,2),-0.316694 # DEPENDENCYPART_SIBL
(14,1),(14,3),-0.357918 # DEPENDENCYPART_SIBL
(14,1),(14,4),-0.0231185 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.280026 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.0266531 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.369941 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.38688 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0231185 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.164281 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.443032 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0265805 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.00915827 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.00493798 # DEPENDENCYPART_SIBL
(14,1),(14,19),0.00765254 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.0243062 # DEPENDENCYPART_SIBL
(14,1),(14,24),0.00773147 # DEPENDENCYPART_SIBL
(14,1),(14,25),0.0580125 # DEPENDENCYPART_SIBL
(14,1),(14,27),0.0169313 # DEPENDENCYPART_SIBL
(14,1),(14,28),0.0437024 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.368651 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.0192145 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.289728 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.0310805 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.380637 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.395406 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.0192145 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.152417 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.444282 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0393165 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.00876225 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.0194313 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.011432 # DEPENDENCYPART_SIBL
(14,2),(14,20),-0.0350872 # DEPENDENCYPART_SIBL
(14,2),(14,24),-0.00669668 # DEPENDENCYPART_SIBL
(14,2),(14,25),0.0491577 # DEPENDENCYPART_SIBL
(14,2),(14,27),0.00250142 # DEPENDENCYPART_SIBL
(14,2),(14,28),0.0161223 # DEPENDENCYPART_SIBL
(14,3),(14,4),-0.0410806 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.292886 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.0330899 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.37742 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.394359 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0410806 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.166559 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.445277 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.00785926 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.0225063 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.0101868 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.0166058 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.00641625 # DEPENDENCYPART_SIBL
(14,3),(14,24),0.0228557 # DEPENDENCYPART_SIBL
(14,3),(14,25),0.0794289 # DEPENDENCYPART_SIBL
(14,3),(14,27),0.0320555 # DEPENDENCYPART_SIBL
(14,3),(14,28),0.0838044 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.0128829 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.23352 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.0606488 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0334989 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0449128 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0906264 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.000323299 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.0600229 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0339698 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.0372347 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.0253371 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0532414 # DEPENDENCYPART_SIBL
(14,4),(14,24),-0.0414898 # DEPENDENCYPART_SIBL
(14,4),(14,25),-0.192253 # DEPENDENCYPART_SIBL
(14,4),(14,27),0.0355366 # DEPENDENCYPART_SIBL
(14,4),(14,28),0.0380024 # DEPENDENCYPART_SIBL
(14,7),(14,8),0.00453087 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.482884 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.515881 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0044305 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.252709 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.549564 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.00391768 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0718297 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0255509 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0361301 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.0313946 # DEPENDENCYPART_SIBL
(14,7),(14,24),-0.0445246 # DEPENDENCYPART_SIBL
(14,7),(14,25),0.0196569 # DEPENDENCYPART_SIBL
(14,7),(14,27),-0.0241235 # DEPENDENCYPART_SIBL
(14,7),(14,28),-0.0155964 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.00512711 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0600204 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.383043 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.103314 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0778716 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0816985 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0311569 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.00712529 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.00657377 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0612735 # DEPENDENCYPART_SIBL
(14,8),(14,24),-0.0141093 # DEPENDENCYPART_SIBL
(14,8),(14,25),-0.0256737 # DEPENDENCYPART_SIBL
(14,8),(14,27),0.0320761 # DEPENDENCYPART_SIBL
(14,8),(14,28),0.024549 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.393816 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.02553 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.164283 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.443034 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0346569 # DEPENDENCYPART_SIBL
(14,9),(14,16),-0.00631629 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0329144 # DEPENDENCYPART_SIBL
(14,9),(14,19),-0.0314061 # DEPENDENCYPART_SIBL
(14,9),(14,20),-0.0392537 # DEPENDENCYPART_SIBL
(14,9),(14,24),-0.0202457 # DEPENDENCYPART_SIBL
(14,9),(14,25),0.0425378 # DEPENDENCYPART_SIBL
(14,9),(14,27),-0.0110459 # DEPENDENCYPART_SIBL
(14,9),(14,28),0.0453891 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0341586 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.169248 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.446614 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.168112 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.11157 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.154654 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.146956 # DEPENDENCYPART_SIBL
(14,10),(14,20),-0.136656 # DEPENDENCYPART_SIBL
(14,10),(14,24),-0.139217 # DEPENDENCYPART_SIBL
(14,10),(14,25),-0.0416907 # DEPENDENCYPART_SIBL
(14,10),(14,27),-0.133467 # DEPENDENCYPART_SIBL
(14,10),(14,28),-0.229117 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0906264 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.000323299 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0600229 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0339698 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0372347 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0253371 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.0532414 # DEPENDENCYPART_SIBL
