# _root_ `` The pendulum is swinging back to black and white , '' says Richard DeMoulin , the general manager of Eastman Kodak Co. 's professional photography division .
#goldHeads=4,3,4,13,4,5,5,7,8,9,4,4,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
#predictedHeads=13,3,4,13,4,5,6,7,8,9,13,13,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
(5,6),(5,20),0.0906686 # DEPENDENCYPART_SIBL
(5,6),(5,27),-0.0289823 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.161151 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.127099 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.170806 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0440053 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00186118 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.115668 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0997244 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0440053 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.176977 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.093466 # DEPENDENCYPART_SIBL
(5,7),(5,27),-0.166743 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0373263 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.183273 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.01453 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0378496 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0828011 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0892657 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.01453 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.209025 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.027987 # DEPENDENCYPART_SIBL
(5,8),(5,27),-0.209306 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00661435 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0937143 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00408307 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0228891 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0439352 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0937143 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0122282 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0595027 # DEPENDENCYPART_SIBL
(5,9),(5,27),-0.0085155 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0284182 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0264694 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0899708 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0972868 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0284182 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.214921 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0240338 # DEPENDENCYPART_SIBL
(5,10),(5,27),-0.215208 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.175113 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0928405 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.160607 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.00469255 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.20989 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.275999 # DEPENDENCYPART_SIBL
(5,11),(5,27),0.196609 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0447596 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.00247983 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0896055 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.133006 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.311558 # DEPENDENCYPART_SIBL
(5,12),(5,27),0.1354 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.139668 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0301149 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.136488 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0813226 # DEPENDENCYPART_SIBL
(5,13),(5,27),-0.13362 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0230844 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.144557 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.0336983 # DEPENDENCYPART_SIBL
(5,15),(5,27),-0.143401 # DEPENDENCYPART_SIBL
(5,16),(5,19),0.20989 # DEPENDENCYPART_SIBL
(5,16),(5,20),0.275999 # DEPENDENCYPART_SIBL
(5,16),(5,27),0.196609 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.0380274 # DEPENDENCYPART_SIBL
(5,19),(5,27),-0.216638 # DEPENDENCYPART_SIBL
(5,20),(5,27),-0.0881088 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.01577 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.168983 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0500934 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.049684 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0602599 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0172059 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0644321 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.129086 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.479148 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0346141 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0736366 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0366662 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0560295 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.00229192 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00237396 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0301986 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.00209539 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.106686 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00385405 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0117686 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.00850664 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0467126 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.010549 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00203714 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0279849 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00130554 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.101951 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0695199 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0258759 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.07167 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0210767 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00683981 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0163562 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00695418 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0507453 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0263583 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00201903 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00989278 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0803036 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.161934 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0802595 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.119908 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.161008 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00618655 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0891541 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.031537 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.206836 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0514747 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0195012 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0867018 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0995562 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0233548 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0389435 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.142397 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0323406 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.0441544 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0449897 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0155677 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0864259 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.100132 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.327051 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.178433 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.279392 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.01388 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0596455 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0370366 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0856363 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0502962 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0838379 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0930287 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.092137 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.23298 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0930287 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0850477 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0229376 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.737791 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0419392 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.154226 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.489553 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0419392 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.750068 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.010163 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0249544 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.164877 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0202017 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0249544 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.00989843 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0483231 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.15808 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.490047 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0483231 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.74859 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.244958 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.100589 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.00139793 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0886625 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.159616 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0356526 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.114055 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0877947 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.61359 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.0886625 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0260601 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.123263 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0250121 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0523861 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0879345 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0902596 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0377346 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0711069 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.728141 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0806619 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.0600473 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0711069 # DEPENDENCYPART_SIBL
(8,1),(8,19),0.0524766 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.120591 # DEPENDENCYPART_SIBL
(8,1),(8,23),0.0217174 # DEPENDENCYPART_SIBL
(8,1),(8,27),0.0506663 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.152181 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.507117 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0464332 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.138072 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0498168 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0161669 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0498471 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0637202 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.218849 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0376247 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0498471 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.014448 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.364452 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.0208115 # DEPENDENCYPART_SIBL
(8,2),(8,27),-0.0134921 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.110899 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0122363 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.12751 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0307702 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0162972 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0236497 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0633379 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0516078 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0343145 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0236497 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.00621316 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0394215 # DEPENDENCYPART_SIBL
(8,3),(8,23),-0.0101997 # DEPENDENCYPART_SIBL
(8,3),(8,27),0.0180515 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.0203086 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0693822 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.022941 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0398678 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0196796 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0195609 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.035379 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.00944966 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0196796 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0320739 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.047696 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.0246051 # DEPENDENCYPART_SIBL
(8,5),(8,27),-0.0129789 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.206233 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0155269 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.137168 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0636881 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0617664 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.108237 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.1 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0636881 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.130243 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.122814 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.135031 # DEPENDENCYPART_SIBL
(8,6),(8,27),-0.0968916 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.067267 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0348985 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0752782 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0281816 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0722448 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0380842 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0752782 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0267664 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0803773 # DEPENDENCYPART_SIBL
(8,7),(8,23),-0.0754714 # DEPENDENCYPART_SIBL
(8,7),(8,27),-0.0184155 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0793903 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0231546 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0180966 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0240989 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.036901 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0231546 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.08978 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.150802 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.0466023 # DEPENDENCYPART_SIBL
(8,9),(8,27),-0.0822422 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.000290874 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0202905 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0532871 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0430939 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.000290874 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.120519 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.0574872 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.0562929 # DEPENDENCYPART_SIBL
(8,10),(8,27),-0.117463 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.392229 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.348134 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.701308 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.151795 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.732626 # DEPENDENCYPART_SIBL
(8,11),(8,20),0.315031 # DEPENDENCYPART_SIBL
(8,11),(8,23),0.541403 # DEPENDENCYPART_SIBL
(8,11),(8,27),0.737631 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0464889 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.136926 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0521132 # DEPENDENCYPART_SIBL
(8,12),(8,19),0.273514 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.503058 # DEPENDENCYPART_SIBL
(8,12),(8,23),0.117586 # DEPENDENCYPART_SIBL
(8,12),(8,27),0.27935 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0170559 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.253807 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.0113749 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.0409133 # DEPENDENCYPART_SIBL
(8,13),(8,23),-0.00224446 # DEPENDENCYPART_SIBL
(8,13),(8,27),0.0175371 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.0573478 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.0991391 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.046128 # DEPENDENCYPART_SIBL
(8,15),(8,23),-0.154339 # DEPENDENCYPART_SIBL
(8,15),(8,27),-0.0944423 # DEPENDENCYPART_SIBL
(8,16),(8,19),0.732626 # DEPENDENCYPART_SIBL
(8,16),(8,20),0.315031 # DEPENDENCYPART_SIBL
(8,16),(8,23),0.541403 # DEPENDENCYPART_SIBL
(8,16),(8,27),0.737631 # DEPENDENCYPART_SIBL
(8,19),(8,20),0.0400059 # DEPENDENCYPART_SIBL
(8,19),(8,23),-0.0579849 # DEPENDENCYPART_SIBL
(8,19),(8,27),-0.122018 # DEPENDENCYPART_SIBL
(8,20),(8,23),0.039695 # DEPENDENCYPART_SIBL
(8,20),(8,27),0.0222595 # DEPENDENCYPART_SIBL
(8,23),(8,27),-0.13809 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.301331 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.18437 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.629123 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.416983 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.301331 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.583741 # DEPENDENCYPART_SIBL
(9,10),(9,27),-0.582805 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.194051 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.107374 # DEPENDENCYPART_SIBL
(9,11),(9,15),0.168469 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0238671 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.182604 # DEPENDENCYPART_SIBL
(9,11),(9,27),0.170438 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.347373 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0622769 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0821524 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0239504 # DEPENDENCYPART_SIBL
(9,12),(9,27),-0.0203773 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.349906 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.144336 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.395243 # DEPENDENCYPART_SIBL
(9,13),(9,27),-0.39119 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.280022 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.461418 # DEPENDENCYPART_SIBL
(9,15),(9,27),-0.459076 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.182604 # DEPENDENCYPART_SIBL
(9,16),(9,27),0.170438 # DEPENDENCYPART_SIBL
(9,19),(9,27),-0.582716 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.188471 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0873109 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0759318 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0467986 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0605863 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.107784 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.09228 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0467986 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.130171 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.117646 # DEPENDENCYPART_SIBL
(10,6),(10,27),-0.0968758 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0595129 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0634019 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0593652 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0280066 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0719378 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.031369 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0593652 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0276944 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.0845427 # DEPENDENCYPART_SIBL
(10,7),(10,27),-0.0193994 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0380307 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0402012 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.074427 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0949957 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0789362 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0402012 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.0134657 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.00978865 # DEPENDENCYPART_SIBL
(10,8),(10,27),0.0376745 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.013229 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0270934 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0578725 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.00702597 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.013229 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.038593 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0013961 # DEPENDENCYPART_SIBL
(10,9),(10,27),-0.0286269 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.391072 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.340768 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.668666 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.211906 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.720263 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.315847 # DEPENDENCYPART_SIBL
(10,11),(10,27),0.725158 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0430385 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.125912 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0937364 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.270569 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.502081 # DEPENDENCYPART_SIBL
(10,12),(10,27),0.27635 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.00525265 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.294499 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0076413 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.0391472 # DEPENDENCYPART_SIBL
(10,13),(10,27),0.0137479 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.112436 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0963677 # DEPENDENCYPART_SIBL
(10,15),(10,20),0.0507945 # DEPENDENCYPART_SIBL
(10,15),(10,27),-0.0917265 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.720263 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.315847 # DEPENDENCYPART_SIBL
(10,16),(10,27),0.725158 # DEPENDENCYPART_SIBL
(10,19),(10,20),0.0324908 # DEPENDENCYPART_SIBL
(10,19),(10,27),-0.13168 # DEPENDENCYPART_SIBL
(10,20),(10,27),0.0134822 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0167846 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.135457 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0369978 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.0575327 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.00341737 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.00282678 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0744193 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0322702 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0374956 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.490437 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.102292 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0998804 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.250803 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.00788513 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.0585383 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.0172316 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.100396 # DEPENDENCYPART_SIBL
