# _root_ Some traders said that the closely watched Major Market Index , whose 20 stocks mimic the Dow industrials , did n't lead yesterday 's big rally .
#goldHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,10,18,18,15,10,4,20,20,26,23,26,22,3,
#predictedHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,4,18,18,15,10,4,20,20,26,23,26,22,3,
(15,4),(15,10),0.0257745 # DEPENDENCYPART_SIBL
(15,4),(15,11),0.224981 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.00812867 # DEPENDENCYPART_SIBL
(15,4),(15,13),-0.0541669 # DEPENDENCYPART_SIBL
(15,4),(15,14),0.0339433 # DEPENDENCYPART_SIBL
(15,4),(15,16),-0.0860842 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0363521 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.00584179 # DEPENDENCYPART_SIBL
(15,4),(15,19),-0.117898 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.081791 # DEPENDENCYPART_SIBL
(15,4),(15,21),0.0199836 # DEPENDENCYPART_SIBL
(15,4),(15,22),-0.0662459 # DEPENDENCYPART_SIBL
(15,4),(15,23),-0.0466547 # DEPENDENCYPART_SIBL
(15,4),(15,24),-0.164168 # DEPENDENCYPART_SIBL
(15,4),(15,25),-0.000664127 # DEPENDENCYPART_SIBL
(15,4),(15,26),-0.0194145 # DEPENDENCYPART_SIBL
(15,4),(15,27),-0.100388 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.12596 # DEPENDENCYPART_SIBL
(15,5),(15,7),0.0313369 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.200331 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.212991 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.235727 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.219651 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.232078 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.152865 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.338524 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.23953 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.147949 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.128853 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.088686 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.0547029 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.0967053 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.191617 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.0486117 # DEPENDENCYPART_SIBL
(15,5),(15,24),0.200921 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.169955 # DEPENDENCYPART_SIBL
(15,5),(15,26),-0.0930534 # DEPENDENCYPART_SIBL
(15,5),(15,27),-0.225015 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0535501 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0376518 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.041116 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.0405276 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.088801 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.0170384 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0723392 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.0186235 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.112337 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0176702 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0139792 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0370969 # DEPENDENCYPART_SIBL
(15,6),(15,20),-0.0708294 # DEPENDENCYPART_SIBL
(15,6),(15,21),0.0424064 # DEPENDENCYPART_SIBL
(15,6),(15,22),-0.121569 # DEPENDENCYPART_SIBL
(15,6),(15,23),0.0299452 # DEPENDENCYPART_SIBL
(15,6),(15,24),-0.183666 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.0299038 # DEPENDENCYPART_SIBL
(15,6),(15,26),0.0145336 # DEPENDENCYPART_SIBL
(15,6),(15,27),0.0410471 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.017509 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0115228 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0118412 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.250019 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.00622737 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.011868 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0491359 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.112613 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.00884639 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0189388 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.0886028 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.105965 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.00967986 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.103576 # DEPENDENCYPART_SIBL
(15,7),(15,23),-0.043876 # DEPENDENCYPART_SIBL
(15,7),(15,24),-0.0866203 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0940396 # DEPENDENCYPART_SIBL
(15,7),(15,26),-0.0381664 # DEPENDENCYPART_SIBL
(15,7),(15,27),-0.00652638 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.270674 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.272983 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.0752114 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.173527 # DEPENDENCYPART_SIBL
(15,8),(15,13),-0.177141 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.307659 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0860321 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0172475 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0137811 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0163238 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.0663612 # DEPENDENCYPART_SIBL
(15,8),(15,21),0.0898734 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0453157 # DEPENDENCYPART_SIBL
(15,8),(15,23),0.0215634 # DEPENDENCYPART_SIBL
(15,8),(15,24),0.0333889 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.0500475 # DEPENDENCYPART_SIBL
(15,8),(15,26),0.0193036 # DEPENDENCYPART_SIBL
(15,8),(15,27),-0.0224588 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.273037 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.0224128 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.181345 # DEPENDENCYPART_SIBL
(15,9),(15,13),-0.196283 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.321174 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0735422 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.00486881 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0105866 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.0308003 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0868677 # DEPENDENCYPART_SIBL
(15,9),(15,21),0.0803707 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0437724 # DEPENDENCYPART_SIBL
(15,9),(15,23),0.0103447 # DEPENDENCYPART_SIBL
(15,9),(15,24),0.0144653 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.0240524 # DEPENDENCYPART_SIBL
(15,9),(15,26),0.00591407 # DEPENDENCYPART_SIBL
(15,9),(15,27),-0.00687098 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.0322886 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.173664 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.178197 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.32115 # DEPENDENCYPART_SIBL
(15,10),(15,16),-0.0828282 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0131358 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.0205088 # DEPENDENCYPART_SIBL
(15,10),(15,19),-0.0778305 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0719591 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.0845817 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0428992 # DEPENDENCYPART_SIBL
(15,10),(15,23),0.0102301 # DEPENDENCYPART_SIBL
(15,10),(15,24),0.0213887 # DEPENDENCYPART_SIBL
(15,10),(15,25),-0.0531337 # DEPENDENCYPART_SIBL
(15,10),(15,26),0.00797141 # DEPENDENCYPART_SIBL
(15,10),(15,27),0.00687509 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0504598 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.00429826 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0412484 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.15484 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.0408883 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0368081 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0207578 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0448477 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.0991501 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.100755 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.0430977 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.254388 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0452995 # DEPENDENCYPART_SIBL
(15,11),(15,26),0.000751329 # DEPENDENCYPART_SIBL
(15,11),(15,27),0.0725386 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.014108 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0596907 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0914232 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0488056 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0187505 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0393093 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0799208 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.000931666 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.0631735 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.0219071 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.0594923 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0401542 # DEPENDENCYPART_SIBL
(15,12),(15,26),-0.0236868 # DEPENDENCYPART_SIBL
(15,12),(15,27),-0.0671532 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.199577 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.0700667 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0185448 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0285157 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0527279 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0580712 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0489542 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0684252 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.0182727 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.111912 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.0631792 # DEPENDENCYPART_SIBL
(15,13),(15,26),0.0186806 # DEPENDENCYPART_SIBL
(15,13),(15,27),-0.0818111 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0933568 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0276713 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.00986724 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0234239 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.0232164 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0367371 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.00707917 # DEPENDENCYPART_SIBL
(15,14),(15,23),-0.0162177 # DEPENDENCYPART_SIBL
(15,14),(15,24),-0.0208024 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.00681066 # DEPENDENCYPART_SIBL
(15,14),(15,26),0.00936757 # DEPENDENCYPART_SIBL
(15,14),(15,27),0.0460145 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.12007 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.106256 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0925782 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0893358 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.105994 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0410216 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.125254 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.0396186 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.00615629 # DEPENDENCYPART_SIBL
(15,16),(15,26),-0.134617 # DEPENDENCYPART_SIBL
(15,16),(15,27),-0.133987 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.201301 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.0618064 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.138167 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0645114 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.0392149 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.105024 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0825863 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.0240555 # DEPENDENCYPART_SIBL
(15,17),(15,26),-0.120379 # DEPENDENCYPART_SIBL
(15,17),(15,27),-0.0205158 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0381884 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.123318 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.0210794 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0606576 # DEPENDENCYPART_SIBL
(15,18),(15,23),-0.0346709 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.0164074 # DEPENDENCYPART_SIBL
(15,18),(15,25),0.0546701 # DEPENDENCYPART_SIBL
(15,18),(15,26),-0.0906008 # DEPENDENCYPART_SIBL
(15,18),(15,27),0.00958257 # DEPENDENCYPART_SIBL
(15,19),(15,20),0.0433947 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0630528 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.146096 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.0155612 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.0592117 # DEPENDENCYPART_SIBL
(15,19),(15,25),0.171717 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.0986297 # DEPENDENCYPART_SIBL
(15,19),(15,27),-0.0467639 # DEPENDENCYPART_SIBL
(15,20),(15,21),-0.0858174 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0595511 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.15548 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.05695 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.116688 # DEPENDENCYPART_SIBL
(15,20),(15,26),-0.159826 # DEPENDENCYPART_SIBL
(15,20),(15,27),0.0386692 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.306713 # DEPENDENCYPART_SIBL
(15,21),(15,23),0.018872 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.0366826 # DEPENDENCYPART_SIBL
(15,21),(15,25),0.118586 # DEPENDENCYPART_SIBL
(15,21),(15,26),0.00402162 # DEPENDENCYPART_SIBL
(15,21),(15,27),-0.0578624 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.274363 # DEPENDENCYPART_SIBL
(15,22),(15,24),-0.0676693 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.199851 # DEPENDENCYPART_SIBL
(15,22),(15,26),-0.264775 # DEPENDENCYPART_SIBL
(15,22),(15,27),-0.0366469 # DEPENDENCYPART_SIBL
(15,23),(15,24),-0.0266117 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.0224878 # DEPENDENCYPART_SIBL
(15,23),(15,26),-0.166305 # DEPENDENCYPART_SIBL
(15,23),(15,27),-0.0278079 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.0154434 # DEPENDENCYPART_SIBL
(15,24),(15,26),-0.267832 # DEPENDENCYPART_SIBL
(15,24),(15,27),-0.1741 # DEPENDENCYPART_SIBL
(15,25),(15,26),-0.151094 # DEPENDENCYPART_SIBL
(15,25),(15,27),-0.037212 # DEPENDENCYPART_SIBL
(15,26),(15,27),-0.00828227 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.0217615 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.00730855 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0239811 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.0907133 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0752789 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.000266289 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0176859 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0398565 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.128807 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.528062 # DEPENDENCYPART_SIBL
(17,16),(17,26),0.0200187 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.063307 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0685852 # DEPENDENCYPART_SIBL
(17,18),(17,24),0.0162794 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.0637726 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.365904 # DEPENDENCYPART_SIBL
(17,19),(17,24),0.0208297 # DEPENDENCYPART_SIBL
(17,19),(17,26),0.653676 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.0111477 # DEPENDENCYPART_SIBL
(17,20),(17,26),-0.113389 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.229969 # DEPENDENCYPART_SIBL
(18,5),(18,8),0.23982 # DEPENDENCYPART_SIBL
(18,5),(18,9),0.218227 # DEPENDENCYPART_SIBL
(18,5),(18,10),0.16161 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.0373453 # DEPENDENCYPART_SIBL
(18,5),(18,13),0.164229 # DEPENDENCYPART_SIBL
(18,5),(18,14),0.0649994 # DEPENDENCYPART_SIBL
(18,5),(18,15),0.0582473 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.643933 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.124584 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.00157173 # DEPENDENCYPART_SIBL
(18,5),(18,20),0.0313169 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.0580683 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0338295 # DEPENDENCYPART_SIBL
(18,5),(18,23),-0.0593068 # DEPENDENCYPART_SIBL
(18,5),(18,24),0.156976 # DEPENDENCYPART_SIBL
(18,5),(18,26),-0.105853 # DEPENDENCYPART_SIBL
(18,8),(18,9),0.089461 # DEPENDENCYPART_SIBL
(18,8),(18,10),0.0797345 # DEPENDENCYPART_SIBL
(18,8),(18,12),-0.0406897 # DEPENDENCYPART_SIBL
(18,8),(18,13),0.0116999 # DEPENDENCYPART_SIBL
(18,8),(18,14),0.0754877 # DEPENDENCYPART_SIBL
(18,8),(18,15),0.0470199 # DEPENDENCYPART_SIBL
(18,8),(18,16),-0.329334 # DEPENDENCYPART_SIBL
(18,8),(18,17),0.0587291 # DEPENDENCYPART_SIBL
(18,8),(18,19),0.0902041 # DEPENDENCYPART_SIBL
(18,8),(18,20),-0.0823261 # DEPENDENCYPART_SIBL
(18,8),(18,21),-0.0714446 # DEPENDENCYPART_SIBL
(18,8),(18,22),-0.05526 # DEPENDENCYPART_SIBL
(18,8),(18,23),-0.0444824 # DEPENDENCYPART_SIBL
(18,8),(18,24),-0.121445 # DEPENDENCYPART_SIBL
(18,8),(18,26),-0.0376838 # DEPENDENCYPART_SIBL
(18,9),(18,10),0.0769932 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.0529128 # DEPENDENCYPART_SIBL
(18,9),(18,13),-0.016562 # DEPENDENCYPART_SIBL
(18,9),(18,14),0.0504999 # DEPENDENCYPART_SIBL
(18,9),(18,15),0.0347931 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.339155 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.0561071 # DEPENDENCYPART_SIBL
(18,9),(18,19),-0.0791302 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.142593 # DEPENDENCYPART_SIBL
(18,9),(18,21),-0.116523 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.082321 # DEPENDENCYPART_SIBL
(18,9),(18,23),-0.100813 # DEPENDENCYPART_SIBL
(18,9),(18,24),-0.165412 # DEPENDENCYPART_SIBL
(18,9),(18,26),-0.096185 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0867803 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.0344523 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.00541348 # DEPENDENCYPART_SIBL
(18,10),(18,15),0.000943771 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.374845 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.0130432 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.0283602 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0858174 # DEPENDENCYPART_SIBL
(18,10),(18,21),-0.0701678 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.0414306 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.0484932 # DEPENDENCYPART_SIBL
(18,10),(18,24),-0.119878 # DEPENDENCYPART_SIBL
(18,10),(18,26),-0.0416935 # DEPENDENCYPART_SIBL
(18,12),(18,13),0.0175392 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.0677017 # DEPENDENCYPART_SIBL
(18,12),(18,15),0.0165824 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.202493 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.110727 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.0715961 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.053644 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.0263678 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.006724 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0342147 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.134094 # DEPENDENCYPART_SIBL
(18,12),(18,26),-0.0269698 # DEPENDENCYPART_SIBL
(18,13),(18,14),0.100592 # DEPENDENCYPART_SIBL
(18,13),(18,15),0.0512211 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.33342 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.25399 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0252948 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0286521 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.0455977 # DEPENDENCYPART_SIBL
(18,13),(18,22),0.00629135 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0369172 # DEPENDENCYPART_SIBL
(18,13),(18,24),-0.200764 # DEPENDENCYPART_SIBL
(18,13),(18,26),0.0503266 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0566796 # DEPENDENCYPART_SIBL
(18,14),(18,16),-0.204066 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0196762 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.000131144 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.00513704 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0146903 # DEPENDENCYPART_SIBL
(18,14),(18,22),-0.0169661 # DEPENDENCYPART_SIBL
(18,14),(18,23),-0.0634278 # DEPENDENCYPART_SIBL
(18,14),(18,24),-0.159958 # DEPENDENCYPART_SIBL
(18,14),(18,26),-0.0283693 # DEPENDENCYPART_SIBL
(18,15),(18,16),-0.237688 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.102383 # DEPENDENCYPART_SIBL
(18,15),(18,19),0.00189154 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.0504264 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0479468 # DEPENDENCYPART_SIBL
(18,15),(18,22),-0.0357015 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.014261 # DEPENDENCYPART_SIBL
(18,15),(18,24),-0.137438 # DEPENDENCYPART_SIBL
(18,15),(18,26),0.0107283 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.124584 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.00157173 # DEPENDENCYPART_SIBL
(18,16),(18,20),0.0313169 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0580683 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0338295 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0593068 # DEPENDENCYPART_SIBL
(18,16),(18,24),0.156976 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.105853 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.0410328 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0381482 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0387267 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.017187 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.000557311 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.054391 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.00854107 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.360972 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0739048 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.299534 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.405976 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0791378 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.490783 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0488427 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.00144396 # DEPENDENCYPART_SIBL
(18,20),(18,23),0.0182085 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0788116 # DEPENDENCYPART_SIBL
(18,20),(18,26),0.0105627 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.151732 # DEPENDENCYPART_SIBL
(18,21),(18,23),0.11459 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0695726 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.0972798 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0832489 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0747941 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.0770785 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.126784 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.107564 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.219534 # DEPENDENCYPART_SIBL
(20,2),(20,3),-0.243751 # DEPENDENCYPART_SIBL
(20,2),(20,4),-0.207477 # DEPENDENCYPART_SIBL
(20,2),(20,6),-0.0519681 # DEPENDENCYPART_SIBL
(20,2),(20,7),-0.129754 # DEPENDENCYPART_SIBL
(20,2),(20,8),-0.541099 # DEPENDENCYPART_SIBL
(20,2),(20,9),-0.586517 # DEPENDENCYPART_SIBL
(20,2),(20,10),-0.501611 # DEPENDENCYPART_SIBL
(20,2),(20,11),0.0562528 # DEPENDENCYPART_SIBL
(20,2),(20,12),-0.226687 # DEPENDENCYPART_SIBL
