# _root_ Paris , which has been the center of speculation fever in recent weeks , also was hard hit .
#goldHeads=16,1,4,1,4,7,5,7,10,8,5,13,11,1,16,0,18,16,16,
#predictedHeads=16,1,4,1,4,7,5,7,10,8,7,13,11,1,16,0,18,16,16,
(5,3),(5,10),-0.00972132 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0280371 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0610813 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0108158 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.134378 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.135542 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.147383 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.110377 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0982853 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.292721 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0167653 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00786213 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.00560992 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00809535 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00753011 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.000363306 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0325125 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00147198 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00318055 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.00765211 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0545751 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.00452858 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0802049 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.259044 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.166731 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.171918 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.166696 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.168631 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.156688 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00458419 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.113847 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.113403 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0621771 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0947986 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0838652 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0723646 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.141286 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.137824 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.27373 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.274333 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.090951 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00290324 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.324684 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0126254 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0434934 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0599452 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.045221 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0560398 # DEPENDENCYPART_SIBL
(5,7),(5,19),-0.0432298 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0586523 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0541708 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.255294 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.101463 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.121322 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.101423 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.166465 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.262793 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.207002 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.105571 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.133531 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.249883 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0312326 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.018936 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.308089 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0408466 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0275643 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0439775 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0292919 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0392447 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.00126132 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.071322 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00364347 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.322527 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0266613 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0425507 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0590841 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0442783 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0545727 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0292056 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0635664 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0794342 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0499128 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00231952 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.00358226 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0513982 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0557551 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0259361 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.127257 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0605708 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.00375145 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0556674 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0213093 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.00933734 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0189658 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0298818 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.030723 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.118775 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.00977175 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.062121 # DEPENDENCYPART_SIBL
(5,13),(5,19),-0.000999032 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.290285 # DEPENDENCYPART_SIBL
(5,14),(5,16),0.336052 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.309501 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.548558 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.019167 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0334508 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0281176 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.0499689 # DEPENDENCYPART_SIBL
(5,15),(5,19),-0.028987 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0908326 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.125966 # DEPENDENCYPART_SIBL
(5,16),(5,19),-0.0441619 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.0611147 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.0339734 # DEPENDENCYPART_SIBL
(5,18),(5,19),-0.0797154 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0695502 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.039533 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.107412 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.503478 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.167606 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.030062 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0272058 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0742617 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0859326 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0402745 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0607221 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0184748 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0260568 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0133839 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.095314 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0578181 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.102214 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0852283 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.602037 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0656788 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0354438 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0347458 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0247352 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0361465 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.011161 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.148445 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0430679 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.140139 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0238107 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.191679 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.426262 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.066866 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0941277 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0830362 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00697186 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00623243 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0442154 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0494532 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00811718 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.00108458 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0596269 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.054964 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0412632 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0346748 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0596374 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.415074 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0953727 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00322616 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00236857 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0268894 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0779283 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0393603 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0337718 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0252885 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.022733 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00863403 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0320453 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0271482 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.390278 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0529401 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0625926 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.103012 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0564663 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0190597 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.129898 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.023736 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.130872 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0480885 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0106766 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0937254 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0505248 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0564242 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.254307 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0089163 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0556605 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.019209 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0409499 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.228257 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0420283 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0224528 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.056888 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0920158 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0402839 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0227012 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.153519 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.00151753 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0694216 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0246201 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0491226 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0445024 # DEPENDENCYPART_SIBL
(7,9),(7,19),-7.36909e-05 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0432161 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.022674 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.152629 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.00133319 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0690806 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0243993 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0487816 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.044503 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0152479 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0557386 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.118561 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.106863 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.130383 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0058512 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.128247 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0863812 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0247021 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0543617 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0484834 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0452917 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0597334 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0479685 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0231163 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0509199 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.014205 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.00909131 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.115566 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0109669 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0440529 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0201812 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.312507 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.508976 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.345494 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.66073 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.0202292 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.00553349 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.018167 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0342919 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.0144168 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.0833918 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.0955848 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.0284663 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0285386 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0159925 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.0438388 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.160822 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.158078 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0530104 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.225431 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.469603 # DEPENDENCYPART_SIBL
(8,9),(8,10),-1.14205 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.138525 # DEPENDENCYPART_SIBL
(8,9),(8,13),-1.14951 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.0576625 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.134934 # DEPENDENCYPART_SIBL
(8,10),(8,13),-1.14796 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0721996 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.335074 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.01938 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0622336 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0221495 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.068122 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.108195 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.494908 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.113794 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0416644 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0856077 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.10691 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0686273 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0643615 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0625907 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.116191 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0275745 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0649711 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0492764 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0435824 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0853579 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.59575 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.094603 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.100262 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.107685 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.00921448 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0286494 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0230538 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.16495 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0161565 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.141119 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0123491 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.162372 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.419674 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.412729 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0116102 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.150707 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.00147136 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0177943 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.077262 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.00168537 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.061894 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0913438 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0305445 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0516247 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.00956843 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0269054 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.198043 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.1048 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.18468 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0106767 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0845974 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0723798 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0343672 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.129226 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0968206 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.034337 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.0144478 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.118416 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0403382 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0262062 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0799132 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0395101 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.00448513 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00670384 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.050396 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0123011 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0386548 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.00718184 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.050046 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.168164 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.138583 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0701328 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0467651 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0641874 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.143288 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.100786 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.112478 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.00976834 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.010769 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0477649 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0266517 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.00997962 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.00288316 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.04224 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0308119 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0325568 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0233203 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0115866 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0420122 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.106613 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0637808 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.102271 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0197448 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.107823 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0742688 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.0167217 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0486156 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0286213 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0589697 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.058011 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0539584 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0147994 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0431039 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0342374 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.00511116 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.114371 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.00445258 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0362658 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0129108 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.267662 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.504312 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.316026 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.677445 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0103947 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0226092 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0430998 # DEPENDENCYPART_SIBL
(10,15),(10,18),0.0238773 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0255765 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0930943 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0909833 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0243786 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0258042 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.0194723 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.035237 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0851306 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.066617 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.207454 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0251824 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0793056 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0262952 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0847562 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0129652 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0432739 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.15784 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0262966 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0515957 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.0111043 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0838581 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.0596138 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.567476 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0308442 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0817317 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.407985 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0780053 # DEPENDENCYPART_SIBL
(11,12),(11,19),0.00548937 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0205649 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.141895 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.569819 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.133051 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.020792 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.459971 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.475894 # DEPENDENCYPART_SIBL
